Timestep,C7,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,CLAV
45,0.0101109,0.0149787,0.0121914,0.0190133,0.0112204,0,0,0.0190084,0,0.0252464,0.0111597,0.0430147,0.0247122,0.0182823,0.018102,0.0214833,0.0143843,0.0142833,0.0139992,0.0163311,0.0561904,0.0170964,0.017005,0.0135083,0.0168382,0.0197249,0.0131966,0.0113896,0.00526225,0.0211998,0.0199332,0.0071183,0.00557799,0.00559344,0,0,0.00878502,0,0.0162733,0.00980155,0.0610329,0.0165913,0.0214873,0.0157328,0.0101792,0.0103607,0.00982791,0.0489147,0.0125007,0.01642,0.0181865,0.00962404,0.0129378,0.0198126,0.0251836,0.00824882,0.00417197,0.0055093,0.0214687,0.00545762,0,0,0,0,0,0,0,0,0.0203128
46,0.00994943,0.0162876,0.0121636,0.0217041,0.0113904,0,0,0.0192889,0,0.0253392,0.011378,0.0432341,0.0276449,0.0188552,0.0183828,0.0212411,0.0145528,0.0174863,0.0167106,0.0188761,0.057177,0.0175399,0.0168523,0.0141824,0.0179909,0.0183016,0.0133337,0.0114248,0.00513589,0.0213299,0.0199665,0.00679099,0.00569405,0.00567239,0,0,0.00795045,0,0.0162274,0.00924338,0.06124,0.0165532,0.0210157,0.0158123,0.0103703,0.0100684,0.0103601,0.0485336,0.0125981,0.0170611,0.0181668,0.0101429,0.0126602,0.0198948,0.0252991,0.00749881,0.00409679,0.00552149,0.02163,0.00566123,0,0,0,0,0,0,0,0,0.0201557
47,0.00977857,0.0199234,0.0121371,0.0240382,0.0117009,0,0,0.019541,0,0.0254586,0.0115283,0.0431026,0.0298507,0.0193246,0.0196245,0.0210109,0.0147984,0.0210083,0.0203583,0.0218796,0.0583683,0.0177328,0.0166025,0.0146102,0.0186166,0.0202239,0.0135401,0.0114848,0.00502378,0.0214876,0.0199754,0.00660361,0.0058895,0.00575522,0,0,0.00732144,0,0.0161856,0.0088089,0.0612844,0.0164529,0.0206227,0.0157545,0.0106559,0.00986106,0.010893,0.048142,0.0125513,0.0175225,0.0179938,0.0106226,0.0123396,0.0197095,0.0254209,0.00688959,0.00411921,0.00560359,0.0217792,0.00577336,0,0,0,0,0,0,0,0,0.0200602
48,0.00957554,0.0240139,0.0120872,0.026039,0.0119036,0,0,0.0198678,0,0.0256267,0.0117614,0.042882,0.0307552,0.0196903,0.0213467,0.0209294,0.0150748,0.0241413,0.0239214,0.0246349,0.059549,0.0177287,0.0161686,0.0148427,0.0188602,0.0235778,0.0138827,0.0115336,0.00500887,0.0215692,0.0199574,0.00670354,0.00605118,0.00592063,0,0,0.00701749,0,0.0161442,0.00849463,0.0612854,0.0166201,0.0203294,0.0155743,0.0110555,0.00989801,0.0112436,0.0477562,0.0123798,0.0177969,0.0178644,0.0111578,0.0121338,0.0195218,0.0255446,0.00644232,0.00422502,0.00561279,0.0220396,0.00588276,0,0,0,0,0,0,0,0,0.0201548
49,0.00952929,0.0317228,0.0120281,0.0307852,0.0118576,0,0,0.0202582,0,0.0257379,0.0120359,0.0427121,0.0352578,0.0199346,0.0227126,0.0208732,0.0153064,0.0266315,0.0265275,0.0269758,0.0605546,0.0183782,0.0164898,0.0171882,0.0184439,0.0325134,0.0143314,0.0115542,0.00501366,0.0214235,0.0199119,0.00676812,0.00610076,0.00612492,0,0,0.00695135,0,0.0160688,0.008306,0.0612807,0.017258,0.020101,0.0153256,0.011403,0.0100827,0.0114494,0.0474125,0.0121762,0.0180144,0.0178949,0.0115349,0.0120119,0.0196136,0.0253981,0.00611511,0.00435552,0.00565717,0.0223313,0.006025,0,0,0,0,0,0,0,0,0.0203148
50,0.00924108,0.0387053,0.0119215,0.0353796,0.0117281,0,0,0.0208065,0,0.0259304,0.0123582,0.0426293,0.0404125,0.0200591,0.0238453,0.0209389,0.0155797,0.0281066,0.0279363,0.0287177,0.0611624,0.0187074,0.0169472,0.0192429,0.0182091,0.039923,0.0148551,0.0115678,0.00508088,0.0210529,0.0198306,0.00698576,0.00613299,0.0063538,0,0,0.0071473,0,0.0160277,0.00822343,0.0612622,0.0180838,0.0199453,0.0149641,0.0117485,0.0104006,0.0114829,0.0471657,0.0118941,0.0180061,0.0178381,0.0118444,0.0118466,0.0198006,0.0249262,0.00617553,0.00452254,0.0056454,0.0227365,0.00612895,0,0,0,0,0,0,0,0,0.0204357
51,0.0090244,0.041907,0.0117726,0.0373364,0.0113637,0,0,0.0213473,0,0.0260539,0.0126877,0.0426349,0.0436159,0.0199443,0.0244285,0.0211296,0.0159199,0.0282437,0.0281935,0.0294699,0.0612169,0.018546,0.0168621,0.0197413,0.0179095,0.0433042,0.0152895,0.0115656,0.0051907,0.020484,0.0197553,0.00731777,0.0061183,0.006547,0,0,0.00751036,0,0.0160162,0.00838513,0.0611976,0.0190169,0.0199208,0.0145388,0.0119546,0.0108291,0.0114454,0.0470617,0.0115745,0.017857,0.0177418,0.0121478,0.0118829,0.0201084,0.0244222,0.00663816,0.00483024,0.00573868,0.023218,0.00610176,0,0,0,0,0,0,0,0,0.0206543
52,0.00881003,0.041142,0.0116315,0.0363693,0.0107542,0,0,0.0218798,0,0.026111,0.0130556,0.0426557,0.0438313,0.0196463,0.024423,0.0213518,0.0162565,0.0278408,0.0278456,0.0291018,0.0606847,0.0181058,0.0164444,0.0187431,0.0175415,0.0424139,0.0157896,0.0115229,0.00532315,0.019831,0.0196702,0.00794109,0.00603986,0.00663398,0,0,0.00797374,0,0.0160236,0.00866845,0.0610823,0.0200951,0.0199403,0.0140557,0.0119087,0.0113575,0.0112996,0.0470909,0.0111951,0.0175654,0.0177405,0.0124201,0.0121081,0.0204235,0.0239613,0.00729676,0.00530806,0.00598994,0.0236307,0.00596722,0,0,0,0,0,0,0,0,0.0208459
53,0.00856545,0.0370564,0.0115209,0.0329865,0.0100792,0,0,0.0223443,0,0.0261057,0.0134306,0.042733,0.0402747,0.0192545,0.0238571,0.0216762,0.0164606,0.0271884,0.0271581,0.0277005,0.059716,0.017479,0.0158615,0.0166584,0.017263,0.0379737,0.016231,0.0114622,0.0054812,0.0190704,0.019477,0.00872527,0.00590168,0.00655963,0,0,0.00857339,0,0.0159536,0.00904431,0.0609323,0.0211683,0.0201374,0.0135217,0.011687,0.0119893,0.0109958,0.0472375,0.0107054,0.0171202,0.0177203,0.0125746,0.0123994,0.0207077,0.0234836,0.00807847,0.00581793,0.00627631,0.0239532,0.0057335,0,0,0,0,0,0,0,0,0.0209822
54,0.00823646,0.0303808,0.0114869,0.0280386,0.00952561,0,0,0.022606,0,0.0260224,0.0136619,0.0429947,0.0333748,0.0188317,0.0228065,0.0220406,0.0165772,0.026332,0.0261083,0.0255688,0.058576,0.0166151,0.0150225,0.0139925,0.0173756,0.0307807,0.0164437,0.0113675,0.00566529,0.0181941,0.0192894,0.00979082,0.00567663,0.00669421,0,0,0.00923826,0,0.0159282,0.00949369,0.0607697,0.0222307,0.0205561,0.0129637,0.0114768,0.0127155,0.0105152,0.0473936,0.0101394,0.0165053,0.0175803,0.012582,0.0127212,0.0208313,0.0227628,0.00901059,0.00641629,0.00660361,0.0242487,0.00532011,0,0,0,0,0,0,0,0,0.0210999
55,0.00807932,0.0246118,0.0114429,0.0242894,0.00914033,0,0,0.0227181,0,0.025894,0.0138268,0.0432377,0.0278798,0.0184461,0.0212387,0.0224611,0.0165981,0.0251936,0.0245678,0.0230999,0.0574245,0.0160642,0.0148178,0.0126526,0.0173169,0.0253877,0.0164931,0.0112785,0.00582134,0.0170154,0.0191494,0.0109117,0.00532089,0.00687546,0,0,0.00989561,0,0.015942,0.0100604,0.060513,0.023229,0.0208559,0.0124421,0.0112286,0.0132898,0.00984892,0.0476307,0.00956829,0.0156738,0.0173294,0.0122875,0.0130176,0.0207628,0.0216836,0.00988184,0.00696703,0.00701662,0.0243585,0.00496021,0,0,0,0,0,0,0,0,0.0211547
56,0.00812073,0.02054,0.0114276,0.0217092,0.00885197,0,0,0.0227328,0,0.0257449,0.0139185,0.0434582,0.0248913,0.0180261,0.0193963,0.0228883,0.0165003,0.0236898,0.022501,0.0205112,0.0563737,0.0158783,0.0150013,0.0124338,0.0167355,0.02231,0.0163886,0.0112067,0.00595251,0.0158466,0.0190159,0.0119598,0.00503857,0.00703644,0,0,0.0104101,0,0.0159439,0.0105706,0.0602572,0.023907,0.0211218,0.0118222,0.0110189,0.0137414,0.00898291,0.0478905,0.00892027,0.0145219,0.0168949,0.0119673,0.0132603,0.020311,0.0205451,0.0106061,0.00762911,0.00730135,0.0242892,0.00476517,0,0,0,0,0,0,0,0,0.0211939
