Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,RFHD
9,0.00366792,0.00188437,0.0308044,0.0137598,0.0186577,0.00818009,0,0,0.00508418,0,0.0222152,0.00237729,0.0400814,0.0124875,0.0296518,0.00923578,0.00193216,0.00699996,0.00601648,0.0098547,0.0163513,0.059394,0.00906637,0.0168385,0.0059022,0.0213341,0.0292155,0.00468722,0.00887822,0.00124008,0.0269838,0.0214164,0.013603,0.00264494,0.00245887,0,0,0.00602448,0.0187583,0.00187366,0.0648166,0.0166451,0.0247912,0.00323833,0.0173832,0.00237036,0.00324941,0.0477788,0.00293785,0.00274135,0.002538,0.0200738,0.00209139,0.00404427,0.0326754,0.00208482,0.00689219,0.00220682,0.00279179,0.00141978,0,0,0,0,0,0,0,0,0,0,0
10,0.00364168,0.00177385,0.0337806,0.0142314,0.0168438,0.00942271,0,0,0.00488814,0,0.0222699,0.00220236,0.0407723,0.01656,0.0298078,0.00877239,0.00264739,0.00690441,0.00599168,0.0135323,0.0150924,0.0606502,0.0104979,0.0181794,0.00628681,0.0238056,0.0348866,0.0047591,0.00877124,0.00105989,0.0271504,0.0214648,0.0140439,0.00229475,0.00266612,0,0,0.00527484,0.0187,0.00183308,0.0647878,0.0175357,0.0241668,0.00341083,0.0178973,0.00283123,0.00319533,0.0487971,0.00266449,0.00249088,0.00292546,0.0203293,0.00294245,0.00398548,0.0331786,0.00170931,0.00737306,0.00233809,0.00279891,0.000846891,0,0,0,0,0,0,0,0,0,0,0
11,0.00367457,0.00163267,0.0359197,0.014781,0.015714,0.0103377,0,0,0.00508764,0,0.0222943,0.0023585,0.0416169,0.0237822,0.0300853,0.00999778,0.00314255,0.00654505,0.00773745,0.0184367,0.0138119,0.0616669,0.011686,0.0190464,0.0077348,0.0259556,0.0415242,0.00480505,0.00866043,0.00106137,0.0269243,0.0214462,0.0149967,0.00229546,0.00291242,0,0,0.00446311,0.0185579,0.00177884,0.0646126,0.0181976,0.0236693,0.0037575,0.0183689,0.00334474,0.00310956,0.0494635,0.00265951,0.00236116,0.00369792,0.0206411,0.00377753,0.00498817,0.0330114,0.00151555,0.00774754,0.00246779,0.00279712,0.000507898,0,0,0,0,0,0,0,0,0,0,0
12,0.00380344,0.0015181,0.0382416,0.0149568,0.0156227,0.0110313,0,0,0.00472492,0,0.0222572,0.00208795,0.0426186,0.0314484,0.0304249,0.012114,0.00347952,0.00632579,0.0101078,0.0232511,0.0124186,0.0623644,0.0125897,0.0196227,0.00912424,0.02768,0.0479415,0.00467558,0.00863466,0.000957976,0.0260761,0.0214724,0.0157182,0.00244432,0.00331673,0,0,0.0165777,0.0184001,0.00934285,0.0643398,0.018885,0.0232404,0.00415819,0.0185225,0.00338481,0.00299276,0.0495198,0.00281731,0.00256713,0.00440159,0.0207741,0.00434594,0.00611251,0.0323129,0.012354,0.00242524,0.00261431,0.00272968,0.000938603,0,0,0,0,0,0,0,0,0,0,0
13,0.00378573,0.0012324,0.0410901,0.0150426,0.0162694,0.0112963,0,0,0.00430583,0,0.0220842,0.000248281,0.0435996,0.0389415,0.0305004,0.0146083,0.00401637,0.00604803,0.0126129,0.0276378,0.011185,0.0627807,0.0133058,0.0201414,0.0101714,0.0287109,0.0533536,0.00527422,0.00856092,0.000249341,0.0251219,0.0214711,0.0162395,0.0024099,0.00292368,0,0,0.00336501,0.0186043,0.0017846,0.0641663,0.0194573,0.0229547,0.004233,0.0186243,0.00385608,0.00306167,0.0495484,0.00284234,0.00287149,0.00481902,0.020923,0.00481679,0.0067831,0.0314668,0.00277325,0.00666587,0.00248002,0.00305206,0.000937803,0,0,0,0,0,0,0,0,0,0,0
14,0.00374389,0.00107279,0.0441671,0.0149959,0.0166745,0.0110382,0,0,0.00506179,0,0.0220848,0.00050068,0.044625,0.0450996,0.0306306,0.0167275,0.00427239,0.00573418,0.01463,0.0310951,0.0102852,0.0630278,0.0141937,0.0208095,0.0111409,0.0292722,0.0588303,0.00600691,0.00856118,0.000205602,0.0244273,0.0212852,0.0167554,0.00227388,0.00276016,0,0,0.00362378,0.0185454,0.00182933,0.0641541,0.019366,0.0228765,0.00405078,0.0185078,0.00401118,0.00306345,0.0495771,0.00264695,0.00291438,0.00462432,0.0208937,0.00461604,0.00669091,0.0305335,0.00317896,0.00594998,0.00221231,0.00297664,0.00110168,0,0,0,0,0,0,0,0,0,0,0
15,0.00381158,0.00102769,0.0471047,0.0150043,0.0168318,0.0105504,0,0,0.00577416,0,0.0222474,0.000857743,0.0455762,0.0496747,0.0306766,0.0186033,0.00438446,0.00568022,0.016219,0.0340628,0.00972395,0.0633038,0.0151137,0.0219176,0.0119422,0.029714,0.064915,0.00678278,0.0086205,0.000194891,0.0237681,0.0210316,0.0171779,0.00220647,0.00256021,0,0,0.00403063,0.0184594,0.00180359,0.0643126,0.0183384,0.0229342,0.00365556,0.0182892,0.00407235,0.0028409,0.04948,0.00220207,0.00267631,0.0038879,0.0206465,0.00400287,0.00567379,0.0297369,0.00355597,0.00506974,0.0017913,0.00292672,0.00120625,0,0,0,0,0,0,0,0,0,0,0
16,0.00389022,0.000953205,0.0498545,0.0150151,0.016919,0.0108079,0,0,0.00631849,0,0.0223017,0.000968046,0.0462102,0.0524737,0.0304043,0.020277,0.00447821,0.00593177,0.0175862,0.0366591,0.00947425,0.0636895,0.0164325,0.0234714,0.012274,0.0303045,0.0713347,0.00739416,0.00865116,0.000310808,0.0230285,0.020851,0.0172647,0.0022515,0.00225665,0,0,0.00429084,0.0183828,0.00171311,0.0642803,0.0175124,0.0228298,0.00307132,0.0178557,0.0038879,0.00239805,0.0492338,0.0016253,0.00229641,0.00315034,0.0201361,0.00336788,0.00453939,0.0286607,0.00385735,0.00418473,0.00145213,0.00289076,0.00117261,0,0,0,0,0,0,0,0,0,0,0
17,0.00395801,0.000852278,0.0532718,0.0150622,0.0167798,0.0109321,0,0,0.00674919,0,0.0222656,0.000979923,0.0466129,0.0533977,0.0300875,0.0214523,0.00455288,0.00632014,0.0186351,0.0384532,0.00934937,0.0640869,0.0179203,0.0253206,0.0123553,0.031127,0.0778609,0.00779205,0.00864312,0.000488254,0.0222897,0.02076,0.0169505,0.00214961,0.00192202,0,0,0.0044864,0.0183523,0.0015349,0.0638724,0.0171698,0.0227824,0.00287,0.0173903,0.00384282,0.00204009,0.0489062,0.00109718,0.00206271,0.00302916,0.0196978,0.00291609,0.00422864,0.027438,0.00411553,0.00325194,0.00117789,0.00293535,0.00100751,0,0,0,0,0,0,0,0,0,0,0
18,0.00399379,0.000850482,0.0572823,0.0152234,0.0165674,0.0106425,0,0,0.00737405,0,0.0223891,0.00121977,0.0468191,0.0530967,0.0296861,0.0220661,0.0045552,0.00672472,0.0192176,0.0393675,0.00929228,0.0643184,0.0195956,0.027348,0.0124349,0.0320483,0.0841191,0.00829176,0.00862955,0.000713005,0.0212414,0.0208021,0.0170369,0.00183249,0.00155764,0,0,0.00450666,0.0184041,0.00119732,0.0640481,0.0168783,0.0229969,0.00371609,0.0168755,0.00397154,0.00236425,0.048916,0.00153097,0.0025112,0.00337792,0.0192389,0.00235338,0.00465417,0.0257323,0.00442502,0.00248502,0.000926742,0.00293454,0.000777533,0,0,0,0,0,0,0,0,0,0,0
