Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,RFHD
29,0.0040204,0.00225407,0.068155,0.0166305,0.0309643,0.00475368,0,0,0.0149725,0,0.0232988,0.00668104,0.0400829,0.0251947,0.0211792,0.0261567,0.00384627,0.00927887,0.0130437,0.0133115,0.0263405,0.0617791,0.0183957,0.0183021,0.0119309,0.0298732,0.0799353,0.0132051,0.00953686,0.00241079,0.00687422,0.0214653,0.0108162,0.00604502,0.00271731,0,0,0.00895725,0.0182917,0.00462847,0.0638715,0.0122715,0.0262327,0.00688627,0.00981412,0.00861174,0.00482387,0.0501603,0.00447327,0.0096113,0.0109629,0.0135222,0.0055733,0.0119243,0.00362791,0.0100764,0.00303881,0.00234332,0.00523519,0.001305,0,0,0,0,0,0,0,0,0,0,0
30,0.004142,0.00239358,0.0626954,0.016507,0.0303204,0.00561369,0,0,0.0148258,0,0.0234512,0.00648906,0.0404819,0.0263025,0.0205978,0.0312933,0.00409002,0.00926232,0.015834,0.0193349,0.0287709,0.0611747,0.0177003,0.0147268,0.0110577,0.0291071,0.072161,0.0130392,0.0096821,0.00212783,0.0068824,0.0213482,0.0101836,0.00634251,0.00290776,0,0,0.0102057,0.0181987,0.00500562,0.0640688,0.0125381,0.026565,0.00758688,0.00923225,0.00932522,0.00563067,0.0499556,0.00507311,0.0106711,0.0120192,0.013005,0.00612949,0.0129463,0.00539033,0.0110287,0.00305828,0.00234995,0.00560129,0.00152475,0,0,0,0,0,0,0,0,0,0,0
31,0.00422128,0.00255588,0.0565615,0.0163853,0.0290189,0.00622322,0,0,0.0146428,0,0.0236238,0.00626111,0.0413258,0.027025,0.0201544,0.0351543,0.00430045,0.00925989,0.0182354,0.0245163,0.030288,0.0604157,0.0171942,0.0117476,0.0100817,0.0282356,0.0640905,0.0127801,0.00983539,0.00190672,0.00723691,0.0212568,0.00913228,0.00663099,0.00309826,0,0,0.0112287,0.0181641,0.00533411,0.0642585,0.0126407,0.0268485,0.00836107,0.00869428,0.00994148,0.00647821,0.0497901,0.00573228,0.0118295,0.0129036,0.0127177,0.00681039,0.0141101,0.00751618,0.0119211,0.00296183,0.00223404,0.00587803,0.00177333,0,0,0,0,0,0,0,0,0,0,0
32,0.00428195,0.00267801,0.0501265,0.0163112,0.0272264,0.00706208,0,0,0.014352,0,0.0237874,0.00602068,0.0421808,0.0270354,0.0197371,0.0378512,0.00437552,0.00920164,0.0203412,0.0286565,0.0308314,0.0595805,0.0166884,0.0095635,0.00880434,0.0272486,0.0555719,0.0123842,0.00995844,0.00174505,0.00796466,0.0211263,0.00805008,0.00673771,0.00337243,0,0,0.0123177,0.0180783,0.00580675,0.0643543,0.0127983,0.0270134,0.00907004,0.00815279,0.0105022,0.00717539,0.0496793,0.0063276,0.0128692,0.0133865,0.0123773,0.00735566,0.0151285,0.00961305,0.0128185,0.00277905,0.00212484,0.00605496,0.00201389,0,0,0,0,0,0,0,0,0,0,0
33,0.00434867,0.00274375,0.0432573,0.0163289,0.0249483,0.00795065,0,0,0.014026,0,0.0239558,0.00593248,0.0431218,0.0265766,0.0193049,0.0395732,0.00446312,0.00917245,0.021811,0.0319248,0.0306457,0.0583434,0.0161333,0.0084805,0.00736356,0.0261904,0.0465719,0.0119725,0.0100319,0.00163621,0.00890423,0.0209625,0.00792774,0.00676732,0.00358356,0,0,0.0135406,0.017941,0.0062833,0.0643476,0.0130381,0.0271614,0.00962508,0.00767327,0.0110528,0.00767474,0.0496462,0.00686081,0.0138,0.0139236,0.0120162,0.00782172,0.015938,0.0115957,0.0138055,0.00255702,0.00205198,0.00616555,0.00221749,0,0,0,0,0,0,0,0,0,0,0
34,0.00454868,0.00277375,0.0359779,0.0161419,0.0221325,0.00816749,0,0,0.0136437,0,0.0240625,0.0058351,0.0440664,0.0253053,0.0190317,0.0400826,0.00447579,0.00913169,0.0226495,0.0340369,0.0299712,0.056957,0.015442,0.00843008,0.00595688,0.0250891,0.0375074,0.0115908,0.010108,0.00155686,0.0101047,0.0208365,0.00781106,0.00675808,0.00368887,0,0,0.0145964,0.0178145,0.0066354,0.0642926,0.0133642,0.0273942,0.0101528,0.00740497,0.0115509,0.0082064,0.0496216,0.00762146,0.0147027,0.0145434,0.0117256,0.00824621,0.0165808,0.0135053,0.0146988,0.00238703,0.00197147,0.00632815,0.00235805,0,0,0,0,0,0,0,0,0,0,0
35,0.00465064,0.00247482,0.0277782,0.0157257,0.0184307,0.00832331,0,0,0.0132974,0,0.0243645,0.00550456,0.0449432,0.0231322,0.0186992,0.0397671,0.00440117,0.00916729,0.0230896,0.0352656,0.0291605,0.055929,0.0147227,0.00909796,0.0041016,0.0235153,0.0280407,0.0113635,0.00998402,0.00133094,0.0111513,0.0199491,0.00749951,0.00680436,0.00351699,0,0,0.0151837,0.0184095,0.00693115,0.0639838,0.0136002,0.0277311,0.010859,0.0074655,0.0116055,0.00886643,0.0497373,0.00841061,0.0156175,0.0153138,0.0111991,0.00884287,0.0173562,0.0151519,0.015011,0.0027483,0.00245264,0.00613808,0.00225283,0,0,0,0,0,0,0,0,0,0,0
36,0.0043707,0.00260381,0.0202593,0.0158878,0.0158316,0.00835975,0,0,0.0149457,0,0.0240868,0.00652091,0.0464256,0.0218869,0.0187579,0.0376885,0.00443621,0.00934238,0.0225888,0.035011,0.0270761,0.0539292,0.0136736,0.0100162,0.00418703,0.0227391,0.0188809,0.0124028,0.0102771,0.00155263,0.0128694,0.0206329,0.00724873,0.00637042,0.0038385,0,0,0.0159285,0.017726,0.00705641,0.0641083,0.0135612,0.0279337,0.0111265,0.00719589,0.0120938,0.00936123,0.0493959,0.00868993,0.0162621,0.015526,0.0112672,0.00879848,0.0176807,0.0172326,0.0156897,0.00197745,0.00180991,0.00619852,0.00225854,0,0,0,0,0,0,0,0,0,0,0
37,0.00428085,0.00239455,0.0117664,0.0159226,0.0123569,0.00839223,0,0,0.0151431,0,0.0241935,0.00660013,0.0476731,0.0196249,0.018668,0.0346976,0.00424242,0.00937522,0.0217422,0.0336947,0.0243266,0.0521434,0.0126295,0.01138,0.00393078,0.0216826,0.00920946,0.0124405,0.0103435,0.00159584,0.0142007,0.0204944,0.00699693,0.00610127,0.00395148,0,0,0.0165033,0.0176887,0.00714195,0.0642022,0.0136083,0.0279424,0.0114629,0.00698535,0.0123063,0.00986165,0.0493206,0.00872511,0.0168925,0.0158884,0.0111883,0.00902186,0.0181841,0.0191245,0.0160512,0.00186715,0.00166037,0.00610949,0.00220089,0,0,0,0,0,0,0,0,0,0,0
38,0.00429943,0.00209953,0.0039366,0.0158991,0.00902545,0.00820518,0,0,0.0152583,0,0.024281,0.00668847,0.0487344,0.0167841,0.0186849,0.0304467,0.00403575,0.00938089,0.0198296,0.0309431,0.0209381,0.050317,0.0115261,0.0124927,0.00428063,0.020755,0.00301465,0.0124569,0.0103886,0.00164642,0.0154089,0.0203674,0.00683327,0.00580775,0.00396658,0,0,0.0170183,0.0176611,0.00722168,0.0642628,0.0136756,0.0278574,0.0118484,0.00692654,0.0124629,0.0102802,0.0491563,0.00897179,0.0174244,0.0162269,0.0112068,0.00920536,0.0186413,0.0208038,0.0163853,0.00185387,0.00149864,0.00606355,0.00211791,0,0,0,0,0,0,0,0,0,0,0
39,0.00428281,0.00185021,0.00732496,0.0158759,0.00758102,0.00768803,0,0,0.0152356,0,0.0243385,0.00674664,0.0494483,0.0139034,0.0188182,0.0251482,0.00387606,0.00942113,0.0168326,0.0266826,0.016868,0.0485283,0.0104821,0.0131913,0.00514391,0.0199528,0.0109646,0.0125377,0.0104191,0.00172367,0.0163807,0.0202355,0.00665821,0.00536241,0.00387675,0,0,0.0174278,0.017614,0.00729134,0.0642613,0.0136137,0.0277098,0.0122658,0.00715845,0.0124703,0.0106883,0.0489567,0.00948506,0.0178908,0.0165255,0.0112777,0.00933969,0.0189952,0.0221583,0.0165748,0.0020222,0.00144832,0.00594009,0.0020359,0,0,0,0,0,0,0,0,0,0,0
40,0.00419335,0.00170132,0.0149495,0.0158412,0.00918612,0.00686735,0,0,0.0149727,0,0.0243788,0.0067558,0.0499271,0.0120564,0.0190419,0.0190302,0.00372572,0.00944384,0.0129749,0.0211774,0.0118056,0.0469548,0.00960017,0.0133603,0.00629294,0.0192841,0.0189489,0.0125386,0.0104414,0.00181107,0.017407,0.0200958,0.00648633,0.00472712,0.00385412,0,0,0.017795,0.0175478,0.00722709,0.0642381,0.013407,0.0274857,0.0125185,0.00735909,0.0123697,0.0109669,0.0487336,0.00980551,0.0182275,0.0166377,0.0112514,0.00928744,0.0191301,0.0233743,0.0166891,0.00220258,0.00143453,0.0056967,0.00203042,0,0,0,0,0,0,0,0,0,0,0
41,0.00408996,0.0015944,0.0220248,0.0155217,0.0123563,0.00591069,0,0,0.0150751,0,0.0243839,0.00704099,0.0503237,0.0121015,0.0195203,0.012594,0.00354607,0.00947347,0.00847497,0.0149488,0.00632477,0.0458224,0.00907369,0.0132793,0.00759065,0.0187792,0.0256744,0.0128009,0.010518,0.00175259,0.0183452,0.0200156,0.00645345,0.00413851,0.0038915,0,0,0.0184038,0.0175421,0.00737961,0.0643105,0.013296,0.0272272,0.0126464,0.00736198,0.0123546,0.0111336,0.048426,0.0101311,0.0184507,0.0166241,0.0113415,0.00916027,0.0191756,0.0242628,0.0169911,0.00201918,0.00143987,0.00552384,0.00209547,0,0,0,0,0,0,0,0,0,0,0
42,0.00410748,0.00152642,0.0272228,0.0152704,0.0161832,0.00481156,0,0,0.0149089,0,0.0244163,0.00704498,0.0504875,0.0148389,0.0202633,0.0061925,0.00339373,0.00938603,0.00361526,0.00826129,0.00212077,0.0454469,0.00882371,0.0130604,0.00893865,0.0184364,0.0304438,0.0127834,0.010578,0.00157054,0.0192348,0.0199813,0.00621355,0.00358716,0.00405318,0,0,0.0187145,0.017573,0.00732079,0.0644918,0.013092,0.0267468,0.0127156,0.00769022,0.0123879,0.0112844,0.0480594,0.0102678,0.0186115,0.0165622,0.0116152,0.00901696,0.019187,0.0252528,0.0169902,0.00205258,0.00151386,0.00551303,0.00230628,0,0,0,0,0,0,0,0,0,0,0
43,0.00407036,0.00152212,0.0311745,0.0152674,0.0205496,0.00368062,0,0,0.0130848,0,0.0246255,0.00594713,0.0503424,0.0202678,0.0209429,0.00166299,0.00320222,0.0087837,0.00264717,0.00309006,0.00566228,0.0461058,0.00896645,0.013051,0.0107625,0.0189062,0.0341501,0.0114589,0.0105015,0.00111335,0.0198669,0.0197544,0.00602028,0.00308296,0.0042126,0,0,0.0186795,0.0177854,0.00699349,0.0645678,0.0127694,0.0262597,0.0127368,0.00824194,0.0123163,0.0113887,0.0476086,0.0102783,0.01861,0.0164041,0.0119392,0.00892329,0.0189668,0.0260601,0.0166492,0.00253892,0.00173786,0.00550894,0.00250557,0,0,0,0,0,0,0,0,0,0,0
44,0.00422142,0.00150554,0.0328929,0.0152241,0.0234208,0.00347194,0,0,0.0147823,0,0.0245272,0.00688902,0.0501125,0.0244893,0.0218762,0.00620767,0.00317617,0.00918827,0.00860117,0.00714508,0.0103113,0.0472167,0.00938477,0.0124749,0.0113479,0.017748,0.0352081,0.0126181,0.0105478,0.00112264,0.0208298,0.0198976,0.00606027,0.00294696,0.00460024,0,0,0.0192708,0.0175672,0.00723448,0.0646409,0.0123863,0.02534,0.0126211,0.00890082,0.012422,0.0114507,0.0471339,0.0102845,0.0185869,0.0161112,0.0123688,0.00855312,0.0186474,0.0273674,0.0170091,0.00222445,0.00162707,0.00576254,0.00292697,0,0,0,0,0,0,0,0,0,0,0
45,0.00428118,0.00160755,0.0357108,0.0151355,0.0268062,0.00384964,0,0,0.0145916,0,0.0245735,0.00672142,0.0498528,0.0289322,0.022651,0.0104959,0.00305826,0.00906311,0.0144154,0.0135597,0.0143015,0.0488762,0.0104005,0.0128762,0.0121452,0.01713,0.0370217,0.0124119,0.0105601,0.000980573,0.0217268,0.0198584,0.00616534,0.00301496,0.00502502,0,0,0.0196086,0.0175539,0.00731256,0.0646755,0.0123398,0.0246094,0.0124454,0.00939129,0.0125489,0.0114908,0.0466616,0.0102971,0.0185228,0.0158691,0.0127924,0.00819071,0.0184797,0.0286126,0.0170771,0.00227785,0.00166592,0.00603104,0.00331703,0,0,0,0,0,0,0,0,0,0,0
46,0.00450341,0.0017484,0.0404264,0.0149009,0.0303126,0.00405341,0,0,0.0137876,0,0.0247053,0.00632586,0.0494976,0.0324385,0.0230953,0.0131463,0.00274484,0.00883768,0.0193908,0.0187307,0.0177294,0.0503832,0.0119095,0.0141536,0.0136556,0.015582,0.0414887,0.0118234,0.0105601,0.000845718,0.022826,0.019863,0.00628085,0.00334492,0.00555123,0,0,0.020276,0.0175834,0.00766082,0.0647534,0.0127616,0.0242056,0.0122945,0.0095493,0.0128859,0.0115768,0.0462187,0.0103234,0.0185267,0.0157916,0.0131051,0.00792456,0.0185506,0.0298288,0.0174869,0.00230873,0.00153308,0.00634433,0.00372422,0,0,0,0,0,0,0,0,0,0,0
47,0.00461425,0.00201184,0.0467643,0.0146196,0.0356636,0.00449599,0,0,0.0139642,0,0.0248845,0.00657578,0.0492138,0.0382422,0.023527,0.0153303,0.00248876,0.00882044,0.0235237,0.0229803,0.0204041,0.0515299,0.0142863,0.0165663,0.017495,0.0138396,0.0472858,0.0120876,0.0107317,0.000787238,0.023735,0.019823,0.00588648,0.00421221,0.00597406,0,0,0.0202938,0.0175435,0.00751573,0.0647121,0.013252,0.0235859,0.011902,0.00992147,0.0129503,0.0115663,0.0459388,0.0100297,0.0184767,0.0156748,0.0134736,0.00786538,0.0187568,0.0311046,0.0172534,0.00233668,0.00172689,0.00664243,0.00406456,0,0,0,0,0,0,0,0,0,0,0
48,0.0047691,0.00229186,0.0528825,0.0145562,0.0406076,0.00436549,0,0,0.0138064,0,0.0250397,0.00655199,0.0491862,0.0445336,0.0236426,0.017094,0.00235301,0.00878114,0.026094,0.0254657,0.0221281,0.0522907,0.0152562,0.0180202,0.0202229,0.0137518,0.0532841,0.0120843,0.0107287,0.000738184,0.0241102,0.019775,0.00563575,0.00456989,0.00619565,0,0,0.0207267,0.0174989,0.00770643,0.0647596,0.0140012,0.0231211,0.0115786,0.00979578,0.0130661,0.0116204,0.0457702,0.00985399,0.0183879,0.0156323,0.0136917,0.00793002,0.0189083,0.0321155,0.0173393,0.00241479,0.00177801,0.00685716,0.00434154,0,0,0,0,0,0,0,0,0,0,0
49,0.00486666,0.00248844,0.0563658,0.0144996,0.0432227,0.00388239,0,0,0.0136396,0,0.0250528,0.00653173,0.0493814,0.048231,0.0235338,0.0183793,0.00232614,0.00874473,0.027175,0.02656,0.0230194,0.0523797,0.015245,0.0181426,0.0212611,0.0141431,0.0568728,0.0119626,0.0106521,0.000703964,0.0245267,0.0197113,0.00539519,0.00462124,0.00632532,0,0,0.0209945,0.0174581,0.00783705,0.0647857,0.0147026,0.0227992,0.0111031,0.00959242,0.0130952,0.01161,0.045816,0.00950549,0.0182135,0.0154501,0.0138617,0.00784302,0.0189929,0.033196,0.0173357,0.0025581,0.00182318,0.00707741,0.00453256,0,0,0,0,0,0,0,0,0,0,0
50,0.00488719,0.00261516,0.0566339,0.0143216,0.0429129,0.00342363,0,0,0.0134548,0,0.024952,0.00647016,0.0497335,0.0483954,0.0231817,0.0189736,0.00232274,0.00866051,0.0271129,0.0265545,0.0231164,0.0518137,0.0145415,0.0171077,0.0207349,0.0145215,0.0571743,0.0117121,0.0105016,0.000724566,0.0250487,0.019638,0.00529453,0.00467075,0.00624875,0,0,0.0211271,0.0174239,0.00788181,0.0646949,0.0152477,0.0227472,0.0104704,0.00951498,0.0130845,0.0115253,0.0460206,0.00904347,0.0179095,0.0150368,0.0140214,0.00752526,0.0189314,0.0342616,0.017248,0.00286225,0.00188625,0.00725021,0.00470828,0,0,0,0,0,0,0,0,0,0,0
51,0.00462228,0.00272616,0.0525099,0.0139052,0.0388657,0.00283077,0,0,0.0127011,0,0.0250811,0.00587484,0.0497569,0.0447356,0.0226253,0.0184135,0.00258329,0.00786042,0.0264774,0.0263222,0.0228512,0.0513087,0.0108379,0.013278,0.0175314,0.0168765,0.0526014,0.0108968,0.0102276,0.000614722,0.0250526,0.0190806,0.0054567,0.00438389,0.00582651,0,0,0.0214231,0.0178137,0.00806919,0.0642774,0.0157621,0.0232339,0.00984377,0.00955039,0.0130291,0.0112272,0.0463335,0.00855434,0.0173183,0.0144348,0.0141047,0.00725392,0.0186289,0.0347356,0.0172878,0.00333899,0.00222599,0.00721015,0.00457337,0,0,0,0,0,0,0,0,0,0,0
52,0.00487453,0.00272504,0.0487953,0.014105,0.0357012,0.00284387,0,0,0.0134065,0,0.0248586,0.00657014,0.0506377,0.0410529,0.0222378,0.0180678,0.00247031,0.00862385,0.0249547,0.0249813,0.0206343,0.0494612,0.0119152,0.0135781,0.0164183,0.015525,0.0488666,0.0115514,0.0102424,0.000916401,0.0252716,0.019355,0.00539057,0.00458123,0.00595499,0,0,0.0212028,0.0173075,0.00797806,0.0642174,0.0159043,0.0229547,0.00925525,0.00966725,0.0126272,0.0108876,0.0464769,0.00819788,0.0166731,0.0138903,0.0140225,0.00709509,0.01815,0.0354257,0.0169287,0.00356846,0.0021657,0.00727094,0.00460806,0,0,0,0,0,0,0,0,0,0,0
53,0.00485198,0.00268397,0.0434012,0.0142768,0.030996,0.00311024,0,0,0.0133628,0,0.0247203,0.00660762,0.0508409,0.0344648,0.0216545,0.0165077,0.00235879,0.00880352,0.0233518,0.0232456,0.0181872,0.0483236,0.0102868,0.0119118,0.0136712,0.0165953,0.0442086,0.011416,0.01024,0.000932978,0.0251021,0.0192756,0.0053748,0.00443375,0.00566694,0,0,0.0210497,0.0171959,0.00794272,0.0639755,0.0158471,0.0236039,0.00851521,0.00920801,0.0122594,0.0101382,0.0468668,0.00758266,0.01563,0.0133339,0.0136749,0.00714053,0.0175233,0.0359064,0.0167169,0.00370266,0.00223886,0.0070264,0.00434681,0,0,0,0,0,0,0,0,0,0,0
54,0.00460085,0.00252239,0.0393066,0.0144223,0.0272772,0.00301455,0,0,0.0136748,0,0.0246349,0.00690848,0.0508889,0.0292031,0.0212762,0.0147683,0.00253942,0.00897635,0.0217416,0.0214263,0.0152669,0.0471553,0.00892859,0.0110651,0.0121246,0.0181067,0.0401548,0.0115324,0.0102136,0.00114095,0.0254472,0.0191961,0.0054702,0.00426097,0.00522378,0,0,0.0207892,0.0172453,0.00786582,0.0639006,0.0151696,0.0238365,0.00780268,0.00913725,0.0116381,0.00914324,0.0471033,0.00729062,0.0141141,0.0124381,0.013399,0.00684003,0.0162496,0.0363784,0.0164021,0.00416551,0.00237417,0.00675495,0.00384568,0,0,0,0,0,0,0,0,0,0,0
55,0.00436865,0.00229814,0.0378389,0.0146614,0.024727,0.00323292,0,0,0.0138601,0,0.0244956,0.00710001,0.050668,0.025361,0.0208381,0.0119461,0.00262536,0.00924349,0.0193449,0.0182945,0.0128401,0.0462745,0.00865714,0.0117507,0.0116346,0.0180041,0.0400107,0.0115459,0.0102473,0.00127056,0.025664,0.0191413,0.00577019,0.00383571,0.00484257,0,0,0.0203068,0.017238,0.00763602,0.0639447,0.0139694,0.0243644,0.00693165,0.00864514,0.0109785,0.00783425,0.0474281,0.00689727,0.012114,0.0112721,0.0131607,0.0063699,0.0143561,0.0369603,0.0160513,0.00450512,0.00238588,0.00642974,0.00344566,0,0,0,0,0,0,0,0,0,0,0
56,0.00424044,0.00204689,0.0363187,0.0147173,0.0224152,0.00381991,0,0,0.0141657,0,0.0243977,0.00730896,0.0503341,0.022373,0.0203525,0.00955932,0.00275012,0.00945786,0.0167295,0.0152221,0.0113052,0.0455923,0.00817142,0.0126642,0.0113556,0.0178701,0.0390829,0.0117377,0.0102369,0.00138374,0.0260454,0.0191286,0.00599706,0.00307564,0.00437633,0,0,0.0194608,0.0172811,0.00726815,0.0640775,0.0120192,0.0248264,0.00625232,0.00809891,0.0101727,0.00632257,0.0478008,0.00682736,0.00967095,0.00964472,0.013237,0.00544839,0.0114759,0.0374549,0.0155104,0.00474901,0.00235041,0.00614133,0.00307684,0,0,0,0,0,0,0,0,0,0,0
57,0.00425094,0.00185176,0.0338263,0.0145716,0.0197107,0.00480452,0,0,0.0146284,0,0.0243978,0.00757762,0.0497282,0.0202584,0.0199202,0.00829291,0.0027363,0.00959516,0.0142783,0.0128509,0.0109572,0.0449333,0.00819471,0.013337,0.0107599,0.0167654,0.0365785,0.0121942,0.0101589,0.00156503,0.0264418,0.0191573,0.0062191,0.00257313,0.0037646,0,0,0.0182519,0.0173947,0.00665139,0.0642788,0.00936633,0.025265,0.005804,0.00770091,0.00926043,0.00472283,0.0482766,0.006921,0.00721972,0.00706782,0.0138008,0.00402177,0.00772632,0.0375226,0.0147465,0.00498728,0.00239582,0.00585384,0.00280522,0,0,0,0,0,0,0,0,0,0,0
58,0.00413173,0.0015173,0.0313265,0.0147821,0.0171591,0.00595339,0,0,0.0123034,0,0.024761,0.00570689,0.0492878,0.0196971,0.0195132,0.00746166,0.00247193,0.00880609,0.012184,0.0113175,0.0118676,0.0443694,0.00971113,0.0143892,0.0103767,0.0144982,0.0339773,0.0108889,0.00993218,0.000978232,0.0272093,0.018426,0.0069426,0.00216703,0.00336746,0,0,0.0167323,0.0180014,0.00626187,0.0646349,0.00734203,0.0259126,0.006077,0.00737769,0.0084714,0.00394638,0.0487086,0.00754905,0.00592446,0.00340922,0.0149291,0.00247509,0.00272845,0.0376152,0.0138623,0.00485481,0.00242886,0.00531312,0.00297895,0,0,0,0,0,0,0,0,0,0,0
59,0.00364949,0.00152111,0.0295188,0.0143484,0.0168206,0.00690339,0,0,0.0143995,0,0.0245236,0.00747582,0.0493148,0.0208705,0.0193991,0.00588985,0.00245762,0.00938874,0.0104441,0.010557,0.0130649,0.0444241,0.0120182,0.0170108,0.0109159,0.0120571,0.0322844,0.0126544,0.00987243,0.00190913,0.0284745,0.0190293,0.00934109,0.00182437,0.0028293,0,0,0.0145131,0.0175736,0.00510101,0.065051,0.0111903,0.0265909,0.00668535,0.00697681,0.00767652,0.00472899,0.0492626,0.0083662,0.00719738,0.00278434,0.0162765,0.00394569,0.00504502,0.0381828,0.0123306,0.00558174,0.00299386,0.00503641,0.0027559,0,0,0,0,0,0,0,0,0,0,0
60,0.00331071,0.00120692,0.0277501,0.0141925,0.017555,0.00741072,0,0,0.0145267,0,0.0245065,0.00769001,0.0499871,0.021183,0.0198084,0.00608014,0.00251006,0.00935596,0.00881701,0.00953404,0.0127022,0.0448692,0.0136818,0.0194742,0.0111844,0.010658,0.0302961,0.0128703,0.00977747,0.00218763,0.0304421,0.018949,0.012546,0.00163871,0.00273264,0,0,0.0130555,0.0176866,0.00468666,0.0653776,0.0164331,0.0274244,0.00716564,0.00686185,0.00712025,0.00630655,0.0497367,0.00905068,0.00983024,0.00700461,0.0174432,0.00677641,0.0115469,0.0392244,0.0110565,0.00601687,0.00330407,0.00432363,0.00246314,0,0,0,0,0,0,0,0,0,0,0
61,0.00296006,0.000766868,0.0261114,0.0141303,0.0176199,0.00743171,0,0,0.0142145,0,0.0244535,0.00769626,0.050831,0.0200318,0.0206372,0.00820298,0.00239233,0.00920217,0.00612238,0.00863522,0.0105799,0.0448803,0.0140159,0.020275,0.0104931,0.0104939,0.0281298,0.0124588,0.0097868,0.00216831,0.0320502,0.0188818,0.0150819,0.00172725,0.00305314,0,0,0.0118785,0.0178141,0.00464076,0.0654935,0.0204092,0.0283537,0.00760561,0.00714139,0.00665864,0.00774783,0.0503161,0.00957391,0.0123304,0.0108296,0.0182799,0.00924117,0.0169877,0.0401443,0.00976872,0.0065452,0.00349379,0.00337542,0.00270035,0,0,0,0,0,0,0,0,0,0,0
62,0.00290652,0.000579207,0.024227,0.0140774,0.0166245,0.00708483,0,0,0.0139809,0,0.0244031,0.00779315,0.0514192,0.0179426,0.0210503,0.0103815,0.00239071,0.00905706,0.0049565,0.0113262,0.00804727,0.0439893,0.0134367,0.0197102,0.00920188,0.0111963,0.0255086,0.0118178,0.00988422,0.00209081,0.0334416,0.0188056,0.0165752,0.00230221,0.00374221,0,0,0.0108712,0.0179242,0.00466063,0.0656392,0.0217789,0.0294052,0.00788873,0.00735748,0.00628856,0.00884093,0.051023,0.00965523,0.0142689,0.0138004,0.0190543,0.0111395,0.0209383,0.0397601,0.00873588,0.00715842,0.00362306,0.0026205,0.00348772,0,0,0,0,0,0,0,0,0,0,0
63,0.00320637,0.000768291,0.0217375,0.0141243,0.0150111,0.00657625,0,0,0.013648,0,0.0243814,0.00767894,0.051703,0.0153397,0.0208866,0.0130333,0.00281036,0.00867329,0.00876255,0.0166437,0.00764632,0.0427272,0.0126225,0.0190466,0.00799998,0.0123904,0.0228845,0.0109118,0.0099984,0.00192191,0.0325766,0.0188108,0.016644,0.00338068,0.00432095,0,0,0.00978074,0.0180167,0.00447671,0.0656854,0.0232182,0.0302369,0.00822167,0.00752277,0.00604181,0.00987078,0.0518901,0.00963185,0.0158146,0.0158313,0.0200171,0.0124662,0.0232753,0.0388888,0.0080088,0.00757032,0.00364303,0.00236469,0.00395297,0,0,0,0,0,0,0,0,0,0,0
64,0.00325835,0.00095742,0.018618,0.0143196,0.0136285,0.00603607,0,0,0.0133131,0,0.0243178,0.00740243,0.0518562,0.0135443,0.020589,0.0152045,0.0035293,0.00790027,0.0109653,0.0198571,0.00859213,0.0420651,0.0121158,0.0184853,0.00762905,0.0135786,0.0194262,0.0100334,0.0100921,0.00172484,0.0308294,0.0189029,0.0156524,0.00472202,0.00433338,0,0,0.00854544,0.0180732,0.00393859,0.0656371,0.024292,0.0307202,0.00839173,0.00740221,0.00590617,0.0109748,0.0527427,0.00939622,0.0169916,0.0170533,0.0210264,0.0132066,0.0242426,0.0368558,0.00748487,0.00771328,0.00350856,0.00253397,0.0038453,0,0,0,0,0,0,0,0,0,0,0
65,0.00285416,0.000963487,0.0158381,0.0144997,0.0125476,0.00575507,0,0,0.0130739,0,0.0241832,0.00711725,0.052115,0.0124011,0.020271,0.0170163,0.00418038,0.0068889,0.0115059,0.0209263,0.00949962,0.0420586,0.0122045,0.0183008,0.00758841,0.0146032,0.0161986,0.00917961,0.0101406,0.00158992,0.0285971,0.0191307,0.0139039,0.0059262,0.00372674,0,0,0.00735056,0.018099,0.00316732,0.0653333,0.0252404,0.0308203,0.00862171,0.00701777,0.00584775,0.0121931,0.0535687,0.0092306,0.0179854,0.0174323,0.0218542,0.0134087,0.0239249,0.0333134,0.00727043,0.00748634,0.00319528,0.00279548,0.00344238,0,0,0,0,0,0,0,0,0,0,0
