Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66
196,0.00243993,0.00150301,0.0360716,0.0156687,0.0187271,0.00456198,0,0,0.00623825,0,0.0223941,0.00168153,0.0455343,0.0128983,0.0281179,0.0160753,0.00413288,0.00501397,0.0057454,0.00670437,0.0164545,0.0443173,0.00971717,0.00930036,0.00757945,0.019019,0.0417315,0.00598683,0.00920494,0.00107466,0.0368802,0.0200168,0.0123635,0.00606314,0.00307356,0,0,0.00587703,0,0.0190706,0.00324625,0.0620796,0.015667,0.0194894,0.01868,0.00321279,0.00783906,0.00864792,0.0572711,0.0166422,0.00949502,0.0223747,0.0249887,0.0109992,0.0226104,0.0451206,0.00945802,0.00651389,0.0033814,0.00260382,0.00239964,0,0,0,0,0,0
197,0.00320589,0.00175719,0.0370416,0.0157757,0.0194758,0.00477423,0,0,0.00703408,0,0.0224335,0.00202282,0.0455023,0.0134314,0.0281688,0.0176037,0.00438793,0.00533891,0.00702522,0.0085244,0.0178751,0.0443167,0.00998885,0.00906423,0.00756343,0.0190537,0.0427818,0.00662284,0.0091805,0.001229,0.0327368,0.0199086,0.011253,0.00584348,0.00308943,0,0,0.00634898,0,0.0188444,0.00325981,0.0621827,0.0137646,0.0192892,0.0165515,0.00302291,0.00796426,0.00797557,0.0568401,0.0152237,0.00775694,0.0200757,0.0247773,0.0105287,0.0201505,0.0403748,0.00981648,0.00680104,0.00303225,0.00296649,0.00275954,0,0,0,0,0,0
198,0.00370282,0.00197987,0.0382282,0.0157594,0.020187,0.00480299,0,0,0.00662474,0,0.02239,0.00197283,0.0456683,0.0137078,0.0281176,0.0188171,0.00458194,0.00555683,0.00805861,0.0099729,0.0191293,0.0442095,0.0101831,0.00880458,0.00755038,0.0191191,0.0441673,0.00660616,0.00914327,0.00115388,0.0277765,0.0197874,0.00990414,0.00574921,0.00329383,0,0,0.00596856,0,0.0190035,0.00353889,0.0623393,0.0118875,0.0191855,0.0141366,0.00282011,0.00756726,0.00719047,0.0562364,0.013398,0.00595892,0.0178684,0.0244565,0.0100702,0.017796,0.0351275,0.00888909,0.00642297,0.00322475,0.00322542,0.00318772,0,0,0,0,0,0
199,0.00408676,0.00222047,0.0392515,0.0157157,0.0207979,0.00479704,0,0,0.00627948,0,0.022386,0.00209146,0.0458733,0.013934,0.0279958,0.0198091,0.00451236,0.00574346,0.00902757,0.0114059,0.0199158,0.0440606,0.0103471,0.00867253,0.00749211,0.0191249,0.0453648,0.00674897,0.00913718,0.00106151,0.0224655,0.0196648,0.00823086,0.00556413,0.00363494,0,0,0.0063249,0,0.019076,0.00378451,0.0624997,0.0102633,0.0192068,0.0113243,0.00267223,0.00747168,0.00629653,0.0554674,0.0111955,0.00416045,0.0156716,0.0241503,0.00958593,0.0153633,0.0290714,0.00861228,0.00630854,0.00340853,0.00348946,0.00352516,0,0,0,0,0,0
200,0.00420427,0.00242201,0.0402027,0.0156951,0.0212396,0.0047767,0,0,0.006937,0,0.022432,0.00210036,0.0459879,0.0141135,0.0278204,0.0206544,0.00438277,0.00566103,0.00990158,0.012707,0.0205402,0.0438384,0.0104217,0.00847638,0.00730103,0.0190605,0.0463021,0.00693012,0.00918541,0.00103185,0.0169306,0.019582,0.00639014,0.0053653,0.00386274,0,0,0.00681895,0,0.0191429,0.00399622,0.0626535,0.00961398,0.0193753,0.00812733,0.00248638,0.00743467,0.00531981,0.0545183,0.00864228,0.00259982,0.0135032,0.0237755,0.00906022,0.0131723,0.0223541,0.00883166,0.00640075,0.00349395,0.00372863,0.00375491,0,0,0,0,0,0
201,0.00428619,0.00264457,0.0411061,0.0157484,0.0217758,0.00455034,0,0,0.00793819,0,0.0225081,0.00220836,0.046123,0.0143021,0.0275754,0.021513,0.00457147,0.00549424,0.0106996,0.0137405,0.0211705,0.0434771,0.0103829,0.00820968,0.00701101,0.018961,0.0470927,0.00719044,0.00920271,0.00110032,0.0116243,0.019542,0.00537346,0.0050904,0.00410289,0,0,0.00739747,0,0.0192205,0.0041688,0.06296,0.0107328,0.0197149,0.00465135,0.00240864,0.0076894,0.00445172,0.0533564,0.00578449,0.00202979,0.0113179,0.023189,0.00853188,0.0114745,0.0157143,0.00935368,0.00671779,0.00342481,0.00401824,0.00400865,0,0,0,0,0,0
202,0.00462293,0.00284499,0.0419978,0.0158876,0.0222361,0.00417042,0,0,0.00898415,0,0.0225668,0.00257857,0.0463639,0.0143115,0.0270733,0.0222269,0.00457698,0.00543042,0.0112978,0.0143665,0.0217079,0.0430157,0.0103124,0.00792526,0.00674848,0.0187942,0.047854,0.00763898,0.00915305,0.00138645,0.00721505,0.0194993,0.00671629,0.0048128,0.00426749,0,0,0.00829898,0,0.0192705,0.00441627,0.0633332,0.0136557,0.020194,0.0011042,0.00236665,0.00813973,0.00427081,0.0520623,0.00281283,0.00340547,0.00907982,0.0224712,0.00800424,0.0100548,0.0108457,0.0101235,0.00701583,0.00338492,0.0044041,0.00413125,0,0,0,0,0,0
203,0.00502333,0.00302501,0.0426961,0.0158995,0.0225225,0.00369741,0,0,0.00954798,0,0.0225247,0.00266475,0.0466251,0.0141498,0.026493,0.0226922,0.00478665,0.00544893,0.0117142,0.0146416,0.0219892,0.0424871,0.0102307,0.00760223,0.00650861,0.0186468,0.0487308,0.00777019,0.00911985,0.00142419,0.0091312,0.0194272,0.00951588,0.00480064,0.0045657,0,0,0.00936329,0,0.0193317,0.00473095,0.0636976,0.016735,0.0207173,0.00224011,0.00243885,0.00851307,0.00526312,0.0507499,0.00132944,0.00539994,0.00699819,0.0217876,0.00750863,0.00908992,0.00966263,0.0107417,0.00694063,0.00330845,0.00484198,0.00427135,0,0,0,0,0,0
204,0.004852,0.00318825,0.0434088,0.0158643,0.0226279,0.00311536,0,0,0.00995113,0,0.0225189,0.00281513,0.0470153,0.0137892,0.0259281,0.0228013,0.00499823,0.00559335,0.0119718,0.0145147,0.0221465,0.0420766,0.00998304,0.00719266,0.00621636,0.0186114,0.049696,0.00792815,0.00908147,0.00137853,0.0134716,0.0193599,0.0125075,0.00515025,0.00492844,0,0,0.0105826,0,0.019324,0.00507596,0.0640339,0.0208433,0.021303,0.00486786,0.00257879,0.00890742,0.00695534,0.0496349,0.00387688,0.00691936,0.00552667,0.0209536,0.00775178,0.00921095,0.0118747,0.0116438,0.00664442,0.0033009,0.00529061,0.00443033,0,0,0,0,0,0
205,0.00460589,0.0034025,0.0439601,0.0158285,0.0225195,0.0027098,0,0,0.0102338,0,0.022475,0.00272201,0.0473113,0.0133732,0.0254319,0.0225412,0.00508799,0.00577453,0.0120719,0.0139908,0.0221563,0.0416113,0.00956575,0.00675797,0.00588438,0.0185184,0.0505012,0.00804884,0.00912512,0.00125984,0.0191305,0.0188316,0.0139645,0.00575007,0.00520584,0,0,0.0112987,0,0.0195375,0.0049402,0.0641533,0.0237392,0.021783,0.00670197,0.00268558,0.00937232,0.00914209,0.0490554,0.00667646,0.00865805,0.00421984,0.0199755,0.00729052,0.00876086,0.0173904,0.0122886,0.00717084,0.00287301,0.00576065,0.00451622,0,0,0,0,0,0
206,0.0045916,0.00337116,0.0467568,0.0157271,0.0221128,0.00233831,0,0,0.0107773,0,0.0225038,0.00275122,0.0476363,0.0109571,0.024985,0.0213778,0.00518201,0.00591716,0.0111694,0.0116784,0.0213954,0.0412164,0.00872171,0.00611494,0.0055983,0.0185765,0.0539521,0.0083457,0.00902017,0.00123593,0.0311663,0.0192442,0.0198651,0.00642177,0.00516876,0,0,0.0130299,0,0.0192221,0.00615758,0.0637677,0.027593,0.0220409,0.00839305,0.00275089,0.009535,0.0122268,0.0493033,0.0106052,0.0126633,0.00369504,0.0182007,0.00627778,0.00559495,0.0319379,0.0129756,0.0067182,0.00364471,0.00602313,0.00452926,0,0,0,0,0,0
207,0.00485358,0.00341394,0.0479721,0.0155882,0.0217129,0.00187836,0,0,0.0110563,0,0.022445,0.00272124,0.0481609,0.00972629,0.0247178,0.0201069,0.00519618,0.00591314,0.0104591,0.0099656,0.0204802,0.0408271,0.00804301,0.0058769,0.00531717,0.0184795,0.0553227,0.00832947,0.00902876,0.00123995,0.044089,0.0191878,0.029726,0.00669564,0.00540455,0,0,0.0136356,0,0.0193278,0.00633987,0.0633791,0.0355884,0.0224382,0.0109184,0.0025614,0.00973245,0.0153752,0.0497799,0.0150783,0.0166182,0.00706396,0.018828,0.0112636,0.00831619,0.0456317,0.0136179,0.00635606,0.00361315,0.00623807,0.00464598,0,0,0,0,0,0
208,0.00478439,0.00348504,0.048779,0.0154136,0.0210821,0.00146248,0,0,0.0112797,0,0.0223689,0.00288903,0.048263,0.00843132,0.02452,0.0186559,0.00511432,0.00590612,0.00969857,0.00827015,0.019581,0.040453,0.00727102,0.00602457,0.00510269,0.0183994,0.056366,0.00831205,0.00904457,0.00126506,0.0549226,0.0191262,0.0382264,0.00668838,0.00583,0,0,0.0143826,0,0.0193878,0.00646679,0.0631371,0.0432338,0.0228556,0.0124997,0.00243554,0.010045,0.0180441,0.0503868,0.0188893,0.0199436,0.0105648,0.0208927,0.0163315,0.0121884,0.0564962,0.0140435,0.00606471,0.00350595,0.00643482,0.00484645,0,0,0,0,0,0
209,0.00465956,0.00352867,0.048879,0.0152214,0.0202802,0.00120811,0,0,0.0114676,0,0.0222403,0.00299772,0.0481135,0.00721252,0.0243813,0.017098,0.00505261,0.00590826,0.00901796,0.00679221,0.0181646,0.0401292,0.00653402,0.00668952,0.00490793,0.0182917,0.0568094,0.00832531,0.00902819,0.00130334,0.0618584,0.0190894,0.0435756,0.00649587,0.00609786,0,0,0.0149038,0,0.0194084,0.00651386,0.062924,0.0484814,0.0231729,0.0131448,0.00233914,0.0104825,0.0198612,0.0508479,0.0209233,0.0220578,0.0127943,0.0227365,0.019615,0.0147939,0.0633244,0.0136866,0.00575283,0.00341028,0.00656993,0.00501143,0,0,0,0,0,0
210,0.00442494,0.00351899,0.0482901,0.0150799,0.0192563,0.00106261,0,0,0.0116366,0,0.022205,0.00314552,0.0479334,0.00632845,0.0242137,0.0154314,0.00486251,0.00584336,0.00842385,0.00566573,0.0167564,0.0399419,0.0059663,0.00723808,0.00459619,0.0180918,0.0566942,0.00834548,0.00900941,0.00141132,0.063761,0.0190388,0.0447952,0.00614155,0.00618272,0,0,0.0150873,0,0.0195013,0.00640903,0.0629187,0.0500957,0.0233165,0.0131046,0.00232238,0.0107163,0.0204592,0.0508282,0.0207148,0.0223212,0.0134106,0.0232068,0.0204973,0.015334,0.0652194,0.0128371,0.00551374,0.00330682,0.00659479,0.0050199,0,0,0,0,0,0
211,0.00437261,0.00352196,0.0466939,0.014951,0.0181678,0.00114396,0,0,0.0117369,0,0.0222134,0.00324679,0.0477523,0.00644803,0.0241671,0.0136751,0.00451858,0.00576562,0.00808611,0.0052374,0.015395,0.0400006,0.00570394,0.00750424,0.00421162,0.0178653,0.0555677,0.00814884,0.00900888,0.0015819,0.0602818,0.0190296,0.0416537,0.00562353,0.00617963,0,0,0.0147247,0,0.0199537,0.0060605,0.0632207,0.0470724,0.0232793,0.0125323,0.00239665,0.0107106,0.0197359,0.0502661,0.0189792,0.0208367,0.0125793,0.0223336,0.0189901,0.0141233,0.0619428,0.0137028,0.00518101,0.00320719,0.00655382,0.00499091,0,0,0,0,0,0
212,0.00442584,0.00339442,0.0464066,0.0148665,0.0167793,0.001299,0,0,0.0118042,0,0.0221694,0.00332959,0.0474934,0.00632719,0.0242664,0.011584,0.00436489,0.00556655,0.00734688,0.00478502,0.0133576,0.0402258,0.00540296,0.00815877,0.00393698,0.0177233,0.0558496,0.00791837,0.00897676,0.00166451,0.0520605,0.0191314,0.0351284,0.00494836,0.00592733,0,0,0.0147672,0,0.0200016,0.00592296,0.0636191,0.0400257,0.0231651,0.0115509,0.00236879,0.0106764,0.0180241,0.0493927,0.0164991,0.0183081,0.0108736,0.0208394,0.0157115,0.0117739,0.0540711,0.0138201,0.00533125,0.00305278,0.00635172,0.00479127,0,0,0,0,0,0
213,0.00424708,0.00322608,0.0477127,0.0149618,0.0151492,0.00121485,0,0,0.011643,0,0.0221158,0.00333295,0.0473318,0.00720515,0.0245068,0.00936438,0.00418981,0.00505224,0.00661521,0.00595162,0.0108226,0.0405778,0.00520438,0.00945445,0.00396172,0.0177453,0.0580596,0.00763095,0.00899087,0.00166242,0.041554,0.0186438,0.0266831,0.00415559,0.0053354,0,0,0.0150606,0,0.0199144,0.00554809,0.0639745,0.0307006,0.0231645,0.0103808,0.00221046,0.0106571,0.0158639,0.0484708,0.0137409,0.0153207,0.00892172,0.0193262,0.0114158,0.00927943,0.0438018,0.0126689,0.00631517,0.00196845,0.006073,0.00427068,0,0,0,0,0,0
214,0.00440403,0.00294346,0.0456729,0.0149365,0.0136001,0.00125966,0,0,0.0114406,0,0.0222331,0.00360533,0.0470984,0.00869713,0.0246235,0.00726211,0.00410798,0.00472432,0.00678796,0.0071045,0.00867717,0.0411001,0.00537729,0.00948035,0.00378318,0.0175369,0.056592,0.00762167,0.00888401,0.0018234,0.0310721,0.0195272,0.0175842,0.00366325,0.00527645,0,0,0.0149753,0,0.0195349,0.00567334,0.0644834,0.0211705,0.0229786,0.00936903,0.00221567,0.0105827,0.013614,0.0475753,0.0110055,0.0122505,0.00682747,0.0186318,0.00700069,0.00717706,0.0323628,0.0123639,0.00608009,0.00255704,0.00566862,0.00419164,0,0,0,0,0,0
215,0.00446203,0.002754,0.043999,0.0149921,0.0118575,0.00132495,0,0,0.0111458,0,0.0222404,0.00367303,0.0467487,0.01078,0.0248216,0.00514667,0.00387471,0.00430382,0.00734984,0.00895129,0.00639216,0.0417078,0.00562987,0.00966015,0.00380821,0.0173842,0.055707,0.00745988,0.00884103,0.00185624,0.0230567,0.019768,0.0114152,0.00308353,0.00494492,0,0,0.0143126,0,0.0195187,0.0049874,0.0647131,0.0160775,0.0229492,0.00880905,0.00217177,0.0102661,0.0113022,0.0468838,0.00844741,0.0090617,0.00554964,0.0192575,0.00553016,0.00717182,0.0232481,0.0136755,0.00623424,0.00229555,0.00525202,0.00392608,0,0,0,0,0,0
216,0.00445064,0.00245871,0.0431009,0.0150754,0.0100288,0.0012767,0,0,0.0105998,0,0.0221718,0.00346576,0.0462581,0.0146831,0.0251448,0.00454769,0.00335487,0.00393334,0.00880295,0.0121315,0.00377611,0.0424547,0.00600303,0.01036,0.00423841,0.0173464,0.056339,0.00702945,0.00883678,0.00164983,0.0171787,0.020081,0.00988941,0.00221378,0.004278,0,0,0.0135921,0,0.0193567,0.00436269,0.0645035,0.0136013,0.0231276,0.00886531,0.0018891,0.0102915,0.0090443,0.0466832,0.00649323,0.00617709,0.00569935,0.0204677,0.00685276,0.00869235,0.0182228,0.0142886,0.00689654,0.00194472,0.00461617,0.00377597,0,0,0,0,0,0
217,0.00426017,0.00221078,0.0396865,0.0151298,0.00854434,0.00131006,0,0,0.0101272,0,0.0221834,0.0033238,0.0457533,0.0166932,0.0253028,0.00463509,0.00292693,0.00346388,0.0101871,0.0140061,0.00251633,0.0435196,0.00590928,0.00992317,0.00431972,0.0171033,0.0537587,0.00652529,0.00880042,0.00149754,0.0144681,0.0203208,0.0098314,0.00176946,0.00372828,0,0,0.0132319,0,0.0193326,0.00395522,0.0641004,0.0147932,0.0233786,0.00853935,0.00163444,0.0102219,0.0072664,0.0468306,0.00537132,0.00481274,0.00728883,0.0215858,0.0076526,0.00961119,0.0137055,0.0139512,0.00723124,0.0017918,0.00419338,0.00392805,0,0,0,0,0,0
218,0.00385722,0.00191008,0.0355447,0.0151507,0.00764543,0.00123322,0,0,0.00966742,0,0.0222114,0.00319449,0.0452626,0.0184795,0.0256445,0.00613851,0.0026495,0.00318113,0.0117038,0.0158401,0.00463362,0.0446843,0.00545356,0.00902272,0.00438334,0.0170307,0.0503814,0.005859,0.00876481,0.00134853,0.0129727,0.0204675,0.010423,0.00145552,0.00318218,0,0,0.0129788,0,0.0192637,0.00361298,0.06376,0.0161698,0.0239272,0.00826327,0.00150959,0.0102047,0.00637143,0.0470075,0.00585233,0.00560537,0.00933532,0.0221278,0.00759372,0.00984767,0.0110219,0.0137052,0.00759688,0.0016708,0.00383925,0.00408669,0,0,0,0,0,0
219,0.00350055,0.00155088,0.0307816,0.0150959,0.00759252,0.00150668,0,0,0.00899375,0,0.0222062,0.0031597,0.0442527,0.0199356,0.0259721,0.00835185,0.00224204,0.00309653,0.0130975,0.0174293,0.0081573,0.0460687,0.00449813,0.00737032,0.00453625,0.0172209,0.0462133,0.00501253,0.00872129,0.00122472,0.0117732,0.0205618,0.0116091,0.00149858,0.00265095,0,0,0.0128395,0,0.0191774,0.0033924,0.0635942,0.0173517,0.0246221,0.00808769,0.00162491,0.0101486,0.0069273,0.0470255,0.00793279,0.00797126,0.0098498,0.0223427,0.00757864,0.00996894,0.00884652,0.0137147,0.00810756,0.00157669,0.00353539,0.00396257,0,0,0,0,0,0
220,0.00350218,0.00117156,0.0253347,0.015,0.00860168,0.00204224,0,0,0.00821614,0,0.0221473,0.00319421,0.0434779,0.0205391,0.0263954,0.0105109,0.0018089,0.00306639,0.014082,0.0183431,0.0118277,0.0478277,0.00291472,0.004647,0.00477304,0.0176253,0.0405448,0.00419246,0.00868859,0.00117129,0.0111093,0.0203939,0.0125248,0.00193509,0.0019646,0,0,0.0126004,0,0.0191626,0.00313684,0.0638977,0.0180252,0.0252544,0.00762273,0.00190892,0.0100388,0.00753288,0.0468658,0.00913298,0.00943985,0.00955619,0.0222472,0.00716237,0.0105189,0.00699467,0.0137563,0.00888982,0.0015501,0.00317018,0.00368876,0,0,0,0,0,0
221,0.00373206,0.000778455,0.0183718,0.0148529,0.010849,0.00264248,0,0,0.00722403,0,0.0221798,0.00327973,0.0429131,0.0211093,0.0268828,0.0119015,0.0016783,0.00348342,0.0145856,0.0185495,0.0142706,0.0498246,0.00124506,0.00204367,0.00526029,0.0183311,0.0340128,0.00351775,0.00868227,0.00122825,0.00916479,0.020673,0.0115682,0.00217268,0.00180672,0,0,0.0120471,0,0.0191423,0.00296199,0.064422,0.0184448,0.0255698,0.00663545,0.00209475,0.0100424,0.00711606,0.046887,0.00890003,0.0095574,0.009045,0.0220501,0.00634882,0.0105852,0.00543041,0.013337,0.00891771,0.00206489,0.00277031,0.00374086,0,0,0,0,0,0
222,0.00415176,0.000591945,0.0113443,0.0147618,0.0135398,0.00339522,0,0,0.00694247,0,0.0222525,0.00332217,0.0424225,0.0206174,0.0274171,0.0120642,0.00166623,0.00367987,0.0143538,0.0176677,0.0156977,0.0517042,0.00226696,0.0048998,0.00545752,0.0192718,0.0267195,0.00289702,0.00869519,0.00133182,0.00830639,0.0207193,0.00969104,0.00217072,0.00165159,0,0,0.0117309,0,0.0190812,0.00284577,0.0649159,0.0173522,0.0257085,0.00564203,0.00218813,0.0103415,0.00582272,0.0468101,0,0.0080823,0.00818378,0.021787,0.00550952,0.0101103,0.00437783,0.013306,0.00958092,0.00239035,0.00243168,0.00440347,0,0,0,0,0,0
223,0.00471525,0.000759391,0.00615895,0.0146885,0.0158047,0.00463039,0,0,0.00651709,0,0.0222948,0.00321348,0.0420816,0.0186676,0.0277855,0.0113723,0.00191215,0.00368238,0.0134472,0.016027,0.0163417,0.0533565,0.00414163,0.00873326,0.00508233,0.0204672,0.0199213,0.00223255,0.00872961,0.00138571,0.0075198,0.0208177,0.00949761,0.00218625,0.0016538,0,0,0.0113983,0,0.0190612,0.00284288,0.0651483,0.0154439,0.0257738,0.00479282,0.00215469,0.0106872,0.00501122,0.0466353,0.00574093,0.00651193,0.00639116,0.0214102,0.00426348,0.0083314,0.00524292,0.0133169,0.0103976,0.00269523,0.00227317,0.00532192,0,0,0,0,0,0
224,0.00518571,0.00103011,0.00821534,0.0146705,0.0168631,0.00623098,0,0,0.00600457,0,0.0223178,0.00300664,0.0418805,0.015393,0.0279451,0.0102244,0.00264312,0.00351279,0.0120653,0.0143292,0.0164417,0.0548349,0.0056111,0.0115596,0.00412764,0.0219138,0.0153183,0.00170262,0.0087688,0.00152994,0.00781348,0.021029,0.00889705,0.0024935,0.0014632,0,0,0.0111215,0,0.0190685,0.00279408,0.0653808,0.0140238,0.0256419,0.00429588,0.00249132,0.0109971,0.00473088,0.0463579,0.00465953,0.00548165,0.00475875,0.0208737,0.00313944,0.0065585,0.00745093,0.0131842,0.0113674,0.00314122,0.00228259,0.00582473,0,0,0,0,0,0
225,0.00548577,0.00116134,0.0126706,0.014785,0.0163863,0.00792621,0,0,0.00535235,0,0.0222906,0.00260292,0.0417564,0.0114035,0.0281641,0.00878337,0.00352833,0.00302693,0.0103151,0.0129349,0.0164855,0.0561345,0.0068732,0.0134346,0.00285561,0.0237288,0.0146726,0.00134696,0.0087921,0.00141878,0.00823925,0.0213193,0.00913544,0.00305367,0.00140163,0,0,0.0109974,0,0.019111,0.0028181,0.0655354,0.0131929,0.0252917,0.00379545,0.0035628,0.0111425,0.0047342,0.0462679,0.00419793,0.00511584,0.00362701,0.0203152,0.00260908,0.00522274,0.00905664,0.0130401,0.012357,0.00359156,0.00225932,0.00568707,0,0,0,0,0,0
226,0.00523387,0.00102435,0.0163789,0.0150469,0.0151465,0.00939621,0,0,0.00510702,0,0.0222795,0.00244774,0.0416325,0.00953156,0.0283623,0.00735186,0.0041056,0.0022611,0.00851517,0.0124428,0.0159798,0.0575173,0.00810603,0.0147057,0.00294626,0.0257536,0.0171107,0.00174102,0.00876049,0.00128998,0.00842804,0.0215863,0.00889459,0.00349555,0.00141557,0,0,0.0107885,0,0.019079,0.00299833,0.0654987,0.0126585,0.0248271,0.00328918,0.00485791,0.0110284,0.00467928,0.0465264,0.00405418,0.00496641,0.00302138,0.0200028,0.0026374,0.00443145,0.0098308,0.0128488,0.0132455,0.00396393,0.0021007,0.00522572,0,0,0,0,0,0
227,0.00469057,0.000880835,0.018796,0.0154039,0.0135709,0.0107635,0,0,0.00495879,0,0.022284,0.00255124,0.0413448,0.0122198,0.0284096,0.00654846,0.00464251,0.00161099,0.00746228,0.0133617,0.0150927,0.0588469,0.00919615,0.0153301,0.00480474,0.0275467,0.0212452,0.00240469,0.00869962,0.00125431,0.00858128,0.0217895,0.0110212,0.00386708,0.00119899,0,0,0.0107708,0,0.0189584,0.00319656,0.065327,0.0128884,0.0241515,0.00292506,0.00589872,0.010644,0.00446203,0.0470078,0.00370791,0.00466078,0.00289911,0.0198756,0,0.00421369,0.00983509,0.0126546,0.0139408,0.00425985,0.00215839,0.00454848,0,0,0,0,0,0
228,0.00412261,0.000944162,0.0207924,0.0157381,0.0120934,0.0116117,0,0,0.00482812,0,0.0223452,0.00299716,0.0406869,0.0179432,0.0285107,0.00666737,0.00500191,0.00151697,0.00752615,0.014998,0.0144653,0.0600837,0.00992537,0.0151463,0.00671895,0.0288235,0.0247916,0.00282039,0.00872285,0.00138987,0.00856773,0.0216951,0.012115,0.00412117,0.000566242,0,0,0.0109411,0,0.0190037,0.00346947,0.0648448,0.0126474,0.023723,0.00247514,0.00614017,0.0100514,0.00376989,0.0478351,0.0034592,0.00437166,0.00281968,0.0200548,0.0041289,0.00400036,0.00891668,0.0127235,0.0146871,0.00465308,0.00257894,0.00404228,0,0,0,0,0,0
229,0.0026596,0.00180595,0.0209757,0.0166477,0.0155066,0.0178883,0,0,0.00569093,0,0.0221438,0.00346048,0,0.0389885,0.0326012,0.0227666,0.00336874,0.00296028,0.0187349,0.0353732,0.0128706,0.0536474,0.017156,0.024311,0.0110408,0.0319207,0.0376025,0.00566955,0.00858835,0.00193918,0.00927627,0.0231524,0.0135641,0.00361283,0.00404131,0,0,0.0100985,0,0.0189422,0.00633816,0.0645524,0.0140278,0.0241321,0.00292207,0.0060418,0.00924012,0.00442595,0.0480855,0.00361148,0.00506394,0.00354918,0.0204149,0.00522437,0.00482718,0.0102013,0.0111164,0.0145932,0.00609379,0.00144076,0.00314857,0,0,0,0,0,0
230,0.00362048,0.000840869,0.0239281,0.0163078,0.0105786,0.0122641,0,0,0.00325397,0,0.0223385,0.00203211,0.0410369,0.0283934,0.0285864,0.00754154,0.00503777,0.00190829,0.0088561,0.0170934,0.0131181,0.0615598,0.0104734,0.013413,0.0096273,0.0303158,0.0316739,0.00328666,0.00879251,0.00145955,0.00784139,0.0222894,0.0135353,0.00402857,0.000815007,0,0,0.00941655,0,0.019218,0.00341651,0.0643166,0.0136416,0.0228113,0.00223558,0.0061717,0.00853156,0.00297329,0.0487436,0.00312346,0.00417865,0.00334536,0.0197958,0.00509108,0.00489291,0.00636921,0.0115596,0.0131496,0.00459453,0.00286524,0.00354966,0,0,0,0,0,0
231,0.00284199,0.00207809,0.0233525,0.0171289,0.0180756,0.0160009,0,0,0.00657728,0,0.0221315,0.00315684,0,0.0522961,0.0340596,0.0304261,0.00321018,0.0032048,0.0252935,0.0442061,0.0165732,0.0543784,0.0185463,0.0250671,0.0125873,0.0322371,0.0432246,0.00584205,0.00861877,0.0019554,0.00820897,0.0229698,0.0149057,0.00258866,0.00395968,0,0,0.00890547,0,0.0190743,0.00598763,0.0645127,0.0149989,0.023633,0.00331488,0.00584086,0.00789914,0.00425137,0.048452,0.00358686,0.00500252,0.00395224,0.0188485,0.00586297,0.00629579,0.00580384,0.0106444,0.0129229,0.00572084,0.00140552,0.00402577,0,0,0,0,0,0
232,0,0.00259708,0.0250953,0.0174583,0.018604,0.0152473,0,0,0.00748948,0,0.0221596,0.00352876,0,0.0558592,0.0355389,0.0327502,0.00336772,0.00410014,0.0273322,0.0476585,0.0167678,0.0546217,0.0195116,0.0258667,0.0128238,0.0321081,0.0474974,0.00660197,0.00861816,0.00230986,0.00847418,0.02252,0.0153835,0.00226242,0.00416538,0,0,0.00723889,0,0.0190457,0.00482618,0.0647652,0.0153165,0.0236397,0.00323803,0.00566506,0.00587525,0.00416715,0.0482117,0.00348504,0.00474608,0.00373995,0.0182392,0.00597772,0.00628489,0.0047001,0.00932565,0.0115978,0.00504537,0.00105824,0.00386414,0,0,0,0,0,0
233,0.00380745,0.00381225,0.0257037,0.0174081,0.0198141,0.0201708,0,0,0.00755764,0,0.0222317,0.00325535,0,0.0576507,0.0243572,0.0330103,0.0041908,0.00364897,0.0286909,0.0492361,0.0145642,0.0518033,0.0214522,0.0267055,0.0135667,0.0326627,0.0508066,0.00640809,0.00869056,0.00241349,0.00911379,0.0231704,0.0158553,0.0015711,0.00679332,0,0,0.0104641,0,0.018919,0.0088591,0.0643226,0.0151254,0.0235197,0.00260914,0.00464781,0.00812065,0.00369796,0.0484138,0.00258837,0.00412463,0.00291159,0.0172851,0.00532241,0.00511583,0.00591479,0.00973153,0.0106981,0.00624252,0.00177083,0.0054434,0,0,0,0,0,0
