Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66
176,0.00256251,0.00148389,0.0115681,0.0147314,0.0113997,0.0044783,0,0,0.00877662,0,0.0234885,0.00401772,0.0507145,0.0104521,0.0200647,0.012142,0.00258793,0.00276665,0.00874547,0.0141615,0.00612349,0.0458332,0.00797005,0.0113353,0.00439929,0.0171641,0.0102752,0.00576964,0.00988299,0.00113219,0.024332,0.0201048,0.0098319,0.00884052,0.00283129,0,0,0.0119277,0,0.0196147,0.00682389,0.0644016,0.0321243,0.0314143,0.0110139,0.0118443,0.00751966,0.0178116,0.0557447,0.0105109,0.0239373,0.0140868,0.0232028,0.0112464,0.0150459,0.0123953,0.0132568,0.00682162,0.0028722,0.00106585,0.00244583,0,0,0,0,0,0
177,0.00265316,0.00138496,0.0122891,0.0146518,0.0117212,0.00419177,0,0,0.00920309,0,0.0232658,0.00433561,0.0507887,0.0106853,0.0202196,0.0110748,0.00259304,0.00293059,0.00837808,0.0131446,0.00539217,0.0459062,0.00762559,0.0111454,0.00430027,0.0168935,0.011359,0.00615309,0.00978782,0.00115582,0.0190458,0.0202362,0.0101148,0.0101399,0.00276055,0,0,0.0124003,0,0.0196606,0.00650397,0.0652391,0.0321248,0.0312919,0.0104008,0.0114248,0.00830293,0.0187984,0.0549874,0.00979648,0.0257908,0.0165604,0.0240778,0.0129214,0.0186493,0.00785728,0.0143973,0.00447143,0.00261255,0.00102551,0.00231243,0,0,0,0,0,0
178,0.00271504,0.0012909,0.013227,0.014707,0.0123181,0.0038511,0,0,0.00925911,0,0.0231096,0.0042381,0.0508541,0.0110754,0.0205501,0.0102361,0.00226507,0.00277994,0.00790032,0.0123502,0.0045412,0.045938,0.00780532,0.0117494,0.00453201,0.0164434,0.0127385,0.0062626,0.00969514,0.00106423,0.0165838,0.0203886,0.0133422,0.0111767,0.00273375,0,0,0.0128986,0,0.019707,0.00608153,0.0656622,0.0331076,0.0308346,0.0100356,0.0111173,0.00908749,0.0194159,0.0545668,0.0093526,0.0271571,0.019113,0.0249663,0.0151908,0.0223058,0.00642031,0.0154136,0.00262605,0.00294029,0.00100938,0.00218025,0,0,0,0,0,0
179,0.00276321,0.00121595,0.0144059,0.0148913,0.0129813,0.00351646,0,0,0.00907306,0,0.0229501,0.0040851,0.0508654,0.0115578,0.0209794,0.00966388,0.00176361,0.00261625,0.00736026,0.0117213,0.00363535,0.045945,0.00829413,0.0127774,0.00485162,0.0160151,0.0143697,0.00614631,0.00957775,0.000874775,0.0147211,0.0206793,0.01667,0.0118846,0.00275478,0,0,0.0139279,0,0.0198226,0.00610307,0.0658577,0.0353923,0.0302805,0.0098677,0.0107832,0.00967382,0.0196906,0.0543943,0.00906967,0.0280707,0.0214962,0.02579,0.0173154,0.0257567,0.00792033,0.0164791,0.00244719,0.00316048,0.000942228,0.00211138,0,0,0,0,0,0
180,0.00285903,0.00116585,0.0155357,0.0151461,0.0133881,0.0031762,0,0,0.00855933,0,0.0227954,0.00391474,0.0508163,0.0118381,0.0215089,0.00901887,0.0015394,0.00248929,0.00673243,0.0111063,0.00261462,0.0459747,0.00865778,0.0134659,0.00541917,0.015836,0.0157661,0.00580641,0.00942722,0.00079597,0.0130908,0.0209494,0.019559,0.0122469,0.00275745,0,0,0.0149278,0,0.0199268,0.00618792,0.0660624,0.0379512,0.0298376,0.0098326,0.0103045,0.0103776,0.0196254,0.0541838,0.00886442,0.0286124,0.0237273,0.0265279,0.0190719,0.0291012,0.0108371,0.0174922,0.00372581,0.00321526,0.000921737,0.00213675,0,0,0,0,0,0
181,0.00293109,0.00113563,0.0162898,0.0153285,0.0133956,0.00298569,0,0,0.00780193,0,0.0226506,0.00362736,0.0506634,0.0116978,0.0220215,0.00810025,0.00158021,0.0022226,0.00616227,0.010434,0.00142551,0.0459747,0.0085145,0.0133632,0.00564426,0.0160299,0.0167491,0.00529418,0.00929292,0.000788534,0.0113979,0.0211502,0.0217327,0.0123305,0.00276491,0,0,0.0154151,0,0.020006,0.0059541,0.0661275,0.0405646,0.0294599,0.00993643,0.00981731,0.0109443,0.0192684,0.0539171,0.00866771,0.0287567,0.0260366,0.0271569,0.0206431,0.0322702,0.0143069,0.0182059,0.00525918,0.00348879,0.000945189,0.00212551,0,0,0,0,0,0
182,0.00291426,0.00102367,0.0167501,0.0156225,0.0132126,0.00315457,0,0,0.00511514,0,0.0226703,0.000895272,0.0504653,0.0112869,0.0224569,0.00679548,0.00168728,0.00169761,0.00561356,0.0095873,0.000682515,0.0459273,0.00785736,0.0125,0.00568401,0.0165237,0.0173057,0.00376999,0.0091681,0.000609778,0.0119791,0.0212892,0.0236511,0.0121039,0.00275243,0,0,0.0166681,0,0.0196926,0.0062689,0.066008,0.0430385,0.0289544,0.0101691,0.00939361,0.011448,0.0188017,0.0535829,0.00831816,0.0286546,0.028166,0.0275497,0.0220161,0.0353594,0.0176383,0.0194164,0.00742122,0.00373122,0.000827659,0.0022143,0,0,0,0,0,0
183,0.0026212,0.000965274,0.0171955,0.0156023,0.0129695,0.00327845,0,0,0.00450421,0,0.0225518,0.00110879,0.0504139,0.0107486,0.0227523,0.00526209,0.00182899,0.00152884,0.00517579,0.00870143,0.00176854,0.0458772,0.00716153,0.0114709,0.00568801,0.017062,0.01825,0.00338491,0.00914861,0.000512172,0.0102149,0.0214344,0.0253063,0.0116401,0.0026678,0,0,0.0162446,0,0.0199247,0.00567747,0.065553,0.0459915,0.0283314,0.0102795,0.00903696,0.0114505,0.018315,0.0531677,0.00788615,0.0282772,0.0301849,0.0279817,0.0232279,0.0381383,0.021756,0.0192153,0.00844982,0.00426763,0.000773185,0.00180919,0,0,0,0,0,0
184,0.00222159,0.000879916,0.0179975,0.0155921,0.0128565,0.00300931,0,0,0.00372016,0,0.0224669,0.00115582,0.0501664,0.0104802,0.0231669,0.00365861,0.00196614,0.00133668,0.00535429,0.00801495,0.00288299,0.0456991,0.00670016,0.0106565,0.00561981,0.0174667,0.0193886,0.00294575,0.00911341,0.000511696,0.0111748,0.0215781,0.0265263,0.0113083,0.00257336,0,0,0.0160802,0,0.0200891,0.00538471,0.0654459,0.0486348,0.0277653,0.0103267,0.00857825,0.0115085,0.0173635,0.0527639,0.00740834,0.0275483,0.0319557,0.0282562,0.0241003,0.0405783,0.0258163,0.0191864,0.00881502,0.00440245,0.000622569,0.00141672,0,0,0,0,0,0
185,0.0017996,0.000864856,0.0194107,0.015616,0.0128322,0.00215576,0,0,0.00269474,0,0.022363,0.000952173,0.049585,0.0106695,0.0237676,0.00250287,0.0019416,0.00112897,0.00558693,0.00775866,0.0037305,0.0455348,0.00666612,0.0104023,0.0058441,0.0176489,0.0212557,0.00236489,0.00907964,0.00059857,0.0177504,0.0216298,0.0181697,0.0105114,0.00264771,0,0,0.0157457,0,0.0200885,0.00517531,0.0644956,0.0395839,0.0266749,0.0114983,0.00834985,0.0116011,0.0158336,0.0528446,0.00779199,0.0255519,0.030758,0.0268006,0.0198628,0.0380492,0.0323333,0.0190614,0.00910216,0.00444997,0.000520799,0.00119313,0,0,0,0,0,0
