Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,LGTR
101,0.0205082,0.0330234,0.0470119,0.0107461,0.040322,0.0187295,0,0,0.0255065,0,0.0257516,0.0141648,0.0482413,0.0247643,0.0298966,0.0323517,0.0238666,0.0309369,0.0337977,0.0294949,0.0619482,0.023512,0.0235098,0.0220684,0.0188531,0.0479898,0.0166577,0.0102102,0.00865248,0.0139733,0.0171787,0.0118242,0.00825302,0.0103134,0,0,0.0294534,0,0.0172033,0.0211399,0.0542155,0.0184919,0.021834,0.015663,0.0259541,0.0210634,0.01009,0.0517613,0.0112614,0.0127558,0.0164667,0.00937329,0.0138212,0.0168348,0.0112562,0.0226101,0.0071921,0.0105844,0.0357234,0.0102632,0,0,0,0,0,0,0.0416988
102,0.0203897,0.033107,0.0392913,0.0106186,0.0336891,0.0180662,0,0,0.0256895,0,0.0256912,0.0142963,0.0403103,0.0246213,0.028287,0.0326492,0.0241667,0.0295782,0.0324524,0.0273156,0.0608657,0.0219779,0.0214951,0.0183429,0.0181205,0.0386394,0.0166509,0.0100744,0.00869794,0.0138563,0.0170192,0.0125066,0.00765933,0.0104375,0,0,0.0303983,0,0.0172662,0.0217156,0.0539532,0.0191361,0.022004,0.0153315,0.0257396,0.0216256,0.00954356,0.0517868,0.0108188,0.0122735,0.0164275,0.00923644,0.0141146,0.0169349,0.0108403,0.023312,0.00742107,0.0110004,0.0359655,0.0102115,0,0,0,0,0,0,0.041906
103,0.0201777,0.0331413,0.0312208,0.0105766,0.0270145,0.0173299,0,0,0.0256154,0,0.0256269,0.0143535,0.0323074,0.0243366,0.0261624,0.0328255,0.0243772,0.0281936,0.0309463,0.0246618,0.059943,0.0202121,0.0194129,0.0147536,0.0181597,0.0278356,0.016418,0.0100163,0.00871151,0.0138571,0.0169175,0.0133292,0.00695934,0.0104613,0,0,0.031239,0,0.0173459,0.0221791,0.0537106,0.0196746,0.0222291,0.0149277,0.0253425,0.0220069,0.00901286,0.0519474,0.0103634,0.0115962,0.0163522,0.00897099,0.0144359,0.0170201,0.0103553,0.0238409,0.00776657,0.0112865,0.0359977,0.0101418,0,0,0,0,0,0,0.0420133
104,0.0199478,0.0330638,0.0270759,0.010677,0.0247239,0.0166477,0,0,0.0251272,0,0.025557,0.0142933,0.0291032,0.0240792,0.0235837,0.0327286,0.0244262,0.0266766,0.0292278,0.0220829,0.0592749,0.0192958,0.0185424,0.0139786,0.0179258,0.0235733,0.0158925,0.0100218,0.0087067,0.0136895,0.0167944,0.0141056,0.00636132,0.0103232,0,0,0.0317164,0,0.0173276,0.0223792,0.0534621,0.0200748,0.022454,0.0143882,0.0248272,0.0220558,0.00852266,0.0522207,0.00984904,0.0107453,0.0162046,0.00865968,0.0147568,0.0170057,0.00969218,0.0240551,0.00788122,0.0113879,0.0357586,0.0100672,0,0,0,0,0,0,0.0420518
105,0.0198015,0.0328495,0.0238824,0.0107987,0.0232316,0.0159418,0,0,0.0243457,0,0.025488,0.0141623,0.0259141,0.0240425,0.0211627,0.0324213,0.0243386,0.0251866,0.0273072,0.019613,0.0586942,0.0187421,0.0181255,0.0138803,0.0174511,0.0214977,0.0152362,0.0101245,0.0086314,0.0135839,0.0166631,0.0148758,0.00580446,0.0100665,0,0,0.0319242,0,0.0172784,0.0224505,0.0531865,0.0203976,0.0227283,0.0137735,0.0242514,0.0218902,0.00785472,0.0525862,0.00932244,0.0096888,0.0160629,0.008344,0.0150658,0.0168006,0.00896827,0.0239259,0.00787467,0.0115135,0.0353485,0.0099166,0,0,0,0,0,0,0.0419488
106,0.0196862,0.0328007,0.0212639,0.0109241,0.0214652,0.0156766,0,0,0.0236134,0,0.0254305,0.0138643,0.0227602,0.0239482,0.0192483,0.0327933,0.0242469,0.0236108,0.025505,0.0175633,0.0581166,0.0181469,0.0176607,0.0136116,0.0169374,0.0199013,0.0147305,0.0102455,0.00857246,0.0136185,0.0165049,0.0154826,0.00545294,0.00970718,0,0,0.032453,0,0.0172961,0.0228052,0.0529168,0.0202749,0.0229863,0.0131247,0.0241764,0.021777,0.00721577,0.0529627,0.00891323,0.00849281,0.0157832,0.00806955,0.0151643,0.0162971,0.00820772,0.0239824,0.00793443,0.0117413,0.0352964,0.00955562,0,0,0,0,0,0,0.0417611
107,0.0195801,0.0327082,0.0194122,0.0110807,0.0198,0.015166,0,0,0.0230717,0,0.0253768,0.0136588,0.0201721,0.0233316,0.0181676,0.0329359,0.024148,0.0220242,0.0241279,0.0161905,0.0575463,0.0172348,0.0169904,0.0131225,0.0163973,0.0189655,0.0143443,0.0103147,0.00856645,0.0138662,0.0163885,0.0161081,0.00522549,0.00939728,0,0,0.0331398,0,0.0173738,0.0232012,0.0527194,0.0199858,0.0231368,0.0125146,0.024077,0.0216477,0.00680175,0.0534528,0.00864594,0.00734004,0.0153429,0.00786481,0.0151011,0.01568,0.00746487,0.0241005,0.00801916,0.0118519,0.0351415,0.00920417,0,0,0,0,0,0,0.0415023
108,0.0195409,0.0330644,0.0178506,0.0111277,0.018316,0.0152705,0,0,0.0229799,0,0.0254386,0.0138729,0.0170248,0.0215976,0.0177145,0.0341132,0.0240461,0.0203635,0.0228327,0.0154031,0.0570002,0.0158402,0.0160543,0.0124755,0.0155039,0.0185592,0.0143685,0.0102976,0.00871874,0.0141358,0.0162162,0.0166421,0.00546458,0.00914518,0,0,0.0347545,0,0.0176018,0.02406,0.0526264,0.0195848,0.0230676,0.011963,0.0247056,0.0219495,0.00681378,0.0540337,0.00860862,0.00635313,0.0146342,0.00785559,0.0147627,0.0148064,0.0071894,0.024917,0.00837577,0.0121883,0.035632,0.00880995,0,0,0,0,0,0,0.0411656
109,0.0194665,0.0332671,0.0155011,0.0110324,0.0173063,0.0149509,0,0,0.0230771,0,0.0254986,0.0142825,0.0133234,0.0205184,0.0177582,0.0346324,0.0239377,0.0190866,0.0219561,0.0150509,0.0565114,0.0144755,0.0156094,0.0122459,0.0140816,0.0172267,0.0144624,0.0103052,0.00884878,0.014666,0.0159491,0.0172478,0.0056928,0.00899019,0,0,0.0367327,0,0.0178313,0.0252499,0.0525186,0.0194246,0.022966,0.0115001,0.0251152,0.0224657,0.00701628,0.0547075,0.00882752,0.00562411,0.0137113,0.00805519,0.0141716,0.0137914,0.00726177,0.0261386,0.00864251,0.0126659,0.0358936,0.00826512,0,0,0,0,0,0,0.0410365
110,0.019355,0.0330738,0.0129582,0.0109014,0.0155948,0.0142279,0,0,0.0230091,0,0.0255017,0.0148197,0.00980282,0.0206203,0.017524,0.034113,0.0237662,0.0180015,0.0214754,0.014722,0.0560993,0.0140873,0.0159598,0.012482,0.01221,0.0156976,0.014499,0.0103157,0.00894199,0.0152915,0.0156283,0.0179861,0.00573933,0.00893627,0,0,0.0387646,0,0.0180278,0.0265664,0.0522836,0.0199485,0.0230233,0.0112116,0.0251707,0.0229914,0.00737038,0.0554669,0.00939457,0.00563922,0.0125991,0.00849317,0.0133267,0.0128875,0.00761217,0.0274305,0.00873271,0.0131876,0.0356674,0.00754376,0,0,0,0,0,0,0.040799
