Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69
9,0.0200571,0.0247075,0.0129588,0.0127904,0.00759182,0.00757515,0,0,0.0225726,0,0.0229128,0.0130796,0.0409877,0.0148261,0.0222524,0.0124899,0.0202791,0.0138491,0.00830953,0.0111184,0.0125006,0.0524804,0.0166311,0.0159166,0.0147828,0.0171424,0.0205049,0.0163206,0.0101239,0.00725856,0.0414775,0.0172399,0.0132524,0.0057511,0.0203829,0,0,0.040123,0,0.0195679,0.025727,0.0536009,0.0363119,0.019712,0.0147766,0.0161036,0.0173279,0.0206678,0.065156,0.0204345,0.0287023,0.0219934,0.0220904,0.010341,0.0320536,0.0590859,0.021822,0.012074,0.00850611,0.0235054,0.0121454,0,0,0,0,0,0,0,0,0
10,0.0202116,0.0250046,0.0120551,0.012877,0.00827335,0.00762076,0,0,0.0223369,0,0.0229482,0.012947,0.0408587,0.0152608,0.022385,0.0127509,0.0203956,0.0139115,0.00833737,0.0114015,0.0126164,0.0523295,0.0168758,0.016063,0.0151427,0.017666,0.0189747,0.0163004,0.0102647,0.00707979,0.0436174,0.0171177,0.0132215,0.00569517,0.0207305,0,0,0.0397827,0,0.01952,0.0256027,0.0537983,0.03822,0.0198532,0.014489,0.0166077,0.0180748,0.0196485,0.0646439,0.0200422,0.0271522,0.0220263,0.0217747,0.0104035,0.0323391,0.0620489,0.0208437,0.0117722,0.00878195,0.0237169,0.012192,0,0,0,0,0,0,0,0,0
11,0.0202779,0.0251951,0.0112612,0.0128578,0.00909311,0.0074164,0,0,0.0221085,0,0.0230183,0.0126812,0.0407907,0.0156728,0.0224994,0.0130364,0.0205481,0.0140364,0.00839933,0.0116423,0.0127783,0.0520212,0.017128,0.0164128,0.0154466,0.0181613,0.0175982,0.0162895,0.0104639,0.00695075,0.0457191,0.0168821,0.0132856,0.00567638,0.0209264,0,0,0.0395325,0,0.0194964,0.0254884,0.054305,0.0395994,0.0200477,0.0144332,0.017134,0.0188105,0.0188577,0.0642341,0.0197857,0.0258048,0.0219711,0.0214727,0.0103787,0.0324034,0.0644445,0.0198866,0.0112081,0.00903901,0.023876,0.0121604,0,0,0,0,0,0,0,0,0
12,0.0203484,0.0253974,0.0108315,0.0128773,0.00994332,0.00722907,0,0,0.021853,0,0.0229814,0.0124697,0.0407538,0.0159968,0.0226541,0.0134003,0.0207707,0.0142384,0.0083224,0.0118244,0.0129654,0.0518762,0.0173142,0.0166761,0.0157115,0.018634,0.0166646,0.0162721,0.0104944,0.0068494,0.0471075,0.0166424,0.0133901,0.00569708,0.0209821,0,0,0.0392639,0,0.0195343,0.0254429,0.0548475,0.0407041,0.020287,0.0145613,0.0177132,0.0194958,0.018215,0.0638251,0.0196107,0.0246699,0.0218084,0.02119,0.0102929,0.0323463,0.0661435,0.0189905,0.0106616,0.0092687,0.0238584,0.0120863,0,0,0,0,0,0,0,0,0
13,0.0204528,0.0257282,0.0105051,0.0130117,0.0107034,0.00726529,0,0,0.0216173,0,0.0229468,0.0122055,0.0407903,0.0162893,0.0228545,0.0138388,0.0209484,0.014467,0.00810327,0.0118449,0.0132828,0.0518393,0.0175555,0.0167717,0.0159928,0.0190827,0.0156833,0.0161867,0.0104921,0.0067683,0.0479144,0.0163713,0.0135606,0.0056712,0.0209537,0,0,0.0391105,0,0.019624,0.0254711,0.0549746,0.0418972,0.0205071,0.0143957,0.0182469,0.0201534,0.0175951,0.0632969,0.0193282,0.023608,0.0215867,0.0208868,0.0102079,0.0323113,0.0678074,0.0181842,0.0102419,0.00950386,0.023783,0.0120036,0,0,0,0,0,0,0,0,0
14,0.020487,0.0260289,0.0106152,0.0130949,0.0114877,0.00766118,0,0,0.0215393,0,0.0228937,0.0120217,0.0408799,0.0167865,0.0230685,0.0143808,0.0212386,0.0147422,0.00778746,0.01176,0.0137476,0.0518767,0.0177997,0.016833,0.0162541,0.0195716,0.0149386,0.0160921,0.0104596,0.00668992,0.048378,0.0160791,0.0136783,0.00564376,0.0208717,0,0,0.039028,0,0.0197287,0.0255197,0.0550608,0.0428919,0.0207638,0.0143366,0.0188151,0.0207624,0.0170119,0.0627003,0.0190728,0.0226537,0.0211959,0.0205148,0.0100547,0.0321414,0.0687369,0.0174558,0.00993838,0.00977818,0.0240022,0.0119519,0,0,0,0,0,0,0,0,0
15,0.0206132,0.0262058,0.0111342,0.0131004,0.0122421,0.00826314,0,0,0.0213771,0,0.0228578,0.0121132,0.0409964,0.0173586,0.0232753,0.0149307,0.0215,0.0150106,0.00751097,0.0116679,0.0141762,0.0518363,0.0179879,0.0168654,0.0165135,0.0200396,0.0145103,0.0160602,0.0104743,0.00664671,0.0484516,0.0157314,0.0138189,0.00566898,0.0208391,0,0,0.0389502,0,0.0198178,0.0256356,0.0552117,0.0434659,0.0209638,0.0144018,0.0193761,0.0213362,0.0164491,0.0621239,0.0189576,0.0219513,0.0205923,0.0200318,0.00979904,0.0316989,0.0689365,0.0168208,0.00974717,0.0101452,0.0243921,0.0119547,0,0,0,0,0,0,0,0,0
16,0.0207214,0.0261415,0.0120498,0.0130946,0.0129975,0.00806728,0,0,0.0210096,0,0.0228402,0.012063,0.0411023,0.0180152,0.0234485,0.0154711,0.0216184,0.0153118,0.00728367,0.0116134,0.014565,0.0516956,0.0182011,0.016876,0.0168292,0.0204603,0.0142869,0.0159733,0.0105507,0.006632,0.0479919,0.0154261,0.0140805,0.00570102,0.0208157,0,0,0.0388239,0,0.0199205,0.0257686,0.0553779,0.0436209,0.0210509,0.0147008,0.0198516,0.021875,0.0160814,0.0616468,0.0190561,0.0214772,0.0197362,0.0194768,0.00944381,0.0309596,0.068536,0.0162099,0.00963057,0.0105316,0.0245736,0.0119723,0,0,0,0,0,0,0,0,0
17,0.0207281,0.0262694,0.0132964,0.0131091,0.0137362,0.00740671,0,0,0.0206417,0,0.0228414,0.0120086,0.0411869,0.0185686,0.0236255,0.0159707,0.0217072,0.0156012,0.00718556,0.0115824,0.0149839,0.0514756,0.0183581,0.0169135,0.0170462,0.0208026,0.0145606,0.0158722,0.0106251,0.00664475,0.0470312,0.0151592,0.0139544,0.00570994,0.0208371,0,0,0.0387514,0,0.0200539,0.0258606,0.0556773,0.0431953,0.02114,0.0152695,0.0202279,0.0224011,0.0159678,0.0612621,0.0193462,0.021211,0.0186181,0.0188942,0.00896842,0.0300377,0.0673974,0.0156687,0.009544,0.0108333,0.0249951,0.0119991,0,0,0,0,0,0,0,0,0
18,0.0206625,0.0264722,0.0144327,0.0131621,0.0144624,0.00705709,0,0,0.0202126,0,0.0228329,0.0118296,0.0412746,0.0191875,0.0238212,0.0166065,0.0217883,0.0157558,0.00716088,0.0116774,0.0154295,0.0513765,0.0183754,0.0169326,0.0172106,0.021193,0.0154012,0.0156102,0.0106715,0.00658036,0.0457956,0.0149292,0.0130126,0.00573247,0.0208505,0,0,0.0387528,0,0.0201979,0.0259221,0.0561644,0.0415553,0.0212606,0.0161347,0.0205434,0.0228506,0.0162162,0.060952,0.0198445,0.0211648,0.0170289,0.0181682,0.00812558,0.0287319,0.0654822,0.0151677,0.0094548,0.0110069,0.0252109,0.0119925,0,0,0,0,0,0,0,0,0
