Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69
29,0.0220028,0.0293842,0.0263044,0.01351,0.0182245,0.00674627,0,0,0.013306,0,0.0224795,0.0097239,0.0433924,0.0214718,0.0215385,0.0185231,0.0235926,0.0148391,0.00531845,0.0086646,0.0167154,0.0476453,0.0156574,0.0132719,0.0155779,0.0203424,0.0264869,0.0114814,0.0108957,0.00618982,0.0444889,0.0145174,0.0379191,0.0096893,0.0232185,0,0,0.0381192,0,0.022078,0.0250856,0.0565153,0.0426133,0.0184163,0.0150184,0.0205643,0.0261856,0.0172779,0.0578346,0.0166162,0.0172253,0.0166777,0.0121588,0.0198002,0.0182755,0.0466551,0.0132967,0.0140903,0.0102569,0.0293759,0.00997138,0,0,0,0,0,0,0,0,0
30,0.0222324,0.0294605,0.0266084,0.0134984,0.0180421,0.00655372,0,0,0.013096,0,0.0223723,0.00972559,0.0435266,0.0214968,0.0210811,0.0179621,0.0238551,0.0150816,0.00499898,0.00781643,0.0162765,0.0470971,0.0153217,0.0129654,0.0150753,0.0199203,0.0267737,0.0115413,0.0108343,0.00620783,0.057722,0.0144001,0.0470405,0.0098323,0.0232752,0,0,0.038102,0,0.0223824,0.0251133,0.0556717,0.0511944,0.0183861,0.0163716,0.0205814,0.0261343,0.0203872,0.0586826,0.0207926,0.0212277,0.0199198,0.0164545,0.0249904,0.0228322,0.0587753,0.0137222,0.0147211,0.0102332,0.0297407,0.00986902,0,0,0,0,0,0,0,0,0
31,0.0226053,0.0294902,0.0266052,0.0134853,0.017891,0.00637627,0,0,0.0128946,0,0.0222925,0.00973384,0.0435317,0.0215447,0.0206242,0.0171934,0.0239287,0.0153524,0.00465316,0.00692609,0.0156518,0.0466799,0.0148837,0.0126195,0.0147286,0.0195071,0.0268291,0.0117354,0.0107232,0.00617599,0.0673016,0.0142655,0.0535969,0.00982048,0.0232629,0,0,0.0380884,0,0.0226649,0.0251367,0.0549197,0.0578142,0.018347,0.0171636,0.0206427,0.0260023,0.0230034,0.0594944,0.024353,0.0245869,0.0217425,0.0196437,0.0283736,0.0256548,0.0674721,0.0141551,0.0154677,0.0102104,0.0300289,0.00978203,0,0,0,0,0,0,0,0,0
32,0.022659,0.0296661,0.0261301,0.0134071,0.0175885,0.00628023,0,0,0.0129171,0,0.0222808,0.00973921,0.0433687,0.0215468,0.0203265,0.016268,0.0239072,0.0156353,0.00436641,0.00595261,0.0148053,0.0463358,0.0144821,0.0121674,0.0144988,0.0190645,0.026555,0.0118745,0.0106722,0.00622712,0.0716664,0.0141291,0.056254,0.00969287,0.023096,0,0,0.0379896,0,0.0229585,0.0251315,0.0547361,0.0607737,0.0183263,0.0171913,0.0206779,0.0258273,0.0244367,0.0600372,0.0258398,0.0263488,0.0220197,0.0209112,0.0293787,0.0262807,0.0714237,0.0146402,0.0162647,0.0102185,0.0303285,0.00971877,0,0,0,0,0,0,0,0,0
33,0.0224342,0.0296583,0.0254192,0.0132066,0.017081,0.00617065,0,0,0.013088,0,0.0222283,0.00986383,0.0430603,0.0215762,0.0202187,0.0152805,0.0238288,0.0159835,0.00431904,0.00509963,0.0138595,0.0461126,0.0141767,0.0118896,0.0142718,0.0186288,0.025894,0.0120189,0.0106383,0.0062889,0.0704422,0.0139608,0.0548352,0.00947181,0.0225734,0,0,0.037764,0,0.0232675,0.0249269,0.0550459,0.0599992,0.0183754,0.0165398,0.0206821,0.025577,0.0242318,0.0599888,0.0249591,0.0257272,0.0211791,0.0203482,0.0283388,0.025083,0.0705283,0.0150263,0.0166971,0.0102221,0.0304314,0.00960972,0,0,0,0,0,0,0,0,0
34,0.0223548,0.0296253,0.0245073,0.0129892,0.0164513,0.00610841,0,0,0.0135153,0,0.0221823,0.0100884,0.0427106,0.0214088,0.0202077,0.0142745,0.0237206,0.0164109,0.00437548,0.00446639,0.0129896,0.0460864,0.0139268,0.0117949,0.0140284,0.0182113,0.0247197,0.0123438,0.0105787,0.00635808,0.0641499,0.0137901,0.0496761,0.0091799,0.0221906,0,0,0.0374796,0,0.0235898,0.0247185,0.0556598,0.0550171,0.0184993,0.0154785,0.0207591,0.0254146,0.0226536,0.0593256,0.0225742,0.0231658,0.0194325,0.0182987,0.0255065,0.0225068,0.0646651,0.0152756,0.0169535,0.0102781,0.030494,0.00970939,0,0,0,0,0,0,0,0,0
35,0.022296,0.0295278,0.0232142,0.0128332,0.0159182,0.00597783,0,0,0.0140284,0,0.0221632,0.0103633,0.0424073,0.0213188,0.020375,0.0133311,0.02354,0.0169157,0.00451749,0.0040638,0.0121019,0.0463401,0.0137758,0.0118838,0.0138984,0.0178202,0.0231265,0.0128699,0.0105105,0.00646464,0.0544641,0.0136731,0.0420276,0.00874626,0.0218807,0,0,0.037417,0,0.0238707,0.024595,0.0563805,0.0463794,0.0187695,0.0142558,0.020899,0.0251968,0.0203352,0.0582679,0.0195583,0.0196907,0.0171531,0.0155011,0.021544,0.0191514,0.0551455,0.0154765,0.0171509,0.0103792,0.030583,0.00998638,0,0,0,0,0,0,0,0,0
36,0.0222164,0.0294667,0.0216005,0.0126774,0.0154264,0.00584418,0,0,0.0146247,0,0.0222071,0.0106509,0.042079,0.0213067,0.0206688,0.0123956,0.0234238,0.0173609,0.00466324,0.00393304,0.0112129,0.0467707,0.0139076,0.0121872,0.0138983,0.0173885,0.0211806,0.0135183,0.0105251,0.00659653,0.0434354,0.0135772,0.033365,0.0083098,0.0217117,0,0,0.0375132,0,0.0240942,0.0245268,0.0572474,0.0356086,0.0192271,0.0132207,0.0211076,0.0249202,0.0178871,0.0571899,0.0165566,0.016162,0.0147747,0.0127249,0.0170197,0.0155429,0.0437637,0.0156158,0.0171902,0.0104574,0.0305927,0.0103304,0,0,0,0,0,0,0,0,0
37,0.0221074,0.029422,0.0200863,0.0124727,0.015102,0.00582225,0,0,0.0151676,0,0.0222986,0.0109151,0.0417233,0.0214046,0.0208793,0.0115134,0.0233387,0.0177733,0.0048415,0.00419911,0.0102432,0.047323,0.0141777,0.0127184,0.0139919,0.0169058,0.0189038,0.0141639,0.0106177,0.00675319,0.0331038,0.0135373,0.0246296,0.00790748,0.0215576,0,0,0.0375242,0,0.0242222,0.0244392,0.0580778,0.0252497,0.0197438,0.0127556,0.0212928,0.0245693,0.0156379,0.0563586,0.0141188,0.0129902,0.0124374,0.0110561,0.0126942,0.0119734,0.0331076,0.0156845,0.0171345,0.0104399,0.030476,0.0106544,0,0,0,0,0,0,0,0,0
38,0.0219399,0.0294008,0.0184139,0.0124347,0.0150108,0.00564535,0,0,0.015679,0,0.0223869,0.0110938,0.041287,0.0215487,0.0210205,0.0107705,0.0230599,0.0182178,0.00511281,0.00479976,0.00944525,0.0479911,0.0144842,0.0133544,0.0141271,0.0164124,0.0163649,0.0145758,0.0106697,0.00695558,0.0245602,0.0135558,0.0185097,0.00742403,0.0215179,0,0,0.0375821,0,0.0242225,0.0244545,0.0581534,0.0178897,0.0202354,0.0126557,0.021336,0.0240816,0.0136158,0.0558391,0.0125697,0.0103125,0.0103441,0.0111839,0.00983214,0.00932789,0.0256031,0.0157687,0.0170356,0.0103623,0.0302437,0.0109632,0,0,0,0,0,0,0,0,0
39,0.0217762,0.029337,0.0160681,0.0124429,0.0150938,0.00526983,0,0,0.0164561,0,0.0225006,0.0113182,0.0407626,0.0216048,0.0209956,0.0103273,0.0228762,0.0187738,0.00558311,0.00574125,0.00898303,0.0487509,0.0147025,0.0140444,0.014178,0.0158184,0.0130797,0.0151102,0.0106689,0.0072083,0.0165644,0.0135262,0.0143106,0.00686618,0.0214976,0,0,0.0376344,0,0.0242042,0.0245356,0.0580368,0.0115403,0.0207618,0.012457,0.0212746,0.0235804,0.0118943,0.0557988,0.0116619,0.00852681,0.00904905,0.0122689,0.00848856,0.00821899,0.0191493,0.015985,0.0166858,0.0103056,0.0300854,0.0113898,0,0,0,0,0,0,0,0,0
40,0.0217683,0.0292328,0.0139665,0.01231,0.0156517,0.00502504,0,0,0.017565,0,0.0225427,0.0117076,0.0402598,0.0217057,0.0209021,0.0104391,0.0228315,0.0194432,0.00626041,0.00702047,0.00897982,0.0496076,0.0148447,0.0148222,0.0142424,0.0151037,0.00890454,0.0159493,0.0106352,0.00749004,0.00890163,0.0134543,0.00950863,0.00623299,0.0214821,0,0,0.0377707,0,0.0242586,0.0246728,0.0579751,0.00844193,0.0213495,0.0122974,0.0211212,0.0231872,0.0102966,0.0557303,0.0110876,0.00726893,0.0095796,0.0134303,0.00816643,0.00859269,0.0117144,0.016313,0.016173,0.0103721,0.03,0.0120048,0,0,0,0,0,0,0,0,0
41,0.0217772,0.0288759,0.0133439,0.0121738,0.0168127,0.00496703,0,0,0.01877,0,0.0226062,0.0121464,0.0397846,0.0218238,0.020951,0.0114129,0.0226461,0.0201171,0.00715633,0.00860857,0.00947563,0.0506385,0.0150028,0.0158445,0.014357,0.014401,0.00432211,0.0169118,0.0105795,0.00778233,0.00550449,0.0133588,0.00628091,0.00547086,0.0214618,0,0,0.0380837,0,0.0243323,0.0249322,0.0581049,0.0119238,0.0220125,0.0128939,0.0207966,0.0227403,0.00903528,0.0553228,0.0111246,0.00649335,0.0114612,0.0142476,0.00837342,0.00987963,0.00566225,0.0167708,0.0155551,0.0105758,0.0297031,0.0127205,0,0,0,0,0,0,0,0,0
42,0.0217308,0.0281363,0.0150511,0.0120127,0.0187258,0.00505956,0,0,0.0199325,0,0.0226245,0.0124945,0.0393361,0.0222708,0.0211683,0.0132291,0.0222613,0.0206768,0.00823252,0.0105402,0.0107832,0.0519122,0.0152443,0.0173938,0.0146348,0.0138277,0.00446557,0.0177013,0.0105163,0.00805884,0.00794734,0.0132715,0.0071496,0.0046277,0.0214782,0,0,0.0383696,0,0.0243401,0.0252233,0.0584513,0.015024,0.0225967,0.014107,0.0203122,0.022156,0.0084688,0.0547859,0.0117426,0.00651008,0.0137829,0.0146714,0.00911044,0.0118593,0.00355917,0.0172271,0.0148434,0.0107801,0.0291015,0.0135135,0,0,0,0,0,0,0,0,0
43,0.0215937,0.027365,0.0192342,0.0118722,0.0218146,0.00551802,0,0,0.0209238,0,0.0227308,0.0128349,0.0388789,0.0232758,0.0215239,0.0155227,0.0218692,0.021116,0.00943464,0.0128628,0.012902,0.053442,0.0157675,0.0200271,0.0150797,0.0133338,0.0108794,0.0182841,0.0104717,0.00827917,0.0106898,0.0132189,0.00907428,0.003863,0.0215605,0,0,0.038512,0,0.0242118,0.0254889,0.0590212,0.0169013,0.0230038,0.0153603,0.019741,0.021529,0.00830625,0.054362,0.0123284,0.00702925,0.0153547,0.0145848,0.00932237,0.013257,0.00488182,0.0175337,0.0140957,0.0108609,0.0282891,0.0144994,0,0,0,0,0,0,0,0,0
44,0.0214587,0.0268799,0.0250687,0.0116704,0.0256268,0.00632942,0,0,0.0219314,0,0.0228409,0.0131748,0.0383761,0.0245293,0.0220526,0.0178296,0.0218158,0.0214443,0.0107429,0.0154472,0.0154584,0.0551282,0.0166135,0.0236805,0.0155951,0.0129332,0.0188626,0.0187859,0.0104676,0.00847975,0.011404,0.0132024,0.0107189,0.00334435,0.0215436,0,0,0.038559,0,0.0240473,0.025678,0.0597025,0.0175752,0.0234836,0.0162207,0.0195785,0.0208573,0.00791086,0.0538806,0.0122266,0.00748291,0.0157219,0.0141964,0.00907766,0.0135971,0.00573991,0.0177628,0.013454,0.0108562,0.0276665,0.0155185,0,0,0,0,0,0,0,0,0
45,0.0215258,0.0266376,0.0316664,0.0115401,0.0293313,0.00713141,0,0,0.0227985,0,0.0229414,0.0133872,0.0378331,0.0255724,0.0225155,0.0197499,0.0219514,0.0215806,0.0121315,0.0181876,0.0177492,0.0569088,0.0175635,0.0276925,0.0161968,0.0126037,0.0271725,0.0190775,0.0104727,0.00863361,0.0109919,0.0132525,0.011895,0.00306712,0.0216376,0,0,0.0385571,0,0.0238486,0.0258203,0.0602108,0.0181897,0.0239989,0.0166598,0.0197947,0.020237,0.00713281,0.0531658,0.0117359,0.00781361,0.0149846,0.0135534,0.0087065,0.0126644,0.00772206,0.0179136,0.013349,0.0107777,0.027236,0.0164722,0,0,0,0,0,0,0,0,0
46,0.0216882,0.0265041,0.0380421,0.0114844,0.032264,0.00820208,0,0,0.0233423,0,0.0230476,0.0133846,0.0372796,0.0260916,0.0228086,0.0213548,0.0222444,0.021429,0.0134672,0.0210138,0.019568,0.0587168,0.0183602,0.0312194,0.0167482,0.0123064,0.0355956,0.0189423,0.0104971,0.0086466,0.0108538,0.0134225,0.0126289,0.00299606,0.0219382,0,0,0.0384509,0,0.0235519,0.0258219,0.0606606,0.0190125,0.0244997,0.0165487,0.0203196,0.0198424,0.00680175,0.0523795,0.0118607,0.00853605,0.0137468,0.0126729,0.00858885,0.011171,0.011158,0.0178519,0.0132389,0.0105716,0.0268828,0.017124,0,0,0,0,0,0,0,0,0
47,0.0218079,0.0264556,0.0436753,0.011476,0.0343286,0.00930741,0,0,0.0234185,0,0.0230805,0.0131021,0.0366813,0.026377,0.0229259,0.0227279,0.0226368,0.021004,0.0147068,0.0236368,0.0210941,0.0604569,0.0191249,0.033891,0.0171195,0.0119722,0.0437856,0.0185657,0.0104787,0.00854145,0.0114536,0.013671,0.0130148,0.0032591,0.0224539,0,0,0.0382644,0,0.0230956,0.0257061,0.0610851,0.0196726,0.0248326,0.01631,0.0209988,0.0198288,0.00738718,0.0517542,0.0125519,0.00968132,0.0125286,0.0116785,0.00871958,0.00991904,0.014804,0.0174648,0.0127757,0.0102482,0.0265961,0.0172932,0,0,0,0,0,0,0,0,0
48,0.0218013,0.0263702,0.0482387,0.0116129,0.0354829,0.0100374,0,0,0.0230806,0,0.0230708,0.0126339,0.0360185,0.026787,0.0230262,0.0238911,0.0230257,0.0203151,0.0158032,0.0258484,0.0223435,0.062105,0.0199371,0.0357388,0.0173907,0.011592,0.0511306,0.0176556,0.0104549,0.00836604,0.0118501,0.0139766,0.0132325,0.00381509,0.0228576,0,0,0.0381328,0,0.0225943,0.0255507,0.0613514,0.0197555,0.02489,0.016206,0.0216608,0.0200103,0.00824507,0.0516717,0.0134332,0.0108,0.0116563,0.0109108,0.00889024,0.00937025,0.0172895,0.0170053,0.0125618,0.00987556,0.0263354,0.0168017,0,0,0,0,0,0,0,0,0
49,0.0217919,0.0262594,0.0518448,0.0118803,0.0358823,0.0103228,0,0,0.0224082,0,0.0230675,0.0120243,0.0352364,0.0274501,0.023031,0.0248994,0.0232153,0.0194354,0.0167538,0.0277688,0.0234828,0.0635775,0.0207283,0.036906,0.0176115,0.0111932,0.0574391,0.0166843,0.0104245,0.00813971,0.0116161,0.0143357,0.0133959,0.00453231,0.0231652,0,0,0.0380449,0,0.0221308,0.0254226,0.0613466,0.0191575,0.0247075,0.0163859,0.0220992,0.0203455,0.0088943,0.0522756,0.0138676,0.0113217,0.0110919,0.0106094,0.00877485,0.0093415,0.0179634,0.0165735,0.0125655,0.00954797,0.0261393,0.0158286,0,0,0,0,0,0,0,0,0
50,0.0217113,0.0260617,0.0544323,0.0122155,0.0356255,0.0107155,0,0,0.0217077,0,0.0230419,0.0115033,0.0344436,0.0284282,0.0229807,0.0257846,0.0231475,0.0185455,0.0176238,0.0296311,0.0241234,0.0647527,0.0213161,0.037514,0.0176482,0.0108398,0.063548,0.0158037,0.0103827,0.00786369,0.0111879,0.0146522,0.0134888,0.00510301,0.0233134,0,0,0.0380986,0,0.0216682,0.0254423,0.0610693,0.0182187,0.0244601,0.0167831,0.0221902,0.0206987,0.00941282,0.053367,0.0139571,0.0114382,0.0108059,0.0107302,0.00844167,0.00953998,0.0175658,0.0162558,0.0125204,0.00930612,0.0259565,0.0145949,0,0,0,0,0,0,0,0,0
51,0.0214678,0.0257174,0.0569515,0.0125005,0.0351779,0.0107165,0,0,0.0211205,0,0.0230476,0.0111798,0.0337858,0.0300558,0.0228564,0.0265741,0.0229015,0.0178501,0.0183275,0.0313489,0.0242416,0.0656048,0.0218054,0.0376859,0.0176343,0.0105777,0.069975,0.0154572,0.0103231,0.00760847,0.0107577,0.0148892,0.0135543,0.00556372,0.0232435,0,0,0.0382649,0,0.0212138,0.0255813,0.0605847,0.0173751,0.0241053,0.0171431,0.0220023,0.0209622,0.0101122,0.0544977,0.0138635,0.0114726,0.0108287,0.0111086,0.00815364,0.00978742,0.0166404,0.0161058,0.0121506,0.00915966,0.0257096,0.0133685,0,0,0,0,0,0,0,0,0
52,0.0210703,0.0252825,0.059752,0.0126986,0.0347952,0.0106997,0,0,0.0208402,0,0.0230309,0.0111008,0.0335034,0.0326143,0.0226251,0.0273705,0.022652,0.0173878,0.0188456,0.0329795,0.0239879,0.0660354,0.0222733,0.0377615,0.0177247,0.0103204,0.0757499,0.0152031,0.010276,0.00733211,0.0108776,0.0150053,0.0138564,0.00579776,0.0230047,0,0,0.0385778,0,0.0208281,0.0258935,0.0600106,0.0170416,0.0238007,0.0175973,0.0216475,0.0210982,0.0105407,0.0553922,0.0137721,0.0116307,0.0112123,0.011535,0.00800467,0.00999705,0.0158631,0.0162156,0.0116329,0.00913404,0.0254638,0.0124267,0,0,0,0,0,0,0,0,0
53,0.0206907,0.0249436,0.0627436,0.0127956,0.0342413,0.0105341,0,0,0.0208696,0,0.0230773,0.0112365,0.0335312,0.0352711,0.0223687,0.0281921,0.0225146,0.017177,0.0192204,0.0346326,0.0235704,0.0661828,0.0228873,0.0380848,0.0179525,0.0101042,0.0811767,0.0150386,0.0102771,0.00709364,0.0114599,0.0150832,0.0142037,0.00580484,0.0227211,0,0,0.0390992,0,0.0205171,0.0262757,0.0594939,0.0170076,0.0236136,0.018011,0.0212539,0.021079,0.00967659,0.0559479,0.0137307,0.0118014,0.0118944,0.0118783,0.00792009,0.0101964,0.0156772,0.0165291,0.011052,0.00925998,0.0252477,0.0120443,0,0,0,0,0,0,0,0,0
54,0.0203875,0.0247151,0.06598,0.012771,0.033445,0.0104556,0,0,0.021272,0,0.0232006,0.0116353,0.033741,0.0377911,0.0221027,0.0290584,0.0224929,0.0171936,0.0195745,0.0364596,0.023167,0.0663067,0.0236967,0.0387267,0.0182487,0.0100201,0.0864946,0.0153323,0.0103506,0.0069653,0.0120913,0.0151442,0.0145691,0.00568943,0.0223063,0,0,0.0396575,0,0.0202648,0.0266282,0.0591883,0.0170744,0.0234823,0.0182968,0.0208651,0.0209048,0.00929662,0.0561136,0.0138078,0.0119446,0.0126317,0.0120653,0.00781161,0.0105026,0.0157598,0.0169232,0.0101119,0.00950183,0.0250383,0.0121888,0,0,0,0,0,0,0,0,0
55,0.020199,0.0245764,0.0693421,0.012576,0.0330586,0.0108048,0,0,0.0220478,0,0.0234364,0.0121607,0.0341279,0.0403298,0.0218799,0.0299098,0.0225669,0.0174211,0.0200492,0.0382364,0.0228916,0.0666031,0.0245824,0.0395969,0.0185195,0.0102176,0.0919688,0.0159903,0.0105031,0.0068951,0.0124012,0.0151861,0.0148568,0.00553762,0.0219059,0,0,0.0401756,0,0.0200514,0.0269837,0.059124,0.0169262,0.0234821,0.0183822,0.0205337,0.0207186,0.00925928,0.0559862,0.0138632,0.012068,0.0129486,0.0121216,0.00760866,0.0107126,0.0155992,0.0173335,0.00897044,0.00983508,0.0248418,0.0127981,0,0,0,0,0,0,0,0,0
56,0.0199216,0.0243862,0.0730239,0.0122748,0.0333391,0.010734,0,0,0.0228865,0,0.0238224,0.012764,0.0346614,0.0430699,0.0216941,0.030684,0.0225308,0.0177097,0.0206616,0.0399095,0.0227713,0.0670476,0.0253935,0.040671,0.0188011,0.0107193,0.0977085,0.0168923,0.0107814,0.00691272,0.0120807,0.0152459,0.0145775,0.00527801,0.0214332,0,0,0.0404785,0,0.0198414,0.0271521,0.0591429,0.0161488,0.0235645,0.0182704,0.0201867,0.0205373,0.00935889,0.0558482,0.013905,0.0121678,0.0129251,0.0119972,0.0076419,0.0106402,0.0152944,0.0175767,0.00770708,0.0101631,0.0245716,0.0135712,0,0,0,0,0,0,0,0,0
57,0.0198117,0.0242841,0.0768806,0.0119804,0.0342235,0.0103111,0,0,0.0236954,0,0.0242318,0.0131233,0.0351693,0.0454607,0.0215015,0.0314571,0.0223564,0.0179916,0.0213757,0.0413773,0.0227754,0.0675132,0.026155,0.0419288,0.0190949,0.0114793,0.103554,0.0177503,0.0109675,0.00682665,0.0114561,0.0152697,0.0142559,0.00486569,0.0213219,0,0,0.040743,0,0.0195999,0.0273874,0.0591989,0.0154386,0.0236358,0.0182061,0.0197714,0.0205917,0.00953248,0.0557605,0.0139971,0.0123025,0.0126789,0.0116669,0.00761808,0.0104716,0.0149934,0.0178539,0.00682925,0.0105146,0.0245046,0.0145156,0,0,0,0,0,0,0,0,0
58,0.0196021,0.0239919,0.0809647,0.0117162,0.0355922,0.00992051,0,0,0.0246471,0,0.0245209,0.0134152,0.0355296,0.0477764,0.0213079,0.0321962,0.0221241,0.0182225,0.022127,0.042643,0.0228362,0.0678608,0.0268752,0.043398,0.0193643,0.0123273,0.109052,0.0186411,0.0109893,0.00675125,0.0106941,0.0153994,0.0141088,0.00472563,0.0209551,0,0,0.0406081,0,0.0192884,0.027392,0.0593826,0.0148786,0.0236713,0.0181901,0.0192363,0.0203609,0.00972735,0.0558183,0.0142376,0.0125249,0.0124681,0.0112193,0.00761797,0.0103512,0.0144737,0.0181823,0.00627729,0.0107514,0.0241834,0.015057,0,0,0,0,0,0,0,0,0
59,0.0197306,0.0238548,0.0852968,0.0115865,0.0371129,0.0100207,0,0,0.0254864,0,0.0247114,0.0135512,0.0356202,0.0497508,0.0211091,0.0328731,0.0219183,0.0183773,0.0228324,0.043732,0.0228967,0.0681199,0.027497,0.0449419,0.0195025,0.0132098,0.114201,0.019433,0.0109684,0.0067063,0.00998884,0.0155375,0.0140303,0.0055251,0.0210448,0,0,0.040218,0,0.0189769,0.0272722,0.0595193,0.0143803,0.0236358,0.0182899,0.0186123,0.0205775,0.00985183,0.0559678,0.0145178,0.0127567,0.012432,0.0107723,0.00772464,0.0103305,0.0137582,0.0180937,0.00609527,0.0109544,0.0238948,0.0154527,0,0,0,0,0,0,0,0,0
60,0.0198492,0.0237136,0.0889538,0.0115621,0.0386827,0.0100325,0,0,0.0261674,0,0.0248687,0.0136632,0.0356151,0.0512515,0.020874,0.0333627,0.0217318,0.0184513,0.0233772,0.0444096,0.0229733,0.0682674,0.0279873,0.0464186,0.0196013,0.0140622,0.118757,0.0201233,0.0109461,0.00671184,0.0093968,0.0157064,0.0137679,0.00582302,0.0211568,0,0,0.0393271,0,0.0186316,0.026907,0.0596068,0.013826,0.0236031,0.0183121,0.0179778,0.0208624,0.0100282,0.0560976,0.0146355,0.0129143,0.0124748,0.0103268,0.00793761,0.0102037,0.0129144,0.0176427,0.00613345,0.0111055,0.0236658,0.0154454,0,0,0,0,0,0,0,0,0
61,0.0199242,0.0236931,0.0923275,0.0115854,0.0400052,0.00979296,0,0,0.0266028,0,0.0249259,0.0137024,0.0355894,0.0521778,0.0205202,0.033426,0.0215438,0.0184193,0.0236634,0.0445728,0.0230635,0.0681826,0.0282271,0.0475636,0.0196797,0.0147868,0.122357,0.0206473,0.0109038,0.00674183,0.00894177,0.0159371,0.0131748,0.00568438,0.021261,0,0,0.0380185,0,0.0183227,0.0263358,0.0595811,0.0130828,0.0235512,0.0181651,0.0173727,0.0212536,0.0102501,0.0561595,0.0146656,0.0129495,0.0126116,0.00987055,0.00826913,0.00999714,0.0123201,0.0169911,0.00632655,0.0111825,0.0235633,0.0151542,0,0,0,0,0,0,0,0,0
62,0.0201411,0.0238685,0.0942883,0.01163,0.0408924,0.00949054,0,0,0.0268411,0,0.0249639,0.0139015,0.0355436,0.0523924,0.0201735,0.0330824,0.0214658,0.0183279,0.0236714,0.0441308,0.0231576,0.0678967,0.028146,0.0482016,0.0196594,0.0153794,0.124815,0.0209903,0.0108236,0.00684393,0.00844875,0.0162291,0.0125799,0.00538224,0.0214459,0,0,0.0367367,0,0.0181224,0.0257452,0.0594579,0.0122911,0.0234296,0.0180645,0.0168588,0.0218298,0.0105377,0.0562761,0.0147591,0.0129821,0.0127798,0.00957145,0.0085441,0.00998519,0.0118273,0.0162301,0.00668947,0.0112295,0.023605,0.0148261,0,0,0,0,0,0,0,0,0
63,0.0203115,0.023953,0.0949884,0.0116531,0.04128,0.00921101,0,0,0.0268627,0,0.0248815,0.0140443,0.035369,0.0522975,0.0197495,0.0325115,0.0214104,0.0181851,0.0235839,0.0434165,0.0232392,0.0675098,0.0278293,0.0484058,0.0194631,0.0158441,0.126219,0.0210748,0.0107223,0.00700053,0.00771828,0.0164685,0.0119966,0.00501346,0.0214226,0,0,0.0352993,0,0.0178754,0.0249785,0.059476,0.0114013,0.0232766,0.0179982,0.0164729,0.0221823,0.0107526,0.0564714,0.0148745,0.013088,0.0130209,0.00939263,0.00876749,0.0101643,0.0109511,0.0155115,0.00680376,0.0111115,0.023561,0.0144355,0,0,0,0,0,0,0,0,0
64,0.0204731,0.023946,0.0953727,0.0117927,0.04127,0.00882223,0,0,0.0267819,0,0.0247681,0.0140562,0.0349903,0.0521623,0.0193627,0.0319229,0.021216,0.0178754,0.0235886,0.0426947,0.0233155,0.0670706,0.0272541,0.0481777,0.0190154,0.0162064,0.126862,0.0208987,0.0105893,0.00721438,0.00671294,0.0167022,0.0113231,0.00505634,0.0214359,0,0,0.0336983,0,0.0175977,0.0241448,0.0594866,0.010296,0.0231884,0.0178058,0.016019,0.0223859,0.0108556,0.0566467,0.0148652,0.0131404,0.0132911,0.00924622,0.00902116,0.0102716,0.00970763,0.0147846,0.00656688,0.0108305,0.0234268,0.0141677,0,0,0,0,0,0,0,0,0
65,0.0205918,0.0239529,0.0957655,0.0119034,0.041106,0.00846091,0,0,0.0265579,0,0.0246256,0.0140182,0.0348472,0.0517381,0.0190862,0.0309407,0.0210745,0.0175956,0.0233578,0.0414344,0.0233033,0.0666816,0.0264279,0.0475263,0.0184643,0.0164353,0.126897,0.020608,0.010449,0.00743588,0.00554797,0.0169598,0.0107055,0.00507942,0.0214923,0,0,0.032071,0,0.0173768,0.0232906,0.059407,0.00937248,0.0231121,0.017558,0.0155625,0.0225346,0.0109115,0.0567713,0.0147827,0.0131053,0.0135502,0.00904221,0.0093176,0.0103651,0.00832691,0.0140756,0.00642803,0.0104945,0.0232474,0.0140813,0,0,0,0,0,0,0,0,0
66,0.0206646,0.0240372,0.0959613,0.0120102,0.0408698,0.0083389,0,0,0.0263771,0,0.0245326,0.0139628,0.0349339,0.0508508,0.0188679,0.0294782,0.021293,0.0174073,0.0227269,0.0393271,0.0231398,0.0662575,0.0252764,0.0464016,0.0179444,0.0165266,0.126251,0.020363,0.0103415,0.00765558,0.00449108,0.0172161,0.0102193,0.00492603,0.0214992,0,0,0.0306576,0,0.0172249,0.0224272,0.0592838,0.00867356,0.0230918,0.0173947,0.0152299,0.0226165,0.0109763,0.0568323,0.0147451,0.0130039,0.0137818,0.00889232,0.00959677,0.010485,0.00720705,0.0135498,0.00618853,0.0102117,0.0232107,0.0141422,0,0,0,0,0,0,0,0,0
