Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,LGTR,LTHII
57,0.00177799,0.00222014,0.0307106,0.0150424,0.00906151,0.00445288,0,0,0.00671373,0,0.0223337,0.00280871,0.0114955,0.0273836,0.0158371,0.00413672,0.00322429,0.00678145,0.00715134,0.0414102,0.0111358,0.0070065,0.00769545,0.0188596,0.0361012,0.00555116,0.00941218,0.000723517,0.0399325,0.0202497,0.018489,0.00143264,0.00214596,0,0,0.00746104,0,0.0189827,0.00354867,0.0651589,0.0122164,0.0226146,0.00648824,0.00958528,0.00154852,0.0039356,0.0508495,0.00615974,0.00491691,0.0125316,0.02478,0.0114781,0.0115239,0.0434002,0.00544165,0.00379533,0.00158541,0.00179189,0.00244158,0,0,0,0,0,0,0,0,0,0,0.0492142,0.017956
58,0.00204009,0.00243052,0.0322256,0.0149783,0.00942375,0.0048758,0,0,0.00693981,0,0.0223422,0.00290474,0.0116273,0.0278222,0.0172151,0.00458132,0.00319396,0.00738264,0.00836583,0.0413506,0.0116832,0.00724907,0.00786846,0.0189965,0.0380139,0.00563409,0.00940047,0.000818465,0.0379983,0.0200251,0.0185267,0.00152671,0.00247137,0,0,0.00830467,0,0.0187764,0.00428584,0.0656553,0.0122571,0.0226037,0.0064096,0.00988674,0.00222553,0.00532384,0.0507783,0.00702446,0.00562304,0.0112981,0.024701,0.0120038,0.0106162,0.0407588,0.00615588,0.0039184,0.00118493,0.00211105,0.00261773,0,0,0,0,0,0,0,0,0,0,0.0490799,0.0188601
59,0.00238488,0.00272805,0.0341134,0.0149344,0.00978274,0.00528971,0,0,0.00725781,0,0.0223548,0.00302998,0.0115513,0.0279195,0.018514,0.0048277,0.00325328,0.0080815,0.00944847,0.0412552,0.012065,0.00732863,0.00798746,0.0191407,0.0400346,0.0057147,0.00941822,0.000926842,0.0354005,0.0197522,0.0181488,0.00188394,0.00286588,0,0,0.00898315,0,0.0188865,0.00464486,0.0657964,0.0123412,0.0224207,0.00687434,0.00999532,0.00177358,0.00644552,0.0504506,0.00787053,0.00650233,0.0101685,0.0242608,0.0122675,0.0100513,0.0375663,0.00622549,0.00403736,0.00149869,0.0024778,0.00299657,0,0,0,0,0,0,0,0,0,0,0.0489721,0.0197513
60,0.0027232,0.0030252,0.0360358,0.0149797,0.0101483,0.00558953,0,0,0.00748845,0,0.0223606,0.00306698,0.0114152,0.0281103,0.0197516,0.00492622,0.00334979,0.00877355,0.0105639,0.041165,0.0123557,0.00725515,0.00798941,0.0192425,0.0421425,0.00578343,0.00942325,0.000987417,0.0321874,0.0195788,0.0173068,0.00220759,0.00328068,0,0,0.00983987,0,0.0189962,0.00510763,0.0656315,0.0122654,0.0222357,0.00780352,0.00990226,0.00198819,0.00718021,0.0498893,0.00865708,0.00724459,0.00922064,0.0235142,0.0121798,0.00982933,0.033758,0.00667752,0.00390524,0.00168154,0.00292137,0.00337161,0,0,0,0,0,0,0,0,0,0,0.0489418,0.020677
61,0.00303471,0.00334543,0.0377566,0.015027,0.0104457,0.00566673,0,0,0.00762208,0,0.0223676,0.00305873,0.0111792,0.0283726,0.0208739,0.00497235,0.00344824,0.00959902,0.0116181,0.0410322,0.0126335,0.00712812,0.00790514,0.0193367,0.0440358,0.00586824,0.00943253,0.0010461,0.0284666,0.0194322,0.0162652,0.00227828,0.00372531,0,0,0.0107152,0,0.0191139,0.00556815,0.0658746,0.0123534,0.0222308,0.00918601,0.00987102,0.00244645,0.00786134,0.0493863,0.00953948,0.00799528,0.00851443,0.022461,0.0117737,0.00986255,0.0293643,0.00719186,0.00391231,0.00185936,0.00332126,0.00371762,0,0,0,0,0,0,0,0,0,0,0.0490039,0.021553
62,0.00330987,0.00365993,0.0389389,0.0151544,0.0107952,0.00581688,0,0,0.00757752,0,0.0223875,0.0030008,0.0108121,0.0283108,0.0219074,0.00497452,0.0035695,0.0102666,0.0125705,0.0408441,0.0129324,0.00707856,0.00779029,0.0194179,0.0457083,0.00591825,0.0094358,0.00100683,0.0240559,0.0193194,0.0147501,0.00228357,0.00420195,0,0,0.0116442,0,0.0192352,0.00610375,0.0663364,0.0118978,0.0222644,0.0106901,0.00983962,0.00294443,0.00821837,0.0489011,0.0101534,0.00841908,0.00826514,0.0213067,0.0110397,0.0101418,0.0243659,0.00775631,0.00391404,0.00198607,0.00367337,0.00402881,0,0,0,0,0,0,0,0,0,0,0.0491313,0.0223903
63,0.003521,0.00399549,0.0400549,0.0152792,0.0110965,0.00588959,0,0,0.00782838,0,0.0223953,0.00304692,0.0102879,0.0281724,0.0229452,0.00480877,0.00369722,0.0111276,0.013503,0.0406357,0.0132915,0.00715581,0.00765347,0.0194332,0.0471625,0.00600007,0.00943957,0.00103158,0.0191964,0.0192196,0.0127158,0.00226188,0.00467858,0,0,0.0126661,0,0.0193215,0.00668005,0.0666924,0.0102845,0.0223795,0.012078,0.00976776,0.00351075,0.00814572,0.048299,0.0104662,0.00845493,0.00847887,0.0201332,0.0099858,0.0105281,0.0192492,0.00842387,0.00400635,0.00205918,0.00412787,0.00429349,0,0,0,0,0,0,0,0,0,0,0.0492195,0.0231859
64,0.00374201,0.00436127,0.0412,0.0153806,0.0113198,0.00574348,0,0,0.00779059,0,0.022429,0.00293999,0.00979305,0.0280453,0.0238809,0.00455442,0.00379243,0.0119655,0.0142527,0.0403536,0.0135954,0.00713514,0.00747087,0.0193704,0.048684,0.00589191,0.00947419,0.00108889,0.0138882,0.0191072,0.0100407,0.00186318,0.00514334,0,0,0.0137823,0,0.0194224,0.00727356,0.0669569,0.00918809,0.0225456,0.013051,0.00973166,0.00420545,0.00760593,0.0475355,0.0103308,0.00793916,0.00887242,0.0189782,0.0087161,0.010739,0.0138123,0.00918231,0.00412248,0.00215635,0.00469269,0.00457397,0,0,0,0,0,0,0,0,0,0,0.0493133,0.0238837
65,0.00393619,0.00468192,0.0423255,0.0155939,0.0115008,0.00564552,0,0,0.00755847,0,0.0224819,0.00273931,0.00935997,0.0277914,0.0247205,0.00443512,0.00390365,0.0126979,0.0149425,0.0400121,0.0138646,0.00710723,0.00726011,0.0192913,0.0500989,0.00572942,0.00941431,0.00104589,0.00864658,0.0190088,0.00732531,0.0014787,0.0055761,0,0,0.0149432,0,0.0195183,0.00787186,0.0671494,0.00916078,0.0227472,0.0138242,0.00970455,0.00493377,0.00702104,0.0466256,0.0100383,0.00728282,0.00933582,0.0178463,0.00718308,0.0107998,0.00804734,0.0100018,0.00416472,0.00230188,0.00521314,0.00486751,0,0,0,0,0,0,0,0,0,0,0.0494411,0.0245016
66,0.00410008,0.00499153,0.0436845,0.0157861,0.0115828,0.00561946,0,0,0.0072577,0,0.0225198,0.00243638,0.0090622,0.0273562,0.0255144,0.00433323,0.00412405,0.013361,0.0155581,0.0395659,0.0141686,0.00720388,0.0070778,0.0192146,0.0514716,0.0054338,0.00934383,0.000979655,0.00565927,0.0188546,0.00622723,0.0016033,0.00599936,0,0,0.0159942,0,0.0195596,0.00845947,0.0673334,0.0110344,0.0230409,0.0145309,0.00963234,0.00575164,0.0072046,0.0456748,0.00995521,0.00729883,0.00986056,0.0168347,0.00560323,0.0107107,0.00263798,0.0108757,0.00431908,0.00251968,0.00574833,0.00519897,0,0,0,0,0,0,0,0,0,0,0.0495861,0.025039
