Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70
All Timesteps RMSE,0.0030121,0.00253308,0.0349557,0.0158,0.0175797,0.00661883,0,0,0.00776991,0,0.0227224,0.00328791,0.0456191,0.0258705,0.0249383,0.0170787,0.00496208,0.00445253,0.0130458,0.0204916,0.0143988,0.0512987,0.0122199,0.0153191,0.00908631,0.022354,0.0446718,0.00734616,0.00966571,0.00190178,0.0309845,0.0206142,0.0174225,0.0060094,0.00352998,0,0,0.0117306,0,0.018882,0.00502766,0.0645269,0.0265099,0.0252862,0.0107837,0.00794875,0.00573771,0.0118568,0.0508122,0.0103806,0.017007,0.0170633,0.0209967,0.0119226,0.020713,0.036919,0.00874723,0.00560162,0.00290746,0.00355773,0.00401508,0,0,0,0,0,0,0,0,0,0
0,0.00695105,0.00335431,0.0391337,0.0162618,0.0170823,0.00517855,0,0,0.00825661,0,0.022161,0.000839664,0.0465412,0.013055,0.0279664,0.0125046,0.00379361,0.0056792,0.00574661,0.00340973,0.0120994,0.0446742,0.0117755,0.01339,0.00933815,0.0180117,0.048684,0.00620999,0.00922961,0.000758379,0.0249547,0.0205689,0.00498793,0.00448332,0.0058012,0,0,0.00367396,0,0.0186689,0.0035634,0.0629734,0.00864442,0.0195666,0.00697507,0.00343273,0.0100682,0.00768246,0.0518361,0.00926253,0.00833633,0.00812963,0.0212637,0.00724805,0.0109897,0.0290752,0.00669037,0.00629962,0.00172547,0.00465913,0.00474206,0,0,0,0,0,0,0,0,0,0
1,0.00487552,0.00239964,0.0383407,0.0162012,0.0169348,0.00378526,0,0,0.00905855,0,0.0221875,0.00091788,0.0469352,0.0122874,0.0277659,0.0130275,0.00372394,0.00466092,0,0.00381218,0.0125598,0.0435617,0.0111908,0.0125826,0.00902094,0.0176923,0.047795,0.00719787,0.00921133,0.000773399,0.0201092,0.0204563,0.0046984,0.00397114,0.00408549,0,0,0.00406832,0,0.0186922,0.00363093,0.0628797,0.0102396,0.0207662,0.00660483,0.00247424,0.00727246,0.0062257,0.0512883,0.00802109,0.0075543,0.00583857,0.020183,0.00656317,0.00936584,0.0243387,0.00556645,0.00613878,0.00161824,0.00434737,0.00311204,0,0,0,0,0,0,0,0,0,0
2,0.00464505,0.00290321,0.0380637,0.0162824,0.016869,0.00343679,0,0,0.00954261,0,0.0222479,0.000953061,0.0471175,0.0116964,0.027261,0.0136599,0.00397573,0.0047567,0.00768792,0.0042786,0.0131038,0.0429434,0.0106956,0.0121463,0.00837697,0.0176727,0.0474392,0.00763728,0.00918145,0.000741514,0.0152994,0.0202803,0.00505245,0.00430129,0.00404457,0,0,0.00460568,0,0.01866,0.00336795,0.0630551,0.0114154,0.0213494,0.00716743,0.0022487,0.00679602,0.00499725,0.0503531,0.00704472,0.00660981,0.00377537,0.019199,0.00582892,0.00768184,0.0174999,0.00570608,0.00604613,0.00132498,0.00463146,0.00301443,0,0,0,0,0,0,0,0,0,0
3,0.00472032,0.00317055,0.038282,0.0164766,0.0169564,0.00343669,0,0,0.0100201,0,0.0222654,0.00110138,0.047353,0.0110032,0.0267078,0.0140127,0.00438691,0.00488989,0.00793547,0.00434812,0.0133572,0.0423854,0.0102182,0.0116284,0.00776791,0.0174989,0.0477868,0.00805486,0.00911359,0.000840916,0.0113356,0.0203191,0.00635771,0.00483581,0.00437907,0,0,0.00530182,0,0.0189546,0.00368061,0.0631605,0.0138331,0.0217207,0.00867366,0.00213791,0.00664865,0.00425553,0.0492876,0.00696481,0.00592483,0.00288078,0.0182509,0.00517966,0.00690319,0.0103392,0.00580511,0.00563362,0.00164086,0.00494657,0.00328318,0,0,0,0,0,0,0,0,0,0
4,0.00463488,0.00340756,0.0385429,0.016865,0.0169618,0.00358339,0,0,0.0106771,0,0.0225293,0.00170148,0.0476102,0.00985896,0.0260477,0.0141537,0.00495197,0.00504068,0.00790297,0.0042505,0.0134266,0.0417568,0.0096232,0.0112143,0.00718233,0.0172401,0.0483077,0.00847872,0.00914305,0.00100591,0.00916075,0.0204684,0.00880428,0.00578616,0.00451715,0,0,0.00643993,0,0.0190046,0.00369253,0.0632004,0.016926,0.0220811,0.0101934,0.00211956,0.00693927,0.00487465,0.0483051,0.00785622,0.00574137,0.00332745,0.0172956,0.0045534,0.00697892,0.00425846,0.00663842,0.00614726,0.00155638,0.00536464,0.00346974,0,0,0,0,0,0,0,0,0,0
5,0.00492,0.00355579,0.0388963,0.0172085,0.0169225,0.00332377,0,0,0.0109385,0,0.0225485,0.00193345,0.0477288,0.00971663,0.0255752,0.0139708,0.00531426,0.00514516,0.00785495,0.00407645,0.0133202,0.041234,0.00914204,0.0108894,0.00656779,0.0169466,0.0488403,0.0084368,0.00912124,0.00104574,0.00943027,0.0204862,0.00937244,0.00638934,0.00504931,0,0,0.00603847,0,0.0194483,0.00351008,0.0629321,0.016531,0.0223108,0.00978112,0.00197778,0.00701408,0.00799789,0.0480999,0.00880932,0.00799315,0.0052704,0.0153078,0.00191071,0.00516292,0.0123748,0.00621965,0.00556078,0.00201563,0.00552416,0.00391508,0,0,0,0,0,0,0,0,0,0
6,0.00443827,0.00375267,0.0398907,0.0176517,0.0166016,0.00319492,0,0,0.0120283,0,0.0225824,0.00281796,0.0477596,0.00814909,0.0249012,0.0137431,0.00609712,0.00513832,0.00766555,0.00378945,0.0132685,0.0406618,0.00860273,0.0105926,0.00611981,0.0168866,0.0500687,0.00874423,0.00886425,0.00129037,0.0267934,0.0205968,0.0210042,0.00736355,0.00471251,0,0,0.00931845,0,0.0186479,0.00417858,0.0625168,0.0246531,0.0225863,0.0100668,0.00216964,0.00821352,0.0121762,0.0483968,0.0118891,0.0126646,0.00902697,0.0153382,0.00899294,0.00812132,0.0292781,0.00944807,0.00685261,0.00129065,0.00590848,0.0037716,0,0,0,0,0,0,0,0,0,0
7,0.00453687,0.00388678,0.0409754,0.0181781,0.0163785,0.00340074,0,0,0.0125525,0,0.0227094,0.00324192,0.0477006,0.00780769,0.0244365,0.0134029,0.00650258,0.00518656,0.00743167,0.00376937,0.0131097,0.0401288,0.00826098,0.0106464,0.00580855,0.0167388,0.0512084,0.00885048,0.00873716,0.0013773,0.0438122,0.0206269,0.0341069,0.0076725,0.00500236,0,0,0.0103595,0,0.0186931,0.00441713,0.0619489,0.0376892,0.0229355,0.0115928,0.00214867,0.00881801,0.0159641,0.0491883,0.015828,0.0172133,0.0127799,0.0180099,0.0162738,0.0129414,0.0458533,0.0106538,0.00698381,0.00128179,0.00616291,0.00399778,0,0,0,0,0,0,0,0,0,0
8,0.00468926,0.00402108,0.0417318,0.0184851,0.0161335,0.00367821,0,0,0.0130341,0,0.0227424,0.00365851,0.0475766,0.00765759,0.0240111,0.0126962,0.00681605,0.00530882,0.00689694,0.00384597,0.0126808,0.0396054,0.00806502,0.0105783,0.00563718,0.0165634,0.0523566,0.00904453,0.00866708,0.00149215,0.0580457,0.0206129,0.0453205,0.00784767,0.00529547,0,0,0.0114536,0,0.0187441,0.00469198,0.0613805,0.0497146,0.0231012,0.013026,0.00214208,0.00948596,0.0187969,0.0502353,0.019183,0.0205771,0.0154914,0.0215303,0.0220977,0.016885,0.0598247,0.0119514,0.00704871,0.00131751,0.00648305,0.00419069,0,0,0,0,0,0,0,0,0,0
