Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70
All Timesteps RMSE,0.0211085,0.0359966,0.0480358,0.012206,0.0236832,0.0340814,0,0,0.0217474,0,0.0236859,0.0128277,0.0385024,0.0312285,0.0270406,0.0256219,0.0599087,0.0172914,0.0171579,0.028224,0.0189665,0.054865,0.0193267,0.0275626,0.0157057,0.0166868,0.0622083,0.0161215,0.0103326,0.0076668,0.0279043,0.0156137,0.0217906,0.0393488,0.0162858,0,0,0.038055,0,0.021058,0.0247955,0.0571898,0.0322049,0.0175082,0.0146477,0.0610944,0.0178507,0.0130597,0.0562511,0.0150498,0.0155036,0.013284,0.0145177,0.0115888,0.0178891,0.0368869,0.0201723,0.00931294,0.0113801,0.0424561,0.0215317,0,0,0,0,0,0,0,0,0,0
0,0.0209294,0.0334725,0.0350041,0.0135156,0.00706608,0.0312395,0,0,0.0226249,0,0.0230397,0.0123736,0.0411588,0.0156329,0.0290435,0.0178783,0.0575312,0.010652,0.01145,0.01723,0.012903,0.0538616,0.015454,0.0187189,0.0129495,0.0133201,0.0504131,0.0163069,0.0102468,0.00665469,0.0208158,0.0170983,0.0136094,0.0431731,0.0144574,0,0,0.0397322,0,0.0176649,0.0274811,0.0500922,0.00849592,0.0156666,0.0203985,0.0565701,0.018803,0.0268459,0.0678191,0.0230123,0.0366822,0.0178713,0.0213052,0.00780908,0.0210445,0.0260638,0.0228306,0.007221,0.0103353,0.0402589,0.0197265,0,0,0,0,0,0,0,0,0,0
1,0.0219575,0.0346483,0.0346041,0.0132853,0.00740251,0.0315352,0,0,0.0223085,0,0.0230693,0.0125205,0.0414414,0.0173541,0.0286067,0.0181853,0.0568991,0.0127549,0.0121426,0.0178369,0.013616,0.0536675,0.0155918,0.0189751,0.0134123,0.0144404,0.0502233,0.0152909,0.0101439,0.00683616,0.0222606,0.0165805,0.0122415,0.0424055,0.0145637,0,0,0.0410216,0,0.0181081,0.0283859,0.0512701,0.0156284,0.0152738,0.0148947,0.0567566,0.0183445,0.0229322,0.0660242,0.0193134,0.0327825,0.0156196,0.0212893,0.00710066,0.0213659,0.0311484,0.0233486,0.00729667,0.0107379,0.0400141,0.0195194,0,0,0,0,0,0,0,0,0,0
2,0.0203615,0.0341726,0.0332413,0.0134742,0.00790165,0.0317273,0,0,0.0209667,0,0.0228615,0.0120921,0.041859,0.0187555,0.0281919,0.017972,0.0564638,0.0134068,0.0126788,0.017849,0.0140498,0.0532281,0.015557,0.0190474,0.0133742,0.0154147,0.0485649,0.0139128,0.0101104,0.00673951,0.0239989,0.0158006,0.0120284,0.0416454,0.0136719,0,0,0.044183,0,0.0188272,0.0304026,0.0506344,0.0190463,0.0160697,0.0145358,0.0565674,0.0172415,0.022565,0.0661385,0.0192442,0.0323557,0.0160547,0.021215,0.00737091,0.0225689,0.0339881,0.0262399,0.00766392,0.0117847,0.0398442,0.0192815,0,0,0,0,0,0,0,0,0,0
3,0.0200781,0.0339747,0.0317214,0.0132871,0.00857322,0.0318726,0,0,0.0208621,0,0.0229246,0.0122139,0.0419425,0.0196896,0.0283723,0.0174175,0.0561837,0.0140078,0.0127407,0.0172295,0.0140837,0.052623,0.0155326,0.0191279,0.0133743,0.0161369,0.0465109,0.01366,0.0101415,0.00688439,0.0259728,0.0154864,0.0120456,0.0413275,0.0138701,0,0,0.0446689,0,0.0191717,0.0305225,0.0507867,0.0216838,0.0164854,0.0140947,0.0564983,0.0165983,0.021763,0.0658608,0.0189232,0.0313848,0.0163201,0.0211857,0.00750389,0.0232679,0.036996,0.026126,0.00779957,0.011978,0.0398284,0.0192773,0,0,0,0,0,0,0,0,0,0
4,0.0198259,0.0338891,0.0298682,0.0130892,0.00914653,0.0316911,0,0,0.0209305,0,0.0229753,0.0124322,0.0419304,0.0204526,0.0284678,0.0169364,0.0561397,0.0143666,0.0127222,0.0168035,0.0140622,0.0520753,0.0156033,0.0190757,0.0135537,0.0167296,0.0440246,0.0136176,0.0101731,0.00699621,0.0280868,0.0152481,0.0120686,0.0412997,0.0142659,0,0,0.0448052,0,0.0194616,0.0304462,0.0511135,0.0240226,0.0163872,0.0137393,0.0570086,0.016037,0.0208769,0.0654244,0.0185734,0.0302418,0.016559,0.0211218,0.0077061,0.0238733,0.0401168,0.0257403,0.00765454,0.0122185,0.0397718,0.0195135,0,0,0,0,0,0,0,0,0,0
5,0.0195828,0.0337874,0.0279977,0.0129136,0.00966857,0.0312589,0,0,0.0208014,0,0.0229344,0.0124881,0.0418297,0.0209758,0.0285146,0.0166793,0.0561525,0.014555,0.0126011,0.0165682,0.0139954,0.0518508,0.0158057,0.0189877,0.0139019,0.0172001,0.0413301,0.0135294,0.0101856,0.00699397,0.0302622,0.0150895,0.0122986,0.0415282,0.0147773,0,0,0.0446896,0,0.0196885,0.030193,0.0516169,0.0263993,0.0160035,0.0133658,0.0577749,0.0155136,0.0198686,0.0648262,0.01807,0.0289406,0.0168435,0.021075,0.00797085,0.0244974,0.0432862,0.0251636,0.00746873,0.0123427,0.03983,0.019932,0,0,0,0,0,0,0,0,0,0
6,0.0193252,0.0336557,0.0261847,0.0126662,0.0100633,0.03132,0,0,0.0204548,0,0.022861,0.0123414,0.0416953,0.0213397,0.0285374,0.0166321,0.0561143,0.0146361,0.0123522,0.0165439,0.0138688,0.0516656,0.015969,0.0188233,0.0141775,0.0175651,0.038787,0.0133009,0.0102203,0.00687848,0.0323935,0.0149955,0.0126368,0.0415057,0.0151251,0,0,0.0445502,0,0.0199205,0.0297531,0.0520035,0.0289652,0.0159246,0.0129815,0.0582781,0.0151289,0.0187607,0.0642076,0.0175583,0.0274635,0.0171675,0.0209234,0.00822231,0.0251446,0.0463683,0.0245048,0.00733321,0.0123785,0.0396487,0.0202614,0,0,0,0,0,0,0,0,0,0
7,0.0190869,0.0336118,0.0245538,0.012519,0.0104676,0.0314981,0,0,0.0202939,0,0.0228728,0.0122875,0.0415635,0.0216537,0.0287138,0.0168234,0.0560514,0.0146488,0.0120989,0.0168256,0.013801,0.0513252,0.0161364,0.0186805,0.0143779,0.0178399,0.0366745,0.0133052,0.0103103,0.00681635,0.0343596,0.0149443,0.0131045,0.0412233,0.0152815,0,0,0.0442733,0,0.02016,0.0292686,0.0523569,0.0315827,0.0160913,0.012591,0.0585434,0.0149127,0.0175566,0.0636351,0.017104,0.0258728,0.017569,0.0206846,0.00847561,0.0258969,0.0493408,0.0238314,0.00700351,0.0124245,0.0394808,0.0203814,0,0,0,0,0,0,0,0,0,0
8,0.0188239,0.0336109,0.0228484,0.0124682,0.0110826,0.0314895,0,0,0.0203621,0,0.0229872,0.0122535,0.0415305,0.0218709,0.0289026,0.0170338,0.0560286,0.0146829,0.0118804,0.0171452,0.0137777,0.0509313,0.0163922,0.0186438,0.0146433,0.0181447,0.0344111,0.0134312,0.0104531,0.00674418,0.0363705,0.0148724,0.0137513,0.0410592,0.0153782,0,0,0.0441252,0,0.0204041,0.0289016,0.0526898,0.0341895,0.016261,0.0122422,0.0589112,0.0147676,0.0163355,0.0630108,0.0166899,0.0242338,0.0179621,0.0204473,0.00871033,0.0266952,0.0522845,0.0233268,0.00659838,0.0124714,0.0394993,0.0204015,0,0,0,0,0,0,0,0,0,0
