Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x79
66,0.0575192,0.0470704,0,0,0,0,0,0,0.0270797,0,0.0223021,0.0658691,0,0,0.023533,0,0,0.0302089,0.0754652,0.0182037,0.00819321,0.0140154,0.0280796,0.0442875,0.0374963,0.0485501,0.0324017,0.0160756,0.0130577,0.0206392,0.0235146,0.0187891,0.00594149,0.00852693,0.0173885,0.0379838,0,0.012322,0.064377,0.057265,0,0.0188905,0,0,0.0390897,0.0589842,0.0254698,0.0269665,0.0155047,0.0424173,0.0449891,0.0367979,0.124833,0.0432855,0.0326215,0.0733295,0.0509099,0.0559483,0.0879699,0.0179726,0.0255276,0.0116658,0.0182635,0.0286059,0.0363029,0,0,0,0,0,0,0,0,0
67,0.0575349,0.0470367,0,0,0,0,0,0,0.0271043,0,0.0222884,0.0658672,0,0,0.0234522,0,0,0.0302234,0.0754482,0.0182393,0.00819388,0.0140906,0.0281219,0.0445242,0.0375185,0.0485555,0.0325191,0.0160539,0.0131656,0.0206312,0.0235537,0.0187694,0.00598931,0.00845663,0.0173912,0.0379673,0,0.0122645,0.0643948,0.0573016,0,0.0188465,0,0,0.038985,0.0589621,0.0253803,0.0269906,0.0155025,0.0424204,0.0450809,0.0368015,0.124874,0.0432879,0.0326336,0.0734097,0.0509053,0.0558961,0.0879357,0.0179334,0.0254724,0.0115994,0.018283,0.0286531,0.0362708,0,0,0,0,0,0,0,0,0
68,0.0576376,0.0470242,0,0,0,0,0,0,0.0272538,0,0.0222643,0.065865,0,0,0.0234208,0,0,0.0300636,0.0754105,0.0180746,0.00814784,0.0141412,0.0281976,0.0446553,0.0375709,0.0485603,0.0325561,0.0159906,0.01354,0.0206174,0.0235129,0.0186478,0.00606226,0.00841172,0.0173641,0.0380094,0,0.0122249,0.0643699,0.0573246,0,0.018865,0,0,0.0389059,0.0589416,0.0251427,0.0269984,0.0154964,0.0424892,0.0449753,0.0368092,0.124917,0.0432977,0.032685,0.0734112,0.050888,0.0558414,0.0879011,0.0178508,0.0254224,0.0115757,0.0182799,0.0286094,0.0360102,0,0,0,0,0,0,0,0,0
69,0.0577552,0.0470323,0,0,0,0,0,0,0.0273987,0,0.0222059,0.065868,0,0,0.0233929,0,0,0.029761,0.0753576,0.0176235,0.00809428,0.0141144,0.0282935,0.0447615,0.0376001,0.0485789,0.0325415,0.0159552,0.0136955,0.0205771,0.023493,0.0185732,0.00617858,0.00843415,0.0173117,0.0379963,0,0.0121985,0.0643223,0.0573421,0,0.0189114,0,0,0.0389272,0.0589185,0.0251574,0.0270031,0.0155103,0.0425563,0.0449242,0.036803,0.124904,0.0433357,0.0327033,0.0733167,0.0508757,0.0558243,0.0879157,0.0178929,0.0253931,0.011597,0.0182626,0.0285394,0.0359392,0,0,0,0,0,0,0,0,0
70,0.057828,0.0470278,0,0,0,0,0,0,0.0274239,0,0.0222059,0.0658561,0,0,0.0233662,0,0,0.0297247,0.0753514,0.0175759,0.00806734,0.0141059,0.0283244,0.0448826,0.0376139,0.0485892,0.0325294,0.0159558,0.0136836,0.0205669,0.0234979,0.0185554,0.00629327,0.00842997,0.0172826,0.0379478,0,0.0121296,0.0643055,0.057412,0,0.0189423,0,0,0.0390286,0.058902,0.0252609,0.0270145,0.015504,0.0425966,0.0450026,0.0367994,0.12489,0.0433555,0.032694,0.0733216,0.0508467,0.0558329,0.0879477,0.017945,0.0253808,0.0116113,0.0182849,0.0284742,0.0359744,0,0,0,0,0,0,0,0,0
71,0.0578472,0.0470205,0,0,0,0,0,0,0.0273595,0,0.0222381,0.0657954,0,0,0.0232764,0,0,0.0296028,0.0753653,0.0178417,0.00804473,0.0141186,0.0283151,0.044979,0.0376308,0.0485808,0.0325317,0.0159413,0.0136331,0.0205839,0.0235413,0.0185725,0.00639709,0.00840802,0.0172374,0.0379616,0,0.0121286,0.0643412,0.057514,0,0.0188946,0,0,0.0389596,0.058877,0.0251698,0.027001,0.0154377,0.0426239,0.0451105,0.036812,0.124917,0.0433349,0.0327102,0.0733837,0.0508255,0.0558558,0.0879066,0.0178924,0.0253539,0.011611,0.0182602,0.0284325,0.0360529,0,0,0,0,0,0,0,0,0
72,0.0578164,0.0470022,0,0,0,0,0,0,0.0273785,0,0.0221881,0.0657453,0,0,0.0234458,0,0,0.0298656,0.0753607,0.0176064,0.00801662,0.0140665,0.0282924,0.045108,0.037631,0.0486043,0.0325489,0.0159308,0.0136367,0.0205558,0.0235427,0.0185765,0.00629234,0.00845976,0.0172437,0.0380099,0,0.0122099,0.0643848,0.0575572,0,0.0188655,0,0,0.0389457,0.0588665,0.0251516,0.0269363,0.015419,0.0426249,0.0451099,0.0368342,0.124924,0.0433373,0.0327295,0.0733511,0.0508325,0.0558396,0.0878601,0.017848,0.025345,0.0116025,0.0182493,0.0283821,0.0362252,0,0,0,0,0,0,0,0,0
73,0.0577828,0.0469843,0,0,0,0,0,0,0.0273788,0,0.022202,0.0657395,0,0,0.0234412,0,0,0.0299491,0.0753813,0.0176163,0.00801503,0.014083,0.0282782,0.0452018,0.0376132,0.0486356,0.0325662,0.0159544,0.0136399,0.0205639,0.0235474,0.0185874,0.0062891,0.00847494,0.0172703,0.0380849,0,0.0122688,0.0643896,0.0575119,0,0.0188905,0,0,0.0389884,0.0588849,0.025192,0.0269392,0.0153898,0.0426404,0.0451208,0.0368338,0.124948,0.0433288,0.0326545,0.0734098,0.0508507,0.0557885,0.0878379,0.0178037,0.0253235,0.0115989,0.0182656,0.0283337,0.0363551,0,0,0,0,0,0,0,0,0
74,0.0577775,0.0469851,0,0,0,0,0,0,0.0272974,0,0.0222821,0.0657414,0,0,0.0234421,0,0,0.0297784,0.0753758,0.0180821,0.0080113,0.0141097,0.0282631,0.0452711,0.037602,0.0486429,0.0325748,0.015983,0.0136062,0.0206247,0.023565,0.0186109,0.00631334,0.00849982,0.0172352,0.0380942,0,0.0122102,0.0644063,0.0574746,0,0.018912,0,0,0.0389474,0.0589,0.0252121,0.0269275,0.0153577,0.0426518,0.0451567,0.0368162,0.124968,0.0432829,0.0323799,0.0734565,0.0508359,0.0557668,0.0878458,0.0177987,0.0252951,0.011626,0.0182242,0.0282939,0.0364024,0,0,0,0,0,0,0,0,0
75,0.0578158,0.0469979,0,0,0,0,0,0,0.0272757,0,0.0222647,0.0657372,0,0,0.0235061,0,0,0.0299391,0.075285,0.0182829,0.00797906,0.0140138,0.0282488,0.045331,0.0376551,0.0486783,0.03259,0.0159721,0.0136228,0.020668,0.0236135,0.0186339,0.00632838,0.00852142,0.0172452,0.0381435,0,0.0122301,0.0644061,0.0575549,0,0.0188892,0,0,0.0387146,0.0588992,0.0252641,0.0269649,0.0153905,0.0426397,0.045147,0.0368129,0.124985,0.0432524,0.0322513,0.0734075,0.0508116,0.0557727,0.0878503,0.0178332,0.0252523,0.011667,0.0180726,0.0282717,0.0363694,0,0,0,0,0,0,0,0,0
76,0.057931,0.0470027,0,0,0,0,0,0,0.0273705,0,0.0221903,0.0657179,0,0,0.0234764,0,0,0.029982,0.0752434,0.0180124,0.00789116,0.0138833,0.028269,0.045374,0.0377548,0.0487294,0.0326203,0.0159088,0.013734,0.0207029,0.0236608,0.0186003,0.00635668,0.00851025,0.0172581,0.0382711,0,0.0122708,0.0643995,0.0576336,0,0.0188137,0,0,0.0384881,0.0588826,0.025324,0.0269472,0.0154889,0.0426366,0.0451707,0.0368394,0.125002,0.0432388,0.0323509,0.073274,0.0508128,0.0557898,0.0878503,0.0178873,0.0252332,0.0116281,0.0180233,0.0282442,0.0361358,0,0,0,0,0,0,0,0,0
77,0.05802,0.0470142,0,0,0,0,0,0,0.0273416,0,0.0222624,0.065705,0,0,0.0234451,0,0,0.0298198,0.0752992,0.018062,0.00792855,0.0140252,0.0283693,0.0453551,0.0376505,0.0486926,0.0325554,0.0159454,0.0138954,0.0206529,0.0235578,0.0186442,0.0063908,0.00850517,0.0172377,0.0383308,0,0.0122632,0.0643508,0.0576193,0,0.018761,0,0,0.0387323,0.0588712,0.0252782,0.0269767,0.0155432,0.0427262,0.0452358,0.0368502,0.12496,0.0432669,0.0326208,0.0732606,0.0508422,0.0557963,0.0879119,0.0177956,0.0252899,0.0115795,0.0181746,0.0282206,0.0359385,0,0,0,0,0,0,0,0,0
78,0.0579858,0.0470251,0,0,0,0,0,0,0.0273759,0,0.0222784,0.0657422,0,0,0.0235621,0,0,0.0300888,0.0753348,0.0176579,0.00796624,0.0141121,0.0283546,0.0453094,0.0375629,0.0486738,0.0325346,0.0159904,0.013977,0.020528,0.0233937,0.0186241,0.00637561,0.00852403,0.0173202,0.0382903,0,0.0121956,0.0643197,0.057537,0,0.0187688,0,0,0.0389231,0.0589001,0.0252208,0.0269951,0.015551,0.0427747,0.0450413,0.0368327,0.124903,0.0433097,0.0327401,0.0732565,0.0508586,0.0558075,0.0879018,0.0176469,0.0253314,0.011563,0.018228,0.0281802,0.035903,0,0,0,0,0,0,0,0,0
