Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x79
13,0.0533069,0.0511388,0,0,0,0,0,0,0.0290122,0,0.0223966,0.0666048,0,0,0.0227538,0,0,0.0335964,0.075192,0.0190908,0.00918427,0.0137177,0.0260535,0.0317487,0.0383232,0.0483352,0.0323416,0.0160754,0.0141538,0.0220314,0.024507,0.016552,0.00430741,0.0105083,0.0216459,0.0409478,0,0.0110294,0.0645824,0.0498767,0,0.0152073,0,0,0.0387749,0.059556,0.0249792,0.0265447,0.0155605,0.0414342,0.0419395,0.0358435,0.125017,0.0419497,0.0333211,0.0730894,0.0504763,0.0554724,0.0878274,0.0168771,0.0269317,0.0134714,0.0193558,0.0318679,0.0270758,0,0,0,0,0,0,0,0,0
14,0.0533743,0.0510611,0,0,0,0,0,0,0.029099,0,0.0224033,0.0666832,0,0,0.0225752,0,0,0.0335217,0.0752841,0.0191259,0.00916907,0.0137577,0.0259952,0.0313636,0.0382134,0.0483197,0.0324002,0.0160687,0.014133,0.0219649,0.0244128,0.0165609,0.00403122,0.0103751,0.0216087,0.0409629,0,0.0111297,0.06465,0.0501627,0,0.0152098,0,0,0.0389541,0.0595707,0.0248232,0.026476,0.0155712,0.0413202,0.0418718,0.0359663,0.125005,0.0420172,0.0333685,0.0731191,0.0504693,0.0555717,0.0878997,0.0166962,0.0269255,0.0134124,0.0193641,0.0318766,0.0274801,0,0,0,0,0,0,0,0,0
15,0.0534708,0.0509845,0,0,0,0,0,0,0.0290851,0,0.0224491,0.0666618,0,0,0.0224116,0,0,0.0334394,0.0753142,0.01917,0.00904344,0.0137286,0.0259304,0.0310794,0.0381438,0.0483119,0.0323842,0.0160449,0.0141178,0.0218706,0.0243756,0.0165601,0.00381034,0.0103058,0.0215381,0.0404198,0,0.0110856,0.0647046,0.0503833,0,0.0152069,0,0,0.039161,0.0595924,0.0247717,0.0263914,0.0154474,0.0411817,0.0418487,0.0361364,0.125045,0.0420062,0.0332422,0.0731165,0.050497,0.0555287,0.0878179,0.0167033,0.0269383,0.0134029,0.0193736,0.0318708,0.027766,0,0,0,0,0,0,0,0,0
16,0.05355,0.0509323,0,0,0,0,0,0,0.0290803,0,0.0224555,0.0665584,0,0,0.0222771,0,0,0.0333075,0.0752985,0.0190403,0.00901394,0.0136668,0.0258749,0.0308414,0.0380971,0.048306,0.0324457,0.0160365,0.0141023,0.0217257,0.0243424,0.0165145,0.00365817,0.0102217,0.0214352,0.0403562,0,0.0110458,0.0647706,0.0506478,0,0.0152276,0,0,0.0393788,0.0595849,0.0245998,0.0263087,0.0152486,0.0410549,0.0418605,0.0362107,0.125042,0.0420079,0.0331722,0.0731343,0.0506084,0.055508,0.0876178,0.0166804,0.0269115,0.0133926,0.0193694,0.0318651,0.0278809,0,0,0,0,0,0,0,0,0
17,0.0536072,0.0508851,0,0,0,0,0,0,0.0291211,0,0.0224434,0.0664642,0,0,0.0221456,0,0,0.0331949,0.0753129,0.0189253,0.00903423,0.0136937,0.0258119,0.0306196,0.0380529,0.0483144,0.0325295,0.0160124,0.0140749,0.0216559,0.0243088,0.0164339,0.00353008,0.0101594,0.0213224,0.0405966,0,0.0111019,0.0648822,0.0509986,0,0.0151957,0,0,0.0395067,0.0595554,0.0243865,0.0262725,0.0151501,0.0409671,0.0418511,0.0359448,0.12503,0.0420469,0.0332614,0.0731629,0.0506938,0.0555209,0.0876008,0.0165477,0.0267347,0.0133582,0.019351,0.0318701,0.0280629,0,0,0,0,0,0,0,0,0
18,0.0536239,0.0507956,0,0,0,0,0,0,0.0290987,0,0.0224458,0.0664868,0,0,0.0220388,0,0,0.0330999,0.0753501,0.0188697,0.00909865,0.0137013,0.025727,0.0304612,0.0379961,0.0483114,0.0325452,0.0159794,0.0140781,0.0216316,0.0242838,0.0163629,0.00342107,0.0101173,0.021193,0.0408633,0,0.0112719,0.0649947,0.051251,0,0.0151814,0,0,0.0394301,0.0595557,0.0245128,0.0262544,0.0151084,0.0408521,0.0417582,0.0357985,0.12504,0.0420852,0.033375,0.0732052,0.0507708,0.0555056,0.0877661,0.0165967,0.0265385,0.0133399,0.0192593,0.0318477,0.0283184,0,0,0,0,0,0,0,0,0
19,0.0536729,0.0506904,0,0,0,0,0,0,0.0289994,0,0.0224798,0.066613,0,0,0.0219915,0,0,0.0331376,0.0754097,0.0188166,0.00919683,0.0136417,0.0257419,0.0303794,0.0379254,0.0482965,0.0324927,0.0159684,0.0141028,0.0215772,0.0242351,0.0163143,0.00330318,0.0100418,0.0211058,0.0407542,0,0.0114635,0.0650386,0.0514934,0,0.0151264,0,0,0.0392676,0.0595755,0.024653,0.0262236,0.0151329,0.0407648,0.0416785,0.0358013,0.125001,0.0421258,0.0332688,0.073239,0.0507609,0.0554107,0.0878779,0.0167413,0.0263673,0.0131973,0.0192228,0.0318318,0.0285599,0,0,0,0,0,0,0,0,0
20,0.0537334,0.0505775,0,0,0,0,0,0,0.0289305,0,0.0225006,0.0666823,0,0,0.0219898,0,0,0.0332681,0.0754514,0.0187629,0.00927335,0.01362,0.02571,0.0303774,0.0378734,0.0483083,0.0324831,0.0159286,0.0141163,0.021542,0.0242065,0.0163138,0.00319487,0.00998077,0.021056,0.040571,0,0.0116301,0.0650598,0.0517489,0,0.0150818,0,0,0.0391373,0.0595735,0.0247437,0.0261799,0.0152262,0.0406734,0.0416374,0.0358412,0.124929,0.0421962,0.0332926,0.073273,0.0507517,0.0554068,0.0878912,0.0168772,0.0263075,0.0130917,0.0191703,0.0317877,0.0288256,0,0,0,0,0,0,0,0,0
21,0.0538274,0.0504611,0,0,0,0,0,0,0.0290268,0,0.0224984,0.0666842,0,0,0.0219447,0,0,0.0331078,0.0754368,0.0187126,0.00932357,0.013666,0.0256513,0.0304009,0.0378072,0.0483148,0.0325357,0.0159037,0.0140958,0.0214909,0.0241989,0.0164743,0.00313111,0.00990231,0.02094,0.0405092,0,0.0117655,0.0650684,0.0520123,0,0.015184,0,0,0.0393522,0.0595421,0.0248505,0.0261442,0.0153338,0.0406512,0.0416524,0.0359031,0.124865,0.0423056,0.0332776,0.0732286,0.0507961,0.0556842,0.0879232,0.0170446,0.0263156,0.0130775,0.0191456,0.031728,0.02905,0,0,0,0,0,0,0,0,0
22,0.0539814,0.0503488,0,0,0,0,0,0,0.0290453,0,0.0225162,0.0666761,0,0,0.0219083,0,0,0.0330057,0.0753857,0.0186977,0.0093391,0.013681,0.0256203,0.0304031,0.0377417,0.0482991,0.0325837,0.016067,0.0140499,0.0214117,0.0241585,0.0165897,0.00309004,0.00983631,0.0208035,0.0405125,0,0.0118799,0.0650958,0.0522208,0,0.0152584,0,0,0.0394381,0.059538,0.0247463,0.026168,0.0153717,0.0406499,0.0416259,0.0359539,0.124831,0.0423953,0.0332612,0.0732004,0.0508437,0.055843,0.0880252,0.0170743,0.0263734,0.0130832,0.0190515,0.031649,0.0291005,0,0,0,0,0,0,0,0,0
23,0.0541207,0.0502133,0,0,0,0,0,0,0.0290246,0,0.0225294,0.0666994,0,0,0.021909,0,0,0.0329601,0.0754523,0.0186596,0.0094046,0.0138086,0.0256272,0.0304187,0.0376713,0.048299,0.0326105,0.0162153,0.0140021,0.0213427,0.0241362,0.0166101,0.00304406,0.00971215,0.0206882,0.0404292,0,0.0120314,0.0651111,0.0524037,0,0.0152523,0,0,0.0393248,0.0595406,0.0248645,0.0262143,0.0154142,0.0406254,0.0415376,0.0359723,0.124767,0.0424615,0.0332407,0.0732399,0.0508362,0.0558951,0.0880797,0.017176,0.0264354,0.0130701,0.0189411,0.0315661,0.0294235,0,0,0,0,0,0,0,0,0
24,0.0541893,0.0500757,0,0,0,0,0,0,0.0289509,0,0.0225448,0.0666867,0,0,0.0219373,0,0,0.0328249,0.0755035,0.0186239,0.00945057,0.013876,0.0256523,0.0304669,0.0376057,0.0483085,0.0326319,0.0163054,0.013954,0.0212851,0.0240772,0.0166905,0.00298312,0.00963618,0.0205563,0.0402605,0,0.0120861,0.0651439,0.0526367,0,0.0152982,0,0,0.0392497,0.0595198,0.0249578,0.0262926,0.0154824,0.0405676,0.041401,0.0359923,0.124718,0.042515,0.0331995,0.0733187,0.0508176,0.0559419,0.088081,0.0172304,0.0264597,0.0130492,0.0188895,0.0315116,0.0296476,0,0,0,0,0,0,0,0,0
25,0.0542693,0.0499459,0,0,0,0,0,0,0.0288584,0,0.022562,0.0666389,0,0,0.0219467,0,0,0.0328738,0.0755227,0.018623,0.0094633,0.013809,0.0257094,0.0306004,0.0375801,0.0482977,0.0326596,0.0162747,0.0138104,0.0213444,0.0240203,0.0168196,0.00288189,0.00958019,0.0205187,0.0401424,0,0.0121202,0.065181,0.0528866,0,0.0156723,0,0,0.0395666,0.0594826,0.0248662,0.0264165,0.0155309,0.0405199,0.0413204,0.0360298,0.124706,0.0425538,0.0331199,0.0734518,0.0507714,0.0559744,0.0880635,0.0172674,0.0264177,0.0131109,0.0189722,0.0314986,0.029901,0,0,0,0,0,0,0,0,0
26,0.0544363,0.0498381,0,0,0,0,0,0,0.0287362,0,0.0225544,0.0666023,0,0,0.0219741,0,0,0.0329405,0.0755711,0.018654,0.0094875,0.0138121,0.0257612,0.0307418,0.0375163,0.0482588,0.0326702,0.0162593,0.0135751,0.0214325,0.0239729,0.0169571,0.00277802,0.00953132,0.0204989,0.0401125,0,0.0121219,0.0651828,0.0531284,0,0.0159127,0,0,0.0397731,0.059451,0.0246147,0.0264558,0.0155082,0.040522,0.0413447,0.036052,0.124728,0.0425376,0.0329276,0.0735111,0.0507791,0.0559844,0.0880445,0.0172066,0.026306,0.0130699,0.0190747,0.0314698,0.0302385,0,0,0,0,0,0,0,0,0
27,0.0545762,0.049748,0,0,0,0,0,0,0.0286474,0,0.0225289,0.0665718,0,0,0.0219441,0,0,0.0327146,0.075594,0.0185953,0.00946618,0.0139208,0.0258338,0.0309186,0.0374839,0.048268,0.0326926,0.0162353,0.0134782,0.0214191,0.023909,0.0170469,0.00273125,0.00945516,0.0203796,0.0400905,0,0.0121613,0.065173,0.0533292,0,0.0159625,0,0,0.0397639,0.0594361,0.0245124,0.0264673,0.0154792,0.0405138,0.0414211,0.0360736,0.124731,0.0425305,0.032768,0.0734701,0.0508133,0.0559856,0.0880687,0.0171912,0.0262074,0.0129309,0.0191305,0.0314193,0.0304458,0,0,0,0,0,0,0,0,0
28,0.054667,0.0496549,0,0,0,0,0,0,0.028567,0,0.0225439,0.066533,0,0,0.021936,0,0,0.0324019,0.0755907,0.0185456,0.00941175,0.0139819,0.0259265,0.0312445,0.0374848,0.0483031,0.0327211,0.0162341,0.0134746,0.0213437,0.0238671,0.0171405,0.00278906,0.00935274,0.0202405,0.0400338,0,0.0121962,0.0651518,0.0534881,0,0.0160652,0,0,0.0396824,0.0594315,0.0245351,0.0265055,0.0154831,0.0405665,0.0414338,0.0360802,0.124709,0.0425538,0.032705,0.073399,0.0508778,0.0559843,0.0880683,0.0172022,0.0261914,0.0128363,0.0190853,0.0313643,0.030534,0,0,0,0,0,0,0,0,0
29,0.0548064,0.049544,0,0,0,0,0,0,0.0285479,0,0.0225502,0.0665074,0,0,0.0220132,0,0,0.0323233,0.075593,0.0185445,0.00938424,0.0140006,0.0259836,0.0316468,0.0374847,0.0483064,0.0327559,0.0162938,0.013479,0.0212741,0.0238569,0.0172677,0.00286042,0.00923667,0.0201581,0.0399742,0,0.0122114,0.0651329,0.0536579,0,0.0162013,0,0,0.0395864,0.0594292,0.0245923,0.0265504,0.0154967,0.0406328,0.0414222,0.0361028,0.124687,0.0425871,0.0327496,0.0733633,0.050948,0.0559559,0.0880762,0.0172261,0.0262432,0.0128299,0.0189122,0.0312936,0.0307536,0,0,0,0,0,0,0,0,0
30,0.0549527,0.0494011,0,0,0,0,0,0,0.0285935,0,0.0225132,0.0664833,0,0,0.0222464,0,0,0.0324032,0.0756074,0.0185951,0.00935902,0.0140371,0.0260127,0.0319218,0.0374967,0.0482828,0.032779,0.0164067,0.0134469,0.0212297,0.0238301,0.0174186,0.00283292,0.00922869,0.0200519,0.0399492,0,0.0121996,0.0651147,0.0537424,0,0.016082,0,0,0.0394171,0.0594021,0.0246747,0.0265656,0.0154839,0.0406763,0.04149,0.0361146,0.124667,0.0426064,0.0328791,0.0733602,0.0510052,0.0559584,0.0880776,0.0172184,0.0263827,0.0127131,0.0186687,0.0311982,0.0310647,0,0,0,0,0,0,0,0,0
31,0.0551401,0.0492229,0,0,0,0,0,0,0.0285492,0,0.0225126,0.066466,0,0,0.0222662,0,0,0.0322423,0.075622,0.0186114,0.00932265,0.0140523,0.0260185,0.0322207,0.0374871,0.0482596,0.03278,0.0164402,0.0134259,0.0211997,0.0237661,0.017471,0.00287962,0.00906267,0.0199413,0.0400817,0,0.012217,0.0650969,0.0538876,0,0.0161435,0,0,0.0393824,0.0593673,0.0246809,0.0265432,0.0154791,0.0406981,0.0415677,0.0361393,0.124633,0.0426137,0.0329263,0.0733458,0.0509615,0.0559691,0.088064,0.0172682,0.0264835,0.0126689,0.0185418,0.0310782,0.0313848,0,0,0,0,0,0,0,0,0
32,0.055239,0.0490615,0,0,0,0,0,0,0.0284647,0,0.0225153,0.066462,0,0,0.0222573,0,0,0.0318822,0.0756356,0.0185987,0.00931791,0.0140471,0.0260202,0.032566,0.0374635,0.0482611,0.0327662,0.016434,0.0134032,0.0211775,0.0237637,0.0174414,0.00295032,0.00890725,0.01977,0.0401744,0,0.0122653,0.0650731,0.054076,0,0.0162714,0,0,0.0393929,0.0593555,0.0246451,0.0265184,0.0154952,0.0406873,0.0415841,0.0361677,0.124602,0.0426434,0.0329072,0.0733269,0.0509336,0.0559906,0.0880353,0.0173448,0.0265108,0.0125767,0.018565,0.0309498,0.0316908,0,0,0,0,0,0,0,0,0
33,0.0553003,0.0489306,0,0,0,0,0,0,0.0284278,0,0.0225016,0.0664676,0,0,0.0222762,0,0,0.0316379,0.0756444,0.0185537,0.00928486,0.0139972,0.0260624,0.0329375,0.0374602,0.0482632,0.0327744,0.016417,0.0133566,0.0211578,0.0237493,0.0174564,0.00302632,0.00879104,0.0196414,0.039878,0,0.0122839,0.0650474,0.0542107,0,0.0164613,0,0,0.0393682,0.0593413,0.0246748,0.0265475,0.0155172,0.040658,0.0416236,0.0362112,0.124587,0.0426686,0.0328613,0.0733013,0.0509628,0.0560039,0.0880412,0.0173341,0.0264701,0.0124796,0.018709,0.0308744,0.0318236,0,0,0,0,0,0,0,0,0
34,0.0553913,0.0488269,0,0,0,0,0,0,0.0284645,0,0.0224924,0.0664513,0,0,0.0223226,0,0,0.0314605,0.075657,0.0185018,0.00922929,0.0139886,0.0261536,0.0333212,0.0374987,0.0482959,0.0327764,0.0164715,0.0133024,0.0211391,0.0237266,0.0174839,0.00307524,0.00876625,0.0194899,0.0396559,0,0.0123451,0.0650126,0.054296,0,0.0166787,0,0,0.0393958,0.0593318,0.02463,0.0265907,0.0155362,0.0406924,0.0417758,0.0362435,0.124582,0.0427044,0.0328358,0.073334,0.0509587,0.0559727,0.088054,0.0173917,0.026451,0.0124397,0.0187727,0.030856,0.0318441,0,0,0,0,0,0,0,0,0
35,0.0554915,0.0487567,0,0,0,0,0,0,0.0284044,0,0.0224668,0.0664049,0,0,0.0224146,0,0,0.0314304,0.0756602,0.0184954,0.00918931,0.0140625,0.0263132,0.0337429,0.0375485,0.0483383,0.0327801,0.0166156,0.0132563,0.0211167,0.0237115,0.0175072,0.00308889,0.00877928,0.0193485,0.0395895,0,0.0123705,0.0649683,0.0543817,0,0.0167335,0,0,0.0393818,0.0593274,0.0246409,0.0265695,0.0155526,0.040752,0.0419192,0.0362496,0.124588,0.0427116,0.0328364,0.0734227,0.0509576,0.055929,0.0880504,0.017432,0.0264195,0.0123982,0.0187171,0.0308522,0.0320713,0,0,0,0,0,0,0,0,0
36,0.0555642,0.0486996,0,0,0,0,0,0,0.0279739,0,0.022433,0.0663581,0,0,0.0226022,0,0,0.0314247,0.0756544,0.018511,0.00915331,0.0140549,0.0264699,0.034155,0.0375451,0.0483607,0.032775,0.0165541,0.0132141,0.0210878,0.023694,0.017626,0.00310506,0.00883296,0.019209,0.0396161,0,0.0122809,0.0649451,0.0545066,0,0.0169174,0,0,0.0394347,0.0593176,0.0247642,0.0265347,0.0155878,0.040791,0.0420384,0.0362338,0.124583,0.0427051,0.0328146,0.0734442,0.0509391,0.0559169,0.0880232,0.017442,0.0263807,0.0123888,0.0186304,0.0308571,0.0321888,0,0,0,0,0,0,0,0,0
37,0.0555868,0.0486124,0,0,0,0,0,0,0.0275819,0,0.0224066,0.0663458,0,0,0.0226327,0,0,0.0314697,0.0756434,0.0185307,0.0091221,0.0139517,0.0265065,0.0345534,0.0374387,0.0484051,0.0327523,0.0163779,0.0131789,0.0210586,0.0236628,0.0178013,0.00317578,0.00873506,0.019162,0.0394857,0,0.0121923,0.0649567,0.0546722,0,0.0170649,0,0,0.0394334,0.0592902,0.0247608,0.026558,0.0156111,0.0408395,0.042182,0.036243,0.124588,0.0427319,0.0327824,0.0734479,0.0509324,0.0559517,0.0879683,0.0175776,0.026317,0.0123871,0.0185349,0.0308278,0.0323362,0,0,0,0,0,0,0,0,0
38,0.0556276,0.0485138,0,0,0,0,0,0,0.0274538,0,0.0224117,0.0663308,0,0,0.0226562,0,0,0.0314522,0.0755926,0.0184232,0.00905797,0.0139063,0.0264834,0.0349638,0.0372976,0.0484526,0.0327361,0.0161944,0.0131031,0.0210678,0.0236295,0.0179133,0.00326625,0.008656,0.0191122,0.0391727,0,0.0121393,0.065001,0.0547966,0,0.0170868,0,0,0.0394163,0.0592847,0.0247189,0.0266107,0.0156249,0.0408725,0.0423673,0.0362754,0.124577,0.0427626,0.0327602,0.0734439,0.0509566,0.0559625,0.0877955,0.0176461,0.0262427,0.0122201,0.0186622,0.0307872,0.0325015,0,0,0,0,0,0,0,0,0
39,0.0557654,0.0484431,0,0,0,0,0,0,0.0274902,0,0.02239,0.0663156,0,0,0.0226069,0,0,0.0313416,0.0755412,0.0181787,0.00899511,0.0137885,0.0265293,0.0353705,0.0374688,0.0484616,0.0327323,0.0160916,0.0130514,0.0210622,0.0236359,0.0180022,0.00337926,0.00859367,0.0190402,0.0390395,0,0.012153,0.0649974,0.0548881,0,0.0171042,0,0,0.0393949,0.0592649,0.0247623,0.0266393,0.0156266,0.0408994,0.0425011,0.0363065,0.124603,0.0427889,0.0328018,0.0734213,0.0509344,0.0559866,0.0877099,0.0176224,0.0261624,0.0120852,0.0187335,0.0307787,0.0326921,0,0,0,0,0,0,0,0,0
40,0.0558972,0.0483942,0,0,0,0,0,0,0.027621,0,0.0223634,0.0663275,0,0,0.0225654,0,0,0.0312283,0.0754998,0.0179037,0.00895005,0.0137387,0.0266184,0.0357459,0.037611,0.0484589,0.0327265,0.0161982,0.0130394,0.0210103,0.023649,0.0180459,0.00354872,0.00856276,0.0189571,0.0390911,0,0.0122151,0.0649471,0.0550046,0,0.0173416,0,0,0.0394581,0.0592359,0.0248328,0.0266172,0.0156083,0.0409035,0.0424777,0.0363176,0.124673,0.0428156,0.0328725,0.0734089,0.0508958,0.055987,0.0876631,0.0175355,0.0260836,0.0121045,0.0186783,0.0307932,0.0329111,0,0,0,0,0,0,0,0,0
41,0.0559409,0.0483274,0,0,0,0,0,0,0.0276188,0,0.0223964,0.0663122,0,0,0.0226829,0,0,0.0312083,0.0754885,0.0181195,0.00893572,0.0137397,0.0266659,0.0361263,0.03765,0.0484565,0.0326784,0.016315,0.013041,0.0209886,0.0236543,0.0181509,0.00361621,0.00853801,0.0188484,0.0390182,0,0.0122558,0.0649291,0.0551408,0,0.0174783,0,0,0.0394967,0.0592179,0.0248763,0.0266415,0.0156023,0.040922,0.0423906,0.036324,0.124703,0.0428349,0.0328797,0.0734295,0.0509003,0.055989,0.0876568,0.0175362,0.0260364,0.0121389,0.0186095,0.0307863,0.033127,0,0,0,0,0,0,0,0,0
42,0.0559757,0.0482391,0,0,0,0,0,0,0.0275719,0,0.0223855,0.0662769,0,0,0.0227982,0,0,0.0309252,0.0754829,0.0180867,0.00892923,0.0137298,0.0267122,0.0364849,0.0376448,0.0484485,0.032668,0.0163095,0.0130346,0.020953,0.0236249,0.0182396,0.00367375,0.00861814,0.0186472,0.0387828,0,0.0121931,0.0649711,0.0552557,0,0.017522,0,0,0.039605,0.0592081,0.0247928,0.0266904,0.0155931,0.0409112,0.042493,0.0363162,0.124707,0.0428331,0.0328687,0.0734622,0.050948,0.0559786,0.0876636,0.017543,0.0259994,0.0121384,0.0186265,0.030768,0.0332054,0,0,0,0,0,0,0,0,0
43,0.0560449,0.0481902,0,0,0,0,0,0,0.0275409,0,0.0223334,0.0662745,0,0,0.0227405,0,0,0.030767,0.0754725,0.017859,0.00891759,0.0137461,0.0267557,0.0368331,0.0376444,0.0484277,0.0326863,0.0162392,0.0130614,0.0209265,0.0236087,0.0182836,0.00379274,0.0085495,0.0185481,0.0385229,0,0.0120674,0.0650197,0.0553182,0,0.0175429,0,0,0.0396276,0.0591871,0.0247225,0.0267144,0.0155865,0.0409061,0.0426078,0.0363153,0.1247,0.0428388,0.0328353,0.0734428,0.0509662,0.0559801,0.0876759,0.0175444,0.025976,0.0121354,0.0186338,0.0307481,0.0333629,0,0,0,0,0,0,0,0,0
44,0.0560839,0.0481575,0,0,0,0,0,0,0.0274674,0,0.0223641,0.0662865,0,0,0.0227695,0,0,0.0307956,0.0755006,0.0181234,0.00893425,0.0138418,0.026772,0.0372282,0.0376448,0.048421,0.0326946,0.0161792,0.0130758,0.0209776,0.0236115,0.0183571,0.00388338,0.00850058,0.0184769,0.0383579,0,0.0120842,0.0649593,0.0554955,0,0.0175433,0,0,0.0395135,0.0591777,0.0247284,0.0267407,0.0155877,0.0409681,0.0427355,0.0363129,0.124702,0.0428384,0.0327987,0.0734356,0.0509593,0.0560362,0.0876743,0.0175528,0.0259292,0.0121202,0.01858,0.0307192,0.033586,0,0,0,0,0,0,0,0,0
45,0.0561664,0.0481126,0,0,0,0,0,0,0.0273975,0,0.0223974,0.0662639,0,0,0.0228584,0,0,0.0310076,0.0755184,0.0183693,0.00894314,0.0138807,0.0267501,0.0376293,0.037642,0.0484227,0.0326783,0.0161491,0.0130602,0.0210086,0.0235701,0.0184594,0.0039297,0.00849353,0.0184412,0.0384112,0,0.0121752,0.0649494,0.0557261,0,0.0177998,0,0,0.0396115,0.0591828,0.0248459,0.0268125,0.0155627,0.0410573,0.0428186,0.0363231,0.124696,0.0428164,0.0327125,0.0734408,0.0510031,0.0560604,0.0876871,0.0175554,0.0258634,0.0121051,0.0185525,0.0306733,0.0338782,0,0,0,0,0,0,0,0,0
46,0.0562175,0.0480483,0,0,0,0,0,0,0.0273694,0,0.0223929,0.0662569,0,0,0.0229496,0,0,0.0310744,0.0755168,0.018404,0.00895128,0.0139087,0.0267471,0.0380075,0.0376208,0.0484293,0.0326874,0.016152,0.0130362,0.0209873,0.0235289,0.0185098,0.00397222,0.00850945,0.0183719,0.0384837,0,0.0121496,0.064948,0.0558599,0,0.0179766,0,0,0.0396566,0.05919,0.0250624,0.0268929,0.0155686,0.0410906,0.0428391,0.0363693,0.124663,0.0428248,0.0327147,0.0734626,0.0509788,0.0560729,0.0877364,0.0176412,0.0258256,0.0120423,0.0185314,0.0305856,0.0341591,0,0,0,0,0,0,0,0,0
47,0.056257,0.0479885,0,0,0,0,0,0,0.0274075,0,0.0223743,0.0662696,0,0,0.0230106,0,0,0.0311166,0.0755057,0.0181735,0.0089218,0.0139667,0.0268636,0.0383345,0.0376007,0.0484369,0.0327242,0.0161562,0.0130201,0.0209219,0.0235413,0.0185199,0.00407831,0.00850879,0.0183099,0.0385278,0,0.0121354,0.0648795,0.0559899,0,0.0180861,0,0,0.0396266,0.0592041,0.0253458,0.0269088,0.0155753,0.0411217,0.0429746,0.0364037,0.124637,0.0428572,0.0327171,0.0734899,0.0509542,0.0561018,0.0878206,0.0177806,0.0258051,0.0119839,0.0184848,0.0305251,0.0342109,0,0,0,0,0,0,0,0,0
48,0.0563862,0.047891,0,0,0,0,0,0,0.0274018,0,0.0223532,0.0662942,0,0,0.0231955,0,0,0.0310329,0.0755094,0.0178891,0.00888487,0.0138575,0.0269791,0.0387102,0.0375833,0.0484448,0.0327481,0.0161499,0.0130329,0.020839,0.0234585,0.0185826,0.00415546,0.00859742,0.0181879,0.0386006,0,0.0121502,0.064783,0.0559832,0,0.0181675,0,0,0.0395757,0.0592039,0.0253893,0.0269025,0.0155863,0.0412145,0.0431167,0.0364115,0.124623,0.0428494,0.032718,0.0734975,0.0509478,0.0561231,0.0878518,0.0178357,0.0258204,0.0119623,0.0184399,0.0304765,0.0341135,0,0,0,0,0,0,0,0,0
49,0.0564653,0.0477979,0,0,0,0,0,0,0.0273524,0,0.022405,0.0662686,0,0,0.0231904,0,0,0.0309711,0.0755358,0.0181668,0.00884344,0.013856,0.0270125,0.0391083,0.037583,0.048464,0.0327372,0.016135,0.013175,0.020855,0.0233969,0.0186154,0.00430895,0.00862903,0.0181486,0.0386153,0,0.0121913,0.0647354,0.0562448,0,0.0182286,0,0,0.0395375,0.0591955,0.0253805,0.0269125,0.0156015,0.0413002,0.0431258,0.0364456,0.124602,0.0428334,0.0327091,0.0734921,0.050944,0.0561835,0.0878527,0.0178728,0.0257829,0.0119507,0.0184097,0.0303895,0.034071,0,0,0,0,0,0,0,0,0
50,0.0565756,0.0477183,0,0,0,0,0,0,0.0273547,0,0.0224046,0.0662235,0,0,0.0231581,0,0,0.030865,0.0755236,0.0183516,0.00877559,0.0139595,0.0270583,0.0395131,0.0376084,0.0485174,0.0327423,0.0160847,0.0135629,0.0208401,0.0233317,0.0186084,0.00446457,0.0085964,0.0180856,0.0385281,0,0.0121994,0.0647326,0.0564531,0,0.0183162,0,0,0.0395413,0.0591724,0.025394,0.0269047,0.0155919,0.0413306,0.043236,0.0364963,0.124602,0.0428413,0.0327097,0.0735037,0.0509244,0.0561814,0.0878666,0.017974,0.0257323,0.0119324,0.0184007,0.0302906,0.0342048,0,0,0,0,0,0,0,0,0
51,0.0566322,0.0476488,0,0,0,0,0,0,0.0273757,0,0.0223722,0.066181,0,0,0.0231463,0,0,0.0308213,0.0754969,0.0181844,0.0087041,0.0139811,0.0271441,0.0398675,0.0376253,0.0485494,0.0327404,0.0160461,0.01377,0.0207313,0.0233287,0.0186175,0.00466199,0.00853535,0.0180448,0.0384248,0,0.0121327,0.0647254,0.0565433,0,0.0183917,0,0,0.0395796,0.0591596,0.0252065,0.0269037,0.0155743,0.0414367,0.0435013,0.0365255,0.124633,0.0428662,0.0327386,0.0735232,0.0508744,0.0560945,0.0879287,0.0179584,0.0256986,0.0119115,0.0184187,0.0302074,0.0344512,0,0,0,0,0,0,0,0,0
