Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74
All Timesteps RMSE,0.0534054,0.0595082,0,0,0,0,0,0,0.032576,0,0.0185549,0.0710729,0,0,0.022362,0,0,0.0371368,0.0722484,0.0240489,0.0120436,0.0124278,0.0293896,0.0381403,0.0240872,0.0388463,0.049929,0.0316903,0.0154889,0.0157137,0.0243001,0.0263473,0.0177506,0.0198192,0.0112258,0.0201598,0.043929,0,0.0096646,0.0601113,0.0412541,0,0,0.0170108,0,0,0.0427148,0.0611834,0.0306816,0.0287862,0.0115758,0.0496632,0.0448014,0.0365918,0.12372,0.041798,0.0323645,0.0690277,0.0455087,0.0518586,0.0845339,0.018207,0.0240747,0.012121,0.0209306,0.0374056,0.0236498,0,0,0,0,0,0,0,0
0,0.0526972,0.0694245,0,0,0,0,0,0,0.032491,0,0.0186794,0.0710093,0,0,0.0164227,0,0,0.0374858,0.0730915,0.0239051,0.00988779,0.0112154,0.0249429,0.0411755,0.0229419,0.037319,0.0478827,0.0302288,0.0164233,0.0165138,0.0249705,0.0268403,0.0143236,0.0114666,0.00917456,0.0219108,0.0422032,0,0.00791125,0.059234,0.0409555,0,0,0.00976987,0,0,0.0433565,0.0602801,0.029722,0.0276019,0.0121406,0.0464638,0.0442673,0.0352841,0.123602,0.0402641,0.0322478,0.0707852,0.0465967,0.0538896,0.0864257,0.0161609,0.0256647,0.0122312,0.0215535,0.0441794,0.0145531,0,0,0,0,0,0,0,0
1,0.0525448,0.0694199,0,0,0,0,0,0,0.0325514,0,0.0187523,0.0710467,0,0,0.0169056,0,0,0.0375156,0.0731627,0.0238188,0.00995989,0.0112381,0.0246981,0.0411201,0.0227957,0.0371823,0.04777,0.0300615,0.016438,0.0165982,0.024947,0.0267807,0.0142826,0.0111571,0.00903434,0.0221199,0.0422034,0,0.00791714,0.0593074,0.0411475,0,0,0.00992435,0,0,0.0433751,0.0603442,0.0296685,0.0276484,0.0122184,0.0463954,0.0441516,0.0352384,0.123614,0.0402562,0.0323592,0.0708131,0.0466429,0.0538662,0.0866617,0.0162644,0.0254794,0.0122778,0.0215735,0.0441444,0.0145405,0,0,0,0,0,0,0,0
2,0.0527632,0.069246,0,0,0,0,0,0,0.0323488,0,0.0189169,0.0708423,0,0,0.0175782,0,0,0.037273,0.0729716,0.0236637,0.00957358,0.0110538,0.0251723,0.0403166,0.0228062,0.0372146,0.0479716,0.0303032,0.016264,0.0165052,0.0253278,0.0270688,0.0142306,0.0108316,0.00882936,0.0233283,0.0417392,0,0.00807269,0.0591367,0.0406372,0,0,0.00966497,0,0,0.0430781,0.0606133,0.0293968,0.0269367,0.0123496,0.0460237,0.04458,0.0349459,0.123611,0.0399732,0.0325171,0.0709932,0.0467347,0.054119,0.0870024,0.0165503,0.0261267,0.0123031,0.0216177,0.0440813,0.0148628,0,0,0,0,0,0,0,0
3,0.0525761,0.0690151,0,0,0,0,0,0,0.0323055,0,0.0190188,0.0711646,0,0,0.0161315,0,0,0.0374346,0.0730565,0.0236349,0.00990643,0.0109343,0.0246599,0.0415515,0.0224519,0.0370671,0.04779,0.0301873,0.0162647,0.0165678,0.0253233,0.0270113,0.0142237,0.0114013,0.0094205,0.021897,0.0415568,0,0.0080142,0.0590871,0.0415159,0,0,0.0103731,0,0,0.0433255,0.0605318,0.0295759,0.0277423,0.0121696,0.0467154,0.0439926,0.0353291,0.12373,0.0402338,0.032538,0.0706595,0.0464157,0.0538812,0.0867491,0.016558,0.0252845,0.0122694,0.021946,0.0438572,0.0143642,0,0,0,0,0,0,0,0
4,0.0529122,0.0688155,0,0,0,0,0,0,0.0323064,0,0.018852,0.0711458,0,0,0.0124307,0,0,0.0384253,0.0729928,0.023791,0.00991409,0.0111424,0.0248588,0.0420314,0.0226386,0.0372914,0.0478455,0.0301307,0.0161857,0.0166284,0.0250604,0.0268123,0.0144765,0.0128291,0.0101034,0.0206107,0.0415348,0,0.00797462,0.0591389,0.0418735,0,0,0.0108785,0,0,0.0436053,0.060255,0.0298788,0.0281537,0.012192,0.0471133,0.043629,0.0356984,0.123759,0.0406563,0.0323672,0.0704336,0.0462394,0.0535783,0.086385,0.0162729,0.024561,0.0123932,0.0218863,0.0437957,0.0140279,0,0,0,0,0,0,0,0
5,0.0529476,0.0688492,0,0,0,0,0,0,0.0323043,0,0.0187586,0.0711534,0,0,0.0160865,0,0,0.0374866,0.0729787,0.0238171,0.00967355,0.011157,0.024738,0.0408731,0.0227477,0.037323,0.0478844,0.0302735,0.0160632,0.0166204,0.0250695,0.0269673,0.0145257,0.0113011,0.00960791,0.0212519,0.0415604,0,0.00796231,0.0592536,0.0412869,0,0,0.0106225,0,0,0.043493,0.0604326,0.0297444,0.0276445,0.0124355,0.0464344,0.0441514,0.0354089,0.123697,0.0404507,0.0324211,0.0706591,0.0466123,0.053783,0.0865511,0.0161762,0.0250461,0.0124933,0.0217639,0.0438367,0.0143023,0,0,0,0,0,0,0,0
6,0.0529399,0.0686142,0,0,0,0,0,0,0.0322012,0,0.018932,0.0714224,0,0,0.0161021,0,0,0.037309,0.0729057,0.0236461,0.0091406,0.0108481,0.0247278,0.0408725,0.0225417,0.0372612,0.0479012,0.0303334,0.0159027,0.0165064,0.0253207,0.0274183,0.0145344,0.0113407,0.00976902,0.0213054,0.0413232,0,0.00792082,0.0590524,0.0414072,0,0,0.010732,0,0,0.0433516,0.0606212,0.0296857,0.0276304,0.0122744,0.0465232,0.0442417,0.0353613,0.123804,0.0402763,0.0326353,0.0706622,0.0466244,0.0538303,0.0866424,0.0164394,0.025122,0.0124697,0.0220608,0.043674,0.0143103,0,0,0,0,0,0,0,0
7,0.0530694,0.0685554,0,0,0,0,0,0,0.0323485,0,0.0187717,0.0714457,0,0,0.0158017,0,0,0.0374869,0.072936,0.0238229,0.00912406,0.0111014,0.0246199,0.0406578,0.0228259,0.0374203,0.0479572,0.0303452,0.0159726,0.0165249,0.0250128,0.0271914,0.0145707,0.01137,0.00975852,0.0210356,0.041552,0,0.00791153,0.0593668,0.0414747,0,0,0.0109773,0,0,0.043485,0.0605354,0.0298703,0.0277092,0.0124905,0.0462689,0.0441528,0.0353862,0.123795,0.0404354,0.0324936,0.0705652,0.0466511,0.0537098,0.086467,0.0161628,0.0248312,0.0125526,0.0218638,0.0436803,0.014209,0,0,0,0,0,0,0,0
8,0.0527585,0.0684812,0,0,0,0,0,0,0.0323415,0,0.0190606,0.0716445,0,0,0.016302,0,0,0.0373769,0.0730074,0.023669,0.00938116,0.0108034,0.0242784,0.0408093,0.0224479,0.037219,0.0478557,0.0303879,0.0160118,0.0164428,0.0252107,0.0274155,0.0144028,0.0111243,0.00984506,0.0212688,0.0412959,0,0.00793661,0.0592761,0.0418882,0,0,0.0110805,0,0,0.0434335,0.0608203,0.0297715,0.0278573,0.0124592,0.0464625,0.0440267,0.0353107,0.123855,0.040261,0.0326457,0.0706505,0.0465926,0.0538116,0.0866359,0.0164604,0.0248164,0.0125228,0.0222019,0.0435923,0.0141587,0,0,0,0,0,0,0,0
