Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75
All Timesteps RMSE,0.0546556,0.0601961,0,0,0,0,0,0,0.03092,0,0.0183517,0.0713849,0,0,0.029399,0,0,0.0346918,0.0718781,0.0249567,0.0118678,0.0127381,0.0275349,0.0378998,0.0249108,0.039085,0.0499957,0.0319811,0.0165633,0.0162666,0.0235793,0.0261919,0.0199584,0.0154895,0.0112713,0.0210904,0.0399437,0,0.0101467,0.0603334,0.0401043,0,0,0.0186558,0,0,0.0417318,0.0611656,0.0302328,0.0293523,0.0122483,0.0494127,0.0452316,0.0373114,0.123502,0.0427226,0.0320627,0.0693372,0.0452187,0.0521397,0.0852402,0.0207821,0.0243758,0.0126295,0.0198636,0.0372549,0.0235562,0,0,0,0,0,0,0,0,0
0,0.0508463,0.0667864,0,0,0,0,0,0,0.0320744,0,0.0170423,0.0716534,0,0,0.0280057,0,0,0.0358898,0.0716437,0.0250196,0.00872833,0.0137099,0.0272943,0.0457012,0.0252781,0.0381525,0.0504874,0.0321552,0.0153514,0.0166025,0.0218503,0.0239659,0.0155877,0.0129948,0.00923442,0.0213636,0.0407668,0,0.0110147,0.0588109,0.0281549,0,0,0.00761731,0,0,0.0417757,0.059299,0.0268734,0.0306724,0.0107236,0.050097,0.0485989,0.0386629,0.123317,0.0442234,0.0307579,0.069267,0.0453397,0.0521284,0.0857714,0.0168117,0.0279229,0.0144618,0.0177065,0.0417559,0.0233689,0,0,0,0,0,0,0,0,0
1,0.0508874,0.0667889,0,0,0,0,0,0,0.032521,0,0.0169766,0.0716489,0,0,0.0279173,0,0,0.0359652,0.0716831,0.0257531,0.00883469,0.0137691,0.0270988,0.0455418,0.025244,0.0380599,0.050435,0.0322612,0.0153439,0.0166636,0.0214857,0.0236679,0.0154854,0.0127017,0.0092121,0.0210829,0.0408499,0,0.0110435,0.0588382,0.0281581,0,0,0.00748715,0,0,0.041773,0.0592994,0.0269653,0.0306235,0.0107273,0.0499913,0.0485973,0.0386318,0.123315,0.0441319,0.0307199,0.0692873,0.0453681,0.0521308,0.0859104,0.0167764,0.0279022,0.0142686,0.0177573,0.0417238,0.0231595,0,0,0,0,0,0,0,0,0
2,0.0509075,0.0668154,0,0,0,0,0,0,0.0330847,0,0.0169409,0.0716918,0,0,0.0278195,0,0,0.0360307,0.0717343,0.0263911,0.00896339,0.0138333,0.0269176,0.0453836,0.0251748,0.0379514,0.0503876,0.0322567,0.0153535,0.0167109,0.0211849,0.023397,0.0154668,0.0124702,0.0092653,0.0209811,0.0409037,0,0.0110676,0.05886,0.0281504,0,0,0.00738768,0,0,0.0417392,0.0593117,0.027139,0.0305858,0.0107399,0.0498779,0.0485935,0.0385682,0.123277,0.0440812,0.0307108,0.0693109,0.0453898,0.0521381,0.0859134,0.016791,0.0278558,0.0140185,0.0177878,0.0416778,0.0230067,0,0,0,0,0,0,0,0,0
3,0.0509022,0.0668396,0,0,0,0,0,0,0.0336057,0,0.0169134,0.0717435,0,0,0.0277451,0,0,0.0360827,0.0717801,0.0268667,0.00904894,0.0138795,0.0267502,0.0452432,0.0250844,0.0378458,0.0503165,0.0321951,0.0153987,0.0167454,0.0209229,0.0231897,0.0153941,0.0122468,0.00932665,0.0208956,0.0409108,0,0.011071,0.0588816,0.028144,0,0,0.00729822,0,0,0.0418358,0.0593197,0.0272008,0.0305403,0.0107502,0.0497414,0.0485829,0.0385078,0.123247,0.0440435,0.0307334,0.0693339,0.0454065,0.0521585,0.085906,0.0168102,0.0278249,0.0140919,0.0177387,0.04163,0.0228339,0,0,0,0,0,0,0,0,0
4,0.0509008,0.0668519,0,0,0,0,0,0,0.0340054,0,0.0169124,0.0718168,0,0,0.0276748,0,0,0.0360204,0.0718107,0.0271689,0.009056,0.0138926,0.0266067,0.045117,0.0249888,0.0377313,0.0502357,0.0321187,0.0154326,0.0167658,0.0207138,0.0230423,0.0152786,0.0119922,0.00919813,0.0207383,0.0408527,0,0.0110194,0.058904,0.0281716,0,0,0.00717846,0,0,0.0420355,0.0593299,0.027188,0.0304789,0.0107973,0.0496207,0.048563,0.0384585,0.123227,0.0440043,0.0307392,0.0693661,0.0454306,0.0521913,0.0859371,0.0168651,0.0278335,0.0142375,0.0177272,0.0415787,0.0225987,0,0,0,0,0,0,0,0,0
5,0.0508977,0.0668427,0,0,0,0,0,0,0.0342236,0,0.0169468,0.0719015,0,0,0.0275595,0,0,0.0359914,0.0718435,0.0273024,0.00908973,0.0139038,0.0264305,0.0450246,0.0248901,0.0376309,0.050167,0.0320466,0.0154581,0.0167693,0.0205732,0.0229535,0.0151727,0.0118325,0.00919297,0.0206736,0.0407934,0,0.0109647,0.0589467,0.0282104,0,0,0.00709592,0,0,0.0421706,0.0593331,0.0272473,0.0304548,0.0108626,0.0495364,0.0486315,0.0383991,0.12322,0.0439773,0.0307546,0.0693987,0.0454556,0.0522015,0.0859427,0.016914,0.0278423,0.0143014,0.0177286,0.0414921,0.0223719,0,0,0,0,0,0,0,0,0
6,0.050988,0.0669164,0,0,0,0,0,0,0.0342931,0,0.0169627,0.0719236,0,0,0.0274831,0,0,0.036051,0.0718537,0.027265,0.00912718,0.013895,0.0264286,0.0448953,0.0248463,0.0375572,0.0501674,0.0320143,0.0154694,0.016739,0.0205284,0.0229582,0.0150518,0.0116984,0.00924576,0.0206562,0.0408115,0,0.010959,0.0589365,0.0283872,0,0,0.00689821,0,0,0.0422421,0.0593266,0.0272992,0.0303799,0.0108999,0.0494812,0.0485725,0.0383347,0.123226,0.0439444,0.0307529,0.0693911,0.0454671,0.0521958,0.0859076,0.0168646,0.0278992,0.0143668,0.017716,0.0414905,0.0221491,0,0,0,0,0,0,0,0,0
7,0.0511012,0.0669791,0,0,0,0,0,0,0.0344163,0,0.0169801,0.0719258,0,0,0.0274327,0,0,0.0361518,0.0718717,0.0272446,0.0093025,0.0139557,0.0264112,0.0448177,0.0248019,0.0374412,0.0500186,0.0319926,0.0154274,0.0166964,0.0205065,0.0229511,0.0148817,0.0116197,0.00933026,0.0206075,0.0409195,0,0.0109659,0.058906,0.02856,0,0,0.00672593,0,0,0.0423888,0.0593158,0.0273181,0.0303378,0.0109072,0.0494218,0.0485608,0.0382822,0.123244,0.043879,0.0307589,0.0693411,0.0454797,0.0521554,0.0858418,0.0167885,0.0279543,0.014461,0.0177981,0.0415189,0.0219651,0,0,0,0,0,0,0,0,0
8,0.0512496,0.067051,0,0,0,0,0,0,0.0344369,0,0.017001,0.0718985,0,0,0.0274529,0,0,0.0361792,0.0718919,0.0272191,0.00948643,0.014036,0.0264041,0.0447745,0.0247936,0.0374764,0.0496845,0.0319786,0.0153836,0.0166905,0.0204484,0.0228888,0.0147735,0.0115317,0.00949476,0.0205497,0.040892,0,0.0108523,0.0588862,0.0287343,0,0,0.00655413,0,0,0.0425754,0.0593219,0.0272746,0.0302843,0.0109271,0.0493892,0.0485685,0.0382405,0.12323,0.0438261,0.0307649,0.0693289,0.0454729,0.0521208,0.0858027,0.0168731,0.0280231,0.0144823,0.0179395,0.0415864,0.0217674,0,0,0,0,0,0,0,0,0
