Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,RTIBA,x75
834,0.0569932,0.0650099,0,0,0,0,0,0,0.0372834,0,0.0184703,0.0730367,0,0,0.019459,0,0,0.0348962,0.0745746,0.0223577,0.0106545,0.0137784,0.0227878,0.0272764,0.0207903,0.0348665,0.0472687,0.0294841,0.0150856,0.0143377,0.0222757,0.0237428,0.00863232,0.0119306,0.0112797,0.0234056,0.044881,0,0.0103922,0.0596491,0.0395421,0,0,0.0114244,0,0,0.0404581,0.0596715,0.0285531,0.0279213,0.0129384,0.045628,0.036173,0.0352088,0.123002,0.0413634,0.0318472,0.0694715,0.0521695,0.0849724,0.016341,0.0230758,0.0133646,0.0218438,0.0416085,0.0143829,0,0,0,0,0,0,0,0,0.0465166,0
835,0.057044,0.0648677,0,0,0,0,0,0,0.0372328,0,0.018468,0.0730357,0,0,0.0190304,0,0,0.0350923,0.0745824,0.022522,0.0106897,0.013767,0.0227185,0.027109,0.0208214,0.0348628,0.0472592,0.0295089,0.0153182,0.0142759,0.022204,0.0236922,0.0086139,0.0119023,0.01086,0.0238087,0.0449487,0,0.0104224,0.059659,0.0397194,0,0,0.0115002,0,0,0.0404395,0.059676,0.0285507,0.0279726,0.0129269,0.0456293,0.03596,0.0352103,0.123004,0.0413823,0.0318614,0.0695236,0.0521937,0.0849811,0.0163713,0.0229711,0.0133012,0.0218413,0.0415054,0.0143748,0,0,0,0,0,0,0,0,0.0463771,0
836,0.057286,0.0639564,0,0,0,0,0,0,0.037079,0,0.0184624,0.072938,0,0,0.0188877,0,0,0.0352159,0.0745677,0.0226047,0.0106051,0.0137407,0.022774,0.0284988,0.0208792,0.0348879,0.0472769,0.0295432,0.0153813,0.014281,0.0222039,0.023688,0.00873607,0.0126316,0.0108586,0.0237576,0.0449849,0,0.0103999,0.0595568,0.0402063,0,0,0.0115416,0,0,0.0405368,0.0596735,0.028544,0.0280654,0.0129196,0.045704,0.0357998,0.0352208,0.122975,0.0413841,0.0317873,0.069585,0.0522099,0.0849948,0.0163714,0.0225146,0.013404,0.0219121,0.0408204,0.0145494,0,0,0,0,0,0,0,0,0.0462908,0
837,0.0571088,0.0648382,0,0,0,0,0,0,0.0370001,0,0.0184684,0.0728809,0,0,0.0188164,0,0,0.0351425,0.0745833,0.0226826,0.0105992,0.0137332,0.0226587,0.0268424,0.0208648,0.0349141,0.0472598,0.0295629,0.0153374,0.0143293,0.0221636,0.0236704,0.0088527,0.0120109,0.0107478,0.0238947,0.045132,0,0.0102939,0.0593234,0.0400056,0,0,0.0115138,0,0,0.0404125,0.0596959,0.0285287,0.0281277,0.0129379,0.0456883,0.0352889,0.0352,0.122927,0.041369,0.0317277,0.0696372,0.0522593,0.0850335,0.0163423,0.0224273,0.0133247,0.0218577,0.0414524,0.0142363,0,0,0,0,0,0,0,0,0.0464024,0
838,0.0570464,0.0649759,0,0,0,0,0,0,0.0370692,0,0.0184757,0.0728567,0,0,0.0187153,0,0,0.0351538,0.0745905,0.0227335,0.0106138,0.0137488,0.0225855,0.0266803,0.0208026,0.0349504,0.047263,0.029568,0.0152512,0.014423,0.0221074,0.0236521,0.00880233,0.0120646,0.0107738,0.0239833,0.0452374,0,0.010271,0.0592858,0.0401531,0,0,0.0115139,0,0,0.0404069,0.0597075,0.0285955,0.0281983,0.0129463,0.0457028,0.0348846,0.0352205,0.122899,0.0413865,0.0317169,0.069575,0.0522868,0.0850536,0.0163239,0.0219774,0.0133081,0.0218862,0.0414903,0.0140615,0,0,0,0,0,0,0,0,0.0464973,0
839,0.0570881,0.0649109,0,0,0,0,0,0,0.0371749,0,0.0184888,0.0728911,0,0,0.0186142,0,0,0.0352658,0.0745894,0.0228104,0.0106466,0.0137705,0.0225709,0.0263455,0.0207658,0.034992,0.0472799,0.0295602,0.0151621,0.0146086,0.0220153,0.023607,0.00870497,0.0120893,0.0108119,0.0240648,0.045148,0,0.0102546,0.0593705,0.0400451,0,0,0.0115303,0,0,0.0404221,0.059708,0.0286191,0.0282076,0.0129332,0.0457082,0.0347529,0.0352585,0.1229,0.0414042,0.031753,0.0694527,0.0522982,0.0850559,0.0162789,0.0219405,0.0133097,0.0218976,0.0414422,0.0141347,0,0,0,0,0,0,0,0,0.0465209,0
840,0.0571293,0.0648345,0,0,0,0,0,0,0.0371401,0,0.0185272,0.0729337,0,0,0.0184988,0,0,0.0353392,0.0746176,0.0227574,0.0107029,0.0137739,0.022539,0.0260428,0.0207058,0.0349725,0.0472696,0.0295542,0.0150984,0.0146503,0.021973,0.023618,0.00875665,0.0121244,0.0108027,0.0241273,0.0448608,0,0.0102214,0.0594587,0.0400555,0,0,0.0115439,0,0,0.0403568,0.0597065,0.028709,0.0282169,0.0129014,0.045714,0.0346462,0.0352642,0.122909,0.0414093,0.0318158,0.0694295,0.0522992,0.0850601,0.016196,0.0218914,0.0132775,0.0219172,0.0413944,0.0142108,0,0,0,0,0,0,0,0,0.0465159,0
841,0.0571645,0.0647458,0,0,0,0,0,0,0.037026,0,0.018574,0.0729569,0,0,0.0183748,0,0,0.0353302,0.0746415,0.0226291,0.0107365,0.0137546,0.0224817,0.0257594,0.0207049,0.0349301,0.0472346,0.029545,0.0150749,0.0145856,0.0220058,0.0236268,0.00882701,0.0121938,0.0107956,0.0241782,0.0445996,0,0.0102172,0.0595233,0.0401029,0,0,0.0115462,0,0,0.0403074,0.0597107,0.0286191,0.0282496,0.0128664,0.0457178,0.0345705,0.03526,0.12291,0.0414202,0.0318748,0.0694918,0.052299,0.0850647,0.0161347,0.0218773,0.0132376,0.0219198,0.0413457,0.0142924,0,0,0,0,0,0,0,0,0.0464825,0
842,0.057185,0.0646923,0,0,0,0,0,0,0.0369161,0,0.0186204,0.0729674,0,0,0.0182293,0,0,0.0352819,0.0746522,0.0224498,0.0107419,0.0137415,0.0224429,0.0254414,0.0207719,0.0349178,0.0471982,0.0295414,0.0150829,0.0144974,0.0221468,0.0236095,0.00890419,0.0122685,0.0107762,0.0242146,0.0445892,0,0.0102497,0.0595708,0.0400386,0,0,0.0115922,0,0,0.0402832,0.0597191,0.0285425,0.0282503,0.0128564,0.045705,0.0344808,0.0352459,0.122892,0.0414456,0.0319,0.0694804,0.0523202,0.0850819,0.0160962,0.0217825,0.0131913,0.0219443,0.041337,0.0143481,0,0,0,0,0,0,0,0,0.0464719,0
843,0.0572277,0.0645995,0,0,0,0,0,0,0.0367772,0,0.0186809,0.0729935,0,0,0.0180765,0,0,0.0353203,0.074659,0.0221731,0.0107242,0.0137412,0.0224209,0.0251534,0.0207631,0.0349225,0.0471918,0.0295294,0.0150984,0.0144611,0.0222936,0.0236302,0.00899723,0.0123572,0.0107673,0.0242564,0.0446865,0,0.0102981,0.0596382,0.0400729,0,0,0.0116365,0,0,0.0402986,0.059725,0.0285864,0.0282079,0.0128625,0.0456705,0.0344015,0.0352403,0.122878,0.0414768,0.0318976,0.0694223,0.0523338,0.085117,0.016117,0.0217347,0.0131936,0.0219512,0.0412935,0.0144408,0,0,0,0,0,0,0,0,0.0464803,0
