Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75
All Timesteps RMSE,0.0535252,0.0605324,0,0,0,0,0,0,0.0289277,0,0.0179688,0.0680907,0,0,0.0264747,0,0,0.0395761,0.0692888,0.0233605,0.00986838,0.0125003,0.0399574,0.0477199,0.0267481,0.0414598,0.0527932,0.0334529,0.0149435,0.015146,0.0245472,0.0266557,0.0227539,0.0216867,0.011521,0.024055,0.0372069,0,0.0124536,0.0581051,0.0363952,0,0,0.0248383,0,0,0.0448672,0.0602885,0.0293295,0.0296989,0.0128553,0.0564854,0.0581366,0.0398229,0.125589,0.0446382,0.0331017,0.0691177,0.0461511,0.051641,0.0841306,0.0219746,0.0282511,0.012816,0.0233255,0.039059,0.026373,0,0,0,0,0,0,0,0,0
0,0.0509328,0.0646295,0,0,0,0,0,0,0.018518,0,0.0132507,0.0625774,0,0,0.0482996,0,0,0.0398146,0.0626573,0.0302966,0.00619263,0.0106903,0.0498568,0.0629573,0.0321549,0.0488844,0.0596541,0.0369531,0.0097638,0.0137136,0.0244088,0.0269189,0.0306298,0.0288423,0.0094206,0.026126,0.0301696,0,0.0101472,0.0565136,0.0326287,0,0,0.0352651,0,0,0.0523405,0.0584527,0.0300302,0.027799,0.00939054,0.0631972,0.0695662,0.0421755,0.125759,0.0476986,0.0308263,0.0668353,0.0434922,0.049622,0.0826918,0.0241771,0.0389276,0.0134418,0.0287104,0.0408851,0.0244039,0,0,0,0,0,0,0,0,0
1,0.0515929,0.0644439,0,0,0,0,0,0,0.0161589,0,0.0134965,0.0628259,0,0,0.0429143,0,0,0.0408228,0.0619314,0.0298232,0.00694542,0.0113792,0.0507461,0.0613511,0.0328801,0.0496398,0.0608065,0.0379584,0.00992387,0.0144297,0.0238613,0.0264701,0.0332502,0.0280274,0.00990874,0.0260649,0.0308076,0,0.0104408,0.0564563,0.0316798,0,0,0.0372487,0,0,0.0523039,0.057965,0.030189,0.0285919,0.00910619,0.0641472,0.0702548,0.0428764,0.126056,0.0480462,0.0311737,0.0665019,0.0431853,0.0493143,0.0825248,0.0235032,0.038689,0.0131258,0.0288423,0.0405179,0.0243652,0,0,0,0,0,0,0,0,0
2,0.051903,0.0643058,0,0,0,0,0,0,0.0148966,0,0.0138931,0.0625604,0,0,0.0409444,0,0,0.0415621,0.0614507,0.0294528,0.00760115,0.0112099,0.0515043,0.0608317,0.0332662,0.0501659,0.0616219,0.038778,0.00993199,0.0140632,0.0239823,0.0267848,0.0348004,0.0282864,0.0108103,0.0262487,0.0314746,0,0.0106846,0.0565583,0.0313787,0,0,0.0372165,0,0,0.0523189,0.0576203,0.030035,0.0290377,0.00889715,0.0646721,0.0705649,0.0431856,0.126153,0.0482406,0.0313374,0.0664572,0.0430691,0.0492923,0.0826011,0.0228558,0.0387724,0.0131906,0.0288727,0.0403755,0.0245079,0,0,0,0,0,0,0,0,0
3,0.0508165,0.0643902,0,0,0,0,0,0,0.0140171,0,0.0148035,0.062165,0,0,0.0434039,0,0,0.0416528,0.0615251,0.0290557,0.00744073,0.0109763,0.0503219,0.0618673,0.033529,0.0504321,0.0621124,0.0393164,0.0104626,0.0140304,0.0242509,0.0270648,0.0363702,0.0312982,0.0147405,0.0319087,0.0325022,0,0.0108022,0.0574069,0.0322528,0,0,0.0358357,0,0,0.0518314,0.0578871,0.0292677,0.0284923,0.00891654,0.0629959,0.0700227,0.0426373,0.125795,0.0476085,0.0311095,0.0671504,0.0436866,0.0499234,0.083237,0.0218869,0.038613,0.0129763,0.0285613,0.0408588,0.0241476,0,0,0,0,0,0,0,0,0
4,0.0523204,0.0642674,0,0,0,0,0,0,0.013205,0,0.0152898,0.0624509,0,0,0.038187,0,0,0.0428216,0.0604758,0.0291267,0.00928368,0.0115482,0.0525856,0.059813,0.0345826,0.0514365,0.0635492,0.0407384,0.010519,0.014153,0.0248674,0.0274761,0.0389564,0.0286578,0.0118614,0.0263166,0.0332512,0,0.0111274,0.0571431,0.0307449,0,0,0.0371946,0,0,0.0523489,0.0570837,0.0295573,0.0297836,0.00860324,0.0650828,0.071007,0.0435892,0.126243,0.0483349,0.0317358,0.0666021,0.0429067,0.0493148,0.082855,0.0212971,0.0389686,0.013218,0.028986,0.0404188,0.0243632,0,0,0,0,0,0,0,0,0
5,0.0524885,0.0640572,0,0,0,0,0,0,0.0131133,0,0.0159986,0.0622073,0,0,0.0376423,0,0,0.0426873,0.0600333,0.0292123,0.0102405,0.0111344,0.0531602,0.0598357,0.0353365,0.0521593,0.0643362,0.0415716,0.0110335,0.0145686,0.0257037,0.0281681,0.0410291,0.0282713,0.0120431,0.0260718,0.0341373,0,0.0112827,0.0575686,0.0306671,0,0,0.0369652,0,0,0.0522607,0.0569877,0.0292892,0.029789,0.00850289,0.0649494,0.0710658,0.0435234,0.126223,0.0483541,0.0319351,0.0667477,0.0429109,0.0493912,0.0830564,0.0205823,0.0389099,0.0132576,0.0289961,0.0402354,0.0244043,0,0,0,0,0,0,0,0,0
6,0.0525386,0.0642175,0,0,0,0,0,0,0.0132334,0,0.0167404,0.0619507,0,0,0.0373952,0,0,0.0425455,0.0596378,0.0294213,0.0108507,0.0104444,0.0535413,0.059646,0.03597,0.0529488,0.0650337,0.0422999,0.0118401,0.0152871,0.0262662,0.0290355,0.0434434,0.0280185,0.0122651,0.0259667,0.0350596,0,0.0113826,0.0580275,0.0304757,0,0,0.0365675,0,0,0.0520625,0.0569084,0.0291222,0.0297621,0.00840967,0.0645823,0.0710306,0.0434396,0.126235,0.0482914,0.0321936,0.0667994,0.0429441,0.0494118,0.0831737,0.0198902,0.0387591,0.0132091,0.0289811,0.0404188,0.0242398,0,0,0,0,0,0,0,0,0
7,0.0505305,0.0656494,0,0,0,0,0,0,0.013719,0,0.0175321,0.0613858,0,0,0.0453483,0,0,0.0395765,0.0599848,0.0295816,0.010241,0.00898674,0.0517002,0.0617899,0.0361584,0.0532263,0.0653298,0.0423929,0.0131245,0.0162485,0.0270009,0.0301305,0.0451474,0.0283427,0.0113122,0.027208,0.0358887,0,0.0114844,0.0593243,0.032193,0,0,0.0344534,0,0,0.0512137,0.0573554,0.0282719,0.028684,0.0086772,0.0617571,0.0689735,0.0424454,0.125757,0.0475298,0.0320068,0.067572,0.0438995,0.0501588,0.0839282,0.0192162,0.0379126,0.0129109,0.028511,0.042207,0.0230138,0,0,0,0,0,0,0,0,0
8,0.0505404,0.0661707,0,0,0,0,0,0,0.0142658,0,0.0180912,0.0612601,0,0,0.0467766,0,0,0.0391085,0.0597073,0.0301527,0.0108394,0.00824225,0.0519445,0.0616449,0.0365226,0.0538083,0.0659953,0.0428126,0.0140669,0.0171254,0.0278415,0.0310951,0.0475056,0.0274799,0.00978815,0.0259725,0.0366253,0,0.0115486,0.0598158,0.0320274,0,0,0.0337774,0,0,0.0509768,0.057275,0.0281358,0.0284896,0.00868097,0.0611945,0.0686,0.0423853,0.125812,0.0475052,0.0322823,0.0675743,0.0439974,0.05017,0.0840357,0.0187443,0.037621,0.0129449,0.028253,0.0427487,0.022713,0,0,0,0,0,0,0,0,0
