Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75
915,0.0520876,0.0502506,0,0,0,0,0,0,0.0349834,0,0.0193389,0.0715204,0,0,0.0196541,0,0,0.0344757,0.0727532,0.0191389,0.0100225,0.012207,0.0255376,0.0313021,0.0221584,0.0355599,0.0488782,0.0311553,0.0145855,0.0130458,0.0210177,0.022852,0.0111673,0.0145905,0.0115125,0.0184004,0.0466551,0,0.0118564,0.0615045,0.0488651,0,0,0.0198321,0,0,0.0394976,0.0591508,0.0274294,0.0293837,0.01263,0.0459213,0.0535291,0.0370164,0.124319,0.041562,0.033018,0.0713406,0.0487873,0.0538847,0.0870173,0.0179257,0.014981,0.0093481,0.0222472,0.0298863,0.0275151,0,0,0,0,0,0,0,0,0
916,0.0520249,0.0503215,0,0,0,0,0,0,0.0351042,0,0.0192265,0.0714599,0,0,0.0195888,0,0,0.0344051,0.0727016,0.0196229,0.00999492,0.0122321,0.0254752,0.0312991,0.0221343,0.0356314,0.0489058,0.0311907,0.0145922,0.0130922,0.0209179,0.0227834,0.0110159,0.0146318,0.0113613,0.01844,0.0466183,0,0.011811,0.0614708,0.0488853,0,0,0.0196368,0,0,0.0395517,0.0591679,0.0274265,0.0294017,0.0126192,0.0459792,0.0534997,0.0369995,0.124354,0.0415027,0.0328929,0.0713362,0.0488052,0.0537862,0.0870029,0.0179109,0.0149986,0.00934715,0.0222461,0.0299138,0.0273658,0,0,0,0,0,0,0,0,0
917,0.0520072,0.0503563,0,0,0,0,0,0,0.0350969,0,0.0191875,0.0714187,0,0,0.0195442,0,0,0.0343891,0.0726363,0.0197963,0.0100143,0.0122411,0.0256297,0.0313236,0.0222062,0.0356357,0.0489651,0.0312376,0.0145999,0.0129988,0.0209239,0.0227692,0.01101,0.0146817,0.0113025,0.0185497,0.0466045,0,0.0118054,0.0614105,0.0488906,0,0,0.0194721,0,0,0.0396861,0.059171,0.0274246,0.0295541,0.0126166,0.0460423,0.0535539,0.0370016,0.124289,0.0415962,0.0328961,0.0713332,0.0488373,0.0537817,0.0870008,0.017899,0.0150589,0.00940635,0.0222752,0.0299292,0.0272295,0,0,0,0,0,0,0,0,0
918,0.0520152,0.0503645,0,0,0,0,0,0,0.0350332,0,0.0191923,0.0713323,0,0,0.0194642,0,0,0.034429,0.0725828,0.0198417,0.00994962,0.0121914,0.0257543,0.0312916,0.0222899,0.035672,0.0490015,0.0312671,0.014611,0.0127656,0.0209648,0.022749,0.011074,0.014796,0.0112834,0.018572,0.0466468,0,0.011822,0.0613435,0.048866,0,0,0.0194604,0,0,0.0397428,0.0591776,0.0274159,0.0296559,0.0126072,0.0461793,0.053672,0.0370033,0.124189,0.0416499,0.0328789,0.0713345,0.0488603,0.053856,0.0870043,0.0179157,0.0152563,0.00938694,0.0223152,0.029954,0.0271415,0,0,0,0,0,0,0,0,0
919,0.052027,0.0503932,0,0,0,0,0,0,0.0348631,0,0.0192637,0.0712258,0,0,0.0191447,0,0,0.0344903,0.0725545,0.0196783,0.00982346,0.0121014,0.0258471,0.0311345,0.0223253,0.0358064,0.0490135,0.0312723,0.0145942,0.0126602,0.0210897,0.0228611,0.0112475,0.0149191,0.0114878,0.018589,0.04674,0,0.0118022,0.061266,0.0488503,0,0,0.0195538,0,0,0.0396663,0.0591935,0.0273775,0.029714,0.0125592,0.0463686,0.0538627,0.0369862,0.124116,0.0416466,0.0328409,0.0713159,0.0488484,0.0538422,0.0869801,0.0179331,0.0153634,0.00920284,0.0222621,0.0300071,0.0270877,0,0,0,0,0,0,0,0,0
920,0.0531483,0.0498189,0,0,0,0,0,0,0.0344658,0,0.0192602,0.0710985,0,0,0.0190874,0,0,0.0345311,0.0723707,0.0195275,0.0093749,0.0120416,0.0267428,0.0292601,0.022354,0.0360525,0.0491496,0.0312903,0.0144655,0.012698,0.021274,0.0230245,0.0116221,0.0155663,0.0111979,0.0190436,0.0468232,0,0.0117049,0.0609555,0.048603,0,0,0.019667,0,0,0.0396059,0.0589927,0.0274949,0.0301113,0.0122898,0.0472878,0.0550354,0.0372966,0.124236,0.0418941,0.0328149,0.0710217,0.0485346,0.0535801,0.0867005,0.0179679,0.0145418,0.00921659,0.0222844,0.0296151,0.0273759,0,0,0,0,0,0,0,0,0
921,0.0519228,0.0505482,0,0,0,0,0,0,0.0343381,0,0.0194084,0.0711476,0,0,0.0192021,0,0,0.0344187,0.0724511,0.019332,0.00968537,0.0120849,0.0262533,0.0312325,0.0223934,0.0359729,0.0490928,0.0312887,0.0144693,0.0127077,0.0214129,0.0231241,0.0117507,0.0149712,0.0114683,0.0184778,0.0472111,0,0.0116971,0.0612724,0.048703,0,0,0.0196566,0,0,0.0395725,0.0591619,0.0273025,0.0297046,0.0124091,0.0464363,0.0540038,0.0369497,0.124184,0.0415876,0.0327595,0.0712282,0.0487415,0.0536381,0.0868726,0.0180742,0.0157559,0.00920142,0.0222793,0.0301921,0.0269322,0,0,0,0,0,0,0,0,0
922,0.0518676,0.0506777,0,0,0,0,0,0,0.0341065,0,0.0194678,0.0710097,0,0,0.0194988,0,0,0.0343066,0.0724022,0.0190622,0.00953117,0.0121115,0.0263045,0.0314195,0.0224214,0.0359835,0.049124,0.0312829,0.0143861,0.0126191,0.0216355,0.0233049,0.0120342,0.0149269,0.0110604,0.0185806,0.0474784,0,0.0116821,0.0613266,0.048641,0,0,0.0196569,0,0,0.0396676,0.0591527,0.0273611,0.0295954,0.0123663,0.0464103,0.0539265,0.0369368,0.124219,0.0414997,0.0328397,0.0712098,0.0487078,0.053432,0.0868543,0.0182304,0.0160925,0.00944015,0.0223963,0.03032,0.0268505,0,0,0,0,0,0,0,0,0
923,0.0518093,0.0508161,0,0,0,0,0,0,0.0338465,0,0.0195462,0.0708407,0,0,0.0194962,0,0,0.0342995,0.0723784,0.0188197,0.00936131,0.0121213,0.0263717,0.0313951,0.022448,0.0360446,0.0491314,0.0312209,0.014322,0.0125552,0.0218506,0.0234875,0.012333,0.014813,0.0109706,0.0185525,0.0476976,0,0.0117069,0.0613656,0.0486196,0,0,0.0198062,0,0,0.0396858,0.0591366,0.027488,0.0294797,0.0123007,0.0464513,0.0540627,0.0369378,0.124229,0.0414875,0.0328862,0.0712125,0.0486346,0.053414,0.0868432,0.018372,0.01631,0.0093914,0.022473,0.0304006,0.0267647,0,0,0,0,0,0,0,0,0
924,0.0517483,0.0509416,0,0,0,0,0,0,0.033539,0,0.0196401,0.0707327,0,0,0.0195433,0,0,0.0343704,0.0723547,0.0185927,0.00923409,0.0120622,0.0266438,0.0313683,0.0225225,0.0361578,0.0491439,0.031153,0.0142661,0.0125243,0.0221005,0.0236669,0.0126441,0.0147102,0.0108539,0.0184685,0.0479193,0,0.011715,0.0613895,0.048616,0,0,0.0199227,0,0,0.0397299,0.0591067,0.0275524,0.0295055,0.0122332,0.0464495,0.0541969,0.036952,0.124256,0.0415128,0.0328942,0.0711945,0.048577,0.0535105,0.0868274,0.0184886,0.0165919,0.00935679,0.0225882,0.0305046,0.0266731,0,0,0,0,0,0,0,0,0
