Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,LBL,x77
93,0.0300548,0.0612397,0,0,0,0.0381598,0,0.0216925,0.0677961,0,0,0,0.0203537,0,0,0.0423986,0.0546428,0.0232368,0.0400857,0.0269714,0,0,0.0585381,0.0414794,0.0294697,0.0537116,0.0581717,0.027027,0.0608562,0.0656747,0.0376673,0.0354383,0,0.00605014,0,0.0353247,0.0133691,0.014943,0.0219012,0,0.0255077,0.042545,0.0404436,0,0,0.019916,0,0,0.0233057,0.0762371,0.0493395,0.0191549,0.0327626,0.0620748,0.0304055,0.0366612,0.058024,0.076649,0.0601971,0.0260488,0.0194044,0.0072971,0.0307412,0.0627409,0.0340822,0.0104557,0.00780142,0.0595315,0.0472259,0,0,0,0,0,0,0,0,0
94,0.0296356,0.0611234,0,0,0,0.0381497,0,0.0216859,0.068407,0,0,0,0.0204508,0,0,0.0422104,0.0549844,0.0235281,0.0399046,0.027197,0,0,0.0580447,0.0414296,0.0290706,0.0532432,0.0580576,0.0271407,0.0604801,0.0654215,0.0375741,0.0352333,0,0.00591407,0,0.0351192,0.01325,0.014987,0.0219556,0,0.025827,0.0425796,0.040474,0,0,0.0199048,0,0,0.0233669,0.0761776,0.0497396,0.0193774,0.03254,0.0623213,0.0302459,0.0368785,0.0587809,0.0769509,0.0603399,0.026383,0.0199111,0.00762662,0.031394,0.0640311,0.0341274,0.0104435,0.00774984,0.0595441,0.0472285,0,0,0,0,0,0,0,0,0
95,0.0294799,0.0610046,0,0,0,0.0380988,0,0.0216884,0.0688453,0,0,0,0.0205528,0,0,0.0422067,0.0553501,0.0238313,0.0397493,0.0274238,0,0,0.057632,0.0413969,0.0287306,0.0527774,0.0579256,0.0272447,0.0603017,0.0652308,0.0375515,0.0349577,0,0.00579168,0,0.0349118,0.0133685,0.0148022,0.0217221,0,0.0259953,0.0426552,0.0404744,0,0,0.0199461,0,0,0.023434,0.076088,0.0495433,0.0196656,0.0320537,0.0625128,0.0300463,0.0370854,0.0594532,0.077195,0.0605188,0.0265234,0.0204364,0.00794681,0.0316917,0.0645717,0.0341554,0.0104388,0.0077042,0.0595337,0.047249,0,0,0,0,0,0,0,0,0
96,0.0297462,0.0609069,0,0,0,0.0379612,0,0.0217264,0.0691119,0,0,0,0.0206443,0,0,0.042322,0.0558127,0.0241194,0.0396311,0.0276461,0,0,0.0573298,0.0413105,0.0284155,0.0523047,0.0577938,0.0273364,0.0603024,0.0649793,0.0374593,0.0348684,0,0.00570917,0,0.0347468,0.0135387,0.01466,0.0211422,0,0.0260207,0.0428358,0.0404549,0,0,0.0200062,0,0,0.0234044,0.0760539,0.0487138,0.0198463,0.0313863,0.0626333,0.0298509,0.0371794,0.0599771,0.0772265,0.0606191,0.0265748,0.0210219,0.00814831,0.0319009,0.0640831,0.0341157,0.010424,0.0076621,0.0596572,0.0473173,0,0,0,0,0,0,0,0,0
97,0.0301322,0.0609615,0,0,0,0.0379694,0,0.0217907,0.06943,0,0,0,0.0206766,0,0,0.0423005,0.056308,0.0244051,0.039511,0.0278458,0,0,0.0570123,0.0411744,0.0281332,0.0518688,0.0576884,0.0273932,0.0601067,0.064748,0.0373784,0.034855,0,0.00557712,0,0.0345905,0.0135297,0.014516,0.0202546,0,0.0259167,0.0431367,0.0404359,0,0,0.0200633,0,0,0.0233493,0.0760365,0.0472557,0.0198269,0.030669,0.0626174,0.0296817,0.0373044,0.0603102,0.0770592,0.0607139,0.0267598,0.0216909,0.00832371,0.0322949,0.0622086,0.0340383,0.0103418,0.00761748,0.0592767,0.0472854,0,0,0,0,0,0,0,0,0
98,0.0308094,0.0609481,0,0,0,0.0416052,0,0.0235779,0.0695215,0,0,0,0.0200713,0,0,0.0429056,0.0564663,0.0250921,0.0397476,0.0280328,0,0,0.0572162,0.0415117,0.0290373,0.0526037,0.0578704,0.0273972,0.0593032,0.0638249,0.0364799,0.0337658,0,0.00809063,0,0.0348092,0.0136652,0.0139628,0.0223296,0,0.0236667,0.0437675,0.0396433,0,0,0.0208114,0,0,0.0223283,0.0768715,0.0428515,0.0184384,0.030709,0.0615046,0.0295805,0.0364539,0.0572591,0.0741791,0.0599756,0.0298314,0.0175527,0.00685096,0.0353224,0.0676575,0.0340615,0.0109133,0.00744614,0.0579763,0.0477911,0,0,0,0,0,0,0,0,0
99,0.030775,0.0609962,0,0,0,0.041695,0,0.0237407,0.0696051,0,0,0,0.0201433,0,0,0.042843,0.0569847,0.0252429,0.0396329,0.0282268,0,0,0.0569338,0.0411192,0.0287917,0.0521313,0.0577061,0.0274232,0.0593843,0.0637759,0.0365125,0.0336234,0,0.00835159,0,0.0345685,0.0135402,0.0139438,0.0202585,0,0.0238278,0.0442215,0.0397263,0,0,0.0209093,0,0,0.0222964,0.0767716,0.0406275,0.0183548,0.0302877,0.0613382,0.0294841,0.0366198,0.0572342,0.0737814,0.0602669,0.0301377,0.0182922,0.00731626,0.0360546,0.0617192,0.0339981,0.0109081,0.00743109,0.0572751,0.0476485,0,0,0,0,0,0,0,0,0
100,0.0308681,0.0610201,0,0,0,0.0416433,0,0.023951,0.0695063,0,0,0,0.0201363,0,0,0.0425107,0.0574911,0.0253777,0.039551,0.0284678,0,0,0.0567648,0.040519,0.0285427,0.0516843,0.0575239,0.0274432,0.0593531,0.0638103,0.0366221,0.0336139,0,0.00870694,0,0.0343809,0.013112,0.0140569,0.0189059,0,0.0240173,0.0447436,0.0398852,0,0,0.0209776,0,0,0.0222781,0.0766424,0.0382131,0.0183431,0.0300606,0.0611448,0.0293365,0.0368172,0.0569399,0.0732553,0.0605983,0.0306855,0.0189455,0.00784474,0.0370997,0.0544832,0.0339383,0.0108957,0.00741509,0.0569033,0.0474878,0,0,0,0,0,0,0,0,0
101,0.0309337,0.0610802,0,0,0,0.0419564,0,0.0241289,0.0695246,0,0,0,0.0200981,0,0,0.0423866,0.0579684,0.025446,0.0395457,0.0287251,0,0,0.0567033,0.0401263,0.0282952,0.0512489,0.0572915,0.0274276,0.059311,0.063903,0.0368653,0.0337214,0,0.00920284,0,0.0342453,0.0130385,0.0139305,0.0195045,0,0.0241823,0.0452563,0.0400641,0,0,0.0209481,0,0,0.0222328,0.0764528,0.0357829,0.0182516,0.0300694,0.0609941,0.0291168,0.0369911,0.056424,0.0726548,0.0609376,0.0314347,0.0194488,0.00847081,0.0382596,0.0464467,0.033954,0.0108661,0.00737517,0.0567482,0.0473292,0,0,0,0,0,0,0,0,0
102,0.030956,0.0611376,0,0,0,0.0424406,0,0.0243729,0.0694916,0,0,0,0.0200627,0,0,0.0424564,0.0584482,0.0255992,0.0395404,0.029092,0,0,0.0565867,0.0399242,0.0280477,0.0507468,0.0570128,0.0273376,0.0595522,0.0639996,0.0369499,0.0338276,0,0.00958351,0,0.0341319,0.0133076,0.0135882,0.0220881,0,0.0244809,0.0457993,0.0402563,0,0,0.0209271,0,0,0.0221841,0.0761762,0.0335199,0.018205,0.0303094,0.0607827,0.0288828,0.0372397,0.0557094,0.0720614,0.06142,0.0322997,0.0199226,0.0092458,0.0394755,0.0382413,0.0340014,0.0108022,0.0073141,0.0567001,0.0471533,0,0,0,0,0,0,0,0,0
