Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,LBL,x77
113,0.0310451,0.0620978,0,0,0,0.0541318,0,0.0221572,0.0682843,0,0,0,0.0192823,0,0,0.0418993,0.0606687,0.0222959,0.0366239,0.0278517,0,0,0.0523696,0.0375299,0.0268156,0.0491314,0.0548715,0.0264109,0.0611794,0.0659689,0.037006,0.0358758,0,0.0215842,0,0.033545,0.0135507,0.0124939,0.0328613,0,0.0299455,0.0510588,0.0418363,0,0,0.0193567,0,0,0.0225059,0.0737874,0.0314585,0.023344,0.0333739,0.0598486,0.025954,0.0392681,0.0468173,0.0677802,0.0633917,0.0372184,0.0231435,0.0149002,0.0448368,0.0215973,0.035546,0.0106089,0.00639048,0.0572696,0.0451528,0,0,0,0,0,0,0,0,0
114,0.0310496,0.0621853,0,0,0,0.0549468,0,0.0211401,0.06866,0,0,0,0.0193066,0,0,0.0418209,0.0604132,0.0222919,0.0358707,0.0273755,0,0,0.0520103,0.0370001,0.0267214,0.049549,0.0549691,0.0264175,0.0611856,0.0658598,0.0366858,0.0358427,0,0.0226442,0,0.0334274,0.0134606,0.0125037,0.03127,0,0.029785,0.0507278,0.0418912,0,0,0.0194662,0,0,0.022497,0.073979,0.0291939,0.0231196,0.032592,0.0598613,0.0262715,0.0379712,0.0473312,0.0674434,0.0621711,0.0362609,0.0223005,0.013474,0.0440387,0.0212325,0.0354166,0.0105618,0.00650356,0.0572133,0.0450801,0,0,0,0,0,0,0,0,0
115,0.0310797,0.0622075,0,0,0,0.0557538,0,0.020076,0.0688848,0,0,0,0.0193092,0,0,0.0417797,0.0601969,0.022343,0.0351009,0.0269229,0,0,0.0516603,0.0364215,0.0266618,0.0499291,0.0550878,0.0264033,0.0610035,0.0657491,0.0362996,0.0357682,0,0.0234802,0,0.0333664,0.0134716,0.0124269,0.0298872,0,0.0297659,0.0503598,0.0419345,0,0,0.0195762,0,0,0.0224637,0.0739124,0.0272627,0.0230296,0.0316237,0.0597446,0.0265635,0.0368043,0.0477035,0.067144,0.0610759,0.035555,0.0215413,0.0122781,0.0433353,0.0209301,0.0352845,0.0105499,0.00660319,0.0572141,0.0450153,0,0,0,0,0,0,0,0,0
116,0.030909,0.0620892,0,0,0,0.056675,0,0.0189252,0.068926,0,0,0,0.0192962,0,0,0.0416579,0.0600002,0.0225394,0.0343453,0.0265363,0,0,0.051235,0.0359469,0.0267261,0.0502988,0.0551852,0.0263254,0.0606629,0.065718,0.0359152,0.0357118,0,0.0241708,0,0.0333784,0.0134889,0.0123349,0.0287894,0,0.0295606,0.0501014,0.0420152,0,0,0.0196333,0,0,0.0224316,0.0734599,0.0252504,0.0233574,0.0309385,0.0594721,0.0269718,0.0357731,0.0477866,0.0668593,0.0602267,0.0351527,0.0213257,0.0116231,0.0427285,0.0209564,0.0351713,0.0105842,0.00665673,0.0572692,0.0448899,0,0,0,0,0,0,0,0,0
117,0.0306706,0.0619357,0,0,0,0.0577707,0,0.0177925,0.0687464,0,0,0,0.0192735,0,0,0.0414963,0.0598105,0.0230137,0.033588,0.0262972,0,0,0.0507491,0.0354719,0.0269746,0.050765,0.0552521,0.026146,0.0606109,0.065747,0.0355699,0.0357146,0,0.0248239,0,0.0334519,0.0135109,0.0122476,0.0265586,0,0.0289741,0.0500196,0.0421517,0,0,0.01966,0,0,0.0224513,0.0727428,0.0231827,0.0240164,0.031023,0.0591796,0.0273762,0.0348648,0.0473049,0.0664666,0.0595796,0.0349608,0.0218384,0.0116326,0.042286,0.0207618,0.035165,0.0106541,0.00669036,0.0573704,0.0447732,0,0,0,0,0,0,0,0,0
118,0.0305666,0.0619342,0,0,0,0.0588462,0,0.0166583,0.0682415,0,0,0,0.0193096,0,0,0.0414543,0.0596548,0.02382,0.0328348,0.0261897,0,0,0.0503317,0.034693,0.0273116,0.0513393,0.0553355,0.0258474,0.060892,0.0658531,0.0353157,0.0357593,0,0.0255375,0,0.0336108,0.0135609,0.0122119,0.0234117,0,0.0283329,0.0501477,0.0423264,0,0,0.0197061,0,0,0.0224903,0.0721308,0.021421,0.0246614,0.0320815,0.0589439,0.0277075,0.0343677,0.0464522,0.0659717,0.0590799,0.0346389,0.0231208,0.0122922,0.0421248,0.0206249,0.0351875,0.0107701,0.0067137,0.0574476,0.0446788,0,0,0,0,0,0,0,0,0
119,0.0305274,0.0619925,0,0,0,0.0596479,0,0.0154732,0.0673891,0,0,0,0.0193425,0,0,0.0414046,0.0595463,0.0250302,0.0320521,0.0261325,0,0,0.0501358,0.0339737,0.0276083,0.0519987,0.0553954,0.0254221,0.0610318,0.0660445,0.0350611,0.035885,0,0.0260526,0,0.0338002,0.0135788,0.0122216,0.0202499,0,0.0279969,0.0504242,0.0424922,0,0,0.019756,0,0,0.0225189,0.0717153,0.0198676,0.0251857,0.0336338,0.0588199,0.0280551,0.0344272,0.0456328,0.0655908,0.0589424,0.0339703,0.0250425,0.0133298,0.0419209,0.0213023,0.0351435,0.0109288,0.00674729,0.0575168,0.044617,0,0,0,0,0,0,0,0,0
120,0.0304929,0.0620196,0,0,0,0.0599692,0,0.0142736,0.0663138,0,0,0,0.0193216,0,0,0.0413155,0.0594665,0.0267011,0.031268,0.0260798,0,0,0.0501907,0.033539,0.0277825,0.052654,0.055487,0.0249809,0.060908,0.0662219,0.0346705,0.035949,0,0.026047,0,0.0339292,0.0135691,0.0122465,0.017574,0,0.0279431,0.0506655,0.0426071,0,0,0.0198468,0,0,0.0225047,0.0713323,0.0185797,0.0255402,0.0348227,0.0588148,0.0285272,0.0347015,0.0452902,0.0655363,0.0591579,0.0334169,0.0269776,0.0142631,0.0418123,0.0229176,0.0349689,0.0109575,0.00684742,0.0575997,0.0445581,0,0,0,0,0,0,0,0,0
121,0.0304358,0.062007,0,0,0,0.0598166,0,0.013399,0.0652492,0,0,0,0.0192796,0,0,0.0412495,0.059301,0.0286899,0.0305382,0.0261795,0,0,0.0504579,0.0333194,0.0278639,0.0533024,0.0557912,0.0246466,0.0607059,0.0662384,0.0340282,0.0357741,0,0.0257653,0,0.0339884,0.0135801,0.012267,0.0152413,0,0.0278038,0.0507061,0.0427023,0,0,0.020069,0,0,0.0224889,0.0709416,0.0179318,0.0256164,0.0351685,0.058921,0.0291636,0.0345709,0.0457062,0.0657544,0.0591838,0.0331939,0.0280017,0.0146786,0.0418014,0.0253496,0.0346753,0.0108699,0.00705253,0.0577301,0.0445148,0,0,0,0,0,0,0,0,0
122,0.0304117,0.0619056,0,0,0,0.0590717,0,0.013181,0.0641576,0,0,0,0.0192853,0,0,0.0413282,0.0590525,0.0308436,0.0297811,0.0264352,0,0,0.0508611,0.0329427,0.0280241,0.053825,0.056304,0.0244347,0.0603574,0.0659804,0.0329805,0.0352995,0,0.0252462,0,0.034028,0.0136112,0.0123201,0.0134343,0,0.02734,0.0504857,0.0428311,0,0,0.0204461,0,0,0.0225161,0.0706812,0.018006,0.0253685,0.0347644,0.0590071,0.0299348,0.0338048,0.0463572,0.0658682,0.0584707,0.0330829,0.0277864,0.0145546,0.0415702,0.0279334,0.0342579,0.0108941,0.00735248,0.0578744,0.0444629,0,0,0,0,0,0,0,0,0
123,0.030333,0.0618208,0,0,0,0.0579318,0,0.0137843,0.0628468,0,0,0,0.0192599,0,0,0.0414568,0.0588169,0.032764,0.0289551,0.0266387,0,0,0.0514955,0.0327649,0.0282438,0.0544033,0.0566215,0.0243284,0.0598114,0.0653909,0.0315455,0.0346377,0,0.0246451,0,0.0340267,0.0136459,0.0123711,0.0124783,0,0.0266265,0.0499848,0.0429178,0,0,0.0209358,0,0,0.0225274,0.0707784,0.0185027,0.0249333,0.0341583,0.0589844,0.0308581,0.0327802,0.0465546,0.0655823,0.0573333,0.0327964,0.0268734,0.0136267,0.0410386,0.029772,0.0337302,0.0110535,0.00767349,0.0580559,0.0443408,0,0,0,0,0,0,0,0,0
124,0.0302354,0.0617111,0,0,0,0.0564401,0,0.0146147,0.0609729,0,0,0,0.0192427,0,0,0.0414781,0.0587933,0.0343903,0.0279899,0.0269253,0,0,0.0525106,0.0327268,0.0284947,0.0549516,0.0569613,0.0241898,0.0589587,0.0644545,0.0298958,0.0341145,0,0.0239155,0,0.0339792,0.0136102,0.0124002,0.0121454,0,0.0257936,0.049193,0.0429608,0,0,0.0215794,0,0,0.0225133,0.0711994,0.0190994,0.0245391,0.0339719,0.0589773,0.0319484,0.0318981,0.0463598,0.0650781,0.0563161,0.0322049,0.0259454,0.0125244,0.0402308,0.0307984,0.033106,0.011187,0.00799941,0.0582077,0.044195,0,0,0,0,0,0,0,0,0
125,0.0302012,0.0614911,0,0,0,0.0545534,0,0.0150397,0.0592087,0,0,0,0.0192156,0,0,0.0414894,0.0587219,0.034956,0.0272059,0.0267925,0,0,0.0536299,0.0326375,0.0289719,0.0554243,0.0575224,0.0244552,0.0578384,0.0632321,0.028236,0.0336598,0,0.0224494,0,0.0338669,0.0135854,0.0124195,0.0117572,0,0.025326,0.048511,0.0429732,0,0,0.0223358,0,0,0.0225087,0.0718747,0.0196783,0.0242988,0.0341164,0.0588899,0.0332195,0.0313734,0.0458667,0.0645199,0.0556316,0.0314068,0.0254567,0.0119102,0.0393628,0.0314387,0.0323386,0.0113987,0.0083706,0.0582947,0.0440834,0,0,0,0,0,0,0,0,0
126,0.0301282,0.0612665,0,0,0,0.0523555,0,0.0141794,0.0574386,0,0,0,0.0192659,0,0,0.0417225,0.0585635,0.0347897,0.026582,0.0265405,0,0,0.0548706,0.0327343,0.0296981,0.0559625,0.0583807,0.0249477,0.0568245,0.0619018,0.0266975,0.0334581,0,0.0195658,0,0.0337285,0.0136457,0.0124866,0.0111102,0,0.0250662,0.0477758,0.0429536,0,0,0.0232132,0,0,0.0225517,0.0724349,0.019876,0.0242914,0.0342009,0.0588291,0.0345377,0.0310645,0.0454515,0.064181,0.0551288,0.0305257,0.0255478,0.0118743,0.0385717,0.0322018,0.0314852,0.0116551,0.00875279,0.0583299,0.0441356,0,0,0,0,0,0,0,0,0
127,0.0300576,0.0610718,0,0,0,0.0507947,0,0.0124838,0.0557625,0,0,0,0.0193706,0,0,0.0420688,0.0582877,0.034034,0.0261605,0.0262811,0,0,0.0561913,0.0331116,0.0306594,0.0566792,0.059517,0.0256002,0.0559517,0.0606576,0.0256767,0.0336611,0,0.0158191,0,0.0335565,0.0136413,0.0126781,0.0102171,0,0.0250073,0.0469668,0.0427984,0,0,0.0241891,0,0,0.0226206,0.0725776,0.0195827,0.0245821,0.0341065,0.0588027,0.0357844,0.0309521,0.0452146,0.0641951,0.0548162,0.0299178,0.0258965,0.0121046,0.0379879,0.0330381,0.0306316,0.0117877,0.00924909,0.0582561,0.0443731,0,0,0,0,0,0,0,0,0
128,0.0300864,0.0609023,0,0,0,0.0496792,0,0.0108881,0.0541988,0,0,0,0.0195327,0,0,0.0422963,0.0580111,0.0330085,0.0259248,0.0261148,0,0,0.0574954,0.0334871,0.0318229,0.0577552,0.0606047,0.0263079,0.055197,0.0595542,0.0250716,0.0341439,0,0.0136869,0,0.0333703,0.0136561,0.0128126,0.00931132,0,0.0251145,0.0462344,0.0426026,0,0,0.0251326,0,0,0.0226911,0.072212,0.0188043,0.02515,0.0340922,0.0587742,0.0368905,0.0310264,0.0452065,0.0645456,0.0547514,0.0297809,0.0261953,0.0125935,0.0376486,0.0337133,0.029842,0.0119213,0.00969849,0.0580951,0.0448109,0,0,0,0,0,0,0,0,0
129,0.0301783,0.0607769,0,0,0,0.048069,0,0.0095597,0.0529592,0,0,0,0.0196174,0,0,0.0423777,0.0577816,0.0319633,0.0258568,0.026043,0,0,0.0586451,0.0340147,0.0331589,0.0591129,0.061687,0.0269982,0.0547235,0.0587141,0.0247011,0.0346619,0,0.0154408,0,0.0332355,0.0137365,0.0128803,0.0085458,0,0.0253869,0.045816,0.0423814,0,0,0.0258605,0,0,0.0228496,0.071505,0.0177541,0.0259328,0.0342411,0.0587403,0.0378261,0.0311603,0.0453631,0.0650411,0.0549324,0.0299237,0.0267275,0.0132712,0.037533,0.0341372,0.0291913,0.0121599,0.010079,0.0579284,0.0453742,0,0,0,0,0,0,0,0,0
130,0.0302633,0.0607002,0,0,0,0.0454783,0,0.00864558,0.0518063,0,0,0,0.0197569,0,0,0.0424713,0.0577581,0.0321683,0.0258502,0.0260871,0,0,0.0596939,0.0342876,0.03457,0.0604956,0.0626003,0.0274784,0.0546973,0.0583069,0.024856,0.0353571,0,0.0205295,0,0.0332179,0.0137593,0.0129995,0.00791741,0,0.025652,0.0456561,0.0422193,0,0,0.0263935,0,0,0.0229388,0.0708482,0.0169174,0.0267671,0.0345468,0.0588462,0.0385686,0.0310968,0.0455631,0.0653563,0.0551128,0.0300092,0.0273161,0.0139124,0.0375361,0.0348912,0.0287217,0.0122893,0.010322,0.0577548,0.0458982,0,0,0,0,0,0,0,0,0
131,0.0303317,0.060662,0,0,0,0.0430444,0,0.00860202,0.0508948,0,0,0,0.019897,0,0,0.042554,0.0577752,0.0341606,0.0259607,0.0260215,0,0,0.0604942,0.0346619,0.0359462,0.0617597,0.0633392,0.0278681,0.0552772,0.0584149,0.0256598,0.0364004,0,0.026103,0,0.0333322,0.0137847,0.0131316,0.00743664,0,0.0257567,0.0458958,0.0421271,0,0,0.0266584,0,0,0.0229646,0.0706213,0.016554,0.0274121,0.034785,0.0589907,0.0389967,0.0307618,0.0457099,0.0653179,0.0549943,0.0298908,0.0277525,0.0142573,0.0374936,0.0359582,0.0285747,0.0123209,0.0104226,0.0576064,0.0462938,0,0,0,0,0,0,0,0,0
132,0.0303567,0.0606481,0,0,0,0.04141,0,0.00974968,0.0501284,0,0,0,0.0199543,0,0,0.0425792,0.057694,0.0367554,0.0261707,0.0259952,0,0,0.0609622,0.035159,0.0371561,0.0627751,0.0639872,0.0281167,0.0560827,0.0587088,0.0265293,0.0377458,0,0.0315666,0,0.0335296,0.0138507,0.0132037,0.00702603,0,0.0257,0.0463857,0.0420802,0,0,0.0266104,0,0,0.0229751,0.0708358,0.0166172,0.0276682,0.034667,0.0590427,0.0391543,0.0303208,0.0457014,0.0651389,0.05478,0.0296658,0.0278244,0.0142027,0.0373649,0.0371606,0.0287313,0.0123746,0.0103823,0.0575383,0.0465469,0,0,0,0,0,0,0,0,0
133,0.0303199,0.0606452,0,0,0,0.040512,0,0.0104484,0.0492838,0,0,0,0.0199297,0,0,0.0425219,0.0576132,0.0392021,0.0264049,0.0261103,0,0,0.061129,0.035547,0.0380431,0.0634882,0.0645221,0.0283345,0.0569182,0.0589722,0.0269818,0.0389598,0,0.0361366,0,0.0337868,0.0139025,0.0132176,0.00694356,0,0.025401,0.0468998,0.0420746,0,0,0.0263525,0,0,0.0229538,0.0711261,0.0171319,0.0275434,0.0342043,0.0588827,0.0391312,0.0299998,0.0457378,0.0650654,0.0547233,0.0295413,0.0276121,0.0139357,0.0372566,0.0381696,0.0291155,0.012392,0.010317,0.0575232,0.0466978,0,0,0,0,0,0,0,0,0
134,0.0302229,0.0606496,0,0,0,0.0398996,0,0.0104521,0.0483492,0,0,0,0.0198482,0,0,0.0424442,0.0575155,0.0411992,0.0266786,0.0263702,0,0,0.0610314,0.035753,0.0387654,0.0640998,0.0649793,0.0285676,0.0577932,0.0593965,0.0274619,0.0401101,0,0.03951,0,0.0340606,0.0139421,0.0132295,0.00699913,0,0.0252156,0.0473819,0.0421311,0,0,0.025982,0,0,0.0228987,0.071229,0.017672,0.0272314,0.0336192,0.0585022,0.0389911,0.0298396,0.0458003,0.0650714,0.0548379,0.029497,0.0273718,0.0136963,0.0372051,0.0387595,0.0295833,0.0123659,0.0101891,0.0575921,0.0467216,0,0,0,0,0,0,0,0,0
135,0.0300687,0.0606837,0,0,0,0.039678,0,0.010499,0.0473686,0,0,0,0.0197342,0,0,0.0424165,0.0574056,0.0426262,0.0269966,0.0267771,0,0,0.0607848,0.0359313,0.0395415,0.064735,0.065422,0.0287574,0.0586967,0.0599137,0.0281602,0.0412454,0,0.0417618,0,0.0342949,0.0139869,0.0132337,0.00691776,0,0.0251807,0.0478381,0.0421765,0,0,0.0256066,0,0,0.0228398,0.0711665,0.0179858,0.0269216,0.0331404,0.0580368,0.0387852,0.0298596,0.0458773,0.0651098,0.0549459,0.029331,0.0272786,0.0136318,0.0371969,0.0388044,0.0300313,0.0123332,0.0100601,0.0576738,0.0465906,0,0,0,0,0,0,0,0,0
136,0.0299738,0.0607047,0,0,0,0.0397025,0,0.0108275,0.0463368,0,0,0,0.0196115,0,0,0.0424393,0.0572346,0.0436254,0.0273676,0.0272367,0,0,0.0605799,0.0361286,0.0402151,0.0652772,0.0658449,0.0288894,0.0593909,0.0602949,0.0288364,0.0422341,0,0.0430387,0,0.0344864,0.0140231,0.0132492,0.00670283,0,0.02522,0.0482058,0.0421554,0,0,0.0252716,0,0,0.0228059,0.0710927,0.0180555,0.0267362,0.0329197,0.0576461,0.0387151,0.0300145,0.0458988,0.0651479,0.0550709,0.0291946,0.0273613,0.0136782,0.0372054,0.0383351,0.0304361,0.0123264,0.00995854,0.0577077,0.046374,0,0,0,0,0,0,0,0,0
137,0.0298739,0.0607735,0,0,0,0.0396418,0,0.0111538,0.0452193,0,0,0,0.0195037,0,0,0.042516,0.0568937,0.044347,0.0277717,0.0275752,0,0,0.0605046,0.0363363,0.0408632,0.0655754,0.066251,0.0289853,0.0597922,0.0605235,0.0293646,0.0429926,0,0.0438151,0,0.034607,0.0140588,0.0132906,0.00669462,0,0.0252694,0.0484957,0.0420503,0,0,0.0250172,0,0,0.0227919,0.0710232,0.0180136,0.0267015,0.0328879,0.0573396,0.0387909,0.030151,0.0459155,0.0651883,0.0552222,0.0291259,0.0275118,0.0138185,0.0373021,0.0374191,0.0306387,0.0123638,0.00993844,0.0577129,0.0462586,0,0,0,0,0,0,0,0,0
138,0.0297475,0.0608553,0,0,0,0.039366,0,0.0113476,0.0440619,0,0,0,0.0194184,0,0,0.042644,0.0563622,0.0449063,0.0281755,0.0277311,0,0,0.0605446,0.0365353,0.0413429,0.065978,0.0666407,0.0290259,0.05992,0.0606442,0.0297185,0.0435476,0,0.0446281,0,0.0346758,0.0140768,0.0133617,0.0069,0,0.0253405,0.0487701,0.0419076,0,0,0.0248796,0,0,0.0227663,0.0709484,0.0178722,0.0268295,0.0327737,0.0571265,0.0389501,0.0302022,0.0459053,0.065199,0.0553946,0.0290769,0.027678,0.0140727,0.0374432,0.0362425,0.0306144,0.0124071,0.0100058,0.0577103,0.0462295,0,0,0,0,0,0,0,0,0
139,0.0295828,0.0609084,0,0,0,0.0389642,0,0.0116056,0.0428959,0,0,0,0.0193562,0,0,0.0428069,0.0560929,0.0455827,0.028569,0.0276965,0,0,0.0606825,0.0367411,0.0415832,0.0665381,0.066976,0.0291423,0.0599772,0.0606644,0.0299712,0.0438997,0,0.045766,0,0.0347731,0.0140649,0.0134795,0.00724233,0,0.0253647,0.0490682,0.0417428,0,0,0.0249082,0,0,0.0227192,0.0709254,0.0175972,0.0269564,0.0325493,0.0567839,0.0391762,0.0303427,0.0457613,0.0652026,0.0556184,0.029078,0.0278475,0.0143233,0.0376171,0.0349797,0.0307273,0.0124359,0.0100794,0.0576476,0.0461309,0,0,0,0,0,0,0,0,0
140,0.0293832,0.060873,0,0,0,0.0384211,0,0.0120968,0.0418092,0,0,0,0.0193118,0,0,0.0429526,0.0561353,0.0466117,0.0289747,0.0274647,0,0,0.0608843,0.0369902,0.0421166,0.0672862,0.0672532,0.0292764,0.0599227,0.0605877,0.0301435,0.0441002,0,0.0474703,0,0.0349171,0.0139862,0.013661,0.00765594,0,0.0253698,0.0494411,0.0415772,0,0,0.0249977,0,0,0.0226422,0.0709471,0.0173258,0.0270438,0.0323437,0.0566299,0.039456,0.0305912,0.0454607,0.0652779,0.0558883,0.0291166,0.0280549,0.0145912,0.0378004,0.033797,0.0307927,0.0124851,0.0101478,0.0575566,0.0459445,0,0,0,0,0,0,0,0,0
141,0.029173,0.0607483,0,0,0,0.0376352,0,0.0127334,0.0408692,0,0,0,0.0192763,0,0,0.043095,0.0563326,0.0480655,0.029537,0.0271837,0,0,0.0611153,0.0372763,0.0427895,0.0680314,0.06749,0.0294236,0.0598943,0.0605014,0.0302649,0.0442754,0,0.0499191,0,0.0350737,0.0139305,0.013827,0.00823262,0,0.0254385,0.0499119,0.0414176,0,0,0.0250929,0,0,0.0225988,0.0709887,0.0171479,0.0271036,0.0320435,0.0566609,0.039762,0.0308687,0.0450766,0.0654622,0.0562038,0.0291734,0.0283005,0.0148051,0.0379918,0.03271,0.0307656,0.012557,0.0101542,0.0575016,0.045729,0,0,0,0,0,0,0,0,0
142,0.0289365,0.0605959,0,0,0,0.0368387,0,0.0134148,0.0400438,0,0,0,0.0192986,0,0,0.0433123,0.0566238,0.0499491,0.0301447,0.0269907,0,0,0.0613537,0.0375824,0.0435067,0.0687838,0.0677071,0.0295284,0.0600343,0.0605103,0.0303836,0.044504,0,0.0531605,0,0.0352714,0.0140974,0.0138387,0.00886885,0,0.025422,0.0504782,0.0412851,0,0,0.0251944,0,0,0.0225888,0.0710012,0.0172168,0.0271538,0.0316776,0.0567169,0.0400339,0.0311218,0.0447253,0.0654068,0.0565538,0.0291919,0.0285549,0.0149942,0.0381428,0.031711,0.0307523,0.0126302,0.0101351,0.0574714,0.0455356,0,0,0,0,0,0,0,0,0
143,0.0286746,0.060466,0,0,0,0.0363328,0,0.0140386,0.0393733,0,0,0,0.0193197,0,0,0.0434542,0.05696,0.0520756,0.0307708,0.0269054,0,0,0.0617186,0.0378556,0.0442075,0.069644,0.0679211,0.0295148,0.0603802,0.0607195,0.0305814,0.0448278,0,0.0571005,0,0.0355086,0.0141747,0.0139035,0.00939833,0,0.0254329,0.0511851,0.0412086,0,0,0.0252669,0,0,0.0225824,0.070954,0.0171972,0.0271599,0.0313325,0.0565732,0.0401832,0.0313484,0.0444724,0.0653682,0.0568633,0.0292147,0.0287615,0.0152845,0.0381659,0.0307841,0.0308011,0.0126488,0.0101158,0.0574755,0.045536,0,0,0,0,0,0,0,0,0
144,0.0284161,0.0604077,0,0,0,0.0363091,0,0.0145375,0.0389136,0,0,0,0.0193168,0,0,0.0434832,0.0572133,0.0544133,0.031529,0.0269431,0,0,0.0622113,0.0381038,0.045001,0.0706239,0.0681633,0.0293403,0.0609958,0.0611768,0.0308954,0.0453246,0,0.0615645,0,0.0357584,0.0141473,0.0140198,0.00986024,0,0.0255051,0.0519865,0.0411627,0,0,0.0252551,0,0,0.0225509,0.0708355,0.0170422,0.0270962,0.0310441,0.0563581,0.0402016,0.0315565,0.0442895,0.065393,0.0571392,0.0292689,0.0288891,0.0156223,0.0380643,0.0299047,0.0309176,0.0126705,0.0100075,0.0575289,0.0457886,0,0,0,0,0,0,0,0,0
145,0.028184,0.0602867,0,0,0,0.0368005,0,0.0150059,0.0386381,0,0,0,0.0193057,0,0,0.0434429,0.0572351,0.056777,0.0324544,0.0271922,0,0,0.0628023,0.0383651,0.0459115,0.0716403,0.0683863,0.029367,0.0618651,0.0619088,0.0313216,0.0460945,0,0.0662123,0,0.0360051,0.0140749,0.0141349,0.0104188,0,0.0254624,0.0529367,0.04113,0,0,0.0251466,0,0,0.0224941,0.070677,0.0170184,0.0270059,0.0307278,0.0559988,0.0402056,0.0317816,0.0440959,0.0653818,0.057474,0.0293047,0.0289779,0.0158481,0.0380725,0.0288953,0.0310126,0.0126448,0.00991274,0.0576168,0.0456044,0,0,0,0,0,0,0,0,0
146,0.0279905,0.0601986,0,0,0,0.0376091,0,0.0154053,0.0385103,0,0,0,0.0192991,0,0,0.0433898,0.0572471,0.0589606,0.0333029,0.0275469,0,0,0.0634806,0.0385703,0.0476004,0.0726541,0.0685774,0.0295726,0.0628583,0.0628385,0.0321323,0.0469924,0,0.0705241,0,0.0362596,0.0139991,0.0142434,0.0111397,0,0.0253917,0.0540218,0.0411163,0,0,0.0250138,0,0,0.0224475,0.0705425,0.0170861,0.0269787,0.0304275,0.055551,0.0401525,0.0320212,0.0438765,0.0653357,0.0577852,0.029446,0.0291035,0.0157373,0.0381598,0.0277789,0.0311586,0.0125923,0.00977857,0.0577582,0.0452985,0,0,0,0,0,0,0,0,0
147,0.0278757,0.0601451,0,0,0,0.0385142,0,0.0156066,0.0384444,0,0,0,0.0192948,0,0,0.0433343,0.0573453,0.0606659,0.0341175,0.0278291,0,0,0.0641209,0.0387939,0.0489158,0.0736831,0.0686983,0.0299687,0.0639145,0.0639084,0.0331242,0.0478981,0,0.0741523,0,0.036534,0.0139803,0.0142885,0.0118935,0,0.0254077,0.0550659,0.0411395,0,0,0.0248698,0,0,0.0224481,0.0704708,0.0171068,0.0269681,0.0301887,0.0551395,0.0400364,0.0322327,0.043643,0.0652484,0.0580229,0.0295962,0.029215,0.0156829,0.0382691,0.0267023,0.0314456,0.0125471,0.00960146,0.0579056,0.0446223,0,0,0,0,0,0,0,0,0
148,0.0277424,0.0601828,0,0,0,0.0392961,0,0.0156667,0.0384656,0,0,0,0.0192337,0,0,0.0432479,0.0574937,0.061962,0.0348889,0.0280223,0,0,0.0646762,0.0389111,0.0498564,0.074688,0.0688379,0.0307653,0.0650611,0.0650267,0.0341809,0.0488218,0,0.07673,0,0.0367961,0.013981,0.0142952,0.0125515,0,0.0255121,0.0559792,0.0411168,0,0,0.0247016,0,0,0.0224228,0.0704894,0.0169767,0.0269487,0.0299437,0.0547486,0.0398786,0.0323678,0.0433378,0.0651096,0.0582488,0.0292022,0.0293095,0.0158506,0.038483,0.0258657,0.0317176,0.0124853,0.0094272,0.058105,0.0442298,0,0,0,0,0,0,0,0,0
149,0.0276373,0.0603325,0,0,0,0.0398198,0,0.0155689,0.0386449,0,0,0,0.0191448,0,0,0.0431711,0.0576586,0.062744,0.0355887,0.0281184,0,0,0.0650828,0.0389754,0.050756,0.0756679,0.0690043,0.0314563,0.0661953,0.0661302,0.0350953,0.0496075,0,0.0783467,0,0.0370054,0.0139676,0.0143167,0.0132475,0,0.0256075,0.0568873,0.04105,0,0,0.0245155,0,0,0.0224037,0.0705151,0.0169197,0.0269515,0.0297612,0.0544316,0.0397479,0.0324614,0.0429401,0.0649691,0.0584695,0.0289798,0.0293595,0.0159282,0.038837,0.0251817,0.0319092,0.0124047,0.00927691,0.0583456,0.0439708,0,0,0,0,0,0,0,0,0
150,0.0275311,0.0605191,0,0,0,0.0400389,0,0.0154323,0.0389859,0,0,0,0.019015,0,0,0.0430592,0.0577916,0.0629168,0.0362971,0.0280916,0,0,0.0653761,0.0390145,0.0516953,0.0766182,0.0692025,0.0321421,0.0669675,0.0671025,0.035956,0.0501347,0,0.0790419,0,0.0371621,0.0138832,0.0143876,0.0138856,0,0.0256585,0.0577557,0.0409721,0,0,0.0243331,0,0,0.022398,0.0705773,0.0170602,0.0269913,0.0296043,0.0541411,0.039629,0.0325363,0.0424647,0.0648087,0.0586892,0.0292479,0.0294054,0.0159164,0.0388912,0.0244304,0.0320636,0.0123599,0.00916584,0.0586068,0.0439049,0,0,0,0,0,0,0,0,0
