Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x75,x76,x78,x73,x77
29,0.0347776,0.0589868,0,0,0,0.0376883,0,0.0111666,0.0430396,0,0,0,0,0.0193336,0,0,0.0423573,0.0616223,0.0420593,0.0232555,0.0299312,0,0,0.0591178,0.0398608,0.0362222,0.0610444,0.0615481,0.0245699,0.0598046,0.0611386,0.0297497,0.0419026,0,0.0430326,0,0.0356961,0.0138388,0.0136356,0.00586754,0,0.0291016,0.0454576,0.0410676,0,0,0.0264657,0,0,0.0230347,0.07309,0.00585365,0.0244886,0.0378313,0.0561266,0.0388854,0.0288619,0.0445726,0.0646534,0.0532916,0.0304226,0.028074,0.0141101,0.0365079,0.0426019,0.0288746,0.0108,0.0134919,0.0561726,0.0528069,0,0,0,0,0,0,0,0,0
30,0.0347786,0.0591262,0,0,0,0.0375211,0,0.0109357,0.0423308,0,0,0,0,0.0193292,0,0,0.0426997,0.0614303,0.0439552,0.02361,0.0303051,0,0,0.0590871,0.040181,0.0370484,0.0615425,0.0619699,0.0247258,0.0609441,0.0616943,0.0303398,0.0433234,0,0.0459856,0,0.0359029,0.0143543,0.0133098,0.00581258,0,0.0292647,0.0458493,0.0410531,0,0,0.026191,0,0,0.0229212,0.073128,0.00564633,0.0242755,0.0374795,0.0556254,0.038782,0.029095,0.0446685,0.0646826,0.0535246,0.0303387,0.0281464,0.014028,0.036479,0.0419609,0.0292559,0.010751,0.0133766,0.0562957,0.0528886,0,0,0,0,0,0,0,0,0
31,0.0347339,0.0593141,0,0,0,0.0371456,0,0.0106949,0.0416103,0,0,0,0,0.0192769,0,0,0.0429109,0.0611576,0.0454313,0.0240107,0.030686,0,0,0.0588618,0.0403522,0.0376339,0.0620077,0.0623689,0.0248625,0.0617718,0.0622896,0.03097,0.0444585,0,0.0480609,0,0.0361321,0.0145058,0.0132808,0.00583725,0,0.0292641,0.0461107,0.0410403,0,0,0.0258534,0,0,0.0228345,0.0731375,0.00529889,0.0242481,0.037208,0.0553053,0.038646,0.0292251,0.0447435,0.0647274,0.0537324,0.0304064,0.02807,0.0141128,0.0365635,0.0409284,0.0297014,0.0106949,0.0132581,0.0564568,0.0529325,0,0,0,0,0,0,0,0,0
32,0.0346437,0.059539,0,0,0,0.0370379,0,0.0109853,0.0408179,0,0,0,0,0.0192114,0,0,0.0430435,0.0609082,0.046339,0.0242131,0.0310855,0,0,0.0586652,0.0404759,0.0380418,0.0625357,0.0628234,0.0251002,0.0624535,0.0628434,0.031581,0.0453919,0,0.049495,0,0.0363151,0.0144457,0.0134137,0.00614889,0,0.0292702,0.0464,0.0410273,0,0,0.0255974,0,0,0.022794,0.0731017,0.00484204,0.0243701,0.0369874,0.0551663,0.0383945,0.029294,0.0447319,0.0648038,0.0539654,0.0304399,0.028048,0.0143613,0.0367374,0.039579,0.0301453,0.0106743,0.0132048,0.0565752,0.0529469,0,0,0,0,0,0,0,0,0
33,0.0344885,0.0597608,0,0,0,0.037076,0,0.0113972,0.0400464,0,0,0,0,0.019195,0,0,0.0433381,0.0606493,0.0469621,0.0244705,0.0314171,0,0,0.0585559,0.0407894,0.0386456,0.0631265,0.0632946,0.0254079,0.0628262,0.0631636,0.0319599,0.0460635,0,0.050377,0,0.0363804,0.0147564,0.0133131,0.00673717,0,0.0293521,0.0467369,0.0409753,0,0,0.0254844,0,0,0.0227483,0.0730452,0.00437436,0.0245465,0.0367647,0.0551411,0.038377,0.029537,0.0445944,0.0649084,0.0542849,0.0303916,0.0281644,0.0147359,0.036895,0.0379907,0.0305142,0.0107444,0.0132076,0.0566423,0.0529186,0,0,0,0,0,0,0,0,0
34,0.0343565,0.0598832,0,0,0,0.0370659,0,0.011671,0.0392715,0,0,0,0,0.0192047,0,0,0.0436352,0.0604,0.0474294,0.0248072,0.0315599,0,0,0.0586198,0.0411328,0.0393899,0.063717,0.0637607,0.0256736,0.0630451,0.06327,0.0321309,0.0464872,0,0.0509642,0,0.0365909,0.0149849,0.0132725,0.00745258,0,0.0295186,0.0470622,0.0408796,0,0,0.0253445,0,0,0.0226808,0.0729961,0.00398624,0.0247632,0.0364865,0.0551713,0.0384094,0.029843,0.0442999,0.0649854,0.0545991,0.0304405,0.0283769,0.01505,0.037126,0.0364336,0.0307832,0.0108226,0.0132733,0.0568351,0.052852,0,0,0,0,0,0,0,0,0
35,0.0342618,0.0598972,0,0,0,0.0368717,0,0.0119348,0.0384676,0,0,0,0,0.0191962,0,0,0.0438936,0.0601972,0.0480135,0.025172,0.0314236,0,0,0.0588213,0.0413755,0.040409,0.0642603,0.0641454,0.0258845,0.0630232,0.0632627,0.0323042,0.0467451,0,0.051784,0,0.0369637,0.0150671,0.0133651,0.00819282,0,0.0297166,0.047362,0.0407856,0,0,0.0251847,0,0,0.022611,0.072966,0.00369705,0.0249445,0.0361331,0.0552823,0.0384855,0.0301488,0.0439013,0.0650114,0.0549139,0.0305786,0.0286819,0.0153294,0.0374297,0.0350547,0.0309022,0.010861,0.0133438,0.0570095,0.0527603,0,0,0,0,0,0,0,0,0
36,0.0341642,0.0598306,0,0,0,0.0365426,0,0.0123124,0.0376782,0,0,0,0,0.0191659,0,0,0.0440641,0.0600446,0.0490555,0.0256463,0.0309967,0,0,0.0591571,0.0415585,0.0412036,0.0649077,0.0644855,0.0259153,0.0630608,0.0631671,0.0324765,0.0468695,0,0.052822,0,0.0372606,0.0150173,0.0135597,0.00895822,0,0.0298413,0.0476848,0.0407183,0,0,0.0250545,0,0,0.0225879,0.0729487,0.00364021,0.0250011,0.035678,0.0554073,0.0387498,0.0304586,0.0434683,0.0650063,0.0552421,0.0306929,0.028971,0.0155919,0.0377523,0.0336671,0.0308946,0.0109316,0.0133988,0.0571239,0.0526429,0,0,0,0,0,0,0,0,0
37,0.0340337,0.0597204,0,0,0,0.036078,0,0.0129089,0.0371199,0,0,0,0,0.0191497,0,0,0.0441768,0.0600578,0.0502516,0.0263055,0.0304121,0,0,0.059625,0.0416873,0.041752,0.0656562,0.0647323,0.0259959,0.0630797,0.0629443,0.0324703,0.0469377,0,0.0544874,0,0.0373823,0.0149711,0.0137393,0.00978607,0,0.0298808,0.0480629,0.0406814,0,0,0.0251781,0,0,0.0226366,0.0728728,0.00373519,0.0249997,0.0352318,0.0555362,0.0391784,0.0307745,0.0431215,0.0649908,0.0556029,0.0308023,0.0291914,0.0157642,0.0379811,0.0321723,0.030861,0.0110621,0.0135384,0.0571834,0.0524721,0,0,0,0,0,0,0,0,0
38,0.0339084,0.0595917,0,0,0,0.035653,0,0.0135171,0.0366074,0,0,0,0,0.0191158,0,0,0.044211,0.0602119,0.0515173,0.0270335,0.0299285,0,0,0.0601959,0.0419186,0.0424551,0.066493,0.0649051,0.0261471,0.063087,0.0627811,0.0322967,0.0469583,0,0.0565989,0,0.0374804,0.0148859,0.0139307,0.0106095,0,0.029833,0.0485488,0.0406696,0,0,0.0253511,0,0,0.0226923,0.0727459,0.0038604,0.0249537,0.0350495,0.0555926,0.0395258,0.0310409,0.0428509,0.0650056,0.055964,0.0310176,0.0292772,0.0158538,0.0381581,0.0307199,0.0308332,0.0112491,0.0136846,0.0574134,0.0522644,0,0,0,0,0,0,0,0,0
39,0.0337715,0.0594636,0,0,0,0.0353331,0,0.0140892,0.0361199,0,0,0,0,0.0190006,0,0,0.0441258,0.0604007,0.0528188,0.0276473,0.0297123,0,0,0.0608326,0.041955,0.0434016,0.0672637,0.0650574,0.0262265,0.0630755,0.0627236,0.0322432,0.0469954,0,0.0589286,0,0.0377356,0.0146298,0.0142132,0.011521,0,0.0297539,0.0491923,0.040684,0,0,0.0253706,0,0,0.0226943,0.0726204,0.00397027,0.0248793,0.0346997,0.0554976,0.0397959,0.0313289,0.0426547,0.0650252,0.0563341,0.0311559,0.0292419,0.0159105,0.0382263,0.0292171,0.0308063,0.011357,0.0137387,0.0575857,0.052067,0,0,0,0,0,0,0,0,0
