Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x75,x76,x78,x73,x77
54,0.0325215,0.0612531,0,0,0,0.0296553,0,0.0177723,0.0411501,0,0,0,0,0.0187967,0,0,0.0430098,0.0606212,0.0472947,0.0373834,0.0238373,0,0,0.0641232,0.0413895,0.0529228,0.0779242,0.0669345,0.0325945,0.0681087,0.0712183,0.0404244,0.045297,0,0.0487851,0,0.0399081,0.0152082,0.0131526,0.0207515,0,0.0308955,0.0574927,0.0406935,0,0,0.0241494,0,0,0.0220797,0.0744444,0.00447236,0.0248484,0.0306845,0.0510367,0.0373991,0.0334352,0.0378241,0.0635307,0.0591548,0.0318487,0.030417,0.0174909,0.0392908,0.0164292,0.0328327,0.0106205,0.0118798,0.0586905,0.0492884,0,0,0,0,0,0,0,0,0
55,0.0325282,0.0613372,0,0,0,0.0301481,0,0.0184966,0.0424947,0,0,0,0,0.0187786,0,0,0.0429146,0.0603481,0.0449616,0.0377529,0.0232607,0,0,0.0639478,0.040984,0.0528978,0.0775804,0.0669015,0.0330858,0.0679499,0.0711944,0.0412911,0.0444657,0,0.0422176,0,0.0401299,0.015372,0.0129694,0.0213094,0,0.0312346,0.0571748,0.040742,0,0,0.0240055,0,0,0.021959,0.0748038,0.00410914,0.0250235,0.0307333,0.0508829,0.0369611,0.0335716,0.0372411,0.0631625,0.0591172,0.0319088,0.0305936,0.0176695,0.0394566,0.0158739,0.0331328,0.0104567,0.0116839,0.0587889,0.0490947,0,0,0,0,0,0,0,0,0
56,0.0325724,0.0614037,0,0,0,0.0313446,0,0.0193966,0.0440685,0,0,0,0,0.0187291,0,0,0.0427926,0.0599207,0.0428338,0.0381451,0.0229727,0,0,0.0637447,0.040455,0.0527168,0.0770318,0.0668379,0.033689,0.0677156,0.0711447,0.0419843,0.0436946,0,0.0357324,0,0.040331,0.0154244,0.0128742,0.0220537,0,0.0315495,0.0566759,0.0407895,0,0,0.0238553,0,0,0.0218731,0.0754181,0.00369748,0.025246,0.0309376,0.0507486,0.0365348,0.03367,0.0365233,0.0626668,0.0590362,0.0322918,0.0307173,0.017639,0.0396684,0.0150619,0.0334532,0.0103244,0.0115278,0.0588347,0.0488743,0,0,0,0,0,0,0,0,0
57,0.0326269,0.0614759,0,0,0,0.0326725,0,0.0206575,0.045778,0,0,0,0,0.0186589,0,0,0.0426757,0.0592605,0.041322,0.0385552,0.0232727,0,0,0.0635432,0.039826,0.0523913,0.0759159,0.0667485,0.0343835,0.067269,0.0709906,0.0424944,0.0429543,0,0.0302269,0,0.0405249,0.0153787,0.0128576,0.0230228,0,0.0319844,0.0559691,0.0408699,0,0,0.0235103,0,0,0.0218044,0.0763198,0.00329228,0.0255927,0.0313889,0.0506847,0.0361006,0.0337092,0.0357397,0.0621799,0.0588678,0.0326406,0.0308436,0.0178436,0.0399768,0.0139936,0.0337302,0.0102442,0.0113206,0.0589003,0.0485942,0,0,0,0,0,0,0,0,0
58,0.0326687,0.0615917,0,0,0,0.0341443,0,0.0219638,0.0472613,0,0,0,0,0.0185898,0,0,0.0425938,0.0585766,0.0403683,0.0387886,0.0240614,0,0,0.0632839,0.0392069,0.0518065,0.0743132,0.0665544,0.0348011,0.0666454,0.0706989,0.0427302,0.0423073,0,0.0257842,0,0.0407006,0.0154364,0.0128124,0.0238926,0,0.0324657,0.0551777,0.0410046,0,0,0.0232111,0,0,0.0217489,0.0771078,0.00298595,0.026121,0.0319516,0.0505769,0.0356833,0.0336987,0.0350579,0.0616855,0.058646,0.0329343,0.0311576,0.0180922,0.0401852,0.0129967,0.0339778,0.0102017,0.0111546,0.0590755,0.0482553,0,0,0,0,0,0,0,0,0
59,0.0332987,0.0612675,0,0,0,0.0341617,0,0.023427,0.0487383,0,0,0,0,0.0127049,0,0,0.033826,0.0577083,0.0401971,0.0392637,0.0255571,0,0,0.0632551,0.0353267,0.0510492,0.0722323,0.0663978,0.0349768,0.0656733,0.0700781,0.0427728,0.0412265,0,0.0237309,0,0.0409637,0,0.0208264,0.0247657,0,0.0328117,0.0542942,0.0410318,0,0,0.023275,0,0,0.0217755,0.0778346,0.00277053,0.026502,0.0324161,0.0506272,0.0350853,0.0338418,0.0344768,0.0612484,0.0585846,0.0332209,0.0315863,0.0178956,0.0402902,0.0120227,0.0336947,0.0101819,0.0112381,0.0588604,0.0481102,0,0,0,0,0,0,0,0,0
60,0.0328428,0.0618324,0,0,0,0.0338648,0,0.024528,0.0498966,0,0,0,0,0.0181677,0,0,0.0426421,0.0572379,0.0401711,0.0393593,0.0273841,0,0,0.0625314,0.0380997,0.0503418,0.070114,0.0661647,0.0346626,0.0646967,0.0694677,0.0427626,0.0401391,0,0.0230969,0,0.0411016,0.0151367,0.0134149,0.0255602,0,0.0330826,0.0538018,0.0412322,0,0,0.0227387,0,0,0.0216242,0.0785356,0.00253678,0.0267384,0.0328586,0.0500719,0.0349861,0.033941,0.0338757,0.0607696,0.05836,0.033519,0.0314642,0.018085,0.0405299,0.0111793,0.0343838,0.0100991,0.0109116,0.0594852,0.047741,0,0,0,0,0,0,0,0,0
61,0.0328543,0.0619909,0,0,0,0.0350487,0,0.023964,0.050187,0,0,0,0,0.0181146,0,0,0.0426203,0.0571163,0.041751,0.0390226,0.0288067,0,0,0.0621686,0.0376607,0.0499726,0.0684276,0.0658088,0.0341488,0.0636267,0.0690395,0.0420358,0.03806,0,0.023882,0,0.0412898,0.0150543,0.013383,0.0261418,0,0.0332938,0.053485,0.0412723,0,0,0.0225256,0,0,0.0215708,0.07904,0.00245078,0.027054,0.0331848,0.0499018,0.034629,0.0338809,0.0333301,0.0603713,0.0581524,0.0336092,0.0313677,0.0185488,0.0406173,0.0106125,0.0346263,0.0100709,0.0106978,0.0595549,0.0477205,0,0,0,0,0,0,0,0,0
62,0.0327172,0.0623523,0,0,0,0.036009,0,0.0238513,0.05069,0,0,0,0,0.0176151,0,0,0.0435557,0.0567633,0.0420786,0.0386793,0.0268061,0,0,0.0612345,0.0376346,0.0485325,0.0675098,0.0655078,0.0329724,0.0650844,0.0701769,0.0429432,0.0397817,0,0.0231142,0,0.0411545,0.0146989,0.0123714,0.0249942,0,0.0330078,0.0536069,0.0409894,0,0,0.0225458,0,0,0.0215323,0.0796903,0.00224991,0.0271243,0.0338071,0.0486903,0.0344424,0.0338035,0.032404,0.0597013,0.0578764,0.0339427,0.0307037,0.0185697,0.0408586,0.0118697,0.0346457,0.00984811,0.010692,0.0600325,0.0476829,0,0,0,0,0,0,0,0,0
63,0.0326552,0.0625833,0,0,0,0.0373928,0,0.0234662,0.0508117,0,0,0,0,0.0174679,0,0,0.0439599,0.0565718,0.0432312,0.038512,0.026496,0,0,0.0606726,0.0376009,0.0477221,0.0670285,0.0654625,0.0325777,0.0657406,0.0709206,0.0432101,0.0401396,0,0.0236892,0,0.0411194,0.0146128,0.0120588,0.0252838,0,0.0329787,0.0537029,0.0409045,0,0,0.0223566,0,0,0.0215631,0.080041,0.00226772,0.0273156,0.0340355,0.0480539,0.0340492,0.0336086,0.0320877,0.0593629,0.057608,0.0337682,0.0307098,0.018477,0.0407231,0.0116673,0.0348555,0.00973007,0.0105653,0.0601762,0.0477508,0,0,0,0,0,0,0,0,0
64,0.0326945,0.0627118,0,0,0,0.0378354,0,0.0233308,0.0507903,0,0,0,0,0.0173846,0,0,0.0440701,0.056456,0.0435874,0.0384572,0.026575,0,0,0.060247,0.0376855,0.0471301,0.0669792,0.0653113,0.0326623,0.065922,0.0711151,0.0433421,0.0402695,0,0.0239356,0,0.0411213,0.0145808,0.0121327,0.0256615,0,0.0327392,0.0539501,0.0408609,0,0,0.022154,0,0,0.0215661,0.0802626,0.00254341,0.0265841,0.0342341,0.0476707,0.0336597,0.0335615,0.0319372,0.0591543,0.0573706,0.0337139,0.0306279,0.0182778,0.0404774,0.0113551,0.0350751,0.00972213,0.0104001,0.0601872,0.0478248,0,0,0,0,0,0,0,0,0
65,0.0328327,0.0627466,0,0,0,0.0373684,0,0.0234976,0.0504974,0,0,0,0,0.0174381,0,0,0.0439927,0.0564289,0.0429724,0.0384379,0.0272334,0,0,0.0601073,0.0376556,0.0472876,0.0669623,0.0651195,0.0330934,0.0656539,0.0707947,0.0433057,0.04017,0,0.0235053,0,0.0411649,0.0147649,0.0123894,0.0261054,0,0.0323111,0.0542715,0.0408677,0,0,0.0219315,0,0,0.0215119,0.080381,0.00331033,0.0256222,0.0342054,0.0475717,0.0332056,0.033546,0.0319731,0.059034,0.0572716,0.033624,0.0305184,0.0180938,0.0402999,0.0110647,0.0353265,0.00966306,0.0101829,0.0600522,0.0479481,0,0,0,0,0,0,0,0,0
66,0.0330166,0.0626572,0,0,0,0.0359767,0,0.0240866,0.0500318,0,0,0,0,0.0175806,0,0,0.0435781,0.0564501,0.0414007,0.0385816,0.0285728,0,0,0.0602661,0.0375085,0.0483082,0.0672916,0.0650638,0.0335903,0.0650174,0.0700542,0.0431429,0.0398991,0,0.0227027,0,0.0412328,0.0148317,0.0130296,0.0264954,0,0.0316906,0.0544837,0.040902,0,0,0.0217087,0,0,0.0214405,0.0803714,0.00471189,0.0251044,0.0339963,0.0476173,0.0327371,0.0336433,0.0320749,0.0590057,0.0573163,0.0332826,0.0304061,0.017833,0.0399699,0.0109476,0.0355661,0.00970248,0.0099573,0.0597591,0.0481677,0,0,0,0,0,0,0,0,0
67,0.0330903,0.0624719,0,0,0,0.0340961,0,0.0250477,0.0493584,0,0,0,0,0.0179693,0,0,0.0429341,0.0564782,0.0394815,0.0389426,0.0303046,0,0,0.0605848,0.037239,0.0496077,0.0678889,0.0651872,0.0338329,0.0643765,0.069252,0.043028,0.0397054,0,0.0222752,0,0.0413075,0.0151726,0.0137667,0.0289076,0,0.0315058,0.0547688,0.0410738,0,0,0.0213606,0,0,0.0214827,0.0798667,0.00530682,0.0248979,0.0332872,0.048059,0.0322331,0.0336122,0.0328367,0.0593865,0.0573537,0.032254,0.0313813,0.0180626,0.0387406,0.00926167,0.0358394,0.00982943,0.0096988,0.0593179,0.0484002,0,0,0,0,0,0,0,0,0
68,0.0331062,0.0624194,0,0,0,0.0338749,0,0.0244945,0.0488602,0,0,0,0,0.0178779,0,0,0.042922,0.0562596,0.0389952,0.0392171,0.0290861,0,0,0.0604955,0.0373173,0.0500834,0.0690663,0.0653398,0.0335108,0.0648136,0.0695385,0.0431076,0.0404938,0,0.0219786,0,0.0411318,0.0150956,0.0139003,0.0293525,0,0.030618,0.0550117,0.0409986,0,0,0.0212444,0,0,0.0214788,0.0794356,0.00671719,0.024634,0.0336393,0.0478876,0.0320527,0.033406,0.033094,0.0594035,0.0572606,0.0317681,0.0314008,0.0180315,0.0381639,0.00946943,0.0358566,0.00985703,0.00967845,0.0592329,0.048443,0,0,0,0,0,0,0,0,0
69,0.0331349,0.0623999,0,0,0,0.0343137,0,0.0238936,0.0477951,0,0,0,0,0.0177793,0,0,0.0427245,0.0562608,0.0389071,0.039112,0.0276078,0,0,0.0605595,0.0374291,0.050517,0.0705243,0.0654257,0.033168,0.065399,0.0697584,0.0431709,0.0416403,0,0.0213533,0,0.0409881,0.014851,0.014047,0.0294085,0,0.0296553,0.0550102,0.0409223,0,0,0.0211819,0,0,0.0214152,0.0789729,0.00803949,0.0246334,0.0339189,0.0476927,0.0318896,0.0328137,0.0332966,0.0593408,0.0569253,0.031343,0.0313456,0.017496,0.0376717,0.0101493,0.0359394,0.0098334,0.00963282,0.0590995,0.0484495,0,0,0,0,0,0,0,0,0
70,0.0331108,0.0623884,0,0,0,0.0342326,0,0.0240138,0.0469519,0,0,0,0,0.0177671,0,0,0.0425297,0.0561152,0.0390987,0.0392068,0.0266714,0,0,0.0605783,0.0376119,0.050743,0.0715747,0.0655263,0.0329119,0.0658759,0.069782,0.043133,0.042755,0,0.0216579,0,0.0408345,0.0146979,0.0140685,0.0293846,0,0.0286476,0.0550071,0.0408034,0,0,0.0211421,0,0,0.0213542,0.0787487,0.00922266,0.0243578,0.0340102,0.0474564,0.0317853,0.0323997,0.0335055,0.0593117,0.0566419,0.0310947,0.0312044,0.0173077,0.0370426,0.011191,0.0360089,0.00979739,0.00958903,0.0590244,0.0484923,0,0,0,0,0,0,0,0,0
71,0.0330979,0.0624352,0,0,0,0.032789,0,0.0244962,0.0467194,0,0,0,0,0.017824,0,0,0.042337,0.0556495,0.0389365,0.0396553,0.026197,0,0,0.0606816,0.0377902,0.0507372,0.0717863,0.0656001,0.0326495,0.066207,0.0699202,0.0428588,0.043252,0,0.022541,0,0.040772,0.0144786,0.0141939,0.0294018,0,0.0277421,0.0547591,0.0406232,0,0,0.0210541,0,0,0.0212858,0.0787692,0.0102397,0.0243382,0.0339646,0.0471942,0.0315631,0.0322032,0.0335995,0.0592779,0.0564354,0.0306868,0.0309988,0.0175903,0.0363434,0.0125346,0.0361383,0.00974115,0.00949966,0.0590567,0.0485219,0,0,0,0,0,0,0,0,0
72,0.0331662,0.0625514,0,0,0,0.0303863,0,0.0239737,0.0468346,0,0,0,0,0.0178584,0,0,0.0422555,0.0551792,0.03798,0.0400806,0.0257504,0,0,0.0609848,0.038045,0.0502868,0.0714889,0.0653027,0.0319181,0.066262,0.0701825,0.0422663,0.0428703,0,0.0224588,0,0.0407873,0.0145119,0.0141922,0.0297979,0,0.0267818,0.0540298,0.0403859,0,0,0.0209292,0,0,0.0212091,0.0789053,0.0114634,0.0250216,0.0340803,0.0469374,0.0311742,0.0317724,0.0338029,0.059192,0.0561224,0.0300577,0.0308117,0.017961,0.0356345,0.0138864,0.0363564,0.00969908,0.0093542,0.0591591,0.0484601,0,0,0,0,0,0,0,0,0
73,0.0332779,0.062716,0,0,0,0.0277786,0,0.0229264,0.0473044,0,0,0,0,0.0178401,0,0,0.042029,0.0547915,0.0364137,0.0405381,0.0258061,0,0,0.0613566,0.0383565,0.0494734,0.0707258,0.0646495,0.0306824,0.0657293,0.070068,0.0415114,0.0417189,0,0.0220317,0,0.0408144,0.0143859,0.0143064,0.0303361,0,0.0257964,0.0529444,0.0401554,0,0,0.0208313,0,0,0.0211614,0.0791526,0.0126673,0.0252411,0.0347031,0.0466521,0.0307905,0.0311469,0.033991,0.059008,0.0556522,0.0293412,0.0306701,0.0178172,0.0349417,0.0154937,0.036551,0.00959487,0.00922769,0.059306,0.0483949,0,0,0,0,0,0,0,0,0
74,0.0330884,0.062757,0,0,0,0.0267998,0,0.0225747,0.0478452,0,0,0,0,0.0177432,0,0,0.0417062,0.054511,0.0345948,0.0409404,0.0265425,0,0,0.0620374,0.0386249,0.0484257,0.0697734,0.0639515,0.0291928,0.0649266,0.0696672,0.0408878,0.0403738,0,0.0214589,0,0.0408103,0.014069,0.0145158,0.0319717,0,0.0251839,0.0514551,0.0398919,0,0,0.0207498,0,0,0.0212274,0.0796545,0.0132349,0.0247627,0.0347371,0.0463946,0.0305175,0.029884,0.0341889,0.0587736,0.0547392,0.0293632,0.0318015,0,0.0343508,0.0158446,0.0366643,0.00960106,0.00912682,0.0593142,0.0486965,0,0,0,0,0,0,0,0,0
75,0.0330241,0.0628186,0,0,0,0.0267474,0,0.0229123,0.0483705,0,0,0,0,0.0176604,0,0,0.0415867,0.0542737,0.0331066,0.0410211,0.0270493,0,0,0.0627532,0.0388174,0.0473672,0.0691978,0.0636917,0.0277978,0.064657,0.0693742,0.0406161,0.0395703,0,0.0207027,0,0.0407946,0.0141061,0.0144496,0.0311157,0,0.0238411,0.0503736,0.0397078,0,0,0.0205799,0,0,0.0213255,0.0797808,0.0145336,0.0246647,0.0365534,0.0463569,0.0302451,0.0295393,0.0343433,0.0586214,0.0542418,0.0284257,0.0301037,0.0145272,0.0334388,0.0202622,0.0368035,0.00965596,0.00905354,0.0594338,0.0488493,0,0,0,0,0,0,0,0,0
76,0.032967,0.0628794,0,0,0,0.027217,0,0.0228583,0.0483555,0,0,0,0,0.0177523,0,0,0.0417406,0.0543003,0.0322405,0.0408618,0.0270812,0,0,0.0637472,0.0394351,0.0464922,0.0688994,0.0634661,0.0262328,0.0654437,0.0697476,0.0406734,0.0397409,0,0.0203369,0,0.040637,0.0145353,0.0139371,0.0316498,0,0.0229551,0.0491058,0.0394245,0,0,0.0203738,0,0,0.0213775,0.0797833,0.0155612,0.0243522,0.0373933,0.0464887,0.0299945,0.028575,0.0348147,0.058598,0.0532989,0.027686,0.0294749,0.0138252,0.0324333,0.023605,0.0368837,0.00969037,0.00905394,0.0595553,0.0492979,0,0,0,0,0,0,0,0,0
77,0.0329686,0.0628932,0,0,0,0.0277732,0,0.0223892,0.0481043,0,0,0,0,0.0178613,0,0,0.0418151,0.0544709,0.0320571,0.0405496,0.0269837,0,0,0.064445,0.04034,0.0455601,0.0682591,0.0628091,0.0248139,0.0660701,0.0702685,0.0406616,0.0403326,0,0.0206592,0,0.0403448,0.0146857,0.0136832,0.0324658,0,0.0220328,0.0481679,0.0390539,0,0,0.0203308,0,0,0.0214423,0.0794858,0.0169367,0.0239614,0.0377472,0.0469222,0.0298839,0.027788,0.0354911,0.0589412,0.0527433,0.0270864,0.0282931,0.0134971,0.0314251,0.0275592,0.0368541,0.00967759,0.00909258,0.0596632,0.0499756,0,0,0,0,0,0,0,0,0
78,0.0330755,0.0628271,0,0,0,0.0287583,0,0.021821,0.0476621,0,0,0,0,0.0179366,0,0,0.0418274,0.0547281,0.0321482,0.0402015,0.0270226,0,0,0.064742,0.0413802,0.044549,0.0675018,0.0619823,0.023671,0.0662136,0.0703917,0.0403065,0.0408242,0,0.0205439,0,0.0399186,0.0145968,0.0137064,0.0329728,0,0.0211253,0.0472063,0.0386556,0,0,0.02039,0,0,0.0215067,0.078945,0.0188104,0.0235037,0.0377986,0.0477163,0.0298404,0.0274435,0.0363491,0.0598237,0.0526803,0.0268334,0.0265846,0.0130072,0.0304209,0.0318204,0.0367604,0.0096693,0.00921364,0.059625,0.0507834,0,0,0,0,0,0,0,0,0
79,0.0332861,0.0626571,0,0,0,0.0299709,0,0.0211663,0.0469447,0,0,0,0,0.0180882,0,0,0.0419501,0.0551139,0.0322533,0.0398944,0.0273524,0,0,0.0647277,0.042414,0.0438302,0.0668636,0.0612722,0.0230302,0.0659661,0.0700098,0.0397119,0.0410304,0,0.0198141,0,0.0394005,0.0144741,0.0137665,0.0325487,0,0.0203546,0.0460994,0.0382522,0,0,0.0205242,0,0,0.0215376,0.0783186,0.0210044,0.0230229,0.0375862,0.0488408,0.0299118,0.0276524,0.0374716,0.0610303,0.0530352,0.0264602,0.0247233,0.0124129,0.0293605,0.0363783,0.036577,0.00967327,0.00944188,0.0594388,0.051465,0,0,0,0,0,0,0,0,0
80,0.0333224,0.0623709,0,0,0,0.0309979,0,0.0206629,0.0459887,0,0,0,0,0.0183568,0,0,0.0421485,0.0556004,0.0321244,0.039788,0.0278088,0,0,0.0646811,0.0435188,0.0433827,0.0663296,0.0607073,0.0227774,0.0654197,0.069347,0.0390906,0.0409777,0,0.0189722,0,0.038831,0.0143658,0.0138344,0.0317758,0,0.0196372,0.0449222,0.0379077,0,0,0.0207627,0,0,0.0215743,0.0777591,0.023359,0.0224857,0.0370338,0.0501806,0.0301394,0.0281703,0.0387003,0.0624352,0.0537469,0.0256867,0.023151,0.0120597,0.0282306,0.0406945,0.0362279,0.00970651,0.00977569,0.0590982,0.0521132,0,0,0,0,0,0,0,0,0
81,0.0334414,0.0619758,0,0,0,0.0315706,0,0.0205449,0.0448454,0,0,0,0,0.018717,0,0,0.0423274,0.0558688,0.0314679,0.0399997,0.0278579,0,0,0.0648605,0.0446412,0.0431055,0.0659432,0.0602793,0.0224936,0.0648892,0.0687928,0.0385635,0.0407277,0,0.018064,0,0.0382276,0.0141863,0.0140621,0.0311212,0,0.0187023,0.0439276,0.0376115,0,0,0.0210607,0,0,0.0215709,0.0772532,0.0256782,0.0218962,0.0361021,0.051605,0.0305734,0.0290558,0.0401238,0.0640778,0.0547778,0.0250316,0.0221388,0.0121802,0.0272755,0.0444567,0.0357235,0.00975493,0.0102323,0.0586168,0.0527178,0,0,0,0,0,0,0,0,0
82,0.0338628,0.0613859,0,0,0,0.0318512,0,0.0206676,0.0436849,0,0,0,0,0.0192415,0,0,0.0425332,0.0557813,0.0304079,0.0404201,0.0276028,0,0,0.0652476,0.045719,0.0430764,0.065819,0.0601092,0.0220895,0.0645254,0.0685451,0.0382627,0.0404609,0,0.0170653,0,0.0375978,0.0140411,0.0143058,0.0297687,0,0.0182868,0.0432387,0.0373597,0,0,0.0215126,0,0,0.0215113,0.0767346,0.0275986,0.0212299,0.0350133,0.0528958,0.0311195,0.0304822,0.0417166,0.0658757,0.0561029,0.0245988,0.0214588,0.0122733,0.0265028,0.0479749,0.0350938,0.00979959,0.0107392,0.0580869,0.0531772,0,0,0,0,0,0,0,0,0
83,0.0341542,0.0604936,0,0,0,0.031899,0,0.0208035,0.0428981,0,0,0,0,0.0197589,0,0,0.042782,0.0554115,0.0291867,0.041092,0.0275854,0,0,0.0656784,0.0467092,0.042979,0.0658635,0.0601468,0.0215933,0.0644422,0.0686477,0.0382575,0.0401563,0,0.0161357,0,0.0370385,0.0138616,0.0147039,0.0282253,0,0.0184032,0.0428729,0.0371561,0,0,0.0220759,0,0,0.0215188,0.0762306,0.0286913,0.0204493,0.0340091,0.0539902,0.0317295,0.0322377,0.0433972,0.0677447,0.0576318,0.0239458,0.0211431,0.0118951,0.0261949,0.0511068,0.0344311,0.00991707,0.0113042,0.0575288,0.0535423,0,0,0,0,0,0,0,0,0
84,0.0342647,0.0600073,0,0,0,0.0318673,0,0.0209316,0.0428041,0,0,0,0,0.02026,0,0,0.0428887,0.0552592,0.0282076,0.0420258,0.027945,0,0,0.0661206,0.0476627,0.0425323,0.0657235,0.0600936,0.0210127,0.0645714,0.068922,0.0384985,0.0400314,0,0.0156716,0,0.0366065,0.0137933,0.0149219,0.0253254,0,0.0191041,0.0426964,0.0370918,0,0,0.0226537,0,0,0.0215395,0.075851,0.0293187,0.0195967,0.0332034,0.0549405,0.0322599,0.0339972,0.0449884,0.0694119,0.059119,0.0231095,0.0210408,0.0115538,0.0258713,0.0543153,0.0338679,0.0100223,0.0117313,0.0569185,0.0538888,0,0,0,0,0,0,0,0,0
85,0.0342879,0.0597954,0,0,0,0.0317619,0,0.0210636,0.0434523,0,0,0,0,0.0206802,0,0,0.0428835,0.05524,0.027596,0.0428834,0.028468,0,0,0.0664575,0.0485088,0.0418363,0.0652441,0.0597503,0.0206226,0.0648487,0.0691798,0.0387942,0.0400293,0,0.0155756,0,0.0363394,0.0137868,0.0150057,0.0215858,0,0.0199756,0.0426659,0.0371548,0,0,0.0231361,0,0,0.021555,0.0756388,0.0301906,0.0187292,0.032794,0.0556301,0.0326367,0.0353966,0.0464764,0.0707135,0.0601269,0.0226277,0.0210996,0.0113099,0.0255517,0.0576806,0.0334047,0.010108,0.0119878,0.0562632,0.0541419,0,0,0,0,0,0,0,0,0
86,0.0343277,0.0596337,0,0,0,0.0315115,0,0.0212281,0.044657,0,0,0,0,0.0210387,0,0,0.0427896,0.0552715,0.027228,0.0434549,0.0288663,0,0,0.0666487,0.0489492,0.0410195,0.0645615,0.0592427,0.0204089,0.065026,0.069366,0.03893,0.0399849,0,0.0154904,0,0.0362023,0.0137927,0.0149724,0.0189826,0,0.0211934,0.0426748,0.0373537,0,0,0.0234899,0,0,0.0215408,0.075663,0.0323366,0.0178521,0.032568,0.0560477,0.0328729,0.0361516,0.0476525,0.0716028,0.0606038,0.0223634,0.0211348,0.010912,0.0256761,0.0617828,0.0330804,0.0100997,0.0121031,0.0556751,0.0544955,0,0,0,0,0,0,0,0,0
87,0.0344472,0.0594503,0,0,0,0.0312738,0,0.021462,0.0461788,0,0,0,0,0.0213739,0,0,0.0426002,0.0552331,0.0269715,0.0438132,0.0290121,0,0,0.0666134,0.049113,0.0401114,0.0638328,0.0587866,0.0203885,0.0649425,0.0694111,0.0389196,0.0397865,0,0.0152343,0,0.0361214,0.0138849,0.0146797,0.0189051,0,0.0227658,0.0426413,0.0376258,0,0,0.0237638,0,0,0.0215062,0.0757595,0.0352729,0.0171739,0.0322916,0.0561516,0.0330765,0.0362942,0.048441,0.0720815,0.0607609,0.0223171,0.0210792,0.0103536,0.0262114,0.0667921,0.0328731,0.0100502,0.0121047,0.0552922,0.0545796,0,0,0,0,0,0,0,0,0
88,0.0345649,0.059388,0,0,0,0.0312154,0,0.0216324,0.0476035,0,0,0,0,0.0214321,0,0,0.0423992,0.0551393,0.0267501,0.0438975,0.0290393,0,0,0.0664908,0.0492602,0.0388705,0.0631761,0.0584389,0.0203919,0.064687,0.0693593,0.0388064,0.0395116,0,0.0146705,0,0.0361078,0.0139152,0.0144753,0.0201809,0,0.0235993,0.0424396,0.0378509,0,0,0.0238331,0,0,0.0215442,0.0758643,0.0374148,0.0166173,0.0323639,0.0560458,0.0331816,0.0362876,0.048949,0.0723972,0.06071,0.0224252,0.0209069,0.0100177,0.0266728,0.0707395,0.0328414,0.0100228,0.0120561,0.0551492,0.0546727,0,0,0,0,0,0,0,0,0
89,0.0346771,0.0594511,0,0,0,0.0314599,0,0.0217782,0.0488602,0,0,0,0,0.0212681,0,0,0.0422519,0.0549517,0.0265073,0.0438921,0.0290565,0,0,0.0662149,0.0490414,0.03785,0.0625756,0.0582059,0.0204477,0.0645037,0.0692617,0.0386343,0.039195,0,0.0138394,0,0.0361304,0.0139118,0.014346,0.0213241,0,0.0235664,0.0421406,0.0380621,0,0,0.0237483,0,0,0.0216469,0.0760526,0.0384875,0.0161195,0.0330108,0.0558084,0.033213,0.0363347,0.0493941,0.0726787,0.0605651,0.0228737,0.0205067,0.00980797,0.0267717,0.0727566,0.0328824,0.0100278,0.0120206,0.0551417,0.0547786,0,0,0,0,0,0,0,0,0
90,0.0348586,0.0594093,0,0,0,0.0319925,0,0.0219255,0.0500339,0,0,0,0,0.0209501,0,0,0.0422026,0.0547474,0.0261623,0.0439398,0.0290279,0,0,0.065766,0.048345,0.0371487,0.0620597,0.057966,0.0205752,0.0641461,0.0691838,0.038494,0.038883,0,0.0127988,0,0.0361849,0.0139019,0.0142194,0.0219148,0,0.0235187,0.0417577,0.0384021,0,0,0.023656,0,0,0.021731,0.0763585,0.0388182,0.0156531,0.0339962,0.0555588,0.0331559,0.0364319,0.0498426,0.0729853,0.0604804,0.0233437,0.0198965,0.00947252,0.0268995,0.0735259,0.0329086,0.0100681,0.0120272,0.0550947,0.0548128,0,0,0,0,0,0,0,0,0
