Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x76,x77,LTHI,RANK,x75,LBL,
48,0.0320942,0.0607654,0,0,0,0.0482825,0,0.0191809,0.0638314,0,0,0,0.0209595,0,0,0.0433906,0.0524467,0.020532,0.0428308,0.0279945,0,0,0.0615979,0.0394646,0.0549437,0.0571902,0.0252989,0.0641063,0.0683757,0.0394663,0.0397502,0,0.0127243,0,0.0335572,0.0132866,0.0153271,0.0191116,0,0.0414155,0.0429451,0,0,0.0195807,0,0,0.023537,0.0756035,0.0363207,0.0176172,0.0310364,0.0584836,0.0338612,0.0347185,0.053223,0.0741656,0.0583652,0.0228783,0.0216319,0.00701076,0.0524784,0.037018,0.0101653,0.00869437,0.0539163,0.053459,0,0,0,0,0,0,0,0.0309592,0.0261874,0,0,0
49,0.0321236,0.0606387,0,0,0,0.0487843,0,0.0190326,0.064445,0,0,0,0.0214396,0,0,0.0431129,0.0527037,0.0201985,0.0424175,0.0281359,0,0,0.0611133,0.0397455,0.0543945,0.0571627,0.0256003,0.0641646,0.0684035,0.0396112,0.0395962,0,0.0133823,0,0.0334395,0.0132933,0.0151415,0.0191135,0,0.041667,0.0427547,0,0,0.0195211,0,0,0.0234397,0.0757611,0.0366334,0.0178389,0.0314594,0.0590355,0.0333887,0.0345815,0.0537146,0.0742047,0.0581126,0.0231795,0.0214672,0.00696226,0.0526516,0.0371243,0.010097,0.00849299,0.0539616,0.0534795,0,0,0,0,0,0,0,0.0306124,0.0262845,0,0,0
50,0.0321516,0.0605237,0,0,0,0.0470946,0,0.0202893,0.0658121,0,0,0,0.0216176,0,0,0.0429385,0.0527868,0.0214041,0.0422451,0.028252,0,0,0.0603589,0.039781,0.0534691,0.0572273,0.0259697,0.0634451,0.0678617,0.0394025,0.0386797,0,0.0117499,0,0.0333571,0.0131119,0.0154646,0.0192199,0,0.0418152,0.0427078,0,0,0.0192605,0,0,0.0236185,0.0762376,0.0366615,0.0183676,0.0317701,0.0596334,0.0329746,0.034558,0.0540912,0.0741746,0.0580556,0.0237764,0.0209736,0.00669027,0.0529606,0.0374273,0.0100967,0.00833343,0.0541092,0.0534469,0,0,0,0,0,0,0,0.0304397,0.0264971,0,0,0
51,0.032153,0.0604896,0,0,0,0.0466482,0,0.0206747,0.0667189,0,0,0,0.021976,0,0,0.0426456,0.0529839,0.0217454,0.0418342,0.02839,0,0,0.0597089,0.0399511,0.0528186,0.0571835,0.0262134,0.063188,0.0676551,0.039367,0.0383819,0,0.0114826,0,0.0333385,0.0131673,0.0153553,0.01932,0,0.0419186,0.0426321,0,0,0.0191472,0,0,0.0236664,0.0764564,0.0370499,0.0187769,0.032187,0.0599712,0.0325028,0.0345102,0.0546812,0.0742199,0.0579342,0.0244683,0.0204771,0.00632883,0.0534019,0.0376869,0.0100827,0.00806748,0.0543125,0.0534372,0,0,0,0,0,0,0,0.0300553,0.026705,0,0,0
52,0.0321369,0.0605027,0,0,0,0.0460872,0,0.0210382,0.0675872,0,0,0,0.0222693,0,0,0.0423529,0.0532586,0.0220895,0.0414236,0.028559,0,0,0.0590337,0.040068,0.0522238,0.057157,0.0264134,0.062895,0.0674035,0.0393013,0.0379521,0,0.0110841,0,0.0333505,0.0131825,0.0152439,0.0195802,0,0.041998,0.0425423,0,0,0.0190365,0,0,0.0236888,0.0767467,0.0376361,0.0191942,0.0327039,0.0601697,0.0320423,0.0345189,0.0554354,0.0743726,0.0578741,0.0251803,0.0199861,0.0061093,0.0541447,0.0378756,0.0100017,0.00779356,0.0544749,0.0533887,0,0,0,0,0,0,0,0.0296734,0.0266831,0,0,0
53,0.0321778,0.0604748,0,0,0,0.045425,0,0.0213845,0.0683611,0,0,0,0.0225492,0,0,0.0420157,0.0536316,0.0223387,0.0410131,0.0287381,0,0,0.0583707,0.0401737,0.0516702,0.0571526,0.0265988,0.062591,0.0671215,0.0391907,0.0375195,0,0.0105513,0,0.0332957,0.0132149,0.0151521,0.0198888,0,0.0421259,0.0424058,0,0,0.0189266,0,0,0.02365,0.0770848,0.0383863,0.019546,0.0334009,0.0603368,0.0316467,0.0346271,0.0563235,0.0745474,0.0578399,0.0258878,0.0195136,0.00596522,0.0555231,0.0380601,0.00988903,0.00750614,0.0544814,0.0533518,0,0,0,0,0,0,0,0.0292602,0.0266925,0,0,0
54,0.032199,0.0604274,0,0,0,0.0447622,0,0.0217096,0.0690511,0,0,0,0.0228341,0,0,0.0417495,0.0540522,0.0225626,0.0406128,0.0289191,0,0,0.0577683,0.0401324,0.0512284,0.0571844,0.0267863,0.0622717,0.0668405,0.0390317,0.0371091,0,0.010002,0,0.033187,0.0132496,0.0150554,0.0203214,0,0.0422889,0.0423215,0,0,0.0188651,0,0,0.0236512,0.0773387,0.0392001,0.0198181,0.0340827,0.0605171,0.0313351,0.034916,0.0573655,0.0748139,0.0578998,0.0265621,0.0190788,0.00592477,0.0574354,0.0381948,0.00981564,0.00732352,0.0543687,0.0533354,0,0,0,0,0,0,0,0.0288369,0.0268824,0,0,0
55,0.0321942,0.060383,0,0,0,0.0441388,0,0.0219721,0.0696808,0,0,0,0.0231096,0,0,0.0415759,0.0544891,0.0228784,0.0401784,0.0290876,0,0,0.0572441,0.0401951,0.0508552,0.0571697,0.0269704,0.0619548,0.0665374,0.0388892,0.0367316,0,0.0095017,0,0.0329941,0.0132803,0.0149813,0.0208298,0,0.0424688,0.0422723,0,0,0.0188361,0,0,0.02368,0.0774721,0.0400784,0.0200213,0.0344961,0.0606868,0.0310886,0.0354014,0.0585611,0.075181,0.0580664,0.027224,0.0187774,0.00598597,0.0594865,0.0382831,0.00977622,0.00719873,0.0541954,0.0533162,0,0,0,0,0,0,0,0.0284649,0.0272572,0,0,0
56,0.0322261,0.060299,0,0,0,0.0436854,0,0.0221694,0.0702667,0,0,0,0.0234138,0,0,0.0414429,0.0548921,0.0230871,0.0398329,0.0291786,0,0,0.0567952,0.0401516,0.0504608,0.057123,0.0271326,0.0616709,0.0662259,0.0387585,0.0364181,0,0.00911037,0,0.0328079,0.0132789,0.0149335,0.021343,0,0.0426564,0.0422557,0,0,0.0188188,0,0,0.0237104,0.0775861,0.0409716,0.0201981,0.0347981,0.0608669,0.0308697,0.0357938,0.0597876,0.0755566,0.058308,0.0277371,0.0187424,0.0061255,0.0613114,0.0383255,0.00973139,0.00709756,0.0539079,0.0533016,0,0,0,0,0,0,0,0.0281221,0.0273553,0,0,0
57,0.0322538,0.0602103,0,0,0,0.0433971,0,0.022277,0.0707237,0,0,0,0.0236814,0,0,0.0413248,0.0552681,0.023099,0.0395616,0.0291933,0,0,0.0564369,0.0401194,0.0500993,0.0570672,0.0272828,0.0614101,0.0660297,0.0386381,0.0361945,0,0.00888368,0,0.0326357,0.0133191,0.0148548,0.0218051,0,0.0428351,0.0422278,0,0,0.0188011,0,0,0.0236967,0.0777194,0.0415322,0.0202964,0.0348977,0.0610159,0.0306906,0.0360823,0.0609708,0.0758648,0.0585244,0.0281004,0.0190427,0.00601576,0.0627836,0.0383123,0.00969241,0.0070242,0.0535727,0.0533072,0,0,0,0,0,0,0,0.0277438,0.0275878,0,0,0
