Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77
All Timesteps RMSE,0.0314325,0.0615027,0,0,0,0.0428007,0,0.0189857,0.0531389,0,0,0,0,0.0202115,0,0,0.0424079,0.0583756,0.0382039,0.0364305,0.0281877,0,0,0.0598589,0.0361039,0.0402835,0.0647327,0.0619098,0.0275987,0.0625276,0.0655364,0.035631,0.0415556,0,0.0374322,0,0.0360986,0.0131176,0.0145561,0.0294527,0,0.0303586,0.0503863,0.0406004,0,0,0.0207317,0,0,0.0227394,0.0744284,0.0280792,0.0235853,0.0334492,0.0546518,0.0322472,0.0335195,0.0436791,0.0662285,0.0576834,0.0307969,0.0249837,0.0129845,0.0374388,0.0304312,0.0356536,0.0110662,0.00906682,0.0574738,0.0487372,0,0,0,0,0,0,0,0
0,0.0342996,0.0610475,0,0,0,0.0291537,0,0.013054,0.045356,0,0,0,0,0.0217499,0,0,0.0420731,0.0599827,0.0439699,0.0246418,0.0275999,0,0,0.0602142,0.0300785,0.0353211,0.0605488,0.0636197,0.0272993,0.0556299,0.0587792,0.0261331,0.0374877,0,0.0551163,0,0.03269,0.0126667,0.0141951,0.0173532,0,0.028651,0.0464497,0.0425475,0,0,0.0237963,0,0,0.0221561,0.0686042,0.0137783,0.0244386,0.0377068,0.0581102,0.0340437,0.0305864,0.0428621,0.0645834,0.0542526,0.0312127,0.0289474,0.0148185,0.0391423,0.0238677,0.0306514,0.0132275,0.0135244,0.0566065,0.0515059,0,0,0,0,0,0,0,0
1,0.0338705,0.0612149,0,0,0,0.0301086,0,0.0151717,0.0445198,0,0,0,0,0.0219279,0,0,0.041983,0.0597051,0.0470563,0.0246472,0.0279717,0,0,0.0602242,0.0303773,0.0360397,0.0613854,0.0636831,0.0270102,0.0560084,0.0584957,0.0264717,0.0383398,0,0.061981,0,0.0324327,0.0128809,0.0139578,0.0161444,0,0.0287338,0.0467308,0.0423688,0,0,0.0234699,0,0,0.0222777,0.068942,0.0143871,0.0247383,0.0368854,0.0578965,0.033664,0.0301289,0.0427619,0.0644043,0.0540325,0.0310992,0.0285061,0.0143922,0.0389324,0.0249988,0.0309223,0.0131584,0.0133778,0.056801,0.0515262,0,0,0,0,0,0,0,0
2,0.0337721,0.061087,0,0,0,0.0302781,0,0.0156349,0.0439114,0,0,0,0,0.0219031,0,0,0.0417806,0.0595453,0.0499533,0.0247942,0.0283962,0,0,0.0602212,0.0308522,0.0363791,0.0616602,0.0638252,0.0268625,0.0563132,0.0583807,0.0263504,0.0391009,0,0.0665488,0,0.0322893,0.0128898,0.0139301,0.015448,0,0.0290245,0.0471548,0.0422073,0,0,0.0230419,0,0,0.0222861,0.0692202,0.014878,0.0246894,0.0360926,0.0575209,0.0332669,0.0301378,0.0426656,0.0644859,0.0541559,0.0310719,0.0281311,0.0141337,0.0388257,0.0256194,0.0313633,0.0129937,0.0130701,0.0567667,0.0517328,0,0,0,0,0,0,0,0
3,0.0336654,0.061015,0,0,0,0.0311333,0,0.0155227,0.0432344,0,0,0,0,0.0215373,0,0,0.0417584,0.0594397,0.0524236,0.0249628,0.0289828,0,0,0.0601587,0.0312762,0.0367056,0.0617664,0.0638,0.0266641,0.056908,0.0585967,0.0264737,0.0401209,0,0.0696755,0,0.0326482,0.0126096,0.0144035,0.0151803,0,0.0291336,0.0474872,0.0420226,0,0,0.0226197,0,0,0.0221682,0.0693356,0.0152257,0.0245955,0.0352999,0.0570673,0.0327331,0.0302335,0.0425877,0.0646996,0.0544143,0.0310256,0.0278362,0.0139989,0.0387623,0.0258676,0.0319173,0.0127522,0.0125868,0.0567947,0.0519061,0,0,0,0,0,0,0,0
4,0.03354,0.0610084,0,0,0,0.0325758,0,0.0157291,0.0424049,0,0,0,0,0.0212625,0,0,0.0417794,0.0593748,0.054444,0.0252453,0.0295997,0,0,0.0600595,0.0318815,0.0370967,0.0621364,0.0639206,0.0265931,0.0578401,0.0591291,0.0271604,0.0413878,0,0.0723594,0,0.0329385,0.012602,0.0145609,0.0153569,0,0.0291381,0.0477944,0.0418006,0,0,0.0223019,0,0,0.0220349,0.0693582,0.0156656,0.0245788,0.0347766,0.0565291,0.0322279,0.0303494,0.0426556,0.0648333,0.0546895,0.0309358,0.0276011,0.0139734,0.0387358,0.0253889,0.03249,0.0124212,0.0121054,0.0568244,0.0520264,0,0,0,0,0,0,0,0
5,0.0333829,0.0610963,0,0,0,0.0337719,0,0.0160393,0.0415565,0,0,0,0,0.0210402,0,0,0.0418076,0.0593458,0.0559161,0.025576,0.0301619,0,0,0.0599545,0.0323691,0.037617,0.0625865,0.0641528,0.0266113,0.0588096,0.059732,0.0280954,0.0427578,0,0.0746538,0,0.0330645,0.0125785,0.0146326,0.0156983,0,0.0293172,0.0481604,0.0415764,0,0,0.0219594,0,0,0.0220046,0.069284,0.0161242,0.0247783,0.0344869,0.0559925,0.0320108,0.0305074,0.0426521,0.0648583,0.0549107,0.0309206,0.0274245,0.0139826,0.0387566,0.0245667,0.0329962,0.0121948,0.0117702,0.0568503,0.0519992,0,0,0,0,0,0,0,0
6,0.033215,0.0612195,0,0,0,0.0344106,0,0.0161134,0.040672,0,0,0,0,0.0208811,0,0,0.0419194,0.0592464,0.0568138,0.0259591,0.0304715,0,0,0.0598418,0.0327799,0.0382194,0.0630433,0.0643942,0.0266505,0.0596524,0.0602675,0.029016,0.0440378,0,0.0761049,0,0.0331484,0.0125626,0.014683,0.0164086,0,0.0294664,0.0486137,0.0413865,0,0,0.0217013,0,0,0.0219893,0.0691872,0.0165378,0.0250417,0.0343638,0.055475,0.0319575,0.0306797,0.0425981,0.0647812,0.0550721,0.0308951,0.027287,0.0140103,0.0388341,0.023491,0.0333467,0.0120764,0.0115815,0.0569326,0.0518657,0,0,0,0,0,0,0,0
7,0.0330249,0.0613566,0,0,0,0.0348589,0,0.0159553,0.0400001,0,0,0,0,0.0207201,0,0,0.0421571,0.0590959,0.0572483,0.0264481,0.0305226,0,0,0.0598038,0.0330761,0.0388763,0.0635055,0.0645488,0.0267753,0.0604246,0.0607544,0.0298077,0.0452914,0,0.076385,0,0.0334431,0.0125119,0.0148733,0.0173726,0,0.0294829,0.0491493,0.0412236,0,0,0.0215409,0,0,0.0219523,0.0692334,0.0167691,0.0252939,0.0342231,0.0550882,0.0320124,0.0308197,0.0424542,0.0647036,0.05529,0.0308842,0.0271776,0.0140729,0.0389409,0.0221014,0.0336066,0.0120182,0.0115077,0.05705,0.0516666,0,0,0,0,0,0,0,0
8,0.032702,0.0615336,0,0,0,0.0350492,0,0.0157748,0.0393925,0,0,0,0,0.0205551,0,0,0.0424616,0.0590288,0.0572921,0.0269838,0.0303954,0,0,0.0598487,0.033479,0.0396873,0.0640667,0.0647093,0.0269073,0.0610585,0.0611246,0.0305996,0.0463495,0,0.0757596,0,0.0336967,0.0125686,0.0150034,0.0184443,0,0.029449,0.0496911,0.0410397,0,0,0.0214305,0,0,0.021926,0.069461,0.0168037,0.0255071,0.0340474,0.0548591,0.0321848,0.0310347,0.0421661,0.0646657,0.0556693,0.0309051,0.0270957,0.0141011,0.0390515,0.0204784,0.0337969,0.0120133,0.0115058,0.0569485,0.0513682,0,0,0,0,0,0,0,0
9,0.0323395,0.0616141,0,0,0,0.0350311,0,0.0157409,0.0385324,0,0,0,0,0.0204464,0,0,0.0427551,0.059178,0.0571974,0.0274936,0.0301888,0,0,0.0599171,0.0338914,0.0406049,0.0649727,0.0650377,0.0270126,0.0615596,0.0613372,0.0312685,0.047215,0,0.0746785,0,0.033853,0.0127237,0.0150013,0.0196358,0,0.0293951,0.0502898,0.0408766,0,0,0.0215242,0,0,0.0218996,0.0697197,0.0169889,0.0255694,0.0339299,0.054754,0.0324808,0.0313634,0.0416928,0.0646193,0.0560436,0.0310109,0.0270506,0.0142074,0.0391707,0.0187682,0.0338583,0.0120578,0.0115074,0.0569356,0.0510203,0,0,0,0,0,0,0,0
10,0.0320253,0.0615953,0,0,0,0.0348605,0,0.015811,0.0379163,0,0,0,0,0.0200944,0,0,0.0428782,0.0594561,0.0570742,0.0277355,0.0298098,0,0,0.0597589,0.0336907,0.0415987,0.066009,0.0655549,0.0273494,0.0618376,0.0613946,0.0316941,0.0478142,0,0.0732213,0,0.0342358,0.0125001,0.0154253,0.0203021,0,0.0262702,0.051712,0.0409413,0,0,0.0212893,0,0,0.0220843,0.0685017,0,0.0267422,0.0341081,0.0549966,0.0326462,0.0323514,0.0433619,0.0658255,0.0572748,0.0302013,0.0259126,0.0126482,0.0393928,0.0162967,0.0339978,0.012198,0.0117504,0.0569522,0.0503238,0,0,0,0,0,0,0,0
