Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77
113,0.0305472,0.0641977,0,0,0,0.0554223,0,0.0106747,0.0636661,0,0,0,0,0.0196103,0,0,0.0421753,0.0589597,0.0297876,0.0287942,0.0272031,0,0,0.0514958,0.033044,0.0257462,0.0507387,0.0555572,0.025072,0.0625977,0.0682321,0.0358781,0.0366591,0,0.0198398,0,0.0347857,0.013977,0.0131516,0.0122766,0,0.0298376,0.0490045,0.0430996,0,0,0.020848,0,0,0.0244387,0.0719836,0.0137511,0.0254655,0.0330598,0.0610453,0.0295119,0.0353607,0.0480355,0.0674933,0.0596416,0.029986,0.0293573,0.0139955,0.0374803,0.030903,0.0335081,0.00990472,0.00887901,0.0603233,0.0409383,0,0,0,0,0,0,0,0
114,0.030576,0.0639879,0,0,0,0.0542335,0,0.0115036,0.0623398,0,0,0,0,0.0195958,0,0,0.0421948,0.0585716,0.0316097,0.0281132,0.0272173,0,0,0.0521985,0.0327199,0.0260698,0.0515877,0.0559649,0.0248691,0.0617917,0.0675808,0.0343697,0.0358826,0,0.0198834,0,0.0347852,0.013978,0.0133267,0.0112475,0,0.0294214,0.0483104,0.0431472,0,0,0.0213785,0,0,0.0245208,0.0722348,0.0139137,0.0250467,0.0322915,0.0609723,0.0305731,0.0346123,0.0476651,0.0672387,0.0588529,0.0295616,0.0288247,0.0134297,0.0368148,0.0322188,0.032968,0.0100991,0.00927269,0.0602599,0.0411315,0,0,0,0,0,0,0,0
115,0.0305823,0.0637746,0,0,0,0.0524793,0,0.0125784,0.0608616,0,0,0,0,0.0195014,0,0,0.0422524,0.0582078,0.0328254,0.02755,0.0271582,0,0,0.0531476,0.0326186,0.0265893,0.0524376,0.0564567,0.0248047,0.0606881,0.0665196,0.0324805,0.0349453,0,0.019733,0,0.0346522,0.0139673,0.0135066,0.010233,0,0.0290952,0.0474662,0.0431887,0,0,0.0220404,0,0,0.0245713,0.0724525,0.0141347,0.0247804,0.0321242,0.0608481,0.0318271,0.0341622,0.0472709,0.0669924,0.0582718,0.0289673,0.0284788,0.0130573,0.0360313,0.0333217,0.0322831,0.0103511,0.00978477,0.060182,0.0412829,0,0,0,0,0,0,0,0
116,0.0306714,0.0635731,0,0,0,0.0507468,0,0.0131329,0.0592518,0,0,0,0,0.0194447,0,0,0.0423201,0.0578975,0.0332514,0.0270745,0.026919,0,0,0.0543528,0.0326823,0.0273385,0.0533221,0.0570045,0.024891,0.0594735,0.0651566,0.0305585,0.0342003,0,0.0189271,0,0.034481,0.0139363,0.0137182,0.00909859,0,0.0289149,0.0465527,0.0431977,0,0,0.0228784,0,0,0.0245804,0.0725196,0.0141805,0.0249898,0.0323183,0.0609024,0.0331584,0.0337811,0.0470162,0.0668678,0.057802,0.0283344,0.0284886,0.0129996,0.0353141,0.0341021,0.0314743,0.0105961,0.0102952,0.0600464,0.0415492,0,0,0,0,0,0,0,0
117,0.0311699,0.0631807,0,0,0,0.0546373,0,0.0142029,0.0573328,0,0,0,0,0.0189099,0,0,0.0427599,0.0573382,0.03216,0.0274428,0.025937,0,0,0.0564194,0.0332441,0.0293105,0.0560822,0.0589069,0.025621,0.0566009,0.0618418,0.027069,0.0328757,0,0.0210835,0,0.0347132,0.0137219,0.0135928,0.00544692,0,0.0277754,0.0460927,0.042426,0,0,0.0242946,0,0,0.0236924,0.0725912,0.012639,0.0240758,0.0336939,0.0601671,0.0344418,0.0330705,0.0454841,0.0657988,0.0570868,0.0292259,0.026755,0.0123451,0.0361589,0.0389456,0.0306222,0.0115861,0.0107589,0.0596665,0.042495,0,0,0,0,0,0,0,0
118,0.0312366,0.0630048,0,0,0,0.0524371,0,0.0127122,0.0553586,0,0,0,0,0.0190592,0,0,0.0429208,0.0573341,0.0319075,0.0270557,0.0257124,0,0,0.0577992,0.0334029,0.0302789,0.0569052,0.0597822,0.0260539,0.0558535,0.0605773,0.0260592,0.0333331,0,0.0168487,0,0.0345043,0.013738,0.0136569,0.00490671,0,0.0278263,0.0452985,0.0423841,0,0,0.025492,0,0,0.0236924,0.0721953,0.011845,0.0246175,0.033762,0.0604173,0.0357857,0.0329274,0.0457257,0.0660298,0.0568801,0.0290197,0.0270882,0.0127345,0.0357816,0.039219,0.0296784,0.0117529,0.0111348,0.0594818,0.0429321,0,0,0,0,0,0,0,0
119,0.0313635,0.0628187,0,0,0,0.0504875,0,0.0113309,0.0537368,0,0,0,0,0.0192794,0,0,0.0430406,0.0575501,0.0312299,0.0269027,0.0253955,0,0,0.0590887,0.0336109,0.0314368,0.0578387,0.0608958,0.0267476,0.0552349,0.0594906,0.0253214,0.0337217,0,0.0134006,0,0.0343096,0.0137418,0.0137025,0.00458431,0,0.0280809,0.0448146,0.0423516,0,0,0.0265266,0,0,0.0237383,0.0716802,0.0107812,0.0253431,0.0339324,0.060577,0.0370439,0.0328842,0.0460588,0.0662853,0.0568317,0.0290625,0.0275044,0.0133079,0.0355843,0.0393414,0.0287328,0.0119651,0.0115369,0.0593083,0.043444,0,0,0,0,0,0,0,0
120,0.0315273,0.0626056,0,0,0,0.048073,0,0.0101396,0.0523221,0,0,0,0,0.0194694,0,0,0.0431389,0.0577205,0.0304329,0.0267413,0.0252759,0,0,0.0602639,0.0337625,0.0326718,0.0589951,0.0619938,0.0274258,0.0546641,0.0586303,0.0247736,0.0340353,0,0.0129588,0,0.0342008,0.0137216,0.0138283,0.00438872,0,0.0283734,0.0446527,0.0423577,0,0,0.0273503,0,0,0.0238415,0.0711824,0.00987182,0.026199,0.0342066,0.0607757,0.0381229,0.0327182,0.0463343,0.0664591,0.0567482,0.028933,0.0277925,0.0138069,0.0355406,0.0397702,0.0277725,0.0122103,0.0119559,0.0591291,0.0439388,0,0,0,0,0,0,0,0
121,0.0316536,0.0624581,0,0,0,0.0448172,0,0.00889018,0.0512049,0,0,0,0,0.0195276,0,0,0.0431614,0.057715,0.0304423,0.0265822,0.0252644,0,0,0.0612389,0.0341258,0.0339753,0.0603469,0.0630042,0.0280122,0.0542766,0.058134,0.0247018,0.0343977,0,0.0163779,0,0.0342154,0.013676,0.0140111,0.00428836,0,0.028565,0.0448458,0.0423878,0,0,0.0279662,0,0,0.0239776,0.0709238,0.00935146,0.0270346,0.0345404,0.0609363,0.0389927,0.032368,0.046405,0.0664694,0.0564713,0.0289094,0.0278832,0.0140656,0.0355627,0.0403713,0.0272916,0.0124228,0.0122909,0.059073,0.0442081,0,0,0,0,0,0,0,0
122,0.0316486,0.0624193,0,0,0,0.0413757,0,0.00818378,0.050028,0,0,0,0,0.0195084,0,0,0.0430581,0.057907,0.0320565,0.0265723,0.0252522,0,0,0.0620622,0.0346503,0.0351854,0.061606,0.0638448,0.0283985,0.0545312,0.0581638,0.0254048,0.035248,0,0.0221255,0,0.034329,0.0136284,0.0141243,0.00422624,0,0.0285946,0.045271,0.0424413,0,0,0.0283376,0,0,0.0240833,0.0709751,0.00925151,0.0275803,0.0345878,0.0611319,0.0395603,0.0318971,0.0463036,0.0662954,0.0562129,0.0288076,0.0278361,0.0140111,0.0355591,0.0409629,0.0271007,0.0125478,0.0124313,0.0590834,0.0444311,0,0,0,0,0,0,0,0
