Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77
248,0,0.0595849,0,0,0,0,0,0.0278982,0.0409441,0,0,0,0,0.0190365,0,0,0.0418547,0.0555823,0.0555684,0.0370994,0.0259204,0,0,0.0650882,0.0398097,0.0473248,0.0699401,0.0638527,0.0283269,0.0626026,0.0695952,0,0.034761,0,0.0751265,0,0.0485196,0.0157604,0.0154471,0.0317873,0,0.024591,0.0529538,0.0393427,0,0,0.0269799,0,0,0.0250033,0.0775155,0.0142592,0.0261733,0.0344752,0.0543164,0.0410815,0.0313317,0.0354881,0.0611373,0.0565342,0.0295005,0.0289624,0.0154641,0.0342266,0.0158331,0.0278009,0.0121804,0.0125871,0.0581303,0.0467994,0,0,0,0,0,0,0,0
249,0.0367035,0.0649317,0,0,0,0,0,0.0200585,0.0432646,0,0,0,0,0.0189366,0,0,0.041739,0.0544674,0.0358533,0.0376503,0.0277112,0,0,0.0656892,0.036988,0.0440535,0.0652528,0.0624349,0.026822,0.068079,0.0727073,0,0,0,0,0,0.0463791,0.0151881,0.0152723,0.0339227,0,0.0240091,0.0481556,0.039454,0,0,0.0265752,0,0,0.0245543,0.079196,0.0147007,0.0251765,0.0362272,0.055045,0.0353899,0.0307047,0.034814,0.0600774,0.0553797,0.0296236,0.0291279,0.0153732,0.0339451,0.0169277,0.0277201,0.011885,0.0130101,0.061949,0.0436395,0,0,0,0,0,0,0,0
250,0,0.0562555,0,0,0,0,0,0.021989,0.0430733,0,0,0,0,0.0192629,0,0,0.0417634,0.0543484,0.036583,0.0398887,0.0278399,0,0,0.067286,0.0419808,0.0449779,0.0670768,0.0627072,0.0267039,0.0647557,0.0704452,0,0.0383009,0,0.0264296,0,0.0503146,0.0159968,0.015988,0.0344582,0,0.0230187,0.0478588,0.0380489,0,0,0.0254954,0,0,0.0256225,0.0793192,0.0157083,0.0227319,0.0365437,0.054108,0.0461169,0.0301595,0.0347211,0.0596415,0.0550204,0.0288727,0.0288201,0.0151164,0.0331967,0.0198352,0.0300035,0.0118372,0.0126305,0.0551868,0,0,0,0,0,0,0,0,0
251,0.102543,0.0686228,0,0,0,0.0213957,0,0.026018,0.0421482,0,0,0,0,0.0177674,0,0,0.0417375,0.0556032,0.0292231,0.0401554,0.0308096,0,0,0.0694192,0.0384538,0.0428006,0.0647211,0.0599253,0.0240162,0.068285,0.0728673,0,0.0426512,0,0.017767,0,0.0446181,0.0140281,0.0160091,0.0369469,0,0.022755,0.0430715,0.0338116,0,0,0.0279222,0,0,0.0254224,0.0822067,0.016457,0.0180764,0.0389975,0.0539324,0.0354819,0.0288168,0.0330492,0.0574779,0.053395,0.0287793,0.029086,0.0153995,0.0335911,0.0218849,0.025586,0.0123383,0.0143742,0.0641106,0,0,0,0,0,0,0,0,0
252,0,0.0564899,0,0,0,0,0,0.0225888,0.0432262,0,0,0,0,0.0187461,0,0,0.0416423,0.0543276,0.0387331,0.0397353,0.028318,0,0,0.0691935,0.0434615,0.0429042,0.0660821,0.0615132,0.0243043,0.0645843,0.0707937,0,0.0368466,0,0.0334458,0,0.0498775,0.0159968,0.0155601,0.0350384,0,0.0205763,0.0462699,0.0371387,0,0,0.0249942,0,0,0.0259727,0.07898,0.0184561,0.0217953,0.0367887,0.0540871,0.0461789,0.0286913,0.0357769,0.0603198,0.0540392,0.0267248,0.0264908,0.0142821,0.0313642,0.0272212,0.030124,0.011968,0.0127042,0.0557099,0,0,0,0,0,0,0,0,0
253,0.0393417,0.0621821,0,0,0,0,0,0.0254766,0.0405192,0,0,0,0,0.0178259,0,0,0.0417622,0.056156,0.0469759,0.0372648,0.0299047,0,0,0.069597,0.0421547,0.0405479,0.0643045,0.0592758,0.0215489,0.0648603,0.0715671,0,0,0,0.068467,0,0.0463585,0.015032,0.0151912,0.0362154,0,0,0.0454447,0.03631,0,0,0.0260235,0,0,0.0255938,0.0786562,0.0184051,0.0211926,0.0370195,0.0551602,0.0391361,0.027844,0.0364147,0.0609286,0.0536037,0.0266931,0.0259936,0.013736,0.0302265,0.0312846,0.0280843,0.0119751,0.0132842,0.0599573,0,0,0,0,0,0,0,0,0
254,0.0356852,0.0613039,0,0,0,0,0,0.0194327,0.0443326,0,0,0,0,0.0178551,0,0,0.0418006,0.0536687,0.0418386,0.0396816,0.0278588,0,0,0.0710906,0.0430731,0.0406473,0.0638679,0.0605682,0.0232126,0.0635054,0.0701963,0,0.0346097,0,0,0,0.0468975,0.0153823,0.0149309,0.0381081,0,0,0.0420227,0.0365287,0,0,0.0249834,0,0,0.025375,0.0790923,0.0218534,0.0218749,0.0369112,0.055844,0.0386221,0.0285454,0.0382028,0.0624227,0.054009,0.0263255,0.0246699,0.0131985,0.0290998,0.0340416,0.0293419,0.0119341,0.0125788,0.0596905,0,0,0,0,0,0,0,0,0
255,0.0344791,0.0626281,0,0,0,0.0273914,0,0.0224373,0.038433,0,0,0,0,0.0181544,0,0,0.0417551,0.0542298,0.0314805,0.045845,0.0270311,0,0,0,0.0429319,0.0441573,0.0660304,0.0612562,0.0254318,0.0648984,0.0687761,0,0.0404475,0,0.0262366,0,0.0483361,0.015781,0.0152159,0.0379356,0,0,0.0391817,0.0354952,0,0,0.0215404,0,0,0.0245365,0.0793394,0.024219,0.0162122,0.0381375,0.0632594,0.034387,0.0277044,0.0388909,0.062442,0.053233,0.0269932,0.0236934,0.0126391,0.0292026,0.0366578,0.0331952,0.0112404,0.0102316,0.0576252,0,0,0,0,0,0,0,0,0
256,0.0365221,0.0607843,0,0,0,0.0272593,0,0.0235376,0.0432134,0,0,0,0,0.0170388,0,0,0.0421908,0.0559062,0.0285695,0.0407184,0.02893,0,0,0.0708034,0.0457117,0.0424953,0.0639731,0.0589058,0.0234374,0.0665731,0.0703504,0,0.042105,0,0.0166281,0,0.04571,0.0148219,0.0151447,0.0367215,0,0,0.0410844,0.0349936,0,0,0.0261274,0,0,0.0255882,0.07817,0.0268523,0.0207455,0.0349477,0.0580114,0.0396568,0.0309012,0.041499,0.0659556,0.056701,0.0253044,0.0227958,0.012336,0.0280783,0.0397535,0.0282043,0.0122316,0.0132774,0.0596575,0,0,0,0,0,0,0,0,0
257,0.0327926,0.0632983,0,0,0,0.0268078,0,0.0234479,0.0429524,0,0,0,0,0.0172156,0,0,0.0423718,0.0558496,0.0291736,0.0406711,0.0279689,0,0,0.0698577,0.0455269,0.0430966,0.064166,0.0591957,0.0232337,0.0656765,0.0695951,0,0.0409749,0,0.0188313,0,0.0440407,0.014624,0.0147657,0.0339573,0,0,0.0415553,0.0361043,0,0,0.0269499,0,0,0.0251351,0.0766445,0.0291332,0.0217682,0.0326428,0.0595065,0.0359392,0.0333513,0.0443387,0.068975,0.0590613,0.0234076,0.022128,0.0117869,0.0263874,0.0431624,0.0272178,0.0116649,0.0140909,0.0620248,0.0473823,0,0,0,0,0,0,0,0
