Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,LBL,LMR
14,0.0335715,0.0607092,0,0,0,0.0312495,0,0.0223941,0.0596284,0,0,0,0.0196524,0,0,0.043022,0.0533156,0.0174106,0.0421395,0.0267299,0,0.0603929,0.0431889,0.0323743,0.059045,0.0588784,0.0247655,0.0605718,0.0660402,0.0357428,0.035616,0,0.00859519,0,0.0361026,0.0139309,0.0146452,0.0203965,0,0.0272307,0.0424603,0.0381698,0,0,0.0205189,0,0,0.0226193,0.0740702,0.052204,0.0160704,0.0323511,0.0552722,0.0303678,0.0352216,0.0527374,0.0745899,0.0593337,0.0211124,0.0229387,0.0114706,0.0258821,0.0658798,0.0348762,0.00976425,0.0108826,0.0556532,0.0527695,0,0,0,0,0,0,0,0,0
15,0.0337981,0.0604652,0,0,0,0.032916,0,0.0235478,0.060703,0,0,0,0.0193892,0,0,0.0434203,0.0531249,0.0180341,0.0426179,0.0261217,0,0.060763,0.0435433,0.0326136,0.059136,0.0595064,0.0255681,0.0595776,0.0652673,0.0350747,0.0345698,0,0.0075099,0,0.0363681,0.0136175,0.0145066,0.0260674,0,0.0226575,0.0432055,0.0375601,0,0,0.0211614,0,0,0.0219154,0.0749606,0.0465633,0.0149965,0.032586,0.0548558,0.0300523,0.0344592,0.0518504,0.0730391,0.058138,0.0246529,0.0172098,0.00685715,0.0287222,0.076345,0.0347288,0.0101163,0.0106306,0.0555751,0.0529051,0,0,0,0,0,0,0,0,0
16,0.0337639,0.0602538,0,0,0,0.0329338,0,0.0238344,0.0618407,0,0,0,0.0194961,0,0,0.0436107,0.05312,0.0179337,0.0422227,0.0259299,0,0.0604674,0.0432141,0.0323246,0.0586369,0.0595869,0.0259693,0.0593543,0.0650661,0.0349255,0.0342771,0,0.00723182,0,0.0362989,0.0136531,0.0146072,0.0261176,0,0.0227181,0.0433798,0.0375275,0,0,0.0212209,0,0,0.0218949,0.0753465,0.0462697,0.0157929,0.0330271,0.0554336,0.0299273,0.0342548,0.0520034,0.0729292,0.0577818,0.0249397,0.0167305,0.00617647,0.0290371,0.0757181,0.0347064,0.0100811,0.0105384,0.0552755,0.0527222,0,0,0,0,0,0,0,0,0
17,0.0337284,0.060029,0,0,0,0.0330931,0,0.024129,0.063052,0,0,0,0.0196188,0,0,0.0436973,0.0532053,0.0180194,0.0417976,0.0257345,0,0.0599858,0.0430059,0.032039,0.0581783,0.0595991,0.0263754,0.0591151,0.0648787,0.0349891,0.0339864,0,0.00695076,0,0.0363138,0.0136526,0.0147001,0.0261272,0,0.0229864,0.0436186,0.0374729,0,0,0.0212411,0,0,0.0218985,0.0756888,0.0460623,0.0164572,0.0335081,0.0561487,0.0297121,0.0340432,0.0521816,0.0726898,0.0573681,0.0253256,0.0162329,0.00546612,0.0293989,0.0749322,0.0347007,0.0100243,0.0103658,0.0552676,0.0525409,0,0,0,0,0,0,0,0,0
18,0.0337208,0.05983,0,0,0,0.0331613,0,0.0243481,0.0642386,0,0,0,0.0196851,0,0,0.0436377,0.0532808,0.0181722,0.0412274,0.0255951,0,0.0593366,0.0429144,0.0317418,0.0577662,0.0595888,0.0267402,0.0588885,0.0646562,0.0349368,0.033758,0,0.00674853,0,0.0364047,0.0135493,0.0148663,0.0259481,0,0.02308,0.0437682,0.037369,0,0,0.0212143,0,0,0.0219181,0.0762202,0.0457253,0.0170091,0.0338686,0.0569052,0.0294343,0.0336865,0.0526883,0.0725828,0.0569864,0.0258018,0.0157741,0.0049342,0.0299436,0.0738863,0.0347166,0.0099655,0.010168,0.0555399,0.0523822,0,0,0,0,0,0,0,0,0
19,0.0336782,0.0597593,0,0,0,0.0331346,0,0.0245399,0.0652432,0,0,0,0.019705,0,0,0.0435314,0.0533188,0.018402,0.0406051,0.0255794,0,0.0585694,0.0431329,0.0314421,0.057329,0.0595905,0.0270257,0.0586981,0.064378,0.0346569,0.0335825,0,0.00653508,0,0.0364488,0.0134881,0.0150318,0.0258075,0,0.0229315,0.0438658,0.0372179,0,0,0.0211226,0,0,0.0219357,0.0766756,0.0453058,0.0174941,0.0341446,0.0576047,0.0291088,0.033366,0.053284,0.0725406,0.0567831,0.0263859,0.0152964,0.00433948,0.0305408,0.0728209,0.0348068,0.0098756,0.0099404,0.0556593,0.0522708,0,0,0,0,0,0,0,0,0
20,0.0336177,0.0597545,0,0,0,0.0332077,0,0.0247828,0.0661591,0,0,0,0.0197096,0,0,0.0435126,0.0534914,0.0187976,0.0400314,0.0256417,0,0.0577574,0.0433666,0.0311917,0.056884,0.0594993,0.0273071,0.0584925,0.0640502,0.0346708,0.0333608,0,0.00625625,0,0.036551,0.0135856,0.0150804,0.0258905,0,0.0227854,0.043975,0.0370805,0,0,0.0210379,0,0,0.021976,0.0769173,0.0451592,0.0178743,0.0343619,0.0581794,0.0287762,0.0331914,0.0538406,0.0724359,0.0566332,0.0272012,0.0147399,0.00376742,0.0311118,0.0722466,0.0349374,0.00979102,0.00970488,0.0557352,0.0522145,0,0,0,0,0,0,0,0,0
21,0.0335568,0.0597748,0,0,0,0.0334563,0,0.0250447,0.0670707,0,0,0,0.0197351,0,0,0.0435593,0.0540429,0.0190728,0.0394723,0.025717,0,0.0569794,0.0435764,0.0308654,0.0564356,0.0594316,0.027631,0.0582866,0.0638117,0.0347914,0.0330779,0,0.00593988,0,0.0366336,0.0136486,0.0151848,0.0264088,0,0.0226932,0.0441662,0.0369926,0,0,0.0209539,0,0,0.0220306,0.0770585,0.0455773,0.0181152,0.0347027,0.0586318,0.0284376,0.0329751,0.0542425,0.0723207,0.0564609,0.0276011,0.0141916,0.003172,0.031669,0.0727208,0.0350589,0.00974032,0.0094915,0.0558892,0.0522433,0,0,0,0,0,0,0,0,0
22,0.0335529,0.0597927,0,0,0,0.0334253,0,0.0252099,0.0679645,0,0,0,0.0197682,0,0,0.0435557,0.0545428,0.0192421,0.038983,0.0258181,0,0.0562203,0.0434673,0.0303484,0.0560162,0.0593965,0.0278529,0.0580959,0.0635812,0.0347379,0.0327963,0,0.00575342,0,0.036634,0.0136669,0.0152281,0.0273016,0,0.0227545,0.044229,0.0369273,0,0,0.0209205,0,0,0.0220708,0.0771872,0.0464538,0.0183276,0.0352033,0.0589937,0.028115,0.0328341,0.0550116,0.0723745,0.0562998,0.0277783,0.0139322,0.00290438,0.032177,0.0741601,0.0351054,0.00970435,0.00932796,0.055973,0.0523195,0,0,0,0,0,0,0,0,0
23,0.0335663,0.05983,0,0,0,0.0331061,0,0.0253421,0.0688146,0,0,0,0.019751,0,0,0.0434995,0.0549022,0.0194284,0.0385748,0.0259621,0,0.0555167,0.043375,0.029681,0.0556216,0.0593174,0.0279914,0.0578672,0.0633674,0.034651,0.0325368,0,0.00572225,0,0.0365969,0.0136295,0.0152707,0.0283462,0,0.0234113,0.0442886,0.0368551,0,0,0.0208757,0,0,0.0221118,0.0772642,0.0474871,0.0184721,0.035649,0.0592617,0.027862,0.0328263,0.0560946,0.0725779,0.05618,0.0278251,0.0139936,0.00292216,0.0325068,0.0761439,0.0351118,0.00970603,0.00918935,0.0559178,0.0524064,0,0,0,0,0,0,0,0,0
