Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77,LHEE,LBR
92,0.0283025,0.0649829,0,0,0,0.0321404,0,0.0191845,0.0477639,0,0,0,0.0192536,0,0,0.0428911,0.0558541,0.0396898,0.0242216,0,0,0.0628875,0.0336458,0.0459818,0.0707612,0.06473,0.0289863,0.0634075,0.0679414,0.0381798,0.040275,0,0.0169435,0,0.0373675,0.0143657,0.0136237,0.0223045,0,0.0206782,0.0554372,0.0411927,0,0,0.0191389,0,0,0.0228163,0.0747704,0.0136538,0.0220545,0.0346192,0.04757,0.0328179,0.0265161,0.0388328,0.0589929,0.0520439,0.0276066,0.0285819,0.0136726,0.0358874,0.0275832,0.0375528,0.010906,0.00815394,0.0598698,0.0437412,0,0,0,0,0,0,0,0,0.0296116,0
93,0.028242,0.065019,0,0,0,0.0314573,0,0.0189682,0.0479785,0,0,0,0.019149,0,0,0.0424023,0.0558176,0.0397256,0.0251431,0,0,0.063133,0.0339161,0.0445867,0.0701152,0.0643536,0.0276951,0.0630767,0.0678825,0.0378675,0.0395002,0,0.0157147,0,0.0374149,0.0142976,0.013598,0.022963,0,0.0200166,0.0547481,0.0410352,0,0,0.0188925,0,0,0.0228339,0.0748804,0.0146023,0.0220606,0.0348954,0.0472777,0.0324916,0.0261949,0.0388902,0.0589906,0.0515672,0.0272893,0.0282004,0.0136952,0.0351907,0.0304884,0.0378275,0.0108171,0.00806562,0.0597778,0.044097,0,0,0,0,0,0,0,0,0.0282172,0
94,0.0282302,0.0649897,0,0,0,0.0319517,0,0.0185547,0.0479962,0,0,0,0.0191152,0,0,0.0423466,0.0558061,0.0395974,0.0260126,0,0,0.0634326,0.0343435,0.0433796,0.0693473,0.063861,0.0265072,0.0632265,0.068046,0.0377332,0.0394657,0,0.0146788,0,0.0374082,0.0142721,0.0136739,0.0237167,0,0.0192392,0.0540915,0.0408163,0,0,0.0186577,0,0,0.0228794,0.0748585,0.0158847,0.0222616,0.0352737,0.0471657,0.0321537,0.0257357,0.0390589,0.0591457,0.0512157,0.0270841,0.0274581,0.0133263,0.034447,0.0339361,0.0380872,0.0107962,0.00799894,0.0596912,0.0445525,0,0,0,0,0,0,0,0,0.0272846,0
95,0.0281834,0.0648565,0,0,0,0.0330195,0,0.0179963,0.0478804,0,0,0,0.0191548,0,0,0.042788,0.0558817,0.0392933,0.0264809,0,0,0.063613,0.0349745,0.0424997,0.068596,0.063091,0.0254255,0.0635641,0.0683042,0.0375935,0.039969,0,0.0143237,0,0.0373184,0.0142432,0.0139237,0.0246605,0,0.0184594,0.053433,0.0405267,0,0,0.0185281,0,0,0.02297,0.0746637,0.0175498,0.0225611,0.0355563,0.0473217,0.0318961,0.0252274,0.0395596,0.0595696,0.0510416,0.0269915,0.0263235,0.0125469,0.0336465,0.0379749,0.0382287,0.0108139,0.0079598,0.0595767,0.0451405,0,0,0,0,0,0,0,0,0.0269469,0
96,0.028112,0.0646258,0,0,0,0.0345427,0,0.0173089,0.0475526,0,0,0,0.0191754,0,0,0.0431304,0.0560478,0.0388607,0.0267765,0,0,0.0635615,0.0358294,0.0418789,0.0681118,0.0624206,0.0245492,0.0640446,0.068268,0.0372002,0.0408055,0,0.0137995,0,0.0370682,0.0141683,0.0141174,0.0256726,0,0.0176984,0.0526303,0.0402034,0,0,0.0184414,0,0,0.0230546,0.0743242,0.0199815,0.0224849,0.0355563,0.0477818,0.0317599,0.0249011,0.0403018,0.060278,0.0510778,0.0269956,0.0248707,0.0119897,0.0327259,0.0426154,0.0382496,0.0108549,0.0080196,0.0594142,0.0458108,0,0,0,0,0,0,0,0,0.02705,0
97,0.0280541,0.0643468,0,0,0,0.0363154,0,0.0165479,0.0468654,0,0,0,0.0195959,0,0,0.0432279,0.0563167,0.0384499,0.027457,0,0,0.0633477,0.0368593,0.0415466,0.0680239,0.0618798,0.0239675,0.0642804,0.0678988,0.0366306,0.0414561,0,0.0127117,0,0.0366451,0.0144842,0.0133366,0.0261907,0,0.0170477,0.0516023,0.0398452,0,0,0.0182851,0,0,0.0230988,0.0738882,0.0232946,0.0219911,0.0354305,0.0486026,0.031725,0.0248104,0.0410318,0.0612274,0.0513225,0.0269061,0.0232655,0.0115602,0.0317019,0.0478742,0.0382028,0.0108435,0.00837669,0.0592246,0.0464775,0,0,0,0,0,0,0,0,0.0272166,0
98,0.0281719,0.063914,0,0,0,0.0379718,0,0.0161258,0.0460082,0,0,0,0.0195366,0,0,0.0434349,0.0565225,0.0382919,0.0282775,0,0,0.063087,0.0377999,0.0413693,0.067768,0.0614293,0.0235822,0.0639564,0.0674035,0.0361334,0.0417758,0,0.0111933,0,0.0362981,0.014193,0.0137624,0.0267057,0,0.0163581,0.0505314,0.039525,0,0,0.0184012,0,0,0.0231079,0.0735104,0.0265818,0.0212438,0.0349807,0.0497232,0.0318978,0.0251393,0.0418155,0.0623662,0.0517975,0.0265158,0.0218098,0.0112192,0.0304777,0.0531064,0.0379546,0.0108894,0.0086362,0.0589214,0.0470972,0,0,0,0,0,0,0,0,0.0270648,0
99,0.0282203,0.063407,0,0,0,0.0402879,0,0.0157507,0.0449433,0,0,0,0.0196656,0,0,0.0437041,0.0568669,0.0382059,0.0289683,0,0,0.0631136,0.0388569,0.0411354,0.0676043,0.0611211,0.0230169,0.0632244,0.0669541,0.035595,0.0419366,0,0.00932599,0,0.0359689,0.0139538,0.0141374,0.0271364,0,0.0156542,0.0493501,0.0392406,0,0,0.0185951,0,0,0.0231298,0.0732281,0.0301404,0.0207249,0.0343811,0.0510419,0.0321814,0.0256856,0.0426908,0.0635626,0.0524559,0.0257819,0.020596,0.0108926,0.0292217,0.0584495,0.0376028,0.0109588,0.00906019,0.0584959,0.0476442,0,0,0,0,0,0,0,0,0.0264102,0
100,0.0280706,0.0628484,0,0,0,0.0423014,0,0.0155508,0.0440135,0,0,0,0.0199625,0,0,0.0440751,0.057201,0.0383726,0.0293946,0,0,0.0634363,0.0401605,0.0406365,0.0675911,0.0609445,0.022406,0.0628503,0.066616,0.0351218,0.0417133,0,0.00778183,0,0.0355444,0.0137828,0.0145261,0.0277804,0,0.0151784,0.0482846,0.0389882,0,0,0.018902,0,0,0.0231367,0.0730241,0.0334611,0.0205494,0.0336159,0.052352,0.0326439,0.0265681,0.0437011,0.0650709,0.0534658,0.0251006,0.0196209,0.0105369,0.028211,0.0637707,0.0371327,0.0110518,0.00952673,0.0579895,0.0480796,0,0,0,0,0,0,0,0,0.0253886,0
101,0.0280909,0.0623453,0,0,0,0.0436593,0,0.0155096,0.0434517,0,0,0,0.020367,0,0,0.0444608,0.0572574,0.0388244,0.029785,0,0,0.0639559,0.0415294,0.0402195,0.0677977,0.0609719,0.0220079,0.0629304,0.066421,0.0348155,0.0413474,0,0.0073629,0,0.0350193,0.0136646,0.0149227,0.028094,0,0.0151379,0.0474401,0.0387864,0,0,0.019262,0,0,0.0230852,0.0729984,0.0365513,0.0202285,0.0327682,0.0535888,0.0332053,0.0279696,0.0446837,0.066799,0.0547587,0.0247076,0.0186166,0.0101245,0.0276009,0.0685818,0.0366041,0.0111121,0.00998916,0.0575089,0.0483819,0,0,0,0,0,0,0,0,0.0243521,0
102,0.0281548,0.0618778,0,0,0,0.0412577,0,0.0137282,0.0434819,0,0,0,0.0211838,0,0,0.0444544,0.0571205,0.0387185,0.0306528,0,0,0.0641273,0.0423144,0.0390858,0.0666954,0.0602232,0.0215864,0.0641575,0.0674475,0.0360658,0.042163,0,0.00772816,0,0.0341871,0.0139383,0.0155182,0.0270727,0,0.0183506,0.0463657,0.0391408,0,0,0.0192044,0,0,0.0236242,0.0725768,0.042112,0.0207501,0.0320378,0.0553646,0.0339715,0.0302975,0.0473932,0.0700289,0.0568901,0.0223367,0.0211457,0.0101133,0.0252217,0.0659138,0.036106,0.010776,0.0105485,0.0570288,0.0483822,0,0,0,0,0,0,0,0,0.0227114,0
103,0.0285383,0.0615541,0,0,0,0.0418745,0,0.0161122,0.0443209,0,0,0,0.0212459,0,0,0.0449665,0.056716,0.040779,0.0295797,0,0,0.0656069,0.0436824,0.0395181,0.0665076,0.0606179,0.0219939,0.0631025,0.0670554,0.0357165,0.0409476,0,0.00798334,0,0.0342656,0.0135522,0.0155662,0.0280031,0,0.0160184,0.0463563,0.0384296,0,0,0.0200527,0,0,0.022915,0.0730469,0.041997,0.0198608,0.0311804,0.0553162,0.0337803,0.031892,0.0468629,0.0701365,0.057857,0.0237538,0.0182494,0.00958811,0.0264087,0.0765981,0.0358382,0.0111128,0.0103857,0.056778,0.048788,0,0,0,0,0,0,0,0,0.0236024,0
104,0.0287871,0.0612238,0,0,0,0.0417053,0,0.0144265,0.045187,0,0,0,0.0220083,0,0,0.0446891,0.0572658,0.0401982,0.0310372,0,0,0.0653421,0.0438552,0.0381686,0.0659347,0.059646,0.0207131,0.0641314,0.0680422,0.0366649,0.0419183,0,0.0077459,0,0.0336628,0.0139352,0.0159799,0.0241209,0,0.0215671,0.0451479,0.0390675,0,0,0.0199207,0,0,0.0237157,0.0724818,0.0491272,0.0196035,0.0313857,0.0570774,0.0346811,0.0340264,0.0497859,0.0731663,0.0597999,0.0205362,0.0226777,0.0109398,0.0236919,0.0701172,0.0354209,0.0107365,0.0110039,0.0564428,0.0488389,0,0,0,0,0,0,0,0,0.0217334,0
105,0.0293381,0.061115,0,0,0,0.0413948,0,0.0152739,0.0468773,0,0,0,0.0224474,0,0,0.0446077,0.0560471,0.0409834,0.0305248,0,0,0.0655955,0.0444162,0.0376673,0.0653699,0.0592767,0.0205454,0.064117,0.0681071,0.0369251,0.0415734,0,0.00717179,0,0.0334247,0.0141343,0.0157421,0.0228006,0,0.0241199,0.0446581,0.0391348,0,0,0.0197942,0,0,0.0239503,0.072521,0.0528652,0.0187636,0.0312602,0.057482,0.0348126,0.0351106,0.0507295,0.0741203,0.0604257,0.0201151,0.0235713,0.0112401,0.0234688,0.0723116,0.0352586,0.0107362,0.0112026,0.0563704,0.0490198,0,0,0,0,0,0,0,0,0.0213089,0
106,0.0291641,0.0612404,0,0,0,0.0353413,0,0.0183754,0.0498353,0,0,0,0.0223191,0,0,0.0445055,0.0551359,0.0431407,0.0281236,0,0,0.0663668,0.0446809,0.037349,0.0624188,0.0587784,0.0217268,0.0642145,0.0684869,0.0381629,0.040053,0,0.00996217,0,0.0337052,0.0142848,0.0155956,0.022611,0,0.0262917,0.0442139,0.0390578,0,0,0.0194702,0,0,0.0238447,0.0727283,0.0558061,0.018197,0.0308171,0.0574946,0.0341138,0.035809,0.051384,0.0746557,0.060814,0.0196523,0.0242789,0.0114608,0.0234051,0.0739415,0.0356952,0.0105761,0.0107126,0.0563541,0.0490006,0,0,0,0,0,0,0,0,0.0236244,0
107,0.0289066,0.0612094,0,0,0,0.0414338,0,0.0158682,0.0496833,0,0,0,0.0223143,0,0,0.0444557,0.0563184,0.041202,0.0301348,0,0,0.0653376,0.044674,0.0364503,0.0642793,0.0585383,0.0205967,0.0641012,0.0680034,0.0370451,0.0411633,0,0.0071811,0,0.0336132,0.0142551,0.0155738,0.023287,0,0.027048,0.0435474,0.0394786,0,0,0.0197247,0,0,0.0242181,0.0725849,0.0568732,0.017951,0.0310675,0.0579547,0.0349345,0.0354308,0.0515905,0.074343,0.0604566,0.0190204,0.0245566,0.0116352,0.0234577,0.0746486,0.0352831,0.0106724,0.0111315,0.0560888,0.0494657,0,0,0,0,0,0,0,0,0.0213424,0
108,0.0290358,0.0614287,0,0,0,0.0417263,0,0.0162093,0.0510833,0,0,0,0.0217,0,0,0.0444834,0.0553385,0.0413829,0.0297589,0,0,0.0646211,0.0443282,0.0360763,0.0637253,0.0582966,0.0209521,0.06398,0.0679789,0.0371422,0.0408708,0,0.00727135,0,0.0338722,0.0138891,0.0162281,0.0237544,0,0.0268312,0.0430085,0.0396813,0,0,0.0197783,0,0,0.0243141,0.0726442,0.0566575,0.0176325,0.0315466,0.0576568,0.0348846,0.0354132,0.0518449,0.0743467,0.0603088,0.0187613,0.0244809,0.011818,0.0233347,0.0743416,0.0353812,0.01063,0.0110154,0.0560215,0.0495833,0,0,0,0,0,0,0,0,0.0210816,0
109,0.029084,0.0619137,0,0,0,0.0371924,0,0.0184636,0.0533315,0,0,0,0.0212789,0,0,0.0443216,0.0543749,0.0429497,0.0281288,0,0,0.0644837,0.0436998,0.0357424,0.0608811,0.0579661,0.0222572,0.0641973,0.0685175,0.0383603,0.0397364,0,0.00721465,0,0.0341816,0.0139931,0.0158932,0.0236165,0,0.0267852,0.0427037,0.0396615,0,0,0.0195198,0,0,0.0241631,0.0727648,0.0563714,0.0171686,0.032263,0.0570464,0.0340751,0.0356445,0.0521649,0.0746202,0.0603518,0.0188069,0.0240603,0.0117305,0.0234216,0.0739809,0.0359852,0.0104905,0.0105238,0.0560742,0.0494263,0,0,0,0,0,0,0,0,0.0226959,0
110,0.0293955,0.0621479,0,0,0,0.0431619,0,0.0166118,0.0536081,0,0,0,0.0209326,0,0,0.0442707,0.0545475,0.0415675,0.0291794,0,0,0.0630853,0.0430367,0.0349855,0.0624081,0.0579365,0.0218227,0.0639186,0.0680423,0.0374629,0.0404145,0,0.0078537,0,0.0340026,0.0138229,0.0159242,0.0233967,0,0.0268734,0.0419003,0.0400534,0,0,0.0195646,0,0,0.0243921,0.0730167,0.0556439,0.0171983,0.0333476,0.0568771,0.0346555,0.0354567,0.0523915,0.0746948,0.0600983,0.0193734,0.0236344,0.0114207,0.0239573,0.0735573,0.0357102,0.0105663,0.0109422,0.0559857,0.0496383,0,0,0,0,0,0,0,0,0.0204103,0
111,0.0289132,0.0623549,0,0,0,0.0386915,0,0.018453,0.0555652,0,0,0,0.0205997,0,0,0.0441683,0.0547271,0.0429262,0.0279785,0,0,0.062815,0.0426952,0.0343956,0.059471,0.0577167,0.0229507,0.064138,0.0685761,0.0386844,0.0395465,0,0.00601958,0,0.0339465,0.0139983,0.0154497,0.0232602,0,0.0270807,0.041746,0.0399712,0,0,0.0192086,0,0,0.0242448,0.0733719,0.0553879,0.0169386,0.0338086,0.0562192,0.0341726,0.0357426,0.0526758,0.0749614,0.0602394,0.0196895,0.0233065,0.0112695,0.0242222,0.0733393,0.0360953,0.0104379,0.010491,0.0559594,0.0494717,0,0,0,0,0,0,0,0,0.0218317,0
112,0.0289739,0.0622542,0,0,0,0.0441503,0,0.0168136,0.05563,0,0,0,0.0204838,0,0,0.0442019,0.0548847,0.0415912,0.028786,0,0,0.0618363,0.0421668,0.0336127,0.0606381,0.0576047,0.0223561,0.0640423,0.0682879,0.0379919,0.0402425,0,0.00907752,0,0.033647,0.0139945,0.0152135,0.0232966,0,0.0273008,0.0408089,0.0402143,0,0,0.0192219,0,0,0.0244724,0.0737446,0.0549609,0.0169766,0.0343076,0.0561913,0.034767,0.0356305,0.0529844,0.0750237,0.059982,0.0200637,0.0231881,0.0111662,0.0245714,0.0732786,0.0358099,0.0105187,0.0108707,0.0558463,0.0494974,0,0,0,0,0,0,0,0,0.019891,0
113,0.0290917,0.0620388,0,0,0,0.0440789,0,0.0174296,0.0571043,0,0,0,0.0200722,0,0,0.0444419,0.0545497,0.0418983,0.0282844,0,0,0.0614219,0.0415397,0.0330284,0.0595601,0.0575558,0.0229024,0.0640409,0.0682456,0.0382735,0.0398296,0,0.00894462,0,0.0334929,0.0138826,0.0154114,0.023406,0,0.0274118,0.0404192,0.0402767,0,0,0.0192113,0,0,0.024495,0.0742823,0.0544992,0.0164025,0.0342478,0.0560598,0.0348285,0.0357953,0.0532678,0.0752983,0.0600541,0.020245,0.0232715,0.0111884,0.0247019,0.0729274,0.0357905,0.0105235,0.0110132,0.0558477,0.0493017,0,0,0,0,0,0,0,0,0.0197446,0
114,0.0292263,0.0618509,0,0,0,0.0404452,0,0.0185154,0.058598,0,0,0,0.019978,0,0,0.0446307,0.0545283,0.0427421,0.0278364,0,0,0.0616795,0.0410839,0.0325198,0.0572887,0.0573899,0.0238411,0.0640866,0.0685754,0.0392692,0.0392138,0,0.00587677,0,0.0332722,0.0141402,0.0150734,0.0233821,0,0.027569,0.0405038,0.0402142,0,0,0.0191561,0,0,0.0243592,0.0745276,0.0543589,0.0160374,0.034019,0.0559169,0.0344307,0.0358611,0.0535386,0.0755109,0.060212,0.0202282,0.0233021,0.0111537,0.0247001,0.072742,0.0359982,0.010455,0.0108111,0.055848,0.0490693,0,0,0,0,0,0,0,0,0.0204307,0
115,0.0295507,0.0616089,0,0,0,0.0451613,0,0.0172697,0.0586919,0,0,0,0.0202867,0,0,0.0445228,0.0541042,0.0415945,0.0282163,0,0,0.0614246,0.0406802,0.0318581,0.0584015,0.0573315,0.023353,0.0638696,0.0684145,0.0387282,0.0396432,0,0.0105202,0,0.0327342,0.0141238,0.0146514,0.0232465,0,0.0277303,0.0398201,0.0403637,0,0,0.0190831,0,0,0.0246291,0.0746636,0.0537233,0.0161916,0.033903,0.0562513,0.0346871,0.0356496,0.0538641,0.0755374,0.0601026,0.0202813,0.0233648,0.0110156,0.0247547,0.0723138,0.0357498,0.0105786,0.0113167,0.0556983,0.0490646,0,0,0,0,0,0,0,0,0.0189997,0
116,0.0294476,0.0614609,0,0,0,0.0421164,0,0.0186886,0.0604666,0,0,0,0.0202841,0,0,0.0444806,0.0537672,0.0422985,0.0276511,0,0,0.0614966,0.0407515,0.0314885,0.0567767,0.0574938,0.0242119,0.0636995,0.0682757,0.0391564,0.0388293,0,0.00740243,0,0.0324286,0.0139229,0.0147478,0.0228892,0,0.0278531,0.0400474,0.0402855,0,0,0.0192595,0,0,0.0244008,0.0749628,0.0527316,0.016108,0.0335389,0.0563523,0.0344753,0.0356423,0.0539243,0.0755488,0.0602775,0.0202548,0.0235197,0.0108525,0.0247555,0.0714328,0.0357242,0.0106137,0.011187,0.0556016,0.0489905,0,0,0,0,0,0,0,0,0.019761,0
117,0.0293373,0.0613648,0,0,0,0.0407499,0,0.01918,0.061481,0,0,0,0.0205018,0,0,0.044497,0.053893,0.0423634,0.0277266,0,0,0.0615451,0.0409075,0.0311127,0.0552727,0.0574623,0.0246925,0.0636413,0.0683065,0.0395574,0.0384699,0,0.00598884,0,0.0322707,0.0139425,0.0146654,0.0223845,0,0.0277614,0.0403819,0.0401682,0,0,0.0191624,0,0,0.0243152,0.0750308,0.0520324,0.0161133,0.0334265,0.0566161,0.0341201,0.0355767,0.0540447,0.0754873,0.0601959,0.0203064,0.0235366,0.0106793,0.0248703,0.0708177,0.0357873,0.0106399,0.0110296,0.0555081,0.0489751,0,0,0,0,0,0,0,0,0.0199236,0
118,0.0292745,0.061241,0,0,0,0.0415309,0,0.0192991,0.0623552,0,0,0,0.0208471,0,0,0.0444945,0.0538084,0.0419893,0.0276607,0,0,0.0613009,0.041016,0.0304732,0.054811,0.0574641,0.0248923,0.0632625,0.068112,0.039452,0.0382821,0,0.00674848,0,0.0320788,0.0140012,0.0145566,0.0218484,0,0.0275857,0.0404591,0.0401162,0,0,0.0191164,0,0,0.0242974,0.0753849,0.0511265,0.0164245,0.0334457,0.0570619,0.0338627,0.035521,0.054185,0.0753896,0.0599943,0.0204809,0.0234108,0.0103723,0.0251471,0.0699259,0.035799,0.010557,0.011016,0.0554119,0.0489647,0,0,0,0,0,0,0,0,0.0197917,0
119,0.0290905,0.0610907,0,0,0,0.0407421,0,0.0195923,0.0630793,0,0,0,0.021205,0,0,0.0443944,0.0541134,0.0417415,0.0278077,0,0,0.0610394,0.0411137,0.029823,0.0540183,0.0574443,0.0252713,0.0632526,0.0679358,0.0396584,0.0379506,0,0.00622591,0,0.0320985,0.0140303,0.0144819,0.0216399,0,0.0274141,0.0408921,0.0400321,0,0,0.0190201,0,0,0.0242592,0.0757161,0.0499917,0.0167678,0.0334864,0.0575538,0.0333948,0.0354342,0.0543869,0.0752983,0.0597534,0.0208133,0.0230546,0.010007,0.0255772,0.0689629,0.0359217,0.0104799,0.0108803,0.0553019,0.0489281,0,0,0,0,0,0,0,0,0.0198073,0
120,0.0289102,0.0609177,0,0,0,0.0407989,0,0.0197517,0.0637752,0,0,0,0.0215628,0,0,0.0442332,0.0543901,0.0413077,0.0278444,0,0,0.0606116,0.0413819,0.0298036,0.0534905,0.0574409,0.0255867,0.0632221,0.0676763,0.0396397,0.0377036,0,0.0063426,0,0.0320558,0.0140389,0.0144435,0.021539,0,0.0272764,0.0411975,0.0399512,0,0,0.0189168,0,0,0.0242496,0.0760525,0.0488743,0.0173484,0.0335387,0.0581919,0.0329077,0.0352796,0.0546256,0.0751928,0.0594582,0.0213079,0.0225856,0.00967513,0.0261587,0.0680396,0.036043,0.0104486,0.0106987,0.0552774,0.0489306,0,0,0,0,0,0,0,0,0.0197472,0
121,0.0288103,0.0607792,0,0,0,0.0406249,0,0.0199391,0.0645568,0,0,0,0.0219105,0,0,0.0440188,0.0547609,0.0408691,0.027929,0,0,0.0600433,0.0417417,0.0297405,0.0530445,0.0574325,0.0259473,0.0630256,0.0675467,0.039621,0.0374367,0,0.00619317,0,0.0319746,0.0140188,0.0144518,0.0214678,0,0.0271132,0.041436,0.0398593,0,0,0.0187894,0,0,0.0242218,0.0762984,0.0481008,0.0178454,0.0335759,0.0588455,0.0323661,0.0351159,0.054957,0.0751117,0.0591649,0.0218679,0.0221472,0.00950723,0.0267207,0.0674968,0.0361961,0.0103883,0.0104479,0.0554071,0.0489149,0,0,0,0,0,0,0,0,0.0198628,0
122,0.0287856,0.0606833,0,0,0,0.0405412,0,0.0201089,0.0653298,0,0,0,0.0222566,0,0,0.0437572,0.0549647,0.0404487,0.0280381,0,0,0.0593382,0.0421159,0.0294781,0.052508,0.0574326,0.0262832,0.0626899,0.0674151,0.0395683,0.03723,0,0.00611646,0,0.031909,0.0139831,0.0144657,0.0214859,0,0.026884,0.0415443,0.0398064,0,0,0.0186704,0,0,0.024217,0.0765093,0.0476674,0.0183329,0.0337896,0.059465,0.0318464,0.0350512,0.0554097,0.0750932,0.0589123,0.0223929,0.0217668,0.00922671,0.0272245,0.0673541,0.0363539,0.0102871,0.0101668,0.0556273,0.048879,0,0,0,0,0,0,0,0,0.0201152,0
123,0.0287526,0.0606523,0,0,0,0.040496,0,0.0202493,0.0660529,0,0,0,0.0226109,0,0,0.0435275,0.0552019,0.0400159,0.0281597,0,0,0.0586379,0.0425161,0.0291119,0.0520814,0.057419,0.0264611,0.0623206,0.0672348,0.0395872,0.0370261,0,0.00618119,0,0.0319119,0.0140662,0.0143675,0.0216833,0,0.0266237,0.0415836,0.039762,0,0,0.0185361,0,0,0.024212,0.0767117,0.0474945,0.0187307,0.0340855,0.0600205,0.0313175,0.0350234,0.0559224,0.075119,0.0586798,0.0227653,0.021514,0.00881653,0.0275792,0.0675788,0.0365685,0.0101922,0.00984847,0.0558098,0.0488225,0,0,0,0,0,0,0,0,0.0201862,0
124,0.0286876,0.0606783,0,0,0,0.0407446,0,0.0202534,0.0666716,0,0,0,0.0229586,0,0,0.0433407,0.0554544,0.0395922,0.0281897,0,0,0.0579878,0.0428713,0.0286972,0.0519321,0.0573197,0.0265406,0.0623565,0.0670854,0.0395722,0.0369149,0,0.00661203,0,0.0318692,0.0143403,0.0141338,0.0220331,0,0.0268312,0.0414813,0.0397199,0,0,0.0183542,0,0,0.0242367,0.0768325,0.0476224,0.0190133,0.034221,0.0604581,0.0307705,0.0348963,0.0565743,0.0751944,0.0584785,0.0229314,0.021436,0.00840147,0.0277611,0.0682401,0.0368402,0.0100959,0.00954498,0.0560219,0.0487461,0,0,0,0,0,0,0,0,0.019929,0
125,0.0287349,0.0606808,0,0,0,0.0394619,0,0.0209114,0.0677027,0,0,0,0.0235458,0,0,0.0429216,0.0560413,0.0393407,0.0284949,0,0,0.0572131,0.0430892,0.0283669,0.0514294,0.0573708,0.0268327,0.061919,0.0665731,0.0393112,0.0362897,0,0.00554937,0,0.0317293,0.0146678,0.0134733,0.0224779,0,0.0273854,0.0415777,0.0396735,0,0,0.0183836,0,0,0.02427,0.0770361,0.0475799,0.0191598,0.0339504,0.0606899,0.0304733,0.0346329,0.057216,0.0752744,0.0583831,0.022947,0.0217785,0.00839176,0.0278741,0.0689984,0.0369168,0.0100977,0.0092817,0.0562346,0.0487364,0,0,0,0,0,0,0,0,0.0204675,0
126,0.0287569,0.0607251,0,0,0,0.038923,0,0.0211875,0.0682475,0,0,0,0.0239345,0,0,0.0425416,0.0565301,0.0390577,0.0286399,0,0,0.0565974,0.0432025,0.0279555,0.0510121,0.0572812,0.0269771,0.0616401,0.0662653,0.0390425,0.0359436,0,0.00518104,0,0.0315832,0.0143795,0.0136677,0.0229031,0,0.0278206,0.0415973,0.0396735,0,0,0.0183556,0,0,0.0242934,0.0771821,0.0477281,0.0190988,0.0333243,0.060841,0.030173,0.0344829,0.0579802,0.0753504,0.0582799,0.0229222,0.0222066,0.00866631,0.0280006,0.0697239,0.0369775,0.0100746,0.00909848,0.0564111,0.048744,0,0,0,0,0,0,0,0,0.0206373,0
127,0.028796,0.0607852,0,0,0,0.0385677,0,0.0214847,0.068596,0,0,0,0.0243123,0,0,0.0423822,0.0570334,0.0388303,0.0288022,0,0,0.0561152,0.0433798,0.0275827,0.0506347,0.0571623,0.0270895,0.0613253,0.0659118,0.0388027,0.0356193,0,0.00470336,0,0.0314004,0.0143922,0.0136252,0.0229968,0,0.0278968,0.0416988,0.0396526,0,0,0.0183778,0,0,0.0242491,0.0773019,0.047735,0.0192127,0.0325018,0.0609002,0.0299188,0.0345953,0.058792,0.0753845,0.0582621,0.0230318,0.022585,0.00886006,0.0283494,0.0699689,0.0370338,0.010017,0.00896334,0.0565561,0.0487724,0,0,0,0,0,0,0,0,0.0207811,0
128,0.0287717,0.0608175,0,0,0,0.0382228,0,0.0217528,0.0689929,0,0,0,0.0246663,0,0,0.0423794,0.0575374,0.0386183,0.0289502,0,0,0.0557284,0.0434991,0.0272514,0.0502373,0.0570509,0.027197,0.0609353,0.0655159,0.0386896,0.035329,0,0.00442265,0,0.0312425,0.0147342,0.0132628,0.0227072,0,0.0279867,0.0419739,0.0396703,0,0,0.0184212,0,0,0.0242069,0.0773876,0.0471064,0.0194388,0.0318121,0.0609516,0.0297274,0.0347991,0.059573,0.0754317,0.0583384,0.0234463,0.0228608,0.00885722,0.0289318,0.0696817,0.0370724,0.00997908,0.00885547,0.0566458,0.0487708,0,0,0,0,0,0,0,0,0.0209342,0
129,0.0288142,0.0608013,0,0,0,0.0378556,0,0.0219977,0.06938,0,0,0,0.0249745,0,0,0.0422144,0.0580448,0.0384343,0.0290637,0,0,0.0553901,0.0435334,0.026934,0.0498693,0.0570099,0.0273269,0.0605133,0.0651974,0.0386732,0.0350801,0,0.00428326,0,0.0310489,0.0147834,0.0131029,0.0219294,0,0.028022,0.0423844,0.0396947,0,0,0.0184467,0,0,0.0241667,0.077394,0.0458882,0.0195165,0.0313207,0.0609543,0.0295693,0.035039,0.0602824,0.0755002,0.058515,0.0241159,0.0229561,0.00868494,0.0295582,0.0687504,0.0370408,0.00999392,0.00876531,0.0566641,0.0487232,0,0,0,0,0,0,0,0,0.0210976,0
