Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77,LHEE,LBR
72,0.0278593,0.0639389,0,0,0,0.0337883,0,0.0173867,0.0448341,0,0,0,0.01889,0,0,0.0436829,0.061085,0.0370536,0.0216233,0,0,0.063264,0.0344654,0.0514901,0.0769219,0.0674781,0.0342875,0.0670746,0.0701982,0.0398172,0.0437522,0,0.0312336,0,0.0366343,0.0139399,0.0137989,0.0223508,0,0.0293211,0.0614596,0.0412791,0,0,0.0215682,0,0,0.0232012,0.0699691,0.0131513,0.027828,0.0331213,0.0507307,0.0359764,0.0315772,0.038274,0.0602129,0.0571366,0.0320625,0.0273506,0.0146894,0.0426373,0.015092,0.0352421,0.0113592,0.00984486,0.0591491,0.0437079,0,0,0,0,0,0,0,0,0.0400288,0
73,0.027928,0.0640049,0,0,0,0.0354772,0,0.018488,0.0459917,0,0,0,0.0188526,0,0,0.0435959,0.060671,0.0373673,0.0215007,0,0,0.0631364,0.0341745,0.0513002,0.0758918,0.0672612,0.034901,0.0667328,0.0702232,0.0406562,0.0431424,0,0.0257286,0,0.0368234,0.0139005,0.0138408,0.0230364,0,0.0293757,0.0609219,0.0413876,0,0,0.0213622,0,0,0.0231077,0.0702769,0.0132674,0.0280719,0.0333854,0.0506053,0.0354905,0.0316454,0.0377851,0.0599736,0.0569862,0.0322266,0.027502,0.0147109,0.0427123,0.0144453,0.0355209,0.0112735,0.0096659,0.0592355,0.0434149,0,0,0,0,0,0,0,0,0.03866,0
74,0.0280058,0.0640433,0,0,0,0.0368104,0,0.0196507,0.0473001,0,0,0,0.0188091,0,0,0.0435418,0.0601403,0.0377233,0.0218453,0,0,0.0629462,0.0338584,0.0510008,0.0744012,0.0669656,0.0353963,0.0662411,0.0699622,0.0411532,0.0421693,0,0.0214053,0,0.0369836,0.0139112,0.0138412,0.0237639,0,0.029362,0.060166,0.041511,0,0,0.0211779,0,0,0.0230146,0.0708243,0.0130901,0.0279552,0.0337808,0.0504348,0.0350723,0.0316903,0.0372082,0.0596337,0.0568033,0.0320726,0.0276835,0.0145776,0.0427121,0.0137544,0.0357766,0.0112029,0.00949703,0.0593364,0.0431283,0,0,0,0,0,0,0,0,0.0380259,0
75,0.0280642,0.0640426,0,0,0,0.0371394,0,0.0209997,0.0486945,0,0,0,0.0187485,0,0,0.0434952,0.05945,0.0380874,0.0226759,0,0,0.0627055,0.033554,0.0504218,0.0726434,0.0667078,0.0357075,0.0656263,0.0694993,0.0410436,0.0410462,0,0.0188294,0,0.0370895,0.0139146,0.0138771,0.0245327,0,0.0293416,0.0594581,0.0416227,0,0,0.0210254,0,0,0.0229397,0.0718427,0.0127997,0.0274832,0.034301,0.0502435,0.0347631,0.0317229,0.0367127,0.0592523,0.0566912,0.0321198,0.0278126,0.0146289,0.0427531,0.0130749,0.0359983,0.0111332,0.00931186,0.0594419,0.0428224,0,0,0,0,0,0,0,0,0.0378818,0
76,0.0281246,0.0640618,0,0,0,0.0371137,0,0.0224162,0.0497821,0,0,0,0.018753,0,0,0.0434353,0.0587329,0.0382439,0.0238855,0,0,0.0625327,0.0332753,0.0498731,0.0706949,0.0665435,0.0357268,0.064944,0.0691236,0.0408895,0.0400689,0,0.0177407,0,0.0371646,0.0139477,0.0138393,0.0253931,0,0.0293029,0.0588632,0.0417285,0,0,0.0208597,0,0,0.0228644,0.0725269,0.0122319,0.0271302,0.0348463,0.0501283,0.0344303,0.0316152,0.0364346,0.0588687,0.0564825,0.0322722,0.0280332,0.0144718,0.0428172,0.0122836,0.0362294,0.0110783,0.00913749,0.0595562,0.042553,0,0,0,0,0,0,0,0,0.0381028,0
77,0.0281509,0.0641061,0,0,0,0.0370594,0,0.0235594,0.0504757,0,0,0,0.0187573,0,0,0.0434002,0.0581154,0.0383465,0.0253839,0,0,0.0623261,0.0330449,0.0494925,0.0690786,0.0664879,0.0354821,0.064278,0.0687427,0.0408588,0.0392297,0,0.0181336,0,0.0373408,0.0140201,0.0137921,0.0262367,0,0.0291162,0.0583607,0.0418275,0,0,0.0207043,0,0,0.022804,0.0728488,0.0116074,0.0269587,0.0353401,0.0500745,0.0341769,0.031399,0.0363786,0.0585123,0.0562258,0.0323685,0.0281751,0.014747,0.0428659,0.0115451,0.0364232,0.0110118,0.00903947,0.0596802,0.0423583,0,0,0,0,0,0,0,0,0.0384163,0
78,0.0281584,0.0641571,0,0,0,0.0370287,0,0.0243077,0.050758,0,0,0,0.0187668,0,0,0.0433983,0.0576927,0.0383593,0.0270975,0,0,0.0621331,0.0328694,0.0490736,0.0678375,0.0663399,0.0350821,0.063529,0.0683384,0.0408686,0.0383021,0,0.0192378,0,0.0374617,0.0141047,0.0137358,0.0270856,0,0.028843,0.0580878,0.0418578,0,0,0.0205482,0,0,0.0227829,0.0731985,0.0109835,0.0268333,0.0357556,0.0501269,0.0340994,0.0311562,0.0365055,0.0583111,0.0560356,0.0323945,0.0282254,0.0149831,0.0429194,0.0108327,0.0365696,0.0110062,0.00894634,0.0597644,0.0422867,0,0,0,0,0,0,0,0,0.0386035,0
79,0.0281883,0.0642031,0,0,0,0.0364689,0,0.024572,0.0507922,0,0,0,0.0188212,0,0,0.0433979,0.0573746,0.0383702,0.0284507,0,0,0.0619377,0.0326975,0.0486176,0.0669227,0.0662202,0.0346847,0.0628362,0.0678991,0.0408513,0.0374419,0,0.0199098,0,0.0375208,0.0142451,0.0135645,0.028163,0,0.0286436,0.0578235,0.0418694,0,0,0.020383,0,0,0.0228248,0.0730481,0.0103353,0.0267141,0.036207,0.050141,0.0340658,0.0307963,0.0368868,0.0582259,0.0558949,0.0323733,0.0285186,0.0149306,0.0430156,0.0100097,0.0366651,0.0110621,0.00880975,0.0598423,0.0422832,0,0,0,0,0,0,0,0,0.0384919,0
80,0.0281143,0.0642497,0,0,0,0.0384732,0,0.0232675,0.0506692,0,0,0,0.0191292,0,0,0.043334,0.0571796,0.0383598,0.0288425,0,0,0.0618129,0.0325927,0.0481738,0.0665515,0.0661161,0.0345403,0.0623155,0.0680407,0.0401113,0.0358037,0,0.0204321,0,0.0375367,0.014651,0.0128159,0.0280574,0,0.0283229,0.0576814,0.0418408,0,0,0.020078,0,0,0.0229021,0.0730935,0.0104066,0.0264243,0.0361763,0.0499714,0.0339472,0.0304258,0.0371221,0.058179,0.0556548,0.0323841,0.0290375,0.0147772,0.0428,0.0102671,0.0368249,0.0111428,0.00881814,0.0599147,0.0423396,0,0,0,0,0,0,0,0,0.0402839,0
81,0.0280974,0.0642955,0,0,0,0.0387982,0,0.0232418,0.0505664,0,0,0,0.0190473,0,0,0.0433886,0.0569931,0.0384618,0.029089,0,0,0.0617324,0.0325752,0.0478534,0.0664281,0.0660217,0.0346324,0.0624231,0.0680725,0.0401626,0.0361277,0,0.020344,0,0.0375734,0.0146429,0.0129519,0.027036,0,0.0278042,0.0576607,0.0418395,0,0,0.0199459,0,0,0.0228638,0.0736325,0.0106608,0.0259431,0.0359291,0.0497342,0.0338359,0.0301763,0.0372921,0.0580834,0.0553,0.0323211,0.0294096,0.0146146,0.0423084,0.0111229,0.0369378,0.0111443,0.00871971,0.0599831,0.0423752,0,0,0,0,0,0,0,0,0.0401505,0
