Timestep,,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,RTIBA
29,0,0.036268,0.0580704,0,0,0,0.0556888,0,0.0174972,0.067099,0,0,0,0,0.0194464,0,0,0.041715,0.0636487,0.0188993,0.0264955,0.0263898,0,0,0.0423665,0.0365647,0.02249,0.049006,0.0548465,0.0270744,0.0599667,0.0660463,0.0346977,0.0344893,0,0.0236061,0,0.0366055,0.0139909,0.0127433,0.0189965,0,0.0342707,0.0523631,0.0398293,0,0,0.0187819,0,0,0.0212145,0.0730022,0.00882299,0.0233119,0.0442524,0.0548782,0.0251502,0.0353874,0.0461803,0.0657868,0.0604514,0.0353022,0.0116585,0.0814808,0.0220871,0.0385375,0.00946251,0.00621784,0.0532638,0.0519357,0,0,0,0,0,0,0,0
30,0,0.0363094,0.0581843,0,0,0,0.0576394,0,0.0164526,0.066116,0,0,0,0,0.019332,0,0,0.0417307,0.0628769,0.0217734,0.0258343,0.0269179,0,0,0.0425947,0.0361013,0.0225581,0.0503068,0.0550537,0.0264326,0.0598019,0.0657617,0.0336776,0.0348309,0,0.0253526,0,0.036643,0.0139685,0.0128414,0.0176552,0,0.0341827,0.0521498,0.0400914,0,0,0.0188391,0,0,0.0212384,0.0729344,0.00910723,0.023286,0.0438528,0.0546299,0.0258319,0.0347916,0.0463468,0.0658168,0.0597552,0.0356004,0.0119009,0.0812332,0.0233276,0.0381737,0.00955979,0.00657194,0.0536383,0.0516278,0,0,0,0,0,0,0,0
31,0,0.0362952,0.0583005,0,0,0,0.0570921,0,0.0159398,0.0650649,0,0,0,0,0.0192076,0,0,0.0417005,0.0624556,0.0245724,0.0254119,0.0273989,0,0,0.0432359,0.0355134,0.0228606,0.0511022,0.0552136,0.0259041,0.0597289,0.0656179,0.0329702,0.0349635,0,0.0248427,0,0.0367597,0.0139925,0.0128852,0.016777,0,0.0335904,0.0516376,0.0403922,0,0,0.0189086,0,0,0.0212589,0.0730834,0.00802062,0.0228316,0.042979,0.0543427,0.0267692,0.0336929,0.0460515,0.0654602,0.0584222,0.0360975,0.0117207,0.0800978,0.0243929,0.0377537,0.00973493,0.00698902,0.0539741,0.0515994,0,0,0,0,0,0,0,0
32,0,0.0361902,0.0583319,0,0,0,0.0557805,0,0.015706,0.063803,0,0,0,0,0.0190895,0,0,0.0417432,0.0621769,0.0272709,0.025122,0.0277621,0,0,0.0442336,0.035056,0.0233061,0.0518111,0.0554747,0.0256672,0.0594692,0.0653394,0.0320664,0.0349041,0,0.0240835,0,0.0367633,0.0140245,0.0129167,0.0171633,0,0.0326864,0.0510326,0.0406419,0,0,0.0190117,0,0,0.0213058,0.0734182,0.00634196,0.0222862,0.042425,0.0538474,0.0279459,0.0327076,0.0453031,0.0648026,0.057246,0.0363809,0.0111534,0.0787808,0.0248276,0.0372315,0.0099573,0.00753242,0.054236,0.0516839,0,0,0,0,0,0,0,0
33,0,0.0360153,0.0583296,0,0,0,0.0541406,0,0.0157212,0.0619145,0,0,0,0,0.0190201,0,0,0.0418529,0.0620929,0.0298175,0.0248918,0.0283422,0,0,0.0456965,0.0347297,0.0238468,0.0523437,0.0557005,0.0254159,0.0590727,0.0648382,0.0308487,0.034733,0,0.0234769,0,0.0365672,0.0139898,0.0129712,0.0180373,0,0.03198,0.050209,0.0408455,0,0,0.0192544,0,0,0.0212763,0.0737759,0.00517699,0.0217769,0.0422748,0.0532774,0.0293804,0.0320202,0.0446336,0.0641104,0.0564388,0.0362266,0.0104088,0.0779501,0.0247407,0.0366068,0.0101807,0.00817117,0.0543863,0.0516164,0,0,0,0,0,0,0,0
34,0,0.0358926,0.0582911,0,0,0,0.0519612,0,0.0158692,0.0599516,0,0,0,0,0.0189998,0,0,0.0420872,0.0620208,0.0316317,0.02478,0.0286976,0,0,0.0473227,0.0344843,0.0245981,0.0528206,0.0561378,0.0252459,0.0585044,0.0640617,0.0295103,0.0343994,0,0.0229972,0,0.0361312,0.013936,0.0130695,0.0190586,0,0.0316108,0.0493976,0.0410415,0,0,0.0198445,0,0,0.0210994,0.0740853,0.0048935,0.021437,0.042132,0.0527729,0.0308679,0.0316539,0.0441023,0.0635237,0.0559096,0.0358522,0.00973624,0.0776824,0.0242333,0.0357704,0.0104028,0.00886684,0.0544773,0.0515098,0,0,0,0,0,0,0,0
35,0,0.0358458,0.0582228,0,0,0,0.0493523,0,0.0159158,0.0579998,0,0,0,0,0.0190505,0,0,0.0424346,0.0618369,0.0326246,0.0247018,0.0287135,0,0,0.0489112,0.0343443,0.0254858,0.0534392,0.056745,0.0252196,0.0579181,0.0631355,0.0283023,0.034399,0,0.022046,0,0.0355551,0.0139014,0.0131814,0.0202951,0,0.0314418,0.0486975,0.0411495,0,0,0.0206599,0,0,0.0209957,0.0742062,0.00517124,0.0213477,0.0420483,0.0524352,0.032299,0.0314685,0.043785,0.0632373,0.0555585,0.0355242,0.00930697,0.0777705,0.023177,0.0347898,0.0107115,0.00966306,0.0545139,0.0514934,0,0,0,0,0,0,0,0
36,0,0.0357897,0.0581608,0,0,0,0.0464136,0,0.0154689,0.0560166,0,0,0,0,0.0192291,0,0,0.0427577,0.0615183,0.0327991,0.0246348,0.0284529,0,0,0.0504294,0.0344601,0.0265529,0.0542511,0.0574766,0.0254136,0.0574038,0.0621715,0.0274453,0.0348605,0,0.0203529,0,0.0349806,0.0138721,0.0133,0.0218482,0,0.0315269,0.0480974,0.0411931,0,0,0.0215969,0,0,0.0209594,0.0740648,0.00561043,0.0215461,0.0422294,0.0523253,0.0337631,0.0314542,0.0436301,0.0632791,0.0553825,0.0354187,0.00918271,0.0780474,0.021618,0.0337842,0.0111088,0.0104065,0.0545109,0.0515439,0,0,0,0,0,0,0,0
37,0,0.0357705,0.058109,0,0,0,0.0433748,0,0.0144016,0.054111,0,0,0,0,0.0194795,0,0,0.0428685,0.0611569,0.0324934,0.0246065,0.0281334,0,0,0.0517756,0.0346017,0.0278599,0.0549736,0.058407,0.0257935,0.0569487,0.0611758,0.0268281,0.0355117,0,0.0190975,0,0.0345069,0.0138342,0.0133422,0.0233589,0,0.0318537,0.047665,0.0412214,0,0,0.0225754,0,0,0.0209592,0.0736797,0.0061501,0.0220691,0.0426597,0.0524094,0.0350624,0.0315146,0.0436188,0.0635143,0.0553467,0.0355599,0.00939165,0.0784382,0.0200206,0.0328588,0.0115563,0.0110765,0.0544749,0.0516828,0,0,0,0,0,0,0,0
38,0,0.0358057,0.0580699,0,0,0,0.0400889,0,0.0132298,0.0523728,0,0,0,0,0.0198314,0,0,0.0430241,0.0608298,0.0323311,0.0245454,0.0279324,0,0,0.0528832,0.0348804,0.029259,0.0558724,0.0594745,0.0262763,0.0564976,0.0602111,0.0262762,0.0360531,0,0.020295,0,0.0341552,0.0138222,0.013416,0.0243556,0,0.0322737,0.0474769,0.0412257,0,0,0.0234739,0,0,0.0209461,0.0734175,0.00664507,0.0229015,0.0432404,0.0527076,0.0362058,0.0314247,0.0436872,0.0636691,0.0552976,0.0358158,0.00974632,0.0788844,0.018986,0.032057,0.0119344,0.0116736,0.0544557,0.0519202,0,0,0,0,0,0,0,0
39,0,0.0359274,0.0579421,0,0,0,0.0363558,0,0.0122472,0.0507711,0,0,0,0,0.0202138,0,0,0.0431728,0.0606074,0.0331128,0.0244085,0.0278305,0,0,0.0537301,0.0350505,0.030698,0.0570666,0.0605473,0.0267092,0.0560889,0.0594488,0.025917,0.0364151,0,0.0243904,0,0.0339667,0.0138301,0.013488,0.0247081,0,0.0326445,0.0475305,0.0412647,0,0,0.0242477,0,0,0.0209701,0.0732133,0.00698081,0.0238157,0.043857,0.0532085,0.0371863,0.0310918,0.0436166,0.0635245,0.0550711,0.0360344,0.0100735,0.079157,0.0184992,0.0313807,0.012233,0.012136,0.0543732,0.0522513,0,0,0,0,0,0,0,0
40,0,0.0361845,0.0577698,0,0,0,0.0327929,0,0.0116937,0.0492837,0,0,0,0,0.0204979,0,0,0.0431869,0.0605021,0.0353602,0.0241757,0.0278018,0,0,0.054431,0.0353121,0.0321849,0.0584651,0.0614977,0.0269756,0.0559869,0.059049,0.0261261,0.0369129,0,0.0316127,0,0.0339561,0.0138671,0.0134987,0.0244377,0,0.0327606,0.0479192,0.0413294,0,0,0.0247824,0,0,0.0210857,0.0731244,0.00713209,0.0246182,0.0440827,0.0537582,0.0379458,0.0306452,0.0432663,0.0631701,0.0547022,0.0361635,0.0102811,0.0791598,0.0182455,0.030926,0.0124424,0.0123797,0.0542796,0.0526318,0,0,0,0,0,0,0,0
41,0,0.036628,0.0575904,0,0,0,0.0308869,0,0.0128948,0.0479805,0,0,0,0,0.0206627,0,0,0.0430547,0.0603535,0.0385949,0.024037,0.0278038,0,0,0.0550808,0.035662,0.0336204,0.0597678,0.0622003,0.0270051,0.0563702,0.0589737,0.0268466,0.0379133,0,0.0417444,0,0.034082,0.0139368,0.013441,0.0242117,0,0.0326626,0.0485508,0.0413252,0,0,0.0250098,0,0,0.0212103,0.0729949,0.00729301,0.0250747,0.043706,0.0541346,0.0383555,0.0303465,0.0428174,0.0628798,0.0544104,0.0362574,0.0103903,0.078985,0.0180455,0.0307746,0.0125405,0.012402,0.0541504,0.0529433,0,0,0,0,0,0,0,0
42,0,0.0368509,0.0574026,0,0,0,0.0308308,0,0.014645,0.0467766,0,0,0,0,0.0207036,0,0,0.0428463,0.0601498,0.0421076,0.0240926,0.0279043,0,0,0.0556409,0.0361794,0.0347353,0.0606105,0.0626337,0.0268311,0.0569402,0.0589902,0.0274275,0.0391039,0,0.0501089,0,0.0342778,0.0139868,0.0133854,0.0240735,0,0.0325624,0.0492187,0.0411905,0,0,0.0249391,0,0,0.0212972,0.0728365,0.00742947,0.025167,0.0430329,0.0542175,0.0383725,0.0302668,0.0424758,0.06274,0.0544057,0.0363185,0.0102502,0.0789617,0.0178532,0.0309166,0.0125103,0.0122493,0.0539974,0.0531934,0,0,0,0,0,0,0,0
43,0,0.0368609,0.0573113,0,0,0,0.0311603,0,0.0152695,0.0456716,0,0,0,0,0.0206708,0,0,0.0426662,0.059936,0.0452734,0.0242982,0.0281842,0,0,0.0560213,0.036712,0.0355486,0.0611219,0.0628719,0.0266028,0.0575497,0.0590957,0.0275354,0.0401458,0,0.0551768,0,0.0344876,0.0139462,0.0134097,0.0240952,0,0.0325059,0.0497952,0.0410943,0,0,0.024633,0,0,0.021327,0.0725836,0.00749393,0.0251084,0.0424465,0.0540442,0.0380584,0.0303286,0.0423426,0.0627201,0.0546005,0.0363613,0.010131,0.0789958,0.0175612,0.0312561,0.0124045,0.012,0.0539406,0.0533652,0,0,0,0,0,0,0,0
44,0,0.0368344,0.0573869,0,0,0,0.0316128,0,0.0153049,0.0446606,0,0,0,0,0.0205578,0,0,0.0424872,0.0595708,0.0477387,0.0246197,0.0286201,0,0,0.0562117,0.0371836,0.0363088,0.0614923,0.0630455,0.0264736,0.0583718,0.0594667,0.0277723,0.0412593,0,0.0583067,0,0.034686,0.0139052,0.0134188,0.0244226,0,0.0325116,0.0503844,0.0410322,0,0,0.0241836,0,0,0.0212941,0.0723351,0.00756175,0.0251254,0.0421235,0.0537338,0.0376803,0.030456,0.0423434,0.0627468,0.0548638,0.0363594,0.0101104,0.0790278,0.0171154,0.0317522,0.0122546,0.0117241,0.0539859,0.0534656,0,0,0,0,0,0,0,0
45,0,0.0367829,0.0576121,0,0,0,0.0321177,0,0.0154151,0.0437304,0,0,0,0,0.0204206,0,0,0.0423282,0.059097,0.0494563,0.0250201,0.0292062,0,0,0.0561516,0.0374596,0.0371643,0.0618478,0.0632413,0.0264128,0.0593381,0.0599983,0.0284061,0.0425052,0,0.060777,0,0.034855,0.0139034,0.0133808,0.0250755,0,0.0325643,0.0509721,0.0409364,0,0,0.0237098,0,0,0.0212453,0.0721557,0.00764659,0.0252504,0.0419727,0.0533306,0.0372592,0.0305952,0.0423924,0.0627774,0.0551267,0.0363503,0.0100761,0.0791332,0.0165134,0.032302,0.0120503,0.0114107,0.0541724,0.0535612,0,0,0,0,0,0,0,0
46,0,0.036688,0.057931,0,0,0,0.0326727,0,0.0155872,0.0429371,0,0,0,0,0.0202735,0,0,0.042234,0.0589206,0.0506145,0.0254526,0.0298631,0,0,0.0559808,0.037665,0.0376022,0.0622937,0.0635442,0.0263952,0.0601963,0.0605121,0.0291241,0.0437583,0,0.0628199,0,0.0350245,0.0139116,0.0133302,0.0257927,0,0.0325937,0.0514471,0.040805,0,0,0.0232694,0,0,0.0211887,0.0720459,0.00777727,0.0254695,0.0419056,0.0529393,0.036833,0.0307383,0.0424098,0.0628026,0.0553655,0.0363832,0.0100422,0.0792419,0.0159858,0.0328306,0.0118918,0.011119,0.054437,0.0535831,0,0,0,0,0,0,0,0
47,0,0.0365649,0.0582638,0,0,0,0.0332351,0,0.015646,0.0421135,0,0,0,0,0.0201311,0,0,0.0422279,0.0589295,0.0515776,0.0258448,0.0304189,0,0,0.0558327,0.0378036,0.0381034,0.0627394,0.0638753,0.0264366,0.0608035,0.0609002,0.0297882,0.0449056,0,0.0642933,0,0.0351827,0.0139302,0.0132851,0.0264737,0,0.0326142,0.051853,0.0406561,0,0,0.022924,0,0,0.021125,0.0719708,0.00794428,0.025783,0.0417554,0.0526609,0.0365084,0.0309214,0.0423244,0.0628963,0.0555882,0.0364755,0.0101315,0.0793024,0.0155759,0.033272,0.0118229,0.0109006,0.0546744,0.0534966,0,0,0,0,0,0,0,0
48,0,0.0364309,0.0585072,0,0,0,0.0337505,0,0.0156535,0.0412166,0,0,0,0,0.0200418,0,0,0.0423659,0.0589737,0.0524989,0.0262135,0.0307375,0,0,0.0556229,0.0378492,0.0389178,0.0631689,0.0642156,0.0265581,0.0611413,0.0611081,0.0303032,0.0457944,0,0.0653978,0,0.0353186,0.01399,0.013259,0.027421,0,0.0325626,0.0522266,0.0405075,0,0,0.022708,0,0,0.0210697,0.071962,0.0082123,0.0260518,0.0415498,0.0524122,0.0363445,0.0311821,0.0420422,0.0629659,0.0558701,0.0365909,0.0101841,0.0794279,0.0152016,0.0335641,0.0117969,0.0107705,0.0548698,0.0534166,0,0,0,0,0,0,0,0
49,0,0.0362768,0.0586064,0,0,0,0.0340563,0,0.0157628,0.0402743,0,0,0,0,0.0200011,0,0,0.0425337,0.058956,0.0533948,0.0266331,0.0307484,0,0,0.055409,0.0378017,0.039379,0.0637227,0.0645784,0.0267019,0.0613345,0.0610776,0.0305831,0.0463456,0,0.0663713,0,0.0354614,0.0140868,0.0132212,0.0286484,0,0.0324369,0.0525888,0.0404019,0,0,0.0226155,0,0,0.0210439,0.0719821,0.00851407,0.0262397,0.0413357,0.0522818,0.0363377,0.0314711,0.0416555,0.062956,0.0561332,0.0366849,0.0102992,0.079569,0.0148934,0.0336859,0.0118085,0.01074,0.0550154,0.0533252,0,0,0,0,0,0,0,0
50,0,0.0360909,0.0585612,0,0,0,0.034176,0,0.016058,0.039396,0,0,0,0,0.0199958,0,0,0.0426836,0.0590424,0.0542103,0.0270728,0.0305394,0,0,0.05531,0.0377866,0.03967,0.0643135,0.0649062,0.0268369,0.0612235,0.0608794,0.0306294,0.0466262,0,0.0673763,0,0.0356065,0.0141137,0.0132522,0.0298097,0,0.0323673,0.0529542,0.0403505,0,0,0.0226744,0,0,0.0210274,0.0719071,0.00882803,0.0264247,0.0411508,0.0522681,0.0364984,0.0318045,0.0412185,0.0628841,0.0563482,0.0367601,0.0104408,0.0797097,0.0147351,0.0336668,0.0118636,0.0108045,0.0551355,0.053205,0,0,0,0,0,0,0,0
51,0,0.0358895,0.0584253,0,0,0,0.0342566,0,0.0164747,0.038625,0,0,0,0,0.0200032,0,0,0.0427792,0.059316,0.0550503,0.0275248,0.0302821,0,0,0.0554116,0.0378626,0.0403116,0.0648752,0.0651616,0.0269654,0.060911,0.0606076,0.0305349,0.0467387,0,0.0683688,0,0.0357523,0.0140666,0.0133478,0.030876,0,0.0323947,0.0533736,0.0403671,0,0,0.022862,0,0,0.0210211,0.0718059,0.00922773,0.0266353,0.0410758,0.0523518,0.0368111,0.0321456,0.0407669,0.0628247,0.0565635,0.0368219,0.0105763,0.0798962,0.0147481,0.0335565,0.0119236,0.0109193,0.055211,0.0530531,0,0,0,0,0,0,0,0
52,0,0.0357328,0.058268,0,0,0,0.0343903,0,0.0168756,0.0379784,0,0,0,0,0.020013,0,0,0.0427998,0.0596253,0.0560056,0.0280322,0.0300484,0,0,0.0557276,0.0379696,0.0410792,0.0654184,0.065386,0.0270133,0.0607008,0.0603841,0.0304624,0.0468284,0,0.0693199,0,0.035879,0.0140273,0.0133961,0.0321117,0,0.0324087,0.0539121,0.0404406,0,0,0.0230688,0,0,0.0210306,0.0716999,0.00960592,0.0268078,0.0409936,0.0524192,0.0371676,0.032479,0.0403328,0.0628421,0.0568119,0.0368817,0.0106955,0.0801796,0.0149291,0.0333908,0.011995,0.0109946,0.0552593,0.0528969,0,0,0,0,0,0,0,0
53,0,0.0358705,0.0580328,0,0,0,0.0306818,0,0.0238905,0.0372764,0,0,0,0,0.0196004,0,0,0.04314,0.0594032,0.0602047,0.0295369,0.0308275,0,0,0.0567928,0.0386932,0.0424987,0.0676134,0.0671673,0.0282393,0.0595517,0.0576616,0.029903,0.0485289,0,0.0606639,0,0.0364286,0.0136092,0.013209,0.0294957,0,0.0322821,0.0548313,0.0398115,0,0,0.0238487,0,0,0.0203352,0.0720962,0.0113429,0.0258273,0.0421838,0.0514203,0.0372701,0.0328274,0.0387641,0.0620635,0.0569304,0.0386172,0.0121711,0.0794862,0.0149998,0.0330587,0.012497,0.0108481,0.0552549,0.053177,0,0,0,0,0,0,0,0
54,0,0.0357471,0.0579152,0,0,0,0.0307541,0,0.0242027,0.0370654,0,0,0,0,0.0195252,0,0,0.043193,0.0595684,0.0610822,0.0301783,0.0308095,0,0,0.0574646,0.0388052,0.0433334,0.0683662,0.0672575,0.0282135,0.0597205,0.0576244,0.0300489,0.0487945,0,0.0613275,0,0.0366005,0.0137425,0.0131003,0.0304695,0,0.0321289,0.0554654,0.039892,0,0,0.0239984,0,0,0.0203355,0.0720668,0.0118839,0.0259088,0.0420514,0.0513765,0.0375202,0.0332244,0.0384934,0.0620761,0.0572602,0.0387871,0.012227,0.0796432,0.0149297,0.0329323,0.0125873,0.010887,0.0553713,0.0530352,0,0,0,0,0,0,0,0
55,0,0.0356139,0.0578644,0,0,0,0.0309619,0,0.0244148,0.0369838,0,0,0,0,0.0194681,0,0,0.0431611,0.0596143,0.0616826,0.0308365,0.0307704,0,0,0.0582084,0.038876,0.0439921,0.0692203,0.0673305,0.028221,0.0601043,0.0577185,0.0302791,0.0491788,0,0.0617108,0,0.036769,0.0137795,0.0130584,0.0313022,0,0.0319687,0.0561147,0.039957,0,0,0.0241495,0,0,0.0203063,0.0721024,0.0123994,0.0260053,0.041929,0.0512481,0.0376514,0.0335689,0.0381488,0.0620766,0.0575878,0.0389115,0.0123105,0.0798688,0.0149095,0.0328745,0.0125963,0.0108446,0.0555456,0.0529002,0,0,0,0,0,0,0,0
56,0,0.0355051,0.0578557,0,0,0,0.0312126,0,0.0245492,0.0369692,0,0,0,0,0.0194142,0,0,0.0430622,0.0596628,0.0620079,0.0314541,0.0306775,0,0,0.0588979,0.0388385,0.0446796,0.0700355,0.0674298,0.0283074,0.0606316,0.058026,0.0306252,0.0496622,0,0.0617528,0,0.0369483,0.0137653,0.0130367,0.0319195,0,0.0318428,0.0567827,0.0400263,0,0,0.0242606,0,0,0.0202842,0.0721501,0.0128652,0.0261126,0.0417753,0.0510625,0.0376575,0.0339033,0.0377437,0.0620782,0.0579156,0.0389833,0.0123927,0.0800572,0.0149812,0.0328877,0.0125465,0.0107697,0.0557788,0.052763,0,0,0,0,0,0,0,0
57,0,0.0354012,0.0578909,0,0,0,0.0314554,0,0.0246103,0.0370037,0,0,0,0,0.0193564,0,0,0.0429683,0.0597259,0.0622463,0.0320851,0.0305855,0,0,0.0594758,0.0388909,0.0458826,0.0708448,0.0675209,0.0284809,0.0613429,0.0585021,0.0310401,0.0502651,0,0.0616105,0,0.0371266,0.0137956,0.0129962,0.0324443,0,0.0318157,0.0574439,0.0400935,0,0,0.0242833,0,0,0.0202334,0.0721978,0.0131702,0.0262387,0.0415634,0.0508649,0.0376799,0.0342149,0.0374702,0.0620665,0.058238,0.0390495,0.0124874,0.0803297,0.0150799,0.0329964,0.0124551,0.0106555,0.0560492,0.0525819,0,0,0,0,0,0,0,0
58,0,0.0353116,0.057976,0,0,0,0.0317044,0,0.0245265,0.0370333,0,0,0,0,0.019298,0,0,0.0429261,0.0597924,0.0624338,0.0326832,0.0305758,0,0,0.0598989,0.0389543,0.0470372,0.0717007,0.0676162,0.0287259,0.0620555,0.0590679,0.0315066,0.0508767,0,0.0614489,0,0.0372754,0.0138595,0.0129562,0.0329439,0,0.031819,0.058127,0.0400978,0,0,0.0242366,0,0,0.0201907,0.0722176,0.0133658,0.0263965,0.0413342,0.0506016,0.0376255,0.0344778,0.037207,0.0620107,0.0585323,0.0391604,0.0125806,0.080429,0.0151676,0.033158,0.0123613,0.0105038,0.0563144,0.0523887,0,0,0,0,0,0,0,0
59,0,0.0352371,0.0581281,0,0,0,0.0319661,0,0.0244082,0.0370235,0,0,0,0,0.0192149,0,0,0.0428531,0.0598584,0.0625821,0.033208,0.0306157,0,0,0.0602233,0.0389636,0.0478878,0.0726661,0.0677717,0.0290592,0.0627229,0.0596526,0.0320088,0.0513636,0,0.0613706,0,0.0374127,0.0138437,0.0129776,0.0334187,0,0.0318111,0.0588131,0.0400839,0,0,0.0241397,0,0,0.020197,0.0721817,0.0135593,0.0265891,0.0411651,0.050233,0.037592,0.0346882,0.0368835,0.0619342,0.0587824,0.039297,0.0126739,0.0804349,0.0151672,0.0333458,0.0123249,0.0103256,0.0565425,0.0522294,0,0,0,0,0,0,0,0
60,0,0.0351528,0.0583168,0,0,0,0.0321356,0,0.0243927,0.0370226,0,0,0,0,0.0191206,0,0,0.0427889,0.0599539,0.0627539,0.0336401,0.0306079,0,0,0.0604575,0.038927,0.0487325,0.0737725,0.067941,0.029457,0.063278,0.0602315,0.0324772,0.051722,0,0.0613775,0,0.0375682,0.0138212,0.0130169,0.0338573,0,0.0317838,0.0594924,0.0400458,0,0,0.0240223,0,0,0.0201959,0.072069,0.0137385,0.0268479,0.0410641,0.0497962,0.0374949,0.0348733,0.0365041,0.0618629,0.059015,0.0393593,0.0127326,0.0806725,0.0151981,0.0335241,0.012275,0.0101547,0.0566143,0.0520996,0,0,0,0,0,0,0,0
61,0,0.0350482,0.0585333,0,0,0,0.0322524,0,0.0243319,0.0370773,0,0,0,0,0.0190665,0,0,0.0428391,0.0600723,0.0628789,0.0339949,0.0305787,0,0,0.060626,0.0389784,0.049621,0.0748321,0.0681012,0.029815,0.063834,0.0608352,0.0329701,0.0519744,0,0.0614522,0,0.0377414,0.0139413,0.0129466,0.0341346,0,0.03173,0.0601201,0.0399844,0,0,0.0238798,0,0,0.0201941,0.0719883,0.0139274,0.0271837,0.0409589,0.0493594,0.0373389,0.0350447,0.0361634,0.0618095,0.0592235,0.0394135,0.0127529,0.0807341,0.0152715,0.0336826,0.0122232,0.0100079,0.0566087,0.0519887,0,0,0,0,0,0,0,0
62,0,0.0349791,0.058717,0,0,0,0.0324018,0,0.0241569,0.0371861,0,0,0,0,0.0189849,0,0,0.0428637,0.0602448,0.0629071,0.0343445,0.0305762,0,0,0.0607321,0.0388848,0.0505131,0.0757523,0.0682111,0.0301148,0.0644414,0.0614908,0.033487,0.0522222,0,0.0615715,0,0.0379256,0.0139817,0.0129533,0.0343662,0,0.0316527,0.0606702,0.0399201,0,0,0.02377,0,0,0.0201799,0.0721678,0.0141447,0.0275956,0.0408253,0.048973,0.0371713,0.0351586,0.0358566,0.0617461,0.0593694,0.039449,0.012777,0.0806956,0.0154364,0.0338301,0.0121713,0.00985086,0.056554,0.0518742,0,0,0,0,0,0,0,0
63,0,0.0349229,0.05885,0,0,0,0.0324985,0,0.0239526,0.0373453,0,0,0,0,0.0188902,0,0,0.0428128,0.0604025,0.0627975,0.0346994,0.0305326,0,0,0.0607324,0.0386392,0.0513411,0.0766686,0.0683206,0.0304382,0.0650476,0.0621562,0.0340032,0.052462,0,0.0616851,0,0.0380883,0.0139201,0.0130031,0.0346687,0,0.0315127,0.0611165,0.0398938,0,0,0.0237243,0,0,0.0201831,0.0725402,0.0144427,0.0280753,0.04077,0.048662,0.0370051,0.035129,0.0357259,0.0616558,0.0593505,0.0395089,0.0129072,0.0807537,0.0156412,0.0339748,0.0120729,0.00974,0.0565148,0.0517171,0,0,0,0,0,0,0,0
64,0,0.0348656,0.0589567,0,0,0,0.0324419,0,0.0236284,0.0375445,0,0,0,0,0.0187952,0,0,0.0427644,0.0605843,0.06229,0.0349756,0.0304969,0,0,0.0606634,0.0384589,0.0524159,0.0775777,0.0684663,0.0307794,0.0655348,0.0627645,0.034412,0.0525836,0,0.061414,0,0.0382595,0.013889,0.0130395,0.0349034,0,0.0314413,0.0615604,0.0398981,0,0,0.0237233,0,0,0.0201651,0.0728578,0.0146173,0.0280651,0.0407185,0.0484222,0.0369373,0.0350674,0.0356058,0.0615804,0.0592777,0.0395752,0.0129707,0.0807781,0.0157297,0.0340952,0.0119806,0.00966269,0.0565115,0.051605,0,0,0,0,0,0,0,0
65,0,0.0347841,0.0590902,0,0,0,0.0323085,0,0.0230954,0.0376912,0,0,0,0,0.0187366,0,0,0.0428917,0.0607408,0.0612725,0.0351978,0.0304931,0,0,0.0604886,0.0385207,0.053069,0.0786264,0.0686624,0.0311393,0.0658062,0.0632183,0.0347203,0.0524821,0,0.0604665,0,0.0383997,0.0141647,0.012844,0.0350547,0,0.0314189,0.0620639,0.0398962,0,0,0.0237149,0,0,0.0201958,0.0730388,0.0146801,0.0275452,0.0405357,0.0482161,0.0369125,0.0350971,0.0354484,0.0615181,0.0593259,0.0396018,0.0129361,0.0808759,0.015814,0.0341756,0.0119249,0.00962607,0.0565967,0.0514943,0,0,0,0,0,0,0,0
66,0,0.0347953,0.0591133,0,0,0,0.0320944,0,0.0222573,0.037695,0,0,0,0,0.0186922,0,0,0.0429255,0.0609686,0.0596568,0.0352518,0.0307235,0,0,0.0603633,0.038477,0.0533897,0.0797473,0.06887,0.0312489,0.0658567,0.063512,0.0349453,0.0522197,0,0.0584767,0,0.0385105,0.0142221,0.0128512,0.0350407,0,0.0314312,0.0625647,0.0399005,0,0,0.0236822,0,0,0.0202344,0.0732513,0.0146914,0.0274336,0.0403396,0.0481075,0.0369334,0.0351585,0.035227,0.0614447,0.0594564,0.0396764,0.0129072,0.0808989,0.0160791,0.034236,0.0119119,0.0096037,0.0565861,0.0514957,0,0,0,0,0,0,0,0
