Timestep,,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,RTIBA
9,0,0.0360405,0.0571538,0,0,0,0.0461801,0,0.0252234,0.0694986,0,0,0,0,0.0197428,0,0,0.0422995,0.0598124,0.0139065,0.0354624,0.0272604,0,0,0.0487866,0.0419281,0.0244139,0.0495006,0.0562938,0.0280147,0.0604028,0.0653271,0.0365461,0.0351961,0,0.014981,0,0.035944,0.0132799,0.0138462,0.0243223,0,0.0330935,0.0472766,0.0376037,0,0,0.0194986,0,0,0.0204145,0.0780436,0.0161542,0.0188375,0.0401959,0.0563104,0.0262549,0.035878,0.0506835,0.0684956,0.060142,0.0356011,0.010502,0.078204,0.0262968,0.0378181,0.00913968,0.00662779,0.0517888,0.055656,0,0,0,0,0,0,0,0
10,0,0.0361841,0.0569901,0,0,0,0.0463511,0,0.0252921,0.0693107,0,0,0,0,0.0196207,0,0,0.0420975,0.0601889,0.0138405,0.0353585,0.0273617,0,0,0.0481571,0.0416228,0.0241785,0.0491302,0.0559499,0.027779,0.0605282,0.0654417,0.0366323,0.035235,0,0.0151478,0,0.0360734,0.013331,0.0136271,0.0279974,0,0.0334871,0.047799,0.0378351,0,0,0.0193833,0,0,0.0204721,0.0768297,0.0147621,0.0197746,0.0405425,0.0561215,0.0258776,0.0372071,0.049837,0.0686773,0.0614011,0.0359148,0.0112604,0.0792482,0.0217201,0.0380682,0.00919702,0.00631176,0.051699,0.0554246,0,0,0,0,0,0,0,0
11,0,0.0362688,0.0568528,0,0,0,0.0469005,0,0.0253553,0.0691907,0,0,0,0,0.0195694,0,0,0.0419098,0.0607394,0.0139425,0.0351622,0.0274659,0,0,0.0475092,0.0412414,0.0240025,0.048795,0.0556822,0.0276759,0.0606225,0.065517,0.0367997,0.0353257,0,0.0155065,0,0.0361601,0.0133091,0.0134866,0.031103,0,0.0343922,0.0486466,0.0380489,0,0,0.0192774,0,0,0.0205151,0.076128,0.0132599,0.0206589,0.0407222,0.0558406,0.0255472,0.0384208,0.04885,0.0688346,0.0625354,0.0364851,0.0122001,0.0802429,0.0187236,0.0382964,0.00915694,0.00608481,0.0516429,0.0552011,0,0,0,0,0,0,0,0
12,0,0.03639,0.0567187,0,0,0,0.0475922,0,0.025434,0.0690561,0,0,0,0,0.0195225,0,0,0.0417219,0.0613865,0.0140302,0.0348827,0.027562,0,0,0.0468249,0.0409986,0.0238925,0.0484914,0.0555336,0.0276545,0.0606666,0.0655658,0.0370077,0.0353687,0,0.0160305,0,0.0362336,0.0132976,0.0133515,0.0334197,0,0.0352553,0.0496269,0.03827,0,0,0.0192236,0,0,0.0205874,0.0759174,0.0117824,0.0215087,0.0406011,0.0557984,0.0251005,0.039515,0.0480391,0.0689938,0.0635878,0.0371986,0.0131551,0.0811516,0.0174103,0.0384807,0.00906719,0.00593848,0.0514652,0.0550141,0,0,0,0,0,0,0,0
13,0,0.0363344,0.0567392,0,0,0,0.0482213,0,0.0255349,0.0684261,0,0,0,0,0.0193328,0,0,0.0414756,0.061988,0.0139648,0.0345603,0.0278197,0,0,0.0467269,0.0403538,0.023513,0.0480554,0.0551378,0.0274657,0.0608397,0.0657772,0.0372319,0.0354954,0,0.016509,0,0.036602,0.0133305,0.0131521,0.0357901,0,0.0357166,0.0498059,0.0386374,0,0,0.019062,0,0,0.0207051,0.0751117,0.010632,0.0221358,0.0407533,0.0567242,0.0247473,0.0402208,0.0473137,0.0689834,0.0643589,0.0381345,0.0141493,0.0817512,0.0164933,0.0388087,0.0090959,0.00568076,0.0511329,0.0549102,0,0,0,0,0,0,0,0
14,0,0.0363667,0.0567074,0,0,0,0.048718,0,0.0254644,0.068531,0,0,0,0,0.0192214,0,0,0.0413458,0.0623373,0.0139994,0.0343976,0.0278041,0,0,0.0461361,0.0403861,0.0234317,0.04793,0.0549392,0.0274571,0.0609104,0.0658365,0.0370757,0.0356665,0,0.0171202,0,0.0366865,0.0132707,0.0131774,0.0372854,0,0.0360704,0.0504254,0.038761,0,0,0.018994,0,0,0.0207589,0.0743463,0.0101838,0.0226868,0.0407559,0.0565386,0.0245127,0.0408615,0.0469738,0.0690864,0.0651493,0.0388449,0.0147297,0.0821134,0.0162168,0.0388982,0.0091269,0.00557147,0.0513115,0.0547062,0,0,0,0,0,0,0,0
15,0,0.0363897,0.0566556,0,0,0,0.0490983,0,0.0253408,0.0686305,0,0,0,0,0.0192045,0,0,0.0413243,0.0627437,0.0140716,0.0341482,0.0277262,0,0,0.0456768,0.0403911,0.0233468,0.0478186,0.0548176,0.0275574,0.0609192,0.0658611,0.0369913,0.0357701,0,0.0177624,0,0.0366137,0.0132801,0.0131822,0.0381303,0,0.0363552,0.0509656,0.0388494,0,0,0.0190287,0,0,0.0207395,0.0741372,0.0101575,0.0228665,0.0409141,0.0561853,0.0242328,0.0410987,0.0468281,0.0690258,0.0657651,0.039361,0.0151012,0.0821805,0.0161317,0.0389335,0.0090948,0.00554041,0.0515184,0.0544256,0,0,0,0,0,0,0,0
16,0,0.0364735,0.0565926,0,0,0,0.0498109,0,0.0251345,0.0687244,0,0,0,0,0.0192286,0,0,0.0413236,0.0631549,0.0141274,0.0337685,0.0275958,0,0,0.0453089,0.040114,0.0232641,0.0477617,0.0547931,0.0277493,0.0609026,0.0658302,0.0369586,0.0358001,0,0.0185462,0,0.0364751,0.0132686,0.0131453,0.0379231,0,0.0366515,0.0513712,0.0389774,0,0,0.0190926,0,0,0.0207375,0.074314,0.0106758,0.0226183,0.0409769,0.0558588,0.0242364,0.0408839,0.0467837,0.0688246,0.066049,0.0396466,0.0152109,0.0821077,0.0164008,0.0388598,0.00905295,0.00553279,0.0516647,0.0539956,0,0,0,0,0,0,0,0
17,0,0.0365059,0.056573,0,0,0,0.0505634,0,0.0248204,0.068918,0,0,0,0,0.0191714,0,0,0.0413295,0.0634784,0.0140648,0.0332941,0.027393,0,0,0.0450006,0.039835,0.0231723,0.0477781,0.0548469,0.0279497,0.0608104,0.0657486,0.0368369,0.0357996,0,0.0192349,0,0.0362474,0.0132616,0.0131132,0.0368976,0,0.0367965,0.0515502,0.0391273,0,0,0.0191373,0,0,0.0207775,0.0744453,0.0112415,0.0223852,0.0410502,0.0556667,0.0242476,0.040265,0.0469861,0.0686124,0.065843,0.0396883,0.0151176,0.0819226,0.017078,0.038761,0.00902141,0.00554951,0.0516131,0.053696,0,0,0,0,0,0,0,0
18,0,0.0365042,0.056641,0,0,0,0.0510551,0,0.0244164,0.0692477,0,0,0,0,0.0191299,0,0,0.0414227,0.0636412,0.0138329,0.0327932,0.0271746,0,0,0.0447547,0.0395297,0.0230404,0.0478743,0.0548863,0.0281027,0.0606322,0.0656113,0.0367097,0.0357171,0,0.0198499,0,0.036128,0.013327,0.0130582,0.0352324,0,0.0367969,0.0515387,0.03921,0,0,0.0191589,0,0,0.0208612,0.0745317,0.0115585,0.0220573,0.0411614,0.0556133,0.0243191,0.039328,0.0475537,0.0683885,0.065205,0.039457,0.0148567,0.0816458,0.0179903,0.0386768,0.00906568,0.00560293,0.0515574,0.0535427,0,0,0,0,0,0,0,0
