Timestep,,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77,LFIN
9,0,0.0309505,0.0640363,0,0,0,0.0622248,0,0.0227741,0.0678184,0,0,0,0,0.0551745,0,0.0365097,0.0618175,0.0147632,0.0351477,0.0275424,0,0,0.0496756,0.0298165,0.0243616,0.0471963,0.054633,0.0265694,0.0615988,0.0660291,0.0373511,0.0365973,0,0.0340781,0,0.0398112,0.0881174,0.0219836,0.0367841,0,0.0324813,0.0524105,0.0358514,0,0,0.0187691,0,0,0.0223668,0.0724376,0.0276419,0.0232647,0.0339095,0.0566441,0.0213754,0.0387057,0.0451182,0.0666902,0.0636756,0.0369525,0.0228911,0.0146514,0.0454985,0.016385,0.0369276,0.0103243,0.00725695,0.0574149,0.0496791,0,0,0,0,0,0,0,0,0
10,0,0.0310294,0.0644013,0,0,0,0.0630566,0,0.0223603,0.0681473,0,0,0,0,0.0547298,0,0.0375011,0.0617757,0.0146591,0.0347338,0.0273344,0,0,0.0495346,0.0297151,0.0242016,0.0471031,0.0546045,0.0267225,0.0614846,0.0659738,0.037131,0.0364799,0,0.0349489,0,0.0407738,0.0892866,0.0229903,0.0351193,0,0.0323814,0.0522876,0.0356255,0,0,0.0189719,0,0,0.0223999,0.0727008,0.0282435,0.0231191,0.0340767,0.057035,0.0215331,0.0378977,0.0457997,0.0664442,0.0630485,0.0366198,0.0225913,0.0142372,0.0450977,0.0181211,0.0367465,0.0104378,0.00733292,0.0575505,0.049551,0,0,0,0,0,0,0,0,0
11,0,0.0311718,0.0646744,0,0,0,0.0634824,0,0.0218816,0.0684034,0,0,0,0,0.0523447,0,0.0388202,0.0616449,0.0146523,0.0343115,0.027117,0,0,0.0495067,0.029157,0.0239588,0.0471116,0.0546816,0.0268028,0.0613766,0.0658847,0.0369115,0.0363839,0,0.0355616,0,0.041751,0.0907052,0.0242666,0.0330914,0,0.0317634,0.0519195,0.0353986,0,0,0.0191597,0,0,0.022404,0.0731442,0.0284035,0.0228143,0.0341482,0.0574286,0.0217194,0.0370553,0.0468286,0.0663553,0.0624942,0.035985,0.0224567,0.0136111,0.0445398,0.0200126,0.036431,0.0105014,0.00739865,0.0576016,0.0495099,0,0,0,0,0,0,0,0,0
12,0,0.0311659,0.064687,0,0,0,0.0638913,0,0.0213842,0.0688951,0,0,0,0,0.0504612,0,0.0405188,0.0614627,0.014694,0.0337942,0.0269206,0,0,0.0493354,0.0284416,0.0236038,0.0472337,0.0547388,0.0268878,0.0612232,0.0657672,0.036678,0.0362852,0,0.0360134,0,0.042234,0.0921865,0.0250609,0.0311097,0,0.031142,0.0514801,0.0355848,0,0,0.0192225,0,0,0.0223365,0.0737051,0.0276206,0.0222071,0.034173,0.0573864,0.0219348,0.0360818,0.0480416,0.066312,0.0619692,0.035236,0.0223391,0.0127257,0.0440087,0.0216209,0.0362799,0.0103778,0.00743643,0.0575196,0.0494478,0,0,0,0,0,0,0,0,0
13,0,0.0311445,0.0645723,0,0,0,0.0644119,0,0.0208218,0.0694619,0,0,0,0,0.0493522,0,0.0420881,0.0612776,0.0149131,0.0332658,0.0267251,0,0,0.0491017,0.0274578,0.0232278,0.0473856,0.0548052,0.0270423,0.0610362,0.0656703,0.0364377,0.0360487,0,0.0364516,0,0.0426823,0.0932331,0.0251936,0.0293571,0,0.0310341,0.0510166,0.0359067,0,0,0.019286,0,0,0.0222624,0.0741015,0.0259194,0.0218035,0.0339219,0.0571685,0.0221629,0.0353418,0.0493664,0.0664486,0.0615063,0.0344997,0.0222405,0.0114417,0.0436122,0.0227959,0.0361923,0.010349,0.00743064,0.0573715,0.0494498,0,0,0,0,0,0,0,0,0
14,0,0.0310747,0.0645511,0,0,0,0.0650304,0,0.020177,0.0697933,0,0,0,0,0.0473819,0,0.0439449,0.0611587,0.0153013,0.0328231,0.0265518,0,0,0.0488448,0.0266319,0.0230747,0.0474894,0.0548325,0.0270899,0.060946,0.0657054,0.0362385,0.0358263,0,0.037098,0,0.0435306,0.0938131,0.0250502,0.0275405,0,0.0314932,0.0506301,0.0362304,0,0,0.0193575,0,0,0.0222136,0.0740991,0.0243516,0.0217177,0.0332023,0.0571551,0.0222506,0.0351097,0.0504793,0.0668761,0.0612407,0.0341356,0.0222134,0.0105359,0.0434018,0.0241345,0.0362271,0.0104772,0.00723393,0.0572785,0.0494674,0,0,0,0,0,0,0,0,0
15,0,0.0309238,0.0644888,0,0,0,0.0656974,0,0.0194402,0.0700828,0,0,0,0,0.0473365,0,0.0437804,0.0611588,0.0158675,0.032451,0.0264038,0,0,0.0481645,0.0266634,0.022858,0.0475431,0.0548995,0.0270647,0.0608505,0.0658608,0.0360636,0.035638,0,0.0378404,0,0.043882,0.0947789,0.0244198,0.0255215,0,0.0314868,0.0506938,0.0367654,0,0,0.0191692,0,0,0.0222161,0.0737714,0.0229313,0.0218152,0.0325961,0.0568245,0.0222313,0.0349534,0.051076,0.0671783,0.0609686,0.0344226,0.022523,0.0105456,0.0434089,0.0253064,0.0365031,0.0104565,0.00727723,0.057244,0.0493792,0,0,0,0,0,0,0,0,0
16,0,0.0308095,0.0645475,0,0,0,0.0670947,0,0.0187281,0.0699576,0,0,0,0,0.0457066,0,0.0444901,0.0611668,0.016761,0.031872,0.0263877,0,0,0.047269,0.0256158,0.0226762,0.0477389,0.0548494,0.0269807,0.0609555,0.0661589,0.0359558,0.0355938,0,0.039388,0,0.0447863,0.0945154,0.0249202,0.0234272,0,0.0300926,0.0510212,0.0372745,0,0,0.0189921,0,0,0.0221793,0.0731835,0.0216045,0.0223749,0.0328861,0.0568179,0.0222942,0.0348131,0.0510285,0.0672701,0.0606185,0.0347167,0.0231434,0.011085,0.0434195,0.0246881,0.0368006,0.0104091,0.00709571,0.0571218,0.0491463,0,0,0,0,0,0,0,0,0
17,0,0.0301475,0.06471,0,0,0,0.0583288,0,0.0134793,0.0694291,0,0,0,0,0.0454229,0,0.0439276,0.0627984,0.0186562,0.0303345,0.0282807,0,0,0.0451898,0.0251588,0.021104,0.0447965,0.0537304,0.0273048,0.064209,0.0689809,0.0391711,0.0387957,0,0.0289406,0,0.0452575,0.0951072,0.0239134,0.0227001,0,0.0282876,0.051524,0.0387462,0,0,0.0179897,0,0,0.0230719,0.0729452,0.020017,0.0243873,0.0339173,0.0572931,0.0223729,0.0350621,0.0506265,0.0672571,0.0603245,0.0343454,0.0243007,0.0118233,0.0432936,0.0214991,0.0371294,0.00957868,0.0069873,0.0573308,0.048185,0,0,0,0,0,0,0,0,0
18,0,0.0301072,0.064568,0,0,0,0.0591964,0,0.0127436,0.0689869,0,0,0,0,0.0444864,0,0.0441625,0.0630314,0.0201042,0.0295933,0.0286546,0,0,0.0442214,0.0248671,0.0212666,0.0447933,0.0535579,0.0271862,0.0643339,0.0692522,0.0391393,0.0387409,0,0.0297157,0,0.0462597,0.0956239,0.023138,0.0220448,0,0.0277415,0.0521383,0.0395638,0,0,0.0176915,0,0,0.0230688,0.0727503,0.0184143,0.024959,0.0363417,0.0569274,0.0224758,0.0349613,0.0490013,0.0663739,0.0598158,0.0340961,0.0256585,0.0127542,0.0434684,0.0196418,0.0375823,0.00956711,0.00688844,0.0575458,0.0478569,0,0,0,0,0,0,0,0,0
