Timestep,,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77,LFIN
29,0,0.0323986,0.0613502,0,0,0,0.0504911,0,0.0109193,0.0540111,0,0,0,0,0.0396953,0,0.0552804,0.0617305,0.0295047,0.0252089,0.0277487,0,0,0.05101,0.029692,0.0303059,0.055959,0.0596862,0.0259705,0.0551088,0.0590928,0.0256083,0.035358,0,0.0110359,0,0.040262,0.108654,0.0225462,0.014135,0,0.0263138,0.0486295,0.0461357,0,0,0.022189,0,0,0.0204477,0.0734292,0.0126595,0.0226183,0.0404545,0.0496891,0.0345845,0.0271823,0.0459562,0.0626893,0.051171,0.0332114,0.0267063,0.012933,0.0415937,0.0248392,0.033742,0.0110762,0.00762182,0.058042,0.0490228,0,0,0,0,0,0,0,0,0
30,0,0.031935,0.061848,0,0,0,0.0460323,0,0.00916939,0.0522832,0,0,0,0,0.0416957,0,0.0558418,0.061791,0.0285057,0.0249969,0.0275629,0,0,0.0520325,0.0303954,0.0312772,0.0571672,0.0606348,0.0262681,0.0549438,0.0585377,0.0254676,0.0358162,0,0.00593147,0,0.0411501,0.107422,0.0246963,0.0135625,0,0.0265048,0.0487128,0.0455853,0,0,0.0226068,0,0,0.0203097,0.0728285,0.0124207,0.0234097,0.0406352,0.0499189,0.0355035,0.0269014,0.0457056,0.062593,0.0510379,0.0331893,0.0267996,0.013111,0.0415699,0.0249629,0.0334179,0.0112008,0.00777463,0.0583109,0.0492019,0,0,0,0,0,0,0,0,0
31,0,0.0314636,0.0623354,0,0,0,0.0424344,0,0.0085281,0.0509662,0,0,0,0,0.0434812,0,0.056188,0.0616829,0.0293362,0.0248795,0.0273675,0,0,0.0529681,0.031192,0.0324569,0.0583339,0.0614646,0.0263644,0.0554742,0.0585821,0.0262411,0.0368321,0,0.0135285,0,0.0427448,0.105649,0.0265689,0.0130777,0,0.0262454,0.0489523,0.0450033,0,0,0.0227392,0,0,0.0202517,0.072487,0.0123527,0.0239925,0.0404455,0.0502467,0.0360573,0.0266617,0.0455526,0.0624736,0.0509264,0.0329931,0.0267215,0.0130788,0.0414503,0.0253623,0.0333145,0.0112891,0.00788763,0.0585985,0.0493389,0,0,0,0,0,0,0,0,0
32,0,0.0310166,0.0627755,0,0,0,0.0403785,0,0.0102056,0.0498194,0,0,0,0,0.0452035,0,0.0562168,0.0614883,0.0320284,0.0248608,0.0274278,0,0,0.0538034,0.0320298,0.0340746,0.0595131,0.0620833,0.0263638,0.0564922,0.0590562,0.0274348,0.0383119,0,0.022647,0,0.0446707,0.10356,0.0280933,0.0127404,0,0.0258578,0.0493568,0.0443291,0,0,0.0226048,0,0,0.0202831,0.0722871,0.0124092,0.0243258,0.0397609,0.050589,0.0362222,0.0265748,0.0456004,0.0625423,0.0509865,0.0327498,0.0265168,0.0130139,0.0413292,0.0258958,0.0334286,0.0113956,0.00792827,0.0588765,0.0494744,0,0,0,0,0,0,0,0,0
33,0,0.0306544,0.0631343,0,0,0,0.0388261,0,0.0111084,0.0485905,0,0,0,0,0.0466318,0,0.0563163,0.0612502,0.0350142,0.0249243,0.0278012,0,0,0.0544702,0.0327777,0.0352102,0.0602732,0.0625677,0.0263531,0.057361,0.0594426,0.028119,0.0397655,0,0.0287113,0,0.0465772,0.10149,0.0291369,0.0124872,0,0.0256603,0.0497659,0.0436367,0,0,0.0222515,0,0,0.0203747,0.0719582,0.0126142,0.0244533,0.0388865,0.0507303,0.0361242,0.0266353,0.045824,0.0627605,0.0512393,0.0325848,0.0264167,0.0128479,0.0412643,0.0263338,0.0336703,0.0114658,0.00785817,0.0590688,0.0496631,0,0,0,0,0,0,0,0,0
34,0,0.0302879,0.0635348,0,0,0,0.0380961,0,0.0110763,0.0473952,0,0,0,0,0.0483624,0,0.0561474,0.0609033,0.037697,0.0250531,0.0281671,0,0,0.054899,0.0334051,0.0359797,0.0606686,0.0629947,0.0263747,0.058158,0.0597924,0.0287151,0.0412013,0,0.0323324,0,0.0485926,0.0992605,0.0294266,0.0125182,0,0.0256511,0.0500943,0.0429154,0,0,0.0218257,0,0,0.0204743,0.0715225,0.0128433,0.0245547,0.0381319,0.0507217,0.0358874,0.0267935,0.0461278,0.0629836,0.0515896,0.0325086,0.0262622,0.0126633,0.0412133,0.0263429,0.0341385,0.0114649,0.00765263,0.0592947,0.0498729,0,0,0,0,0,0,0,0,0
35,0,0.0301816,0.0636325,0,0,0,0.0380462,0,0.0112186,0.0463432,0,0,0,0,0.0480588,0,0.0572316,0.0604193,0.0397441,0.0253474,0.0285242,0,0,0.0550848,0.0336389,0.0366514,0.0611906,0.0634537,0.0265399,0.0590951,0.0601919,0.0295546,0.0425679,0,0.0346767,0,0.049679,0.0983688,0.0298525,0.0129979,0,0.0258134,0.0504863,0.0424534,0,0,0.021575,0,0,0.0204758,0.0712129,0.0128918,0.0247259,0.0376377,0.0505949,0.0355175,0.0270144,0.0463396,0.0631594,0.0520013,0.0324102,0.0260799,0.0125429,0.0411652,0.0257135,0.034478,0.0113772,0.00746389,0.0592258,0.0500787,0,0,0,0,0,0,0,0,0
36,0,0.0300205,0.0638312,0,0,0,0.0380561,0,0.0116032,0.0455183,0,0,0,0,0.0480072,0,0.0579318,0.0598592,0.0410982,0.0254898,0.0290132,0,0,0.0550902,0.0342741,0.0373594,0.0618281,0.0638816,0.0267171,0.0598605,0.0605095,0.0303646,0.0437194,0,0.0357406,0,0.0507016,0.0977136,0.0297234,0.0136789,0,0.025912,0.050755,0.0420077,0,0,0.0212282,0,0,0.0204482,0.0709692,0.0128459,0.0249662,0.037281,0.0504484,0.0352803,0.0273165,0.0463489,0.0632812,0.0523893,0.0322973,0.0259723,0.0125847,0.0412042,0.0246941,0.0348984,0.0113247,0.00725623,0.0591931,0.0501567,0,0,0,0,0,0,0,0,0
37,0,0.0298481,0.064083,0,0,0,0.0379252,0,0.0119897,0.0447339,0,0,0,0,0.0480104,0,0.0583436,0.0595454,0.0421003,0.0256652,0.0295167,0,0,0.0550108,0.0350418,0.0381209,0.0624675,0.0642651,0.0268405,0.0601857,0.0605796,0.0307826,0.0444821,0,0.0363734,0,0.0514751,0.0973549,0.0291286,0.0145297,0,0.0259915,0.0508981,0.0416003,0,0,0.0208993,0,0,0.020431,0.0707803,0.0127478,0.0251541,0.0369847,0.0503124,0.0352028,0.027645,0.0461731,0.0633547,0.0527173,0.0321569,0.0259235,0.0127528,0.0413581,0.0234838,0.0353087,0.011313,0.00710443,0.0592011,0.0501438,0,0,0,0,0,0,0,0,0
38,0,0.0297376,0.0642642,0,0,0,0.0378972,0,0.0122966,0.043766,0,0,0,0,0.0480568,0,0.058479,0.0593689,0.0428254,0.0259189,0.0298166,0,0,0.0549549,0.0355135,0.0389052,0.0630893,0.0646038,0.0269328,0.0600909,0.0603561,0.0308078,0.0448788,0,0.036566,0,0.0520662,0.0972194,0.0280101,0.0154905,0,0.0260641,0.0510694,0.0412724,0,0,0.0206868,0,0,0.0204036,0.070789,0.0126375,0.025389,0.0367201,0.0501674,0.0352364,0.027935,0.0457973,0.0633872,0.0530026,0.0321347,0.0260197,0.0130335,0.0416049,0.022273,0.0356118,0.0113174,0.00703809,0.0591726,0.0500718,0,0,0,0,0,0,0,0,0
39,0,0.0297334,0.0642912,0,0,0,0.037863,0,0.012683,0.0426327,0,0,0,0,0.0480111,0,0.0582899,0.0592602,0.0435263,0.0262818,0.0297492,0,0,0.0550162,0.0357623,0.0396951,0.0637616,0.0649196,0.027061,0.0597353,0.0598426,0.0305964,0.0450258,0,0.0367292,0,0.0524743,0.0972555,0.026491,0.0164463,0,0.0261262,0.0513672,0.0410121,0,0,0.0205445,0,0,0.0203643,0.0707896,0.0125185,0.0258718,0.0365038,0.0499963,0.035364,0.0282109,0.0452296,0.0633107,0.053255,0.032228,0.0262663,0.013385,0.0419211,0.0209744,0.0357691,0.0113268,0.00703302,0.0590272,0.0499183,0,0,0,0,0,0,0,0,0
40,0,0.0296653,0.064176,0,0,0,0.037778,0,0.013282,0.0415411,0,0,0,0,0.0478664,0,0.0578454,0.0593563,0.0443855,0.0265777,0.0293434,0,0,0.0552045,0.0360036,0.0405752,0.0645516,0.0652249,0.0271929,0.0592343,0.0591681,0.0302399,0.0449711,0,0.0369368,0,0.0527303,0.0973775,0.0247232,0.017346,0,0.0261934,0.0517443,0.0408318,0,0,0.0204895,0,0,0.0203259,0.0707381,0.012369,0.0262084,0.0362708,0.0500208,0.0355942,0.0285322,0.0445904,0.0631974,0.0535383,0.0323274,0.0265178,0.0135336,0.0421778,0.0197284,0.0358174,0.0113623,0.00704167,0.0589173,0.0496841,0,0,0,0,0,0,0,0,0
41,0,0.0295069,0.0640207,0,0,0,0.0377378,0,0.0139843,0.0406364,0,0,0,0,0.0476363,0,0.0571663,0.0598183,0.0453638,0.0268411,0.0287637,0,0,0.0555634,0.0362876,0.0415542,0.0653589,0.0654698,0.027198,0.0587538,0.0585192,0.0298614,0.0448409,0,0.0370243,0,0.0528839,0.0974196,0.0228315,0.0182339,0,0.0262956,0.0522064,0.0407806,0,0,0.0205456,0,0,0.020328,0.0707807,0.0122208,0.0262673,0.0359338,0.0501882,0.0358859,0.0288437,0.0439749,0.0631322,0.053856,0.0323752,0.0266759,0.0135495,0.0423915,0.0185652,0.035775,0.0114449,0.00710415,0.0588564,0.0493922,0,0,0,0,0,0,0,0,0
42,0,0.0293565,0.0637997,0,0,0,0.0377704,0,0.0146399,0.039872,0,0,0,0,0.0473946,0,0.056291,0.0602202,0.0463166,0.0271649,0.0281877,0,0,0.0559752,0.0363745,0.0426789,0.066289,0.0656374,0.027278,0.0584554,0.0580283,0.0295685,0.0447892,0,0.0370114,0,0.0530573,0.0975277,0.0211688,0.0190578,0,0.0264704,0.0527559,0.0408543,0,0,0.0206715,0,0,0.020352,0.0708817,0.0122395,0.0261889,0.0355384,0.0503045,0.036133,0.0291253,0.0434763,0.0631436,0.0541975,0.0324084,0.0267502,0.0138354,0.0425291,0.01752,0.0356582,0.0115337,0.00717581,0.0587605,0.0490978,0,0,0,0,0,0,0,0,0
43,0,0.0292563,0.0635548,0,0,0,0.0378283,0,0.0151935,0.0392306,0,0,0,0,0.0472706,0,0.0551379,0.060395,0.0472779,0.0277446,0.0277836,0,0,0.0564242,0.0362433,0.0436786,0.0671967,0.0657773,0.0275261,0.0583628,0.0577557,0.0294016,0.0449973,0,0.0369393,0,0.0532114,0.0975853,0.0198347,0.0197753,0,0.02671,0.0534304,0.0409436,0,0,0.0204016,0,0,0.0205664,0.0709606,0.0123862,0.0260402,0.0351211,0.0503312,0.0362312,0.0294137,0.0429985,0.0630378,0.0545447,0.0325364,0.0267451,0.0139631,0.0426176,0.01667,0.0356211,0.0116811,0.00780836,0.0586527,0.0488391,0,0,0,0,0,0,0,0,0
44,0,0.0292412,0.0632313,0,0,0,0.0380181,0,0.0156301,0.0388286,0,0,0,0,0.046955,0,0.0542929,0.0603907,0.0481189,0.0286329,0.0276606,0,0,0.0570347,0.0361214,0.0446404,0.0679716,0.0658606,0.0278153,0.0584612,0.0576875,0.0293635,0.0454241,0,0.0369393,0,0.0533445,0.0976443,0.0190625,0.0207224,0,0.0267951,0.0542104,0.0411987,0,0,0.0206411,0,0,0.0204992,0.071101,0.0124231,0.0259509,0.0348388,0.0502886,0.0363441,0.0297048,0.0427312,0.0630568,0.054896,0.0325727,0.0267339,0.0141827,0.0426486,0.0156409,0.0354067,0.0116567,0.00763381,0.0585373,0.0486122,0,0,0,0,0,0,0,0,0
45,0,0.0292512,0.0629628,0,0,0,0.0383103,0,0.0160028,0.0385869,0,0,0,0,0.0464811,0,0.05312,0.0603708,0.0488135,0.0295428,0.027687,0,0,0.0579494,0.0360171,0.0456245,0.0687616,0.0659346,0.0280096,0.0586865,0.0577636,0.0295186,0.0459301,0,0.0369663,0,0.0535252,0.0969236,0.0188131,0.0214757,0,0.0267806,0.0549825,0.0413113,0,0,0.0207698,0,0,0.0204619,0.0711583,0.0125453,0.0259479,0.0345232,0.0502103,0.0364295,0.0299602,0.042474,0.0631505,0.0552153,0.0326154,0.0267,0.0140746,0.0426566,0.014847,0.0352844,0.0116067,0.0075063,0.0585398,0.0484521,0,0,0,0,0,0,0,0,0
46,0,0.0292918,0.062715,0,0,0,0.0386321,0,0.0163493,0.0384405,0,0,0,0,0.0459766,0,0.0517849,0.0603831,0.049407,0.0303391,0.0277047,0,0,0.0589481,0.0358473,0.0466267,0.0696152,0.0659694,0.0283363,0.0590145,0.0579618,0.0297997,0.0464333,0,0.0368603,0,0.0536388,0.0959113,0.0190574,0.0221462,0,0.0266541,0.0557388,0.0414352,0,0,0.0208231,0,0,0.0204434,0.0710956,0.0126349,0.0258192,0.0341682,0.050077,0.0365699,0.030156,0.0422459,0.0631796,0.0555096,0.0326642,0.026659,0.0139878,0.0427224,0.0141457,0.0352559,0.0115681,0.0074214,0.0586221,0.0483096,0,0,0,0,0,0,0,0,0
47,0,0.0293235,0.062432,0,0,0,0.03885,0,0.0166468,0.0382583,0,0,0,0,0.0455569,0,0.0506775,0.0603416,0.0499911,0.0310352,0.027752,0,0,0.0599285,0.0354779,0.0477015,0.0705018,0.0659862,0.028825,0.0593846,0.0582741,0.0301443,0.0469914,0,0.0366588,0,0.0537089,0.0950419,0.0196103,0.0226995,0,0.0265701,0.0564972,0.0415934,0,0,0.0208121,0,0,0.0204475,0.0710684,0.0127632,0.0256932,0.0338107,0.0498665,0.0366732,0.0302682,0.042018,0.0631717,0.0557787,0.0326832,0.0266826,0.0139999,0.0427214,0.0135511,0.0352804,0.0115932,0.0073037,0.0587096,0.0481624,0,0,0,0,0,0,0,0,0
48,0,0.0292941,0.0621899,0,0,0,0.0390323,0,0.0168712,0.0381318,0,0,0,0,0.0452609,0,0.0498781,0.0603179,0.0505791,0.0316612,0.0278844,0,0,0.0607632,0.0351713,0.048874,0.0713332,0.0660153,0.0293504,0.0598671,0.0586958,0.0305383,0.0475412,0,0.036624,0,0.0537621,0.0944594,0.020321,0.0231523,0,0.0265663,0.0571954,0.0417126,0,0,0.0207247,0,0,0.0204557,0.0710446,0.0128952,0.0256136,0.0334924,0.0496043,0.0367491,0.0303202,0.0418024,0.0630896,0.0559741,0.0327085,0.0266336,0.0140433,0.0426647,0.0129831,0.0353504,0.011617,0.00718248,0.0588809,0.0480552,0,0,0,0,0,0,0,0,0
49,0,0.0292263,0.0620232,0,0,0,0.0392248,0,0.01701,0.0381721,0,0,0,0,0.0450287,0,0.0493217,0.0603097,0.0510915,0.032352,0.0279904,0,0,0.061448,0.0349548,0.0498535,0.0721061,0.066073,0.029837,0.0605105,0.0592113,0.0310965,0.0480805,0,0.036763,0,0.0537785,0.0940568,0.0209903,0.0235542,0,0.0266249,0.0578647,0.0417708,0,0,0.0205861,0,0,0.0204854,0.0711636,0.0130369,0.0255507,0.0332168,0.0493022,0.0368437,0.0303479,0.0415653,0.062975,0.0561363,0.032694,0.0265535,0.0140708,0.0426084,0.0125731,0.0354361,0.0116321,0.00708294,0.0590056,0.0479785,0,0,0,0,0,0,0,0,0
50,0,0.0291979,0.0619359,0,0,0,0.0394178,0,0.017058,0.0382128,0,0,0,0,0.04485,0,0.0490467,0.0602863,0.0515125,0.033041,0.0280281,0,0,0.0619494,0.0346527,0.0505865,0.0728853,0.0661738,0.030272,0.0612273,0.0597934,0.0316746,0.0485765,0,0.0370647,0,0.0538021,0.0939132,0.0215403,0.0238825,0,0.0266746,0.058582,0.0417951,0,0,0.0204984,0,0,0.0204763,0.0713682,0.0131547,0.0255455,0.0329301,0.04897,0.0369142,0.0303312,0.0411925,0.0628365,0.056287,0.0326821,0.0264518,0.0140927,0.0425958,0.0122528,0.0355749,0.0116267,0.00699696,0.0590279,0.0479075,0,0,0,0,0,0,0,0,0
51,0,0.0292277,0.0619239,0,0,0,0.039689,0,0.0170094,0.0381653,0,0,0,0,0.0447292,0,0.0489851,0.0603432,0.0516794,0.0335884,0.0280799,0,0,0.062189,0.0343071,0.0511045,0.0736618,0.0662849,0.0306369,0.0618777,0.0603442,0.0321377,0.0489974,0,0.0373486,0,0.0538204,0.0940246,0.0220302,0.0240347,0,0.0267463,0.0593985,0.0418107,0,0,0.0204224,0,0,0.0204894,0.0715973,0.0133789,0.0256315,0.032524,0.0486115,0.036956,0.030282,0.0407465,0.0626809,0.0563896,0.0326835,0.0263422,0.0140855,0.0425805,0.0120996,0.0356644,0.0116156,0.00699242,0.0589496,0.0478599,0,0,0,0,0,0,0,0,0
52,0,0.0292936,0.0619979,0,0,0,0.0407477,0,0.0165493,0.0375898,0,0,0,0,0.0445263,0,0.0488975,0.0603293,0.0505047,0.0339201,0.0290571,0,0,0.0623093,0.0340022,0.0525444,0.0770216,0.0674858,0.0308449,0.0615924,0.0594513,0.0317194,0.0492742,0,0.0335354,0,0.0537034,0.0943221,0.0226473,0.0247296,0,0.0265425,0.0602656,0.0417329,0,0,0.0203701,0,0,0.0205867,0.0717749,0.0132501,0.0255783,0.0322605,0.0483213,0.0371299,0.0301977,0.040408,0.0625092,0.0564466,0.0326321,0.0263184,0.014108,0.0425949,0.0115048,0.0356454,0.011684,0.00711441,0.0586801,0.0480448,0,0,0,0,0,0,0,0,0
53,0,0.0292745,0.0620987,0,0,0,0.0411623,0,0.0163117,0.037752,0,0,0,0,0.0444836,0,0.0490588,0.0608278,0.0503907,0.034237,0.028902,0,0,0.0624056,0.0337566,0.0529713,0.0777206,0.0675834,0.0311525,0.0622145,0.0601655,0.0322765,0.0495719,0,0.0335766,0,0.0538194,0.0947683,0.0228158,0.0253462,0,0.0264136,0.0606326,0.0417592,0,0,0.0203793,0,0,0.0205815,0.0720063,0.0132814,0.0255046,0.0321429,0.0477958,0.0369929,0.0301882,0.0398909,0.0622383,0.056394,0.0326203,0.0262137,0.0141454,0.0425974,0.0110571,0.0357483,0.0116499,0.00697998,0.0583841,0.0479201,0,0,0,0,0,0,0,0,0
54,0,0.0291824,0.0622129,0,0,0,0.0416433,0,0.0160474,0.0379336,0,0,0,0,0.0443943,0,0.0491219,0.0611878,0.0501837,0.0344513,0.0286666,0,0,0.0624098,0.0337141,0.0533576,0.0783213,0.0676816,0.0314052,0.0628589,0.0609025,0.0329077,0.0497648,0,0.0331299,0,0.0538705,0.0952588,0.0228707,0.0258013,0,0.0263523,0.0610444,0.0417361,0,0,0.0202971,0,0,0.020601,0.0720246,0.0133984,0.02546,0.0320199,0.0473514,0.0368207,0.0301784,0.0392777,0.0619275,0.0563656,0.0326276,0.026066,0.0142331,0.0426156,0.0106087,0.0358702,0.0116292,0.00693233,0.0581423,0.0477799,0,0,0,0,0,0,0,0,0
55,0,0.0290994,0.0622761,0,0,0,0.0421535,0,0.0157913,0.0382454,0,0,0,0,0.044123,0,0.049115,0.0613386,0.0496079,0.0348649,0.0284117,0,0,0.0622369,0.0335721,0.0536454,0.0788397,0.0677251,0.0315671,0.0633712,0.0616038,0.0334492,0.049795,0,0.0321429,0,0.0538561,0.0953976,0.0228085,0.0263002,0,0.0262941,0.0613918,0.0416979,0,0,0.0202043,0,0,0.0205838,0.0720258,0.0133516,0.0254378,0.0320287,0.0470735,0.0366323,0.030126,0.0386955,0.0616013,0.056325,0.0326921,0.0260857,0.0143309,0.0426719,0.0101228,0.0360219,0.0115864,0.00691392,0.0579286,0.0476296,0,0,0,0,0,0,0,0,0
56,0,0.029047,0.0622593,0,0,0,0.0426092,0,0.0155212,0.038722,0,0,0,0,0.0437993,0,0.0491829,0.0613727,0.0487134,0.0357913,0.0281442,0,0,0.0619578,0.0333185,0.0538776,0.079298,0.067669,0.0316385,0.0637547,0.0622236,0.0338124,0.049615,0,0.0305171,0,0.0538466,0.0955938,0.0224751,0.0268894,0,0.0263183,0.0616076,0.041649,0,0,0.0201114,0,0,0.0205744,0.0721078,0.0131826,0.0255256,0.0321175,0.0469692,0.0364746,0.0301335,0.0381077,0.0612403,0.0562379,0.0328101,0.0261077,0.0144116,0.0427521,0.00965358,0.0361756,0.0115543,0.00690253,0.0578172,0.0475074,0,0,0,0,0,0,0,0,0
57,0,0.0289293,0.0622591,0,0,0,0.043355,0,0.0152302,0.0392411,0,0,0,0,0.0435568,0,0.0493762,0.0615354,0.0475781,0.0365762,0.0277589,0,0,0.0616817,0.0332517,0.0541192,0.0796762,0.0675494,0.0316889,0.0639876,0.0627022,0.0340102,0.0492331,0,0.0280908,0,0.0538652,0.0961128,0.0218084,0.027472,0,0.0264095,0.061783,0.041623,0,0,0.0199981,0,0,0.0205662,0.0723514,0.0130069,0.0256095,0.0321793,0.0469595,0.0362813,0.0302027,0.0375227,0.060892,0.0561499,0.0328967,0.0260742,0.0144195,0.0427918,0.00928646,0.0363023,0.011496,0.00690227,0.0578733,0.0473755,0,0,0,0,0,0,0,0,0
58,0,0.0287866,0.0622404,0,0,0,0.0444249,0,0.015025,0.0397539,0,0,0,0,0.0433082,0,0.0495186,0.061929,0.0461649,0.0367905,0.0272287,0,0,0.0613818,0.0332305,0.0542396,0.0800232,0.0673919,0.0317391,0.064039,0.0630791,0.0341269,0.0486573,0,0.0249402,0,0.0538395,0.0965004,0.0210959,0.028178,0,0.0264611,0.0619513,0.0415857,0,0,0.0198562,0,0,0.0206197,0.0727236,0.0127853,0.0255736,0.032178,0.0469219,0.0360128,0.0302525,0.0369637,0.060578,0.0560722,0.0329401,0.0259837,0.0144509,0.0427967,0.00894376,0.0364267,0.0114454,0.00689811,0.0579631,0.0472558,0,0,0,0,0,0,0,0,0
59,0,0.0286599,0.062182,0,0,0,0.0461576,0,0.0149289,0.040284,0,0,0,0,0.0430733,0,0.0496043,0.0624652,0.0444843,0.0365838,0.0265759,0,0,0.0610172,0.033274,0.0542493,0.080247,0.06721,0.0317781,0.0639951,0.0634354,0.0342307,0.0479584,0,0.0210666,0,0.0537208,0.0966523,0.0202943,0.0288583,0,0.0263852,0.0619856,0.0415094,0,0,0.0198586,0,0,0.0205934,0.0731658,0.0125962,0.0255603,0.0320391,0.0468515,0.0357319,0.0302519,0.0364778,0.0602225,0.055997,0.0329634,0.025955,0.01438,0.0427894,0.00867294,0.0365634,0.0113687,0.00663553,0.0579886,0.0471536,0,0,0,0,0,0,0,0,0
60,0,0.028551,0.0621314,0,0,0,0.0480141,0,0.0149696,0.0409795,0,0,0,0,0.0429396,0,0.049573,0.0628992,0.0426083,0.0363219,0.025751,0,0,0.0606334,0.0332993,0.0540805,0.0802583,0.067006,0.0318775,0.0639552,0.06388,0.0343637,0.0471431,0,0.0167838,0,0.0535449,0.0967129,0.019527,0.0293268,0,0.0263113,0.0619187,0.041349,0,0,0.0194416,0,0,0.0207468,0.0736654,0.0124464,0.0255426,0.0319357,0.0466492,0.0353307,0.030238,0.0360209,0.0598437,0.0558926,0.0329985,0.0260478,0.0141841,0.0428296,0.00855196,0.0368235,0.0113693,0.00691377,0.0580068,0.0470772,0,0,0,0,0,0,0,0,0
61,0,0.028387,0.0621081,0,0,0,0.050281,0,0.0149569,0.0415326,0,0,0,0,0.0428565,0,0.0495253,0.0633031,0.040779,0.0360684,0.0251315,0,0,0.0602255,0.0333191,0.0536855,0.0800934,0.0666985,0.0318889,0.0640767,0.0643984,0.0346157,0.0463656,0,0.0122488,0,0.0533637,0.0968198,0.0187608,0.0295379,0,0.0263484,0.0617776,0.0412064,0,0,0.0191705,0,0,0.0207926,0.0740666,0.012312,0.0253963,0.0321658,0.0464983,0.0349466,0.0300933,0.0355865,0.0594928,0.0556778,0.0330676,0.0261936,0.0141184,0.0429242,0.00858338,0.0370509,0.011365,0.00700844,0.0580882,0.0469396,0,0,0,0,0,0,0,0,0
62,0,0.028198,0.062047,0,0,0,0.0523306,0,0.0150494,0.0427087,0,0,0,0,0.0428711,0,0.0497861,0.0632376,0.0389301,0.0362082,0.0243764,0,0,0.0597849,0.0332544,0.0532756,0.0795968,0.0664492,0.0320404,0.0643559,0.0651584,0.0352257,0.0456352,0,0.00833053,0,0.0533669,0.0968832,0.0180843,0.0302567,0,0.0264047,0.0614877,0.0412277,0,0,0.0191923,0,0,0.0206675,0.0745909,0.0120977,0.0251982,0.0325401,0.0463458,0.0344518,0.0299937,0.0352378,0.0591826,0.0555214,0.0331561,0.026305,0.0144922,0.0429986,0.00843932,0.0372413,0.0112779,0.00661461,0.058229,0.0466606,0,0,0,0,0,0,0,0,0
63,0,0.0280336,0.0620267,0,0,0,0.0544436,0,0.0152681,0.0438371,0,0,0,0,0.0430152,0,0.0500139,0.0632615,0.037291,0.0364038,0.0237322,0,0,0.0593082,0.0329487,0.0528024,0.0788682,0.0662441,0.0322119,0.0647634,0.0661043,0.0361044,0.0450785,0,0.0052173,0,0.0534181,0.0971548,0.0175838,0.0309647,0,0.0265958,0.0611955,0.0412112,0,0,0.0189357,0,0,0.0206771,0.0752364,0.0120091,0.0250486,0.0329842,0.0462472,0.0339381,0.0298816,0.034988,0.0588731,0.0553719,0.0332381,0.0263237,0.0152222,0.0430125,0.00835313,0.0375565,0.0112049,0.00652535,0.0584375,0.0463523,0,0,0,0,0,0,0,0,0
64,0,0.0279148,0.06205,0,0,0,0.0555298,0,0.0159412,0.045213,0,0,0,0,0.0434905,0,0.0502144,0.063139,0.0359655,0.0367032,0.0228917,0,0,0.0587269,0.0327867,0.0523518,0.0779,0.06615,0.032669,0.0652268,0.0671651,0.0372381,0.0445283,0,0.00369168,0,0.0536224,0.0987008,0.0173033,0.0318853,0,0.0267162,0.0609394,0.0412546,0,0,0.018619,0,0,0.0206788,0.0760346,0.0118838,0.0247767,0.0334746,0.0458857,0.0333862,0.0298543,0.0347723,0.0585393,0.0552517,0.0333895,0.0263055,0.0154645,0.0430308,0.00819483,0.0379681,0.0110888,0.00640265,0.0587349,0.0459841,0,0,0,0,0,0,0,0,0
65,0,0.0278941,0.0621051,0,0,0,0.0545933,0,0.0173177,0.0469574,0,0,0,0,0.0440257,0,0.0500917,0.0623997,0.0351836,0.0373255,0.0219301,0,0,0.0581102,0.0325686,0.0518494,0.0765908,0.0661684,0.0335242,0.0655299,0.0681376,0.0385708,0.0438023,0,0.00402242,0,0.0538961,0.100614,0.0171207,0.0328692,0,0.0268255,0.0605903,0.0413602,0,0,0.0182767,0,0,0.0206724,0.0768767,0.0117744,0.0245865,0.0340341,0.0452833,0.0327559,0.0299024,0.0343772,0.0581551,0.0551414,0.0335801,0.0261086,0.0158865,0.0430589,0.0081258,0.0384656,0.0109735,0.00624278,0.0590387,0.0455665,0,0,0,0,0,0,0,0,0
