Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x75,x76,x77,x73,LBL
119,0.0318519,0.0598927,0,0,0,0.0394296,0,0.0214708,0.0683063,0,0,0,0.0218363,0,0,0.0426467,0.0543535,0.0214907,0.0392355,0.0274863,0,0,0.0568657,0.0447425,0.0284954,0.0519321,0.0574732,0.0270104,0.0611279,0.0659404,0.0378498,0.0356084,0,0.00552497,0,0.0334009,0.013385,0.0154495,0.0205896,0,0.0263013,0.0438581,0.0400411,0,0,0.0205664,0,0,0.0236831,0.0758963,0.0472975,0.018193,0.0314718,0.0604962,0.0308471,0.0356474,0.0567729,0.0749375,0.0591172,0.0235698,0.0207928,0.00760435,0.0282827,0.0611447,0.0362536,0.00891644,0.00947879,0.0561626,0.0501052,0,0,0,0,0,0,0,0,0
120,0.0317396,0.0598839,0,0,0,0.0392993,0,0.0216142,0.0688529,0,0,0,0.0218588,0,0,0.0425116,0.0548943,0.0214592,0.0389945,0.0275144,0,0,0.0562847,0.0447945,0.0281548,0.051669,0.0573758,0.0271219,0.0609644,0.0656955,0.0377905,0.0353917,0,0.00536799,0,0.0333872,0.0134226,0.0153236,0.0208753,0,0.0265696,0.0438613,0.040035,0,0,0.0204207,0,0,0.0237392,0.0759309,0.0482402,0.0182592,0.031149,0.0607039,0.0306286,0.0357866,0.0576863,0.0751915,0.0591539,0.0237288,0.0213182,0.00793142,0.0285577,0.0630627,0.0363091,0.00889117,0.00937587,0.0562023,0.0500256,0,0,0,0,0,0,0,0,0
121,0.0316299,0.0598391,0,0,0,0.0390722,0,0.0218035,0.0693138,0,0,0,0.021893,0,0,0.0424324,0.0553509,0.0214518,0.0388609,0.027527,0,0,0.0558655,0.0447834,0.0277581,0.0513647,0.057287,0.0272266,0.0606666,0.0655045,0.0377243,0.0351931,0,0.00514511,0,0.033355,0.013449,0.0152184,0.0209784,0,0.026687,0.0439146,0.0400262,0,0,0.0203176,0,0,0.0237605,0.0760018,0.0486704,0.0183378,0.0306729,0.0605772,0.0304474,0.0358879,0.0584556,0.0753206,0.0592149,0.023695,0.021962,0.00853234,0.0285602,0.0644854,0.0362992,0.00887743,0.00930889,0.0561266,0.0499921,0,0,0,0,0,0,0,0,0
122,0.031538,0.0597918,0,0,0,0.0387506,0,0.0220712,0.0697329,0,0,0,0.0218837,0,0,0.0423331,0.0557323,0.0215739,0.0387746,0.0275329,0,0,0.05556,0.0447876,0.0273866,0.0510719,0.0572382,0.0273562,0.0604209,0.0652234,0.0375446,0.034978,0,0.00484499,0,0.0333041,0.0134606,0.0151093,0.0206994,0,0.0265963,0.0441142,0.0400139,0,0,0.0202994,0,0,0.0237413,0.0761061,0.048707,0.0183701,0.0300997,0.0603829,0.0302661,0.0359903,0.0591204,0.0753475,0.0593036,0.0235753,0.0226206,0.00914078,0.0287192,0.0648866,0.0362572,0.00887573,0.00926187,0.0559262,0.0499777,0,0,0,0,0,0,0,0,0
123,0.0314351,0.0597345,0,0,0,0.0382224,0,0.0223871,0.0700255,0,0,0,0.0218728,0,0,0.0422538,0.0561533,0.0216504,0.0386963,0.0275648,0,0,0.0552726,0.0447802,0.0270334,0.0507756,0.0572052,0.0274544,0.0600743,0.0649411,0.0373428,0.0347968,0,0.0047071,0,0.0332454,0.0134724,0.0149849,0.0199716,0,0.0264436,0.0444228,0.0399947,0,0,0.0203516,0,0,0.0237436,0.076163,0.047854,0.0183446,0.0296075,0.0602111,0.0300848,0.036096,0.059558,0.0752425,0.0594021,0.0235957,0.0232184,0.00944354,0.0292818,0.0639156,0.036206,0.00889738,0.00919719,0.0556772,0.0499374,0,0,0,0,0,0,0,0,0
124,0.0314123,0.0596869,0,0,0,0.0378298,0,0.0227125,0.070197,0,0,0,0.0218552,0,0,0.0422162,0.0566343,0.0216481,0.0386494,0.0276117,0,0,0.0550016,0.0447419,0.0267404,0.0504772,0.0571688,0.0275215,0.0599127,0.0647279,0.037268,0.0346851,0,0.00471896,0,0.0332163,0.013476,0.0148567,0.0188015,0,0.02628,0.0448123,0.0399495,0,0,0.0204257,0,0,0.0236927,0.0761683,0.0460737,0.0182229,0.0292992,0.060074,0.0299123,0.0361905,0.059707,0.0749348,0.0595508,0.0238715,0.0237036,0.00945699,0.0299287,0.0614556,0.0361493,0.00895583,0.00913199,0.0554285,0.0498807,0,0,0,0,0,0,0,0,0
125,0.0319024,0.0595489,0,0,0,0.0411364,0,0.0246475,0.0701834,0,0,0,0.0210788,0,0,0.0427367,0.0568408,0.0221278,0.0391681,0.0276958,0,0,0.0554077,0.0452521,0.0276592,0.0513386,0.0573474,0.0274935,0.0591396,0.0638686,0.0363996,0.0337344,0,0.00763674,0,0.0337457,0.0132277,0.0144776,0.0210109,0,0.0235107,0.0454776,0.0390888,0,0,0.0211917,0,0,0.0226513,0.0768246,0.0409784,0.0167623,0.0300506,0.0589374,0.0297247,0.0353099,0.0563977,0.0719612,0.0590907,0.0274586,0.0193216,0.00678038,0.0335668,0.0663502,0.036208,0.00966674,0.00887653,0.0551562,0.0503253,0,0,0,0,0,0,0,0,0
126,0.0319452,0.0595506,0,0,0,0.0409979,0,0.0249113,0.0702016,0,0,0,0.0210814,0,0,0.0427601,0.057323,0.0220734,0.0391524,0.0278055,0,0,0.055109,0.0450929,0.0273952,0.0510939,0.0571636,0.027472,0.0592425,0.0638437,0.0365109,0.0337737,0,0.00747191,0,0.0337038,0.0132342,0.0143861,0.0183597,0,0.023514,0.0458975,0.0391399,0,0,0.0211266,0,0,0.0226393,0.0765913,0.0383503,0.0167794,0.0299758,0.058856,0.0295098,0.0355164,0.0562158,0.0715164,0.059457,0.0279378,0.0200758,0.00712551,0.0344798,0.0595397,0.0362194,0.009643,0.00880741,0.0550551,0.0501588,0,0,0,0,0,0,0,0,0
127,0.0319587,0.059597,0,0,0,0.0409591,0,0.0251125,0.0701951,0,0,0,0.0210109,0,0,0.0426642,0.0577452,0.0220006,0.0391985,0.0279198,0,0,0.0548907,0.0449164,0.02718,0.0508794,0.0569352,0.0273622,0.0593308,0.0639651,0.0366621,0.0340142,0,0.00743101,0,0.0337195,0.0132281,0.0142601,0.016928,0,0.023386,0.0464195,0.0392291,0,0,0.0210366,0,0,0.0225557,0.07634,0.0354824,0.0168155,0.0300845,0.0585623,0.0291827,0.0356841,0.0556934,0.0709727,0.0599063,0.0286205,0.0207036,0.00758393,0.0355398,0.0515131,0.036323,0.00956172,0.00868767,0.0550065,0.0499697,0,0,0,0,0,0,0,0,0
128,0.0320206,0.0596208,0,0,0,0.0410822,0,0.0253225,0.0702142,0,0,0,0.0209567,0,0,0.0426755,0.058127,0.0220225,0.0391766,0.0280881,0,0,0.0545648,0.0447056,0.0270082,0.0505584,0.0566713,0.0272095,0.0593896,0.0641336,0.036811,0.034326,0,0.00746419,0,0.033784,0.0132745,0.0141451,0.0177607,0,0.0234228,0.0471269,0.0393365,0,0,0.0209148,0,0,0.0224894,0.0759732,0.0325214,0.0170659,0.0303835,0.0583244,0.0288408,0.035884,0.0548496,0.0704389,0.0604742,0.0294705,0.0213296,0.00818994,0.0369542,0.0430115,0.0364494,0.00951376,0.00852374,0.0549639,0.0496909,0,0,0,0,0,0,0,0,0
129,0.0320781,0.0596614,0,0,0,0.0414731,0,0.0254705,0.0699708,0,0,0,0.0209017,0,0,0.0426618,0.0584285,0.0220146,0.0390981,0.0282009,0,0,0.0541941,0.0443791,0.026835,0.0501786,0.0563887,0.0270976,0.0595873,0.0642813,0.0369831,0.0343554,0,0.00773218,0,0.0338867,0.0133287,0.0140018,0.0206824,0,0.023603,0.0478707,0.0394735,0,0,0.0207608,0,0,0.0224871,0.0755848,0.0297316,0.017602,0.0309818,0.058085,0.0284282,0.0362816,0.053719,0.0698713,0.0610315,0.0304298,0.0219198,0.00898195,0.0385163,0.0346603,0.0366606,0.00952756,0.00836302,0.0549403,0.0493551,0,0,0,0,0,0,0,0,0
130,0.0321607,0.0597481,0,0,0,0.0419599,0,0.0255944,0.0696553,0,0,0,0.0208132,0,0,0.0425914,0.0586523,0.0221285,0.0389326,0.0282462,0,0,0.0537132,0.0440184,0.0266446,0.0498052,0.0561105,0.0269744,0.0599108,0.0644064,0.0370448,0.0344006,0,0.00810615,0,0.0339723,0.0133425,0.0138762,0.0243238,0,0.024079,0.0486039,0.0396239,0,0,0.0205827,0,0,0.0225148,0.07515,0.0271775,0.0184213,0.0316934,0.057865,0.0279688,0.0367746,0.0523881,0.0693301,0.0614975,0.0314126,0.0225298,0.00998344,0.0397705,0.0274242,0.0369089,0.00955611,0.00815346,0.0550247,0.0489527,0,0,0,0,0,0,0,0,0
131,0.0322555,0.0598379,0,0,0,0.0424025,0,0.0256961,0.0694899,0,0,0,0.0206399,0,0,0.0424248,0.0588092,0.0223239,0.0387227,0.0282651,0,0,0.053143,0.0436391,0.0265294,0.0495436,0.055845,0.0268484,0.060127,0.0645312,0.0371178,0.0345065,0,0.00863066,0,0.034094,0.0132722,0.0138093,0.0273946,0,0.0247945,0.0492965,0.0397848,0,0,0.0203334,0,0,0.0224991,0.0746535,0.0248057,0.0194848,0.0323849,0.0575963,0.0274741,0.0373822,0.050949,0.0689073,0.0619474,0.0323444,0.023398,0.0111689,0.0407417,0.0218632,0.0372041,0.00955778,0.00792061,0.0552048,0.0485159,0,0,0,0,0,0,0,0,0
132,0.0323571,0.0598865,0,0,0,0.0431111,0,0.0256679,0.0693624,0,0,0,0.0204132,0,0,0.0421912,0.0590024,0.0224318,0.038421,0.0282813,0,0,0.0524858,0.0432399,0.0264378,0.0493817,0.0555678,0.0266339,0.0603332,0.0646848,0.0372573,0.0346725,0,0.00952402,0,0.0342438,0.013221,0.0136865,0.02921,0,0.025752,0.0500073,0.0399369,0,0,0.0200853,0,0,0.0225033,0.0740167,0.0229129,0.0207133,0.0329064,0.0574028,0.0270028,0.0380792,0.0495261,0.0686665,0.0624185,0.0332542,0.0244051,0.0124696,0.0418678,0.018192,0.0375395,0.00956066,0.00764142,0.0554048,0.0480929,0,0,0,0,0,0,0,0,0
133,0.0324525,0.0599381,0,0,0,0.0440048,0,0.0254999,0.0692514,0,0,0,0.0202244,0,0,0.042059,0.0592134,0.0224388,0.0380909,0.028269,0,0,0.0518079,0.0428822,0.0264138,0.049227,0.0553209,0.0264514,0.060507,0.0648335,0.0372575,0.0348334,0,0.010686,0,0.0343631,0.0132554,0.013521,0.0299007,0,0.0270379,0.0506624,0.0400463,0,0,0.0198317,0,0,0.0224865,0.0733311,0.0220205,0.0219015,0.0332248,0.0572782,0.0265269,0.0387696,0.0482398,0.0685606,0.0628439,0.0341498,0.0253711,0.0138177,0.0429238,0.0162462,0.0378913,0.00959617,0.00738911,0.0555696,0.0477398,0,0,0,0,0,0,0,0,0
134,0.0325179,0.059959,0,0,0,0.0448492,0,0.0253341,0.0691161,0,0,0,0.0200674,0,0,0.0420223,0.0594273,0.0223172,0.0377776,0.0282317,0,0,0.051232,0.042636,0.0263958,0.0491226,0.0550845,0.0263357,0.060578,0.064974,0.0372319,0.0350425,0,0.0114673,0,0.0344205,0.0133242,0.0133992,0.0302463,0,0.0282733,0.0511696,0.0401361,0,0,0.0196661,0,0,0.0224769,0.0727493,0.0223299,0.0228436,0.0334257,0.0571459,0.0261311,0.0393412,0.0472314,0.0685051,0.0631766,0.0350174,0.0260949,0.0149694,0.0438713,0.0153841,0.0382104,0.0096199,0.00722682,0.055656,0.047473,0,0,0,0,0,0,0,0,0
135,0.0325918,0.0599647,0,0,0,0.0456623,0,0.0251009,0.0689665,0,0,0,0.0199576,0,0,0.0420296,0.0596806,0.0221261,0.0374793,0.0281241,0,0,0.0507596,0.0423004,0.0263901,0.0490656,0.0549248,0.0263453,0.0604995,0.0650929,0.0371915,0.0352018,0,0.0121163,0,0.0344317,0.0133435,0.0133548,0.0305769,0,0.0291738,0.0516067,0.0402259,0,0,0.0195323,0,0,0.0225046,0.072321,0.0234328,0.0235075,0.033453,0.0570142,0.025865,0.0397268,0.046513,0.0684366,0.0635186,0.0357266,0.0264154,0.0157246,0.0445975,0.0154621,0.0384367,0.0096303,0.00712189,0.0556912,0.0472884,0,0,0,0,0,0,0,0,0
136,0.0326346,0.0599525,0,0,0,0.0465108,0,0.0247278,0.0688521,0,0,0,0.0198115,0,0,0.0418418,0.0599651,0.0218795,0.0371092,0.0279195,0,0,0.0503281,0.0419733,0.026388,0.0491028,0.0548371,0.0263832,0.0604748,0.0651541,0.0371074,0.0352565,0,0.0129937,0,0.0344194,0.0132911,0.0132712,0.0305684,0,0.0298108,0.0520708,0.0402871,0,0,0.0194145,0,0,0.022526,0.0719752,0.0245811,0.0239703,0.0332987,0.0569885,0.0257214,0.0399404,0.0460769,0.0683262,0.0638866,0.0361636,0.0263221,0.0160381,0.0448524,0.016221,0.0385589,0.00965507,0.00703882,0.0556993,0.0471274,0,0,0,0,0,0,0,0,0
137,0.0326672,0.0599607,0,0,0,0.0472725,0,0.0242002,0.0688305,0,0,0,0.0195881,0,0,0.0414016,0.0602411,0.0216376,0.0366208,0.027652,0,0,0.049952,0.0416117,0.0263689,0.0492611,0.0547941,0.0264081,0.0604566,0.0651519,0.0369559,0.0353027,0,0.0138122,0,0.0343728,0.0131743,0.0131165,0.0300407,0,0.0299872,0.0525171,0.0403508,0,0,0.0193202,0,0,0.0225182,0.0716984,0.0250059,0.0242511,0.0330586,0.0570096,0.0256691,0.0398973,0.0459127,0.0681358,0.0640753,0.0362402,0.0258895,0.0159284,0.0445193,0.0171424,0.038618,0.00966811,0.00701491,0.055694,0.0470802,0,0,0,0,0,0,0,0,0
138,0.0326508,0.0599774,0,0,0,0.0479615,0,0.0235441,0.06889,0,0,0,0.0194857,0,0,0.0413229,0.0604313,0.0213378,0.03605,0.0273392,0,0,0.0496573,0.0411879,0.0263292,0.0495014,0.0548451,0.0264616,0.0603903,0.065116,0.0367716,0.0353308,0,0.0144672,0,0.0342708,0.01314,0.0131012,0.0289807,0,0.0300016,0.052825,0.0404252,0,0,0.0192477,0,0,0.0224706,0.0715779,0.0245237,0.0243426,0.0328744,0.0569492,0.0257378,0.0395332,0.0460107,0.067931,0.0639003,0.0360233,0.0253539,0.0155443,0.043916,0.018002,0.0385624,0.00966503,0.00708288,0.0556596,0.0470489,0,0,0,0,0,0,0,0,0
139,0.0326426,0.0599759,0,0,0,0.0485998,0,0.0227867,0.0690181,0,0,0,0.0195493,0,0,0.0416798,0.0604948,0.0210651,0.0354279,0.0269973,0,0,0.0494322,0.0407418,0.0262657,0.049788,0.0549723,0.0265291,0.0603456,0.0650518,0.0365586,0.0353866,0,0.0149921,0,0.0341263,0.0131887,0.0132426,0.0271803,0,0.0297351,0.0529316,0.040527,0,0,0.0192702,0,0,0.0224588,0.0716261,0.0236264,0.0242616,0.0327497,0.0569103,0.0259113,0.0388794,0.0463277,0.0677244,0.0633322,0.0355584,0.024815,0.0149453,0.04327,0.0187807,0.0384278,0.00965453,0.00718687,0.0556037,0.047015,0,0,0,0,0,0,0,0,0
140,0.0326966,0.0599781,0,0,0,0.0492518,0,0.0219347,0.0691842,0,0,0,0.0196535,0,0,0.0419561,0.0604034,0.020899,0.0347921,0.0266497,0,0,0.0492058,0.0403337,0.0261886,0.0501402,0.0551079,0.0265984,0.0604342,0.0649632,0.0363106,0.0353486,0,0.0154851,0,0.0339542,0.0132038,0.0133648,0.0253824,0,0.0293902,0.0528049,0.0406431,0,0,0.0193507,0,0,0.022475,0.0717793,0.0227245,0.0240098,0.0325087,0.0569025,0.0261555,0.0380354,0.0467604,0.0675083,0.0624406,0.034918,0.0242841,0.0141032,0.0427358,0.0195321,0.0382701,0.00964767,0.00730782,0.0555555,0.0468683,0,0,0,0,0,0,0,0,0
141,0.0326716,0.0599993,0,0,0,0.0499669,0,0.0210026,0.0693574,0,0,0,0.0196258,0,0,0.041657,0.0601554,0.0207765,0.0341757,0.0263117,0,0,0.0489877,0.0399328,0.0260784,0.0505255,0.05524,0.0266065,0.0604415,0.0649167,0.0360366,0.0353308,0,0.0159663,0,0.0337857,0.013119,0.0132534,0.0237138,0,0.0290427,0.0525841,0.0407654,0,0,0.0194242,0,0,0.0224819,0.0718783,0.0216728,0.0238454,0.0319211,0.0568406,0.0264522,0.0372151,0.0472005,0.0673285,0.0615002,0.0342097,0.0238344,0.0130869,0.0421766,0.0205354,0.0380539,0.009642,0.00741242,0.0555389,0.0467159,0,0,0,0,0,0,0,0,0
142,0.032643,0.060031,0,0,0,0.0508692,0,0.0200946,0.0694742,0,0,0,0.0196399,0,0,0.0414817,0.0598603,0.0207,0.0335812,0.0259984,0,0,0.0486823,0.0394726,0.0259736,0.0509012,0.0553717,0.0265122,0.0603622,0.0648791,0.0358186,0.0353422,0,0.0165427,0,0.0337036,0.0130916,0.0131685,0.0216458,0,0.0286053,0.0524057,0.040914,0,0,0.0194771,0,0,0.0224769,0.0717134,0.0202961,0.0239822,0.0311229,0.0569173,0.0267839,0.0364654,0.0474144,0.0671178,0.0607166,0.0337082,0.0237744,0.012467,0.0415602,0.0220099,0.0378928,0.00964376,0.00750167,0.0555701,0.0465865,0,0,0,0,0,0,0,0,0
143,0.0326316,0.060132,0,0,0,0.0519255,0,0.0191796,0.0694696,0,0,0,0.0196518,0,0,0.0413689,0.0595933,0.0207822,0.0329361,0.0257267,0,0,0.0481575,0.0388839,0.0260938,0.0512225,0.0555025,0.0263744,0.0603347,0.0648752,0.0355124,0.0354311,0,0.0171967,0,0.0337161,0.0130821,0.0131042,0.0190126,0,0.0281476,0.0524722,0.0410884,0,0,0.0194957,0,0,0.0225025,0.0712648,0.018959,0.0245321,0.0309987,0.0572321,0.0270609,0.0356882,0.0472284,0.0666954,0.0599535,0.0336071,0.0244059,0.0127198,0.0412366,0.0237925,0.0378224,0.00965446,0.00757771,0.055721,0.0465136,0,0,0,0,0,0,0,0,0
144,0.0326162,0.0602981,0,0,0,0.0531264,0,0.0181571,0.0692447,0,0,0,0.0196775,0,0,0.0413473,0.0594418,0.0211869,0.0321663,0.0255385,0,0,0.0474223,0.0382007,0.0264166,0.0515451,0.0556605,0.0262237,0.0603564,0.0649267,0.0352568,0.0355008,0,0.0179112,0,0.0337667,0.0130651,0.0131118,0.0165313,0,0.0277881,0.0527411,0.041265,0,0,0.0195104,0,0,0.0225752,0.0707719,0.0180532,0.0251772,0.0322158,0.0576154,0.0272821,0.0348358,0.0465453,0.0658955,0.0591505,0.0334501,0.0258168,0.0135872,0.0411908,0.0253287,0.0377841,0.00970193,0.00760449,0.0559366,0.0465198,0,0,0,0,0,0,0,0,0
145,0.0325841,0.0604432,0,0,0,0.0542774,0,0.0170522,0.0687699,0,0,0,0.0197403,0,0,0.0413526,0.059411,0.0219812,0.0312874,0.0254326,0,0,0.0468067,0.0375477,0.0267948,0.0520102,0.0558477,0.0260527,0.0603596,0.0650638,0.0350775,0.0357113,0,0.0184746,0,0.0338388,0.0130465,0.0131111,0.0147413,0,0.0274591,0.0530101,0.0414325,0,0,0.0194757,0,0,0.0226391,0.0705658,0.0173787,0.0254872,0.0341428,0.0577533,0.0275248,0.0340694,0.0456428,0.0648805,0.0584832,0.0328677,0.0274339,0.0144149,0.0409689,0.0265171,0.0377373,0.00975628,0.00763625,0.0561352,0.0464581,0,0,0,0,0,0,0,0,0
146,0.0326011,0.0604963,0,0,0,0.0552751,0,0.0159002,0.0681202,0,0,0,0.0197476,0,0,0.0412728,0.0593458,0.0232128,0.0303851,0.0253331,0,0,0.0466372,0.0369955,0.0271433,0.0525995,0.0560593,0.0258754,0.0605646,0.0653328,0.034939,0.0360754,0,0.0187995,0,0.0339051,0.0129474,0.013162,0.0133284,0,0.0271014,0.0531132,0.0415792,0,0,0.0194244,0,0,0.0226652,0.070787,0.0169452,0.0253323,0.0354853,0.0576037,0.0278965,0.0333625,0.0451053,0.0640891,0.0578314,0.0320367,0.0283034,0.0145892,0.0405473,0.0277075,0.037633,0.00977339,0.00776072,0.0562644,0.0463045,0,0,0,0,0,0,0,0,0
147,0.0326505,0.0604884,0,0,0,0.0560999,0,0.0147923,0.06736,0,0,0,0.0197414,0,0,0.0412324,0.0591147,0.0247457,0.0295504,0.0253286,0,0,0.046888,0.0365895,0.0273741,0.0532559,0.0563442,0.0256993,0.0608715,0.0655741,0.0346974,0.0363457,0,0.0188524,0,0.0339073,0.0128747,0.01323,0.0119088,0,0.0264963,0.0529061,0.0417044,0,0,0.0195295,0,0,0.0227492,0.0713631,0.0170081,0.0247115,0.0355135,0.0573779,0.0284058,0.0324422,0.0452547,0.0638235,0.0568951,0.0313398,0.0281918,0.0140247,0.0400902,0.0294262,0.0373674,0.00982106,0.00799521,0.0563018,0.0462956,0,0,0,0,0,0,0,0,0
148,0.0326725,0.060474,0,0,0,0.0565871,0,0.0138107,0.0664411,0,0,0,0.0197651,0,0,0.0412119,0.0586952,0.026583,0.0288612,0.0254511,0,0,0.0474997,0.0363068,0.0274851,0.0538642,0.0566227,0.0255542,0.0609716,0.0657033,0.0342971,0.0363831,0,0.0185816,0,0.0338134,0.0128535,0.0132584,0.0106048,0,0.0258371,0.05237,0.0417952,0,0,0.0197249,0,0,0.0228379,0.0720294,0.0176151,0.0238601,0.034344,0.0570382,0.0290661,0.0316904,0.0456289,0.0638633,0.0559274,0.0308982,0.0274786,0.0130585,0.0396564,0.0316868,0.0369584,0.00991527,0.00827389,0.0562739,0.0464465,0,0,0,0,0,0,0,0,0
149,0.032669,0.0604269,0,0,0,0.0564664,0,0.0130486,0.0651987,0,0,0,0.019806,0,0,0.0412436,0.0582638,0.0287697,0.0283063,0.0256771,0,0,0.0483125,0.0361136,0.0276499,0.0543766,0.0568349,0.025376,0.0608009,0.0656669,0.0336898,0.0361616,0,0.0183086,0,0.0336488,0.0128678,0.0132848,0.00973292,0,0.0252516,0.0516581,0.0418272,0,0,0.0199505,0,0,0.0229127,0.0724514,0.0184161,0.0231589,0.0330077,0.0564772,0.0298233,0.0314865,0.0454804,0.0639544,0.0554449,0.0305349,0.0266898,0.0121096,0.0391884,0.0338221,0.0365031,0.00993271,0.0086445,0.056157,0.0466772,0,0,0,0,0,0,0,0,0
150,0.0326758,0.060359,0,0,0,0.0558953,0,0.0126823,0.0636632,0,0,0,0.0198461,0,0,0.041335,0.0579595,0.0309442,0.0278229,0.0259645,0,0,0.049247,0.0360358,0.0280231,0.0547324,0.0570439,0.0251916,0.0603841,0.0653995,0.0328306,0.035746,0,0.0181969,0,0.0334383,0.0128709,0.0133544,0.00911066,0,0.0247917,0.0509033,0.0418121,0,0,0.02023,0,0,0.0229589,0.0725133,0.0187749,0.0228957,0.0323764,0.0560853,0.0306361,0.0315734,0.044839,0.0637477,0.0553312,0.0300775,0.0261936,0.0114152,0.0385583,0.0353604,0.0360084,0.00994739,0.00906672,0.0560095,0.0469385,0,0,0,0,0,0,0,0,0
151,0.032625,0.0602962,0,0,0,0.054814,0,0.0127702,0.0618494,0,0,0,0.0198887,0,0,0.0415019,0.0578083,0.0328038,0.0273337,0.0262749,0,0,0.0502796,0.0359682,0.0283925,0.0549764,0.0572612,0.0249875,0.0597347,0.0648149,0.031644,0.035252,0,0.018127,0,0.0332395,0.0129029,0.0134213,0.00850359,0,0.024447,0.05001,0.0417537,0,0,0.0206518,0,0,0.022934,0.0722951,0.0183948,0.0230972,0.032489,0.0561204,0.0314424,0.0313955,0.0443245,0.0635924,0.0551277,0.0295756,0.0261788,0.0113714,0.0379331,0.0364004,0.0354855,0.00997691,0.00950838,0.0558528,0.0472243,0,0,0,0,0,0,0,0,0
152,0.0325119,0.0601931,0,0,0,0.0531776,0,0.0129875,0.0600207,0,0,0,0.0199721,0,0,0.041702,0.0577845,0.0338827,0.0268728,0.0264593,0,0,0.0512316,0.0359145,0.028774,0.0552049,0.0575762,0.0248636,0.0587547,0.0638315,0.0301371,0.0346837,0,0.0176136,0,0.0330912,0.0129637,0.0134702,0.00785854,0,0.0244612,0.0490601,0.0416326,0,0,0.0212608,0,0,0.022877,0.071937,0.017409,0.0236728,0.0329359,0.0563837,0.0323767,0.0311362,0.0443475,0.0636575,0.0547325,0.0292365,0.0265145,0.0118269,0.0374701,0.0371776,0.0348873,0.00997994,0.00989844,0.0557454,0.0475017,0,0,0,0,0,0,0,0,0
153,0.0324067,0.0600273,0,0,0,0.0512378,0,0.0127978,0.0583585,0,0,0,0.0201962,0,0,0.0418838,0.0578718,0.0337916,0.0264622,0.0264694,0,0,0.0521275,0.0359047,0.0292734,0.0555266,0.0581158,0.024916,0.0574331,0.0625172,0.0285154,0.0341663,0,0.0163808,0,0.0328998,0.0129772,0.0135676,0.00734681,0,0.0249221,0.0482815,0.0415076,0,0,0.0219302,0,0,0.0229259,0.071437,0.0161661,0.0245298,0.0334954,0.0567807,0.0335248,0.0309112,0.0447675,0.0639069,0.0544338,0.029209,0.0269815,0.0125348,0.0371797,0.0375645,0.0341925,0.0100636,0.0103817,0.0557099,0.0475671,0,0,0,0,0,0,0,0,0
154,0.0323619,0.0598311,0,0,0,0.0491188,0,0.0117494,0.0566386,0,0,0,0.0205254,0,0,0.0420562,0.0579816,0.0329234,0.0260242,0.0264069,0,0,0.0530393,0.0359778,0.0299314,0.0560376,0.0588795,0.0252193,0.0560474,0.0609598,0.0270041,0.0338156,0,0.0151726,0,0.0326969,0.013028,0.0135996,0.00705348,0,0.0254967,0.0477697,0.0415058,0,0,0.0227067,0,0,0.0230754,0.0707857,0.015024,0.0255408,0.034065,0.0574915,0.0348022,0.0305379,0.0449276,0.0640941,0.0541624,0.0294016,0.0273831,0.0131745,0.0371534,0.0376382,0.0334451,0.0101956,0.010904,0.0557024,0.0476725,0,0,0,0,0,0,0,0,0
155,0.0324011,0.0596355,0,0,0,0.0469338,0,0.0101343,0.054933,0,0,0,0.0208108,0,0,0.0421903,0.0581596,0.0321564,0.0255372,0.0262915,0,0,0.0539721,0.0360333,0.0308168,0.0569066,0.0598387,0.0257776,0.0549242,0.0594509,0.0258832,0.0337978,0,0.0160155,0,0.0325025,0.0130624,0.0136217,0.00691347,0,0.0258123,0.0475643,0.0416062,0,0,0.0235139,0,0,0.0232619,0.0701692,0.0143081,0.0265505,0.034533,0.0582507,0.0361611,0.029956,0.0448804,0.064001,0.0537452,0.0296208,0.0275525,0.0135635,0.0372739,0.0376207,0.03267,0.0103246,0.011424,0.0557213,0.0478319,0,0,0,0,0,0,0,0,0
156,0.0325317,0.0594626,0,0,0,0.0443745,0,0.00897487,0.0535711,0,0,0,0.0210024,0,0,0.0423101,0.0582899,0.0323287,0.0251835,0.0259844,0,0,0.0550706,0.0360899,0.0319924,0.0581012,0.0609834,0.0264819,0.0544195,0.0584763,0.0255453,0.0343232,0,0.0192426,0,0.0323309,0.0130727,0.0136717,0.00688806,0,0.0258342,0.0477454,0.0417527,0,0,0.0241467,0,0,0.0234902,0.0699721,0.0141277,0.0272402,0.0347966,0.0586517,0.0374648,0.0293091,0.0447065,0.0636759,0.053286,0.0296879,0.0274673,0.013489,0.0372446,0.0377582,0.0319886,0.0105199,0.0119976,0.055756,0.0480862,0,0,0,0,0,0,0,0,0
