Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x75,x76,x77,x73,LBL
96,0.0322795,0.0608772,0,0,0,0.0288775,0,0.0202968,0.0483028,0,0,0,0.020435,0,0,0.0431463,0.0538292,0.0273772,0.0448479,0.0255701,0,0,0.065889,0.0440375,0.0410446,0.0648073,0.0614594,0.0238836,0.0622411,0.0668366,0.036371,0.0375874,0,0.0152748,0,0.0344639,0.0130168,0.0158009,0.027987,0,0.01602,0.0469096,0.0390085,0,0,0.0214835,0,0,0.0227832,0.0727473,0.0400388,0.0187186,0.029719,0.0542777,0.0345208,0.0311796,0.0454471,0.0688056,0.0571983,0.0223853,0.0215251,0.0123858,0.0254892,0.0685934,0.0352454,0.0103053,0.00988063,0.0567541,0.0506431,0,0,0,0,0,0,0,0,0
97,0.0324208,0.0608073,0,0,0,0.0287636,0,0.0205176,0.0491273,0,0,0,0.0208105,0,0,0.043155,0.0535282,0.0267913,0.0454949,0.0260237,0,0,0.0665191,0.0449206,0.0403377,0.0643022,0.0610248,0.0235212,0.0622327,0.0671263,0.036768,0.0376648,0,0.0152977,0,0.0343408,0.0128678,0.0160878,0.0277798,0,0.0167496,0.046554,0.038897,0,0,0.0217037,0,0,0.0226464,0.0728326,0.0426039,0.0180404,0.0291759,0.0548613,0.0346348,0.0326614,0.0466882,0.0703898,0.0584449,0.0221725,0.0212885,0.0121174,0.0252125,0.0729097,0.0349869,0.0102288,0.00998409,0.0564368,0.0508525,0,0,0,0,0,0,0,0,0
98,0.0325957,0.060791,0,0,0,0.0287121,0,0.0207069,0.0500873,0,0,0,0.0211282,0,0,0.0430867,0.0534394,0.0264211,0.0457695,0.0263638,0,0,0.0669734,0.0456842,0.0395765,0.0637035,0.0605454,0.0232698,0.0624489,0.0673243,0.0369203,0.0376466,0,0.0150681,0,0.0343322,0.0129755,0.0160746,0.0274911,0,0.0175477,0.0462941,0.0388706,0,0,0.0218052,0,0,0.0225072,0.0729379,0.0452051,0.0175049,0.0291859,0.0554852,0.0345027,0.0337558,0.0477649,0.0715526,0.059248,0.0219125,0.0211944,0.0119012,0.0253462,0.0772514,0.034869,0.0101288,0.00996068,0.0562059,0.0512004,0,0,0,0,0,0,0,0,0
99,0.0323651,0.060868,0,0,0,0.0287565,0,0.0209057,0.0516928,0,0,0,0.0217049,0,0,0.0426103,0.0529706,0.0261681,0.0449905,0.0267715,0,0,0.0664946,0.0455836,0.0388331,0.0633149,0.0600039,0.0227222,0.0625151,0.0675319,0.0370268,0.0375436,0,0.0146637,0,0.0337467,0.0134898,0.0161922,0.0236782,0,0.0239485,0.0449538,0.0395363,0,0,0.0211776,0,0,0.0232086,0.0728005,0.0535619,0.017673,0.0295553,0.0565663,0.0344549,0.0350757,0.0498789,0.0737823,0.0604975,0.0192196,0.0252618,0.0136893,0.0230928,0.0697158,0.0353068,0.00933441,0.00998681,0.0559507,0.0511154,0,0,0,0,0,0,0,0,0
100,0.0325604,0.0609741,0,0,0,0.0290168,0,0.0210861,0.0528789,0,0,0,0.0221019,0,0,0.0423969,0.0529517,0.0260181,0.044826,0.026839,0,0,0.0660779,0.0461656,0.038086,0.0627369,0.0596481,0.0228074,0.0623371,0.0675745,0.0370696,0.0374553,0,0.0140093,0,0.033754,0.0136392,0.0157036,0.0226787,0,0.0258996,0.0447299,0.0395469,0,0,0.0212438,0,0,0.0232409,0.0728423,0.0559677,0.0172298,0.0297598,0.0566587,0.0341687,0.0352928,0.0502955,0.0740834,0.0605448,0.0197258,0.0254748,0.013487,0.0237177,0.0706849,0.0354841,0.0093698,0.00991486,0.0557425,0.0514394,0,0,0,0,0,0,0,0,0
101,0.0327186,0.0611835,0,0,0,0.0296106,0,0.0212822,0.0539073,0,0,0,0.0221932,0,0,0.0422789,0.0529688,0.0260434,0.0445307,0.0268419,0,0,0.065364,0.0464221,0.0375591,0.0622945,0.059395,0.0228386,0.0624102,0.0675409,0.0370413,0.0373505,0,0.0130907,0,0.0338333,0.0137416,0.0153976,0.0219173,0,0.0267896,0.0444255,0.0396542,0,0,0.0210946,0,0,0.0233516,0.0728223,0.0558553,0.0169287,0.0299368,0.0568113,0.033778,0.035382,0.0505178,0.0741311,0.0604864,0.0196129,0.0251567,0.0130761,0.0244526,0.0700534,0.0357195,0.00936375,0.00979967,0.0555551,0.0516746,0,0,0,0,0,0,0,0,0
102,0.0328994,0.0613976,0,0,0,0.0305162,0,0.0213762,0.0547511,0,0,0,0.0220878,0,0,0.0422154,0.0531117,0.0256036,0.0442869,0.0268062,0,0,0.0645194,0.0464579,0.0370075,0.0617889,0.0592295,0.0229015,0.0626344,0.0675115,0.0370137,0.037233,0,0.0121027,0,0.0339684,0.0137844,0.0151946,0.0211999,0,0.0263859,0.0442145,0.0397667,0,0,0.020932,0,0,0.0234214,0.0727648,0.0541205,0.0167223,0.0303701,0.0568044,0.0333603,0.0354661,0.0506532,0.0740301,0.0603944,0.0194842,0.0245244,0.0126913,0.0249466,0.067763,0.0359367,0.009278,0.00969581,0.0554897,0.0518503,0,0,0,0,0,0,0,0,0
103,0.033313,0.061278,0,0,0,0.032385,0,0.0218065,0.0550641,0,0,0,0.0215135,0,0,0.0425091,0.0536272,0.0255107,0.0449448,0.026487,0,0,0.064359,0.0469706,0.0367732,0.0613333,0.0593692,0.0237795,0.0623319,0.0671181,0.0366678,0.0368985,0,0.010114,0,0.0346752,0.0134456,0.0148807,0.0251113,0,0.0211122,0.0449514,0.0392913,0,0,0.0214759,0,0,0.0227795,0.0730438,0.0461249,0.0156896,0.0308967,0.0558771,0.0327203,0.0349481,0.0495922,0.0725618,0.0593745,0.0226192,0.0196117,0.00962713,0.0279977,0.0757115,0.035944,0.00994408,0.00944373,0.0555683,0.0523588,0,0,0,0,0,0,0,0,0
104,0.0332975,0.0608014,0,0,0,0.0334135,0,0.0218882,0.0558537,0,0,0,0.0212634,0,0,0.0426245,0.0538104,0.0249997,0.0448025,0.0265145,0,0,0.0635927,0.0466209,0.0361433,0.0609565,0.0592661,0.0244076,0.062104,0.0669886,0.0366904,0.0367496,0,0.00891021,0,0.0346176,0.0134756,0.0148233,0.02388,0,0.0212524,0.0446594,0.039379,0,0,0.0214321,0,0,0.0228215,0.0731724,0.0442769,0.0155476,0.0315799,0.0557632,0.0325538,0.0351645,0.049782,0.0726903,0.0593952,0.0229174,0.019175,0.0092134,0.0280738,0.0723582,0.0360421,0.00992789,0.00948139,0.0556611,0.0523491,0,0,0,0,0,0,0,0,0
105,0.0332615,0.0606135,0,0,0,0.0341168,0,0.0219579,0.0567358,0,0,0,0.021017,0,0,0.0427769,0.053874,0.0245249,0.0446804,0.0264957,0,0,0.0629967,0.0462324,0.0356883,0.0604428,0.0591756,0.0248212,0.0618485,0.0668346,0.0367545,0.0366061,0,0.00795407,0,0.0345215,0.013516,0.0147608,0.0229567,0,0.0214484,0.0442685,0.0394809,0,0,0.0214371,0,0,0.0228047,0.0734226,0.0429574,0.0153825,0.0319715,0.0558099,0.0325293,0.0353363,0.0500376,0.0729211,0.0594608,0.0234313,0.0189492,0.00874971,0.0281035,0.0697117,0.0360484,0.00991462,0.00958412,0.0556088,0.052311,0,0,0,0,0,0,0,0,0
106,0.0332436,0.0606022,0,0,0,0.0349957,0,0.022051,0.0576695,0,0,0,0.0208132,0,0,0.0428994,0.0538604,0.0239829,0.0445435,0.0264849,0,0,0.0626769,0.0458838,0.0354371,0.0594438,0.0590216,0.0249706,0.0616171,0.0667686,0.0368283,0.036462,0,0.00710076,0,0.0343969,0.0134972,0.0147634,0.022307,0,0.0217836,0.0438861,0.0395562,0,0,0.0215058,0,0,0.0227899,0.0737574,0.0420588,0.0150355,0.0319918,0.055642,0.0325635,0.03543,0.0502887,0.0730532,0.0594975,0.02335,0.0189429,0.0085314,0.0282805,0.0674181,0.0359935,0.00993222,0.00972296,0.0554129,0.052284,0,0,0,0,0,0,0,0,0
107,0.0331728,0.060504,0,0,0,0.0359875,0,0.022145,0.0585369,0,0,0,0.0206701,0,0,0.0430851,0.0537887,0.0234645,0.0444366,0.0264796,0,0,0.0626031,0.0455677,0.0349502,0.0586611,0.0588956,0.0250515,0.0616846,0.0667827,0.0368633,0.0362878,0,0.00645131,0,0.0341926,0.0134077,0.0149001,0.0218404,0,0.0220976,0.0435857,0.0396066,0,0,0.0215868,0,0,0.0227529,0.0741381,0.0413493,0.0145968,0.0316794,0.0553205,0.0326557,0.0354437,0.0505028,0.0730653,0.0594662,0.0230871,0.019084,0.0083391,0.0284642,0.0654372,0.035871,0.00996003,0.00985657,0.0551845,0.0521306,0,0,0,0,0,0,0,0,0
108,0.0330542,0.0602899,0,0,0,0.0368727,0,0.0222138,0.0593892,0,0,0,0.0206332,0,0,0.0433023,0.0536265,0.0230122,0.0443584,0.0264956,0,0,0.0625702,0.0453662,0.034356,0.0581074,0.0588179,0.0251142,0.0616981,0.066733,0.0368787,0.0360917,0,0.00609203,0,0.0339083,0.0134505,0.0149755,0.021413,0,0.022365,0.0433,0.0395921,0,0,0.0217347,0,0,0.0227563,0.074374,0.0408476,0.0142785,0.0311834,0.055243,0.0328216,0.0354537,0.05072,0.0731402,0.0593956,0.0230123,0.0192452,0.0082332,0.0284021,0.0639166,0.0356726,0.00999769,0.00999253,0.0550348,0.0519285,0,0,0,0,0,0,0,0,0
