Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x76,x77,x78,LBL,x75
199,0.0287797,0.0611394,0,0,0,0.0480918,0,0.018801,0.0673395,0,0,0,0.022585,0,0,0.0422795,0.0555495,0.0203428,0.0415296,0.0282444,0,0,0.0593877,0.0408148,0.0277605,0.0518102,0.0571494,0.026289,0.0632398,0.0680013,0.0395423,0.0381909,0,0.0149097,0,0.0333537,0.013258,0.0153633,0.0209592,0,0.0272119,0.0400831,0.0401928,0,0,0.0206458,0,0,0.0238209,0.0774181,0.0344283,0.0177113,0.0346931,0.0618829,0.0331869,0.0381862,0.0603628,0.0783529,0.0614368,0.0246529,0.020404,0.00710615,0.0302112,0.0566641,0.0342119,0.00954437,0.0120582,0.0575908,0.0476934,0,0,0,0,0,0,0,0,0,0
200,0.0287267,0.0611099,0,0,0,0.0483472,0,0.018624,0.0677448,0,0,0,0.0227767,0,0,0.0421796,0.0558673,0.0202263,0.0412794,0.0282447,0,0,0.0589753,0.0407565,0.027207,0.0515459,0.0570334,0.0264053,0.0631954,0.0679568,0.0395638,0.0382363,0,0.0152745,0,0.0332242,0.0133323,0.015283,0.0209336,0,0.0273721,0.0401667,0.0402098,0,0,0.0204489,0,0,0.0237726,0.0773941,0.0345703,0.0177972,0.0344022,0.0619887,0.0329321,0.0381831,0.061134,0.0784883,0.0614057,0.0248871,0.020613,0.00708822,0.0305039,0.0576051,0.0342487,0.00948024,0.011934,0.0572842,0.0477002,0,0,0,0,0,0,0,0,0,0
201,0.0288244,0.0610368,0,0,0,0.0473871,0,0.0190004,0.0683675,0,0,0,0.0227217,0,0,0.0422575,0.0564828,0.0206629,0.0411574,0.0284445,0,0,0.058629,0.0406909,0.0267755,0.051043,0.0569879,0.0265464,0.0628488,0.0676604,0.0393678,0.0377257,0,0.0142258,0,0.0331523,0.0130342,0.0156425,0.0208418,0,0.0274132,0.0404243,0.0401667,0,0,0.0206942,0,0,0.0235591,0.0774255,0.0342413,0.0179897,0.0338067,0.0619829,0.0328639,0.0382205,0.0618206,0.078631,0.061458,0.0251229,0.0210871,0.00709199,0.0308048,0.0576601,0.0340712,0.00943971,0.0116615,0.0570624,0.0476711,0,0,0,0,0,0,0,0,0,0
202,0.0289004,0.0609787,0,0,0,0.0472711,0,0.0190805,0.0687041,0,0,0,0.0228797,0,0,0.0422487,0.0569288,0.0206528,0.0410227,0.0285472,0,0,0.0583831,0.0406613,0.026316,0.0506609,0.0568596,0.0266016,0.062747,0.067578,0.039202,0.0376047,0,0.0142164,0,0.0330044,0.0130031,0.0156593,0.0205787,0,0.0273701,0.0405974,0.0402008,0,0,0.0208303,0,0,0.0235152,0.077467,0.033514,0.0180239,0.033294,0.06198,0.032735,0.0382974,0.062334,0.0786144,0.0615056,0.0254178,0.0215237,0.00695944,0.0311527,0.0569171,0.0340004,0.00936939,0.0115016,0.0568526,0.0476582,0,0,0,0,0,0,0,0,0,0
203,0.0289405,0.0609216,0,0,0,0.0471485,0,0.0192014,0.0689176,0,0,0,0.023,0,0,0.0421829,0.0574119,0.0205873,0.0409498,0.0286596,0,0,0.0581498,0.0405691,0.026131,0.0502458,0.0567459,0.0266442,0.0626445,0.0675034,0.0391731,0.0376017,0,0.0142936,0,0.0328762,0.0129834,0.0156109,0.0202225,0,0.027263,0.0408558,0.0402066,0,0,0.0208969,0,0,0.0233858,0.077485,0.0322674,0.0179218,0.0330694,0.0619406,0.0326335,0.0383246,0.0625318,0.0783888,0.0615916,0.0257812,0.0219314,0.00676088,0.0316373,0.0549741,0.0339479,0.00933466,0.0114808,0.0566043,0.0476763,0,0,0,0,0,0,0,0,0,0
204,0.0289638,0.0608913,0,0,0,0.0471239,0,0.0193513,0.0689995,0,0,0,0.0231007,0,0,0.0422024,0.0578678,0.0203881,0.0409296,0.0287666,0,0,0.0581064,0.040475,0.0259307,0.0498571,0.0565907,0.026639,0.0626132,0.0674438,0.0392966,0.0375697,0,0.0145005,0,0.0327768,0.0129713,0.0155647,0.0199837,0,0.0270873,0.0411969,0.0402818,0,0,0.0208847,0,0,0.0232491,0.0774377,0.0304548,0.0177119,0.0327631,0.0618532,0.0325126,0.038365,0.0624037,0.0779826,0.0617369,0.0262887,0.0222992,0.00654423,0.0323294,0.0517389,0.0339158,0.00934441,0.0114804,0.0563851,0.0476064,0,0,0,0,0,0,0,0,0,0
205,0.0293967,0.0608363,0,0,0,0.0533564,0,0.0226185,0.0691208,0,0,0,0.0223381,0,0,0.0426356,0.0573895,0.0215539,0.0415784,0.0283056,0,0,0.0588128,0.0407349,0.0273467,0.051401,0.0570035,0.0264603,0.0607134,0.0656732,0.0373573,0.0356371,0,0.0224703,0,0.0331608,0.0127867,0.015151,0.0191903,0,0.0256311,0.0419318,0.0395444,0,0,0.021656,0,0,0.0222836,0.0776703,0.0278733,0.0162881,0.0330671,0.0609049,0.032125,0.0376792,0.0599363,0.0758683,0.0613941,0.0287085,0.0197937,0.00512236,0.0348048,0.0524248,0.0339702,0.00992474,0.011178,0.0561567,0.0480358,0,0,0,0,0,0,0,0,0,0
206,0.0295914,0.0608108,0,0,0,0.0532685,0,0.0228966,0.0689927,0,0,0,0.0224008,0,0,0.0425172,0.0577721,0.0213225,0.0416027,0.028392,0,0,0.0587567,0.0405027,0.0270108,0.0509945,0.0567657,0.026326,0.0607472,0.0656844,0.0373926,0.0356575,0,0.0224182,0,0.0330552,0.0127658,0.0150637,0.0198669,0,0.0257087,0.0423507,0.0396728,0,0,0.0216795,0,0,0.0222583,0.0774101,0.0257147,0.0160813,0.0328559,0.0607849,0.0318882,0.0379986,0.0594776,0.0754304,0.061811,0.0294413,0.0205902,0.0057838,0.035862,0.0457392,0.0340325,0.00994971,0.0111525,0.0560253,0.047848,0,0,0,0,0,0,0,0,0,0
207,0.0297262,0.060786,0,0,0,0.0532358,0,0.0232321,0.0687941,0,0,0,0.022489,0,0,0.0424056,0.0580505,0.0210473,0.0416301,0.0284605,0,0,0.058646,0.040199,0.0266967,0.0505928,0.0565123,0.026198,0.060794,0.0657244,0.0374485,0.0357164,0,0.0226151,0,0.0330034,0.0127903,0.0149126,0.02206,0,0.0257977,0.0428735,0.0398374,0,0,0.0218918,0,0,0.0222344,0.0771266,0.0235102,0.0158608,0.0328571,0.0606169,0.0316526,0.0383726,0.0586991,0.0749527,0.0624088,0.0303281,0.0213124,0.00659759,0.0370309,0.0383582,0.0341334,0.00994326,0.0110902,0.0559365,0.0475611,0,0,0,0,0,0,0,0,0,0
208,0.0297989,0.0607955,0,0,0,0.0529616,0,0.0236379,0.0686269,0,0,0,0.0225638,0,0,0.0423,0.0583859,0.0208769,0.0416574,0.0286192,0,0,0.0584776,0.0398061,0.0263974,0.0501836,0.0561985,0.0261308,0.0607956,0.0657271,0.0375385,0.0357214,0,0.0226169,0,0.0329838,0.0127804,0.0147865,0.0255642,0,0.026011,0.0434939,0.0400315,0,0,0.0218,0,0,0.0222246,0.0768114,0.0213759,0.015993,0.0330328,0.0604088,0.0313804,0.0388048,0.0575823,0.0744251,0.063056,0.031255,0.0220177,0.0075494,0.0382823,0.0308342,0.0342364,0.00986399,0.0109846,0.0559202,0.0472253,0,0,0,0,0,0,0,0,0,0
209,0.0299158,0.0608566,0,0,0,0.0527541,0,0.0240156,0.0684482,0,0,0,0.0226861,0,0,0.0420677,0.0588008,0.0207343,0.0416676,0.0288091,0,0,0.0582205,0.0393767,0.0262134,0.0498085,0.0559052,0.0259831,0.0608947,0.0658334,0.0376991,0.035725,0,0.0226722,0,0.0329367,0.0129669,0.0143087,0.0292951,0,0.0267068,0.0442688,0.0402727,0,0,0.0215519,0,0,0.0222592,0.0763578,0.0191536,0.0165503,0.0334214,0.0601682,0.0309803,0.0393855,0.0561492,0.0738123,0.0636464,0.0321878,0.0226112,0.00864155,0.0396021,0.0241646,0.0343987,0.00977407,0.0109591,0.0559661,0.0468653,0,0,0,0,0,0,0,0,0,0
210,0.0300036,0.0609346,0,0,0,0.0527606,0,0.024314,0.0682248,0,0,0,0.0225672,0,0,0.0418407,0.0591828,0.0205287,0.0416597,0.0289771,0,0,0.0578887,0.0388557,0.0260938,0.0495311,0.0556564,0.0257858,0.0610965,0.0660422,0.0379928,0.0358274,0,0.0228746,0,0.0329523,0.0129187,0.014224,0.0330887,0,0.0273172,0.0449954,0.0404931,0,0,0.0214495,0,0,0.0222328,0.0759504,0.0170889,0.017166,0.034005,0.0599397,0.030543,0.0400227,0.0546211,0.0731674,0.064116,0.0330477,0.0233892,0.00987735,0.0406772,0.018375,0.0345925,0.00967305,0.0107294,0.0560062,0.0465107,0,0,0,0,0,0,0,0,0,0
211,0.0301348,0.0610078,0,0,0,0.0531311,0,0.0245379,0.0678936,0,0,0,0.0224662,0,0,0.041673,0.0595654,0.0203471,0.0415036,0.029078,0,0,0.0573161,0.0383193,0.0259853,0.0492378,0.0554624,0.0255453,0.0613011,0.0662474,0.0382159,0.0359442,0,0.0234274,0,0.0329962,0.0127922,0.0142048,0.0354083,0,0.0283093,0.0459533,0.0406612,0,0,0.021233,0,0,0.0221029,0.0753723,0.0156766,0.0181523,0.0341913,0.0596813,0.0301197,0.0407323,0.0528891,0.0726135,0.0645672,0.0340213,0.0242072,0.011266,0.0414847,0.0149572,0.0348553,0.00958795,0.0105017,0.0560895,0.0461241,0,0,0,0,0,0,0,0,0,0
212,0.0302119,0.0610889,0,0,0,0.0537074,0,0.0246434,0.0675921,0,0,0,0.0223613,0,0,0.0415361,0.059867,0.0201396,0.0412854,0.0290728,0,0,0.0566996,0.037885,0.0258257,0.0489587,0.0552466,0.02537,0.0615222,0.0664707,0.03834,0.0361274,0,0.024236,0,0.0330228,0.0127033,0.0141735,0.036735,0,0.0295438,0.0467808,0.0408073,0,0,0.0210151,0,0,0.022145,0.0747957,0.0148489,0.0191833,0.0343924,0.0593803,0.0296448,0.0414443,0.0513548,0.07221,0.0649736,0.0349618,0.0250436,0.0126811,0.0422838,0.0131643,0.0351937,0.0095396,0.0103043,0.0562017,0.0457538,0,0,0,0,0,0,0,0,0,0
213,0.0303351,0.0611851,0,0,0,0.0544721,0,0.0246163,0.0673457,0,0,0,0.0222572,0,0,0.0414308,0.0600822,0.0198612,0.0409885,0.0289936,0,0,0.0561958,0.0376233,0.0256219,0.0486834,0.0550168,0.0253019,0.0617358,0.0666891,0.0383196,0.0363132,0,0.0253474,0,0.0330356,0.0126676,0.0141175,0.0369961,0,0.0309386,0.0474229,0.0408884,0,0,0.0207569,0,0,0.022268,0.0742918,0.0148283,0.0200802,0.0344787,0.0590684,0.0292161,0.042154,0.0501756,0.0719811,0.0653682,0.0357341,0.0257502,0.0140011,0.0430422,0.0129181,0.0355424,0.00955802,0.0100474,0.0562943,0.0454018,0,0,0,0,0,0,0,0,0,0
214,0.0304412,0.0613016,0,0,0,0.0553178,0,0.0244669,0.0672283,0,0,0,0.0221636,0,0,0.041387,0.0602208,0.019572,0.0406839,0.0288702,0,0,0.0556567,0.0374845,0.0254649,0.048443,0.0548163,0.0252691,0.061915,0.0668544,0.0383554,0.0364813,0,0.0263542,0,0.033035,0.0126806,0.0140747,0.0371633,0,0.0318271,0.0478652,0.0409361,0,0,0.0203762,0,0,0.0221273,0.0740033,0.0154233,0.0207537,0.0346447,0.0588311,0.0288638,0.0426895,0.0495179,0.0718802,0.065706,0.0363065,0.0262938,0.0149939,0.0437098,0.0131543,0.0358632,0.00952427,0.00978575,0.0563588,0.0451988,0,0,0,0,0,0,0,0,0,0
215,0.0304278,0.0614169,0,0,0,0.0566836,0,0.0241481,0.0671546,0,0,0,0.0220887,0,0,0.0413884,0.0603833,0.0192664,0.0402747,0.0286523,0,0,0.0550774,0.0372878,0.025368,0.0483042,0.0546534,0.0253054,0.0620698,0.0670225,0.0383995,0.0366554,0,0.0278205,0,0.0330083,0.0126743,0.0140619,0.03674,0,0.0325095,0.0483305,0.040986,0,0,0.0201415,0,0,0.0220145,0.07386,0.016952,0.021259,0.0345098,0.0587228,0.0285626,0.0429784,0.0489491,0.0717249,0.0659367,0.0369113,0.0264328,0.0155744,0.0441816,0.0145639,0.0361497,0.00940983,0.00963896,0.0564151,0.0451682,0,0,0,0,0,0,0,0,0,0
216,0.0304214,0.0614542,0,0,0,0.0582716,0,0.0236673,0.0671844,0,0,0,0.0220185,0,0,0.0413654,0.0605329,0.0189361,0.0397582,0.0283615,0,0,0.0545064,0.0370888,0.0253298,0.0482881,0.0545391,0.0254851,0.0621407,0.0671424,0.0383483,0.036791,0,0.0295206,0,0.0329489,0.0126492,0.0140489,0.0360986,0,0.0330129,0.0487049,0.041007,0,0,0.0200065,0,0,0.0220033,0.0739445,0.0183201,0.0215186,0.034303,0.0587585,0.0283544,0.0428533,0.0484522,0.0713653,0.0659301,0.0372897,0.0261896,0.0157032,0.0443814,0.0162529,0.0363519,0.00932872,0.00951074,0.0564568,0.0451367,0,0,0,0,0,0,0,0,0,0
217,0.0303865,0.0613698,0,0,0,0.0598639,0,0.0230172,0.0673358,0,0,0,0.0219537,0,0,0.0413538,0.0606565,0.0186697,0.0391303,0.0280966,0,0,0.0539535,0.0368971,0.0252882,0.048388,0.0544795,0.0256177,0.0621668,0.0671765,0.0381499,0.0369261,0,0.0312542,0,0.0328817,0.0126204,0.0140391,0.0354025,0,0.0331973,0.049013,0.0409111,0,0,0.0199273,0,0,0.0220664,0.0741599,0.0185201,0.0216736,0.0340558,0.0588007,0.0282793,0.0422747,0.0482063,0.0708995,0.0656314,0.0371147,0.0256332,0.015362,0.0441447,0.0177478,0.0364734,0.00939795,0.00943694,0.0565253,0.0450194,0,0,0,0,0,0,0,0,0,0
218,0.0303866,0.0611857,0,0,0,0.062753,0,0.0218803,0.0672974,0,0,0,0.0220131,0,0,0.0413735,0.0605118,0.0184314,0.0382343,0.0278586,0,0,0.0534469,0.0367327,0.0251346,0.0489236,0.0543436,0.0255352,0.0623295,0.0672864,0.0378327,0.0373482,0,0.0344191,0,0.0328198,0.0128016,0.0137337,0.0341581,0,0.0330207,0.0491326,0.040833,0,0,0.0196705,0,0,0.0222257,0.0742884,0.0167283,0.0217482,0.0338552,0.0588275,0.0282369,0.0412636,0.0485237,0.0705761,0.0649758,0.0365329,0.0248952,0.0145363,0.0434801,0.0182896,0.0365679,0.00951748,0.00964219,0.0565435,0.0448859,0,0,0,0,0,0,0,0,0,0
219,0.0303974,0.0611697,0,0,0,0.0629538,0,0.0211591,0.0676276,0,0,0,0.0219765,0,0,0.0414289,0.0605289,0.0186496,0.0375854,0.027676,0,0,0.0529811,0.036508,0.0249747,0.0490968,0.05442,0.0255374,0.0621036,0.0671051,0.037534,0.0372389,0,0.0345171,0,0.0327774,0.012758,0.0138084,0.031799,0,0.0332278,0.0491912,0.0408856,0,0,0.0196688,0,0,0.0221774,0.0745111,0.0148882,0.0217167,0.0333195,0.0589053,0.0283517,0.0402036,0.0486065,0.0702196,0.0640946,0.0360132,0.0240493,0.0136311,0.0428509,0.0188713,0.0365595,0.00950723,0.00963717,0.0564794,0.0447541,0,0,0,0,0,0,0,0,0,0
220,0.0304238,0.0612106,0,0,0,0.0635842,0,0.0202779,0.0678364,0,0,0,0.0219506,0,0,0.0414477,0.0604139,0.0183245,0.0369395,0.0274036,0,0,0.0525613,0.0362178,0.0245127,0.0494264,0.0544829,0.0255213,0.0618776,0.0670123,0.0371652,0.0370898,0,0.0348372,0,0.0327376,0.0127046,0.0138748,0.0300223,0,0.0332218,0.0491392,0.0409177,0,0,0.0196826,0,0,0.0222074,0.0745052,0.0132708,0.0216315,0.0327655,0.0588981,0.0284924,0.03912,0.0488315,0.0699684,0.0631344,0.0355818,0.0233152,0.0126921,0.0423945,0.0186831,0.0365104,0.00954054,0.00965096,0.056396,0.0446909,0,0,0,0,0,0,0,0,0,0
221,0.0303627,0.0612385,0,0,0,0.0642959,0,0.0193277,0.067864,0,0,0,0.0219395,0,0,0.0414408,0.0602556,0.0180712,0.0362761,0.027138,0,0,0.0521691,0.035898,0.0242539,0.0498113,0.0545373,0.0254931,0.0617154,0.06691,0.0367872,0.0369173,0,0.035091,0,0.0327302,0.012663,0.0139051,0.0285988,0,0.0330487,0.0489868,0.0409633,0,0,0.0198247,0,0,0.0223412,0.0741816,0.0119271,0.0216652,0.0322445,0.0588207,0.0286452,0.0381634,0.0489917,0.0697649,0.0622711,0.0350567,0.022858,0.0119352,0.0420316,0.018711,0.0364327,0.00961973,0.00968656,0.0563351,0.0446525,0,0,0,0,0,0,0,0,0,0
222,0.0303567,0.0612763,0,0,0,0.0648384,0,0.0183178,0.0676735,0,0,0,0.0219173,0,0,0.0414383,0.0601272,0.0187286,0.0355822,0.0269614,0,0,0.0517926,0.0355188,0.0242626,0.0502249,0.0546047,0.0253557,0.0616436,0.0668191,0.0364509,0.0369397,0,0.0354569,0,0.0327965,0.0126414,0.0139056,0.0271262,0,0.0324314,0.0488321,0.041018,0,0,0.0198794,0,0,0.022308,0.0735031,0.0108312,0.0219419,0.0319799,0.0587936,0.0288733,0.0373468,0.0489122,0.0695226,0.0616034,0.0346363,0.0228507,0.0115179,0.0416847,0.0189551,0.0363388,0.00959786,0.00975238,0.0563011,0.0445517,0,0,0,0,0,0,0,0,0,0
223,0.0304245,0.0613293,0,0,0,0.0653849,0,0.0172715,0.0672368,0,0,0,0.0218742,0,0,0.0413964,0.0600427,0.0200242,0.0348617,0.0269153,0,0,0.05139,0.0350661,0.0244865,0.0506194,0.0546506,0.025088,0.0616858,0.0667667,0.036172,0.0371063,0,0.0359454,0,0.032924,0.0126431,0.0138666,0.0252293,0,0.0315195,0.0487697,0.0410773,0,0,0.0197987,0,0,0.0222108,0.0726369,0.00985333,0.0224585,0.0323359,0.0587619,0.0291224,0.0367267,0.0485266,0.0691978,0.0611449,0.0344032,0.0234441,0.0115902,0.0413829,0.0191088,0.0362996,0.00962836,0.00976789,0.0562992,0.0444113,0,0,0,0,0,0,0,0,0,0
224,0.0304066,0.0613907,0,0,0,0.066078,0,0.0162151,0.0665737,0,0,0,0.0217811,0,0,0.0412295,0.0599989,0.0215108,0.034118,0.0269894,0,0,0.0510352,0.0344829,0.0248255,0.0510694,0.054714,0.0247031,0.0618052,0.0668032,0.0359696,0.0372869,0,0.0363908,0,0.0330959,0.0126188,0.0137942,0.0232622,0,0.0308064,0.0488502,0.041152,0,0,0.0197492,0,0,0.0223524,0.0719378,0.00875875,0.0230641,0.033444,0.0586601,0.0293709,0.0364072,0.0479499,0.0687835,0.0608489,0.0342377,0.0247508,0.0121396,0.0411876,0.0193866,0.0362523,0.00978298,0.00973084,0.056383,0.0443533,0,0,0,0,0,0,0,0,0,0
225,0.0303003,0.0614305,0,0,0,0.0667177,0,0.0151903,0.0657729,0,0,0,0.0216183,0,0,0.0409729,0.0600012,0.0233476,0.033311,0.0271454,0,0,0.0509918,0.0339203,0.0251863,0.0516065,0.0548245,0.0243034,0.0619382,0.0668978,0.0357384,0.0375178,0,0.036657,0,0.0332582,0.0125948,0.0136726,0.0214147,0,0.0303586,0.0490412,0.0412525,0,0,0.0197554,0,0,0.02239,0.0716088,0.00775886,0.0235847,0.0350204,0.0585058,0.0296937,0.0363148,0.0474622,0.0683726,0.0606972,0.0338439,0.0263472,0.0129132,0.0410383,0.020283,0.03619,0.00985673,0.00976361,0.0564982,0.0443791,0,0,0,0,0,0,0,0,0,0
226,0.0301412,0.0614771,0,0,0,0.0669938,0,0.0143033,0.0648341,0,0,0,0.0215097,0,0,0.0409971,0.0600382,0.0254984,0.0324458,0.0273801,0,0,0.0511185,0.0334518,0.0254733,0.0521566,0.0549862,0.0239679,0.0619732,0.0669343,0.0353068,0.0375985,0,0.0365741,0,0.0333841,0.0126254,0.0136521,0.0195269,0,0.0300731,0.0492771,0.0413932,0,0,0.0199989,0,0,0.0224484,0.0716329,0.00699362,0.0238251,0.0363715,0.0584448,0.0301064,0.0360996,0.0473499,0.0680779,0.0605139,0.0334145,0.0275599,0.0134681,0.0409597,0.0217401,0.0360608,0.00984352,0.00994208,0.0566241,0.0444548,0,0,0,0,0,0,0,0,0,0
227,0.0300924,0.0615423,0,0,0,0.0672247,0,0.013663,0.0632863,0,0,0,0.0214417,0,0,0.0411277,0.0600344,0.0282223,0.0313355,0.0280564,0,0,0.051435,0.0330375,0.0257245,0.0527599,0.0550463,0.0234555,0.0618606,0.0668287,0.0344679,0.037446,0,0.0365197,0,0.0334995,0.0127197,0.0135391,0.0177013,0,0.029553,0.0492351,0.0415492,0,0,0.0201448,0,0,0.0223466,0.0717047,0.00624492,0.0237537,0.0369332,0.0584938,0.0305858,0.0353734,0.047775,0.0679438,0.0599167,0.033022,0.0279287,0.0133638,0.0407069,0.0233469,0.0358378,0.00982734,0.0102568,0.0567396,0.0444889,0,0,0,0,0,0,0,0,0,0
228,0.0297461,0.0616994,0,0,0,0.0574152,0,0.009804,0.0621395,0,0,0,0.0219864,0,0,0.0409912,0.0606633,0.0314564,0.029447,0.0296086,0,0,0.0507609,0.0323608,0.0243663,0.0501182,0.0539573,0.0234439,0.0641397,0.0690833,0.0367517,0.0393817,0,0.0252459,0,0.0328726,0.0127366,0.0139864,0.0170513,0,0.0290019,0.0488127,0.0424011,0,0,0.0196835,0,0,0.0235283,0.0721243,0.00593355,0.0247738,0.0357721,0.0591352,0.0315615,0.0349327,0.0484191,0.068121,0.0593554,0.0323764,0.0277482,0.0128243,0.0399317,0.0235601,0.0354523,0.00909902,0.010862,0.0571479,0.043868,0,0,0,0,0,0,0,0,0,0
229,0.0300889,0.0615266,0,0,0,0.0645765,0,0.0135433,0.0608933,0,0,0,0.0211328,0,0,0.0413878,0.0594283,0.0321526,0.0297037,0.0284221,0,0,0.0525016,0.0325265,0.0264121,0.0535576,0.0558309,0.0235037,0.0605193,0.0657513,0.0321828,0.0359844,0,0.033963,0,0.0334678,0.0126903,0.0137174,0.0149676,0,0.0285005,0.0487542,0.0416215,0,0,0.0207014,0,0,0.0225293,0.072539,0.00583655,0.0230256,0.0359421,0.058278,0.0320176,0.0338173,0.0474913,0.067227,0.0582238,0.032531,0.0266019,0.0120979,0.0396113,0.0258214,0.0349862,0.0100805,0.010996,0.0570198,0.0444001,0,0,0,0,0,0,0,0,0,0
230,0.0300301,0.0614616,0,0,0,0.0629461,0,0.0143523,0.0590831,0,0,0,0.020964,0,0,0.0415567,0.0591893,0.033866,0.0288226,0.0286458,0,0,0.0534625,0.0323647,0.0268045,0.0540723,0.0562373,0.0234413,0.0595607,0.0648091,0.0305643,0.0354035,0,0.0326369,0,0.033401,0.012714,0.0137892,0.0139771,0,0.0279501,0.0480942,0.0417307,0,0,0.0211561,0,0,0.0227138,0.073064,0.00578586,0.0228619,0.0357237,0.0581856,0.0329228,0.0333691,0.0469931,0.0668905,0.0576092,0.0320945,0.0258626,0.011366,0.038865,0.0269115,0.0344118,0.0102987,0.0113796,0.0570797,0.0444173,0,0,0,0,0,0,0,0,0,0
231,0.02997,0.0613951,0,0,0,0.0605362,0,0.0149207,0.0570538,0,0,0,0.020774,0,0,0.0416827,0.0589611,0.0350781,0.0280262,0.0287457,0,0,0.0545343,0.0322445,0.0277092,0.0546528,0.0567785,0.0235029,0.05851,0.0635641,0.0288167,0.0350128,0,0.0305852,0,0.0333259,0.0126509,0.0138962,0.012515,0,0.0275026,0.0471953,0.041891,0,0,0.0218802,0,0,0.0227932,0.0734801,0.00565346,0.0229771,0.0358701,0.0583145,0.0339029,0.0330087,0.0465158,0.0666335,0.057081,0.031537,0.0255748,0.0109494,0.0381393,0.0282087,0.0337381,0.0104242,0.0118241,0.0570904,0.0444202,0,0,0,0,0,0,0,0,0,0
232,0.0299103,0.0613094,0,0,0,0.0579222,0,0.0145754,0.0551444,0,0,0,0.0206543,0,0,0.0419335,0.0586571,0.0353536,0.0273485,0.0286018,0,0,0.0557405,0.0322358,0.0287521,0.0553454,0.0575485,0.0238565,0.0574684,0.0621843,0.0272054,0.03477,0,0.0275085,0,0.0331915,0.0125479,0.0141481,0.0110027,0,0.0273314,0.0462026,0.0420251,0,0,0.0231592,0,0,0.0225946,0.0736154,0.00526966,0.0234079,0.0360559,0.0585874,0.0350747,0.0327369,0.0462013,0.0665399,0.0566641,0.0310306,0.0256869,0.0110191,0.0376091,0.0293444,0.0328577,0.0104854,0.0119731,0.0570686,0.044465,0,0,0,0,0,0,0,0,0,0
233,0.0299504,0.0611729,0,0,0,0.05569,0,0.0133971,0.0535348,0,0,0,0.0207094,0,0,0.0422266,0.0582068,0.0345341,0.0269365,0.0280827,0,0,0.0569187,0.0324184,0.0299431,0.0563149,0.0586165,0.0244965,0.0565892,0.0609221,0.0260662,0.0348969,0,0.0229915,0,0.032972,0.0125932,0.014269,0.0102237,0,0.0274446,0.0453642,0.0418888,0,0,0.0238773,0,0,0.0226298,0.0732734,0.00451087,0.0240906,0.0362278,0.0587201,0.036204,0.032635,0.0461826,0.0666871,0.0564765,0.0306854,0.0260156,0.0113701,0.0372236,0.0298579,0.0320547,0.010724,0.0125361,0.0570181,0.0446736,0,0,0,0,0,0,0,0,0,0
234,0.030085,0.0610578,0,0,0,0.0541642,0,0.0119248,0.0520795,0,0,0,0.0208221,0,0,0.0425252,0.0578293,0.0333618,0.0267185,0.0274755,0,0,0.0580705,0.0326987,0.0312898,0.0575873,0.0598753,0.0252656,0.0558751,0.0598415,0.0253821,0.0354573,0,0.0173551,0,0.032802,0.0127062,0.0143783,0.00995309,0,0.0277314,0.0447571,0.0417675,0,0,0.0246488,0,0,0.022642,0.0725161,0.00350882,0.0249275,0.0364834,0.0588626,0.037264,0.0325882,0.0463721,0.0669721,0.056411,0.0305421,0.0264482,0.0118458,0.0370827,0.0301639,0.0313556,0.0108631,0.0131987,0.056939,0.0450651,0,0,0,0,0,0,0,0,0,0
235,0.0301702,0.0609491,0,0,0,0.0531527,0,0.0106586,0.0507862,0,0,0,0.0210109,0,0,0.0428083,0.0576465,0.0319526,0.0266077,0.0270272,0,0,0.059127,0.032986,0.032711,0.0590325,0.061133,0.0259522,0.0553979,0.0589418,0.0249802,0.0359493,0,0.011471,0,0.0327238,0.0128235,0.0144308,0.00966459,0,0.0280131,0.0445488,0.0416776,0,0,0.0253148,0,0,0.0228526,0.0718308,0.00273612,0.0257666,0.0367377,0.059091,0.0381308,0.03239,0.0465567,0.0671506,0.0563509,0.0304662,0.0269249,0.0123184,0.0370966,0.0306098,0.0307855,0.011073,0.0137545,0.0568387,0.0455578,0,0,0,0,0,0,0,0,0,0
