Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x76,x77,x78,LBL,x75
174,0.0300935,0.0625303,0,0,0,0.0430458,0,0.0175015,0.0408362,0,0,0,0.0197121,0,0,0.0437826,0.0571055,0.0245781,0.0427075,0.0278836,0,0,0.0693062,0.0392703,0.0430041,0.0697746,0.0619607,0.0220839,0.0621032,0.0651798,0.0343459,0.0403912,0,0.00894719,0,0.0359336,0.0133288,0.0156289,0.0309086,0,0.0222611,0.0467444,0.0406896,0,0,0.0228383,0,0,0.022064,0.0724082,0.0326829,0.0196245,0.0321636,0.054939,0.0358812,0.0337357,0.0430978,0.0691535,0.0598452,0.0232237,0.0213152,0.0111461,0.025891,0.0489826,0.0332485,0.0105539,0.0126571,0.0594931,0.0479802,0,0,0,0,0,0,0,0,0,0
175,0.0302172,0.0620522,0,0,0,0.0431875,0,0.0176828,0.0416621,0,0,0,0.0199932,0,0,0.0439874,0.0565797,0.02377,0.0436918,0.0283248,0,0,0.0700382,0.0402078,0.0424398,0.0693807,0.0618382,0.0216772,0.0623227,0.0655841,0.0347267,0.0403133,0,0.00948236,0,0.0357644,0.013151,0.0162763,0.0263396,0,0.0184172,0.0462373,0.0404828,0,0,0.0233088,0,0,0.0222426,0.0716242,0.0296444,0.0185594,0.0316902,0.0558778,0.0363435,0.0351146,0.0461772,0.0713543,0.0611506,0.0231746,0.0190389,0.00957393,0.0270364,0.0570566,0.0327075,0.0108044,0.0131972,0.0590803,0.048301,0,0,0,0,0,0,0,0,0,0
176,0.0302876,0.0617875,0,0,0,0.0428779,0,0.0179406,0.0424822,0,0,0,0.02026,0,0,0.0440687,0.0562114,0.0234232,0.044341,0.0287184,0,0,0.0707706,0.0410312,0.0418347,0.0688034,0.0614591,0.0212664,0.0625527,0.0659597,0.0350224,0.0402585,0,0.00979485,0,0.0357148,0.0130445,0.0166544,0.0232892,0,0,0.0457106,0.040384,0,0,0.0237904,0,0,0.0223045,0.072291,0.0385567,0.0181498,0.0313417,0.0567215,0.0365364,0.03627,0.0462814,0.0720134,0.0618564,0.0226341,0.0212567,0.0108352,0.0265413,0.0524738,0.0324288,0.0108483,0.0133696,0.0588106,0.048579,0,0,0,0,0,0,0,0,0,0
177,0.0303569,0.0616909,0,0,0,0.042451,0,0.0184235,0.0440933,0,0,0,0.0204809,0,0,0.0440039,0.0557709,0.0231436,0.0448911,0.0286654,0,0,0.071032,0.0417715,0.0409489,0.0678975,0.0609452,0.0211602,0.0626111,0.066211,0.0352344,0.0400656,0,0.00988841,0,0.035618,0.0129989,0.0168334,0.0197757,0,0,0.0452066,0.0403475,0,0,0.0237437,0,0,0.0224689,0.0722551,0.0413162,0.0175829,0.0313183,0.0572487,0.0365059,0.036931,0.0476843,0.0729586,0.0623492,0.0224296,0.0211092,0.0101343,0.0267396,0.0571337,0.0323052,0.0109005,0.0135357,0.0586611,0.0488615,0,0,0,0,0,0,0,0,0,0
178,0.030258,0.061719,0,0,0,0.0400421,0,0.0168411,0.0459194,0,0,0,0.0208277,0,0,0.0436172,0.0555573,0.0219616,0.044182,0.0291365,0,0,0.0701729,0.0417772,0.0391726,0.0661681,0.0597454,0.0206607,0.063747,0.067297,0.0364547,0.0409398,0,0.00864181,0,0.0351695,0.0132005,0.0171596,0.02127,0,0,0.0436424,0.0408633,0,0,0.0232953,0,0,0.0234783,0.0715287,0.0421184,0.0176237,0.0311874,0.0581746,0.0369081,0.0375062,0.0509219,0.0751132,0.0630732,0.020678,0.0225577,0.00988675,0.0263809,0.0587186,0.0323295,0.0105692,0.0139017,0.0586306,0.0489409,0,0,0,0,0,0,0,0,0,0
179,0.0303717,0.0618284,0,0,0,0.0405246,0,0.0169024,0.0471141,0,0,0,0.020774,0,0,0.0435259,0.0553689,0.0217715,0.0441404,0.0290832,0,0,0.069637,0.0418836,0.0384107,0.0654899,0.0592957,0.0207209,0.0638607,0.0674751,0.03662,0.0409294,0,0.0089857,0,0.0352722,0.0131027,0.0172126,0.0214977,0,0,0.0429945,0.0408611,0,0,0.0230648,0,0,0.0235337,0.0716839,0.0439232,0.017188,0.0313599,0.0582229,0.0367194,0.0374741,0.0515307,0.0754245,0.0629512,0.020376,0.0226332,0.010162,0.0261467,0.0597296,0.0324462,0.0104759,0.0138468,0.0586482,0.0491655,0,0,0,0,0,0,0,0,0,0
180,0.0304175,0.0619894,0,0,0,0.0412596,0,0.016911,0.048273,0,0,0,0.020701,0,0,0.0436316,0.0551761,0.0215896,0.0440842,0.0290411,0,0,0.0688405,0.0418242,0.0378442,0.064826,0.0589365,0.0209354,0.064051,0.06769,0.0368814,0.040951,0,0.00930225,0,0.0353833,0.0132478,0.0170555,0.0216392,0,0,0.0423633,0.0409181,0,0,0.0227054,0,0,0.0234994,0.0719154,0.0442305,0.0165795,0.0319012,0.0580178,0.0364933,0.0375417,0.0520972,0.0758051,0.0628411,0.0203837,0.0222839,0.0101404,0.0259914,0.0596408,0.0326271,0.0104247,0.0137784,0.0587509,0.0492912,0,0,0,0,0,0,0,0,0,0
181,0.030189,0.0622571,0,0,0,0.0423625,0,0.0170792,0.0496822,0,0,0,0.0207109,0,0,0.0436182,0.0548808,0.0215883,0.043926,0.0289137,0,0,0.0676981,0.0414152,0.0373732,0.0642906,0.058744,0.0212535,0.0641277,0.0678028,0.0370122,0.0408703,0,0.00989172,0,0.0351966,0.0134382,0.0167599,0.0217102,0,0.026516,0.0416316,0.0412484,0,0,0.0221939,0,0,0.0237581,0.0723463,0.0410906,0.0163019,0.0327587,0.0578622,0.0363416,0.0379615,0.0526724,0.0762627,0.0629664,0.0200795,0.0213416,0.00955434,0.0249308,0.0622704,0.0330451,0.0101854,0.0136304,0.0589326,0.0490739,0,0,0,0,0,0,0,0,0,0
182,0.0301105,0.0624204,0,0,0,0.0434698,0,0.0168918,0.0505551,0,0,0,0.0206053,0,0,0.043573,0.0550481,0.0211345,0.0438501,0.0289368,0,0,0.0668298,0.041202,0.0368199,0.0635011,0.0584125,0.021643,0.0643917,0.0681241,0.0373689,0.0412181,0,0.0106169,0,0.0352442,0.0135845,0.0163304,0.0211691,0,0.0266482,0.0411694,0.0411366,0,0,0.0221778,0,0,0.0238412,0.0728422,0.040246,0.0160918,0.0336605,0.0574917,0.0361723,0.0380797,0.053103,0.076549,0.0629413,0.0204945,0.0209323,0.00934992,0.0255763,0.0611527,0.0332443,0.010198,0.0135256,0.0589857,0.0491506,0,0,0,0,0,0,0,0,0,0
183,0.0299092,0.0625642,0,0,0,0.0441334,0,0.0173779,0.0520056,0,0,0,0.0201628,0,0,0.0437155,0.0548272,0.0209421,0.0440898,0.0285852,0,0,0.0660254,0.0407101,0.0363268,0.062585,0.058283,0.0220259,0.0642893,0.0682313,0.0376155,0.0412237,0,0.0110582,0,0.0351145,0.0131447,0.016938,0.0211547,0,0.026462,0.0405872,0.0412396,0,0,0.0220635,0,0,0.0239969,0.0737643,0.0389909,0.0160747,0.0340071,0.0572177,0.0360785,0.0383475,0.053537,0.0768118,0.063063,0.0208445,0.0204698,0.00912672,0.0261056,0.0601676,0.0334186,0.0100699,0.0134868,0.0590376,0.0490194,0,0,0,0,0,0,0,0,0,0
