Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75
635,0.0180172,0.0103116,0,0,0,0,0,0,0.0204406,0.0163832,0.0105465,0.00375731,0,0,0.0393371,0,0.0149568,0.0261791,0.0363269,0.0191887,0.016462,0.0107138,0.0296175,0.0207715,0.00392903,0.00544015,0.00485208,0.0106817,0.0123313,0.0124572,0.00398673,0.0198479,0.0286682,0.0275704,0.0129149,0.00410662,0.00758448,0.0109244,0.00816239,0.0118022,0.0194355,0,0,0.0163095,0,0.00561391,0.0115273,0.0514139,0.00801564,0.0120956,0.0146188,0.0273257,0.00848644,0.00895366,0.0416406,0.0183861,0.0127371,0.00764989,0.021255,0.00440113,0.00540153,0.00583067,0.0118757,0.00286148,0.00484989,0.0186062,0.0176855,0,0,0,0,0,0,0,0,0
636,0.0166881,0.0154229,0,0,0,0,0,0,0.0204546,0.0154451,0.0104655,0.00363828,0,0,0.00798159,0,0.0156542,0.00415123,0.0362286,0.0190278,0.0164377,0.010701,0.0302147,0.0243441,0.00392018,0.00629517,0.00489127,0.0106505,0.0122156,0.0124428,0.00394869,0.0198122,0.0287012,0.00701964,0.0123919,0.00643381,0.00773345,0.0105093,0.00820008,0.0118822,0.0175934,0,0,0.0144957,0,0.00569487,0.0105677,0.0515877,0.00799923,0.0119478,0.0147311,0.0279698,0.00763193,0.00893923,0.0416461,0.0183375,0.0127454,0.0077907,0.0212553,0.0044061,0.00549129,0.00596164,0.0107783,0.00245023,0.00457301,0.0222664,0.0163488,0,0,0,0,0,0,0,0,0
637,0.0162619,0.0168152,0,0,0,0,0,0,0.0203521,0.0146066,0.0103652,0.00380855,0,0,0.0157914,0,0.0159623,0.0127694,0.0361992,0.0190049,0.016446,0.0108379,0.0301828,0.0219481,0.00392628,0.00655378,0.00489655,0.0106727,0.0120714,0.012294,0.00392016,0.0197881,0.0285753,0.0127637,0.0127285,0.00876226,0.00779707,0.0104457,0.00819952,0.0121184,0.0170195,0,0,0.0138034,0,0.00575966,0.0102496,0.0515666,0.00801323,0.0119919,0.0147498,0.0279189,0.00796055,0.00888619,0.0416737,0.0182785,0.0126985,0.00782329,0.0212661,0.00444195,0.00550537,0.00611757,0.0107281,0.00258405,0.00447535,0.0236434,0.0159675,0,0,0,0,0,0,0,0,0
638,0.0161861,0.016806,0,0,0,0,0,0,0.0201639,0.0146582,0.010222,0.00393787,0,0,0.0172742,0,0.0155742,0.013551,0.0361931,0.0192675,0.0164386,0.0109752,0.0301283,0.0215483,0.00390842,0.00619333,0.00490112,0.0106815,0.0121297,0.0120151,0.00391839,0.0197737,0.0284439,0.0137418,0.0125311,0.0088723,0.00786223,0.0104568,0.00826064,0.0123153,0.0169818,0,0,0.0134738,0,0.00585463,0.0100362,0.0515424,0.00811209,0.0120177,0.0147777,0.0278909,0.00803201,0.00884454,0.0417209,0.0182714,0.0127082,0.007798,0.0212509,0.00443698,0.00548753,0.00620166,0.0108793,0.00329528,0.00453874,0.0238841,0.0158929,0,0,0,0,0,0,0,0,0
639,0.0161372,0.0167127,0,0,0,0,0,0,0.0198907,0.0147705,0.0100503,0.0039906,0,0,0.0182127,0,0.0152939,0.014048,0.0361866,0.0192233,0.0163017,0.0110899,0.0299438,0.0211933,0.00386962,0.00622471,0.00490889,0.0106876,0.0121475,0.0118703,0.00392336,0.0197319,0.0283373,0.0144697,0.0124596,0.00915264,0.00790731,0.0104109,0.00833111,0.0124972,0.0169712,0,0,0.0133766,0,0.00590866,0.00988157,0.0515425,0.00819871,0.0119929,0.0148128,0.0277561,0.00817081,0.00883967,0.0417846,0.0183179,0.0127344,0.00774921,0.0212451,0.00437409,0.00547343,0.00612671,0.0111586,0.00347103,0.00466641,0.0240792,0.0158407,0,0,0,0,0,0,0,0,0
640,0.0160231,0.0166425,0,0,0,0,0,0,0.0197402,0.0149772,0.00998959,0.00399009,0,0,0.0187425,0,0.0151835,0.014549,0.0361587,0.0186218,0.0160124,0.0112441,0.0296479,0.0210899,0.00384826,0.00671131,0.00493093,0.0106807,0.0120895,0.0117712,0.00393405,0.0196684,0.0281857,0.0149907,0.0125328,0.00967386,0.00778977,0.0103421,0.00822018,0.0126473,0.0168441,0,0,0.0135427,0,0.00594878,0.00993733,0.051606,0.00801511,0.0119086,0.0148144,0.0275291,0.00840376,0.00885451,0.0417317,0.0183319,0.0127166,0.00778558,0.0213134,0.00435803,0.00548021,0.00599398,0.0114686,0.00333281,0.0049271,0.0243292,0.0157603,0,0,0,0,0,0,0,0,0
641,0.0159175,0.0166061,0,0,0,0,0,0,0.0196608,0.0152706,0.0098855,0.00408145,0,0,0.0189889,0,0.0150208,0.0150412,0.0361653,0.0178591,0.0159976,0.0113008,0.0294402,0.021057,0.00384463,0.00690678,0.00493277,0.0107272,0.0120577,0.0117204,0.00396706,0.0196209,0.0278538,0.0151612,0.0125539,0.0101007,0.00767502,0.0103088,0.00810217,0.0127341,0.0166771,0,0,0.0137068,0,0.00606958,0.0100249,0.0516303,0.00785521,0.0118698,0.0147673,0.0273133,0.00856259,0.00880473,0.0416477,0.0182751,0.0126516,0.00777604,0.0213492,0.00435891,0.00546973,0.00590859,0.0117551,0.0033834,0.00504997,0.0245709,0.0157106,0,0,0,0,0,0,0,0,0
642,0.0158873,0.0166411,0,0,0,0,0,0,0.0193323,0.0157157,0.00964623,0.00426597,0,0,0.0189186,0,0.0147196,0.0151986,0.0362495,0.017419,0.0162749,0.0112438,0.029333,0.0211073,0.00384959,0.00678393,0.00488108,0.0108493,0.0120708,0.0116724,0.00400252,0.0195939,0.0272586,0.0149377,0.0124983,0.0102885,0.00759477,0.0103816,0.00801817,0.0127307,0.0165683,0,0,0.0136839,0,0.00630531,0.0100209,0.0516082,0.00779168,0.0119,0.0147172,0.0272107,0.0085733,0.00868875,0.0415947,0.018167,0.0125557,0.00773852,0.0213556,0.00437262,0.0054537,0.00584307,0.0119301,0.00325798,0.00504344,0.0247491,0.0156729,0,0,0,0,0,0,0,0,0
643,0.0158839,0.016751,0,0,0,0,0,0,0.0189938,0.0162383,0.00949574,0.00437432,0,0,0.0185826,0,0.0142111,0.0148075,0.0363157,0.0174195,0.0164047,0.0111271,0.0292993,0.021241,0.00385683,0.00647404,0.00485322,0.010915,0.011976,0.0116426,0.00395234,0.0195584,0.0267294,0.0144186,0.0123416,0.0100768,0.00755431,0.0105909,0.00797177,0.0126924,0.016524,0,0,0.01359,0,0.0065959,0.0100339,0.0516466,0.00776354,0.0118883,0.0146516,0.0271936,0.008579,0.00863,0.0415445,0.0180544,0.0124977,0.00773677,0.0213472,0.00437518,0.00544987,0.00584814,0.0119829,0.00241264,0.00495549,0.0248653,0.0156347,0,0,0,0,0,0,0,0,0
644,0.015889,0.0170099,0,0,0,0,0,0,0.0187556,0.0167078,0.00947305,0.00442812,0,0,0.018023,0,0.0137514,0.0139634,0.036335,0.0176015,0.0163752,0.0110498,0.0293008,0.0214705,0.00386843,0.00599123,0.00488918,0.0108749,0.0117927,0.0116993,0.00385748,0.0195365,0.0263299,0.0136999,0.0122593,0.00914824,0.00755739,0.0108817,0.00794105,0.0127212,0.0165143,0,0,0.0134628,0,0.00688025,0.0101323,0.0517377,0.00770937,0.0118244,0.0145903,0.0272062,0.00856135,0.00863761,0.0414784,0.0179674,0.0125133,0.00777537,0.0213474,0.00437078,0.00544379,0.00595244,0.0118132,0.00250669,0.00480936,0.0249426,0.0155951,0,0,0,0,0,0,0,0,0
