Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75
All Timesteps RMSE,0.0242963,0.0205729,0,0,0,0,0,0,0.0241637,0.0158549,0.0144632,0.0110676,0,0,0.0272232,0,0.0213679,0.0175156,0.0362928,0.0261248,0.0166044,0.00956438,0.0168207,0.0205617,0.00612547,0.00816929,0.00562073,0.0115142,0.0140406,0.0146631,0.00725343,0.0198293,0.0291369,0.0196644,0.0141255,0.00566661,0.00836803,0.00822552,0.00895342,0.0154915,0.0232168,0,0,0.0107152,0,0.00910255,0.00746035,0.0570777,0.0100416,0.0196226,0.0116397,0.0158462,0.0151484,0.0076783,0.0369364,0.0150688,0.0106901,0.00706396,0.0239523,0.00649544,0.00759937,0.00850685,0.00999316,0.0118374,0.00802897,0.0208308,0.0213093,0,0,0,0,0,0,0,0,0
0,0.0325073,0.017317,0,0,0,0,0,0,0.0197799,0.0145447,0.0126534,0.00338163,0,0,0.0217424,0,0.0185627,0.0150148,0.0351757,0.0227493,0.0179155,0.015015,0.0308609,0.0276055,0.00986694,0.0136431,0.00764094,0.0158145,0.0128913,0.0129961,0.00390885,0.0209655,0.0212996,0.0204974,0.0141291,0.00516705,0.00836374,0.00846747,0.0109161,0.0092929,0.00718124,0,0,0.0103541,0,0.0111772,0.00549988,0.0670275,0.0109256,0.0250057,0.012515,0.0277093,0.0166938,0.0106087,0.0314134,0.0179306,0.0135085,0.0094456,0.0260882,0.0087247,0.0090359,0.00486418,0.00612899,0.00774109,0.00206796,0.0218393,0.00561363,0,0,0,0,0,0,0,0,0
1,0.0323952,0.0170318,0,0,0,0,0,0,0.0195162,0.0147245,0.0126546,0.00343141,0,0,0.021473,0,0.0183668,0.014809,0.0351722,0.0229595,0.017434,0.0147908,0.0306439,0.0271965,0.00984295,0.0136423,0.00771442,0.0158817,0.0127026,0.0127966,0.00383095,0.0209069,0.0211625,0.0200328,0.0140702,0.00504269,0.00825795,0.00859822,0.0105104,0.00901285,0.00713524,0,0,0.0106239,0,0.0110741,0.00557301,0.067133,0.0103847,0.0247101,0.012022,0.0275129,0.0165918,0.0102732,0.031163,0.0175502,0.0131167,0.0103293,0.0258812,0.00834349,0.00866275,0.00475113,0.00620016,0.00780622,0.00199456,0.0217021,0.00566443,0,0,0,0,0,0,0,0,0
2,0.0322554,0.016765,0,0,0,0,0,0,0.0194693,0.0148636,0.0126806,0.00325756,0,0,0.0211915,0,0.0181827,0.0145811,0.035172,0.0233015,0.0171957,0.0147505,0.0305067,0.0268231,0.00984511,0.0136436,0.0078407,0.0160217,0.0126388,0.0127046,0.00383175,0.0208858,0.0213085,0.0197752,0.0139801,0.00491315,0.00815986,0.0087121,0.0101156,0.00876459,0.00706416,0,0,0.0109869,0,0.0109591,0.00570617,0.0671733,0.00990591,0.0244792,0.0116575,0.0273316,0.016551,0.00994894,0.0309577,0.0172311,0.0128197,0.0103144,0.0257128,0.00798636,0.00828456,0.00485074,0.00630599,0.00790509,0.00192776,0.0216332,0.00569295,0,0,0,0,0,0,0,0,0
3,0.0320721,0.0165756,0,0,0,0,0,0,0.0196635,0.0149813,0.0128087,0.00300775,0,0,0.0209459,0,0.0179559,0.0144389,0.0351393,0.0233123,0.0169814,0.0148207,0.0304454,0.0263276,0.00987769,0.0137131,0.00798476,0.0162171,0.012631,0.0127122,0.00385396,0.0209183,0.021607,0.0196549,0.0138664,0.00477081,0.00813549,0.0088285,0.00967412,0.00858947,0.00697406,0,0,0.0112844,0,0.0108239,0.00578681,0.0671903,0.00926007,0.0242355,0.011347,0.0272665,0.0165652,0.00965702,0.0307275,0.0169309,0.0125841,0.00997941,0.025528,0.00753195,0.00785839,0.0048201,0.00638908,0.00809956,0.00187079,0.021263,0.00566951,0,0,0,0,0,0,0,0,0
4,0.0319401,0.0163797,0,0,0,0,0,0,0.0199306,0.015137,0.0129197,0.00273976,0,0,0.0206887,0,0.0176347,0.014334,0.0350927,0.0232913,0.0167769,0.0148497,0.0305425,0.0259269,0.00994832,0.013743,0.00811799,0.0164371,0.0126623,0.012761,0.00389658,0.0209593,0.0218927,0.0194869,0.0137214,0.00468027,0.00802354,0.00897647,0.00924937,0.00840535,0.00695394,0,0,0.0115029,0,0.0106815,0.00580189,0.0671938,0.00863159,0.0238788,0.0109883,0.0273526,0.0166463,0.00935111,0.0305392,0.0165425,0.0123142,0.00969641,0.0253319,0.00717231,0.00751308,0.00473275,0.00643879,0.00826084,0.00180708,0.0208974,0.00563693,0,0,0,0,0,0,0,0,0
5,0.0317447,0.0162153,0,0,0,0,0,0,0.0202866,0.0153356,0.0130154,0.00249983,0,0,0.0203856,0,0.0173587,0.0141673,0.0350012,0.0233796,0.0166847,0.0148733,0.0306992,0.0257766,0.00999156,0.0138638,0.00826681,0.01666,0.0127115,0.0128947,0.00400932,0.0210185,0.0222894,0.0192725,0.0135992,0.00453234,0.00784117,0.00910264,0.00887729,0.0080472,0.00683651,0,0,0.0117886,0,0.0105613,0.00585512,0.0671745,0.00823634,0.0237286,0.0105717,0.0273615,0.0167035,0.00909411,0.0304165,0.0161526,0.0120026,0.00955259,0.0251059,0.00698275,0.0072702,0.00461401,0.00653607,0.00831881,0.00178197,0.0206645,0.0056202,0,0,0,0,0,0,0,0,0
6,0.0314743,0.0160604,0,0,0,0,0,0,0.0206154,0.0155659,0.013131,0.0023185,0,0,0.0200284,0,0.0170724,0.0139554,0.0349192,0.0235785,0.0166343,0.0148863,0.0308305,0.0256948,0.0100142,0.0139647,0.00839218,0.0168496,0.0127352,0.0129528,0.00410524,0.0210234,0.0228372,0.0189465,0.0134784,0.00431203,0.00779466,0.00922126,0.008544,0.00760543,0.00663258,0,0,0.0120735,0,0.0104481,0.00596517,0.067194,0.00773561,0.0237002,0.010184,0.0273607,0.0167339,0.00890922,0.0302769,0.0158115,0.0116788,0.00935631,0.0249283,0.00676443,0.00681318,0.00470728,0.00666492,0.00829332,0.00177352,0.0204569,0.00555682,0,0,0,0,0,0,0,0,0
7,0.0312049,0.0159086,0,0,0,0,0,0,0.0209664,0.0158704,0.0133805,0.00216062,0,0,0.019652,0,0.0167175,0.0135034,0.0348777,0.0239123,0.0167075,0.0147428,0.0310531,0.0256076,0.0100233,0.0140101,0.00848504,0.017014,0.0127795,0.0129791,0.0041975,0.0210142,0.023411,0.0186208,0.0133246,0.00416994,0.00784141,0.00932731,0.00829831,0.00712964,0.0063979,0,0,0.0123018,0,0.0103078,0.00605045,0.0672383,0.00727843,0.0237186,0.00974631,0.0274282,0.0168066,0.00876942,0.0301491,0.0154892,0.011431,0.00909139,0.0248411,0.00653498,0.0064774,0.00493192,0.00677018,0.00846805,0.00173842,0.0203112,0.00546035,0,0,0,0,0,0,0,0,0
8,0.0310124,0.0157445,0,0,0,0,0,0,0.0212869,0.0161643,0.0137003,0.00206899,0,0,0.0190951,0,0.0162501,0.0129491,0.03485,0.0243992,0.0167862,0.0144815,0.0314023,0.0254016,0.00999297,0.0139843,0.00859349,0.0171272,0.0128582,0.0131355,0.00431845,0.021018,0.0239323,0.0182828,0.0131365,0.00408223,0.00761126,0.00944415,0.00824587,0.00669442,0.00619499,0,0,0.0124568,0,0.010146,0.00609163,0.0672476,0.00713442,0.0237872,0.00922664,0.0276277,0.0168908,0.00864037,0.0300647,0.0151242,0.0112429,0.00897849,0.0247538,0.00653141,0.0064487,0.00484107,0.00683205,0.0086149,0.00166526,0.0201565,0.00538982,0,0,0,0,0,0,0,0,0
