Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75
All Timesteps RMSE,0.0229735,0.0259348,0,0,0,0,0,0,0.0233405,0.0149079,0.0129977,0.0121407,0,0,0.023068,0,0.0224085,0.0142159,0.0363432,0.0212035,0.0157858,0.00883883,0.0191289,0.0262961,0.00447448,0.00596396,0.00445661,0.0117732,0.0124089,0.0135989,0.00690193,0.019394,0.029562,0.0184897,0.0149958,0.00590872,0.00964537,0.00958867,0.00844604,0.0140546,0.0225652,0,0,0.00985008,0,0.00701926,0.00635298,0.0578987,0.0101919,0.0168449,0.0116085,0.0180411,0.0101697,0.00783624,0.0338438,0.0145993,0.0102362,0.00709898,0.0238583,0.00622733,0.00720812,0.0110268,0.008881,0.00892359,0.00638943,0.0292143,0.0213092,0,0,0,0,0,0,0,0,0
0,0.0300376,0.034465,0,0,0,0,0,0,0.0231284,0.0109046,0.00959121,0.0044532,0,0,0.0323915,0,0.0217644,0.0238972,0.0371695,0.018732,0.0176811,0.012601,0.0390618,0.0258179,0.00452799,0.00616255,0.00685529,0.011118,0.0125222,0.0130434,0.00422456,0.0201703,0.0324897,0.0206517,0.0151534,0.010899,0.00983214,0.0106123,0.00957643,0.00609321,0.026982,0,0,0.010275,0,0.00510639,0.00525798,0.0519005,0.0105852,0.0118695,0.0150169,0.0368533,0.0150954,0.00943661,0.041151,0.0186438,0.0138797,0.00855331,0.0210428,0.00501486,0.00642403,0.00743346,0.0143776,0.00484811,0.0054415,0.0380481,0.0306482,0,0,0,0,0,0,0,0,0
1,0.0300027,0.034801,0,0,0,0,0,0,0.0228957,0.0110754,0.0093531,0.00448744,0,0,0.0316317,0,0.0210375,0.0235136,0.0372272,0.0188054,0.0176256,0.0126439,0.0390204,0.0261884,0.00451346,0.00625918,0.00686435,0.0110683,0.0123225,0.0128835,0.00412379,0.0201205,0.0323162,0.0202257,0.0148041,0.0112314,0.0099495,0.0106885,0.00961303,0.00631063,0.0267019,0,0,0.010203,0,0.00514092,0.00504862,0.0518937,0.0106047,0.0118186,0.0150936,0.0368871,0.0142119,0.00948149,0.041148,0.018694,0.0139184,0.0087156,0.0210603,0.00496052,0.00645493,0.0075287,0.0145038,0.00459484,0.00549938,0.0384962,0.0304948,0,0,0,0,0,0,0,0,0
2,0.0300514,0.0349783,0,0,0,0,0,0,0.0226078,0.011319,0.00910912,0.00449895,0,0,0.0308164,0,0.0205792,0.0230543,0.0372226,0.0184172,0.0175702,0.0126881,0.0390094,0.0260957,0.00444643,0.00625881,0.0068499,0.0110656,0.012112,0.0127736,0.00407428,0.0200604,0.0320279,0.0197456,0.0146054,0.0112357,0.0100944,0.0108039,0.00968204,0.00653308,0.0265877,0,0,0.0102761,0,0.00515089,0.00503502,0.0518873,0.0106726,0.0117783,0.0150587,0.0370152,0.0133006,0.00949212,0.0411649,0.0187363,0.0139773,0.00886414,0.0210613,0.00496035,0.00653412,0.00760677,0.0146031,0.00377631,0.00549388,0.0388067,0.0304145,0,0,0,0,0,0,0,0,0
3,0.0300322,0.0347699,0,0,0,0,0,0,0.0223074,0.0115664,0.00887475,0.00448264,0,0,0.0304719,0,0.020132,0.0229027,0.037124,0.0177181,0.0176053,0.0126065,0.0390418,0.0254385,0.00430821,0.0060945,0.00674691,0.0111296,0.0121218,0.0126455,0.00412669,0.020027,0.0316665,0.0196054,0.0144955,0.0113113,0.0101956,0.010961,0.00971015,0.00683272,0.0266199,0,0,0.0105187,0,0.00523981,0.00527977,0.0518754,0.0107737,0.0118114,0.0148692,0.0370857,0.0129409,0.00945975,0.0411701,0.0187195,0.0139744,0.00896263,0.0210355,0.00496275,0.00658847,0.00769096,0.0148328,0.00314093,0.00546669,0.0388422,0.0303615,0,0,0,0,0,0,0,0,0
4,0.028096,0.0337586,0,0,0,0,0,0,0.0222164,0.0137056,0.0087355,0.00477312,0,0,0.0298342,0,0.0190179,0.0222369,0.0373124,0.0176173,0.0176295,0.0126097,0.0384095,0.0255928,0.00444584,0.00622542,0.00683304,0.0112716,0.0122778,0.0125412,0.00414564,0.0199711,0.0315498,0.0199198,0.0135978,0.00982799,0.0101556,0.0107526,0.00964563,0.00677634,0.0253192,0,0,0.010014,0,0.00549584,0.00486216,0.0515893,0.010819,0.0118469,0.0146725,0.0363668,0.0142882,0.00944161,0.0412072,0.0186374,0.0138594,0.00904259,0.0210528,0.00503332,0.00661934,0.00771625,0.015463,0.00309347,0.00519498,0.0383984,0.0284341,0,0,0,0,0,0,0,0,0
5,0.0281184,0.0339727,0,0,0,0,0,0,0.0223585,0.0139003,0.00888373,0.00477337,0,0,0.0297146,0,0.0189688,0.0221967,0.0372647,0.0177444,0.017643,0.0123167,0.0384789,0.0259464,0.00445498,0.00624457,0.00684692,0.0113216,0.0122702,0.0125645,0.00411125,0.0199851,0.0317412,0.0198649,0.0136075,0.00967814,0.010174,0.0110536,0.00959291,0.00682814,0.0254054,0,0,0.0100588,0,0.00594696,0.00505072,0.0515835,0.010806,0.0117882,0.0146588,0.0364335,0.0140634,0.00941115,0.0411742,0.0185167,0.0137908,0.00911229,0.021025,0.00503629,0.0066342,0.00776362,0.0152506,0.00297432,0.00524002,0.038784,0.0283653,0,0,0,0,0,0,0,0,0
6,0.0280822,0.0340292,0,0,0,0,0,0,0.0226857,0.0141848,0.00906384,0.00461918,0,0,0.0290902,0,0.0187212,0.0217605,0.0371953,0.0178215,0.0175269,0.0122372,0.0384989,0.0260724,0.0044284,0.00606615,0.00681906,0.0113558,0.0122659,0.0127422,0.00412161,0.0199913,0.0319935,0.0195474,0.0135418,0.00933146,0.0101399,0.0113755,0.00951569,0.0068581,0.0254174,0,0,0.0101163,0,0.00646307,0.00544723,0.0516263,0.0107386,0.0116696,0.0146085,0.0365003,0.0139261,0.00936407,0.0411271,0.0184816,0.0136865,0.00913216,0.0210324,0.00504546,0.00662199,0.00769869,0.0148267,0.00295486,0.00544572,0.0390028,0.0281717,0,0,0,0,0,0,0,0,0
7,0.0280436,0.0342138,0,0,0,0,0,0,0.0229676,0.0144715,0.00911213,0.00420737,0,0,0.0282368,0,0.0184243,0.0212256,0.0370986,0.0176265,0.0171914,0.0124536,0.0384649,0.0261003,0.00433733,0.00580969,0.00673592,0.0112953,0.0122539,0.0128922,0.00418773,0.0199914,0.0321928,0.0190177,0.0134746,0.00884891,0.0100735,0.0116799,0.00938121,0.00697715,0.0253493,0,0,0.0101149,0,0.00689298,0.00598034,0.0517082,0.010614,0.0114561,0.0145205,0.0365349,0.0135979,0.00933194,0.0411164,0.0184262,0.0135912,0.00907749,0.0210587,0.00505022,0.00661877,0.00762573,0.0141908,0.00353859,0.00545028,0.039192,0.0280273,0,0,0,0,0,0,0,0,0
8,0.0280402,0.0344365,0,0,0,0,0,0,0.0230479,0.0147273,0.00904571,0.004061,0,0,0.027382,0,0.0182444,0.020612,0.037035,0.0173074,0.0171208,0.0125583,0.0384474,0.0260678,0.00423749,0.00587454,0.00662309,0.0112924,0.0122737,0.0129189,0.00423773,0.0199889,0.032181,0.0183909,0.013447,0.00833061,0.00999979,0.0119887,0.00923615,0.00708806,0.025259,0,0,0.0101338,0,0.00727892,0.00649837,0.0516968,0.0105198,0.011297,0.0144008,0.0365444,0.0132285,0.00927375,0.0411554,0.0181312,0.0134622,0.00902936,0.0210825,0.00509393,0.0066028,0.00759257,0.0135281,0.00472245,0.00521534,0.0392554,0.0279709,0,0,0,0,0,0,0,0,0
