Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBI,x71,
All Timesteps RMSE,0,0,0,0,0.055828,0.0555957,0,0,0,0.0311457,0,0.0186651,0.0520691,0,0,0.0212678,0,0,0.0391667,0.0618388,0.0380988,0.0337807,0.0243005,0.0690054,0.0449004,0.0523818,0.071679,0.052377,0.0179696,0.0576503,0.0589648,0.0310077,0.0392603,0.0403649,0.0360156,0.0143961,0.0148816,0.0221677,0,0.0232405,0.0589155,0.0320238,0,0,0.0223739,0,0,0.0241355,0.0746673,0.0330219,0.0244726,0.0257203,0.06032,0.0386183,0.0684826,0.088752,0.0596174,0.0241531,0.116985,0.0288288,0.0275551,0.0400714,0.0364976,0.00699244,0.0152223,0.0521624,0.0633711,0,0,0,0.0139603,0,0
0,0,0,0,0,0.0536711,0.0564616,0,0,0,0.0318897,0,0.0239219,0.0581829,0,0,0.02024,0,0,0.0409041,0.0571537,0.0374742,0.0370894,0.0248453,0.0673026,0.0451733,0.0501052,0.0660272,0.0504124,0.0233204,0.0552034,0.0581969,0.030618,0.0332359,0.0185237,0.0355153,0.0150056,0.0145082,0.023555,0,0.0229182,0.0576863,0.0343861,0,0,0.0196006,0,0,0.0278516,0.0750972,0.02186,0.0200717,0.0221634,0.0566776,0.0466721,0.0653227,0.0829861,0.0561533,0.02877,0.0248308,0.0280003,0.0346748,0.0245465,0.0332432,0.00856636,0.0223614,0.0517829,0.0565668,0,0,0,0,0,0
1,0,0,0,0,0.0538646,0.0562216,0,0,0,0.0312515,0,0.0240053,0.0580515,0,0,0.0204613,0,0,0.0406511,0.0573399,0.0369623,0.0370876,0.0252903,0.0674534,0.0452353,0.0502053,0.0658803,0.050248,0.0231958,0.0547854,0.057991,0.0305794,0.0330427,0.0184569,0.0355147,0.0150317,0.0147744,0.0235214,0,0.0229305,0.057537,0.0344041,0,0,0.0196811,0,0,0.0276979,0.0751714,0.0218027,0.0197684,0.022227,0.0569864,0.0464376,0.0651787,0.0829487,0.0561913,0.0288306,0.0245165,0.0279119,0.0347549,0.0245089,0.0332825,0.0087106,0.0222788,0.0514589,0.0569458,0,0,0,0,0,0
2,0,0,0,0,0.0539658,0.056068,0,0,0,0.0307953,0,0.0241877,0.0579202,0,0,0.0206058,0,0,0.0405224,0.0575219,0.0365245,0.0370779,0.0258686,0.0675591,0.0452905,0.0504751,0.0658491,0.0500019,0.0231954,0.0545286,0.0576883,0.0304351,0.0326422,0.0183318,0.0355151,0.0151111,0.0148887,0.0235426,0,0.022842,0.0573634,0.0344144,0,0,0.0196694,0,0,0.0275776,0.0751186,0.0217901,0.0196273,0.0222388,0.057313,0.0461608,0.0651813,0.0829984,0.0562042,0.028939,0.0244047,0.0280154,0.0347846,0.0244734,0.0333676,0.0087369,0.0221386,0.0512235,0.0572593,0,0,0,0,0,0
3,0,0,0,0,0.0540006,0.0559565,0,0,0,0.0303208,0,0.024343,0.0577751,0,0,0.0207077,0,0,0.0404125,0.0577421,0.0360674,0.0370666,0.0266209,0.0676572,0.0454241,0.0509057,0.0658443,0.0497048,0.023327,0.054174,0.0573638,0.0302463,0.0321473,0.018341,0.0355705,0.0151384,0.0150033,0.023612,0,0.0227054,0.0572346,0.0343474,0,0,0.0196737,0,0,0.0274515,0.0750076,0.0217949,0.0195271,0.0221749,0.057612,0.0458663,0.0652649,0.0830872,0.0561693,0.0290264,0.0243808,0.0283581,0.034678,0.0243944,0.0334653,0.00871426,0.0219536,0.0510293,0.0575819,0,0,0,0,0,0
4,0,0,0,0,0.0543232,0.0555552,0,0,0,0.0339917,0,0.022302,0.0573336,0,0,0.0212441,0,0,0.0399019,0.0580947,0.0393225,0.0369827,0.029586,0.0680163,0.0454712,0.0523872,0.0657885,0.0487648,0.0239147,0.0522059,0.0571744,0.0285911,0.0275319,0.0221312,0.0354613,0.0154841,0.0154085,0.0234624,0,0.0227758,0.0569455,0.0345457,0,0,0.0197874,0,0,0.0271942,0.075064,0.0216887,0.0194008,0.022297,0.0583478,0.045558,0.0652139,0.0831012,0.0561976,0.0292905,0.0245928,0.0282908,0.0347937,0.0245034,0.0336244,0.00887837,0.0217384,0.0504872,0.058067,0,0,0,0,0,0
5,0,0,0,0,0.0544301,0.0554715,0,0,0,0.0310326,0,0.0234957,0.0571732,0,0,0.0212757,0,0,0.0398789,0.0581098,0.0363965,0.0369667,0.0294789,0.0680774,0.0456391,0.0524067,0.0658799,0.0487324,0.0237855,0.0524872,0.0567223,0.0291447,0.0292796,0.0195714,0.0354992,0.0154324,0.0154691,0.0236131,0,0.0235637,0.0568523,0.0344436,0,0,0.0198634,0,0,0.027049,0.0749533,0.0217391,0.0193509,0.0221825,0.0585361,0.0451936,0.0653373,0.083249,0.0561586,0.0295059,0.0244311,0.0284729,0.0346356,0.0244088,0.033722,0.00876224,0.0214788,0.0503549,0.0583697,0,0,0,0,0,0
6,0,0,0,0,0.0545158,0.0554074,0,0,0,0.028925,0,0.0252134,0.0569925,0,0,0.02132,0,0,0.0398502,0.0580418,0.0341508,0.0369638,0.0293833,0.06813,0.0458457,0.0524417,0.0659995,0.048727,0.023709,0.0528008,0.0563776,0.0298078,0.0308653,0.0182396,0.035555,0.0153832,0.0155156,0.0234591,0,0.024001,0.0568047,0.0343532,0,0,0.0199295,0,0,0.0268666,0.0748781,0.0218551,0.019294,0.0220104,0.0587046,0.0448431,0.0654238,0.0833204,0.0561111,0.0297283,0.0242894,0.0286427,0.0344585,0.0246299,0.0338079,0.00858498,0.0211995,0.0502519,0.0586936,0,0,0,0,0,0
7,0,0,0,0,0.0545933,0.0553592,0,0,0,0.0295198,0,0.0248918,0.0567184,0,0,0.0213605,0,0,0.0398179,0.0578421,0.0335464,0.0369199,0.0286833,0.0682319,0.0461136,0.0525707,0.0663997,0.048805,0.0238236,0.0530341,0.056551,0.0298831,0.031037,0.0175316,0.0356104,0.0153726,0.0155547,0.0232476,0,0.0239525,0.0567006,0.0343305,0,0,0.0199395,0,0,0.0267152,0.0747673,0.0219184,0.0192638,0.0218781,0.0588583,0.044418,0.0655255,0.0834167,0.0560886,0.029931,0.0242555,0.0288068,0.0343156,0.0248562,0.0339658,0.00846128,0.0208896,0.0501851,0.0590215,0,0,0,0,0,0
8,0,0,0,0,0.0548522,0.0549436,0,0,0,0.0403907,0,0.0221537,0.0555417,0,0,0.0215764,0,0,0.03975,0.0573258,0.0298939,0.0361121,0.0218887,0.0685817,0.0464559,0.0521338,0.0696675,0.049793,0.0241293,0.0544359,0.0578658,0.0298768,0.0340711,0.00937696,0.0357287,0.0154621,0.0153573,0.0226693,0,0.0231008,0.0564519,0.0341428,0,0,0.0199921,0,0,0.0266713,0.0742464,0.0222048,0.0195474,0.0216148,0.0590342,0.0439342,0.0659639,0.0835257,0.0556392,0.0299883,0.024516,0.0291511,0.0342786,0.0257775,0.0340535,0.00819789,0.0206382,0.0498517,0.059532,0,0,0,0,0,0
9,0,0,0,0,0.0547915,0.0553192,0,0,0,0.0389781,0,0.0215853,0.0551826,0,0,0.0215717,0,0,0.0397934,0.0573993,0.0288529,0.0357067,0.0215461,0.0683675,0.0468251,0.0520235,0.0698295,0.0499001,0.0241204,0.0546071,0.0580304,0.0302763,0.0347721,0.00938943,0.0356677,0.0153857,0.0156108,0.0222426,0,0.0239054,0.0564375,0.0341456,0,0,0.0199223,0,0,0.0263333,0.0741504,0.022112,0.0195513,0.0215929,0.0590839,0.043651,0.0658475,0.0837049,0.0558466,0.029911,0.024143,0.0291683,0.0341129,0.026141,0.034314,0.00817127,0.020353,0.0501093,0.0598331,0,0,0,0,0,0
10,0,0,0,0,0.0549122,0.055316,0,0,0,0.0388458,0,0.0210919,0.0547803,0,0,0.0215932,0,0,0.0397821,0.0573555,0.0285246,0.0354133,0.0210182,0.0683336,0.0470328,0.0522217,0.0704203,0.0500673,0.0239819,0.0545341,0.0579709,0.0301521,0.0348243,0.00951368,0.0357124,0.0153104,0.0157054,0.0220504,0,0.0242269,0.0563715,0.0341035,0,0,0.0199877,0,0,0.0261456,0.0740193,0.0222229,0.0195804,0.0214224,0.0592521,0.0433691,0.065955,0.0838171,0.0557617,0.0299104,0.024089,0.0295583,0.0340353,0.0264873,0.0344232,0.0080854,0.0200606,0.0500681,0.0602577,0,0,0,0,0,0
11,0,0,0,0,0.0550439,0.0553158,0,0,0,0.0386474,0,0.0205472,0.054369,0,0,0.0216023,0,0,0.0397662,0.0573224,0.0282366,0.035128,0.0205275,0.068293,0.0472022,0.0524267,0.0710575,0.0502657,0.0237948,0.0547094,0.0579346,0.030054,0.0348664,0.00973626,0.0357593,0.0152416,0.0157916,0.0217487,0,0.0242881,0.0563314,0.0340892,0,0,0.0200337,0,0,0.025995,0.0739826,0.0223525,0.0195991,0.0212208,0.0593756,0.043098,0.0660793,0.0839348,0.0556578,0.0297961,0.023995,0.0297186,0.0338782,0.026889,0.034521,0.00801489,0.0197713,0.0500388,0.0606538,0,0,0,0,0,0
12,0,0,0,0,0.0551686,0.0553043,0,0,0,0.0382414,0,0.0199764,0.0539068,0,0,0.0216127,0,0,0.0397458,0.0573167,0.0280544,0.0348568,0.0201196,0.0682775,0.0473517,0.0526154,0.0716637,0.0504655,0.0233845,0.0547916,0.0579453,0.0299431,0.0349129,0.0101161,0.0358055,0.0151696,0.0158794,0.0213226,0,0.0241124,0.0562862,0.0340623,0,0,0.0200826,0,0,0.0257882,0.0739786,0.0224757,0.0195898,0.0210412,0.0594923,0.0428389,0.0662083,0.0840533,0.055532,0.0296132,0.0237625,0.0296943,0.0336817,0.027425,0.0346997,0.00792078,0.0195057,0.0499581,0.0611158,0,0,0,0,0,0
13,0,0,0,0,0.0552865,0.0552374,0,0,0,0.0376711,0,0.0194488,0.0533753,0,0,0.0216569,0,0,0.0396769,0.057364,0.0279951,0.0345703,0.0197744,0.0682952,0.047454,0.0528402,0.0722358,0.0506257,0.0229274,0.0548304,0.0579853,0.0298341,0.0349595,0.0106641,0.0358279,0.0150749,0.0159481,0.0208932,0,0.0239143,0.0562243,0.033969,0,0,0.0201262,0,0,0.0256278,0.0745098,0.0226012,0.0196764,0.0208982,0.0596065,0.0426058,0.0663857,0.0841904,0.0553724,0.0293951,0.023422,0.0297816,0.033549,0.027936,0.0348414,0.00791619,0.0192551,0.049839,0.0615657,0,0,0,0,0,0
14,0,0,0,0,0.0553774,0.0551089,0,0,0,0.0369824,0,0.0189953,0.0528251,0,0,0.0217038,0,0,0.0396719,0.0574573,0.0280705,0.0342765,0.019573,0.0683594,0.0475614,0.0531326,0.0727998,0.0507359,0.0225907,0.0548236,0.0579941,0.0297238,0.0350027,0.0114083,0.0358466,0.015067,0.0159568,0.0206202,0,0.0237803,0.0561987,0.0337998,0,0,0.0202014,0,0,0.025465,0.0758501,0.0227454,0.0198904,0.0207161,0.0597395,0.0424118,0.066703,0.0844219,0.055142,0.0292184,0.0232264,0.0298477,0.0334832,0.0282088,0.0350644,0.0079302,0.0190358,0.0496742,0.0619737,0,0,0,0,0,0
15,0,0,0,0,0.0554373,0.0549881,0,0,0,0.0363027,0,0.0186132,0.0523683,0,0,0.0217282,0,0,0.03968,0.0575774,0.0281936,0.0340771,0.0195032,0.0685556,0.047741,0.0534196,0.0732773,0.0508332,0.022344,0.0547695,0.0579818,0.0296388,0.0350268,0.0121989,0.0358734,0.0150454,0.0160201,0.0202895,0,0.0237514,0.0561474,0.0337675,0,0,0.0202355,0,0,0.0253346,0.0765285,0.0227934,0.0199026,0.020662,0.0599074,0.0422026,0.0668855,0.0845598,0.0549958,0.0291617,0.0230475,0.0298761,0.0333875,0.0286546,0.0352571,0.00792563,0.0188021,0.0494571,0.0624274,0,0,0,0,0,0
16,0,0,0,0,0.0555213,0.0548718,0,0,0,0.035613,0,0.0182808,0.0520059,0,0,0.0217406,0,0,0.0396635,0.0576531,0.0283388,0.0339656,0.0194393,0.0687506,0.0479735,0.0536213,0.0736752,0.0509349,0.0220066,0.0547179,0.0579407,0.0295415,0.0350372,0.0130032,0.0358962,0.0149825,0.0161172,0.0198279,0,0.0237734,0.0561215,0.0337289,0,0,0.0202545,0,0,0.0252242,0.0766984,0.0228614,0.0197358,0.0207956,0.0600337,0.0420329,0.0668957,0.0846415,0.0550236,0.029312,0.0229097,0.0297778,0.0331738,0.0293742,0.0353875,0.00792226,0.0185942,0.0492579,0.0629142,0,0,0,0,0,0
17,0,0,0,0,0.0556463,0.0547179,0,0,0,0.0349498,0,0.0180012,0.0516527,0,0,0.0217518,0,0,0.03961,0.0576866,0.0284673,0.0338253,0.0194166,0.068947,0.048102,0.0537363,0.074034,0.0510187,0.021611,0.0546615,0.0578934,0.0294436,0.0350385,0.0137847,0.0359016,0.0148784,0.0162146,0.0193945,0,0.0237909,0.0560792,0.0336633,0,0,0.0202608,0,0,0.0251409,0.0767142,0.0228598,0.0196159,0.0207907,0.060189,0.041863,0.0669743,0.0847177,0.0549449,0.0294534,0.0227254,0.0297594,0.0329263,0.0299541,0.0354958,0.00792031,0.0183869,0.0490543,0.0633701,0,0,0,0,0,0
18,0,0,0,0,0.0557458,0.0545595,0,0,0,0.0342812,0,0.0177728,0.0513254,0,0,0.0217502,0,0,0.0395224,0.0577091,0.0285956,0.0336593,0.0194552,0.0691117,0.0481789,0.0539754,0.0743212,0.0511073,0.0212131,0.0545784,0.0578648,0.0293339,0.0350351,0.0145951,0.0359143,0.0147765,0.0162968,0.0189873,0,0.0237977,0.0560493,0.0336049,0,0,0.020229,0,0,0.0250697,0.0767743,0.0228245,0.0194952,0.0207274,0.060352,0.0416968,0.0671137,0.084808,0.0548159,0.0294434,0.0225814,0.0297704,0.0328044,0.0304639,0.0355914,0.0078951,0.01819,0.0488362,0.0637786,0,0,0,0,0,0
19,0,0,0,0,0.0558629,0.0543948,0,0,0,0.0336012,0,0.0175777,0.0510096,0,0,0.0217542,0,0,0.0394921,0.0577635,0.0287743,0.0334789,0.0195181,0.0692532,0.0482831,0.0545599,0.0745682,0.0512276,0.0208499,0.0544267,0.057858,0.029229,0.035055,0.015504,0.0359377,0.0147776,0.0162882,0.0186209,0,0.0238684,0.0560607,0.0335569,0,0,0.0201936,0,0,0.024961,0.0769088,0.0227571,0.0193457,0.0207117,0.0605117,0.041534,0.0673044,0.0849383,0.0547035,0.0294106,0.0224587,0.0297658,0.0327883,0.0309419,0.0357445,0.00786829,0.0180111,0.0486029,0.0641972,0,0,0,0,0,0
20,0,0,0,0,0.056025,0.0542058,0,0,0,0.0329931,0,0.0173833,0.0506637,0,0,0.0217698,0,0,0.039504,0.0578628,0.0289899,0.0332687,0.0196015,0.0693933,0.0483819,0.0548377,0.0748435,0.0513675,0.0205718,0.0542999,0.057863,0.0291019,0.0350551,0.0164084,0.0359739,0.0148271,0.0162434,0.0183088,0,0.0238378,0.0560334,0.0335069,0,0,0.0202307,0,0,0.0248714,0.077382,0.022662,0.0193768,0.0207249,0.0606593,0.0413768,0.0675428,0.0850674,0.0545417,0.0293979,0.0223819,0.029717,0.0326956,0.0313406,0.0359704,0.00787138,0.0178212,0.0484058,0.0646461,0,0,0,0,0,0
21,0,0,0,0,0.0561748,0.0540252,0,0,0,0.0322687,0,0.0172789,0.0503668,0,0,0.0217649,0,0,0.0394854,0.058022,0.0292811,0.0330931,0.0196711,0.0694935,0.0484217,0.0549742,0.0751151,0.0515176,0.0203739,0.0542646,0.0578371,0.0289897,0.0350547,0.0174116,0.0360118,0.0148079,0.0162456,0.0180364,0,0.0237444,0.055977,0.0334525,0,0,0.0202204,0,0,0.0247745,0.0783065,0.0226272,0.019358,0.0207436,0.0607973,0.0412584,0.0679149,0.0851751,0.0543462,0.0293577,0.0222774,0.0296071,0.0324793,0.0316608,0.0361492,0.00788355,0.0176249,0.0482615,0.0650624,0,0,0,0,0,0
22,0,0,0,0,0.0563044,0.0538951,0,0,0,0.0315632,0,0.0171472,0.0501404,0,0,0.0217684,0,0,0.0395323,0.0582279,0.0295694,0.0328709,0.0197485,0.06954,0.0484067,0.055112,0.0753174,0.0516396,0.0201938,0.0542065,0.0578063,0.0288882,0.0350966,0.0184491,0.0360709,0.0148573,0.0162199,0.0177058,0,0.0237219,0.0558653,0.0333832,0,0,0.0201898,0,0,0.0246777,0.0787116,0.0226206,0.0193629,0.0208551,0.060931,0.0411455,0.0683395,0.08519,0.0541597,0.029189,0.022116,0.0294257,0.0322998,0.0320854,0.0362924,0.00789297,0.017417,0.0481385,0.0654401,0,0,0,0,0,0
23,0,0,0,0,0.0564542,0.0537424,0,0,0,0.0309786,0,0.0169832,0.0498927,0,0,0.0217299,0,0,0.0395626,0.0584862,0.0298976,0.0326459,0.0198949,0.0695811,0.0484159,0.0552463,0.0755316,0.0517354,0.0199948,0.0542762,0.0577004,0.0287994,0.0351922,0.0194995,0.0361126,0.0148356,0.0162399,0.0172264,0,0.0235734,0.0558142,0.0333104,0,0,0.0201578,0,0,0.0246727,0.078722,0.0226053,0.0191834,0.0210115,0.0610581,0.0409986,0.0685042,0.085204,0.0539917,0.029239,0.0219558,0.0293608,0.0320591,0.0327566,0.0364389,0.00785286,0.0172937,0.0479725,0.0657722,0,0,0,0,0,0
24,0,0,0,0,0.0565884,0.0536226,0,0,0,0.030288,0,0.0168893,0.0496747,0,0,0.0217051,0,0,0.0395688,0.0587403,0.030227,0.0325406,0.0200309,0.0695846,0.0484522,0.0553638,0.0756979,0.0518232,0.0198097,0.0543169,0.0576106,0.0287833,0.0352327,0.02061,0.0361249,0.0148421,0.0162457,0.0165993,0,0.0233096,0.0558507,0.0332148,0,0,0.0202018,0,0,0.0245863,0.0787061,0.0226312,0.0186547,0.0211137,0.0611191,0.0408876,0.0685923,0.0852611,0.0538856,0.0292716,0.0219006,0.029503,0.0318489,0.0336779,0.0366065,0.00783172,0.0171469,0.047835,0.0660733,0,0,0,0,0,0
25,0,0,0,0,0.0567376,0.0535136,0,0,0,0.0296167,0,0.016819,0.0494336,0,0,0.0216929,0,0,0.0395432,0.058996,0.0305422,0.0325021,0.0201383,0.069543,0.0484845,0.0554809,0.0759119,0.0519162,0.0196005,0.0542502,0.0575484,0.028742,0.0353043,0.0217454,0.0361168,0.0148206,0.0162568,0.0161808,0,0.0234691,0.0559126,0.0331235,0,0,0.0202322,0,0,0.0245131,0.0786575,0.0227063,0.0180616,0.0210473,0.0611548,0.0408056,0.0688115,0.0853858,0.0537535,0.0293028,0.0218017,0.0295202,0.0316345,0.0344599,0.0367277,0.00781669,0.0170349,0.0477443,0.0663806,0,0,0,0,0,0
26,0,0,0,0,0.0568873,0.0534058,0,0,0,0.0289713,0,0.0167839,0.0492719,0,0,0.0216819,0,0,0.0395382,0.0591777,0.0308318,0.0324532,0.0202557,0.069572,0.0484804,0.0555505,0.0761137,0.0520155,0.0193624,0.0542307,0.0574886,0.0286932,0.0353759,0.0228649,0.0360882,0.0147979,0.0162722,0.0158671,0,0.0236659,0.0558784,0.0330495,0,0,0.0202745,0,0,0.0244764,0.0785213,0.0227982,0.0178804,0.0210078,0.0612281,0.0407135,0.0690048,0.0854477,0.053566,0.0293676,0.0217897,0.0293252,0.0315132,0.0350199,0.036838,0.00781996,0.0169012,0.047592,0.0667325,0,0,0,0,0,0
27,0,0,0,0,0.0570891,0.0533085,0,0,0,0.0283483,0,0.0167486,0.0491657,0,0,0.021675,0,0,0.0395296,0.0593354,0.0311383,0.0324155,0.0204007,0.0696315,0.0484439,0.0555799,0.0762083,0.0521002,0.0190912,0.0542538,0.0574423,0.0286441,0.0354501,0.0239518,0.0360593,0.0147628,0.0162903,0.0155696,0,0.0238039,0.0557803,0.0329827,0,0,0.0203128,0,0,0.0244229,0.0784465,0.0229092,0.0178164,0.0210195,0.0613064,0.0406057,0.0692322,0.0855036,0.0531362,0.029437,0.0216695,0.0290761,0.0314394,0.0354811,0.0369423,0.00780342,0.0167448,0.0474094,0.0670951,0,0,0,0,0,0
28,0,0,0,0,0.0572671,0.0532102,0,0,0,0.0277317,0,0.0167158,0.0490529,0,0,0.0216747,0,0,0.0395148,0.0595221,0.0314866,0.0323849,0.020535,0.0696524,0.0484284,0.055604,0.0762918,0.0521661,0.0187526,0.0543278,0.0574102,0.02862,0.0354917,0.0250361,0.0360515,0.0147249,0.0163209,0.0152534,0,0.0239467,0.0556522,0.0329242,0,0,0.0203409,0,0,0.0243285,0.0784685,0.02299,0.0177522,0.0211027,0.0613696,0.0405223,0.0695107,0.0855942,0.0528022,0.0294702,0.0215913,0.0288051,0.031171,0.0359965,0.0370089,0.0077877,0.0165734,0.047223,0.0673828,0,0,0,0,0,0
29,0,0,0,0,0.0572734,0.0530669,0,0,0,0.0270753,0,0.0166792,0.0488845,0,0,0.0216858,0,0,0.0394696,0.0597322,0.0319082,0.0323501,0.0206536,0.0696409,0.0483937,0.0556663,0.076357,0.052209,0.018397,0.0543207,0.0573608,0.0286148,0.0355819,0.0262448,0.0360317,0.0146942,0.0163346,0.0149123,0,0.0241362,0.0555579,0.0328681,0,0,0.0204511,0,0,0.0242543,0.0785384,0.0229851,0.017734,0.0211796,0.0614422,0.0404426,0.0698199,0.0856427,0.0526111,0.0294662,0.021434,0.0285917,0.0309387,0.0365729,0.0370496,0.00775841,0.0164211,0.0469994,0.0675062,0,0,0,0,0,0
30,0,0,0,0,0.0573374,0.0528999,0,0,0,0.0264462,0,0.0166573,0.0486848,0,0,0.0216984,0,0,0.0394077,0.0599505,0.0324074,0.0323008,0.0207448,0.0696273,0.0483325,0.0557748,0.0764265,0.0522449,0.0182339,0.0543264,0.0572877,0.028544,0.0356812,0.0275027,0.0360056,0.0146234,0.0163631,0.0145851,0,0.0243193,0.0555146,0.032826,0,0,0.0206375,0,0,0.0242044,0.0786428,0.0229252,0.0177339,0.0213746,0.0614971,0.0403793,0.0700706,0.0856831,0.0524025,0.0294037,0.0213722,0.0284619,0.0307368,0.037124,0.0371139,0.00769304,0.0162904,0.0467776,0.0674404,0,0,0,0,0,0
31,0,0,0,0,0.0575929,0.0527948,0,0,0,0.0258139,0,0.0166398,0.0484947,0,0,0.0217044,0,0,0.039331,0.0601662,0.0329381,0.0322259,0.0207977,0.0695943,0.048234,0.0560117,0.0765045,0.0522905,0.0182674,0.0542686,0.0571446,0.0284072,0.0357858,0.0287829,0.0360049,0.0144898,0.0164127,0.0142822,0,0.024489,0.0555029,0.0327808,0,0,0.0205841,0,0,0.0241243,0.0787025,0.0228467,0.0178054,0.0215446,0.0615383,0.0403303,0.0703088,0.0857064,0.0522537,0.029531,0.0212821,0.0283834,0.0305798,0.0376247,0.0371744,0.00765548,0.0161979,0.0466417,0.0674937,0,0,0,0,0,0
32,0,0,0,0,0.0579336,0.0527128,0,0,0,0.0252284,0,0.016648,0.0483563,0,0,0.0216979,0,0,0.0392866,0.0604269,0.0334317,0.0321619,0.0208369,0.0695726,0.0481139,0.0564211,0.0765231,0.0523342,0.0183415,0.054301,0.0569784,0.0282579,0.0358979,0.0300331,0.0360056,0.0144316,0.0164165,0.0139897,0,0.024745,0.0555001,0.032724,0,0,0.0205505,0,0,0.0240636,0.0787956,0.0227835,0.0179076,0.0216857,0.0615867,0.0402883,0.070487,0.0857135,0.0522165,0.0296846,0.0210961,0.028321,0.0304448,0.0380835,0.0372362,0.0076521,0.0160828,0.0465256,0.0676407,0,0,0,0,0,0
33,0,0,0,0,0.0576821,0.0525342,0,0,0,0.0246961,0,0.0166728,0.0482503,0,0,0.021708,0,0,0.039254,0.0607363,0.0338299,0.0321117,0.0208586,0.0696123,0.0480188,0.0566523,0.0765176,0.0523761,0.0183588,0.054297,0.0568488,0.0281312,0.0359959,0.0312073,0.0359728,0.0144197,0.0163954,0.0137001,0,0.0247413,0.0555104,0.0326828,0,0,0.0206012,0,0,0.024031,0.0789211,0.0227213,0.0179329,0.0218147,0.0616312,0.0402384,0.0706064,0.0857162,0.052133,0.0297977,0.0209153,0.0282702,0.0302797,0.0385249,0.0372804,0.00764531,0.0159698,0.0463648,0.0678692,0,0,0,0,0,0
34,0,0,0,0,0.0577675,0.0524066,0,0,0,0.0241871,0,0.0166888,0.0481139,0,0,0.021716,0,0,0.0391922,0.0610659,0.0341545,0.0320757,0.0208923,0.0697094,0.0479494,0.0567474,0.0764983,0.0524258,0.0181877,0.0542509,0.056797,0.0280633,0.0360887,0.0323564,0.0359602,0.014353,0.0164092,0.0133981,0,0.0247298,0.0555758,0.0326244,0,0,0.0206644,0,0,0.0239471,0.0790212,0.02263,0.0178989,0.0219262,0.0616798,0.0401632,0.0706762,0.0856958,0.0519528,0.0299115,0.0207422,0.0282293,0.0301104,0.0389389,0.0373692,0.00762289,0.0158206,0.0462169,0.0681218,0,0,0,0,0,0
35,0,0,0,0,0.0582775,0.0523594,0,0,0,0.0237285,0,0.0166937,0.0479895,0,0,0.0217168,0,0,0.0391491,0.0614209,0.0344272,0.0320433,0.0209838,0.0698396,0.047887,0.0564999,0.0764658,0.05247,0.0176414,0.0542183,0.0567917,0.0280405,0.0361904,0.0334723,0.0360074,0.0143708,0.0163441,0.013038,0,0.0247908,0.0556974,0.0325515,0,0,0.020693,0,0,0.0238326,0.0791254,0.0224897,0.0179117,0.022058,0.0617094,0.0400562,0.0707766,0.0856835,0.0517993,0.0300307,0.0205994,0.0282027,0.0299355,0.0393528,0.0375513,0.00761358,0.0156181,0.0460537,0.0683741,0,0,0,0,0,0
36,0,0,0,0,0.0585502,0.0523245,0,0,0,0.0233156,0,0.0167079,0.0478755,0,0,0.021688,0,0,0.0390674,0.0617448,0.0347249,0.0319868,0.0211025,0.0699561,0.0478243,0.0562939,0.076421,0.0524822,0.017162,0.0543308,0.0568469,0.0280736,0.0363372,0.0346169,0.0360721,0.0143753,0.0162583,0.0127685,0,0.0249344,0.0558803,0.0324741,0,0,0.0206995,0,0,0.023737,0.0792395,0.0223483,0.0179633,0.0222575,0.0617109,0.0399368,0.0709105,0.0857099,0.0517356,0.0300596,0.020526,0.0281057,0.0298102,0.0397641,0.0377632,0.00760128,0.0153899,0.0457732,0.0686151,0,0,0,0,0,0
37,0,0,0,0,0.0586612,0.0522777,0,0,0,0.0229065,0,0.016736,0.0477286,0,0,0.0216269,0,0,0.0390079,0.0620272,0.0351564,0.031972,0.0212503,0.0700081,0.0477079,0.0564391,0.0764126,0.0524789,0.0168255,0.0545108,0.0569221,0.0281677,0.0365484,0.0359038,0.0361262,0.0143596,0.0161874,0.0125238,0,0.0250091,0.0561107,0.0323969,0,0,0.0206569,0,0,0.0236316,0.0793222,0.0222152,0.0180281,0.0225084,0.0617152,0.0398008,0.0710364,0.0857347,0.0516534,0.0299975,0.0204801,0.0280424,0.0297066,0.0401885,0.0379433,0.00760457,0.0151371,0.0455802,0.0688309,0,0,0,0,0,0
