Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBI,x71,
959,0,0,0,0,0.0589445,0.0528008,0,0,0,0.0234837,0,0.01761,0.0436567,0,0,0.0213901,0,0,0.0377661,0.0681886,0.0441673,0.0343214,0.026912,0.0709424,0.0456819,0.053048,0.0724708,0.0530082,0.0112285,0.0583058,0.0577275,0.0297264,0.0428543,0.0593276,0.0377058,0.0142007,0.0145921,0.0193421,0,0.0209092,0,0.0307961,0,0,0.0226009,0,0,0.0214163,0.0768406,0.0437445,0.0255416,0,0.0598894,0.036352,0.0672543,0.0882997,0.0606274,0.0199043,0.143427,0.025827,0.0185856,0.0546837,0.0406899,0.00879885,0.00925134,0.0499702,0.0695263,0,0,0,0,0,0
960,0,0,0,0,0.05877,0.0528373,0,0,0,0.0233781,0,0.0175808,0.0436155,0,0,0.0214237,0,0,0.0377931,0.0681601,0.0439375,0.0344063,0.0267555,0.0708993,0.0455716,0.0530822,0.0725515,0.0530484,0.0111481,0.0582579,0.0577468,0.0296462,0.0427099,0.0590766,0.0376316,0.0142444,0.0145325,0.0193365,0,0.0208269,0,0.0308749,0,0,0.0225237,0,0,0.0216585,0.0767829,0.0437141,0.0254427,0,0.0599063,0.0364934,0.0673188,0.0884093,0.0605681,0.0199202,0.143662,0.0258817,0.0185448,0.0546461,0.0404619,0.00892276,0.00951608,0.049861,0.0693716,0,0,0,0,0,0
961,0,0,0,0,0.0586744,0.0528972,0,0,0,0.0232695,0,0.0175581,0.0435258,0,0,0.0214359,0,0,0.0378061,0.0680874,0.0436927,0.0345168,0.0266126,0.0709029,0.0455059,0.05309,0.0726282,0.05309,0.0110713,0.0582005,0.0577525,0.0296087,0.0425695,0.0587474,0.0375619,0.0142529,0.0145282,0.0193154,0,0.0208193,0,0.0309322,0,0,0.0224373,0,0,0.0218803,0.0768327,0.0437093,0.0252909,0,0.0599021,0.0366255,0.0673437,0.0885227,0.0605838,0.0198798,0.143852,0.0258649,0.0186019,0.0546197,0.0402452,0.00901246,0.00984864,0.0497699,0.0691934,0,0,0,0,0,0
962,0,0,0,0,0.0586366,0.0529542,0,0,0,0.0231706,0,0.0175385,0.0434209,0,0,0.0214564,0,0,0.0378167,0.068002,0.043414,0.034675,0.0264399,0.0709827,0.045441,0.0531586,0.0727527,0.0531191,0.0111517,0.0581344,0.0577516,0.0295645,0.0424495,0.0583599,0.0375013,0.0142572,0.0145434,0.0192793,0,0.0208619,0,0.0309827,0,0,0.0224253,0,0,0.0220054,0.0769016,0.043663,0.0251243,0,0.0598803,0.0367353,0.0673711,0.0886876,0.0605895,0.0198119,0.144061,0.0258487,0.0187039,0.0545605,0.0401259,0.00901782,0.0102353,0.0496735,0.0690213,0,0,0,0,0,0
963,0,0,0,0,0.0585044,0.0529545,0,0,0,0.0230404,0,0.0175068,0.0433607,0,0,0.021472,0,0,0.0377785,0.0679059,0.0431549,0.0348323,0.0262501,0.0710981,0.0453117,0.0532628,0.0729283,0.0531745,0.0114364,0.0580627,0.0577399,0.029589,0.0423053,0.0580252,0.0374109,0.0142102,0.0145369,0.0192298,0,0.020905,0,0.0310534,0,0,0.0223912,0,0,0.0221567,0.0767462,0.0435244,0.024962,0,0.0598736,0.0368389,0.0673876,0.0888613,0.0607465,0.0197721,0.144334,0.0258141,0.0187759,0.0544845,0.0400314,0.00900151,0.0106191,0.0495762,0.0688845,0,0,0,0,0,0
964,0,0,0,0,0.0583549,0.0529988,0,0,0,0.0229074,0,0.017468,0.0434421,0,0,0.0214564,0,0,0.0376841,0.0677703,0.0428436,0.0349154,0.0260441,0.0711673,0.0451441,0.0533611,0.0730963,0.0532904,0.0116117,0.0579674,0.0577248,0.0295436,0.0421118,0.0576969,0.0373059,0.0140612,0.0145752,0.0191905,0,0.0208769,0,0.0311598,0,0,0.0222191,0,0,0.022375,0.0760711,0.0433879,0.0248587,0,0.0599092,0.0370311,0.0674128,0.0889684,0.0610406,0.0198026,0.144657,0.0257679,0.0188654,0.0543839,0.0398346,0.00898162,0.010956,0.0495214,0.068666,0,0,0,0,0,0
965,0,0,0,0,0.0582249,0.0530594,0,0,0,0.0228043,0,0.017455,0.044092,0,0,0.0214484,0,0,0.0376098,0.0673202,0.0425346,0.0348541,0.0257098,0.0710664,0.0447379,0.0534296,0.0733299,0.0535703,0.0115046,0.0578309,0.0576984,0.0294744,0.0418834,0.0575712,0.0371576,0.0140353,0.0144903,0.0195707,0,0.0213898,0,0.0313782,0,0,0.0220263,0,0,0.0226014,0.0747628,0.0454718,0.0250615,0,0.0602006,0.0373845,0.0684836,0.090964,0.0619968,0.0178441,0.143553,0,0.0160903,0.0489373,0.0395317,0.00890726,0.0113842,0.0495343,0.0681841,0,0,0,0,0,0
966,0,0,0,0,0.0581468,0.0530347,0,0,0,0.0226298,0,0.0173836,0.0434468,0,0,0.0214449,0,0,0.0375981,0.0675494,0.0421703,0.0351531,0.0256266,0.0712909,0.0448217,0.0535343,0.0733403,0.0535598,0.011803,0.0577676,0.0577003,0.0294871,0.0417217,0.0567413,0.0370964,0.013992,0.0145484,0.0191698,0,0.020722,0,0.0313853,0,0,0.0220276,0,0,0.0227269,0.075649,0.0431836,0.0246631,0,0.0599954,0.0373947,0.0674508,0.0891642,0.0612584,0.0197355,0.145338,0.0257773,0.0189951,0.0541198,0.039446,0.0088423,0.0116032,0.0493823,0.0681008,0,0,0,0,0,0
967,0,0,0,0,0.0580762,0.0529928,0,0,0,0.0224943,0,0.0173272,0.0433394,0,0,0.0214731,0,0,0.0376356,0.067472,0.0418384,0.035322,0.0254196,0.0713749,0.0446998,0.0536311,0.0734784,0.0535957,0.0119143,0.0576927,0.0577136,0.0294535,0.0415301,0.0562344,0.0369973,0.0141119,0.0144559,0.0191371,0,0.0207175,0,0.0314741,0,0,0.0219881,0,0,0.0228009,0.0756484,0.0431106,0.0245497,0,0.0599901,0.0375456,0.0674702,0.0893234,0.0614124,0.0196466,0.145594,0.0257237,0.0190845,0.054034,0.0393444,0.0086733,0.0119181,0.0492889,0.0679313,0,0,0,0,0,0
968,0,0,0,0,0.0580352,0.0529888,0,0,0,0.0223465,0,0.0172796,0.0433262,0,0,0.0215032,0,0,0.0376538,0.0673872,0.0414867,0.0354264,0.0252147,0.0714306,0.0445747,0.0536069,0.0736492,0.0536217,0.0120499,0.0575997,0.0577133,0.0293672,0.041343,0.0557496,0.0369263,0.0141598,0.0144175,0.0190535,0,0.020728,0,0.0315402,0,0,0.0218716,0,0,0.0228807,0.0755524,0.0429974,0.0244172,0,0.0599309,0.0377171,0.067495,0.0895123,0.061594,0.0195799,0.14589,0.0257097,0.0191879,0.0539578,0.0391962,0.00853107,0.012193,0.0492628,0.0677975,0,0,0,0,0,0
969,0,0,0,0,0.0580018,0.0530258,0,0,0,0.0221844,0,0.0172314,0.0433511,0,0,0.0215426,0,0,0.0377096,0.067281,0.0411255,0.035494,0.0250173,0.0714469,0.0444252,0.053498,0.0737991,0.0536773,0.0122369,0.0574824,0.0576969,0.0293433,0.0411385,0.0552323,0.0368622,0.0142806,0.0143559,0.0190168,0,0.0207868,0,0.0315742,0,0,0.0216712,0,0,0.0229863,0.0752918,0.0428781,0.0242667,0,0.0598988,0.0379313,0.0675306,0.0896854,0.0617274,0.0195306,0.146241,0.0257202,0.0192896,0.0538585,0.0389567,0.00843918,0.0124611,0.0492521,0.0676361,0,0,0,0,0,0
970,0,0,0,0,0.0578553,0.0530258,0,0,0,0.0220254,0,0.0171817,0.0433593,0,0,0.0215479,0,0,0.0377299,0.0671499,0.0407463,0.0356134,0.0248006,0.0714872,0.0442522,0.0537,0.0739359,0.0537485,0.0124961,0.0573608,0.05767,0.0292217,0.0408978,0.0546861,0.0367598,0.0142882,0.0143394,0.0189714,0,0.0208287,0,0.0316662,0,0,0.0215726,0,0,0.0229959,0.0749519,0.0427899,0.0240885,0,0.0599219,0.0380909,0.0676013,0.089846,0.0617736,0.0194728,0.146618,0.0256909,0.0193466,0.0537377,0.0387984,0.00828016,0.0127431,0.0492206,0.0674669,0,0,0,0,0,0
971,0,0,0,0,0.0577868,0.0530586,0,0,0,0.0218686,0,0.0171289,0.0433341,0,0,0.0215158,0,0,0.0376996,0.0670402,0.040362,0.035715,0.0245806,0.0715361,0.0440799,0.0538873,0.0740392,0.0538095,0.0127436,0.0572459,0.0576569,0.0291421,0.0406748,0.0541182,0.0366687,0.0142108,0.0143559,0.0189363,0,0.0208137,0,0.0317538,0,0,0.0215597,0,0,0.0230362,0.0748204,0.0427083,0.0239718,0,0.0598785,0.0382571,0.0677323,0.0900279,0.0618231,0.0194324,0.146973,0.0256673,0.0194235,0.0536003,0.0386457,0.00814245,0.0129782,0.0492254,0.0672735,0,0,0,0,0,0
972,0,0,0,0,0.0578193,0.0531308,0,0,0,0.0217347,0,0.0170746,0.0433837,0,0,0.0215124,0,0,0.0377475,0.0669103,0.0400016,0.03575,0.0243779,0.0715746,0.0439061,0.0538785,0.0741333,0.0538493,0.0128993,0.0571576,0.057683,0.0291668,0.0404839,0.0535716,0.036595,0.0142753,0.0143149,0.0188915,0,0.0207208,0,0.0318124,0,0,0.0215005,0,0,0.0231376,0.0748999,0.0425927,0.023971,0,0.0598413,0.038433,0.0678355,0.0902033,0.0619018,0.0195585,0.147315,0.0256822,0.019517,0.0534062,0.0384714,0.00804844,0.0132012,0.0493111,0.0670674,0,0,0,0,0,0
973,0,0,0,0,0.0576888,0.0531954,0,0,0,0.0216078,0,0.017044,0.0441123,0,0,0.0215236,0,0,0.0377623,0.0664315,0.0397047,0.0356063,0.0240633,0.0714351,0.0434812,0.0536934,0.0743547,0.0540144,0.0127204,0.0570222,0.0576684,0.029241,0.0402494,0.0533432,0.0364753,0.0143061,0.0142184,0.0196105,0,0.0211052,0,0.0320323,0,0,0.0213531,0,0,0.0232816,0.0737229,0.0442747,0.0243662,0,0.0601049,0.0387542,0.0690841,0.0923105,0.0626726,0.0180964,0.146421,0,0.016772,0.047556,0.0382342,0.00794503,0.0135231,0.0494018,0.0666578,0,0,0,0,0,0
974,0,0,0,0,0.0575269,0.0532154,0,0,0,0.0214808,0,0.016963,0.0436182,0,0,0.0215183,0,0,0.037794,0.0665643,0.0393444,0.0358475,0.0239718,0.0716523,0.0435798,0.0537108,0.0743978,0.0539402,0.0128673,0.0569487,0.0576587,0.0292927,0.0400781,0.05249,0.0364155,0.0142267,0.0143436,0.0188673,0,0.0204993,0,0.0320128,0,0,0.0213793,0,0,0.0232654,0.0746332,0.0422346,0.0240079,0,0.0599052,0.0387552,0.0680204,0.0905371,0.0620645,0.0199291,0.148039,0.0257568,0.0196743,0.0529508,0.0381354,0.00782111,0.0136805,0.0492211,0.0666072,0,0,0,0,0,0
975,0,0,0,0,0.0574804,0.0532944,0,0,0,0.021378,0,0.0169031,0.0436561,0,0,0.0215285,0,0,0.0378284,0.0664559,0.0389678,0.035977,0.0237709,0.071689,0.0434795,0.0538712,0.0745354,0.0539965,0.0128588,0.0568525,0.0576197,0.0292417,0.0398661,0.0518208,0.0363037,0.0142995,0.0143052,0.0188333,0,0.0203625,0,0.0320864,0,0,0.0213593,0,0,0.0232705,0.074564,0.0420807,0.0239926,0,0.059975,0.0389319,0.0681835,0.0907092,0.0621008,0.0197623,0.148471,0.0257942,0.0197114,0.052825,0.0379921,0.0076736,0.0139238,0.0491698,0.0663362,0,0,0,0,0,0
976,0,0,0,0,0.0573739,0.0533917,0,0,0,0.021288,0,0.0168612,0.0436762,0,0,0.0215318,0,0,0.0378845,0.0663305,0.0385938,0.0360868,0.0235674,0.0717281,0.0434252,0.0541584,0.0746655,0.0540681,0.0129607,0.0567252,0.0575729,0.0292341,0.0396337,0.0511869,0.0362163,0.0143414,0.0143121,0.0187875,0,0.0202995,0,0.0321675,0,0,0.0213936,0,0,0.0233227,0.0743668,0.0420183,0.0239564,0,0.0600498,0.0390946,0.0682774,0.0908825,0.0622168,0.0197442,0.148811,0.0256869,0.0197411,0.0526676,0.0378209,0.00751595,0.014137,0.0491658,0.0661013,0,0,0,0,0,0
977,0,0,0,0,0.057201,0.0534703,0,0,0,0.0211335,0,0.0168093,0.0437105,0,0,0.0215299,0,0,0.0378978,0.0662223,0.0382099,0.0361688,0.0233723,0.0717713,0.0433372,0.0543912,0.0747729,0.0541138,0.0132108,0.0564934,0.0575092,0.0292107,0.0393712,0.050528,0.0361273,0.0143538,0.0143318,0.0186816,0,0.0202674,0,0.0322471,0,0,0.0214883,0,0,0.0234752,0.0743018,0.041892,0.0239696,0,0.0601239,0.0392045,0.0683418,0.0910678,0.0623493,0.0196856,0.149137,0.0256442,0.0198576,0.0525077,0.0376405,0.00743907,0.0143594,0.0491898,0.065876,0,0,0,0,0,0
978,0,0,0,0,0.0569116,0.0535434,0,0,0,0.0209172,0,0.0167646,0.0444059,0,0,0.0215486,0,0,0.0378916,0.0658202,0.0378154,0.0360387,0.0230478,0.0716424,0.0429572,0.0544334,0.075009,0.0542617,0.0133879,0.0561577,0.0574229,0.0291313,0.0390296,0.0501234,0.0360123,0.0143977,0.0142528,0.0196332,0,0.0206785,0,0.0324387,0,0,0.0213479,0,0,0.0236168,0.0730793,0.0433027,0.0243659,0,0.0604409,0.0394511,0.0697166,0.0931737,0.0629841,0.017957,0.148416,0,0.0171815,0.0465396,0.0374187,0.00739488,0.0146966,0.0492415,0.065451,0,0,0,0,0,0
979,0,0,0,0,0.0568159,0.0536241,0,0,0,0.0207792,0,0.0167009,0.0438852,0,0,0.0215542,0,0,0.0379291,0.0659386,0.0374054,0.0362614,0.0229386,0.0718924,0.0431574,0.0543396,0.0751037,0.0541982,0.0138181,0.0560719,0.0573827,0.0290301,0.0387852,0.0491711,0.0359997,0.0143771,0.0143491,0.0186254,0,0.0202229,0,0.0324133,0,0,0.0213096,0,0,0.0237022,0.074052,0.0415113,0.0239582,0,0.0602862,0.0394608,0.0684932,0.0913954,0.0624857,0.0194738,0.149918,0.0256693,0.0200723,0.0520932,0.0372589,0.00740249,0.014861,0.0491823,0.0654288,0,0,0,0,0,0
