Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,RTIBA
All Timesteps RMSE,0,0,0,0,0.0565296,0.0553671,0,0,0,0.0306842,0,0.019159,0.0542182,0,0,0.0204916,0,0,0.039902,0.0624595,0.0382825,0.0338468,0.0252041,0.0677271,0.0454133,0.051208,0.0703578,0.0515993,0.019041,0.0572462,0.0589981,0.0307571,0.0382424,0.036975,0.0362289,0.0145638,0.0149688,0.0209414,0,0.0253395,0.0580793,0.0330822,0,0,0.0224709,0,0,0.0244651,0.0758808,0.0234104,0.023947,0.0258077,0.0588259,0.0400621,0.0680587,0.0842755,0.0543032,0.0277808,0.0216681,0.0165219,0.0311665,0.0358575,0.0367097,0.00717662,0.0147535,0.0523932,0.067314,0,0,0,0,0.0265595
0,0,0,0,0,0.0499603,0.0616336,0,0,0,0.0348397,0,0.023702,0.0588115,0,0,0.0209402,0,0,0.0411342,0.0554007,0.0316672,0.0385731,0.025949,0.0728169,0.048194,0.0498244,0.0645171,0.0473289,0.0219211,0.0541624,0.0571945,0.0303853,0.0327957,0.0115579,0.0354683,0.0145389,0.0185488,0.031339,0,0.0239681,0.0566516,0.0323921,0,0,0.0203726,0,0,0.0303636,0.0753355,0.0259692,0.0201793,0.0186021,0.0622092,0.0530076,0.0671765,0.0823408,0.0532218,0.030728,0.0210035,0.0165969,0.0313996,0.017166,0.0316653,0.00886966,0.0245113,0.0599087,0.0506157,0,0,0,0,0
1,0,0,0,0,0.0500451,0.0614218,0,0,0,0.0346271,0,0.0239132,0.058809,0,0,0.0211608,0,0,0.0410675,0.0553623,0.0319829,0.0385025,0.0261953,0.0726891,0.0481526,0.0497858,0.0643569,0.0472444,0.0221761,0.0538885,0.0570992,0.0303467,0.032591,0.0118812,0.0355936,0.0145909,0.0188135,0.0313694,0,0.0245191,0.0567377,0.0324174,0,0,0.0203965,0,0,0.0301363,0.0753049,0.0259752,0.0201298,0.0184659,0.0622967,0.0528321,0.067265,0.0823537,0.053151,0.0309663,0.0210361,0.0167068,0.0313586,0.0171462,0.0318671,0.00903755,0.0247426,0.0596648,0.0505091,0,0,0,0,0
2,0,0,0,0,0.0501047,0.0613167,0,0,0,0.0344708,0,0.0239782,0.0588901,0,0,0.0212243,0,0,0.041275,0.0555527,0.0320948,0.038643,0.0263066,0.0725177,0.0482508,0.0498763,0.064276,0.0471832,0.0222644,0.0538257,0.0570643,0.0303347,0.0325152,0.0120571,0.0356453,0.0148581,0.0188182,0.0314103,0,0.0246471,0.0567023,0.0324407,0,0,0.0204583,0,0,0.0301096,0.0753612,0.0259742,0.0200936,0.0184766,0.062279,0.0527882,0.0672568,0.0823562,0.053159,0.030775,0.021031,0.0166963,0.0313769,0.0171207,0.0318404,0.00906816,0.0248777,0.0595234,0.0502045,0,0,0,0,0
3,0,0,0,0,0.0501064,0.0612891,0,0,0,0.0342743,0,0.0240306,0.0590085,0,0,0.0212623,0,0,0.0414256,0.056016,0.0322126,0.038741,0.02641,0.0724234,0.048356,0.0500553,0.0642579,0.0471306,0.0222509,0.0537727,0.0570134,0.0302834,0.0324268,0.012201,0.0357003,0.0151082,0.0187697,0.0313713,0,0.0244792,0.0566237,0.0324291,0,0,0.0205444,0,0,0.0300774,0.0754166,0.0259905,0.0200783,0.0185092,0.062253,0.0527783,0.0672316,0.082357,0.053172,0.0306789,0.0210244,0.0166345,0.0313584,0.0171912,0.0317824,0.00908671,0.025014,0.059458,0.050178,0,0,0,0,0
4,0,0,0,0,0.0500967,0.0612946,0,0,0,0.0341317,0,0.0240806,0.0590849,0,0,0.0212956,0,0,0.0415439,0.0562296,0.0323263,0.0387607,0.0265114,0.0724458,0.0483904,0.0500913,0.0642223,0.0471023,0.0221777,0.0537103,0.0569526,0.0302365,0.0323414,0.012335,0.0357607,0.0153386,0.0186654,0.0312852,0,0.0242186,0.0565801,0.0324248,0,0,0.0206568,0,0,0.030043,0.0754363,0.0260104,0.0201069,0.0185149,0.0622428,0.0528305,0.0672097,0.0823714,0.0531652,0.0306859,0.0210205,0.0165511,0.0313087,0.0172884,0.0317297,0.00905722,0.0251686,0.0593958,0.0500648,0,0,0,0,0
5,0,0,0,0,0.0483627,0.0627035,0,0,0,0.0343279,0,0.0240476,0.0592146,0,0,0.0208032,0,0,0.0414504,0.0562474,0.0323976,0.0388989,0.0263349,0.0725153,0.04794,0.0501239,0.0643453,0.0472011,0.0222615,0.0536634,0.0568656,0.0301611,0.0323763,0.0122509,0.0364468,0.0151685,0.0188143,0.0312541,0,0.0243942,0.0566559,0.0306804,0,0,0.0212546,0,0,0.0302138,0.0753738,0.0259917,0.0200748,0.0184852,0.0619851,0.0531803,0.0672104,0.082375,0.0531246,0.0306572,0.0210487,0.0165924,0.0312855,0.0173371,0.0310101,0.00907738,0.0255179,0.060374,0.0500511,0,0,0,0,0
6,0,0,0,0,0.0503364,0.0612177,0,0,0,0.0343655,0,0.0240579,0.0591809,0,0,0.0211968,0,0,0.042077,0.0562019,0.0323065,0.0387391,0.0263992,0.0725529,0.04849,0.0496955,0.0641966,0.0470777,0.0222316,0.0537285,0.0569602,0.030235,0.0324191,0.0121755,0.0355708,0.0151923,0.0191156,0.0313662,0,0.0245577,0.0565164,0.0327973,0,0,0.0207109,0,0,0.0299845,0.0754125,0.0260116,0.0202635,0.0184175,0.0623085,0.0528974,0.0672535,0.0824325,0.0531928,0.0308433,0.0210174,0.0166542,0.0312683,0.0172357,0.0317029,0.00910575,0.0251364,0.0593182,0.0496268,0,0,0,0,0
7,0,0,0,0,0.0503542,0.0613162,0,0,0,0.0343847,0,0.0240771,0.059211,0,0,0.0211677,0,0,0.0422456,0.0562214,0.0323488,0.0387027,0.0263746,0.072554,0.0486713,0.0494759,0.0641719,0.0470876,0.0222387,0.0537271,0.0569626,0.0301907,0.032442,0.0121509,0.0355212,0.0153266,0.0190141,0.0313566,0,0.0245951,0.056518,0.0328206,0,0,0.0208578,0,0,0.0299866,0.0753832,0.0260006,0.0202941,0.0183639,0.0623945,0.052937,0.067277,0.0824348,0.0532028,0.0310374,0.0209116,0.0166696,0.0312783,0.0172446,0.031615,0.00907973,0.0250454,0.0594309,0.0495009,0,0,0,0,0
8,0,0,0,0,0.0503903,0.0613619,0,0,0,0.0344533,0,0.024085,0.0592264,0,0,0.0211117,0,0,0.0424025,0.056252,0.0323569,0.0386652,0.0263172,0.0725051,0.0487516,0.0493806,0.0641808,0.047093,0.0222793,0.053718,0.0569558,0.0301567,0.032458,0.012057,0.0354782,0.0154085,0.0189065,0.0313886,0,0.0245255,0.0564932,0.0328282,0,0,0.0209993,0,0,0.030008,0.0754047,0.0259919,0.0202602,0.0183578,0.0624838,0.0529892,0.0672751,0.0824106,0.0532017,0.0310021,0.0207804,0.0166799,0.0313323,0.017232,0.0314965,0.00916941,0.0248624,0.0595529,0.0494358,0,0,0,0,0
9,0,0,0,0,0.0503787,0.0613817,0,0,0,0.0344701,0,0.0241164,0.0592241,0,0,0.0211089,0,0,0.0424577,0.0561657,0.032427,0.0386144,0.0263015,0.072399,0.0487745,0.0494132,0.0641327,0.0470911,0.0223562,0.0536823,0.0569179,0.0301179,0.0324312,0.0120339,0.0354478,0.015531,0.0186689,0.0314185,0,0.0245114,0.0565132,0.032848,0,0,0.021084,0,0,0.030033,0.0754237,0.0260123,0.0202296,0.0183765,0.0625233,0.053029,0.0672626,0.0823963,0.0531882,0.0309878,0.0207967,0.0166936,0.0313208,0.0172205,0.031386,0.0092483,0.0246494,0.0596979,0.0493901,0,0,0,0,0
10,0,0,0,0,0.0503473,0.0613731,0,0,0,0.0345088,0,0.0241393,0.0592196,0,0,0.0210778,0,0,0.042491,0.0560149,0.0324882,0.0385624,0.0262486,0.0722416,0.048747,0.0495177,0.0640947,0.0471063,0.0224284,0.0536705,0.0569006,0.0300951,0.0324117,0.0119952,0.0354123,0.0156231,0.0184465,0.0314071,0,0.0245207,0.056568,0.0328687,0,0,0.021115,0,0,0.030095,0.0754545,0.0259954,0.0202529,0.018387,0.062531,0.0530495,0.067261,0.0823867,0.0531791,0.0310093,0.020717,0.0167161,0.031316,0.0172205,0.031231,0.00932598,0.0244117,0.0598493,0.0493632,0,0,0,0,0
11,0,0,0,0,0.0503278,0.0613963,0,0,0,0.0345161,0,0.0241811,0.0592189,0,0,0.0210206,0,0,0.0425158,0.0558977,0.0325502,0.0385014,0.0262417,0.0720636,0.0486845,0.0495797,0.0640708,0.0470962,0.0224561,0.0536538,0.0568799,0.0300751,0.0323891,0.0120091,0.035372,0.0157255,0.0182055,0.0313771,0,0.0245176,0.0566188,0.0328819,0,0,0.021143,0,0,0.0301419,0.0754933,0.0259407,0.0202885,0.0183904,0.0625055,0.0530272,0.0672519,0.0823805,0.0531802,0.0311074,0.0206626,0.0167387,0.0313128,0.0172531,0.0311072,0.00938316,0.024186,0.0600012,0.0493276,0,0,0,0,0
12,0,0,0,0,0.0503206,0.0614076,0,0,0,0.034521,0,0.0241961,0.0592213,0,0,0.0210065,0,0,0.0424682,0.0558597,0.0325661,0.0384394,0.0262365,0.0719148,0.0485984,0.0495573,0.0640393,0.0470885,0.0224345,0.053638,0.0568499,0.0300368,0.0323704,0.0120265,0.0353013,0.0158188,0.0179543,0.0313743,0,0.0245235,0.0566476,0.0329233,0,0,0.0211409,0,0,0.0301629,0.0755346,0.0259065,0.0202663,0.0183999,0.0624462,0.0530002,0.0672052,0.0823617,0.0531686,0.031131,0.0206672,0.0167351,0.0312977,0.0172647,0.0309213,0.00944405,0.0239487,0.060129,0.0492838,0,0,0,0,0
13,0,0,0,0,0.0503128,0.0614312,0,0,0,0.0344571,0,0.024227,0.0591866,0,0,0.0210389,0,0,0.0423242,0.0559004,0.0325994,0.0383882,0.0262462,0.0718105,0.0484796,0.0495459,0.0639969,0.0470897,0.0224235,0.0536055,0.056815,0.0300015,0.0323385,0.0120923,0.0352047,0.0158082,0.0177051,0.0314262,0,0.0245801,0.0566717,0.0329671,0,0,0.0211844,0,0,0.0301036,0.0755796,0.0258977,0.0202129,0.0184225,0.0623558,0.0529623,0.0671582,0.0823333,0.0531705,0.0311327,0.0206895,0.0167306,0.0312924,0.0172269,0.0308329,0.0093865,0.0237473,0.0602356,0.0492127,0,0,0,0,0
14,0,0,0,0,0.0503127,0.0614739,0,0,0,0.0345711,0,0.0242042,0.0591375,0,0,0.021076,0,0,0.0421559,0.0559738,0.0325375,0.0383294,0.026166,0.0717105,0.0483506,0.0495791,0.0639976,0.04709,0.0223828,0.0536252,0.0568367,0.0300029,0.0323845,0.0120128,0.0350964,0.0158429,0.0174257,0.0314792,0,0.0246863,0.0566975,0.0329983,0,0,0.0211793,0,0,0.0300663,0.0756083,0.025864,0.0201826,0.0184541,0.0622374,0.0529325,0.0671145,0.0823056,0.0531878,0.0311406,0.020712,0.016764,0.0313083,0.0171874,0.0306704,0.00940934,0.0235217,0.060309,0.0491311,0,0,0,0,0
15,0,0,0,0,0.0503028,0.0615374,0,0,0,0.0346212,0,0.0242143,0.0590829,0,0,0.0211234,0,0,0.0419119,0.0559518,0.0325136,0.0382916,0.0261407,0.0716426,0.0482038,0.0497866,0.0640157,0.0470713,0.0225193,0.0536398,0.0568483,0.029995,0.032397,0.0119674,0.0349753,0.0158574,0.0171472,0.0314991,0,0.0248127,0.0567025,0.0330363,0,0,0.0211478,0,0,0.0300512,0.0756568,0.0257964,0.0201476,0.0184869,0.0621486,0.052888,0.0670701,0.0822894,0.053226,0.0311334,0.0207143,0.0168366,0.0313208,0.017153,0.0304111,0.00946673,0.0233017,0.0603595,0.0490613,0,0,0,0,0
16,0,0,0,0,0.0503065,0.0615926,0,0,0,0.0346077,0,0.0242421,0.0590433,0,0,0.0211669,0,0,0.0416377,0.0558782,0.0325424,0.0382571,0.0261389,0.0715769,0.0480391,0.0498727,0.0640256,0.0470567,0.0226244,0.0536454,0.0568483,0.0299878,0.0324027,0.0119775,0.0348494,0.0157846,0.016959,0.0314393,0,0.0247157,0.0567479,0.0330949,0,0,0.021226,0,0,0.0300944,0.0757031,0.0256904,0.020035,0.0185126,0.0621011,0.0528311,0.0670306,0.0822783,0.0532841,0.0310529,0.0207071,0.0168663,0.0313493,0.0171511,0.0301208,0.00951246,0.023122,0.0603986,0.049006,0,0,0,0,0
17,0,0,0,0,0.0503274,0.0615962,0,0,0,0.034565,0,0.0242657,0.0590196,0,0,0.0211994,0,0,0.0413247,0.0557738,0.0325525,0.0382166,0.0261284,0.0715215,0.0478708,0.0496072,0.0640122,0.0470545,0.022738,0.0536421,0.0568202,0.0299452,0.0324121,0.0119861,0.0347168,0.0156161,0.0168344,0.0314283,0,0.0245553,0.0567869,0.033141,0,0,0.0213747,0,0,0.0300992,0.0757263,0.0256095,0.0199529,0.0185333,0.0620713,0.0527828,0.0669738,0.0822606,0.053317,0.0309787,0.0207218,0.016875,0.0314072,0.0171424,0.0300009,0.00953329,0.0229531,0.0604335,0.0489652,0,0,0,0,0
18,0,0,0,0,0.0503149,0.0616971,0,0,0,0.0346807,0,0.0242497,0.0590298,0,0,0.0212388,0,0,0.0410677,0.055717,0.0324625,0.038182,0.0260505,0.0714532,0.0476969,0.0492372,0.0640575,0.0470661,0.023013,0.0536437,0.0568011,0.0298951,0.032428,0.0118802,0.0346117,0.0155862,0.0165922,0.0315108,0,0.024613,0.0568064,0.0332097,0,0,0.0215256,0,0,0.030002,0.0757355,0.0255609,0.0199239,0.0185757,0.0620346,0.0527135,0.0669141,0.0822384,0.0533253,0.0309403,0.0207525,0.0169159,0.0314258,0.0170516,0.0301026,0.00956815,0.0227584,0.0605153,0.0488251,0,0,0,0,0
19,0,0,0,0,0.0503457,0.0617221,0,0,0,0.0347306,0,0.0242593,0.0590304,0,0,0.0213847,0,0,0.0408917,0.0557169,0.0323999,0.038191,0.0259874,0.0714013,0.0474852,0.04933,0.0640942,0.0470859,0.023046,0.0536207,0.0567923,0.0298618,0.0324402,0.0118737,0.0344606,0.0156306,0.0163112,0.0315293,0,0.0247387,0.0568102,0.0332348,0,0,0.0217301,0,0,0.0299574,0.0757449,0.0254792,0.0199327,0.0186333,0.0620132,0.0527503,0.0668372,0.0822341,0.0533482,0.0309265,0.0207718,0.0169604,0.0313687,0.0169936,0.0300655,0.00963711,0.0225452,0.0605008,0.0488008,0,0,0,0,0
20,0,0,0,0,0.0503727,0.0617605,0,0,0,0.0347239,0,0.0242528,0.0589968,0,0,0.0215328,0,0,0.0407408,0.055731,0.0323448,0.0382391,0.0259142,0.0713882,0.0472663,0.0495199,0.0641597,0.0471108,0.0228998,0.053524,0.0567866,0.0298214,0.0324722,0.011936,0.0343262,0.0153374,0.0163049,0.0314649,0,0.0248359,0.0567933,0.0332582,0,0,0.0218353,0,0,0.0299683,0.0757426,0.0253635,0.0198989,0.0186984,0.0620185,0.0527513,0.0667546,0.0822496,0.0534126,0.0309123,0.0207603,0.0169534,0.0312449,0.0170172,0.0299882,0.00948685,0.0225536,0.0604941,0.0487734,0,0,0,0,0
21,0,0,0,0,0.0504367,0.0617383,0,0,0,0.0347701,0,0.0242168,0.0588882,0,0,0.0215876,0,0,0.0405269,0.0557749,0.0322671,0.0382116,0.0258401,0.0714117,0.0470044,0.0495558,0.0642002,0.0471504,0.0227587,0.0533883,0.0567727,0.0297758,0.0325174,0.0119063,0.0341925,0.0151458,0.0162909,0.0314186,0,0.0248536,0.0567969,0.0333223,0,0,0.0219231,0,0,0.0299896,0.0757418,0.0252615,0.0198853,0.0187324,0.0620638,0.0527683,0.0667037,0.0822441,0.0534804,0.0308999,0.0207481,0.0169544,0.0311667,0.0170429,0.0298909,0.00945566,0.0225607,0.0604677,0.0487555,0,0,0,0,0
22,0,0,0,0,0.0504964,0.0617333,0,0,0,0.0348255,0,0.0241927,0.0587693,0,0,0.0216193,0,0,0.0402834,0.0557335,0.0322401,0.0381835,0.0257755,0.0714445,0.0468339,0.0495446,0.0642499,0.0471929,0.022767,0.0534459,0.0567285,0.0297035,0.0325235,0.011843,0.0340517,0.0149598,0.0162962,0.0313672,0,0.0248327,0.0568218,0.0333867,0,0,0.0220172,0,0,0.0300197,0.075718,0.0251862,0.0198919,0.018742,0.0621221,0.0527869,0.0666819,0.0822367,0.0535199,0.0308884,0.0207477,0.016977,0.0311589,0.0170506,0.0298382,0.0094562,0.0225677,0.0604296,0.0487395,0,0,0,0,0
23,0,0,0,0,0.0505364,0.0617721,0,0,0,0.0348394,0,0.0241629,0.0586874,0,0,0.0216811,0,0,0.0400744,0.0557603,0.0322113,0.0381676,0.0257088,0.0714766,0.0467481,0.0495628,0.0643202,0.0472322,0.0228447,0.0533703,0.0566946,0.0296676,0.0325342,0.0118079,0.0339014,0.0148181,0.0163065,0.0312981,0,0.0248074,0.0568343,0.0334174,0,0,0.0220732,0,0,0.0300493,0.0757135,0.025139,0.0198828,0.0187646,0.0621673,0.0528225,0.0666701,0.0822324,0.0535327,0.0308693,0.0207377,0.0170206,0.03117,0.0170513,0.0297323,0.009482,0.0225748,0.0603969,0.0486985,0,0,0,0,0
24,0,0,0,0,0.0505578,0.061825,0,0,0,0.03484,0,0.0241161,0.058649,0,0,0.0217816,0,0,0.0399203,0.0560453,0.03214,0.0381475,0.025631,0.0715051,0.0465869,0.0496167,0.0643896,0.0472623,0.0229063,0.0532068,0.0566654,0.0296275,0.0325576,0.0117924,0.0337556,0.014751,0.0162438,0.0312236,0,0.0247396,0.0568059,0.0334496,0,0,0.0220885,0,0,0.030076,0.075741,0.0250826,0.0198672,0.0188086,0.0621806,0.0528568,0.0666537,0.0822305,0.0535419,0.0308862,0.0207474,0.0170283,0.0311445,0.0171065,0.0295647,0.00949187,0.0225806,0.0603873,0.0486582,0,0,0,0,0
25,0,0,0,0,0.0505545,0.0618425,0,0,0,0.0348426,0,0.024086,0.0586244,0,0,0.0218824,0,0,0.0397995,0.0564562,0.0320837,0.0381371,0.0256004,0.071541,0.0463694,0.0497058,0.0644041,0.0472894,0.0228931,0.0531119,0.0566323,0.029572,0.032545,0.0118047,0.0336157,0.0147936,0.0161238,0.0312005,0,0.0247484,0.0567488,0.0334647,0,0,0.0221252,0,0,0.0301043,0.0757709,0.0250178,0.0198145,0.0188502,0.0622073,0.0529072,0.0666288,0.0822187,0.0535539,0.0309248,0.0207815,0.0170676,0.0311388,0.0171282,0.0295799,0.00951315,0.0226008,0.0603737,0.0486441,0,0,0,0,0
26,0,0,0,0,0.0505417,0.061845,0,0,0,0.0348457,0,0.0240574,0.058566,0,0,0.0220047,0,0,0.0396176,0.0565671,0.0320577,0.0381327,0.0255597,0.0715781,0.0461804,0.0497468,0.0644747,0.047325,0.0228303,0.05314,0.0565943,0.0295197,0.0325531,0.0118342,0.0334664,0.0147374,0.0160701,0.0311941,0,0.0248021,0.0567496,0.0334432,0,0,0.0222042,0,0,0.0301141,0.0757871,0.0249567,0.019767,0.018876,0.0622198,0.052964,0.0665924,0.0822107,0.053573,0.0309486,0.0208017,0.0171362,0.0311232,0.0171032,0.0297071,0.00951853,0.0226359,0.0603539,0.048664,0,0,0,0,0
27,0,0,0,0,0.0505547,0.061879,0,0,0,0.0348814,0,0.0240428,0.0585159,0,0,0.0221409,0,0,0.0394784,0.0565698,0.0320605,0.0381488,0.0255352,0.0716179,0.0459357,0.0497591,0.0645627,0.047363,0.0229436,0.0532603,0.0565444,0.0294726,0.032551,0.0118249,0.0333202,0.014765,0.0159953,0.0311894,0,0.0248604,0.0567651,0.0334312,0,0,0.0222394,0,0,0.0301757,0.0758029,0.0249117,0.0197853,0.0188914,0.0622171,0.0529926,0.0665638,0.082213,0.0536046,0.030969,0.0208109,0.0172063,0.0311221,0.017073,0.0296207,0.0095295,0.0226832,0.06034,0.0486581,0,0,0,0,0
28,0,0,0,0,0.0505336,0.061939,0,0,0,0.0349512,0,0.0240113,0.0584621,0,0,0.0223599,0,0,0.0394008,0.0566032,0.0320036,0.0381683,0.0254618,0.0716467,0.0457448,0.0497729,0.0646321,0.0474137,0.0230107,0.0533072,0.0565216,0.0294422,0.0325736,0.0117721,0.033179,0.0147296,0.01595,0.0312927,0,0.0251151,0.0567651,0.0333722,0,0,0.0222817,0,0,0.0302188,0.0758105,0.0249088,0.0198008,0.0189015,0.062212,0.0530418,0.0665596,0.0822384,0.0536475,0.0309932,0.0208157,0.0173201,0.0311093,0.0169705,0.0295207,0.00953301,0.0227239,0.0603075,0.0486311,0,0,0,0,0
29,0,0,0,0,0.0505003,0.0619482,0,0,0,0.0349622,0,0.0239802,0.0584007,0,0,0.0224909,0,0,0.0393712,0.0566198,0.0319728,0.0381687,0.0254222,0.0716626,0.0456039,0.0498487,0.064677,0.0474479,0.0230272,0.053293,0.0565012,0.0294129,0.0325805,0.0117875,0.0330462,0.0147431,0.0159371,0.0313915,0,0.0252748,0.0567477,0.0333337,0,0,0.0223257,0,0,0.0302365,0.075833,0.024906,0.0198231,0.0189059,0.0622194,0.0531069,0.0665014,0.0822549,0.0536757,0.0310018,0.0208288,0.0173954,0.0311012,0.0168852,0.0294865,0.00953078,0.0227977,0.0602414,0.0486003,0,0,0,0,0
30,0,0,0,0,0.0504741,0.0619181,0,0,0,0.0349606,0,0.0239467,0.0583721,0,0,0.0224173,0,0,0.0393844,0.0566242,0.03197,0.0381412,0.025364,0.0716603,0.0454864,0.0499045,0.0647558,0.0474736,0.0231254,0.0533032,0.0564852,0.0293885,0.0325992,0.0118285,0.0329805,0.014698,0.0160583,0.0313856,0,0.0252074,0.0567229,0.0333284,0,0,0.0224122,0,0,0.0301853,0.0758508,0.0249091,0.0198157,0.0188908,0.0622138,0.0531269,0.0664044,0.0822746,0.0536832,0.0310184,0.020824,0.0174291,0.0311031,0.0168799,0.029544,0.00943529,0.0228747,0.0601765,0.0485538,0,0,0,0,0
31,0,0,0,0,0.050434,0.0618633,0,0,0,0.0348755,0,0.02395,0.0583492,0,0,0.0225003,0,0,0.0393758,0.0566662,0.0319999,0.038116,0.025368,0.0716395,0.045436,0.0499501,0.064794,0.0475139,0.0230349,0.0532979,0.0564672,0.029375,0.0325921,0.0119183,0.0328655,0.0146466,0.0160873,0.031355,0,0.025093,0.0567398,0.0332976,0,0,0.0224979,0,0,0.0301313,0.0758916,0.024881,0.0197855,0.0188865,0.0622197,0.0531589,0.0664714,0.0822981,0.0536807,0.0310357,0.0208137,0.0174412,0.0310833,0.016889,0.0296485,0.0093755,0.0229575,0.0601076,0.0485643,0,0,0,0,0
32,0,0,0,0,0.0503764,0.0618234,0,0,0,0.0347345,0,0.0239727,0.0583467,0,0,0.022575,0,0,0.0393932,0.056711,0.0320588,0.0381179,0.0254114,0.071645,0.0453747,0.0500088,0.0647963,0.0475578,0.0230114,0.0532549,0.0564282,0.0293473,0.0325655,0.0120425,0.0327711,0.014611,0.0161611,0.0313609,0,0.0251376,0.0567189,0.0332287,0,0,0.0225749,0,0,0.0300947,0.0759458,0.0248327,0.0199029,0.0188975,0.0622462,0.0531879,0.0665806,0.0823248,0.0536908,0.0310521,0.020807,0.0174786,0.0310345,0.0168849,0.0296827,0.00931695,0.0230564,0.0600691,0.0485945,0,0,0,0,0
33,0,0,0,0,0.0503475,0.0617657,0,0,0,0.0345519,0,0.0240042,0.0583487,0,0,0.0226154,0,0,0.0393919,0.0567306,0.0321517,0.0381394,0.0254555,0.0716662,0.0453394,0.0500385,0.0648317,0.0475827,0.0231131,0.0532013,0.0563716,0.029291,0.0325012,0.0122241,0.0326799,0.0145855,0.0162184,0.0313669,0,0.0252165,0.0566451,0.0331556,0,0,0.0226196,0,0,0.0300837,0.0759972,0.0247957,0.0199825,0.0189178,0.0622892,0.0532296,0.0666216,0.0823311,0.0537138,0.0310618,0.0208141,0.0175267,0.0309969,0.0168577,0.0296317,0.00929993,0.023133,0.0600293,0.0485959,0,0,0,0,0
34,0,0,0,0,0.0503276,0.0617003,0,0,0,0.0343462,0,0.0240574,0.0583801,0,0,0.0226663,0,0,0.0394273,0.0567452,0.0322796,0.0381407,0.0254927,0.0717022,0.0453576,0.050049,0.064896,0.0476035,0.0232205,0.0531619,0.0563087,0.0292412,0.0324247,0.0124489,0.0325797,0.0145918,0.0162818,0.031393,0,0.0253413,0.0565574,0.033094,0,0,0.0226261,0,0,0.0300763,0.0760491,0.0247876,0.0200659,0.0189203,0.0623485,0.0532593,0.066601,0.0823451,0.0537512,0.031041,0.0208769,0.0175621,0.0309889,0.0167873,0.0295301,0.00929389,0.0232014,0.0599617,0.0485703,0,0,0,0,0
35,0,0,0,0,0.0503071,0.0616493,0,0,0,0.0342393,0,0.0240761,0.0583816,0,0,0.0227395,0,0,0.0395239,0.0567689,0.0323315,0.0381175,0.025507,0.0717206,0.0453958,0.0500815,0.0649441,0.0476253,0.023196,0.0531574,0.0562775,0.0291927,0.0323934,0.0125739,0.0324743,0.0146382,0.0163436,0.0313519,0,0.0251927,0.0564813,0.0330642,0,0,0.0226126,0,0,0.0300872,0.0761119,0.0247745,0.0201929,0.0189213,0.0624122,0.0532519,0.0665736,0.082358,0.0537839,0.0309775,0.0210045,0.0175493,0.0310062,0.0167938,0.0293252,0.00932379,0.0232671,0.0598695,0.0485761,0,0,0,0,0
36,0,0,0,0,0.0502883,0.0616059,0,0,0,0.0342239,0,0.0240424,0.0583605,0,0,0.0229006,0,0,0.0395752,0.0567945,0.0323045,0.0380893,0.0254286,0.0717123,0.0454358,0.050106,0.0650159,0.0476725,0.0232309,0.0531267,0.0562603,0.0291768,0.0324295,0.0125971,0.0323467,0.014801,0.01628,0.0313173,0,0.0251682,0.0564424,0.033033,0,0,0.0225549,0,0,0.030103,0.0761504,0.0247376,0.0202445,0.018922,0.0624871,0.0532326,0.0665785,0.082372,0.0537932,0.0309196,0.0210593,0.0175801,0.0310023,0.0167917,0.0290262,0.00937046,0.0233237,0.0597629,0.0486096,0,0,0,0,0
37,0,0,0,0,0.0502939,0.0615341,0,0,0,0.0341727,0,0.0240157,0.0583454,0,0,0.0229544,0,0,0.0396474,0.0568169,0.0323072,0.0380949,0.0254002,0.0717403,0.0454403,0.0501578,0.065105,0.0477288,0.0232526,0.0530707,0.0562341,0.0291406,0.032428,0.0126808,0.0322876,0.0148439,0.0163464,0.0314055,0,0.0255052,0.0563976,0.0329812,0,0,0.0225071,0,0,0.0300692,0.0761529,0.0247131,0.0202196,0.0189066,0.0625545,0.0532052,0.0666159,0.0824012,0.0537851,0.03089,0.0210727,0.0177013,0.0309265,0.0166801,0.0289025,0.00935446,0.0233982,0.0596276,0.0486818,0,0,0,0,0
38,0,0,0,0,0.0502908,0.0614509,0,0,0,0.0339712,0,0.0240209,0.058321,0,0,0.0229895,0,0,0.0396605,0.0568034,0.0323772,0.0381169,0.025442,0.0717907,0.0455057,0.0502262,0.065166,0.0477707,0.0232581,0.0529949,0.0561927,0.0291041,0.0323543,0.0128716,0.0322466,0.0147846,0.0164634,0.0314921,0,0.0256011,0.0563567,0.0329516,0,0,0.0225022,0,0,0.0300146,0.0761291,0.0247116,0.0202231,0.0188624,0.0625983,0.0531586,0.0666564,0.0824309,0.0537773,0.0308888,0.0211101,0.0178175,0.0310048,0.0165846,0.0289377,0.00925655,0.0234669,0.0594989,0.0487232,0,0,0,0,0
