Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,RTIBA
344,0,0,0,0,0.0542142,0.0569938,0,0,0,0.0332868,0,0.0220063,0.0572067,0,0,0.0201344,0,0,0.0404442,0.0598376,0.0315646,0.0331323,0.0301865,0.0677999,0.0463638,0.0489996,0.0634041,0.049312,0.0242371,0.0556842,0.0590618,0.0324021,0.0325954,0.015215,0.0362473,0.0154084,0.0147314,0.0272182,0,0.0265506,0.0565116,0.0316205,0,0,0.0216414,0,0,0.0217482,0.07225,0.0215278,0.0222017,0.0228483,0.0598672,0.038048,0.0649186,0.0794647,0.0532124,0.0345899,0.0231432,0,0.0322809,0.0189937,0.0367178,0.00729706,0.0125899,0.0549462,0.0639561,0,0,0,0,0
345,0,0,0,0,0.0543435,0.0567756,0,0,0,0.0385241,0,0.020319,0.0569991,0,0,0.0204311,0,0,0.0399974,0.05991,0.0360823,0.0331527,0.0325425,0.0681471,0.0461756,0.0503748,0.0635893,0.0485967,0.0243798,0.0538955,0.0590858,0.0306332,0.0278116,0.0194154,0.0362297,0.0156643,0.0149542,0.0280044,0,0.0270017,0.0564667,0.0317807,0,0,0.0217434,0,0,0.0216226,0.0721765,0.0216283,0.0222633,0.0227214,0.060258,0.0379779,0.0650108,0.0795496,0.0531203,0.034536,0.0231093,0,0.0320634,0.0180579,0.0367782,0.00742345,0.0124542,0.054785,0.0640496,0,0,0,0,0
346,0,0,0,0,0.0543697,0.0568157,0,0,0,0.0384472,0,0.0203396,0.057047,0,0,0.0204977,0,0,0.0400675,0.0598785,0.0358898,0.0331274,0.0325448,0.0681665,0.0463061,0.0503944,0.0635435,0.0485829,0.0243654,0.0539329,0.0590706,0.0306735,0.0278894,0.0192022,0.0362337,0.0158161,0.0148788,0.0280188,0,0.0270184,0.0565134,0.0317297,0,0,0.0218345,0,0,0.021537,0.0721903,0.0216609,0.0224679,0.0226714,0.060245,0.0380179,0.0650256,0.0795092,0.0531318,0.0345308,0.0229767,0,0.0321275,0.0180397,0.0367362,0.00738536,0.0124347,0.0549399,0.0640767,0,0,0,0,0
347,0,0,0,0,0.0543789,0.0568551,0,0,0,0.0384461,0,0.0203616,0.0570629,0,0,0.0205472,0,0,0.0400982,0.0598489,0.0357688,0.0330915,0.0325438,0.0681662,0.0464101,0.0503986,0.0634988,0.048563,0.0243681,0.0539639,0.059078,0.0307127,0.027966,0.0190495,0.0362579,0.0158493,0.0148578,0.0280136,0,0.0270032,0.056527,0.0316747,0,0,0.0219401,0,0,0.0214424,0.072187,0.0216513,0.0225809,0.0226338,0.0602427,0.0380516,0.0650335,0.0794847,0.0531598,0.0345713,0.0228962,0,0.0321712,0.0180171,0.036725,0.00734177,0.0123691,0.0550216,0.0640847,0,0,0,0,0
348,0,0,0,0,0.054384,0.05689,0,0,0,0.03861,0,0.0203494,0.0570864,0,0,0.0205442,0,0,0.0400675,0.0598449,0.0357872,0.0330264,0.0325385,0.0680947,0.046451,0.0503721,0.0634628,0.0485608,0.024371,0.0539615,0.0590825,0.0307117,0.0279729,0.019009,0.036302,0.0157985,0.0148559,0.0281099,0,0.0268858,0.0565808,0.0316502,0,0,0.0220235,0,0,0.0213645,0.0721091,0.0216837,0.0225977,0.0225149,0.0602408,0.0380737,0.0651328,0.0794591,0.0531123,0.0347052,0.0229693,0,0.0327057,0.017968,0.0367206,0.00730714,0.0123429,0.0550078,0.0640688,0,0,0,0,0
349,0,0,0,0,0.0543851,0.0568395,0,0,0,0.0388572,0,0.0203091,0.0571399,0,0,0.020506,0,0,0.0401643,0.0598653,0.0359491,0.0328927,0.0325449,0.0679459,0.0464435,0.0503345,0.0634313,0.0485669,0.0243882,0.0539411,0.0590672,0.0306734,0.0279194,0.0190404,0.0363464,0.0158909,0.0148154,0.0283094,0,0.0267566,0.0566867,0.0316579,0,0,0.0216798,0,0,0.0218134,0.0720133,0.0218865,0.0227117,0.0222004,0.0602474,0.0380337,0.0653814,0.0793922,0.0528782,0.0349086,0.0231986,0,0.0343235,0.017965,0.0367445,0.00735151,0.0127167,0.0548875,0.0640686,0,0,0,0,0
350,0,0,0,0,0.0542208,0.0570382,0,0,0,0.0337226,0,0.0219144,0.0573824,0,0,0.0202757,0,0,0.0405852,0.0597786,0.0313925,0.0327533,0.0302679,0.0674057,0.0466582,0.048947,0.063182,0.0492516,0.0242478,0.0557656,0.0590808,0.0324833,0.0326979,0.0148208,0.0364487,0.0157065,0.0144759,0.0275532,0,0.0263372,0.0568301,0.0314602,0,0,0.0215854,0,0,0.0219591,0.0720332,0.0218362,0.0227363,0.0223027,0.0598308,0.0381163,0.0654127,0.0793263,0.0529133,0.0350726,0.0235187,0,0.0353431,0.018898,0.0366651,0.00720165,0.0128564,0.0551653,0.0639444,0,0,0,0,0
351,0,0,0,0,0.0540943,0.0570907,0,0,0,0.0338374,0,0.0218962,0.0574084,0,0,0.0203446,0,0,0.0405838,0.0597716,0.0314334,0.0326862,0.0302132,0.0671562,0.0466931,0.0488679,0.0631552,0.049278,0.0242772,0.0558133,0.0591088,0.0324995,0.0327442,0.0147731,0.0365856,0.0157397,0.0143574,0.0275209,0,0.0263957,0.0568475,0.031367,0,0,0.0220827,0,0,0.0213519,0.0720759,0.0218057,0.0226872,0.0223259,0.0597766,0.0381347,0.065455,0.0793674,0.0528572,0.0349926,0.0235311,0,0.0353345,0.0189391,0.036716,0.00715221,0.0123569,0.0552664,0.0638575,0,0,0,0,0
352,0,0,0,0,0.0540343,0.0570446,0,0,0,0.0339532,0,0.0218636,0.0574585,0,0,0.0202616,0,0,0.0406037,0.0597629,0.0314687,0.0326409,0.0301516,0.0669457,0.0466875,0.0488005,0.0631282,0.0493016,0.0242716,0.0558637,0.0591259,0.0325309,0.0327858,0.0147753,0.0366596,0.0157379,0.0143539,0.0275154,0,0.0263982,0.0568474,0.0313338,0,0,0.022099,0,0,0.0213029,0.0721233,0.0218289,0.0226828,0.022327,0.0597334,0.0381246,0.0655104,0.0794037,0.0528,0.034701,0.0235083,0,0.0352742,0.018962,0.0368268,0.00715358,0.0123398,0.0553931,0.0638303,0,0,0,0,0
353,0,0,0,0,0.0539971,0.0570296,0,0,0,0.0340359,0,0.0218402,0.0574955,0,0,0.0201843,0,0,0.0406127,0.0597758,0.031504,0.032621,0.0300919,0.0667792,0.0466842,0.0487417,0.0630907,0.0493235,0.024265,0.0559131,0.0591656,0.0325713,0.0328325,0.0147534,0.0366954,0.0157187,0.0143981,0.0275112,0,0.0263856,0.0568498,0.0313301,0,0,0.0220665,0,0,0.0212961,0.0721989,0.0218936,0.0226652,0.0223157,0.0596755,0.0381048,0.0655225,0.0793748,0.0527689,0.0347048,0.0234615,0,0.0352517,0.0189767,0.036729,0.00715616,0.0122999,0.055557,0.0638029,0,0,0,0,0
