Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RASI,RTIBI,
465,0,0,0,0,0.0622662,0.0530462,0,0,0,0.0230448,0,0.0164263,0.0492409,0,0,0.0206925,0,0,0.0379322,0.0692395,0.0405299,0.0302552,0.0269463,0.0622129,0.0430266,0.0526685,0.0720985,0.0520027,0.0124474,0.0584741,0.0582126,0.0302588,0.0422256,0.047339,0.0369838,0.0138199,0.0148182,0.0129995,0,0.0273694,0.0330025,0,0,0.0234324,0,0,0.0226317,0.0758357,0.0212259,0.0219269,0.0281253,0.0523095,0.0293173,0.0715026,0.0861782,0.0519554,0.0225956,0.0203484,0.0256036,0.0275944,0.0593413,0.0416024,0.00758852,0.00553455,0.0436336,0.0855313,0,0,0,0,0,0
466,0,0,0,0,0.0622137,0.0532456,0,0,0,0.023005,0,0.0164331,0.0491038,0,0,0.0207308,0,0,0.0378806,0.0693054,0.0405373,0.0303952,0.0269303,0.0623896,0.0425245,0.0526451,0.0720842,0.0520778,0.0124021,0.0584095,0.0581686,0.0302031,0.0422099,0.0475133,0.0368307,0.0137748,0.0147219,0.0129651,0,0.0273804,0.0330452,0,0,0.0232282,0,0,0.0222762,0.0759188,0.0212014,0.0218581,0.0281969,0.0522265,0.0295425,0.0715106,0.0861149,0.0521679,0.0227005,0.0204086,0.0256618,0.0276261,0.059506,0.0414174,0.00724735,0.00593464,0.0437017,0.0854011,0,0,0,0,0,0
467,0,0,0,0,0.0621751,0.0532849,0,0,0,0.0229741,0,0.0164479,0.0490601,0,0,0.020784,0,0,0.0378358,0.0693537,0.0405585,0.0304213,0.0269156,0.0624418,0.0420848,0.0525787,0.0720782,0.0520727,0.0123287,0.0583904,0.0581603,0.0300656,0.0422386,0.0476994,0.0367,0.0137363,0.0146411,0.0129034,0,0.0273854,0.0331037,0,0,0.0230542,0,0,0.0222813,0.0761638,0.0211904,0.0219965,0.0281858,0.0522002,0.0299505,0.0715383,0.0860427,0.0523967,0.0227792,0.0204392,0.025704,0.0276447,0.0595831,0.0415368,0.00704632,0.00620804,0.0436126,0.0853383,0,0,0,0,0,0
468,0,0,0,0,0.0621691,0.053249,0,0,0,0.0229422,0,0.0164726,0.04897,0,0,0.0208138,0,0,0.0377856,0.0694564,0.0405919,0.0303808,0.0268914,0.062404,0.0416931,0.0525909,0.0720593,0.0520682,0.0122974,0.0583567,0.0581114,0.029969,0.0422445,0.0478792,0.0365946,0.0136832,0.0146223,0.0128772,0,0.0273769,0.0331958,0,0,0.0229054,0,0,0.0227371,0.076208,0.0212235,0.0220847,0.0282266,0.0521448,0.0304909,0.0715803,0.0859922,0.0525419,0.0228509,0.0204686,0.0256989,0.0276628,0.0596017,0.0419344,0.00700643,0.00635349,0.0434761,0.085337,0,0,0,0,0,0
469,0,0,0,0,0.0622244,0.0532213,0,0,0,0.0228838,0,0.0164935,0.0487993,0,0,0.0208187,0,0,0.0377443,0.0695546,0.0406147,0.0303652,0.0268395,0.0623951,0.0413592,0.0525957,0.0720088,0.0520754,0.0122968,0.0582865,0.0580349,0.0299282,0.0422104,0.0479791,0.0365355,0.0136306,0.0146066,0.0128998,0,0.0274042,0.0332708,0,0,0.0228382,0,0,0.0231956,0.0761353,0.0212594,0.0220459,0.0283229,0.0520401,0.03095,0.0716601,0.085949,0.0526053,0.0229164,0.0204889,0.0256658,0.0276494,0.0596522,0.0422691,0.00705308,0.00649918,0.0434113,0.0854045,0,0,0,0,0,0
470,0,0,0,0,0.0623383,0.0532535,0,0,0,0.0228427,0,0.0165163,0.0486298,0,0,0.0208117,0,0,0.0376979,0.0696314,0.0406117,0.0303265,0.0268047,0.0623525,0.0410456,0.0525927,0.0719499,0.0521099,0.012272,0.0582245,0.0579928,0.0299681,0.0421655,0.0480498,0.0365041,0.0136101,0.0145685,0.0129408,0,0.0274349,0.0333024,0,0,0.0226944,0,0,0.0234368,0.0761206,0.0213076,0.022003,0.0284003,0.0519222,0.0312459,0.0716456,0.0858988,0.0525831,0.0230126,0.0205083,0.0256226,0.027618,0.0597882,0.042291,0.0072959,0.00656937,0.0434919,0.0855247,0,0,0,0,0,0
471,0,0,0,0,0.0624889,0.0532993,0,0,0,0.0228334,0,0.0165291,0.0485629,0,0,0.0207888,0,0,0.0376375,0.069657,0.0406162,0.0302745,0.0268263,0.0622251,0.0407717,0.0525087,0.0719712,0.0521437,0.0121967,0.0582246,0.0579847,0.0299979,0.0421625,0.0481269,0.0365104,0.0135873,0.0145339,0.0129644,0,0.0274501,0.0333356,0,0,0.0225344,0,0,0.0235602,0.0761088,0.0213479,0.022062,0.0284273,0.0518183,0.031381,0.0715415,0.0858357,0.0524654,0.0231093,0.0205095,0.0255942,0.0275714,0.0598133,0.0423909,0.00750331,0.00651357,0.0436219,0.0856825,0,0,0,0,0,0
472,0,0,0,0,0.0626114,0.0533401,0,0,0,0.0228443,0,0.0165264,0.0485713,0,0,0.020792,0,0,0.0375962,0.0696509,0.0406196,0.0301985,0.0268569,0.0620413,0.0405476,0.0522723,0.0720019,0.0521454,0.0121218,0.0582521,0.0579979,0.0300243,0.0421816,0.0482268,0.0365509,0.0135872,0.0144905,0.0129565,0,0.0274252,0.03333,0,0,0.0222074,0,0,0.0234186,0.075995,0.021395,0.0221381,0.0284512,0.0517241,0.03136,0.0714765,0.0857888,0.0522535,0.0231376,0.0205013,0.0255886,0.0275148,0.0599685,0.0427507,0.00752727,0.00649685,0.043762,0.085876,0,0,0,0,0,0
473,0,0,0,0,0.0627205,0.0533733,0,0,0,0.022883,0,0.0165321,0.048596,0,0,0.0208339,0,0,0.0375827,0.0696589,0.0406093,0.0301299,0.0268939,0.0618768,0.0403629,0.0518837,0.0720538,0.0521031,0.0121142,0.0582643,0.0580053,0.0300276,0.0422132,0.0483377,0.0365959,0.0135953,0.0144523,0.0129866,0,0.0273904,0.033329,0,0,0.0220894,0,0,0.0233222,0.0758035,0.0214512,0.0220569,0.0285031,0.0514746,0.0312397,0.0714379,0.0857813,0.0519961,0.0230819,0.0205292,0.0255688,0.0274826,0.0601179,0.0431265,0.00756589,0.00654096,0.0438829,0.0860717,0,0,0,0,0,0
474,0,0,0,0,0.0628236,0.053422,0,0,0,0.0229069,0,0.0165438,0.0486403,0,0,0.0208997,0,0,0.0375596,0.0696701,0.0406424,0.0300692,0.0269119,0.0617404,0.0401869,0.0518679,0.0720504,0.0520302,0.0121807,0.0582655,0.0579963,0.0300182,0.0422315,0.0484819,0.0366341,0.013612,0.0144031,0.013016,0,0.0273771,0.0333807,0,0,0.0221263,0,0,0.0234112,0.0758397,0.0214834,0.0220611,0.0285981,0.0513408,0.0311139,0.0715009,0.0858117,0.0519493,0.0230354,0.0205714,0.0254824,0.027465,0.060255,0.0433039,0.00770512,0.0065549,0.0440565,0.0862301,0,0,0,0,0,0
475,0,0,0,0,0.0629043,0.0534959,0,0,0,0.0229021,0,0.0165441,0.0487589,0,0,0.0209647,0,0,0.0375193,0.0696299,0.0407016,0.0300204,0.0269002,0.0616445,0.0400198,0.0521845,0.0720088,0.051955,0.0122458,0.0582822,0.0579747,0.0300109,0.0422682,0.0485781,0.036645,0.0136309,0.0143457,0.0130246,0,0.0274425,0.0335221,0,0,0.0221027,0,0,0.0235781,0.0758882,0.0214877,0.0221164,0.0286719,0.0513776,0.031049,0.0715473,0.0858251,0.0520571,0.0231594,0.0206046,0.0253674,0.0274686,0.0603246,0.0433011,0.00788176,0.00653513,0.0442298,0.086355,0,0,0,0,0,0
476,0,0,0,0,0.0629613,0.0535895,0,0,0,0.0229156,0,0.016545,0.0488969,0,0,0.0210108,0,0,0.037479,0.0695988,0.0406889,0.0299899,0.0268916,0.0615872,0.0399056,0.0523387,0.0719749,0.0519132,0.0122839,0.0583068,0.0579829,0.0300183,0.0423064,0.0485469,0.0366399,0.013654,0.0143018,0.0130194,0,0.0275233,0.0336665,0,0,0.0221474,0,0,0.0236739,0.0759366,0.0214854,0.022061,0.0287554,0.0513332,0.0310295,0.0715175,0.085786,0.0521499,0.0234801,0.0206382,0.0252318,0.0274751,0.0603223,0.0432596,0.00794411,0.0065099,0.0443167,0.0864473,0,0,0,0,0,0
477,0,0,0,0,0.0629894,0.0536438,0,0,0,0.0229144,0,0.016562,0.0495617,0,0,0.0210442,0,0,0.03744,0.0693605,0.0406619,0.0298088,0.02687,0.0614939,0.0396998,0.0522512,0.0719647,0.0519466,0.0121046,0.0583414,0.0580341,0.0300618,0.0423107,0.0487133,0.0365667,0.0136989,0.0142219,0.0103214,0,0.0277115,0.033749,0,0,0.0222545,0,0,0.0236707,0.0754044,0.021839,0.0218542,0.0283679,0.0514555,0.0311169,0.0725727,0.0868528,0.0520006,0.0231748,0.0198328,0,0.0264038,0.0551083,0.0431948,0.00785476,0.0065477,0.0442896,0.086458,0,0,0,0,0,0
478,0,0,0,0,0.0630026,0.0536228,0,0,0,0.0229128,0,0.0165655,0.0490157,0,0,0.0210579,0,0,0.0374305,0.0696093,0.0406526,0.029946,0.0268685,0.0615335,0.0397626,0.0523937,0.071976,0.0519048,0.0123798,0.0582985,0.0580037,0.0299728,0.0422643,0.0483188,0.0365356,0.0137406,0.0142137,0.0131164,0,0.0274483,0.0336559,0,0,0.0224327,0,0,0.0234537,0.0758231,0.0215436,0.0218631,0.0288227,0.0511866,0.031123,0.0714806,0.0857763,0.0522211,0.0234747,0.0206855,0.025373,0.0274943,0.0604371,0.0432212,0.00782119,0.00644965,0.0442192,0.0865144,0,0,0,0,0,0
479,0,0,0,0,0.0630115,0.0535169,0,0,0,0.0228509,0,0.0165774,0.049657,0,0,0.0210583,0,0,0.0374263,0.0693421,0.0406699,0.0298061,0.0267873,0.0614801,0.0394893,0.0523317,0.0719976,0.051964,0.0122103,0.0583344,0.058067,0.0299539,0.0422383,0.0484809,0.0364902,0.0136838,0.0142247,0.0103284,0,0.0276433,0.0337418,0,0,0.0221345,0,0,0.0235675,0.0751919,0.0217927,0.0216316,0.0283534,0.0512988,0.0313126,0.072554,0.0868536,0.0519759,0.0228592,0.0198763,0,0.0264776,0.0551197,0.0432031,0.00783876,0.00668662,0.0441741,0.0865326,0,0,0,0,0,0
480,0,0,0,0,0.0630144,0.0534263,0,0,0,0.0228418,0,0.0165647,0.0491259,0,0,0.021082,0,0,0.0374398,0.0695121,0.040671,0.0299497,0.0267433,0.0615011,0.0395085,0.0524875,0.0719747,0.0519279,0.0124715,0.0583225,0.0580456,0.0299361,0.0422253,0.0481616,0.0364567,0.0137209,0.014209,0.013056,0,0.0274182,0.0337166,0,0,0.0220255,0,0,0.0234156,0.0756772,0.0214544,0.0217776,0.0287424,0.0509904,0.0314073,0.0713956,0.085752,0.052133,0.0228851,0.0206756,0.0256238,0.027528,0.0603249,0.0433323,0.00784595,0.00663938,0.044267,0.086603,0,0,0,0,0,0
481,0,0,0,0,0.0630263,0.0533495,0,0,0,0.0228509,0,0.0165427,0.049134,0,0,0.0210873,0,0,0.0374668,0.0694465,0.0406607,0.0299456,0.0266954,0.0614855,0.0394016,0.0525522,0.0719693,0.0519316,0.0125339,0.0583622,0.0580887,0.0299568,0.0422482,0.048077,0.0364201,0.0137279,0.0141945,0.0129772,0,0.0274225,0.0337498,0,0,0.0217012,0,0,0.023318,0.0756901,0.0214443,0.021832,0.0287334,0.0509501,0.0315704,0.0713647,0.0857194,0.0521259,0.022762,0.0206864,0.0256771,0.0275158,0.060216,0.043412,0.00782662,0.00668433,0.0442141,0.086656,0,0,0,0,0,0
482,0,0,0,0,0.0630878,0.053294,0,0,0,0.022883,0,0.0165238,0.0491135,0,0,0.0210911,0,0,0.0375216,0.0694291,0.0406551,0.0299921,0.0266498,0.06151,0.0392996,0.0526637,0.0719881,0.051947,0.0126097,0.0584217,0.0581473,0.0300577,0.0422887,0.0479148,0.0363989,0.0137618,0.0141883,0.0129223,0,0.0274451,0.0338436,0,0,0.0216584,0,0,0.0233085,0.075685,0.0214039,0.0217224,0.0287742,0.0509176,0.0316293,0.0713481,0.0857016,0.0522075,0.0227428,0.0207227,0.025707,0.0275485,0.0601218,0.0433874,0.00784662,0.00672009,0.0441805,0.0867,0,0,0,0,0,0
483,0,0,0,0,0.0631601,0.0532788,0,0,0,0.0229054,0,0.0164894,0.0491031,0,0,0.0211123,0,0,0.0375816,0.0693926,0.0406477,0.0300423,0.0266408,0.0614897,0.0391843,0.0527943,0.0720396,0.0519426,0.0126672,0.0584865,0.0582223,0.0301165,0.0423446,0.0478603,0.0363732,0.0137798,0.0141965,0.0128528,0,0.0274071,0.0339763,0,0,0.0216977,0,0,0.0234574,0.0756627,0.0213178,0.0216581,0.0287637,0.0508952,0.0316463,0.0713388,0.0857192,0.0524081,0.0227613,0.0207284,0.025734,0.0276078,0.0599821,0.0432964,0.00786083,0.00675158,0.0442318,0.086723,0,0,0,0,0,0
484,0,0,0,0,0.0631944,0.0533302,0,0,0,0.0229173,0,0.0164726,0.0491846,0,0,0.0212151,0,0,0.0375483,0.0693307,0.0406283,0.0300669,0.0266429,0.0614066,0.0391285,0.0528405,0.0720667,0.0519196,0.012697,0.0585477,0.0583104,0.0301313,0.0423878,0.0478269,0.0363418,0.0139436,0.0139956,0.0127619,0,0.0273565,0.0340481,0,0,0.0222934,0,0,0.0232004,0.0756399,0.0212746,0.0216677,0.0286762,0.0508407,0.0315703,0.0713339,0.0857497,0.0525376,0.0227846,0.020717,0.0257448,0.0276573,0.059816,0.0432342,0.00777315,0.00658873,0.0443738,0.0867167,0,0,0,0,0,0
485,0,0,0,0,0.0632725,0.0533084,0,0,0,0.0229588,0,0.0164674,0.0492243,0,0,0.0211908,0,0,0.0375672,0.0692742,0.0406326,0.0300801,0.0266241,0.0614028,0.0390317,0.0527345,0.0721305,0.0519111,0.0127418,0.0585843,0.0583589,0.0302416,0.0424043,0.0478203,0.0363123,0.0138611,0.0140379,0.0127067,0,0.0273239,0.0341739,0,0,0.0222596,0,0,0.0234202,0.0756295,0.0212685,0.021653,0.0286229,0.0507909,0.0315553,0.0713105,0.0857685,0.0525495,0.0227985,0.0207282,0.0257449,0.0277218,0.0596517,0.0431077,0.00783592,0.00661646,0.0443961,0.0867292,0,0,0,0,0,0
486,0,0,0,0,0.0633105,0.0532865,0,0,0,0.0229775,0,0.0164551,0.0492051,0,0,0.0211753,0,0,0.0375783,0.0692524,0.0405869,0.0300764,0.026555,0.0614177,0.038923,0.0524887,0.0721864,0.0519123,0.0128135,0.0585935,0.0583883,0.0302774,0.042394,0.0477325,0.0362927,0.013804,0.0140499,0.0126516,0,0.0273029,0.0342473,0,0,0.022183,0,0,0.0234433,0.0756776,0.0213044,0.021584,0.028573,0.050738,0.0315772,0.0712754,0.0857904,0.0524968,0.0227716,0.020736,0.0257486,0.0277719,0.0595293,0.0429933,0.00789694,0.00666208,0.0444121,0.0867183,0,0,0,0,0,0
487,0,0,0,0,0.0633327,0.053273,0,0,0,0.0229562,0,0.016435,0.0491354,0,0,0.0211725,0,0,0.0375777,0.0692044,0.0405181,0.0300984,0.0264896,0.0614393,0.0388049,0.0525173,0.072209,0.0519147,0.0128861,0.0585873,0.0584068,0.0302135,0.0423802,0.0476019,0.036279,0.0137697,0.0140471,0.012618,0,0.0272939,0.0342953,0,0,0.021958,0,0,0.0234467,0.0758632,0.0213382,0.0215282,0.0285073,0.0507295,0.0316508,0.0712054,0.0858172,0.0524307,0.0227353,0.0207411,0.025734,0.0277919,0.0593986,0.0429156,0.00793783,0.00668895,0.0444229,0.0867114,0,0,0,0,0,0
488,0,0,0,0,0.0633646,0.0532584,0,0,0,0.0229389,0,0.0164204,0.0491028,0,0,0.0211499,0,0,0.0375679,0.0691485,0.0404501,0.0301404,0.0264659,0.0614589,0.0387509,0.052793,0.0722288,0.0519045,0.0129278,0.0585878,0.0584435,0.0301734,0.0423518,0.0474964,0.0362411,0.0137245,0.0140623,0.0125548,0,0.0272575,0.034323,0,0,0.0218358,0,0,0.0234883,0.0759061,0.0213593,0.0214405,0.0284178,0.050747,0.0317538,0.0711525,0.0858587,0.0522967,0.0227035,0.0207212,0.0256576,0.0277611,0.0592462,0.0428791,0.00802719,0.00669441,0.0444416,0.0867233,0,0,0,0,0,0
489,0,0,0,0,0.0633914,0.0532562,0,0,0,0.0229304,0,0.0163976,0.0490621,0,0,0.0211298,0,0,0.0375761,0.0690729,0.0403998,0.0301688,0.0264326,0.061479,0.0387291,0.0529518,0.0722845,0.0519011,0.0129609,0.0585984,0.0584948,0.0302183,0.0423163,0.0474187,0.036178,0.0136848,0.0140805,0.0125169,0,0.0272405,0.034321,0,0,0.0217934,0,0,0.0235093,0.0757553,0.0213313,0.021294,0.028374,0.0507995,0.0318561,0.071148,0.0858617,0.0522182,0.0226784,0.0207255,0.0255194,0.0277537,0.0591637,0.0428876,0.00802803,0.00670231,0.0444657,0.086727,0,0,0,0,0,0
490,0,0,0,0,0.0633916,0.053234,0,0,0,0.0229372,0,0.0163821,0.0489803,0,0,0.0211201,0,0,0.0375955,0.0689629,0.0403189,0.0301845,0.0263708,0.0615125,0.0386814,0.0530206,0.0723577,0.0519098,0.0129843,0.058592,0.0585233,0.0302659,0.0422493,0.0473717,0.0361308,0.0136644,0.014091,0.0125582,0,0.027221,0.0343226,0,0,0.0217702,0,0,0.0235447,0.0756404,0.0213214,0.0212594,0.0283833,0.0508814,0.0319685,0.0711249,0.0858361,0.0521338,0.0226025,0.0207536,0.0255405,0.027782,0.0591747,0.0428866,0.00791458,0.00668796,0.0444744,0.0866999,0,0,0,0,0,0
491,0,0,0,0,0.0633807,0.0532187,0,0,0,0.0229268,0,0.0163584,0.0489513,0,0,0.0211185,0,0,0.0376199,0.0688616,0.040181,0.0302061,0.0263161,0.0615338,0.0386373,0.0530491,0.0723934,0.0519127,0.0130334,0.0585869,0.0585573,0.0301726,0.042159,0.047239,0.0360792,0.0136646,0.0140878,0.0125897,0,0.0272126,0.0343493,0,0,0.0218215,0,0,0.0236531,0.075681,0.0213399,0.021271,0.0284527,0.0509625,0.0320425,0.0710841,0.0858242,0.0519616,0.0225084,0.0208115,0.0255881,0.0278276,0.0591793,0.0428155,0.0078741,0.00668754,0.0444887,0.0866715,0,0,0,0,0,0
492,0,0,0,0,0.0633815,0.0532087,0,0,0,0.0229068,0,0.0163304,0.0489164,0,0,0.0211249,0,0,0.0376637,0.0687235,0.0400362,0.0302111,0.0262649,0.0615605,0.0386336,0.0529298,0.0724438,0.0519227,0.013125,0.0585777,0.0585954,0.0301133,0.0420782,0.0470616,0.0359861,0.0136572,0.0140895,0.0125667,0,0.0271853,0.0343555,0,0,0.021829,0,0,0.023611,0.0755663,0.0213571,0.0211572,0.0283974,0.0510073,0.0320931,0.0710492,0.0858343,0.0519328,0.0224528,0.0208434,0.025621,0.0278616,0.0590725,0.0427301,0.00789883,0.00667144,0.0444912,0.086651,0,0,0,0,0,0
493,0,0,0,0,0.0634079,0.0531917,0,0,0,0.0228914,0,0.0163067,0.0488055,0,0,0.0211314,0,0,0.0376709,0.0685192,0.0399085,0.0302314,0.0262327,0.0615908,0.0386632,0.0526447,0.0725073,0.051948,0.0132133,0.0585892,0.0586325,0.0301575,0.0420251,0.046853,0.0359187,0.0136564,0.0140922,0.0125074,0,0.0272074,0.0343562,0,0,0.0217625,0,0,0.0234631,0.0754541,0.0213521,0.0210744,0.028228,0.0510064,0.0321397,0.0710373,0.0858659,0.0521908,0.0224287,0.0208603,0.0256693,0.0278792,0.0588126,0.0426979,0.00798933,0.00665393,0.0445042,0.0866443,0,0,0,0,0,0
494,0,0,0,0,0.0634103,0.0531713,0,0,0,0.0229009,0,0.0162906,0.0487021,0,0,0.0211318,0,0,0.0376773,0.0682878,0.0398109,0.0302722,0.0262037,0.0616293,0.0386418,0.0526031,0.0725505,0.0519533,0.0132724,0.0586185,0.0586738,0.0302474,0.0419983,0.0466076,0.035878,0.013677,0.0140827,0.0124341,0,0.0272239,0.0343714,0,0,0.0217527,0,0,0.0234017,0.0754259,0.0213233,0.0210049,0.0281565,0.0510179,0.032166,0.0710366,0.0859203,0.0523199,0.0224162,0.0208568,0.0257406,0.0278783,0.0587192,0.0426498,0.00809225,0.00665939,0.0445107,0.0866114,0,0,0,0,0,0
495,0,0,0,0,0.0633936,0.0531662,0,0,0,0.0229387,0,0.01626,0.0486992,0,0,0.0211359,0,0,0.0376902,0.0680686,0.0397103,0.0303137,0.0261585,0.0616582,0.0385897,0.0528249,0.0726104,0.0519421,0.013315,0.0586613,0.0587534,0.0302539,0.0419994,0.0463412,0.0358068,0.0136987,0.0140523,0.0123941,0,0.0272464,0.0343866,0,0,0.0217864,0,0,0.0234414,0.0754099,0.0212955,0.0209426,0.0281388,0.0510581,0.0321872,0.0710552,0.0859746,0.0524419,0.0224331,0.0208621,0.0258085,0.0278801,0.0587272,0.0426012,0.00820471,0.00671329,0.044532,0.0865483,0,0,0,0,0,0
496,0,0,0,0,0.0633738,0.0531691,0,0,0,0.0229666,0,0.0162161,0.0486743,0,0,0.0211671,0,0,0.0377206,0.0678455,0.0395847,0.0303692,0.026111,0.0616956,0.038563,0.0529039,0.0726817,0.051953,0.0133437,0.0586848,0.0588301,0.0303197,0.0419835,0.0460622,0.0357083,0.0137215,0.0140066,0.012382,0,0.0272296,0.0344021,0,0,0.0218185,0,0,0.0235308,0.0753925,0.0212865,0.0209071,0.0280527,0.0511174,0.0322194,0.0710631,0.0859907,0.0524775,0.0224843,0.0208573,0.0258572,0.0278717,0.0586508,0.0425575,0.00822993,0.00679647,0.0445616,0.0864528,0,0,0,0,0,0
497,0,0,0,0,0.0633352,0.0531653,0,0,0,0.0229924,0,0.01617,0.0485466,0,0,0.0212146,0,0,0.0377618,0.0676143,0.0394326,0.0304404,0.0260427,0.0617722,0.0385591,0.0528993,0.0726957,0.0519936,0.0133807,0.0587098,0.0588804,0.0304577,0.0419404,0.0457438,0.0356288,0.013749,0.013979,0.0123684,0,0.0272057,0.0343992,0,0,0.021807,0,0,0.023533,0.0753418,0.0212735,0.0207891,0.0280107,0.0511668,0.0322887,0.071066,0.0860141,0.0525133,0.0225358,0.0208658,0.0259002,0.0279009,0.0585207,0.0424788,0.00823851,0.00689113,0.04459,0.0863319,0,0,0,0,0,0
498,0,0,0,0,0.0632052,0.0531494,0,0,0,0.0230422,0,0.0161426,0.048433,0,0,0.0212434,0,0,0.0377979,0.0673451,0.0392583,0.0305111,0.0259453,0.0618572,0.0385216,0.0529634,0.0726121,0.0520309,0.0134394,0.0587532,0.0589445,0.030548,0.041905,0.0454453,0.0355475,0.0137557,0.0139742,0.0123259,0,0.0272045,0.0343786,0,0,0.0218335,0,0,0.0235637,0.0752903,0.021277,0.0207344,0.0279623,0.0511939,0.0323707,0.071078,0.0860459,0.0525304,0.0225934,0.0208789,0.0259395,0.0278979,0.0584251,0.042371,0.00819754,0.00702047,0.04464,0.0861767,0,0,0,0,0,0
499,0,0,0,0,0.0630337,0.0531347,0,0,0,0.0230739,0,0.0161321,0.048335,0,0,0.0212244,0,0,0.037809,0.0670625,0.0390858,0.0305714,0.0258286,0.0619471,0.0384523,0.0530356,0.0725388,0.0520386,0.0135168,0.0587843,0.059013,0.0306036,0.0418643,0.0451558,0.035428,0.0137473,0.0139743,0.0122931,0,0.0271653,0.0343486,0,0,0.0219657,0,0,0.0235478,0.075287,0.0212779,0.0207629,0.0279121,0.0512263,0.0324794,0.0710741,0.0860646,0.0524805,0.0226789,0.0208767,0.025974,0.0278637,0.0582492,0.0422896,0.00811885,0.00715707,0.0447332,0.086019,0,0,0,0,0,0
500,0,0,0,0,0.0629727,0.0531534,0,0,0,0.0230779,0,0.0161174,0.0482745,0,0,0.0211853,0,0,0.0378161,0.0667972,0.0389276,0.0306449,0.0257113,0.0620221,0.0383864,0.0529441,0.0725582,0.0520575,0.013593,0.0587731,0.0590518,0.0305935,0.041818,0.0448316,0.0353275,0.0137313,0.0139741,0.0122411,0,0.0271059,0.0343504,0,0,0.022222,0,0,0.0235955,0.0753567,0.0212847,0.0208359,0.0278431,0.0513113,0.0325777,0.0710747,0.086046,0.052447,0.0227891,0.0208449,0.026,0.0278607,0.0580598,0.0422022,0.00808904,0.00731163,0.0448722,0.0858717,0,0,0,0,0,0
501,0,0,0,0,0.062863,0.0531794,0,0,0,0.0230966,0,0.0160828,0.0481288,0,0,0.0211701,0,0,0.0378573,0.0667307,0.0387535,0.0307108,0.0256042,0.0621354,0.0383096,0.05267,0.0726894,0.0520813,0.013708,0.0587215,0.0590536,0.0305292,0.0417331,0.0444083,0.0352522,0.0137129,0.0139949,0.0122198,0,0.0271051,0.0343841,0,0,0.0222317,0,0,0.0236519,0.0754273,0.0213274,0.0207127,0.02774,0.0513692,0.0326679,0.0710716,0.0860407,0.0524362,0.0228553,0.0208314,0.026019,0.0278748,0.0579379,0.0421216,0.00806629,0.0074744,0.0450549,0.0857236,0,0,0,0,0,0
502,0,0,0,0,0.062708,0.0532031,0,0,0,0.0231271,0,0.0160553,0.0479752,0,0,0.0211497,0,0,0.0378641,0.0666999,0.0385848,0.0307799,0.0255128,0.0622185,0.0382094,0.0525794,0.0727918,0.0520997,0.01379,0.058656,0.0590534,0.0304907,0.0416151,0.0439755,0.0351712,0.0136764,0.0140001,0.0121894,0,0.027093,0.0344163,0,0,0.0220313,0,0,0.0236929,0.0753099,0.0213422,0.0205618,0.0276543,0.0514128,0.0327853,0.0710711,0.0860521,0.0524306,0.0228532,0.0208548,0.0260388,0.0278999,0.0578038,0.042026,0.00801391,0.00764139,0.0451021,0.0855747,0,0,0,0,0,0
503,0,0,0,0,0.0625573,0.0532169,0,0,0,0.0231543,0,0.0160309,0.0479203,0,0,0.0211283,0,0,0.0378858,0.0665839,0.0384141,0.0308448,0.0254333,0.0622527,0.0381209,0.0526224,0.0728514,0.052133,0.013878,0.0585997,0.0590534,0.0304769,0.0414995,0.0435531,0.0350662,0.0136649,0.0140007,0.0121317,0,0.027037,0.0344515,0,0,0.0219589,0,0,0.0237149,0.0752657,0.0213324,0.0205068,0.0275772,0.0514204,0.0329201,0.071054,0.0860691,0.0524365,0.0228672,0.0208769,0.0260824,0.0279263,0.0576552,0.0419242,0.00798417,0.00781746,0.045025,0.0854409,0,0,0,0,0,0
504,0,0,0,0,0.0625326,0.0532303,0,0,0,0.0231775,0,0.0160224,0.047837,0,0,0.021112,0,0,0.0379021,0.0664056,0.038216,0.0308872,0.0253159,0.0623066,0.0380303,0.0527503,0.0729067,0.0522001,0.0139882,0.0585602,0.0590418,0.0304502,0.041363,0.0431092,0.0349776,0.0136713,0.0139957,0.0120362,0,0.0269794,0.0344715,0,0,0.022045,0,0,0.0237055,0.0753058,0.0213444,0.0204629,0.027452,0.0514405,0.0330068,0.0710078,0.0860749,0.0524546,0.0229154,0.0208654,0.0261195,0.0279151,0.0575134,0.0418338,0.00793369,0.00797393,0.0450115,0.0853196,0,0,0,0,0,0
