Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,RTIBI
9,0.0156094,0.0173806,0,0,0,0.0449615,0.0216497,0.0305754,0.00391092,0,0,0,0,0.0133552,0,0.0168666,0.0075339,0.0372246,0.0251136,0.020812,0.013973,0,0,0.0160508,0.0184762,0.00821519,0.0195886,0.0151713,0.0311301,0.00891381,0.0176481,0.014036,0.0109198,0,0.0434604,0,0.0106892,0.00549678,0.00489068,0.0203017,0.0287721,0.0120373,0.0103559,0.00492193,0,0,0.0492696,0,0.030574,0.0326089,0.0385938,0.036427,0.0299652,0.00499857,0.0181017,0.0157002,0.0215194,0.0142816,0.0247259,0.0256421,0.0206524,0.0110467,0.0264178,0.0366448,0.0164046,0.0206047,0.0314998,0.0196282,0.00609558,0,0,0,0,0.0165942
10,0.0156202,0.0174081,0,0,0,0.0463824,0.0214955,0.0305828,0.00411732,0,0,0,0,0.012981,0,0.0168274,0.00736101,0.0369665,0.0244643,0.0208232,0.0140758,0,0,0.0162441,0.0183549,0.00825241,0.0195776,0.0151671,0.0315405,0.00906735,0.0182979,0.0144835,0.0104879,0,0.0453722,0,0.0108088,0.00532284,0.00483474,0.018788,0.0287262,0.0117404,0.00973979,0.00499321,0,0,0.0492086,0,0.0305032,0.0324433,0.0387731,0.0342635,0.0300233,0.00497542,0.0170427,0.0155176,0.0212212,0.0142021,0.0247327,0.0249838,0.0205473,0.0111816,0.0257297,0.0336661,0.01632,0.0204672,0.0312568,0.0193453,0.00636797,0,0,0,0,0.0162568
11,0.0155581,0.0173475,0,0,0,0.0476955,0.0213277,0.0305298,0.00427078,0,0,0,0,0.0125194,0,0.016802,0.00717151,0.0367273,0.0238363,0.0208881,0.0137362,0,0,0.0166307,0.0180939,0.0080876,0.0193881,0.0151506,0.0320557,0.0090824,0.0186946,0.0146263,0.00995721,0,0.0471923,0,0.0109861,0.00520239,0.0047534,0.0166948,0.0287021,0.0114783,0.00900514,0.00514712,0,0,0.0494118,0,0.0304324,0.0324253,0.0384506,0.0313481,0.0300141,0.005276,0.0162654,0.01537,0.0207543,0.0144284,0.0246081,0.0242652,0.0205641,0.0111013,0.0251752,0.030436,0.0163134,0.0204785,0.0312301,0.0188676,0.00639753,0,0,0,0,0.0162754
12,0.0155552,0.0173122,0,0,0,0.0493018,0.0212044,0.0309291,0.0045037,0,0,0,0,0.0122094,0,0.0168493,0.00696425,0.036574,0.0237421,0.0210989,0.0132818,0,0,0.0171872,0.01778,0.00799214,0.0190935,0.0150789,0.0325993,0.00908048,0.0188457,0.0148194,0.00956552,0,0.0491956,0,0.0110366,0.00517355,0.00465527,0.014593,0.0286738,0.0110407,0.00820872,0.00536388,0,0,0.0493255,0,0.0303751,0.0324043,0.0378794,0.0285254,0.0299857,0.00579529,0.0158445,0.0152629,0.0202657,0.0147382,0.0239886,0.023623,0.0204248,0.0108631,0.0244833,0.0275279,0.0163093,0.0205498,0.0311446,0.0183439,0.00636761,0,0,0,0,0.0162838
13,0.015638,0.0173216,0,0,0,0.0509352,0.0211329,0.0315305,0.00481594,0,0,0,0,0.011981,0,0.0168584,0.00679101,0.0365368,0.0241467,0.0213398,0.0126632,0,0,0.0178652,0.0174669,0.0078465,0.0186085,0.0148037,0.0330779,0.00886286,0.0185097,0.0148635,0.00934608,0,0.0510324,0,0.0110358,0.00513182,0.00461628,0.0128828,0.0286155,0.0104493,0.00739952,0.00553925,0,0,0.0490133,0,0.0302993,0.0324064,0.0372481,0.0259488,0.0299372,0.00684232,0.0157719,0.015227,0.0198656,0.0150507,0.0234934,0.023061,0.0201454,0.0106521,0.023619,0.0251087,0.016336,0.0206112,0.0309984,0.0178994,0.00646384,0,0,0,0,0.0163186
14,0.0158232,0.0172575,0,0,0,0.0522689,0.0209977,0.0322395,0.00545932,0,0,0,0,0.0116325,0,0.0167888,0.00660283,0.0365424,0.024953,0.0213999,0.0119374,0,0,0.0183723,0.0170598,0.00763215,0.0179846,0.0144453,0.0333689,0.00832432,0.0177244,0.0148469,0.0093363,0,0.0524237,0,0.0110002,0.00507171,0.0045332,0.0117284,0.0286351,0.00977543,0.00662742,0.00572193,0,0,0.048693,0,0.0303017,0.0324551,0.0368204,0.0236589,0.0299639,0.00782346,0.0156359,0.0151905,0.0196094,0.0146989,0.0233471,0.022559,0.0196581,0.0106818,0.0225644,0.0225979,0.0163841,0.0206795,0.0309164,0.0174791,0.00655867,0,0,0,0,0.0160518
15,0.016003,0.0172061,0,0,0,0.0535872,0.0209093,0.0329904,0.00590919,0,0,0,0,0.0113389,0,0.0167587,0.0064512,0.036493,0.0258568,0.0214591,0.0112393,0,0,0.0189134,0.0166609,0.00731883,0.0174348,0.0140406,0.0335468,0.00763064,0.016707,0.0147634,0.0093515,0,0.0537593,0,0.0108918,0.00501143,0.0044788,0.0109901,0.0286573,0.00917878,0.00624418,0.00596504,0,0,0.0489364,0,0.0302839,0.0326231,0.0366874,0.0218001,0.029932,0.00834455,0.0157388,0.0152837,0.0193893,0.0142298,0.0231045,0.0220394,0.0190719,0.0106932,0.0214046,0.0202333,0.0164596,0.0208294,0.0310049,0.0172103,0.00678982,0,0,0,0,0.0156917
16,0.0161274,0.0171536,0,0,0,0.0550091,0.0209099,0.0337785,0.00631657,0,0,0,0,0.0111905,0,0.0167632,0.00635338,0.0364203,0.0266812,0.021532,0.0107392,0,0,0.019366,0.0162634,0.00709065,0.0170005,0.013687,0.0336781,0.00700932,0.0159565,0.0145694,0.00937842,0,0.05519,0,0.0107455,0.00503655,0.00446317,0.010378,0.0286713,0.00880397,0.00560372,0.00621038,0,0,0.0491745,0,0.030256,0.0328428,0.0368341,0.0204077,0.0298657,0.00850746,0.0158805,0.0154269,0.0191056,0.014107,0.0226383,0.021634,0.0186153,0.0104507,0.0202839,0.0180861,0.0165314,0.0210365,0.0311966,0.0170211,0.00713227,0,0,0,0,0.01587
17,0.0161818,0.0170614,0,0,0,0.0565662,0.0209743,0.0345448,0.00670577,0,0,0,0,0.0110903,0,0.0167764,0.00631914,0.0363388,0.0273202,0.0216517,0.0104795,0,0,0.0196754,0.0158444,0.00700296,0.0167581,0.013604,0.033849,0.00669185,0.0157075,0.0145207,0.00931881,0,0.0568257,0,0.0105915,0.00505955,0.00444483,0.00982317,0.0286486,0.0086683,0.0047259,0.00642502,0,0,0.0493358,0,0.0301733,0.0331052,0.0371985,0.0195616,0.0298349,0.00841327,0.0159636,0.0155654,0.018793,0.0142073,0.0221567,0.0213792,0.018406,0.0100502,0.0193878,0.0163986,0.0166354,0.0212997,0.0314884,0.0169159,0.00751998,0,0,0,0,0.0162608
18,0.0161896,0.0169655,0,0,0,0.0581289,0.0210435,0.0351882,0.00714073,0,0,0,0,0.0109889,0,0.016806,0.00630418,0.0362668,0.0277659,0.0217235,0.0103505,0,0,0.01988,0.0154013,0.00704974,0.0166864,0.0137656,0.0341163,0.00661046,0.0158056,0.014627,0.00916455,0,0.0585193,0,0.0104362,0.00510311,0.00441919,0.00925556,0.0286669,0.008782,0.00423321,0.00661615,0,0,0.0494058,0,0.030138,0.0333765,0.0376757,0.0192632,0.0298222,0.008218,0.0159222,0.0156678,0.0185522,0.0143136,0.0216498,0.0209826,0.0183546,0.00964082,0.0188454,0.0151471,0.0167897,0.0215629,0.0321706,0.0168874,0.0078645,0,0,0,0,0.0165878
