Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LWRA,LBR
75,0.00687929,0.00234231,0,0,0,0.0167478,0.0162801,0.00904703,0.00299956,0,0,0,0.0097737,0,0.0209017,0.00493831,0.0336738,0.00934087,0.0208565,0.0142849,0,0,0.00417748,0.00867495,0.00605763,0.00689369,0.00781579,0.0314967,0.00912542,0.00490397,0.00485734,0.0197451,0,0.0210106,0,0.00685156,0.0024533,0.0346672,0.0140481,0.0210054,0.0131371,0.00832552,0,0,0.0179495,0,0.0140986,0.010297,0.0409483,0.0270631,0.0225312,0.0227672,0.00889176,0.010468,0.00667795,0.0203011,0.00200662,0.00470984,0.0207675,0.0203822,0.020324,0.0220158,0.0398489,0.00957911,0.00498295,0.00724976,0.00236293,0.00579178,0,0,0,0,0.00332853,0
76,0.006996,0.00209132,0,0,0,0.0169487,0.0163162,0.00940707,0.00340022,0,0,0,0.0093003,0,0.0209781,0.00441781,0.0336945,0.00938429,0.0207266,0.0145803,0,0,0.00428972,0.00885271,0.0061499,0.00722304,0.00774811,0.031669,0.00938583,0.00499344,0.00517972,0.0196014,0,0.0213394,0,0.00632023,0.00214704,0.0355989,0.0140467,0.0185939,0.0124378,0.00810354,0,0,0.0178075,0,0.0141018,0.0103149,0.0414018,0.0237423,0.0234591,0.0219008,0.00949186,0.0101671,0.00741447,0.0201317,0.00215435,0.00603195,0.0195269,0.0229515,0.0187423,0.020212,0.0417327,0.00952265,0.00505145,0.0073126,0.00215458,0.00603286,0,0,0,0,0.00325417,0
77,0.00720989,0.00188977,0,0,0,0.017203,0.0163699,0.00972878,0.00373592,0,0,0,0.00890817,0,0.0209341,0.00390799,0.0338205,0.00955161,0.0207741,0.0148796,0,0,0.00460968,0.00889323,0.00628929,0.00759929,0.00789,0.031926,0.00963653,0.00514492,0.00538367,0.0194042,0,0.0215595,0,0.00583284,0.00187297,0.0362008,0.0140113,0.0152229,0.0116644,0.00788838,0,0,0.0175961,0,0.0141146,0.0102609,0.041786,0.019528,0.0245374,0.0203352,0.0103752,0.00988656,0.00824547,0.0199316,0.0030442,0.00732022,0.0174604,0.0255503,0.0163692,0.017646,0.0432087,0.00942971,0.00517818,0.00735871,0.00197081,0.00627485,0,0,0,0,0.00313561,0
78,0.00746986,0.00173409,0,0,0,0.0174578,0.0161946,0.00996142,0.00400645,0,0,0,0.00846457,0,0.0208475,0.00345026,0.0339483,0.00973097,0.0208248,0.0151299,0,0,0.00490997,0.00898829,0.00641928,0.0078897,0.00808568,0.0321339,0.009835,0.00524057,0.0054522,0.0192374,0,0.0217252,0,0.0053312,0.00153268,0.0362303,0.0139969,0.0111158,0.0107797,0.00777798,0,0,0.0174158,0,0.0141258,0.0101261,0.0419639,0.0154486,0.0257002,0.0177957,0.0112024,0.00971313,0.00899087,0.0198311,0.00440191,0.00838852,0.0146509,0.0280668,0.0134396,0.0144903,0.0438919,0.00943083,0.00525207,0.00743766,0.00200537,0.00659056,0,0,0,0,0.00307757,0
79,0.00774732,0.0016484,0,0,0,0.017653,0.0160064,0.0100468,0.00435404,0,0,0,0.00803872,0,0.0208171,0.00309491,0.0340653,0.00982624,0.0208724,0.0152958,0,0,0.00521219,0.00911832,0.00656489,0.00816197,0.00823452,0.0322808,0.00994837,0.00529656,0.00558259,0.0191382,0,0.0219021,0,0.00488314,0.00135061,0.0355874,0.0140129,0.00682412,0.00998076,0.00783083,0,0,0.0171855,0,0.0141426,0.0100944,0.0419487,0.0131614,0.0268161,0.0144135,0.0118941,0.0095731,0.00930184,0.01992,0.00595057,0.00901284,0.0116937,0.0304824,0.0104265,0.0116063,0.0437273,0.00941948,0.0053181,0.00754071,0.00222531,0.00689974,0,0,0,0,0.00303734,0
80,0.00806655,0.00166482,0,0,0,0.0178332,0.0158725,0.0101481,0.00484671,0,0,0,0.00776571,0,0.0208412,0.00296261,0.0341713,0.00996173,0.0209914,0.0154137,0,0,0.00559299,0.00928074,0.00672022,0.00846779,0.00864702,0.0323639,0.0100401,0.00537625,0.00578751,0.0190529,0,0.0220889,0,0.00457301,0.00146089,0.0341723,0.0140032,0.00418922,0.00936094,0.00790678,0,0,0.0168539,0,0.0141365,0.010088,0.0418168,0.0140738,0.0277806,0.0109375,0.0124902,0.00949789,0.00892721,0.0201223,0.00738463,0.0092247,0.00972995,0.0328043,0.00833948,0.0106304,0.0424863,0.00938925,0.00545678,0.00763705,0.00252756,0.00717865,0,0,0,0,0.00300017,0
81,0.0081592,0.00219866,0,0,0,0.0179242,0.0158011,0.0103284,0.00530304,0,0,0,0.00741666,0,0.0209283,0.00285797,0.0342963,0.0101005,0.0211027,0.0154934,0,0,0.00592811,0.00869818,0.00674473,0.00879331,0.00896373,0.0324041,0.0101258,0.00545869,0.00595543,0.0190407,0,0.0221504,0,0.00439997,0.0015874,0.0317312,0.0140367,0.00557394,0.0090085,0.00733451,0,0,0.0166638,0,0.0141141,0.010117,0.041668,0.0174551,0.0284844,0.00846224,0.0131915,0.00877907,0.00877898,0.0202182,0.00873256,0.00942316,0.00994343,0.0349531,0.00822859,0.0124548,0.0399277,0.00919543,0.00559699,0.00776804,0.00261824,0.00701522,0,0,0,0,0.00292017,0
82,0.00841184,0.00232608,0,0,0,0.0181016,0.0158512,0.0103924,0.00548602,0,0,0,0.00728624,0,0.0208516,0.00287301,0.0344838,0.0102349,0.02122,0.0155195,0,0,0.00621594,0.00901799,0.00695516,0.00915248,0.00917225,0.0324699,0.0102664,0.00555185,0.00611291,0.0189944,0,0.0223456,0,0.00442741,0.0018459,0.028394,0.0140124,0.0094187,0.00879854,0.00734149,0,0,0.016831,0,0.0140661,0.010335,0.0414833,0.0221643,0.0290679,0.0081875,0.0135399,0.00881399,0.00891843,0.020155,0.00979926,0.0096665,0.0122331,0.0369939,0.0101759,0.015945,0.0362449,0.00920815,0.00599908,0.00801779,0.00310946,0.00713753,0,0,0,0,0.00284608,0
83,0.00861543,0.00248727,0,0,0,0.0183139,0.0159312,0.0103437,0.00572837,0,0,0,0.00716678,0,0.020836,0.00299573,0.0347224,0.0103553,0.0212797,0.015515,0,0,0.00637418,0.00939153,0.00738636,0.00956508,0.00925602,0.032469,0.010404,0.005636,0.00620612,0.0189906,0,0.0226863,0,0.00460105,0.00223264,0.0247393,0.014027,0.0133573,0.00881318,0.00745394,0,0,0.0169817,0,0.0140355,0.0104477,0.0412556,0.027315,0.0294469,0.0102971,0.0137926,0.00886808,0.00900484,0.0198615,0.0104626,0.00995107,0.0156737,0.0386673,0.0130713,0.0200942,0.0319961,0.00920267,0.00638582,0.00827453,0.00362898,0.00719776,0,0,0,0,0.00278127,0
84,0.00929104,0.00227156,0,0,0,0.0186943,0.0158096,0.0103872,0.0061083,0,0,0,0.00795044,0,0.0206942,0.00414674,0.0349233,0.0106451,0.021354,0.015617,0,0,0.00632797,0.0107282,0.0077069,0.009855,0.00925474,0.0326585,0.0105781,0.00575622,0.00616669,0.0189599,0,0.0231807,0,0.00555777,0.00271968,0.0219593,0.0143664,0.0171672,0.00877653,0.0086986,0,0,0.0141662,0,0.0140357,0.0092025,0.0409311,0.0315147,0.0297049,0.0140917,0.0136875,0.00990247,0.00890819,0.0194503,0.0115395,0.0101936,0.0198488,0.0398393,0.0163118,0.0247412,0.0275603,0.00851285,0.00656276,0.00806111,0.00462663,0.00787723,0,0,0,0,0.00256164,0
85,0.00927539,0.00248435,0,0,0,0.0189603,0.0157603,0.0104729,0.00639117,0,0,0,0.00824824,0,0.0206079,0.00476075,0.0351119,0.010968,0.0214498,0.0157925,0,0,0.00637487,0.0110774,0.00790474,0.0101934,0.00946804,0.0327865,0.0107765,0.0059063,0.00615192,0.0189799,0,0.0237148,0,0.00623673,0.00300294,0.0202262,0.013913,0.0206687,0.00888677,0.00850948,0,0,0.0177079,0,0.0140098,0.010748,0.0405571,0.0342498,0.0298683,0.0188981,0.0137499,0.0100057,0.00865625,0.0186648,0.0125472,0.0101039,0.0245213,0.0404325,0.0194054,0.0296153,0.0236539,0.00949051,0.0070333,0.00859668,0.00508665,0.00770304,0,0,0,0,0.00244123,0
86,0.00956527,0.00275203,0,0,0,0.0193131,0.0156639,0.0103465,0.00658426,0,0,0,0.00894208,0,0.0205919,0.00558635,0.0353989,0.0111392,0.0214739,0.0157021,0,0,0.00643075,0.011449,0.00822184,0.0103296,0.0095463,0.0327739,0.0108549,0.00591493,0.0063246,0.0189728,0,0.0241359,0,0.00721074,0.00336834,0.0188201,0.013926,0.0231547,0.00915729,0.00868773,0,0,0.0175737,0,0.0139893,0.0107267,0.0401084,0.0350845,0.0298926,0.0231719,0.0139164,0.010189,0.00815837,0.017814,0.0133098,0.0094406,0.02869,0.0408976,0.0218683,0.0335978,0.019935,0.00935531,0.00728316,0.00870656,0.00558312,0.00771234,0,0,0,0,0.00235215,0
87,0.00993142,0.00308041,0,0,0,0.0198317,0.0155932,0.0100194,0.00679491,0,0,0,0.00979669,0,0.0203776,0.00637319,0.0356815,0.0112686,0.0213952,0.0153694,0,0,0.00641052,0.0119726,0.00841072,0.0102129,0.00943458,0.0327717,0.0108044,0.005841,0.00637008,0.0189897,0,0.0244001,0,0.00822441,0.00369142,0.0174028,0.0139374,0.024983,0.00950048,0.00894995,0,0,0.0175422,0,0.0139579,0.0107391,0.0397688,0.0357437,0.0298449,0.0269958,0.0141524,0.0104469,0.00768839,0.0171935,0.0134832,0.00917016,0.0321003,0.0412264,0.023767,0.0367468,0.0164783,0.00940456,0.00755549,0.00889087,0.00607461,0.00781864,0,0,0,0,0.00219678,0
88,0.0102255,0.00335355,0,0,0,0.0204504,0.0155606,0.00960729,0.00695383,0,0,0,0.0104351,0,0.0202852,0.00701361,0.0361918,0.0111527,0.0210124,0.0146628,0,0,0.00649089,0.0123823,0.00854573,0.00999957,0.00929582,0.0327485,0.0105184,0.00551645,0.00646831,0.0190538,0,0.0250117,0,0.0090848,0.00401615,0.0151645,0.0139536,0.0277083,0.0103511,0.00935072,0,0,0.0175168,0,0.0139288,0.0107393,0.0394627,0.0393962,0.0295714,0.0294871,0.0145807,0.0106579,0.00706778,0.0165837,0.0122652,0.00934464,0.0351905,0.0418412,0.025877,0.0403738,0.0119452,0.00947073,0.0077996,0.00905903,0.0063436,0.00792358,0,0,0,0,0.00210267,0
89,0.0104041,0.003519,0,0,0,0.0209671,0.0154639,0.00909783,0.00702264,0,0,0,0.0109517,0,0.020397,0.00744974,0.0367407,0.010785,0.0205878,0.0137103,0,0,0.00654439,0.0125815,0.00855837,0.00956036,0.00918338,0.0326989,0.0101648,0.00508766,0.00652108,0.0191149,0,0.0257342,0,0.00991778,0.00437528,0.012461,0.0139352,0.0298945,0.0110938,0.00974504,0,0,0.017347,0,0.0138979,0.0107107,0.0393387,0.0435628,0.0294215,0.0296657,0.015027,0.0108078,0.0070034,0.0159571,0.0105949,0.00980325,0.0367379,0.0427781,0.0276031,0.0427055,0.00781182,0.00948397,0.00791375,0.0091368,0.00643106,0.00794432,0,0,0,0,0.00204662,0
90,0.0105114,0.00361977,0,0,0,0.0211652,0.0150683,0.00840434,0.00711676,0,0,0,0.0113993,0,0.0205675,0.00769428,0.0371801,0.0104629,0.0202233,0.012848,0,0,0.00657214,0.012716,0.00848292,0.00904676,0.00897745,0.0326005,0.00986093,0.00479926,0.00666484,0.0191919,0,0.0262603,0,0.0106847,0.00474988,0.0120596,0.0139148,0.0321704,0.0115164,0.00998252,0,0,0.0170664,0,0.0138766,0.0105941,0.0390244,0.0483045,0.0293973,0.0288427,0.015373,0.010926,0.00708293,0.0153938,0.00931123,0.010095,0.0376704,0.0437746,0.0290072,0.0444571,0.0053005,0.00946339,0.00791592,0.0091238,0.00644336,0.0079006,0,0,0,0,0.00209125,0
91,0.0103979,0.00364939,0,0,0,0.0205653,0.0149064,0.00808934,0.00733416,0,0,0,0.0110691,0,0.0205778,0.00748131,0.0371642,0.0107766,0.020092,0.0127565,0,0,0.00652118,0.0124619,0.00829373,0.00898609,0.00862084,0.0326123,0.00994489,0.00506016,0.0070875,0.0192004,0,0.0261724,0,0.0108567,0.00521893,0.0128605,0.0139657,0.0322843,0.0112132,0.00952985,0,0,0.0168595,0,0.0138402,0.0104911,0.038818,0.0500066,0.0296269,0.0287351,0.0155091,0.010525,0.00679496,0.0158419,0.00966663,0.00953827,0.0379428,0.0439399,0.0290257,0.0450937,0.00702727,0.00928515,0.00786765,0.00913744,0.00612774,0.00747612,0,0,0,0,0.00214796,0
92,0.0106029,0.00364332,0,0,0,0.0211711,0.0148234,0.00710268,0.00751026,0,0,0,0.0122334,0,0.020559,0.00832896,0.0369586,0.0105921,0.0198856,0.0111563,0,0,0.00633938,0.0127216,0.00770259,0.00793017,0.00777173,0.0327785,0.00932735,0.00502109,0.00749609,0.0190871,0,0.027014,0,0.0120499,0.00559536,0.0123623,0.0139134,0.031249,0.0108905,0.00989983,0,0,0.0170023,0,0.0138418,0.0105945,0.038623,0.0498729,0.0299069,0.0253291,0.015448,0.0110926,0.00643799,0.0158134,0.0092625,0.00779345,0.0364332,0.0444758,0.028401,0.0435793,0.0075426,0.00940067,0.00806269,0.00926912,0.0062687,0.0076097,0,0,0,0,0.00209957,0
93,0.0107104,0.00373348,0,0,0,0.0213194,0.01471,0.00607515,0.00763315,0,0,0,0.0132763,0,0.0206086,0.00901721,0.0366247,0.0107564,0.0197029,0.00989177,0,0,0.00614797,0.0129661,0.00705717,0.00682745,0.00674546,0.0328297,0.00884249,0.00510405,0.00773155,0.0189808,0,0.0275273,0,0.0130741,0.00595633,0.0117728,0.0138651,0.0292508,0.0106681,0.0101821,0,0,0.0170595,0,0.0138219,0.0106265,0.0387062,0.0474787,0.030158,0.020143,0.015337,0.0114846,0.00653826,0.0158099,0.00802996,0.00618065,0.0338086,0.0449256,0.027078,0.0405669,0.00794387,0.00946038,0.00827372,0.00932182,0.00645104,0.00778232,0,0,0,0,0.00209888,0
94,0.0110745,0.00370338,0,0,0,0.0212311,0.0145284,0.0048167,0.00761696,0,0,0,0.0144326,0,0.0207164,0.00973248,0.0362587,0.0111788,0.0195288,0.00872798,0,0,0.00590965,0.0133439,0.006358,0.00561956,0.00594915,0.0327955,0.00840464,0.00547519,0.00791815,0.0188655,0,0.0278463,0,0.0140582,0.00630799,0.0121646,0.014155,0.0256983,0.0106274,0.0109742,0,0,0.0144082,0,0.0138025,0.00951625,0.039152,0.0419718,0.0301387,0.0118005,0.0150584,0.0120808,0.00702755,0.0160396,0.00553967,0.00478932,0.028878,0.0451689,0.0244001,0.0344405,0.00948055,0.0087506,0.00826218,0.00897192,0.00666664,0.00820871,0,0,0,0,0.00205338,0
95,0.0109834,0.00376554,0,0,0,0.020919,0.0145072,0.00385073,0.00741244,0,0,0,0.0150569,0,0.0207571,0.0101336,0.035964,0.0118625,0.0193089,0.00789631,0,0,0.00556377,0.0131994,0.00576026,0.0046042,0.00508588,0.0327628,0.00812349,0.00591967,0.00823046,0.0187666,0,0.0279992,0,0.014537,0.00651971,0.0128937,0.0138372,0.0218541,0.0107229,0.0108821,0,0,0.0165346,0,0.0137575,0.0103287,0.0398707,0.0351355,0.0299774,0.00584009,0.0146275,0.0120735,0.0074939,0.0170677,0.00433988,0.00468438,0.0242922,0.0447018,0.0213777,0.0282233,0.0120476,0.00927431,0.00839728,0.00923068,0.00657191,0.00811141,0,0,0,0,0.0019825,0
96,0.0112667,0.00375443,0,0,0,0.0203742,0.0147145,0.00346525,0.00725551,0,0,0,0.0153475,0,0.020611,0.0104184,0.035764,0.0127488,0.0190317,0.00745439,0,0,0.00522294,0.0132211,0.00532314,0.00392869,0.00412319,0.0328481,0.00799721,0.00624638,0.00870186,0.0185735,0,0.0279999,0,0.0146755,0.00664927,0.012604,0.0138492,0.018691,0.0107849,0.0112027,0,0,0.0163775,0,0.0137361,0.0102271,0.0405232,0.0292597,0.0299891,0.00526379,0.014192,0.0123063,0.00799739,0.0182645,0.00433589,0.00497285,0.0214253,0.0439709,0.019355,0.0242369,0.0129011,0.00910186,0.00836737,0.00924758,0.0064112,0.00829304,0,0,0,0,0.00191963,0
97,0.0116503,0.00408375,0,0,0,0.0196008,0.0148715,0.00353723,0.00722419,0,0,0,0.0158034,0,0.0203058,0.0109977,0.0356365,0.0137416,0.0186982,0.00747063,0,0,0.00496607,0.013925,0.00502849,0.0034607,0.00316425,0.0330158,0.00807259,0.00637741,0.0093126,0.0183181,0,0.0277284,0,0.0146391,0.00683356,0.0114001,0.0138148,0.0169377,0.0106572,0.0120764,0,0,0.0163651,0,0.0137405,0.0102439,0.0407319,0.0258048,0.0302495,0.0056203,0.0137427,0.0129031,0.00822111,0.0190285,0.00421833,0.00472831,0.0202161,0.0436911,0.0186452,0.0222844,0.0129761,0.0092084,0.00832162,0.00923859,0.00684258,0.00888796,0,0,0,0,0.00191737,0
98,0.0116134,0.00423269,0,0,0,0.0184519,0.0145566,0.0038598,0.00714642,0,0,0,0.0162451,0,0.0204953,0.0112286,0.0354894,0.0147549,0.0183803,0.0076711,0,0,0.00488102,0.0140189,0.00474523,0.0031231,0.00224738,0.0330455,0.0081552,0.00654777,0.0097872,0.0182272,0,0.0274139,0,0.0145306,0.0070493,0.0111595,0.0137092,0.015649,0.0106441,0.0123982,0,0,0.0163662,0,0.0137311,0.010184,0.0404443,0.0239706,0.0304068,0.00691626,0.0134834,0.0130266,0.00779289,0.0192629,0.00499578,0.00357303,0.0196977,0.0437047,0.0177391,0.0203512,0.0134593,0.0092588,0.00822132,0.00914767,0.00693974,0.00899935,0,0,0,0,0.00200592,0
99,0.0114856,0.00421022,0,0,0,0.0172867,0.0143359,0.00449727,0.00708283,0,0,0,0.0165614,0,0.0206467,0.0113601,0.0353328,0.0158438,0.0180661,0.00799072,0,0,0.0047947,0.0138936,0.00448994,0.00294792,0.00158386,0.0329829,0.00821637,0.00670149,0.0101597,0.0182322,0,0.0271275,0,0.0143555,0.00721978,0.0101278,0.0136221,0.0143862,0.0106768,0.0126002,0,0,0.016275,0,0.0137544,0.010134,0.0394728,0.0231386,0.0305157,0.00890284,0.0133707,0.0130925,0.00641232,0.0189795,0.00663252,0.00180932,0.0188995,0.0434266,0.0163323,0.0182956,0.013169,0.00930431,0.00806356,0.00898398,0.00688416,0.00889876,0,0,0,0,0.00208141,0
100,0.0113058,0.00401652,0,0,0,0.0162655,0.0142934,0.00539778,0.00707998,0,0,0,0.0166291,0,0.0206643,0.0113935,0.0351263,0.0168858,0.0177701,0.00816496,0,0,0.00483911,0.0134982,0.00434271,0.00318359,0.00173039,0.0328309,0.00815025,0.00689837,0.0103387,0.0181481,0,0.0269476,0,0.0139918,0.00722412,0.00780715,0.0135821,0.0130832,0.0108304,0.0126519,0,0,0.0161726,0,0.0137754,0.0101376,0.0381541,0.0226705,0.0307074,0.00997062,0.0133523,0.0130107,0.00450673,0.0183956,0.00796095,0.00219568,0.0174242,0.0425754,0.01498,0.0164267,0.0113341,0.00928234,0.00784545,0.00884395,0.0067087,0.00858482,0,0,0,0,0.00208244,0
101,0.0112287,0.00384668,0,0,0,0.0151887,0.014386,0.00645915,0.00716157,0,0,0,0.0161968,0,0.0205763,0.0112607,0.0349061,0.0174072,0.0175303,0.00857188,0,0,0.00490676,0.0130933,0.00436876,0.00359021,0.00280474,0.0325956,0.00820544,0.00694208,0.0104167,0.0180372,0,0.0263691,0,0.0133007,0.00702347,0.00527353,0.0135386,0.0124346,0.010844,0.0127813,0,0,0.0160715,0,0.0137853,0.0100431,0.0369069,0.0224302,0.0309637,0.0091764,0.0133151,0.0130015,0.00273978,0.0178878,0.00894667,0.00421531,0.0159621,0.041635,0.0142996,0.0151997,0.00850943,0.00921695,0.00776417,0.00870942,0.00660912,0.00839369,0,0,0,0,0.00210747,0
102,0.0112588,0.00375315,0,0,0,0.0143614,0.0145699,0.00731842,0.00722194,0,0,0,0.0153355,0,0.0203952,0.010847,0.0346885,0.017384,0.0172578,0.00905096,0,0,0.00492816,0.0127118,0.0044833,0.00394417,0.00413575,0.0323177,0.00827473,0.00676486,0.0104343,0.0179322,0,0.0255895,0,0.0123602,0.00665053,0.00379796,0.0135261,0.0124403,0.0107478,0.0130166,0,0,0.016031,0,0.0137861,0.00989429,0.0360492,0.0225393,0.0313233,0.00689371,0.0133077,0.0131489,0.00203639,0.0177624,0.00949752,0.00543184,0.015279,0.0411655,0.0143057,0.0147224,0.00602798,0.00912133,0.00779705,0.00882252,0.00633723,0.00837266,0,0,0,0,0.00220907,0
103,0.0111652,0.0036023,0,0,0,0.0136762,0.0146675,0.00794615,0.00720088,0,0,0,0.0144587,0,0.0203252,0.0102773,0.0344866,0.0166733,0.0169205,0.00939164,0,0,0.00485377,0.0121983,0.0045777,0.0041278,0.00549016,0.0320669,0.00824644,0.00639986,0.0103001,0.0178936,0,0.0249081,0,0.0114435,0.00632619,0.00397554,0.0135128,0.0124816,0.0104734,0.0131466,0,0,0.0160464,0,0.0137551,0.00983548,0.0355097,0.0224825,0.0317596,0.00549444,0.0132164,0.0133146,0.00210025,0.0181439,0.00941758,0.00546323,0.0150287,0.0410126,0.0143516,0.0142781,0.00517813,0.00895755,0.00788736,0.00903518,0.00601503,0.00831566,0,0,0,0,0.0022304,0
104,0.0109904,0.00307312,0,0,0,0.0119524,0.0146313,0.0082381,0.00711104,0,0,0,0.0132618,0,0.0204033,0.00936965,0.0342497,0.0150531,0.0165598,0.0096048,0,0,0.0047463,0.0111933,0.00473741,0.00426401,0.00688316,0.0319747,0.00795512,0.00610415,0.0098225,0.018072,0,0.0248381,0,0.0104573,0.00611175,0.00506504,0.0139989,0.011984,0.0101141,0.0130227,0,0,0.0124585,0,0.0137352,0.00827109,0.0350989,0.021159,0.0321398,0.00546701,0.0130307,0.0131319,0.00212229,0.0189588,0.00941147,0.00510487,0.0144285,0.0408226,0.0138059,0.0131873,0.00559217,0.00765153,0.00750833,0.00847573,0.00515926,0.00794269,0,0,0,0,0.00214912,0
105,0.0100433,0.00266267,0,0,0,0.0102193,0.0145722,0.00757214,0.0069369,0,0,0,0.0119691,0,0.0206043,0.00826473,0.0339801,0.0118342,0.0162217,0.00978583,0,0,0.00456972,0.00974623,0.00496097,0.00437927,0.00818368,0.0321265,0.00732916,0.00603544,0.00851863,0.0186133,0,0.0251225,0,0.00940822,0.00593608,0.00559569,0.0137592,0.0106444,0.00992908,0.0116644,0,0,0.0146047,0,0.0137258,0.00910565,0.0346258,0.0187644,0.0323333,0.00605961,0.0128205,0.0122813,0.00222976,0.0199647,0.00994205,0.00505883,0.0132915,0.0402198,0.0123947,0.0113348,0.00652502,0.00782438,0.00737442,0.00866431,0.00424926,0.006732,0,0,0,0,0.00212409,0
106,0.00970192,0.0024096,0,0,0,0.0146828,0.0145735,0.00730636,0.00711469,0,0,0,0.0113427,0,0.0208257,0.00794604,0.0339225,0.010328,0.0156958,0.0124785,0,0,0.00384528,0.00926382,0.0043228,0.0064273,0.0108386,0.0331923,0.00579485,0.00489925,0.00230173,0.022583,0,0.0273919,0,0.00893464,0.00570356,0.00571652,0.0137731,0.00905499,0.010225,0.0113504,0,0,0.0141664,0,0.0137252,0.00903881,0.0335633,0.0160477,0.0326527,0.00742483,0.0127105,0.0121065,0.0029516,0.0206183,0.0102709,0.00537312,0.0123542,0.0392283,0.0108542,0.00971221,0.00666729,0.00755529,0.00721356,0.00838876,0.00401217,0.006351,0,0,0,0,0.00216929,0
107,0.00965364,0.00194764,0,0,0,0.014783,0.0145918,0.00622321,0.00662747,0,0,0,0.0114778,0,0.020708,0.00816384,0.0340174,0.0114173,0.0155795,0.0109335,0,0,0.00335083,0.0095401,0.00378509,0.00785775,0.0109716,0.0336094,0.00414998,0.00479954,0.00245774,0.0236108,0,0.0238512,0,0.00898577,0.0052654,0.00642215,0.0137651,0.00773878,0.0100743,0.0118757,0,0,0.0141226,0,0.0137018,0.00893501,0.0334334,0.01353,0.0326653,0.00870625,0.0120948,0.0130932,0.00328746,0.0205528,0.0100275,0.0057643,0.0117969,0.0383873,0.00973423,0.00880677,0.00614723,0.00751121,0.00742063,0.00833343,0.00487624,0.00631146,0,0,0,0,0.00222641,0
108,0.00933042,0.00133644,0,0,0,0.0151703,0.0148751,0.00364323,0.0058579,0,0,0,0.0104839,0,0.0204721,0.00750682,0.0341319,0.00982241,0.0153962,0.00906352,0,0,0.0028333,0.00888436,0.00354053,0.0090169,0.0108418,0.0339757,0.00317822,0.00643549,0.00181005,0.0237322,0,0.0230747,0,0.00831541,0.00477469,0.00692906,0.0137897,0.00670886,0.00989111,0.0115944,0,0,0.0144674,0,0.0136601,0.00891878,0.0338155,0.0115237,0.0326414,0.00970758,0.0116805,0.0135219,0.00353213,0.0201541,0.00998317,0.00649885,0.0115834,0.0377078,0.00891025,0.00900813,0.00670282,0.00727453,0.00763308,0.00832792,0.00495795,0.00559897,0,0,0,0,0.00206294,0
109,0.00917137,0.000672368,0,0,0,0.0189066,0.0152499,0.00308877,0.00514427,0,0,0,0.00927022,0,0.0202822,0.00678462,0.0343274,0.00674778,0.0150871,0.0073964,0,0,0.00228803,0.00824291,0.00391899,0.00957547,0.0107578,0.0345014,0.0034269,0.00837049,0.00159573,0.0234981,0,0.0253515,0,0.00742868,0.00422282,0.00760882,0.0137989,0.0063772,0.00948499,0.0115379,0,0,0.0149229,0,0.0135727,0.00903693,0.0343547,0.0106422,0.0327096,0.00954769,0.011185,0.0141729,0.00368455,0.0195535,0.0101423,0.00715044,0.0114286,0.0372494,0.00856205,0.0097618,0.00745327,0.00710887,0.00784498,0.00840531,0.0051469,0.00500187,0,0,0,0,0.00189415,0
110,0.0089714,0.000108137,0,0,0,0.0234742,0.0150955,0.0050357,0.00465377,0,0,0,0.00815873,0,0.0204158,0.0057924,0.0345803,0.00571548,0.0147161,0.00674985,0,0,0.00184915,0.00748679,0.00490195,0.0102607,0.0108625,0.0353039,0.00443758,0.00984334,0.00239343,0.0238787,0,0.028206,0,0.00641126,0.00368712,0.00833872,0.0137951,0.00654664,0.00896189,0.0115636,0,0,0.0153829,0,0.0135115,0.00925235,0.0347287,0.0106925,0.0328692,0.00858063,0.010575,0.0147381,0.00394562,0.0190297,0.0103984,0.00752112,0.0111179,0.0369776,0.00848633,0.00982843,0.00823284,0.00696287,0.00805318,0.00853141,0.00536359,0.0045725,0,0,0,0,0.00202199,0
111,0.00902874,0.000647833,0,0,0,0.0273917,0.015363,0.00678241,0.00427916,0,0,0,0.00702932,0,0.0202696,0.00487153,0.0347871,0.00627982,0.0143832,0.00722827,0,0,0.00177793,0.00694728,0.00624657,0.0111503,0.0109305,0.0362452,0.00587892,0.011304,0.00352306,0.0246935,0,0.0305506,0,0.00530586,0.00312598,0.00898246,0.0137567,0.00677156,0.00836628,0.011728,0,0,0.0158917,0,0.0134576,0.00950804,0.0348867,0.0110785,0.033139,0.00766751,0.0100169,0.0151546,0.00420172,0.0186806,0.0105498,0.00785255,0.0107047,0.0369222,0.00860157,0.00958576,0.00893948,0.00696005,0.00822872,0.00856878,0.00523585,0.0045057,0,0,0,0,0.00219564,0
