Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LWRA,LBR
9,0.00628091,0.00542728,0,0,0,0.0459103,0.0172252,0.0151587,0,0,0,0,0.0053614,0,0.0205758,0.00319311,0.033797,0.00947734,0.014782,0.015667,0,0,0.00220453,0.00453966,0.00484295,0.00993424,0.00488114,0.0311101,0.0114648,0.0140222,0.00555553,0.0278752,0,0.061838,0,0.0057716,0.00229933,0.0134979,0.0136528,0.0155631,0.00351612,0.00462012,0,0,0.011799,0,0.0136414,0.00746379,0.0331389,0,0.0314326,0.0121018,0.0047517,0.00616106,0.00260519,0.0210116,0.00245273,0.00176588,0.0142875,0.034237,0.0119245,0.0177624,0.0143848,0.00457547,0.00693018,0.00911725,0.00430973,0.00306707,0,0,0,0,0.00398682,0
10,0.0060672,0.00556514,0,0,0,0.044937,0.017006,0.014805,0,0,0,0,0.00520427,0,0.0208547,0.00314208,0.0341099,0.0108525,0.0149496,0.015412,0,0,0.00246683,0.00439471,0.00445544,0.00960796,0.00430074,0.0305027,0.0114685,0.0137833,0.00526755,0.0280587,0,0.0610853,0,0.00577118,0.0018867,0.0139088,0.0139785,0.0157402,0.00412554,0.0046165,0,0,0.0104643,0,0.0131129,0.0071802,0.0333818,0,0.0309676,0.013187,0.0054036,0.0057344,0.00246629,0.0209856,0.00255707,0.00192454,0.014667,0.033948,0.0120144,0.0182641,0.0150527,0.00430363,0.00765226,0,0.00453897,0.00309212,0,0,0,0,0.00400793,0
11,0.00588632,0.00569764,0,0,0,0.0510411,0.0171252,0.0229634,0,0,0,0,0.00508837,0,0.0207497,0.0032497,0.0345184,0.0152767,0.0148567,0.0165777,0,0,0.00317685,0.0045903,0.00495203,0.0061993,0.00555775,0.0296639,0.0115933,0.0144132,0.00654186,0.0261582,0,0.0653476,0,0.00587155,0.00163006,0.0141798,0.0136001,0.0156771,0.0052024,0.00432603,0,0,0.0106836,0,0.0136785,0.00690262,0.033701,0,0.0303768,0.0151923,0.00686977,0.00588491,0.00233561,0.0210798,0.00298003,0.00261141,0.0150869,0.033342,0.0120335,0.0185315,0.0159585,0.00402091,0.00637911,0.0081368,0.00521081,0.00285773,0,0,0,0,0.0042344,0
12,0.00614715,0.00529814,0,0,0,0.0518478,0.0174541,0.0247909,0.00781009,0,0,0,0,0,0.0199345,0.00275574,0.0348912,0.01805,0.015376,0.0165945,0,0,0.00322346,0.00475833,0.0055692,0.0067928,0,0.0292043,0.0116348,0.0144137,0.00697056,0.0258756,0,0.0652328,0,0.00552855,0.00156149,0.0137828,0.0136567,0.0148796,0.00582329,0.00469924,0,0,0.0103511,0,0.0136526,0.00674942,0.0340093,0,0.0299985,0.0158646,0.00703009,0.00573565,0.00238984,0.0210772,0.00324766,0.00314149,0.0150739,0.0330317,0.0122207,0.0184463,0.01646,0.00438424,0.00635502,0.00795966,0.00507679,0.00358245,0,0,0,0,0.00505986,0
13,0.00492189,0.00459474,0,0,0,0.0526316,0.0174509,0.0263032,0,0,0,0,0.0048817,0,0.0204936,0.00323723,0.0353097,0.0205342,0.015099,0.0171712,0,0,0.00378393,0.00449209,0.00590954,0.00694665,0.00675179,0.028399,0.0124934,0.014985,0.00773308,0.0257593,0,0.0655012,0,0.00575362,0.00146702,0.0145509,0.0139721,0.0152681,0.00661282,0.00437347,0,0,0.00909632,0,0.0131521,0.00654927,0.0345411,0,0.0294972,0.017045,0.00794152,0.00583533,0.00243476,0.0211037,0.0036748,0.00402428,0.0155444,0.0327011,0.0124281,0.0188685,0.0174936,0.003675,0.00726337,0,0.00511813,0.0026396,0,0,0,0,0.00456307,0
14,0.00470622,0.00478951,0,0,0,0.0531218,0.0177617,0.0275039,0,0,0,0,0.00541586,0,0.020239,0.00363114,0.0358056,0.0222185,0.015277,0.0172158,0,0,0.00430944,0.00430096,0.00741247,0.0077317,0.00721858,0.0277354,0.0131106,0.0153699,0.00825644,0.0256423,0,0.0654733,0,0.00595052,0.00170916,0.0152206,0.0135403,0.0155694,0.00745036,0.00401952,0,0,0.00972995,0,0.0137487,0.00655563,0.0349853,0,0.0290517,0.017972,0.00877826,0.00586429,0.00270149,0.0210859,0.00420139,0.00484149,0.0158723,0.032171,0.0123656,0.0191749,0.0182799,0.00319238,0.00619347,0.00786986,0.00544334,0.00208681,0,0,0,0,0.00455257,0
15,0.00469009,0.00423968,0,0,0,0.0533558,0.0182101,0.0280114,0,0,0,0,0.00481169,0,0.0197639,0.00343722,0.0363525,0.0228843,0.0155579,0.0169547,0,0,0.00483257,0.00439739,0.00911566,0.00921295,0.00766427,0.0271947,0.0135195,0.0155282,0.00887327,0.0255198,0,0.0652146,0,0.00556173,0.00220599,0.0159464,0.0142352,0.0158972,0.00825145,0.0046338,0,0,0.00691699,0,0.0132067,0.00559182,0.0354511,0,0.0286,0.0191225,0.00966702,0.00622665,0.00308056,0.021074,0.00458687,0.00563485,0.0161629,0.0315162,0.0122462,0.0194568,0.0190072,0.00283386,0.00709772,0,0.00537466,0.00237424,0,0,0,0,0.00443835,0
16,0.00512252,0.00511059,0,0,0,0.0528708,0.0180398,0.0275344,0,0,0,0,0.00578783,0,0.0201348,0.00387147,0.0368999,0.0221679,0.0158549,0.0162736,0,0,0.00534508,0.00463797,0.010456,0.0105941,0.0080866,0.0267397,0.013861,0.0153332,0.00932897,0.0254551,0,0.0643103,0,0.00564312,0.001884,0.016304,0.0133942,0.0159469,0.00906473,0.00423311,0,0,0.010428,0,0.0138446,0.0068743,0.0359283,0,0.0281179,0.0202541,0.0106495,0.00693501,0.00346575,0.0210602,0.00495065,0.00640851,0.0164319,0.0308833,0.012156,0.0196933,0.0195574,0.00323374,0.00628437,0.0080321,0.00623637,0.00171555,0,0,0,0,0.00432862,0
17,0.00670224,0.00628933,0,0,0,0.051601,0.0176553,0.0258876,0.00877411,0,0,0,0.00523483,0,0.0205072,0.00328382,0.0375246,0.0195458,0.0164349,0.0148895,0,0,0.00572721,0.00482899,0.0114386,0.0112114,0.00823194,0.0266401,0.0137102,0.0151631,0.00938899,0.0254802,0,0.0629424,0,0.00530383,0.00138169,0.0164582,0.0138573,0.0157861,0.00968622,0.00534313,0,0,0.0106818,0,0.0131641,0.00733291,0.0361579,0,0.0275891,0.0208978,0.0115873,0.00831989,0.00375822,0.0211461,0.00527541,0.00700848,0.0166205,0.0304988,0.0122014,0.0197435,0.0194769,0.00435792,0.00769113,0,0.00699426,0.0022508,0,0,0,0,0.00421654,0
18,0.00644106,0.00643707,0,0,0,0.0493934,0.0177534,0.0243043,0,0,0,0,0.00532462,0,0.0204002,0.00331007,0.037841,0.0169546,0.0166523,0.0137462,0,0,0.00588338,0.00465397,0.012164,0.0121051,0.00838512,0.0263336,0.0129961,0.0144235,0.00924404,0.025498,0,0.0602194,0,0.00513003,0.00153142,0.0156719,0.0134551,0.0125708,0.0102773,0.00548251,0,0,0.010383,0,0.0137932,0.00705638,0.0366773,0.0223623,0.0274891,0.0201171,0.0117873,0.00893448,0.00426327,0.0205955,0.00495155,0.00714944,0.0151297,0.029951,0.0108948,0.01781,0.0163798,0.00398423,0.00632107,0.00820356,0.00663699,0.00205664,0,0,0,0,0.00421194,0
19,0.00527843,0.00572631,0,0,0,0.0478789,0.0181371,0.0220932,0.00844275,0,0,0,0.00537446,0,0.0202337,0.0032667,0.0381176,0.0112605,0.0176906,0.00962818,0,0,0.005941,0.00459882,0.0123081,0.0106208,0.00896757,0.0268908,0.0126951,0.0159257,0.00913985,0.0259196,0,0.0587314,0,0.00534036,0.00180438,0.0167823,0.0134389,0.0152016,0.0106339,0.00482587,0,0,0.00993592,0,0.0138333,0.00696614,0.0368685,0,0.0270032,0.0214541,0.0123468,0.00783113,0.00459107,0.02116,0.00572625,0.00820346,0.0160745,0.0302332,0.0116161,0.0191283,0.0199465,0.00351149,0.00663003,0.00831922,0.00616332,0.00237086,0,0,0,0,0.00442898,0
