Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LBR
93,0.0107498,0.00545998,0,0,0,0.0237768,0.0142471,0.00654471,0.00839594,0,0,0,0.0188692,0,0.0208091,0.0132637,0.0354266,0.0123432,0.0203444,0.011516,0,0,0.00671659,0.0129011,0.00864383,0.0089532,0.00777569,0.0313102,0.0102557,0.00575688,0.00823951,0.018438,0,0.0320147,0,0.0174674,0.00228533,0.00802457,0.00749943,0.0157165,0.0279733,0.00962596,0.0106678,0,0,0.0178339,0,0.0152216,0.0106326,0.0383956,0.0409076,0.0313766,0.0154873,0.0172163,0.0134877,0.00563454,0.0199327,0.00501941,0.00445979,0.029463,0.0440357,0.0249206,0.0354905,0.00565863,0.00730653,0.00730842,0.00961424,0.00407028,0.0107397,0,0,0,0,0
94,0.0110139,0.00537698,0,0,0,0.0234935,0.0143468,0.00571397,0.00847673,0,0,0,0.0190221,0,0.0206963,0.0134927,0.0351519,0.0129639,0.0202351,0.0107516,0,0,0.00643236,0.0129809,0.00795496,0.0079866,0.00682461,0.0313502,0.0100016,0.00588643,0.00855498,0.0182272,0,0.0321423,0,0.0177384,0.00224198,0.00817828,0.00450404,0.016097,0.0246997,0.00933596,0.011059,0,0,0.0155198,0,0.0152358,0.00965468,0.0387814,0.0361351,0.0315944,0.011707,0.0171327,0.0136159,0.00720266,0.0206184,0.00434339,0.00669478,0.0268025,0.0439216,0.0232082,0.0320211,0.00654003,0.00652342,0.00719453,0.00984813,0.00406788,0.0108241,0,0,0,0,0
95,0.0106379,0.00509506,0,0,0,0.0228737,0.0142997,0.00510684,0.00828871,0,0,0,0.0184754,0,0.0208691,0.0129748,0.0350232,0.0137537,0.0199235,0.0100976,0,0,0.00618965,0.0122581,0.00737509,0.00711005,0.00594144,0.0314235,0.0097759,0.00611966,0.00891428,0.017982,0,0.0320704,0,0.0174321,0.00227282,0.00833089,0.00248535,0.015796,0.022399,0.0091373,0.0102905,0,0,0.0178153,0,0.0152448,0.0105174,0.0391158,0.0333648,0.0318372,0.00853215,0.0171952,0.0132558,0.00804647,0.0213208,0.0035761,0.00773304,0.024701,0.0439269,0.0219053,0.0289793,0.00825163,0.00710276,0.00719252,0.0103337,0.00345256,0.0105075,0,0,0,0,0
96,0.010601,0.0050361,0,0,0,0.0219772,0.0143481,0.00478969,0.00811752,0,0,0,0.0185627,0,0.0210103,0.0129497,0.0349822,0.0145383,0.0195241,0.00972525,0,0,0.00595052,0.0121363,0.00680385,0.00635209,0.00516268,0.0314749,0.00967027,0.00629975,0.00922187,0.0177907,0,0.0317631,0,0.0173911,0.00233968,0.00846585,0.00259212,0.0157647,0.0203211,0.00908264,0.0102112,0,0,0.0176417,0,0.0152218,0.0104273,0.039236,0.0313128,0.0320298,0.00518871,0.0171782,0.0132354,0.00822411,0.021843,0.00254296,0.0078046,0.0225655,0.0438689,0.0203417,0.0256787,0.00920729,0.0070074,0.00705166,0.0103209,0.00334429,0.0104142,0,0,0,0,0
97,0.0104792,0.00484721,0,0,0,0.0209699,0.0144809,0.00487593,0.00796244,0,0,0,0.0183323,0,0.0208798,0.0129279,0.0349423,0.0153691,0.0191174,0.00939915,0,0,0.00576169,0.0119208,0.0060869,0.00559492,0.00443303,0.0314561,0.0094844,0.00651298,0.00953425,0.0176183,0,0.0315529,0,0.0171067,0.0023717,0.0084105,0.00452188,0.0157635,0.0177615,0.00927901,0.0100455,0,0,0.0174736,0,0.0152102,0.0103853,0.0391145,0.028387,0.0320461,0.00478613,0.0170596,0.0132391,0.00801432,0.0218535,0.00320167,0.00760866,0.0200744,0.0432052,0.0180782,0.0217805,0.0096187,0.006903,0.00685881,0.0104693,0.00318954,0.0101867,0,0,0,0,0
98,0.0102999,0.00449393,0,0,0,0.0196385,0.0147631,0.00529807,0.00780988,0,0,0,0.0177476,0,0.0204625,0.0128224,0.0348214,0.0161669,0.0187903,0.00934098,0,0,0.00556575,0.0116062,0.00537431,0.00501954,0.00363316,0.0313494,0.00937682,0.00677105,0.00979089,0.0174861,0,0.0312708,0,0.0164055,0.00246175,0.0081744,0.00689351,0.0157792,0.0149106,0.00963051,0.00988245,0,0,0.0172185,0,0.0152099,0.0102412,0.0386841,0.0246248,0.031902,0.00823268,0.0166838,0.0132512,0.00743253,0.0217731,0.00629497,0.00794121,0.017551,0.0420606,0.0156324,0.0178219,0.0106009,0.00678143,0.00663009,0.0105768,0.00293379,0.00981021,0,0,0,0,0
99,0.0102852,0.00510936,0,0,0,0.018462,0.0148041,0.005955,0.00776927,0,0,0,0.01832,0,0.0203565,0.013448,0.034685,0.0164974,0.0184633,0.00961848,0,0,0.00530509,0.0126611,0.00474421,0.00471293,0.00294962,0.0312052,0.00942938,0.00696899,0.0100172,0.0173527,0,0.0306786,0,0.0161644,0.00266872,0.00806934,0.00686357,0.0157014,0.0127096,0.00982261,0.0109919,0,0,0.0172158,0,0.0152332,0.0101928,0.0378137,0.0217823,0.0319312,0.00859364,0.0159859,0.0143399,0.00679041,0.0214819,0.00791036,0.0085489,0.0155673,0.0409486,0.0141585,0.0151801,0.00995353,0.00679903,0.00656334,0.0105822,0.00410466,0.00967242,0,0,0,0,0
100,0.00971254,0.00382734,0,0,0,0.0160337,0.0146975,0.00668204,0.00758331,0,0,0,0.0163986,0,0.020477,0.012015,0.0343098,0.016929,0.0182861,0.0100839,0,0,0.0053154,0.0108218,0.00405087,0.00459191,0.00296586,0.0308913,0.00949213,0.00704423,0.0100322,0.017381,0,0.0304791,0,0.0144091,0.00252531,0.00788468,0.00672902,0.0158143,0.00989793,0.0101532,0.0100303,0,0,0.0165158,0,0.0151768,0.00969059,0.0371025,0.0177832,0.0318326,0.00985518,0.0155499,0.0132702,0.00624597,0.0217203,0.010151,0.00961401,0.0138806,0.0400604,0.0124863,0.0122518,0.00974934,0.00622021,0.00642447,0.0105398,0.00248824,0.00923565,0,0,0,0,0
101,0.009645,0.00450892,0,0,0,0.0157375,0.0145208,0.00733744,0.00749481,0,0,0,0.0169476,0,0.0206215,0.0124359,0.033926,0.0160031,0.0180028,0.0104905,0,0,0.00543239,0.0118734,0.00361545,0.00463735,0.00412204,0.030665,0.00958469,0.00713476,0.0098578,0.0173904,0,0.0294135,0,0.0140005,0.00255712,0.00775002,0.00493055,0.0156141,0.00843451,0.0101429,0.0108905,0,0,0.017161,0,0.0151912,0.00998559,0.0362904,0.0158336,0.0320426,0.00965836,0.0148906,0.0143868,0.00599561,0.0221926,0.0108511,0.00982666,0.0128895,0.0394558,0.0115621,0.0109463,0.0078382,0.00646304,0.00656092,0.0105943,0.00377724,0.00916481,0,0,0,0,0
102,0.00945537,0.00411274,0,0,0,0.0145719,0.0145677,0.00759449,0.00728057,0,0,0,0.0159319,0,0.0205586,0.0117632,0.0335097,0.0147137,0.0177468,0.010792,0,0,0.00559439,0.0113641,0.0034907,0.00496509,0.00538815,0.0305281,0.00947011,0.00723961,0.00941731,0.0175619,0,0.0288684,0,0.0127099,0.00251405,0.00739128,0.00534284,0.0156691,0.0071148,0.0102082,0.010649,0,0,0.0172156,0,0.0152224,0.0100044,0.0357068,0.0136126,0.032209,0.0102614,0.0145378,0.0143324,0.00603473,0.0231366,0.0119351,0.00992826,0.0120574,0.0387067,0.0101385,0.0100938,0.00767841,0.00634364,0.0065112,0.0106258,0.00345554,0.00889322,0,0,0,0,0
