Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0.0353885,0.0398729,0,0,0,0.0506541,0.021088,0.0311812,0.0182525,0,0,0,0,0.0220919,0,0.0173672,0.00910729,0.0381601,0.0318758,0.0274403,0.0205538,0,0,0.0451338,0.0328356,0.0151572,0.024622,0.0190835,0.0370771,0.0128579,0.0199321,0.0150352,0.0163459,0,0.0571179,0,0.0126477,0.00487127,0.0067777,0.0223825,0.0143479,0.0212372,0.01935,0.00792306,0,0,0.0360066,0,0.0110464,0.0195945,0.0360913,0.0277463,0.0355869,0.0109348,0.0421685,0.0353496,0.0209907,0.0160402,0.0205812,0.0219536,0.0154118,0.0255372,0.0143731,0.0185468,0.028784,0.0282146,0.0106316,0.00554084,0.0429943,0.0139358,0,0,0,0
0,0.0299308,0.0349791,0,0,0,0.0410108,0.017757,0.0345022,0.011779,0,0,0,0,0.0132163,0,0.0193848,0.00563181,0.0423394,0.0293484,0.0255507,0.0200353,0,0,0.0331342,0.0348577,0.0125298,0.0277053,0.0192321,0.031752,0.0142198,0.023298,0.0181553,0.0123378,0,0.039454,0,0.011534,0.00584929,0.00432755,0.0291047,0.0157456,0.0198243,0.0278416,0.00691043,0,0,0.0269982,0,0.0122986,0.0184422,0.0359726,0.0225712,0.0403444,0.0113258,0.0435341,0.0239343,0.0207207,0.0168494,0.0186911,0.0215782,0.0159957,0.0192976,0.0137019,0.0173807,0.0262408,0.0234949,0.00596401,0.00612604,0.0392449,0.0106757,0,0,0,0
1,0.0310429,0.0357306,0,0,0,0.0400911,0.0179503,0.0329643,0.0117337,0,0,0,0,0.01438,0,0.0194448,0.00584549,0.0415518,0.0277526,0.0252211,0.0211715,0,0,0.0347486,0.0334397,0.0131868,0.0288226,0.0197256,0.0319001,0.0154952,0.024808,0.0182889,0.0117961,0,0.0378752,0,0.0105173,0.00591347,0.00458589,0.032553,0.0152046,0.0184252,0.0275002,0.00411655,0,0,0.0278001,0,0.0125126,0.018571,0.0356421,0.0187987,0.0403955,0.0098954,0.0446694,0.0265764,0.0209727,0.0162543,0.0183676,0.0223524,0.0163069,0.0183452,0.0141549,0.0176708,0.0291188,0.0242986,0.00605012,0.00518335,0.0401615,0.0103919,0,0,0,0
2,0.0322505,0.0366623,0,0,0,0.040056,0.0182309,0.0318293,0.0112821,0,0,0,0,0.0152866,0,0.0193085,0.00626407,0.0406299,0.0266044,0.0246163,0.0228308,0,0,0.0360702,0.0330171,0.0140356,0.0302683,0.0206817,0.0318708,0.0164009,0.0257273,0.0179739,0.0112596,0,0.0373736,0,0.0103017,0.00617759,0.00504287,0.0348686,0.0147612,0.0173625,0.0264325,0.00354842,0,0,0.028424,0,0.0124842,0.0185733,0.0352324,0.0172355,0.0395676,0.00866846,0.0456337,0.0291038,0.0213119,0.0155336,0.0183635,0.023295,0.0166693,0.0168019,0.0147518,0.0186188,0.0314443,0.0249322,0.00616801,0.00450821,0.0411334,0.0105251,0,0,0,0
3,0.0330445,0.0375526,0,0,0,0.0404779,0.0185514,0.0307291,0.0108612,0,0,0,0,0.016202,0,0.0191239,0.00670484,0.0397259,0.0258763,0.0239442,0.0243962,0,0,0.0373592,0.0329018,0.0150042,0.0316841,0.0213856,0.0316029,0.0167121,0.0263686,0.0175248,0.0106517,0,0.0376547,0,0.0101924,0.00647957,0.005546,0.036444,0.0144446,0.0164525,0.025169,0.00462844,0,0,0.0291194,0,0.0123281,0.0186289,0.0347858,0.0178891,0.0384058,0.00782595,0.0466088,0.0311866,0.0218922,0.0147493,0.0190128,0.0244227,0.0173414,0.0150463,0.0154403,0.019977,0.0336214,0.0255859,0.00649911,0.00406998,0.0421462,0.0111566,0,0,0,0
4,0.0308628,0.0375233,0,0,0,0.041514,0.0219661,0.0294758,0.0108975,0,0,0,0,0.0175531,0,0.0172574,0.00739053,0.0375361,0.0256128,0.0229179,0.0272052,0,0,0.0415615,0.0306636,0.0160416,0.034421,0.0233298,0.0329903,0.016616,0.0267714,0.0163772,0.00952859,0,0.0389838,0,0.00997862,0.00551153,0.00647884,0.056801,0.0170235,0.0262833,0.0225712,0.00575292,0,0,0.0312651,0,0.00969335,0.0194853,0.0366798,0.021082,0.0333821,0.0184587,0.0505132,0.0328026,0.0264798,0.00890244,0.0209221,0.0265713,0.0231252,0.0308201,0.0246706,0.0239304,0.0595442,0.0283415,0.00754745,0.00590841,0.0426805,0.0147787,0,0,0,0
5,0.032011,0.0388329,0,0,0,0.0424557,0.022232,0.029188,0.0109779,0,0,0,0,0.0186219,0,0.0171935,0.00772915,0.037037,0.0251936,0.0222903,0.0275982,0,0,0.0430044,0.0316897,0.01634,0.0344999,0.0228406,0.0326509,0.0166266,0.0271083,0.0164138,0.00894914,0,0.0404082,0,0.0102997,0.0055373,0.00678174,0.0524064,0.0166959,0.0213034,0.0223619,0.00728248,0,0,0.0322427,0,0.00973813,0.0198783,0.0363991,0.0182627,0.0328968,0.0149279,0.0513754,0.0343048,0.0263309,0.00813408,0.0214289,0.0270608,0.0204872,0.0249203,0.0204594,0.0222613,0.0548595,0.0288895,0.00839698,0.0058606,0.0439896,0.0153286,0,0,0,0
6,0.0331638,0.0400866,0,0,0,0.0433461,0.0224288,0.0290081,0.0110532,0,0,0,0,0.0199554,0,0.0171248,0.00812478,0.0366858,0.024636,0.0218097,0.0273026,0,0,0.0444236,0.0328903,0.0160541,0.0340517,0.0221481,0.0326676,0.016578,0.0271639,0.0164827,0.0084544,0,0.0419345,0,0.0107229,0.00543888,0.00703192,0.0403594,0.0163572,0.013579,0.0221159,0.00886707,0,0,0.0334498,0,0.00983621,0.0203185,0.0361567,0.0192176,0.0323492,0.0107355,0.0520908,0.0359424,0.0260713,0.00922887,0.0227524,0.0283471,0.0192939,0.0164131,0.0171239,0.0227996,0.0427108,0.0294778,0.00942339,0.00570323,0.0451839,0.0158401,0,0,0,0
7,0.0343375,0.0412269,0,0,0,0.0442248,0.0225445,0.0288277,0.011247,0,0,0,0,0.0243857,0,0.016724,0.00992229,0.0364443,0.0239103,0.0214701,0.0264899,0,0,0.0462128,0.0353735,0.015312,0.0330566,0.0213873,0.0330852,0.0162694,0.026932,0.0166496,0.00804002,0,0.0436704,0,0.0131573,0.00479396,0.00742547,0.0264395,0.0151185,0.00897112,0.0220448,0.0106954,0,0,0.0370462,0,0.00982663,0.0208542,0.0361334,0.0255119,0.0317078,0.0092634,0.0528067,0.0379334,0.0266189,0.0119149,0.0252388,0.0308315,0.020319,0.0104606,0.0167616,0.025527,0.0340214,0.0303943,0.0122756,0.00633456,0.0462997,0.0165444,0,0,0,0
8,0.0346105,0.0416224,0,0,0,0.0450944,0.0226452,0.0284736,0.0112379,0,0,0,0,0.0245705,0,0.0167646,0.00996944,0.0365234,0.0237138,0.0213473,0.0258105,0,0,0.0468483,0.0357151,0.0145072,0.0321016,0.0207837,0.0334882,0.0157316,0.0264762,0.0166834,0.00784725,0,0.0447653,0,0.0130999,0.00480591,0.0075313,0.0234901,0.0151248,0.00846506,0.0215067,0.0110672,0,0,0.0379737,0,0.00984449,0.0214822,0.0361799,0.0283579,0.0312763,0.00888939,0.0522375,0.038527,0.0270351,0.0133115,0.0266414,0.0320333,0.0215646,0.0092949,0.0173775,0.027427,0.0358901,0.0308813,0.0128355,0.00648112,0.0466338,0.0168571,0,0,0,0
