Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
188,0.0190587,0.0116695,0,0,0,0.0425878,0.0184159,0.022904,0.0156147,0,0,0,0,0.0104879,0,0.0179767,0.00716912,0.0358822,0.022617,0.0230692,0.0104678,0,0,0.0203784,0.0134313,0.00684635,0.0084483,0.00683782,0.0353609,0.0142459,0.0197871,0.0154291,0.00754697,0,0.0467471,0,0.0146409,0.00418321,0.00564773,0.0573111,0.0147033,0.0504351,0.00594612,0.00460315,0,0,0.0189073,0,0.0112203,0.0113986,0.0386035,0.0503318,0.0293133,0.025405,0.00859384,0.0152055,0.0146706,0.022956,0.0282706,0.0165594,0.0154444,0.0334213,0.00760856,0.0163066,0.0578773,0.013247,0.00626236,0.00519902,0.00457454,0.00756035,0,0,0,0
189,0.0189822,0.011485,0,0,0,0.0407563,0.0183876,0.0217774,0.0154278,0,0,0,0,0.0106291,0,0.0179765,0.00713003,0.0358358,0.0219506,0.0228678,0.0111689,0,0,0.0207434,0.0131676,0.00729401,0.00904691,0.0073198,0.0354805,0.0143285,0.019652,0.015309,0.00768063,0,0.0447624,0,0.0144766,0.0041603,0.00564172,0.0565853,0.0146256,0.0517113,0.00623984,0.00459826,0,0,0.0188029,0,0.0111823,0.0114592,0.0383915,0.0512886,0.0295291,0.0267899,0.00881828,0.0151402,0.0141802,0.0226677,0.0277729,0.0157917,0.0169185,0.0331901,0.00809364,0.0178818,0.0589478,0.0131736,0.00636026,0.00519254,0.00440519,0.00755432,0,0,0,0
190,0.0188199,0.0113612,0,0,0,0.0387797,0.018359,0.0206866,0.015221,0,0,0,0,0.0105612,0,0.0179855,0.00715654,0.0358858,0.0217152,0.0226133,0.0118802,0,0,0.0210119,0.012931,0.00782093,0.00980789,0.00793866,0.0354601,0.014365,0.0194616,0.0151731,0.00790634,0,0.0425122,0,0.0142785,0.0041555,0.00567605,0.0544385,0.0146783,0.0510308,0.00668358,0.00447259,0,0,0.0187661,0,0.0112766,0.0114272,0.0378688,0.0501853,0.0297322,0.0289928,0.0090763,0.0150282,0.0138249,0.0226184,0.0283676,0.0161415,0.0175436,0.0329678,0.00866465,0.018895,0.0581693,0.0131185,0.00638181,0.00517779,0.00421886,0.00752375,0,0,0,0
191,0.018582,0.0113101,0,0,0,0.036567,0.0183466,0.0198183,0.0149435,0,0,0,0,0.0106172,0,0.0180045,0.00721342,0.035938,0.0217313,0.0223629,0.0125615,0,0,0.0211638,0.0127528,0.00838388,0.010533,0.00866801,0.0353254,0.0143613,0.0191698,0.0150057,0.00818403,0,0.0399612,0,0.0140084,0.0041749,0.00572044,0.0516153,0.0148111,0.0485069,0.00714971,0.00434846,0,0,0.01878,0,0.0114158,0.0113294,0.0370822,0.0478438,0.0297696,0.0302117,0.0093372,0.0149361,0.0136453,0.0225993,0.029433,0.0174118,0.0170341,0.0324908,0.0090101,0.0187656,0.0558794,0.0130441,0.00620464,0.00502737,0.00402858,0.0075614,0,0,0,0
192,0.0182324,0.0112688,0,0,0,0.0339976,0.0183738,0.019098,0.0146317,0,0,0,0,0.0106281,0,0.0180224,0.00724389,0.0359109,0.0219551,0.0220989,0.0131906,0,0,0.0212895,0.0125895,0.0089925,0.011327,0.00953146,0.0350882,0.0142311,0.0186,0.0148213,0.00844383,0,0.0370996,0,0.013628,0.0041957,0.00571992,0.0488223,0.0148445,0.0457324,0.00761949,0.00422981,0,0,0.0188627,0,0.0114507,0.0113086,0.0360256,0.0454084,0.0297243,0.0290694,0.00945954,0.0147901,0.0138733,0.0227084,0.0303386,0.0190682,0.0155246,0.032012,0.00899245,0.0173153,0.0533333,0.012808,0.00605367,0.00491702,0.00383956,0.00760079,0,0,0,0
193,0.0177981,0.0111242,0,0,0,0.0308798,0.018397,0.0186748,0.0143217,0,0,0,0,0.0106215,0,0.0180302,0.00718236,0.0357573,0.0222249,0.0218601,0.0135901,0,0,0.0214325,0.0123819,0.00956382,0.0119412,0.0104201,0.0348223,0.0138815,0.0175481,0.0146944,0.00869072,0,0.0334755,0,0.0132271,0.00420724,0.00565302,0.0464445,0.0147592,0.0437604,0.00803292,0.00402876,0,0,0.0189586,0,0.011416,0.0114535,0.0348526,0.0432057,0.0299003,0.0264512,0.00950568,0.014564,0.0145498,0.0229995,0.0309062,0.020562,0.0139036,0.0317081,0.00884406,0.0155135,0.051364,0.0126153,0.00611064,0.00505091,0.00362135,0.00772166,0,0,0,0
194,0.0173871,0.0109855,0,0,0,0.0273667,0.0184291,0.0188051,0.0139302,0,0,0,0,0.0105534,0,0.0180501,0.00718147,0.0355366,0.0226655,0.0215921,0.0135996,0,0,0.0214455,0.0122536,0.0100964,0.0123501,0.0114203,0.0345619,0.0133009,0.0161328,0.0146074,0.00896923,0,0.0291031,0,0.0129123,0.00421715,0.00559195,0.0444599,0.0146466,0.0421719,0.00826402,0.00389922,0,0,0.0189211,0,0.0113723,0.0116835,0.0338295,0.04162,0.0302457,0.0243432,0.00950335,0.0142156,0.015326,0.0234587,0.0311079,0.021466,0.0129086,0.0315357,0.00882538,0.0144253,0.0499773,0.012522,0.0061685,0.0051817,0.00349304,0.00783982,0,0,0,0
195,0.017024,0.0109404,0,0,0,0.0237535,0.0184685,0.0194389,0.013484,0,0,0,0,0.0103632,0,0.018061,0.007191,0.0353983,0.0231891,0.0212033,0.0130688,0,0,0.0214632,0.012147,0.0105375,0.0124536,0.0123157,0.0344037,0.0124536,0.0144554,0.0145432,0.00927823,0,0.0241977,0,0.0126415,0.00422168,0.00554872,0.0431433,0.0146017,0.0409742,0.00840592,0.00381823,0,0,0.0189119,0,0.0113455,0.0117423,0.0332073,0.0406732,0.0306205,0.0235468,0.00970214,0.0138673,0.015826,0.0237709,0.0307998,0.0215457,0.012815,0.0312142,0.00902756,0.0144451,0.0495614,0.0124587,0.00611892,0.00524346,0.00358607,0.00802551,0,0,0,0
196,0.0166918,0.010992,0,0,0,0.0203881,0.0185459,0.0205611,0.0129711,0,0,0,0,0.0104067,0,0.0180546,0.00708921,0.0354084,0.0236775,0.0206709,0.0120219,0,0,0.0215704,0.0120321,0.010708,0.0119954,0.0128896,0.0343878,0.0113708,0.0127984,0.0144693,0.00963649,0,0.0185101,0,0.0124059,0.00423055,0.00549747,0.041952,0.0146156,0.0401066,0.00860952,0.00386312,0,0,0.0191073,0,0.0113341,0.0118385,0.0330255,0.0395977,0.030945,0.0238044,0.010046,0.0136497,0.0161056,0.0237507,0.0301343,0.021426,0.0133438,0.0305634,0.00917972,0.0152182,0.0494199,0.0123974,0.00599248,0.00529877,0.0038491,0.00825943,0,0,0,0
197,0.0163472,0.011112,0,0,0,0.0181876,0.0186278,0.0220111,0.012371,0,0,0,0,0.0103903,0,0.0180395,0.00708593,0.0354761,0.0241423,0.020167,0.0106312,0,0,0.0216798,0.0119585,0.0105652,0.0109384,0.0130415,0.0344741,0.0102182,0.0115612,0.014348,0.0100635,0,0.0120341,0,0.0123172,0.00423591,0.0054324,0.0404255,0.0147453,0.039444,0.00882205,0.00397521,0,0,0.0191899,0,0.0114043,0.0118566,0.0328852,0.0380463,0.0311619,0.024662,0.0103439,0.0135634,0.0161782,0.0234133,0.0294007,0.0213326,0.0140085,0.0296931,0.0094524,0.0162414,0.0486408,0.0122428,0.00582268,0.00518871,0.00415803,0.00844453,0,0,0,0
