Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,RTIBI,x73
193,0.0136541,0.0156553,0,0,0,0.062178,0.0214045,0.0351103,0.00637142,0,0,0,0,0.0156021,0,0.017176,0.00778843,0.0351983,0.0390065,0.0225319,0.0231258,0,0,0.0236779,0.0111546,0.0143411,0.0303894,0.0181126,0.0352045,0.0188333,0.0344832,0.0148396,0.0208804,0,0.086556,0,0.00877088,0.00469818,0.00607454,0.0175158,0.0121499,0.0177644,0.0118377,0.00732782,0,0,0.0129854,0,0.00959877,0.00813087,0.0348609,0.0156737,0.0298488,0.0150325,0.0276279,0.0212787,0.0135612,0.0139344,0.0121624,0.015343,0.00837781,0.0272958,0.0100069,0.0217103,0.0115525,0.00851048,0.00624639,0.0197993,0.0166436,0,0,0,0.011167,0
194,0.0136441,0.0155611,0,0,0,0.0616664,0.0213457,0.034751,0.0062641,0,0,0,0,0.0156104,0,0.0171922,0.00790803,0.0351285,0.0384035,0.0225505,0.0221967,0,0,0.0228658,0.0113117,0.0138773,0.02906,0.0173985,0.034724,0.0180589,0.0336352,0.0144244,0.0207372,0,0.0855107,0,0.00891915,0.00470943,0.00614786,0.0174215,0.0121198,0.0172153,0.0123363,0.00697322,0,0,0.0125655,0,0.00962228,0.00767076,0.0348955,0.0143075,0.0296292,0.0156641,0.0274616,0.0208672,0.0137407,0.0142399,0.012369,0.01537,0.00814631,0.0270931,0.00973405,0.0212511,0.0114535,0.0079591,0.00632653,0.0197239,0.0164774,0,0,0,0.0110651,0
195,0.0136626,0.0154618,0,0,0,0.0613223,0.0212802,0.0344765,0.00619075,0,0,0,0,0.0156735,0,0.0170293,0.00796383,0.035107,0.037944,0.0224867,0.0210811,0,0,0.0222269,0.0114803,0.0134221,0.0275273,0.0167701,0.0343439,0.0172585,0.0328016,0.0140913,0.0205225,0,0.0847107,0,0.0091076,0.00472972,0.00612754,0.0167064,0.0121166,0.0166127,0.0127924,0.00678687,0,0,0.0122844,0,0.00962577,0.00748846,0.0351321,0.0133124,0.0294007,0.0175152,0.0273287,0.020452,0.0142147,0.014373,0.0125641,0.0159292,0.00901229,0.0267271,0,0.0205047,0.0112933,0.00770282,0.00634242,0.0195542,0.0163369,0,0,0,0.0112718,0
196,0.0138384,0.0155085,0,0,0,0.0612145,0.0215111,0.0341689,0.00626322,0,0,0,0,0.015768,0,0.016902,0.00800938,0.0350992,0.0376012,0.0224037,0.0198855,0,0,0.0217826,0.0117615,0.0129276,0.02586,0.0164163,0.0340216,0.0163574,0.0319253,0.0137331,0.0202683,0,0.0842875,0,0.00924421,0.00510255,0.00614678,0.0170483,0.0121025,0.0162692,0.0132102,0.00656003,0,0,0.0123503,0,0.00958744,0.00765724,0.0353261,0.0121438,0.0290875,0.0173506,0.0273945,0.0204207,0.0149281,0.0144749,0.0128503,0.0162108,0.00862152,0.026437,0.01019,0.020474,0.01125,0.00788819,0.00627292,0.0194483,0.0161946,0,0,0,0.0107175,0
197,0.0138821,0.0156498,0,0,0,0.0612652,0.0217034,0.0337508,0.00646602,0,0,0,0,0.0160182,0,0.0168896,0.0081656,0.0351925,0.0371679,0.0223338,0.0186926,0,0,0.0214909,0.012034,0.0124023,0.0240619,0.0162567,0.0337052,0.0153928,0.0309228,0.013264,0.0199472,0,0.0841325,0,0.00954846,0.00540695,0.00615389,0.0169478,0.0120909,0.0160137,0.0136554,0.00638228,0,0,0.0125568,0,0.00953474,0.00787492,0.0355915,0.0114201,0.0287399,0.0176518,0.0277432,0.0204738,0.0149841,0.0146183,0.0130016,0.0166005,0.00888567,0.0260739,0.0102419,0.0203122,0.0112605,0.00813843,0.00622087,0.0194737,0.0161317,0,0,0,0.0105525,0
198,0.0137919,0.0158718,0,0,0,0.0615668,0.0217162,0.0332525,0.00674273,0,0,0,0,0.0163795,0,0.0169143,0.00834073,0.0353518,0.0368498,0.0222555,0.0174512,0,0,0.0215409,0.012426,0.0118877,0.0222001,0.0162289,0.0333424,0.0145302,0.029909,0.0126824,0.0196067,0,0.0843201,0,0.00996699,0.00543351,0.00614538,0.0166304,0.0120907,0.01561,0.0141148,0.00631125,0,0,0.0127242,0,0.00951197,0.0078721,0.0358499,0.0108158,0.0283898,0.0180906,0.0281694,0.0206913,0.0156034,0.0147781,0.0131907,0.0169737,0.00872754,0.0256838,0.00987551,0.0199603,0.0113741,0.00809794,0.00628638,0.0195603,0.0161984,0,0,0,0.0104947,0
199,0.0139309,0.0161342,0,0,0,0.0620344,0.0218159,0.0328548,0.00699789,0,0,0,0,0.0166934,0,0.0167998,0.00858173,0.0354305,0.0368323,0.0221112,0.0162717,0,0,0.0216832,0.0128783,0.0114484,0.0203087,0.0157275,0.0329628,0.013703,0.0289615,0.0120421,0.0192978,0,0.0848309,0,0.0102998,0.00546587,0.00614574,0.0160662,0.0121053,0.0149269,0.014546,0.00637868,0,0,0.0128551,0,0.00950871,0.00768617,0.0361397,0.0102187,0.0280672,0.018832,0.0287184,0.0210657,0.0161488,0.0148901,0.0135454,0.017408,0.0088052,0.0252514,0.00967955,0.019405,0.0116946,0.00785575,0.00629011,0.0195977,0.0163347,0,0,0,0.0104632,0
200,0.0140565,0.0162773,0,0,0,0.0624271,0.0218047,0.0326332,0.007157,0,0,0,0,0.0170772,0,0.0167203,0.00871513,0.0353539,0.0370524,0.021862,0.0152817,0,0,0.0217577,0.0131729,0.0111248,0.0185668,0.0152633,0.0325799,0.012937,0.028008,0.0114801,0.0189498,0,0.0855558,0,0.0105683,0.00540334,0.00614625,0.0167286,0.0121022,0.01563,0.0149403,0.00663408,0,0,0.012991,0,0.00948394,0.0074414,0.0364421,0,0.0278209,0.0191525,0.0293473,0.021295,0.0165551,0.0148185,0.0139018,0.0178632,0.00890969,0.0247455,0.00976856,0.019634,0.0119317,0.00770576,0.00627462,0.019514,0.0164334,0,0,0,0.0108818,0
201,0.0141477,0.0164439,0,0,0,0.0624661,0.0216311,0.0321063,0.00738144,0,0,0,0,0.0178539,0,0.0167994,0.00869899,0.0353082,0.0367286,0.0215683,0.0143036,0,0,0.0220691,0.0134818,0.0108879,0.0168788,0.0148372,0.0322211,0.0122362,0.0267781,0.0109818,0.0184709,0,0.0860151,0,0.0108649,0.00510682,0.00623683,0.0162084,0.012188,0.0149983,0.0154042,0.00677437,0,0,0.0132076,0,0.00949069,0.00741606,0.0366916,0,0.0275266,0.0197458,0.030166,0.0214815,0.0168407,0.0149609,0.0140762,0.0183035,0.00896027,0.0242571,0.00951956,0.0189673,0.0120594,0.00781611,0.00628109,0.0194125,0.0165177,0,0,0,0.0107145,0
202,0.0143139,0.0166354,0,0,0,0.0617517,0.0215227,0.0308887,0.00764123,0,0,0,0,0.0187267,0,0.0168808,0.00861639,0.0353216,0.0361568,0.021283,0.013297,0,0,0.0225082,0.0137924,0.0106797,0.0151878,0.0142417,0.0318926,0.0115383,0.0252893,0.0105549,0.0178029,0,0.0855987,0,0.011087,0.00492836,0.00639586,0.014621,0.0122454,0.0133466,0.0158665,0.00706532,0,0,0.0135415,0,0.00948228,0.00766165,0.0368862,0.00698492,0.0272064,0.0207083,0.0310213,0.021818,0.0170705,0.0152386,0.0143508,0.0187472,0.00894589,0.0238798,0.00910737,0.0175366,0.012286,0.00809547,0.00628308,0.0192169,0.016553,0,0,0,0.0101281,0
