Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LBR
All Timesteps RMSE,0.022674,0.0235494,0,0,0,0.0409351,0.0200869,0.026994,0.00998366,0,0,0,0.0103321,0,0.0172491,0.00575838,0.0347805,0.0261964,0.0222723,0.00845993,0,0,0.0229263,0.027063,0.00838699,0.0109038,0.010214,0.0341615,0.0102743,0.0168621,0.0137694,0.0150447,0,0.0473858,0,0.0113179,0.00443689,0.00476376,0.0242944,0.0141562,0.0228383,0.0121547,0.00597941,0,0,0.018685,0,0.0103895,0.0127641,0.0365051,0.0261486,0.0281989,0.0110877,0.0246857,0.0167293,0.0120503,0.0152069,0.0125711,0.01378,0.0131774,0.0253965,0.0132744,0.016267,0.0286248,0.0119383,0.0135193,0.00903965,0.0215584,0.00627904,0,0,0,0,0
0,0.0336604,0.0340606,0,0,0,0.0498093,0.020479,0.0325529,0.0116582,0,0,0,0.0129993,0,0.0167337,0.00670244,0.0322329,0.0320646,0.0239003,0.00473089,0,0,0.0258755,0.0323232,0.0105704,0.0146334,0.0156194,0.039693,0.00992104,0.0219541,0.0133291,0.0192499,0,0.0640191,0,0.0135769,0.00446596,0.00496484,0.0272372,0.0154561,0.0282271,0.00819552,0.00829062,0,0,0.0296678,0,0.010019,0.0203985,0.0319064,0.0225712,0.0323039,0.00962543,0.02241,0.0293972,0.00919416,0.020134,0.015322,0.0122919,0.00638049,0.0305723,0.0125726,0.00907082,0.0326768,0.0246146,0.0188574,0.0110134,0.0274867,0.00422718,0,0,0,0,0
1,0.0329656,0.0341981,0,0,0,0.0525843,0.0201101,0.0338981,0.0104574,0,0,0,0.013231,0,0.0170138,0.00640424,0.0324289,0.0320228,0.0227931,0.00321965,0,0,0.0265228,0.0322475,0.0108745,0.0129742,0.0155193,0.0394742,0.00841412,0.0203646,0.0132623,0.0193057,0,0.0673496,0,0.0129758,0.00437115,0.00479127,0.0243811,0.0152765,0.026064,0.00779952,0.00819767,0,0,0.0304082,0,0.010088,0.0208358,0.0319279,0.0207854,0.0325132,0.00794278,0.023777,0.0291883,0.00929027,0.0196328,0.0137085,0.0115691,0.00519403,0.0306885,0.0120467,0.00803097,0.0300976,0.024863,0.0194058,0.0113117,0.0279768,0.0042444,0,0,0,0,0
2,0.0328063,0.0338414,0,0,0,0.055288,0.0200046,0.0349984,0.009967,0,0,0,0.0128023,0,0.0169785,0.00614509,0.032513,0.0325173,0.0224487,0.00237218,0,0,0.0274001,0.0322567,0.0106175,0.0131234,0.0152157,0.0391631,0.00893373,0.0212922,0.0137162,0.01999,0,0.0714984,0,0.0124276,0.00436327,0.00477129,0.024088,0.015208,0.0255721,0.00758125,0.00879508,0,0,0.0312765,0,0.00995713,0.0214831,0.0321113,0.02005,0.0321755,0.00752503,0.0255756,0.0294739,0.00965043,0.0198266,0.013833,0.0115258,0.00482205,0.0305032,0.0119272,0.00808268,0.0293243,0.0253141,0.0201223,0,0.0285896,0.00498764,0,0,0,0,0
3,0.0279685,0.0262214,0,0,0,0.0579983,0.0192791,0.0359216,0.00682062,0,0,0,0.0066376,0,0.0162822,0.00556245,0.0323863,0.0336981,0.020571,0.0020464,0,0,0.0184214,0.0263108,0.0102543,0.0142413,0.0147544,0.0382687,0.00952162,0.0227656,0.0138728,0.020543,0,0.0762873,0,0.0123925,0,0.00533656,0.0244779,0.014621,0.0263721,0.00656131,0.00620166,0,0,0.0226355,0,0.0103361,0.0166323,0.0326364,0.0211975,0.0330748,0.00769937,0.0167102,0.0222655,0.00987897,0.0189026,0.0137902,0.0120763,0.00596202,0.0299333,0.0120692,0.00875005,0.0301437,0.0174628,0.0179481,0.0108924,0.0206574,0.00169251,0,0,0,0,0
4,0.0274574,0.0259757,0,0,0,0.0605776,0.0193598,0.0370722,0.00621225,0,0,0,0.00577495,0,0.0162673,0.00518043,0.0324539,0.0348168,0.0202014,0.0026025,0,0,0.0191763,0.0258461,0.0102053,0.0144199,0.0146072,0.0379778,0.00986435,0.0234251,0.0137458,0.0211099,0,0.0795569,0,0.0117371,0,0.0054026,0.025356,0.0144779,0.0268523,0.00654043,0.00604809,0,0,0.0219456,0,0.0103913,0.0162681,0.0327417,0.0211946,0.0327657,0.00774577,0.0179641,0.0214867,0.0101746,0.0190802,0.0138882,0.0123647,0.00596857,0.0297505,0.0121168,0.00797527,0.0305466,0.0167261,0.0176986,0.0122084,0.0209303,0.00176057,0,0,0,0,0
5,0.0268935,0.0260014,0,0,0,0.0626024,0.0193962,0.0381805,0.00563701,0,0,0,0.00535197,0,0.0162549,0.00491625,0.0324417,0.0358986,0.0198493,0.00318088,0,0,0.0200501,0.0254382,0.0101269,0.0146305,0.0143416,0.037605,0.0102189,0.0240164,0.0137527,0.0215449,0,0.0824721,0,0.011231,0,0.00543384,0.0260448,0.014395,0.0271037,0.00665889,0.00587282,0,0,0.0212553,0,0.0104794,0.0159148,0.0327478,0.0209835,0.0325157,0.00724997,0.0192148,0.0207556,0.0105712,0.0191598,0.0139074,0.0124641,0.00598167,0.0295677,0.0121276,0.00786927,0.0308423,0.0159823,0.0173743,0.0154173,0.0212108,0.00210805,0,0,0,0,0
6,0.0257342,0.026301,0,0,0,0.059089,0.0202007,0.0329001,0.0163293,0,0,0,0.00951166,0,0.0167736,0.00527069,0.0310005,0.0289665,0.0246296,0.0113469,0,0,0.0240313,0.0271516,0.02053,0.0189472,0.0241539,0,0.00676724,0.0178904,0.0121594,0.0206965,0,0.0774417,0,0.0108537,0.00463205,0.00459808,0.0245361,0.014238,0.0237683,0.0127276,0.00528371,0,0,0.0183368,0,0.0105114,0.0146357,0.0319953,0,0.0321052,0.00667165,0.0282485,0.0173879,0.0132918,0.0181099,0.0147594,0.0134209,0.00663451,0.0258907,0.0122266,0.00920665,0.0274715,0.014091,0.0165615,0.0166534,0.0235461,0.00526029,0,0,0,0,0
7,0.0258885,0.025941,0,0,0,0.0645348,0.0203151,0.039302,0.00439827,0,0,0,0.0099327,0,0.0166939,0.0058529,0.0320689,0.036973,0.0192768,0.0041379,0,0,0.0214268,0.0270037,0.00967503,0.0147387,0.0137863,0.0365721,0.0106124,0.0245746,0.0138208,0.0220173,0,0.0853645,0,0.0118429,0.00474977,0.00449492,0.0263584,0.014246,0.0265887,0.00752918,0.00526444,0,0,0.0201839,0,0.0104845,0.0153372,0.0325283,0.0198646,0.0322396,0.00614673,0.0213526,0.0194383,0.0108714,0.0188639,0.0141353,0.0123604,0.00525996,0.0291382,0.0118678,0.00759392,0.0303347,0.0152006,0.016888,0.0170274,0.021776,0.00231164,0,0,0,0,0
8,0.0253916,0.0255503,0,0,0,0.0644783,0.0205394,0.0392218,0,0,0,0,0.00963395,0,0.0166079,0.00583938,0.0317648,0.0371032,0.0191452,0.00434854,0,0,0.0214435,0.0268804,0.00926975,0.0145046,0.0134172,0.0359408,0.0105201,0.0244218,0.0136773,0.0220635,0,0.0853289,0,0.0118581,0.00510315,0.00455443,0.0269485,0.0141352,0.0266338,0.00811663,0.00526958,0,0,0.0194712,0,0.0104808,0.0149099,0.0322602,0.0193392,0.0321291,0.00604383,0.0219222,0.0189803,0.0109219,0.0188,0.0143875,0.01199,0.00472109,0.0288618,0.0117319,0.00730126,0.0305607,0.0146186,0.0165532,0.0159818,0.021654,0.00237147,0,0,0,0,0
9,0.0248984,0.025411,0,0,0,0.0639161,0.0204338,0.0390036,0.00305759,0,0,0,0.00995798,0,0.0166773,0.00586026,0.031663,0.0370292,0.0189937,0.00430049,0,0,0.0214514,0.0266562,0.00889086,0.0141618,0.0129786,0.0353242,0.0101714,0.0239265,0.013494,0.0220027,0,0.0845084,0,0.0118907,0.00497121,0.00452874,0.0271807,0.014128,0.0263917,0.00889915,0.00504209,0,0,0.0188498,0,0.0103986,0.0145402,0.0322274,0.018841,0.0320061,0.00569657,0.0227277,0.0183112,0.0111863,0.0186822,0.0144041,0.0118744,0.00420717,0.0286158,0.0114888,0.0067405,0.0304735,0.0140463,0.016433,0.0119939,0.0216598,0.00241591,0,0,0,0,0
10,0.0244898,0.0252533,0,0,0,0.0629515,0.0202904,0.0386562,0,0,0,0,0.0102161,0,0.0167106,0.00589488,0.0317427,0.0367477,0.0188789,0.00436486,0,0,0.0212256,0.026651,0.00863967,0.0136927,0.0124863,0.0347493,0.00971851,0.0231755,0.0132366,0.0218757,0,0.0831796,0,0.011974,0.00481596,0.00448254,0.0271377,0.0140821,0.0259208,0.0095814,0.00476589,0,0,0.018108,0,0.010391,0.0140546,0.0325292,0.0183625,0.0317663,0.00526269,0.0234454,0.0175785,0.0112707,0.0185418,0.0140142,0.0118835,0.00375387,0.0283678,0.0109356,0.00650752,0.0302954,0.0134305,0.0162254,0.0100519,0.0216909,0.00254696,0,0,0,0,0
11,0.0241945,0.0251296,0,0,0,0,0.0202629,0.0426804,0.00199321,0,0,0,0.0102974,0,0.0167392,0.00597286,0.0317082,0.0407783,0.0188849,0.00498152,0,0,0.0208145,0.0267977,0.00829463,0.0128819,0.0120028,0.0338315,0.00950441,0.0241833,0.0150698,0.019527,0,0.0863509,0,0.0120444,0.00474958,0.00447697,0.0300726,0.0139964,0.0282468,0.0100904,0.00441289,0,0,0.0175379,0,0.0103997,0.0136086,0.0328874,0,0.0315039,0.00542898,0.024088,0.0170943,0.0112821,0.0182979,0.0143212,0.0120841,0.00450629,0.0277808,0.0114381,0.00797677,0.0320797,0.0130365,0.015808,0.00988812,0.0218751,0.0025299,0,0,0,0,0
12,0.023879,0.024982,0,0,0,0.0606947,0.0203599,0.0375527,0.0020426,0,0,0,0.0101403,0,0.0167066,0.00604256,0.0319944,0.0360895,0.0184855,0.00519166,0,0,0.0205343,0.0269214,0.00802541,0.0123952,0.0119946,0.0333511,0.00873997,0.021373,0.012696,0.0214296,0,0.0798794,0,0.0119858,0.00481572,0.00454632,0.0300803,0.0138697,0.0278309,0.010845,0.00416186,0,0,0.0168935,0,0.0104047,0.0131047,0.0327807,0,0.0313323,0.00542905,0.0245792,0.0166581,0.0114767,0.0180967,0.0145089,0.0121409,0.00462648,0.0274443,0.0112444,0.00822113,0.0317596,0.0126402,0.0153277,0.00997949,0.0220711,0.00273633,0,0,0,0,0
13,0.023593,0.0250254,0,0,0,0.059451,0.0205034,0.0367285,0.00259371,0,0,0,0.010273,0,0.0167434,0.00616149,0.0322362,0.0355648,0.0180601,0.00573299,0,0,0.0206456,0.0270887,0.00781942,0.0118189,0.0117101,0.0326746,0.00819527,0.020393,0.0124053,0.0210903,0,0.0782572,0,0.0119392,0.00480078,0.00467906,0.0299326,0.0138096,0.027245,0.0115643,0.00380774,0,0,0.0166595,0,0.0103951,0.0127927,0.0330568,0,0.0309828,0.00561473,0.0253761,0.0164186,0.0116996,0.0178105,0.0146485,0.0121861,0.00467294,0.0273095,0.0111495,0.00823898,0.0312762,0.0125628,0.015011,0.00995168,0.0224513,0.00290604,0,0,0,0,0
14,0.023134,0.025145,0,0,0,0.0581563,0.0197184,0.0359198,0,0,0,0,0.00938684,0,0.0162812,0.00635311,0.0325297,0.0348706,0.0178005,0.00635597,0,0,0.0218962,0.0265571,0.00774059,0.0110628,0.0115459,0.0321735,0.00762688,0.0192823,0.0119507,0.0207022,0,0.0764922,0,0.0121305,0,0.00594463,0.0290221,0.0137829,0.0259185,0.0126269,0.00369313,0,0,0.0168389,0,0.0103508,0.01271,0.0334244,0,0.030613,0.0057759,0.0273259,0.0165883,0.0120048,0.0175134,0.0143286,0.0121744,0.00456787,0.0271806,0.0112921,0.0078999,0.030141,0.012647,0.014796,0.00975656,0.0231217,0.00355267,0,0,0,0,0
15,0.0231003,0.0251942,0,0,0,0.0569506,0.0197101,0.0351463,0,0,0,0,0.00829982,0,0.0162352,0.00592781,0.0329371,0.0342878,0.0177397,0.00708293,0,0,0.0217507,0.0261982,0.00775402,0.0103942,0.0115236,0.0316165,0.00696957,0.0180825,0.0113883,0.0202856,0,0.0747359,0,0.0115296,0,0.00598866,0.0294158,0.0137018,0.0260576,0.0130918,0.00382996,0,0,0.0166256,0,0.010323,0.0125798,0.0337301,0,0.0303417,0.00617234,0.0278293,0.0166942,0.0121006,0.0174369,0.0139234,0.012066,0.00502845,0.0266692,0.0119494,0.00819011,0.0302726,0.0124685,0.0147156,0.00967052,0.0232225,0.00368604,0,0,0,0,0
16,0.0233942,0.0253632,0,0,0,0.0559985,0.0206315,0.0344426,0,0,0,0,0.00949804,0,0.0167627,0.00552161,0.0333065,0.0338504,0.0175419,0.00761499,0,0,0.0213446,0.0274512,0.00798119,0.010123,0.0118382,0.0311247,0.00629983,0.0169265,0.0107855,0.01987,0,0.0732766,0,0.0110188,0.00511213,0.00490214,0.0291349,0.0137102,0.0254584,0.0135777,0.00332085,0,0,0.0165094,0,0.0103245,0.0124879,0.034075,0,0.0301663,0.00704026,0.0279248,0.0164464,0.0122935,0.0172234,0.0134539,0.012152,0.00543138,0.026194,0.0121035,0.00834302,0.0298506,0.0125023,0.0146955,0.00969678,0.0236415,0.00324315,0,0,0,0,0
