Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0.00565555,0.00520303,0,0,0,0.0313377,0.0167371,0.0152345,0.00678194,0,0,0,0,0.00656379,0,0.0209229,0.00387415,0.0369325,0.0187083,0.0185136,0.0166208,0,0,0.00597223,0.00731077,0.0115999,0.0169825,0.0117641,0.0312589,0.0109693,0.0123009,0.00726058,0.0246106,0,0.0398344,0,0.00647177,0.00328939,0.00241316,0.0135094,0.0263403,0.0165748,0.00946996,0.0100099,0,0,0.0400358,0,0.029413,0.0273386,0.0380993,0.0262952,0.0256452,0.0152635,0.00974178,0.0198994,0.00976962,0.0167666,0.0100219,0.0105068,0.0182116,0.0313133,0.0155012,0.0207938,0.0147066,0.0101033,0.0153411,0.0283711,0.00466112,0.00672321,0,0,0,0
0,0.0299254,0.0113367,0,0,0,0.0118755,0.0181598,0.0105996,0.00484881,0,0,0,0,0.0151958,0,0.0192208,0.00693739,0.0347892,0.0217128,0.0126125,0.0103121,0,0,0.0074211,0.0305515,0.0103217,0.0136917,0.0113105,0.033298,0.002336,0.00529383,0.0066593,0.0185707,0,0.0303034,0,0.0146629,0.00351728,0.00361743,0.00750585,0.027,0.0162222,0.0109562,0.0591215,0,0,0.0488524,0,0.0292613,0.0287341,0.03423,0.028266,0.0314876,0.0100255,0.0107744,0.0682279,0.00691968,0.015623,0.00852701,0.00714535,0.018517,0.0422421,0.0176071,0.0193877,0.00642419,0.0223497,0.0129707,0.0264246,0.0183045,0.0394817,0,0,0,0
1,0.0104586,0.00916998,0,0,0,0.00919761,0.016715,0.0117822,0.00576413,0,0,0,0,0.0133345,0,0.0192407,0.00911242,0.0349481,0.0183881,0.0148237,0.00745263,0,0,0.00436158,0.00585913,0.00905345,0.00895547,0.00962428,0.0336276,0.00275459,0.00338245,0.00691282,0.0189216,0,0.0244783,0,0.0115327,0.00270006,0.00465046,0.00631988,0.0260152,0.0145679,0.0116919,0.0151312,0,0,0.0415744,0,0.0291998,0.0277434,0.0340328,0.0264162,0.0309256,0.00836189,0.0104542,0.0271301,0.00710309,0.0159018,0.00822726,0.00743561,0.0167225,0.0412609,0.016118,0.0174189,0.00781416,0.0128837,0.0128506,0.0258078,0.00914956,0.00801066,0,0,0,0
2,0.0146879,0.0142812,0,0,0,0.0118337,0.0156301,0.0122415,0.00588634,0,0,0,0,0.0154184,0,0.0200449,0.0110921,0.0350452,0.0149712,0.0148399,0.00594515,0,0,0.004068,0.00925335,0.00818092,0.00604444,0.00876988,0.0338457,0.00342799,0.00492993,0.00647143,0.0195302,0,0.0212706,0,0.0135661,0.00206295,0.00535881,0.00455353,0.0258927,0.0135201,0.0116338,0.0203446,0,0,0.0392428,0,0.0295446,0.0276664,0.034199,0.02471,0.030657,0.00723792,0.00930971,0.0364229,0.00636913,0.0159639,0.00741703,0.00670717,0.015442,0.0406428,0.0150281,0.0161164,0.00633805,0.0162395,0.0121796,0.0256295,0.0114747,0.0096195,0,0,0,0
3,0.0167535,0.0136682,0,0,0,0.0154422,0.0151481,0.0123316,0.00564749,0,0,0,0,0.0141626,0,0.0206437,0.0102833,0.0351843,0.0113675,0.0146731,0.00492898,0,0,0.00407795,0.00810825,0.00726122,0.00424387,0.00824354,0.0341781,0.00421398,0.00698757,0.00546119,0.0201778,0,0.0198902,0,0.0113003,0.00204587,0.00530341,0.0039593,0.0260398,0.0126625,0.0114886,0.0174372,0,0,0.0390737,0,0.0298469,0.0275407,0.0344623,0.0227007,0.0305513,0.00646544,0.00845539,0.0322427,0.00549008,0.0154477,0.00705364,0.00599507,0.0143785,0.0399495,0.0141441,0.0150985,0.00421542,0.015398,0.0121856,0.0257902,0.0113642,0.00887085,0,0,0,0
4,0.0077449,0.00802346,0,0,0,0.0189918,0.0158204,0.0118711,0.00557119,0,0,0,0,0.0105355,0,0.0204673,0.00612079,0.0352967,0.00804855,0.0143574,0.00460605,0,0,0.00336121,0.0115797,0.00645648,0.00499337,0.00791896,0.0346124,0.00506841,0.00883912,0.00393682,0.0208903,0,0.020862,0,0.0103363,0.00221628,0.00381198,0.00441278,0.0261714,0.0119016,0.011492,0.0208224,0,0,0.0376213,0,0.0302459,0.0260492,0.0349215,0.0207662,0.0308143,0.00592214,0.00909747,0.0302612,0.00509136,0.0143606,0.00740736,0.00611196,0.0135034,0.0391082,0.0132168,0.0139264,0.00268023,0.0132232,0.0119226,0.0254209,0.00666643,0.0122673,0,0,0,0
5,0.00717831,0.00608728,0,0,0,0.0216342,0.0163345,0.0107769,0.00576008,0,0,0,0,0.00972211,0,0.0200968,0.00590943,0.0354362,0.00568517,0.0142138,0.00515113,0,0,0.00301772,0.00811655,0.00632299,0.00760994,0.00803867,0.0352219,0.00580259,0.0101607,0.00233006,0.0217397,0,0.0230789,0,0.00898873,0.00241777,0.00300827,0.00515124,0.0262613,0.0112823,0.0114781,0.0160438,0,0,0.0416394,0,0.0294732,0.0280013,0.0354806,0.0195889,0.0307844,0.00571466,0.00884116,0.0268215,0.00501984,0.0134347,0.00904317,0.00673182,0.0130079,0.0385729,0.0125657,0.0131501,0.0027437,0.0139828,0.012597,0.0261479,0.0046692,0.00919154,0,0,0,0
6,0.00636046,0.00507482,0,0,0,0.0239102,0.0167206,0.00946725,0.00605826,0,0,0,0,0.00848871,0,0.020046,0.00515866,0.0354803,0.00448851,0.0140183,0.00628719,0,0,0.00269711,0.00641464,0.00704265,0.0104012,0.00853764,0.0360104,0.0065887,0.011294,0.00152859,0.0227835,0,0.0253651,0,0.00753743,0.00274495,0.00222063,0.00618217,0.0262432,0.0110594,0.0113408,0.0135687,0,0,0.0415272,0,0.0295027,0.0278823,0.0361291,0.0187721,0.0307913,0.00563649,0.00866365,0.0242743,0.00531607,0.0128465,0.00920656,0.00762587,0.0126591,0.038291,0.012189,0.0129314,0.00371296,0.014119,0.012677,0.0262082,0.00415075,0.00757548,0,0,0,0
7,0.0159319,0.0129013,0,0,0,0.0255394,0.0152451,0.00805147,0.00613731,0,0,0,0,0.0120506,0,0.020899,0.00709362,0.0355206,0.0052017,0.0138285,0.00756117,0,0,0.00310109,0.00437363,0.00824134,0.0127373,0.00912287,0.0368524,0.00760406,0.0116597,0.00188523,0.0239838,0,0.0285872,0,0.00904195,0,0.00460135,0.00709864,0.0260775,0.0112195,0.0109443,0.0215116,0,0,0.0392899,0,0.0298763,0.0275859,0.036528,0.0185206,0.0305296,0.00590828,0.00718563,0.0351521,0.00584615,0.0130377,0.00907084,0.00862276,0.01263,0.038397,0.0122693,0.0130883,0.00468006,0.0170192,0.0123426,0.0260737,0.00952016,0.0113091,0,0,0,0
8,0.00668491,0.00562333,0,0,0,0.0272484,0.017174,0.00676897,0.00642007,0,0,0,0,0.00738298,0,0.0201072,0.00420946,0.035408,0.00829305,0.0134874,0.00898697,0,0,0.00255768,0.00444786,0.00940725,0.0148044,0.00968847,0.0374288,0.00837124,0.0119702,0.00289434,0.0253256,0,0.0343352,0,0.00600855,0.00304794,0.000983812,0.00740488,0.0263808,0.0112476,0.0106479,0.0134498,0,0,0.0406377,0,0.029899,0.0275385,0.0366431,0.0181917,0.031207,0.00585334,0.00828103,0.0243561,0.00642064,0.0133831,0.00931795,0.00929265,0.0125227,0.0383533,0.0121125,0.0130862,0.00454066,0.0142446,0.012391,0.0263689,0.00439294,0.00738136,0,0,0,0
