Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LBL,LBR
73,0.0068357,0.00193774,0,0,0,0.0265309,0.0169453,0.0112327,0.00174152,0,0,0.0106079,0,0.0236033,0.00676346,0.0332714,0.00827424,0.0248666,0.00695359,0,0,0.00595459,0.00417508,0.00756073,0.00738286,0.00785255,0.0256157,0.00388033,0.00578213,0.00193815,0.020594,0,0.0309399,0,0.00795482,0.0042525,0.00694689,0.0099676,0.0154586,0.0172337,0.00726623,0.00422874,0,0,0.0147579,0,0.0153701,0.010003,0.0379922,0.0237236,0.0256734,0.0199715,0.00716234,0.0107936,0.00813852,0.0214935,0.0103745,0.00833139,0.0258815,0.0135535,0.0224002,0.0278848,0.0134961,0.00740022,0.00153594,0.00891672,0.00373003,0.0061222,0,0,0,0,0,0
74,0.00545254,0.00356221,0,0,0,0.0266236,0.0168961,0.0113208,0.00207177,0,0,0.0101298,0,0.023276,0.00561053,0.0332814,0.00857954,0.0246322,0.00743718,0,0,0.00574368,0.00555318,0.00785169,0.00767047,0.00799783,0.0258186,0.00403603,0.00533085,0.00167712,0.0204726,0,0.0314859,0,0.00707624,0.00438475,0.00625436,0.0102792,0.0159103,0.0178442,0.00797267,0.00151755,0,0,0.0117719,0,0.0154783,0.00857075,0.0380644,0.0238495,0.0258152,0.0199913,0.00738237,0.00794357,0.00822464,0.0215109,0.0105577,0.00859724,0.0256476,0.0134129,0.0226039,0.0275277,0.0132011,0.00663,0.00248334,0.00822595,0.00240308,0.00528912,0,0,0,0,0,0
75,0.005623,0.00346799,0,0,0,0.0265477,0.0169924,0.0120027,0.00261859,0,0,0.0100406,0,0.023292,0.00553573,0.0330696,0.00921293,0.0245101,0.00896474,0,0,0.005312,0.00520564,0.00821789,0.00843652,0.00816511,0.0259693,0.00475309,0.00506946,0.00150506,0.0204455,0,0.0310723,0,0.00644754,0.004291,0.00646796,0.0099245,0.015595,0.018355,0.00843078,0.00192794,0,0,0.0150695,0,0.0155326,0.00999685,0.0380761,0.0240587,0.0258417,0.0197403,0.00723306,0.00844133,0.00834835,0.0217638,0.0106799,0.00874922,0.0253447,0.0132708,0.0229121,0.0269896,0.0126484,0.00632387,0.00177777,0.00829085,0.00221844,0.00566174,0,0,0,0,0,0
76,0.00550677,0.00355066,0,0,0,0.0269842,0.0170143,0.0124078,0.00306738,0,0,0.0097199,0,0.0232482,0.00529558,0.0329522,0.00945282,0.0243183,0.00953102,0,0,0.00507761,0.00516917,0.00836407,0.00883612,0.00831838,0.0261663,0.00508714,0.00515601,0.00139448,0.0202685,0,0.0316497,0,0.00575726,0.00423691,0.00645947,0.00910492,0.0156496,0.0187853,0.00888339,0.00186178,0,0,0.0146555,0,0.0155359,0.00972719,0.0380276,0.0244992,0.0258399,0.0194201,0.00732072,0.00815478,0.00856044,0.022092,0.0109891,0.00889865,0.0249897,0.0131638,0.0232697,0.026373,0.0120021,0.00569518,0.00197267,0.00800185,0.00211625,0.00599085,0,0,0,0,0,0
77,0.00540873,0.00363138,0,0,0,0.0274915,0.0170041,0.0127606,0.00348858,0,0,0.00946929,0,0.0231906,0.00497212,0.032867,0.0096208,0.0241691,0.0100692,0,0,0.00502373,0.00512612,0.00844871,0.00922128,0.0085241,0.0263021,0.00543261,0.00527255,0.00129417,0.0201339,0,0.0323244,0,0.0050668,0.00415843,0.00628946,0.00839314,0.015628,0.0191172,0.00927026,0.00182759,0,0,0.0140622,0,0.0155371,0.00939348,0.0380406,0.0250072,0.0258151,0.0191111,0.00764595,0.00793015,0.00884328,0.0224539,0.0115737,0.00908855,0.0246175,0.0131009,0.0234999,0.0257816,0.0115544,0.0050663,0.00212496,0.00764218,0.00202861,0.00630819,0,0,0,0,0,0
78,0.0053216,0.00366905,0,0,0,0.027926,0.0170019,0.0130666,0.00389937,0,0,0.00922719,0,0.0230986,0.00463077,0.0327903,0.009868,0.0240708,0.0107066,0,0,0.00507362,0.00503519,0.00868237,0.00972681,0.0088848,0.0264346,0.00577919,0.00528089,0.00112631,0.0200388,0,0.0329254,0,0.00443601,0.00400553,0.00604419,0.00795884,0.0156234,0.0193969,0.0095285,0.00179685,0,0,0.0134862,0,0.0155615,0.00908985,0.038111,0.0256053,0.0257846,0.0190139,0.00812282,0.0077331,0.00918737,0.0229508,0.0120292,0.00930655,0.0243747,0.0131433,0.0237718,0.0253657,0.0114413,0.00454622,0.00239955,0.00723441,0.00195039,0.00653985,0,0,0,0,0,0
79,0.00522606,0.0037201,0,0,0,0.0282008,0.0169749,0.0133347,0.00433415,0,0,0.00882835,0,0.0230218,0.00426834,0.0326606,0.0101975,0.0240335,0.0114831,0,0,0.0052485,0.00489329,0.0090037,0.0103548,0.009278,0.026622,0.00619966,0.00522565,0.00092405,0.0199792,0,0.0333075,0,0.00386349,0.00383712,0.00575969,0.00797437,0.0155959,0.019623,0.00971186,0.00177397,0,0,0.0130491,0,0.0155783,0.00893189,0.0382105,0.0263408,0.0257884,0.0192054,0.00873123,0.00757002,0.00956099,0.0235236,0.0121502,0.00950572,0.0243828,0.0131989,0.0240253,0.0251132,0.0118523,0.00416881,0.0028195,0.0068772,0.00197025,0.00666745,0,0,0,0,0,0
80,0.00515986,0.00380912,0,0,0,0.0282837,0.0168955,0.013614,0.00473699,0,0,0.00806307,0,0.0229606,0.00394284,0.0323811,0.0104103,0.0239556,0.0122825,0,0,0.00552149,0.00480929,0.00931417,0.0110853,0.00961245,0.0268618,0.0066517,0.0052266,0.00073517,0.0199159,0,0.0334706,0,0.00329443,0.00371207,0.00543727,0.00845768,0.0155895,0.0197473,0.0098381,0.0017934,0,0,0.0128048,0,0.0155833,0.00884576,0.038335,0.0270478,0.0258395,0.0194322,0.00945945,0.0073993,0.00992469,0.0240626,0.0121275,0.00985935,0.0244458,0.0131865,0.0241681,0.0250357,0.0126309,0.00395798,0.00313844,0.00665553,0.00181694,0.00673356,0,0,0,0,0,0
81,0.00521364,0.00387313,0,0,0,0.0288846,0.0168227,0.0138257,0.0050316,0,0,0.0071941,0,0.022889,0.00355728,0.0321209,0.0100233,0.0237855,0.0125403,0,0,0.00596099,0.00485215,0.00945405,0.0113692,0.00977191,0.0271763,0.00684206,0.00531826,0.000724922,0.0197679,0,0.0343027,0,0.00272788,0.00362134,0.00507731,0.00868746,0.0153726,0.019833,0.00999218,0.00187276,0,0,0.0136825,0,0.0155136,0.0093424,0.0384441,0.0281972,0.0258897,0.0199247,0.0104082,0.00760156,0.0102718,0.0246604,0.0117331,0.0103076,0.0245558,0.0133384,0.024298,0.0252958,0.0133401,0.00402948,0.00296994,0.00657486,0.00164023,0.00688403,0,0,0,0,0,0
82,0.00509838,0.00392997,0,0,0,0.0292755,0.0167658,0.0141827,0.00534818,0,0,0.00645127,0,0.0227513,0.00323636,0.0319218,0.0102854,0.0236939,0.0132615,0,0,0.00630256,0.00510603,0.00965795,0.0118339,0.00992331,0.0273984,0.00735431,0.005667,0.000832468,0.0196147,0,0.0348946,0,0.00215667,0.00348036,0.0045429,0.010484,0.0152877,0.019927,0.0101344,0.00173779,0,0,0.0140014,0,0.0154861,0.00960103,0.0385752,0.0286532,0.0258351,0.0205357,0.0111478,0.00740834,0.0106358,0.025362,0.0111113,0.0108121,0.0248719,0.0134262,0.024367,0.0258322,0.0150856,0.00415412,0.00277163,0.00660159,0.0016355,0.0069857,0,0,0,0,0,0
83,0.00495475,0.00398081,0,0,0,0.0298951,0.0167977,0.0145486,0.00571127,0,0,0.00564982,0,0.0225218,0.00286254,0.031737,0.0107456,0.0236771,0.013848,0,0,0.00653999,0.00538977,0.0097925,0.012068,0.00998401,0.027628,0.00785478,0.00613164,0.00107673,0.0194508,0,0.0357627,0,0.00161675,0.00330407,0.00390814,0.01265,0.0153665,0.0200882,0.0103321,0.00155974,0,0,0.0143875,0,0.01557,0.0098597,0.0387718,0.0291783,0.0257635,0.0211122,0.0116899,0.00720947,0.0111018,0.0262098,0.010487,0.0113752,0.0251651,0.0134038,0.0244158,0.0264804,0.0171642,0.00434311,0.00269543,0.00679677,0.00164862,0.00700466,0,0,0,0,0,0
84,0.00485974,0.00323616,0,0,0,0.030738,0.0168583,0.014706,0.00615953,0,0,0.00455388,0,0.0224045,0.00290208,0.0315736,0.011016,0.0237056,0.0139431,0,0,0.00648412,0.00475904,0.00981212,0.0118903,0.00994358,0.02793,0.00815391,0.00660264,0.00142074,0.0192223,0,0.0370972,0,0.00123098,0.00309224,0.00347544,0.01549,0.01592,0.0204289,0.0104435,0.00203097,0,0,0.0113091,0,0.0156121,0.00831226,0.0390687,0.0296859,0.0256889,0.021842,0.0119248,0.00687828,0.0117713,0.0272973,0.00995425,0.0120606,0.0254707,0.013337,0.0242428,0.0270559,0.0197124,0.0041066,0.00361535,0.00668352,0.000940555,0.00719442,0,0,0,0,0,0
85,0.00453249,0.00397677,0,0,0,0.0310095,0.0168045,0.0152279,0.00680629,0,0,0.00350965,0,0.0220845,0.00180588,0.0312728,0.0117047,0.0237584,0.0147843,0,0,0.00610691,0.00581981,0.00991637,0.0122294,0.0100169,0.0282347,0.00874173,0.00712181,0.00171802,0.0188959,0,0.0375359,0,0.000387609,0.00310351,0.00215922,0.0188304,0.0154034,0.0212196,0.0102712,0.00130112,0,0,0.0147349,0,0.0156502,0.0101066,0.039559,0.0305257,0.0257398,0.0225886,0.0118402,0.00667199,0.0126133,0.0285996,0.00943242,0.0128646,0.0255541,0.0138157,0.0238803,0.0272198,0.0226094,0.00467099,0.002437,0.0069667,0.00189623,0.00697244,0,0,0,0,0,0
86,0.00451046,0.0042375,0,0,0,0.031439,0.0167395,0.0154374,0.00734287,0,0,0.00253676,0,0.0218767,0.00115564,0.0310822,0.0120955,0.0238039,0.0149714,0,0,0.00588329,0.0062267,0.00994166,0.0120394,0.0100307,0.0285279,0.00896353,0.00719781,0.00208432,0.0185633,0,0.0383488,0,0.000442311,0.0030709,0.00113939,0.0220703,0.0153809,0.0225213,0.0102209,0.00140596,0,0,0.014691,0,0.0156295,0.0101195,0.0401185,0.031552,0.0258796,0.0231222,0.0120248,0.00641457,0.0135651,0.0298025,0.00950049,0.0137688,0.0256264,0.0150243,0.0235865,0.0273115,0.0257176,0.00474029,0.00222229,0.00701296,0.00225947,0.00704193,0,0,0,0,0,0
87,0.00456991,0.00459157,0,0,0,0.0319322,0.0167234,0.0155834,0.00764319,0,0,0.00178424,0,0.0216332,0.000743458,0.0309403,0.0125025,0.0239525,0.0150295,0,0,0.00580108,0.00668468,0.00997348,0.0118628,0.00999253,0.0287289,0.00910359,0.00730575,0.00218894,0.01836,0,0.0391319,0,0.00110292,0.00302265,0.000235133,0.0244157,0.0153252,0.0234429,0.0101727,0.00167082,0,0,0.014528,0,0.0155718,0.0100148,0.0406364,0.0321064,0.0260709,0.0236664,0.0123135,0.006078,0.0143515,0.0306962,0.00975268,0.0145512,0.0257021,0.016529,0.0231259,0.0272848,0.0283769,0.00476194,0.00199865,0.00700427,0.00269641,0.00715685,0,0,0,0,0,0
88,0.00473818,0.00501888,0,0,0,0.0324199,0.0167362,0.0156863,0.00782215,0,0,0.00160882,0,0.0213893,0.000841928,0.030834,0.0127902,0.0241763,0.0149932,0,0,0.00584889,0.00717036,0.00995295,0.0117395,0.00993701,0.028836,0.0091466,0.00747209,0.00226799,0.0182324,0,0.0398008,0,0.00184563,0.00300757,0.000855573,0.0259317,0.0151755,0.0235987,0.010066,0.00201553,0,0,0.0141632,0,0.0154408,0.00976876,0.0411144,0.0318138,0.0263083,0.0242715,0.0126103,0.00572821,0.0148934,0.0312321,0.00983987,0.0151541,0.025598,0.0182,0.0223526,0.0271425,0.0303281,0.00476616,0.00177943,0.00693732,0.00311355,0.00731831,0,0,0,0,0,0
89,0.00502839,0.00553333,0,0,0,0.0326829,0.0167212,0.0157453,0.00810034,0,0,0.00248005,0,0.0211829,0.00173391,0.0307066,0.013015,0.0242678,0.0149744,0,0,0.00591358,0.00768391,0.00988354,0.0116041,0.00985726,0.0288513,0.00918402,0.00760566,0.00238367,0.0181694,0,0.040181,0,0.00280883,0.00302734,0.00186821,0.0265783,0.0151578,0.0230227,0.00989481,0.00243013,0,0,0.0138554,0,0.0153847,0.00956324,0.0415115,0.030729,0.0265858,0.024614,0.0128534,0.00542017,0.0150774,0.0314058,0.00982372,0.0155141,0.0251681,0.0200414,0.0211467,0.0266098,0.031314,0.0047997,0.0016734,0.00708652,0.00367327,0.00754389,0,0,0,0,0,0
90,0.00541672,0.00602859,0,0,0,0.0327092,0.0166534,0.0157886,0.00853049,0,0,0.00422909,0,0.0211063,0.00290476,0.0306036,0.0132505,0.0242785,0.0149924,0,0,0.00602463,0.00795022,0.00974183,0.0114803,0.00981708,0.0287994,0.00922439,0.00765871,0.00247104,0.0181518,0,0.0403203,0,0.00408369,0.00287361,0.00242242,0.0266373,0.0151243,0.0218475,0.00966248,0.00280918,0,0,0.0134407,0,0.015317,0.0093356,0.0417278,0.0290171,0.0269379,0.0244725,0.0130659,0.00521461,0.0149449,0.031321,0.00979083,0.015634,0.0243971,0.022291,0.0193759,0.0255028,0.0316154,0.00485216,0.00160011,0.00714475,0.00415669,0.00779579,0,0,0,0,0,0
91,0.00583351,0.00648834,0,0,0,0.0326436,0.0165767,0.0158533,0.00892721,0,0,0.00602957,0,0.0210997,0.00405258,0.0305524,0.0135539,0.0241612,0.015056,0,0,0.00636654,0.00823287,0.00953799,0.0114476,0.0098043,0.0287152,0.00927021,0.0076742,0.002554,0.0181636,0,0.0403002,0,0.00541221,0.00273039,0.00295266,0.0258742,0.0150743,0.0199922,0.00940788,0.00307716,0,0,0.0129808,0,0.0152687,0.00910349,0.0417962,0.0265248,0.0274,0.023691,0.0133851,0.00505267,0.0145836,0.0309951,0.00984059,0.0155674,0.023158,0.0249356,0.0170513,0.0236707,0.0310414,0.00486869,0.0016247,0.00713101,0.00462809,0.00807611,0,0,0,0,0,0
92,0.00626369,0.00697088,0,0,0,0.0326407,0.0164987,0.0159917,0.00921282,0,0,0.00784412,0,0.0210745,0.00516699,0.0306404,0.0139156,0.02419,0.0151474,0,0,0.00690155,0.00857474,0.00958946,0.0114745,0.00981985,0.0286673,0.00935092,0.00771093,0.00265317,0.0181484,0,0.0403646,0,0.00677897,0.00258406,0.00354158,0.0236588,0.0151143,0.0171155,0.00918903,0.00332744,0,0,0.0125859,0,0.0152514,0.00891483,0.0416656,0.0230813,0.0279775,0.0223467,0.0138852,0.00493261,0.0140546,0.0303895,0.0100438,0.0153796,0.0214309,0.0277597,0.0143033,0.0210865,0.0289674,0.00489393,0.00178231,0.00727412,0.00515887,0.00835462,0,0,0,0,0,0
93,0.006688,0.00746121,0,0,0,0.0326605,0.0163455,0.0162086,0.00944413,0,0,0.00957192,0,0.021093,0.00619435,0.030835,0.0143395,0.0242789,0.0153237,0,0,0.00744015,0.00893504,0.00976451,0.0117129,0.00996376,0.028669,0.00950922,0.00776736,0.00274384,0.0181296,0,0.0403207,0,0.00817268,0.00240699,0.0041229,0.0197808,0.0151971,0.0131404,0.0089627,0.00358692,0,0,0.0120467,0,0.0152696,0.00864037,0.041371,0.018567,0.0287148,0.020205,0.014459,0.00490363,0.0133579,0.0294567,0.00975585,0.0150943,0.0192065,0.0305843,0.0114263,0.0179241,0.0251402,0.00495803,0.0019332,0.00736984,0.00571603,0.00865114,0,0,0,0,0,0
94,0.00712345,0.00797771,0,0,0,0.0326725,0.0162248,0.0164639,0.00966157,0,0,0.011177,0,0.0211334,0.00725644,0.0311224,0.0147924,0.0243108,0.0156383,0,0,0.00787831,0.00923415,0.0100229,0.0120128,0.0102456,0.0287461,0.0096999,0.00783305,0.00284504,0.0181049,0,0.0402192,0,0.00954627,0.00224986,0.00465071,0.0147963,0.0152687,0.00864328,0.00861496,0.00384717,0,0,0.0111545,0,0.0152773,0.00818084,0.0410714,0.013661,0.0296446,0.0169384,0.0150473,0.00504019,0.0123136,0.0281448,0.00913233,0.014767,0.0165267,0.0333886,0.0091647,0.0144904,0.0200666,0.00496841,0.00211002,0.00732773,0.006273,0.00897446,0,0,0,0,0,0
95,0.00788482,0.00883894,0,0,0,0.0327948,0.016153,0.0167762,0.00997814,0,0,0.0132984,0,0.0211507,0.00864468,0.0315468,0.0153749,0.0242502,0.0160526,0,0,0.0081232,0.00983045,0.0103279,0.0124375,0.0105688,0.0289115,0.00991739,0.00799195,0.00298243,0.0180017,0,0.0402454,0,0.0113112,0.00210539,0.00506693,0.0093098,0.0145833,0.00481293,0.00793916,0.00412027,0,0,0.014452,0,0.0151956,0.00997604,0.0406213,0.0112098,0.0308105,0.0121368,0.0154677,0.00576904,0.0111699,0.026464,0.00811304,0.014382,0.0139832,0.0361439,0.00888607,0.0118,0.0144603,0.00577764,0.00123085,0.00759574,0.0071276,0.00927775,0,0,0,0,0,0
96,0.00844272,0.00949897,0,0,0,0.0330546,0.0160312,0.0170772,0.0102466,0,0,0.0148726,0,0.021191,0.00976871,0.0320556,0.0159197,0.0241055,0.0163097,0,0,0.0084622,0.0103245,0.0106393,0.012863,0.0108462,0.0290759,0.0101039,0.00809747,0.00312063,0.017903,0,0.0405296,0,0.0128104,0.00199263,0.00554293,0.00457293,0.0144246,0.00671256,0.00738285,0.00447199,0,0,0.0142178,0,0.0151165,0.00992266,0.0399651,0.0151627,0.032015,0.0062381,0.0161321,0.00591956,0.0102073,0.024664,0.0072604,0.0138883,0.0132963,0.0386071,0.0112273,0.0124986,0.00975817,0.00596799,0.00127941,0.00754527,0.00784766,0.009624,0,0,0,0,0,0
97,0.0090168,0.0101948,0,0,0,0.033483,0.0159332,0.0173804,0.0104924,0,0,0.0164884,0,0.0212132,0.0108667,0.0326483,0.016431,0.0239053,0.0164499,0,0,0.00871435,0.0109813,0.0109725,0.0132594,0.0111144,0.0292426,0.0102504,0.00820256,0.00325101,0.0178134,0,0.0411784,0,0.0142546,0.00188088,0.00597813,0.00231862,0.0145377,0.0124462,0.00702358,0.00492086,0,0,0.0141638,0,0.0151912,0.0098767,0.0391407,0.0223007,0.0332143,0.00133656,0.0168906,0.00605295,0.00930648,0.0231528,0.00709121,0.0126313,0.0159912,0.0404653,0.0151754,0.0176558,0.00631092,0.00619635,0.00142529,0.00780668,0.00861342,0.0100138,0,0,0,0,0,0
98,0.0095376,0.0108285,0,0,0,0.0340959,0.0158531,0.0175925,0.0106614,0,0,0.0179095,0,0.0212577,0.0118254,0.0332306,0.0168202,0.0236413,0.0163173,0,0,0.00884999,0.0115642,0.0112932,0.0135094,0.0113022,0.0293529,0.0102665,0.00822324,0.00333392,0.0177361,0,0.0420647,0,0.0155734,0.00183963,0.00638883,0.0065727,0.0145814,0.0185836,0.00712775,0.0053208,0,0,0.0138965,0,0.0152296,0.00972724,0.0385903,0.027472,0.0340957,0.00919302,0.0174865,0.00617779,0.00835641,0.0224158,0.00771109,0.0104079,0.0209965,0.0414922,0.0191065,0.0244639,0.00518588,0.00627318,0.00154392,0.00794442,0.00927197,0.0103231,0,0,0,0,0,0
99,0.0099173,0.0113749,0,0,0,0.0349055,0.0157955,0.0176456,0.0108071,0,0,0.0191504,0,0.0213186,0.0126067,0.0337519,0.0170243,0.0233721,0.0158417,0,0,0.00880617,0.0120484,0.011483,0.0135212,0.0113221,0.0294797,0.0101828,0.00818073,0.00335488,0.0176356,0,0.0432396,0,0.0167159,0.00184939,0.00686568,0.010159,0.0146422,0.0229282,0.00747732,0.00561586,0,0,0.0135084,0,0.015252,0.00953249,0.0386268,0.0307065,0.0346345,0.0159949,0.0177206,0.00623739,0.00750512,0.0224144,0.00856474,0.00798431,0.0255269,0.0418759,0.0218796,0.0299418,0.00571712,0.00624579,0.00173204,0.00809786,0.00982496,0.0104903,0,0,0,0,0,0
100,0.0101662,0.0118151,0,0,0,0.0358946,0.0157563,0.0175504,0.010924,0,0,0.0202444,0,0.0213351,0.0132775,0.0341555,0.0170851,0.0231004,0.0150947,0,0,0.00853248,0.0123823,0.0115033,0.0132328,0.0111707,0.0296774,0.0099639,0.0081137,0.003427,0.0174946,0,0.044732,0,0.0177337,0.00188315,0.00725968,0.0120711,0.0146618,0.0252807,0.00758368,0.0057508,0,0,0.012963,0,0.0152202,0.00926884,0.0389403,0.0337083,0.0349606,0.0204295,0.017938,0.00630099,0.00713561,0.022643,0.00950578,0.00648294,0.0283119,0.0419057,0.0233898,0.0331822,0.00595445,0.00613273,0.00194942,0.0081512,0.0102186,0.0104904,0,0,0,0,0,0
101,0.0102105,0.0119883,0,0,0,0.0362842,0.0157749,0.0174002,0.0110649,0,0,0.0203933,0,0.0212821,0.0133035,0.0343591,0.0174,0.0228976,0.0147706,0,0,0.00836835,0.0122578,0.0114116,0.0130533,0.0109839,0.0297585,0.00990568,0.00821187,0.00348607,0.0173869,0,0.0457634,0,0.0181323,0.0018779,0.00763215,0.0126163,0.0145546,0.0257978,0.00730457,0.00569839,0,0,0.0132207,0,0.0151295,0.00943334,0.0389918,0.037763,0.0351392,0.0214333,0.0183608,0.00701861,0.00743153,0.0226296,0.0101042,0.00648317,0.0289799,0.0420218,0.0238269,0.034035,0.00622849,0.00626072,0.00204336,0.00825649,0.0102937,0.0102876,0,0,0,0,0,0
102,0.0104883,0.0124133,0,0,0,0.0369662,0.0157252,0.0168928,0.0115331,0,0,0.0212736,0,0.0212749,0.0138186,0.0344299,0.0173771,0.0226627,0.0141333,0,0,0.00796837,0.0126656,0.0110549,0.0125372,0.0105718,0.0298887,0.00972932,0.00836946,0.00369501,0.0172049,0,0.0471029,0,0.0188973,0.0018883,0.00790277,0.0129756,0.014593,0.0261297,0.00670721,0.00578268,0,0,0.0131506,0,0.0150989,0.0093911,0.0387527,0.0406788,0.0352773,0.0226584,0.018402,0.00725338,0.00802882,0.0231502,0.0113104,0.00695027,0.0296434,0.0418894,0.0240042,0.0351765,0.00702274,0.00625761,0.00223285,0.00841848,0.0106416,0.0101991,0,0,0,0,0,0
103,0.0107593,0.0127406,0,0,0,0.0378846,0.0156876,0.0163744,0.0120257,0,0,0.0221642,0,0.0212678,0.0143157,0.0344169,0.0172847,0.0224455,0.0130623,0,0,0.00752001,0.0130173,0.0104328,0.01157,0.00992163,0.0300276,0.00941532,0.00860014,0.00397693,0.0169727,0,0.0487712,0,0.0197204,0.00189052,0.00812613,0.0126748,0.0146952,0.0257554,0.00612872,0.00583903,0,0,0.0131382,0,0.0151283,0.0093555,0.0385912,0.0410915,0.0354762,0.0227212,0.0181402,0.00740624,0.00896755,0.0238988,0.0124975,0.00814849,0.0296353,0.0418416,0.0237438,0.0355777,0.00774816,0.0062279,0.00245295,0.00861243,0.0109143,0.0101693,0,0,0,0,0,0
104,0.0109727,0.0130218,0,0,0,0.03888,0.0156112,0.0158858,0.0123758,0,0,0.0230852,0,0.0212955,0.0148635,0.0343397,0.0170165,0.022252,0.0115739,0,0,0.00728987,0.0133678,0.0097645,0.0102494,0.00905971,0.030086,0.00889951,0.00884728,0.0042617,0.0167355,0,0.0505445,0,0.0206741,0.00193467,0.00826126,0.0107682,0.0150744,0.0244476,0.00592188,0.00588385,0,0,0.0102743,0,0.0151123,0.00786198,0.0386361,0.0386389,0.0356811,0.0197523,0.0179559,0.00724822,0.0103504,0.0242997,0.0123844,0.0102357,0.0280506,0.0419987,0.0229309,0.0340293,0.0066917,0.00567327,0.00289473,0.00828758,0.0112086,0.0102437,0,0,0,0,0,0
105,0.0109046,0.0129863,0,0,0,0.0393864,0.0156638,0.0153187,0.0124832,0,0,0.0228142,0,0.021294,0.0146194,0.0341871,0.0169795,0.0220339,0.0103836,0,0,0.00726501,0.0128442,0.0089888,0.00902952,0.00811522,0.0301042,0.00849986,0.00912119,0.00457435,0.0165128,0,0.0519657,0,0.020756,0.00198549,0.00830022,0.00769861,0.0146342,0.0228557,0.00600655,0.00594078,0,0,0.013428,0,0.0151128,0.0094828,0.038837,0.0352742,0.0358692,0.0155478,0.0180569,0.00852734,0.0117422,0.0248298,0.0118805,0.0122939,0.0259568,0.0420233,0.0219676,0.0316553,0.00454321,0.00623659,0.00267034,0.00876609,0.011058,0.0100782,0,0,0,0,0,0
106,0.0108719,0.0131307,0,0,0,0.0395706,0.0156826,0.0146648,0.0126369,0,0,0.0227694,0,0.0213279,0.0145897,0.0340704,0.0172554,0.0217264,0.00948765,0,0,0.00691414,0.0127787,0.00819343,0.00793843,0.00704577,0.0302384,0.00819175,0.00950404,0.00494115,0.0162828,0,0.0531977,0,0.0208283,0.00200305,0.0083595,0.00442174,0.0145609,0.0213815,0.00593178,0.00618688,0,0,0.0128954,0,0.0150351,0.00925178,0.0389762,0.0331803,0.0361527,0.012952,0.0179527,0.00913959,0.0128576,0.0257996,0.0119433,0.0137197,0.0244542,0.0420535,0.02133,0.0297241,0.00523178,0.00612777,0.00278034,0.00860269,0.0111164,0.0101306,0,0,0,0,0,0
107,0.0107937,0.0132519,0,0,0,0.039435,0.0157276,0.0138008,0.0124515,0,0,0.0226627,0,0.0212591,0.0145049,0.0340537,0.0177585,0.0213174,0.00882768,0,0,0.00653248,0.0126958,0.00741702,0.00704844,0.0058227,0.0303625,0.00791292,0.00995354,0.00528918,0.0160514,0,0.0542304,0,0.0208586,0.00198243,0.00836607,0.00377542,0.0145818,0.0197308,0.00584854,0.00656547,0,0,0.01241,0,0.0150033,0.00903662,0.0390408,0.0321791,0.0364763,0.0106039,0.0178505,0.00980031,0.0134619,0.0265524,0.0119683,0.0143521,0.0230787,0.0422203,0.0204671,0.0276965,0.007428,0.00610576,0.00286091,0.00855136,0.011158,0.0102506,0,0,0,0,0,0
108,0.0107504,0.0132747,0,0,0,0.0389928,0.0157922,0.0127788,0.0120694,0,0,0.0223727,0,0.0211125,0.0143245,0.0341303,0.0184991,0.0208563,0.00847458,0,0,0.00616104,0.0125811,0.00666172,0.00650043,0.00450989,0.0303858,0.0076746,0.0104422,0.00557391,0.0158163,0,0.055051,0,0.0206816,0.00194416,0.00835717,0.00549243,0.0146433,0.0180225,0.00580846,0.00698479,0,0,0.0118961,0,0.0149922,0.00879069,0.0389241,0.0315852,0.0367286,0.00686556,0.0176494,0.0104671,0.013424,0.0266224,0.0110118,0.01417,0.0213776,0.042078,0.0189825,0.0251631,0.00864904,0.00606505,0.00291943,0.00855512,0.011128,0.0103001,0,0,0,0,0,0
109,0.0115732,0.0142705,0,0,0,0.0381969,0.0156854,0.0117567,0.0119406,0,0,0.0232264,0,0.0211749,0.0149839,0.0341843,0.0191561,0.0204021,0.00868596,0,0,0.00576438,0.0137609,0.00597949,0.0063986,0.00328813,0.0303264,0.00763246,0.0109086,0.00587234,0.0155763,0,0.0554425,0,0.0208492,0.00200336,0.00833347,0.00710234,0.0146074,0.0169446,0.00579303,0.00688246,0,0,0.0113431,0,0.0150051,0.00853594,0.0384176,0.030929,0.0368263,0.00353683,0.0170476,0.00996348,0.0128975,0.0260327,0.009953,0.0135785,0.0197595,0.0412961,0.0174376,0.0229367,0.00869903,0.00576385,0.00303499,0.00840489,0.0120792,0.0100487,0,0,0,0,0,0
