Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LBL,LBR
10,0.00414962,0.00484794,0,0,0,0.0131394,0.0173708,0.0093806,0.00331536,0,0,0.00518532,0,0.0205785,0.0030748,0.0329766,0.00618376,0.0168747,0.0113689,0,0,0.00788479,0.00553304,0.00490606,0.0106608,0.00454553,0.032528,0.00740804,0.00988645,0.00541415,0.0254659,0,0.0148123,0,0.00552603,0.00269641,0.00210729,0.0115196,0.0133369,0.00932329,0.00508538,0.00394896,0,0,0.00292109,0,0.0139369,0.00612898,0.0304925,0.0147724,0.0390128,0.0052995,0.013302,0.00837247,0.0180009,0.0295438,0.0152939,0.0209641,0.00816346,0.0321989,0.00442767,0.00923858,0.00726681,0.00521652,0.00459701,0.00811565,0.00171732,0.00788519,0,0,0,0,0,0
11,0.00417371,0.00431281,0,0,0,0.0158672,0.0174622,0.00826718,0.00380895,0,0,0.00380903,0,0.0206947,0.00226652,0.0327858,0.00455765,0.0169819,0.0115376,0,0,0.00804632,0.00504396,0.00521934,0.011764,0.00433769,0.032417,0.00722722,0.0102808,0.00498636,0.0255787,0,0.019291,0,0.00444775,0.00269145,0.00156204,0.0115597,0.013257,0.00933825,0.00446446,0.00438845,0,0,0.00337791,0,0.0140236,0.00627031,0.0304914,0.0147667,0.0390084,0.00443832,0.0126786,0.00834872,0.0178847,0.0296685,0.0152203,0.0206208,0.00796311,0.0319162,0.00422548,0.00970112,0.00717344,0.00511997,0.00457465,0.00794813,0.00143874,0.00814486,0,0,0,0,0,0
12,0.00428511,0.00396058,0,0,0,0.0181905,0.0172134,0.00696296,0.004613,0,0,0.00314344,0,0.0209146,0.00188946,0.0323977,0.00423627,0.0170503,0.0116952,0,0,0.00769734,0.00470692,0.00563519,0.0129822,0.00412631,0.0323188,0.00743067,0.0107413,0.00468162,0.0258112,0,0.0237112,0,0.00381629,0.00259169,0.001158,0.0114416,0.0131844,0.00923648,0.00373913,0.00470275,0,0,0.0040662,0,0.014091,0.00637789,0.0304882,0.0147686,0.0389458,0.00368141,0.0117136,0.00839217,0.0176904,0.0299662,0.015099,0.0201628,0.00766479,0.0317418,0.00404892,0.00983873,0.00685818,0.0051356,0.00449741,0.00786717,0.00191191,0.00818833,0,0,0,0,0,0
13,0.00435889,0.00369705,0,0,0,0.0208128,0.0170895,0.00609018,0.00531644,0,0,0.00242346,0,0.0210379,0.00150085,0.0320948,0.00532376,0.0171689,0.0122589,0,0,0.00724462,0.00440889,0.00593681,0.0139264,0.00379494,0.0321863,0.00785003,0.0111496,0.00479989,0.0261737,0,0.0282491,0,0.00320836,0.00259072,0.00084162,0.0111784,0.0131157,0.00926718,0.00327879,0.00488419,0,0,0.00468721,0,0.0141867,0.00645475,0.0302636,0.014997,0.038805,0.00308647,0.0107694,0.00831193,0.0174637,0.0304463,0.0148972,0.0196699,0.00729675,0.031658,0.0035724,0.0098919,0.00630844,0.00517613,0.00443027,0.00784352,0.00241432,0.0081611,0,0,0,0,0,0
14,0.00430177,0.00348408,0,0,0,0.02422,0.0170393,0.00600957,0.00596701,0,0,0.00157482,0,0.0210776,0.00106387,0.0319172,0.00732475,0.0172607,0.012986,0,0,0.00687439,0.00418455,0.00608376,0.0147136,0.00348623,0.0319559,0.00802438,0.0113291,0.00485472,0.0264616,0,0.032751,0,0.00253142,0.00259549,0.000507891,0.0105113,0.0135168,0.00947152,0.00305855,0.00495448,0,0,0.0043111,0,0.0141235,0.00523399,0.0299688,0.0157711,0.0385076,0.00268285,0.00997645,0.0077296,0.0172488,0.030762,0.0146303,0.0192897,0.00712073,0.0315061,0.00312606,0.00982726,0.00595133,0.00549254,0.00376795,0.00721042,0.00270544,0.00814133,0,0,0,0,0,0
15,0.00462731,0.00269517,0,0,0,0.0364994,0.0171975,0.0162206,0.00589401,0,0,0.00166887,0,0.0210641,0.00119918,0.0315305,0.00758096,0.0170016,0.0138295,0,0,0.0053565,0.00421002,0.00436458,0.01029,0.00371246,0.0316062,0.00892725,0.0128339,0.00624218,0.0263726,0,0,0,0.00202499,0.0025832,0.000340719,0.0104456,0.0130927,0.00979222,0.0027361,0.00527783,0,0,0.00526897,0,0.0141581,0.00647345,0.0296962,0.0167794,0.038201,0.00245787,0.00831437,0.00879081,0.0169097,0.0310319,0.0141953,0.0186742,0.00696968,0.0312412,0.00324462,0.00985186,0.0047632,0.00554167,0.00395929,0.00792174,0.00372436,0.00820468,0,0,0,0,0,0
16,0.00474762,0.00270814,0,0,0,0.0301358,0.0171311,0.00649832,0.00666928,0,0,0.00169083,0,0.0211941,0.00136335,0.0315305,0.0108394,0.0173411,0.0134182,0,0,0.00567926,0.00401782,0.00599893,0.0153011,0.00290848,0.0314202,0.00802811,0.0118518,0.00477126,0.0271499,0,0.0419104,0,0.00168439,0.00260152,0.000666754,0.0103894,0.01309,0.00981693,0.00266068,0.00553331,0,0,0.00596752,0,0.0141969,0.00673094,0.0297759,0.0170656,0.0379086,0.00264842,0.0082657,0.00870019,0.0168104,0.0311174,0.013965,0.0184406,0.00694351,0.0311743,0.0035943,0.0096141,0.00436451,0.00575851,0.00376473,0.00829533,0.00389145,0.00833526,0,0,0,0,0,0
17,0.00467343,0.00246055,0,0,0,0.0324532,0.0171467,0.00697132,0.00671637,0,0,0.00227388,0,0.0213643,0.00175661,0.0313243,0.0115158,0.0173529,0.0133162,0,0,0.00516774,0.00386914,0.00553181,0.0148775,0.00256336,0.0309734,0.00827568,0.0118379,0.00475188,0.0273991,0,0.0456705,0,0.00187173,0.00267675,0.00108409,0.010211,0.0131624,0.00997963,0.00302601,0.00554138,0,0,0.00621652,0,0.0142646,0.00673021,0.0298798,0.0179912,0.0375851,0.00309528,0.00745862,0.00856891,0.01654,0.0309858,0.0138006,0.0179531,0.00715434,0.0308772,0.00366379,0.00995284,0.00377447,0.00588576,0.00358632,0.00839956,0.00431735,0.00819046,0,0,0,0,0,0
18,0.00462279,0.0022267,0,0,0,0.0346125,0.0171043,0.00790425,0.00657962,0,0,0.00281931,0,0.0216189,0.00214591,0.0311624,0.0111112,0.0172879,0.0130311,0,0,0.00484631,0.00373977,0.00489061,0.0139865,0.00225371,0.030398,0.00862466,0.0118702,0.00465516,0.0275414,0,0.048869,0,0.00220582,0.00293757,0.00157821,0.0100234,0.0133046,0.009986,0.00352104,0.00553182,0,0,0.00635518,0,0.0144159,0.00657552,0.030034,0.0189278,0.0372004,0.00366105,0.00671197,0.00842038,0.0161993,0.0308073,0.0136278,0.0174478,0.00736747,0.0305703,0.00372188,0.0106485,0.00356601,0.00593356,0.00334702,0.0082227,0.00487798,0.00811179,0,0,0,0,0,0
19,0.00422507,0.00217517,0,0,0,0.0367378,0.0169497,0.00930764,0.00644845,0,0,0.00302394,0,0.0217007,0.00227487,0.0312833,0.00972771,0.0173619,0.0130795,0,0,0.00509759,0.00347143,0.00395034,0.0124378,0.00208324,0.0297125,0.00893568,0.011735,0.00467778,0.0276532,0,0.0514803,0,0.00265745,0.00327686,0.00177928,0.00967369,0.0132161,0.0102264,0.00389121,0.00530289,0,0,0.00655529,0,0.0144598,0.00635749,0.0302252,0.0196196,0.0367392,0.00389141,0.00637061,0.00788133,0.0158901,0.0307386,0.0134979,0.0171488,0.00792794,0.0303041,0.00387859,0.0117091,0.00365611,0.00586479,0.00313364,0.0078673,0.00482448,0.00805988,0,0,0,0,0,0
