Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,RTIBI,x73
All Timesteps RMSE,0.0263956,0.0265654,0,0,0,0.0455972,0.0208507,0.028888,0.0101648,0,0,0,0,0.0229984,0,0.0163155,0.0128309,0.0360955,0.0273211,0.021524,0.0100001,0,0,0.0327951,0.0302704,0.0105652,0.0150758,0.0132541,0.0363276,0.00964598,0.0166291,0.0140473,0.0165031,0,0.0514815,0,0.00920265,0.00475734,0.00672695,0.0228593,0.030767,0.0222167,0.00934235,0.0178665,0,0,0.0498222,0,0.0326456,0.0371214,0.0377493,0.0307625,0.0249747,0.0117878,0.0315423,0.0234187,0.0194509,0.0139164,0.018173,0.0214132,0.015952,0.028906,0.0194848,0.0288248,0.0224574,0.0229271,0.039306,0.0314323,0.0299984,0,0,0,0.0156511,0
0,0.0250224,0.0285526,0,0,0,0.0476459,0.0204308,0.0338386,0.00099588,0,0,0,0,0.0128532,0,0.0172443,0.00749991,0.0396311,0.0280546,0.0187283,0.0260741,0,0,0.0219788,0.0340154,0.0145366,0.032272,0.0218629,0.0305727,0.0160791,0.0270105,0.0165869,0.0111817,0,0.0465278,0,0.0154541,0.00503892,0.00447951,0.024232,0.0295516,0.0196604,0.0066039,0.00952813,0,0,0.0462627,0,0.0322527,0.0348652,0.0375592,0.0275179,0.0214856,0.00363676,0.0295739,0.021824,0.0188383,0.0129947,0.0172174,0.0229355,0.0158949,0.0142105,0.0206279,0.012599,0.0178569,0.0212261,0.0373959,0.0308376,0.0107682,0,0,0,0,0
1,0.0245951,0.0285439,0,0,0,0.038024,0.0207982,0.0293067,0.00182427,0,0,0,0,0.0123165,0,0.0170845,0.00713154,0.0383036,0.0254575,0.0200099,0.0161653,0,0,0.0214952,0.0337431,0.0100574,0.0227533,0.0165225,0.0311474,0.0106038,0.019363,0.0140509,0.0124092,0,0.0362838,0,0.0149309,0.00513372,0.00447988,0.0240357,0.0296604,0.0187323,0.00640111,0.00808138,0,0,0.046002,0,0.0322855,0.0343727,0.0367886,0.028152,0.0213809,0.00332862,0.0290365,0.0223084,0.0192878,0.0126478,0.0184342,0.0235784,0.0173317,0.0128724,0.0221041,0.0141633,0.0170573,0.0209579,0.0369828,0.0312945,0.00898529,0,0,0,0,0
2,0.0246425,0.0291093,0,0,0,0.039012,0.0210323,0.0292073,0.00195814,0,0,0,0,0.0122271,0,0.0170724,0.00689852,0.0383236,0.0253874,0.0199177,0.015104,0,0,0.0222519,0.0341847,0.00981362,0.0218994,0.0158922,0.0312439,0.0104089,0.018996,0.0140275,0.012409,0,0.0372079,0,0.0145332,0.00528576,0.00465724,0.0222924,0.0296001,0.0164835,0.00620331,0.00770112,0,0,0.0456457,0,0.0321901,0.0341566,0.0365005,0.0277979,0.0208987,0.00337713,0.029178,0.0229778,0.0198863,0.0124708,0.0196846,0.0244431,0.0181336,0.0121373,0.0231006,0.015688,0.0170856,0.02073,0.036607,0.0321007,0.00844356,0,0,0,0,0
3,0.024834,0.0296947,0,0,0,0.0405732,0.0211837,0.0293564,0.00214554,0,0,0,0,0.0122772,0,0.0170998,0.00677531,0.0383061,0.0255164,0.0198593,0.0143348,0,0,0.0231591,0.0346206,0.00955265,0.0213383,0.015306,0.0314372,0.0100645,0.0186141,0.0141644,0.012335,0,0.0388655,0,0.0142281,0.00534124,0.00487458,0.0189113,0.0295538,0.0127883,0.00622508,0.00754585,0,0,0.0452579,0,0.0320949,0.0340998,0.0363465,0.0264757,0.0204086,0.00358367,0.0292758,0.0236249,0.0206507,0.0126269,0.0209681,0.0255564,0.0182592,0.0120922,0.0234991,0.0175365,0.0172981,0.0206222,0.0364642,0.0328544,0.0080557,0,0,0,0.0167681,0
4,0.025096,0.0301659,0,0,0,0.0422545,0.0213722,0.0296236,0.00251114,0,0,0,0,0.0123653,0,0.0170809,0.00670167,0.0382427,0.0255117,0.0198428,0.0138088,0,0,0.0238871,0.034897,0.00924813,0.0209886,0.0148856,0.0316023,0.00969637,0.0183984,0.0142527,0.0121554,0,0.0407851,0,0.0139954,0.00536471,0.00505169,0.0163848,0.0295672,0.0108337,0.00621449,0.00752671,0,0,0.0450117,0,0.0320629,0.0341491,0.0365157,0.0265727,0.0201406,0.00387617,0.0289921,0.0241993,0.021312,0.0125529,0.0218918,0.0264921,0.0184234,0.0120438,0.0239454,0.02167,0.0175707,0.020554,0.0364903,0.0334287,0.007744,0,0,0,0.0163785,0
5,0.0252645,0.0304568,0,0,0,0.043801,0.0214447,0.0297424,0.00289807,0,0,0,0,0.0123453,0,0.0170449,0.00661757,0.0381296,0.0251041,0.0197886,0.0135291,0,0,0.0243584,0.0349162,0.00902392,0.0207995,0.0146856,0.0318313,0.00949796,0.0184846,0.0143043,0.0118464,0,0.0427077,0,0.013778,0.0053809,0.00512256,0.015183,0.0295354,0.0100326,0.00605156,0.00745694,0,0,0.0450057,0,0.0320131,0.0340995,0.0369506,0.0279377,0.0200747,0.00413631,0.0282304,0.0246945,0.0216872,0.0127332,0.0227839,0.0270511,0.0183163,0.0121857,0.023898,0.0269418,0.0177953,0.0203626,0.036345,0.0337119,0.00753452,0,0,0,0.015734,0
6,0.0254358,0.0305876,0,0,0,0.0451838,0.0215502,0.0295774,0.00334171,0,0,0,0,0.0122591,0,0.0170821,0.00652917,0.0378727,0.0241144,0.0197731,0.0134626,0,0,0.0247272,0.0349093,0.00887898,0.0207829,0.0146644,0.0322079,0.00961939,0.0191174,0.0144239,0.0113899,0,0.0446424,0,0.0135584,0.0054065,0.00512244,0.0153971,0.0294596,0.00981515,0.00579252,0.00734787,0,0,0.044833,0,0.0319323,0.0340045,0.0375259,0.0293829,0.0202111,0.004645,0.0272081,0.02498,0.0216875,0.013235,0.0232959,0.0270061,0.01821,0.0121819,0.0234674,0.0290982,0.0179593,0.0201385,0.0360758,0.0337912,0.00758334,0,0,0,0.015295,0
7,0.0254816,0.0305422,0,0,0,0.0463101,0.0215505,0.0292082,0.00379536,0,0,0,0,0.0120346,0,0.0170647,0.00639747,0.0376138,0.0228108,0.0197997,0.0133895,0,0,0.0250503,0.0348298,0.00883751,0.0206949,0.0148231,0.0328106,0.00991467,0.0198766,0.0147719,0.0108467,0,0.0464423,0,0.0134906,0.00535022,0.00507745,0.0156064,0.0294264,0.00960648,0.00547228,0.00716786,0,0,0.0444947,0,0.0319004,0.0339851,0.0379938,0.0292463,0.0204628,0.00542101,0.0261325,0.0251471,0.021433,0.013858,0.0231004,0.0264041,0.0181266,0.0119856,0.0228938,0.0288481,0.0181031,0.0200419,0.0359088,0.0335967,0.00782459,0,0,0,0.0153171,0
8,0.0254219,0.0303652,0,0,0,0.047309,0.021476,0.0288786,0.00423969,0,0,0,0,0.0117789,0,0.0171071,0.0062757,0.0373617,0.0216387,0.0198556,0.0131349,0,0,0.0252791,0.0345938,0.00885234,0.0204641,0.0149657,0.0335098,0.0101896,0.0207092,0.015257,0.0102909,0,0.0480091,0,0.0136537,0.00528089,0.00498483,0.0154248,0.0293834,0.00943916,0.00497193,0.00697072,0,0,0.0441925,0,0.0318188,0.0338985,0.0381668,0.028193,0.0207585,0.0062401,0.0250948,0.0251779,0.0209944,0.0140068,0.0226973,0.0257247,0.0180714,0.0120621,0.0225738,0.028259,0.0182129,0.0200233,0.0355995,0.0330906,0.007981,0,0,0,0.0154279,0
