Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0.020103,0.0198027,0,0,0,0.0487116,0.0200992,0.0325135,0.0101922,0,0,0,0,0.0105881,0,0.0176046,0.00609422,0.0358548,0.0313767,0.0205214,0.0160402,0,0,0.0204007,0.0221099,0.0110646,0.0184358,0.0140743,0.0338461,0.011108,0.0174567,0.0147485,0.0129643,0,0.05292,0,0.0107021,0.00432106,0.00502451,0.0267598,0.0138196,0.0244557,0.0128559,0.0050871,0,0,0.0117158,0,0.0107901,0.00824204,0.0364275,0.0270506,0.0276279,0.0130227,0.0217862,0.0117131,0.0123689,0.016573,0.0134417,0.0136571,0.0140928,0.0238269,0.0139452,0.0167051,0.0306228,0.00896733,0.00745995,0.00774147,0.0135431,0.00682351,0,0,0,0
0,0.0231642,0.0221351,0,0,0,0.0568474,0.020259,0.0333109,0.00936362,0,0,0,0,0.0083399,0,0.0171597,0.0051114,0.0352787,0.0321152,0.022804,0.0104534,0,0,0.0186698,0.0258665,0.0104972,0.0208239,0.0130421,0.0367599,0.012652,0.0265055,0.0139034,0.0187434,0,0.0771691,0,0.0110245,0.00443678,0.00438266,0.0273339,0.0145525,0.0262324,0.00872919,0.00356748,0,0,0.00492123,0,0.0104695,0.00536708,0.0297068,0.0187673,0.0341842,0.0067243,0.0165667,0.00962263,0.0128998,0.0177069,0.0140727,0.0147872,0.00425158,0.0274994,0.00992492,0.00820761,0.0297175,0.00736361,0.00451106,0.00624993,0.0139482,0.00367207,0,0,0,0
1,0.0196133,0.0166139,0,0,0,0.0587815,0.019316,0.034989,0.00706532,0,0,0,0,0.00787826,0,0.0176473,0.00575116,0.0355044,0.0333004,0.0186916,0.0096834,0,0,0.00997158,0.0228098,0.00935147,0.0194589,0.0114547,0.0352224,0.0116251,0.0256141,0.0134546,0.0188279,0,0.079442,0,0.0127709,0.00437738,0.00441293,0.0277016,0.0137571,0.0270277,0.0070108,0.00519722,0,0,0.00412474,0,0.0109307,0.00517812,0.0299656,0.0197897,0.0339575,0.00689557,0.00767275,0.00404724,0.0133954,0.0179614,0.0137464,0.0154964,0.00427177,0.0279999,0.0104735,0.00795852,0.0303399,0.00253103,0.00542923,0.00645424,0.00746524,0.00336313,0,0,0,0
2,0.0190679,0.0173162,0,0,0,0.0596531,0.0196745,0.0348127,0.00812607,0,0,0,0,0.00731472,0,0.0175176,0.00527383,0.0357552,0.0328014,0.0207853,0.00942301,0,0,0.0147452,0.0226139,0.0107,0.0200648,0.012192,0.0360935,0.0111288,0.0253504,0.0130909,0.0187278,0,0.0808516,0,0.0112336,0.00450732,0.00445032,0.0265342,0.0136901,0.0258747,0.00929796,0.00357326,0,0,0.00391336,0,0.0108699,0.00555293,0.0289095,0.0190838,0.0338147,0.0059406,0.0134085,0.004033,0.0142493,0.0179232,0.0136178,0.0156962,0.00409292,0.0274601,0.0108456,0.00762201,0.0294693,0.00337381,0.00550054,0.00655029,0.00948245,0.00286,0,0,0,0
3,0.0191179,0.0177263,0,0,0,0.0616552,0.0196099,0.0360067,0.00605975,0,0,0,0,0.00753864,0,0.0175683,0.00538915,0.0342538,0.0335011,0.0192111,0.00880183,0,0,0.0166584,0.0225036,0.00933733,0.0183314,0.0111037,0.0351967,0.0108622,0.025238,0.0128736,0.0191365,0,0.0835243,0,0.0113413,0.00445027,0.00435257,0.0253073,0.0137817,0.0239503,0.0106084,0.0037439,0,0,0.00386535,0,0.0107184,0.00561061,0.0298235,0.0176092,0.0360054,0.00592319,0.0149911,0.00573379,0.0138012,0.0164359,0.0136356,0.0146499,0.00412273,0.0260166,0.00953278,0.00752075,0.0276808,0.00453063,0.00536741,0.00656141,0.00995205,0.00435119,0,0,0,0
4,0.0190525,0.0181997,0,0,0,0.0625247,0.0197545,0.0362553,0.00503059,0,0,0,0,0.00736147,0,0.0173778,0.00525761,0.0337421,0.033383,0.0189731,0.00814049,0,0,0.0179156,0.0224842,0.00875981,0.0169712,0.010567,0.0347495,0.0101632,0.0244917,0.0126622,0.0192878,0,0.0845911,0,0.0111145,0.00455241,0.00427324,0.0251194,0.0136717,0.0230672,0.0110663,0.00360246,0,0,0.00453684,0,0.0107391,0.00583827,0.0298851,0.0171664,0.035488,0.00625289,0.0170319,0.00645214,0.013696,0.0165261,0.0132495,0.0142268,0.00381616,0.0257922,0.00884429,0.00749279,0.0267183,0.00510091,0.00552178,0.0065741,0.0106115,0.00423863,0,0,0,0
5,0.0190497,0.0187122,0,0,0,0.0692984,0.0199281,0.0424938,0.00366525,0,0,0,0,0.00720638,0,0.0171846,0.00518346,0.0332698,0.0386385,0.0192269,0.00839993,0,0,0.018711,0.0223941,0.00791882,0.0156125,0.00993009,0.0339199,0.010662,0.0265574,0.0157295,0.0164516,0,0,0,0.0109943,0.00461057,0.00423765,0.0254378,0.0135573,0.0223277,0.0115766,0.00366599,0,0,0.00528381,0,0.0107248,0.00605533,0.0306603,0.0157821,0.0347131,0.006552,0.0188392,0.00709102,0.0133968,0.0164631,0.0128444,0.0136941,0.00422282,0.025582,0.00883291,0.00781327,0.0263777,0.00564845,0.00568595,0.00660198,0.0111874,0.00434144,0,0,0,0
6,0.0189415,0.0188988,0,0,0,0.0630519,0.0200446,0.0370037,0.00296359,0,0,0,0,0.00734383,0,0.017277,0.00510975,0.0335645,0.0332718,0.0186994,0.00672011,0,0,0.0192535,0.022354,0.00748487,0.0132892,0.00988302,0.0335934,0.00824286,0.0221495,0.0120302,0.0193235,0,0.0837581,0,0.0107497,0.00463917,0.00426743,0.0254321,0.0133969,0.0217607,0.0127717,0.00362279,0,0,0.00566055,0,0.0107246,0.00620039,0.0304338,0.0140945,0.0344499,0.00724733,0.0201431,0.00723677,0.013814,0.016652,0.0130164,0.0139262,0.00475749,0.0252249,0.00895854,0.00822307,0.0260322,0.00586334,0.00581845,0.00676915,0.0116462,0.00428841,0,0,0,0
7,0.0189015,0.0188268,0,0,0,0.062627,0.0200503,0.0374066,0.00233213,0,0,0,0,0.00761266,0,0.0174304,0.00528232,0.0333709,0.0337048,0.0183976,0.00750672,0,0,0.0196425,0.0223811,0.00728717,0.0111349,0.00978677,0.0330308,0.00721864,0.0205758,0.0115644,0.0192818,0,0.0816475,0,0.0107512,0.00466449,0.00446093,0.025253,0.0132995,0.0210243,0.0137504,0.00370638,0,0,0.00611349,0,0.0107254,0.00633548,0.030692,0.0135011,0.0339779,0.0079969,0.021473,0.00747293,0.013967,0.0166486,0.013489,0.0138875,0.00533225,0.0249723,0.00883802,0.00858918,0.0255959,0.00627798,0.00595173,0.00706785,0.0121434,0.00440746,0,0,0,0
8,0.0188478,0.0189597,0,0,0,0.0617989,0.0201423,0.03808,0.00243793,0,0,0,0,0.00783383,0,0.0175332,0.00541745,0.0331654,0.034566,0.0179268,0.00941139,0,0,0.0200471,0.0224099,0.00749452,0.00905501,0.0102123,0.0325192,0.00620021,0.0186359,0.0111654,0.0191577,0,0.0793427,0,0.0107358,0.00468797,0.00457948,0.0249848,0.0131957,0.0202834,0.0147836,0.00385532,0,0,0.00660673,0,0.0107049,0.00649453,0.0309026,0.0140768,0.0335649,0.00878075,0.0227724,0.00778649,0.0141522,0.0165908,0.0138006,0.0138757,0.00604006,0.0247978,0.00858942,0.00907292,0.0252042,0.00675681,0.00612535,0.00744537,0.0126019,0.00457715,0,0,0,0
9,0.0187421,0.0194091,0,0,0,0.0606094,0.0202693,0.0388133,0.0033053,0,0,0,0,0.00804362,0,0.0175525,0.0055091,0.033171,0.0360006,0.0172859,0.0129393,0,0,0.0205188,0.0225735,0.00851086,0.00871587,0.0116212,0.0320184,0.00520887,0.0159052,0.0107607,0.0188948,0,0.0761354,0,0.0107163,0.00470781,0.00459009,0.0250976,0.0131141,0.0197839,0.0157678,0.00411145,0,0,0.0071777,0,0.0106592,0.00666517,0.0311378,0.0145595,0.0331502,0.00978022,0.0240559,0.00823161,0.0143154,0.0166136,0.0138511,0.0138517,0.00690131,0.0244324,0.00856857,0.00996125,0.0253321,0.00722775,0.00627813,0.00759212,0.0130776,0.00483121,0,0,0,0
10,0.0187255,0.0199842,0,0,0,0.0588697,0.0203327,0.0394699,0.00466728,0,0,0,0,0.00838351,0,0.0174557,0.00554997,0.0332868,0.0383408,0.0163156,0.0182017,0,0,0.0213996,0.0228881,0.0107892,0.0117279,0.0145109,0.0316223,0.00571855,0.012142,0.0101867,0.0184955,0,0.0717925,0,0.0106155,0.0047175,0.00459896,0.0255954,0.0130736,0.0195919,0.0166709,0.00456546,0,0,0.00809264,0,0.0105947,0.00687379,0.0314965,0.0148645,0.0326715,0.0110871,0.0256355,0.00906045,0.014574,0.0168234,0.0138006,0.0139915,0.00776865,0.0236789,0.00901782,0.0107631,0.0261149,0.007981,0.00634473,0.0075697,0.013754,0.00524443,0,0,0,0
11,0.018756,0.0205215,0,0,0,0.0565517,0.0203808,0.0396934,0.00626437,0,0,0,0,0.00880256,0,0.0174179,0.00560808,0.0334198,0.0410541,0.015203,0.0241315,0,0,0.0224071,0.0232836,0.0137823,0.0170541,0.0182547,0.0312058,0.00826422,0.00825289,0.00978253,0.0180458,0,0.0666467,0,0.0105465,0.00475286,0.00460203,0.0262816,0.013047,0.0195798,0.0176063,0.00511848,0,0,0.00906554,0,0.0105325,0.00711627,0.0319135,0.0151931,0.0321307,0.012358,0.02725,0.0100215,0.0149397,0.0171343,0.0138357,0.0143324,0.0084818,0.0227081,0.00960379,0.011455,0.0271506,0.00881988,0.00635681,0.00778152,0.0144084,0.0057249,0,0,0,0
12,0.0188706,0.0210233,0,0,0,0.0538827,0.0204,0.039271,0.0077664,0,0,0,0,0.00927519,0,0.0174276,0.00572317,0.0336932,0.0430762,0.0143499,0.0290732,0,0,0.0234461,0.0236623,0.0165901,0.0221448,0.0215876,0.0307166,0.0109677,0.00589857,0.0097152,0.0176016,0,0.0617297,0,0.0105762,0.00476855,0.00463826,0.0259175,0.0130412,0.0184309,0.0187491,0.00558216,0,0,0.00988847,0,0.0104963,0.00737092,0.0323095,0.0152871,0.0318225,0.0134902,0.0287298,0.0109189,0.01545,0.0169901,0.0141373,0.0148649,0.008935,0.022334,0.00944315,0.0120916,0.0271305,0.00955768,0.00635588,0.00790674,0.0150024,0.00613365,0,0,0,0
13,0.0190024,0.0214137,0,0,0,0.0508715,0.0204111,0.0382344,0.00880227,0,0,0,0,0.00971649,0,0.0174508,0.00592109,0.034095,0.0442224,0.0138022,0.0325147,0,0,0.0242402,0.0240108,0.0187889,0.0263726,0.0241193,0.0300778,0.0130954,0.00604519,0.0100135,0.0171367,0,0.0573798,0,0.0106987,0.0047678,0.00473243,0.0261816,0.0130564,0.0176726,0.0196789,0.0059412,0,0,0.0104651,0,0.0104897,0.00757083,0.0327346,0.0154755,0.0315382,0.0145986,0.0298898,0.0116666,0.0158825,0.0168934,0.0143369,0.0153628,0.00931082,0.0217427,0.00960901,0.0124264,0.027404,0.0101914,0.00632535,0.00791285,0.015505,0.00648532,0,0,0,0
14,0.0190628,0.0216934,0,0,0,0.0475653,0.0204537,0.0367577,0.0103143,0,0,0,0,0.010105,0,0.0174312,0.00604282,0.0342787,0.0442898,0.0137816,0.0348938,0,0,0.0253841,0.0243033,0.0207026,0.0300592,0.026028,0.0299791,0.0149285,0.00801186,0.0106324,0.0164064,0,0.0527716,0,0.0106824,0.00475543,0.00478701,0.0261934,0.0131074,0.0167057,0.0210313,0.00614966,0,0,0.0110576,0,0.0104741,0.00773306,0.0333447,0.0159778,0.031227,0.0161941,0.0316037,0.0121938,0.0165581,0.0167949,0.014717,0.0161503,0.0101317,0.0210019,0.00986848,0.0130517,0.0276635,0.010826,0.00629085,0.00789657,0.0160013,0.0067846,0,0,0,0
15,0.0192205,0.0221677,0,0,0,0.044305,0.0205532,0.0350793,0.0115401,0,0,0,0,0.0105017,0,0.0173932,0.00610382,0.0346008,0.0436332,0.0136557,0.0365768,0,0,0.0266937,0.0245704,0.0224881,0.0330006,0.0273358,0.0293642,0.016646,0.0103288,0.0112243,0.0157513,0,0.0483652,0,0.0104966,0.00472751,0.00485043,0.0264045,0.0131941,0.0159545,0.0217847,0.00668162,0,0,0.0120273,0,0.0104492,0.00799548,0.0341266,0.0163446,0.0302314,0.017492,0.033376,0.0129767,0.0169913,0.0167756,0.0148638,0.016682,0.0109967,0.0204649,0.00945573,0.0137276,0.0285011,0.0116793,0.00627043,0.0077347,0.0164944,0.00737719,0,0,0,0
16,0.0193393,0.0225126,0,0,0,0.0410757,0.0205722,0.0332752,0.012722,0,0,0,0,0.0107656,0,0.0173357,0.00619312,0.0350561,0.0424766,0.013675,0.0376685,0,0,0.0276502,0.0246109,0.0239069,0.0354869,0.0281402,0.0287062,0.0179327,0.0125287,0.0119891,0.0151457,0,0.0441069,0,0.0104319,0.00469477,0.00490382,0.0270587,0.0132598,0.0155397,0.0223779,0.00711846,0,0,0.0127449,0,0.0104083,0.00815664,0.0348068,0.0167486,0.0292842,0.0183969,0.0347916,0.0135459,0.017374,0.0166915,0.0150383,0.0171257,0.0117796,0.0199602,0.00978525,0.0143488,0.0293441,0.0121915,0.00626287,0.00757545,0.0167358,0.00787784,0,0,0,0
