Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBL
236,0.0361748,0.0497701,0,0,0,0.0522906,0,0.0141493,0.0513952,0,0,0,0.0213188,0,0,0.0514661,0.0411153,0.0395882,0.0160385,0.0122137,0,0,0.03233,0.0564835,0.0239897,0.0456655,0.060588,0.049504,0.0754022,0.0748213,0.0686765,0.0688703,0,0.00849112,0,0.0373738,0.014064,0.0127282,0.0203544,0,0.0264987,0.0715556,0.0148627,0,0,0.0191443,0,0,0.0371106,0.0355587,0.0630256,0.020188,0.0241011,0.0308278,0.0162829,0.0767702,0.0929162,0.0690721,0.0189257,0.0512799,0.0307518,0.0329151,0.0580025,0.0686008,0.0124986,0.0105094,0.00500517,0.0242714,0.0265719,0,0,0,0
237,0.0362763,0.0500058,0,0,0,0.052817,0,0.0139556,0.0513898,0,0,0,0.0210885,0,0,0.0517237,0.0404035,0.0390063,0.0152282,0.0110813,0,0,0.0319939,0.0565578,0.0242008,0.0449791,0.0606386,0.0498632,0.0757227,0.0750173,0.069028,0.0690302,0,0.00840832,0,0.037314,0.0143009,0.0126032,0.0204976,0,0.026145,0.0712014,0.0147794,0,0,0.0187873,0,0,0.0371433,0.0356819,0.0626015,0.0197428,0.0238741,0.0310668,0.0156698,0.0771097,0.09262,0.0683287,0.0198744,0.051321,0.0309857,0.0328749,0.057696,0.0672879,0.0124269,0.0103732,0.00564258,0.02476,0.0264601,0,0,0,0
238,0.0363866,0.0501677,0,0,0,0.0535294,0,0.0136465,0.0512013,0,0,0,0.0209389,0,0,0.0517517,0.0401232,0.0385754,0.0148146,0.0104821,0,0,0.0318436,0.0567905,0.0243914,0.044164,0.0604997,0.0502706,0.0760323,0.0752552,0.0693856,0.0693153,0,0.00872174,0,0.0373812,0.014399,0.012464,0.0207144,0,0.0261671,0.0711185,0.0146102,0,0,0.0188582,0,0,0.036972,0.0353114,0.0624291,0.0190929,0.0235932,0.0315105,0.0153294,0.0773777,0.0923449,0.0676601,0.0207374,0.051132,0.0310118,0.0327664,0.0574295,0.0658384,0.0123891,0.0103993,0.00590183,0.0251113,0.0265489,0,0,0,0
239,0.036537,0.0501758,0,0,0,0.0541436,0,0.01335,0.0512132,0,0,0,0.0209085,0,0,0.051677,0.039737,0.0380018,0.0145486,0.0102309,0,0,0.0316403,0.0569926,0.0243368,0.0432584,0.0603292,0.0507048,0.0762605,0.0754556,0.0697271,0.0696406,0,0.00917203,0,0.0374368,0.0145055,0.0124621,0.0211116,0,0.0260092,0.0708498,0.0145476,0,0,0.0188079,0,0,0.0368357,0.0350582,0.0620172,0.0184841,0.0236359,0.0321951,0.0151982,0.0774195,0.0919596,0.0668628,0.021838,0.0510748,0.0310057,0.0324798,0.05716,0.0645432,0.0125845,0.0105706,0.00580141,0.0252405,0.0264591,0,0,0,0
240,0.0366233,0.0502343,0,0,0,0.0551596,0,0.0134413,0.0516021,0,0,0,0.0212969,0,0,0.0515467,0.0392931,0.0372575,0.0143764,0.010125,0,0,0.0312476,0.0568721,0.0240808,0.0425864,0.0603285,0.0510634,0.0763643,0.0754815,0.0698534,0.0697209,0,0.010242,0,0.037286,0.0145935,0.0125148,0.0216881,0,0.0253837,0.0702159,0.0149227,0,0,0.0182961,0,0,0.0370045,0.0353587,0.0613566,0.0178166,0.0234988,0.0330814,0.0151063,0.0773759,0.091543,0.0661519,0.0231182,0.0511305,0.0307867,0.0319126,0.0568547,0.0637646,0.012921,0.0102917,0.0054728,0.0252987,0.0260471,0,0,0,0
241,0.0367866,0.0503384,0,0,0,0.055284,0,0.0132283,0.0515232,0,0,0,0.0210785,0,0,0.0514397,0.0393544,0.0367846,0.0142568,0.0102191,0,0,0.0312264,0.0571251,0.0245115,0.0414971,0.0601503,0.051654,0.0765316,0.0755959,0.0700281,0.0698981,0,0.0103703,0,0.0375293,0.0144171,0.0125208,0.0221391,0,0.0250653,0.0700899,0.0146448,0,0,0.018492,0,0,0.036566,0.0352584,0.0610087,0.0173367,0.023162,0.0335653,0.0150115,0.0775115,0.0912333,0.0653487,0.0239821,0.0514228,0.0307165,0.0317529,0.0569558,0.0619775,0.0129772,0.0105689,0.00571208,0.0253962,0.0261472,0,0,0,0
242,0.0366928,0.0507033,0,0,0,0.0561991,0,0.0134729,0.0518861,0,0,0,0.0213072,0,0,0.0514071,0.0390419,0.0363763,0.0140519,0.0101926,0,0,0.0309775,0.0570716,0.0245752,0.0410933,0.0601732,0.0520071,0.0763705,0.0754594,0.0698623,0.0697553,0,0.0113673,0,0.0373717,0.0144459,0.0123553,0.0226027,0,0.0242055,0.0695644,0.0148734,0,0,0.0181494,0,0,0.0365953,0.0355572,0.0606433,0.0167817,0.0226418,0.0342019,0.014713,0.0778405,0.0910596,0.0646677,0.0250884,0.0516178,0.0305631,0.0315463,0.0568755,0.0610121,0.0130384,0.010168,0.00556446,0.0255978,0.0257559,0,0,0,0
243,0.0367429,0.0508359,0,0,0,0.0564971,0,0.0133759,0.0520051,0,0,0,0.0212389,0,0,0.0512734,0.0389262,0.0360381,0.0139407,0.0103328,0,0,0.0308193,0.0571678,0.0247617,0.0404054,0.0600292,0.0524901,0.0763995,0.0754621,0.069931,0.0698588,0,0.0117895,0,0.0374182,0.0146196,0.0121592,0.0229889,0,0.0239916,0.069303,0.0148944,0,0,0.0180572,0,0,0.0365724,0.0356835,0.0604032,0.0162857,0.0223915,0.0347462,0.0145735,0.0780587,0.0908616,0.0639665,0.0259329,0.0519856,0.0304838,0.031605,0.0570291,0.0599191,0.013142,0.0102752,0.00555785,0.0255944,0.0257019,0,0,0,0
244,0.0367702,0.0511015,0,0,0,0.0570231,0,0.0135079,0.0521058,0,0,0,0.021083,0,0,0.0512045,0.0388251,0.0359386,0.013612,0.0104133,0,0,0.0305342,0.0570329,0.0249459,0.0399941,0.0599967,0.0529163,0.0763737,0.0753981,0.0699091,0.069793,0,0.0123187,0,0.0374913,0.0146013,0.0119573,0.0232554,0,0.0236435,0.069118,0.0149176,0,0,0.0180086,0,0,0.0365271,0.0357649,0.0601692,0.0160205,0.0223097,0.0352716,0.0142731,0.0784801,0.0907875,0.0632404,0.0266286,0.0524057,0.0307055,0.0317577,0.0572686,0.0592676,0.0131321,0.0101135,0.00563699,0.0257311,0.0255496,0,0,0,0
245,0.036896,0.0511675,0,0,0,0.0575233,0,0.013459,0.0520643,0,0,0,0.0209146,0,0,0.0511085,0.0389298,0.03578,0.0135262,0.0105402,0,0,0.0303784,0.0570279,0.025099,0.0394725,0.0598385,0.0533108,0.0764629,0.0755012,0.0700977,0.0699832,0,0.01293,0,0.0377187,0.0146245,0.0119487,0.0233311,0,0.0235771,0.0690977,0.0149595,0,0,0.0180113,0,0,0.0363306,0.03562,0.060124,0.0156378,0.0222198,0.0358052,0.0141019,0.0786869,0.0907227,0.0627034,0.0270455,0.0528448,0.0309212,0.0318236,0.0575662,0.0588678,0.0132489,0.0101405,0.00570184,0.025709,0.0255869,0,0,0,0
246,0.0369764,0.051364,0,0,0,0.0577106,0,0.0137585,0.0523491,0,0,0,0.0210395,0,0,0.0510039,0.038629,0.0357828,0.0135195,0.0106366,0,0,0.0297985,0.0568493,0.024982,0.0392089,0.0598963,0.053463,0.0762778,0.0754342,0.0701146,0.0699029,0,0.0128819,0,0.0378674,0.0145236,0.0115712,0.0234076,0,0.0231053,0.0687713,0.0151488,0,0,0.0175903,0,0,0.0364746,0.0358917,0.0597673,0.0154101,0.0222202,0.0362519,0.013736,0.0790881,0.0907252,0.062136,0.0275003,0.0533476,0.0312451,0.0320632,0.0578096,0.0588999,0.0133172,0.0102735,0.0059601,0.0259178,0.0253955,0,0,0,0
247,0.0370694,0.051588,0,0,0,0.0579863,0,0.0138842,0.0525219,0,0,0,0.020878,0,0,0.0509312,0.0385814,0.0358631,0.0135259,0.0108437,0,0,0.0295095,0.0567674,0.0250143,0.0389896,0.059907,0.0535837,0.0762686,0.075428,0.0701697,0.0699227,0,0.0130808,0,0.0380409,0.0144945,0.0113519,0.0232932,0,0.0228698,0.0685658,0.0153535,0,0,0.0174764,0,0,0.0363928,0.0359164,0.0595953,0.0155207,0.0223672,0.0366098,0.0134296,0.0793286,0.0907841,0.0616596,0.0276232,0.053842,0.0315014,0.0323941,0.0580903,0.0592181,0.0133037,0.0103504,0.00613888,0.0261868,0.0253219,0,0,0,0
248,0.0370655,0.0519346,0,0,0,0.0581491,0,0.01408,0.0529137,0,0,0,0.0207846,0,0,0.0508204,0.0382924,0.0360452,0.0133796,0.0109471,0,0,0.0293068,0.0567257,0.024848,0.0389462,0.0599756,0.0535212,0.076525,0.0754331,0.0702737,0.0699789,0,0.0132458,0,0.0379551,0.0145251,0.0113715,0.0231958,0,0.0225821,0.0682547,0.0153955,0,0,0.0172322,0,0,0.0364438,0.0362253,0.0592669,0.0158685,0.0226994,0.0368596,0.0133193,0.079477,0.0909479,0.0614289,0.0277388,0.0541694,0.0319628,0.0326576,0.0582525,0.0598944,0.0134492,0.0103427,0.00619441,0.0265048,0.0251714,0,0,0,0
