Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0.0393708,0.0489034,0,0,0,0.0425805,0,0.0224812,0.0476282,0,0,0,0,0.0184486,0,0,0.0497174,0.0484288,0.0467019,0.028295,0.0147762,0,0,0.0297644,0.0493701,0.0914965,0.0937826,0.0551862,0.0523778,0.0670214,0.0653992,0.0609681,0.0604151,0,0.0292924,0,0.0395322,0.0131739,0.0102009,0.0301711,0,0.0128577,0.0763475,0.0187494,0,0,0.0211836,0,0,0.0384438,0.0311546,0.0412544,0.0229643,0.0238458,0.0353483,0.019996,0.0760548,0.0899496,0.0630403,0.0252982,0.0599029,0.0406024,0.0401577,0.0625909,0.0361123,0.0104883,0.011662,0.00537733,0.0263925,0.0227525,0,0,0
0,0.0380893,0.0508277,0,0,0,0.0421344,0,0.0150656,0.0467017,0,0,0,0,0.0226127,0,0,0.0513927,0.0383727,0.0342679,0.020991,0.0122063,0,0,0.032458,0.0549077,0.0891925,0.0924886,0.0548173,0.0515703,0.0719311,0.0711109,0.0653412,0.0646533,0,0.0119111,0,0.0359099,0.0128535,0.0119365,0.017138,0,0.0239009,0.0739985,0.0169094,0,0,0.019713,0,0,0.0396805,0.0343331,0.0574701,0.0157168,0.021379,0.0378636,0.0178692,0.0716558,0.0888229,0.068808,0.022273,0.0505489,0.0315764,0.0326065,0.0562896,0.0592363,0.00970333,0.0109253,0.00474518,0.0294165,0.0268517,0,0,0
1,0.0380343,0.0516648,0,0,0,0.0424232,0,0.0150314,0.0470969,0,0,0,0,0.0226494,0,0,0.0513404,0.0384442,0.0337203,0.0201895,0.0125213,0,0,0.032202,0.054654,0.0890245,0.0923664,0.0549437,0.0510843,0.0719723,0.071126,0.0653989,0.0646852,0,0.0115522,0,0.0358167,0.0129165,0.0118056,0.0175679,0,0.0237346,0.0737532,0.0167274,0,0,0.0195816,0,0,0.0394954,0.0342837,0.0579013,0.0155052,0.021455,0.0382666,0.0176037,0.0720046,0.0884047,0.067992,0.0233389,0.0506181,0.031199,0.0324045,0.0562949,0.0598213,0.00980003,0.0109576,0.00449748,0.029862,0.026675,0,0,0
2,0.0379169,0.0522853,0,0,0,0.0427429,0,0.0149484,0.0472811,0,0,0,0,0.0222983,0,0,0.0514265,0.0385993,0.0336258,0.0196516,0.0131583,0,0,0.0319196,0.0545171,0.0889543,0.0920587,0.054966,0.0511335,0.0719671,0.0710399,0.0652818,0.0644932,0,0.0114211,0,0.0359596,0.0126554,0.0113403,0.01771,0,0.0233349,0.0736244,0.0163885,0,0,0.0198484,0,0,0.0392535,0.0341051,0.05838,0.0153839,0.0215736,0.0384645,0.0170265,0.0728028,0.0883442,0.0668787,0.024086,0.050954,0.0315073,0.0326699,0.0565849,0.0601298,0.00947178,0.0111282,0.00458175,0.0304432,0.0264606,0,0,0
3,0.0380683,0.0519578,0,0,0,0.0429974,0,0.0153257,0.0479496,0,0,0,0,0.0225397,0,0,0.0511173,0.0384538,0.0329453,0.0200432,0.0131711,0,0,0.0318577,0.054389,0.088431,0.0920169,0.055501,0.0504025,0.0719967,0.0709247,0.0654567,0.0646514,0,0.0109033,0,0.036111,0.0130612,0.0113119,0.0181168,0,0.0234691,0.0729557,0.0168073,0,0,0.0193703,0,0,0.0392199,0.0344579,0.0590355,0.0144532,0.0215034,0.039229,0.017126,0.0728524,0.0879863,0.0662761,0.0250446,0.0510649,0.0311207,0.0322648,0.0566675,0.0613637,0.009887,0.0108218,0.00422302,0.0302034,0.0261913,0,0,0
4,0.0379312,0.0521586,0,0,0,0.0439808,0,0.0157637,0.0484962,0,0,0,0,0.0225808,0,0,0.0511361,0.0382683,0.033086,0.0197236,0.0134287,0,0,0.0314249,0.054198,0.0883553,0.0919639,0.0555159,0.0503842,0.0719069,0.0707831,0.0653021,0.0644354,0,0.010439,0,0.0361214,0.0129696,0.0109396,0.0186742,0,0.0233626,0.072328,0.016946,0,0,0.0193053,0,0,0.0393076,0.0346239,0.0593539,0.014359,0.021583,0.0397583,0.0167409,0.0737975,0.0880018,0.0651046,0.02572,0.0515177,0.0312639,0.0324768,0.0570645,0.0625507,0.00966734,0.0104477,0.0039812,0.0304928,0.0256581,0,0,0
5,0.0382251,0.0518526,0,0,0,0.0432962,0,0.016053,0.0488345,0,0,0,0,0.0223362,0,0,0.0509603,0.0386113,0.0324015,0.0199214,0.0141608,0,0,0.0314513,0.0542527,0.0876981,0.0917415,0.0558904,0.0505779,0.0719143,0.0705446,0.0654972,0.0646001,0,0.0104412,0,0.0363852,0.0131326,0.0109917,0.0191192,0,0.0235266,0.0718676,0.0170117,0,0,0.0190787,0,0,0.0390918,0.0346327,0.0598738,0.0138151,0.0218521,0.0402496,0.0165506,0.0740245,0.0878456,0.0644229,0.0259727,0.0521376,0.0311607,0.0326126,0.057651,0.0631454,0.0099093,0.0106413,0.00421109,0.0302608,0.0256525,0,0,0
6,0.0383164,0.0518633,0,0,0,0.0435219,0,0.0162588,0.0493322,0,0,0,0,0.0222732,0,0,0.0508325,0.0385895,0.0322468,0.0198941,0.0147486,0,0,0.0311179,0.0541353,0.0872938,0.0916646,0.0560053,0.0501072,0.0718487,0.0703483,0.0655244,0.0645891,0,0.0101626,0,0.0363961,0.013163,0.0108767,0.0194093,0,0.0228448,0.0713444,0.0171014,0,0,0.018964,0,0,0.0389908,0.0343779,0.059788,0.0134884,0.0232568,0.040693,0.0163901,0.0749317,0.0884211,0.0635653,0.0257557,0.0528528,0.0316659,0.0329595,0.0582697,0.0631645,0.00991071,0.0106703,0.00413723,0.0302349,0.025551,0,0,0
7,0.0384499,0.0518915,0,0,0,0.0437903,0,0.0165487,0.0497118,0,0,0,0,0.0221912,0,0,0.0506868,0.0386409,0.0321786,0.0198622,0.0153405,0,0,0.0306132,0.0539661,0.0870041,0.091562,0.056158,0.0496695,0.0718196,0.07023,0.0654984,0.0645983,0,0.00990885,0,0.0365054,0.0132134,0.0107226,0.0195953,0,0.0225638,0.0709882,0.0171981,0,0,0.0188996,0,0,0.0388951,0.0342298,0.0595775,0.0134256,0.0240082,0.0410864,0.0162357,0.0754449,0.0887491,0.062998,0.0256975,0.0536499,0.0320759,0.0333954,0.05877,0.0637037,0.0099727,0.0106543,0.00404483,0.030226,0.0254106,0,0,0
8,0.0385762,0.0519012,0,0,0,0.0440025,0,0.0167022,0.0500031,0,0,0,0,0.0220102,0,0,0.0505112,0.0387317,0.0322934,0.0199249,0.015984,0,0,0.0300564,0.0537192,0.0867865,0.0913954,0.0563039,0.0493996,0.0717876,0.0700368,0.0654002,0.0645573,0,0.00967312,0,0.0367103,0.0131221,0.0106343,0.019876,0,0.0225721,0.0707424,0.017274,0,0,0.0188095,0,0,0.0387984,0.0342134,0.0590251,0.0134864,0.024588,0.041321,0.0160251,0.0758021,0.0890759,0.0626594,0.0256076,0.0544846,0.0328084,0.0339004,0.0592807,0.0642319,0.0100166,0.0106611,0.00399755,0.0302559,0.0252677,0,0,0
