Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
116,0.0380798,0.0495285,0,0,0,0.0212199,0,0.028506,0.0502214,0,0,0,0,0.0174417,0,0,0.049532,0.0494895,0.0623722,0.0375803,0.0119538,0,0,0.0286068,0.0448849,0.0915138,0.0970789,0.0587059,0.0447823,0.0533988,0.0498518,0.0491964,0.0487196,0,0.0596037,0,0.0392738,0.0134306,0.00981083,0.0212092,0,0.00856899,0.0760825,0.0182092,0,0,0.0265456,0,0,0.0434894,0.0247477,0.028849,0.0235331,0.022374,0.0365003,0.0287956,0.0763214,0.0902649,0.06133,0.0241732,0.0626035,0.0452902,0.0445015,0.0650813,0.036392,0.0119579,0.0138935,0.00904549,0.0278303,0.0251516,0,0,0
117,0.0380876,0.0497602,0,0,0,0.0213312,0,0.0288287,0.0499412,0,0,0,0,0.0174533,0,0,0.0495004,0.0493693,0.0630633,0.0379521,0.0122476,0,0,0.0290082,0.0449544,0.0913885,0.0966711,0.058295,0.0454876,0.0532487,0.0497082,0.0490002,0.0485829,0,0.0604357,0,0.0393016,0.0134788,0.00970998,0.0213699,0,0.00867064,0.0764782,0.0180819,0,0,0.0263748,0,0,0.0434034,0.0247822,0.0286834,0.0239202,0.0226053,0.0364037,0.0285496,0.0761971,0.0902334,0.0614998,0.0238596,0.06249,0.0452795,0.0445597,0.0651925,0.0356389,0.0120279,0.0138094,0.00892468,0.0278826,0.0249538,0,0,0
118,0.0381548,0.0500001,0,0,0,0.0214529,0,0.029067,0.0496166,0,0,0,0,0.0174467,0,0,0.0494262,0.0493329,0.0637936,0.038214,0.0125604,0,0,0.0294823,0.0449168,0.0912682,0.0962391,0.0578626,0.0463722,0.0531676,0.0496332,0.0489655,0.0485505,0,0.0613493,0,0.0393856,0.0135312,0.00958985,0.0214588,0,0.00879133,0.0768766,0.0180397,0,0,0.0262132,0,0,0.0433145,0.0248671,0.0285428,0.0242995,0.0228813,0.0363349,0.0283466,0.0759895,0.0901936,0.0616409,0.0235468,0.062362,0.0452991,0.0445865,0.0651615,0.0350462,0.0120665,0.013705,0.00886172,0.0279127,0.024755,0,0,0
119,0.0382774,0.050221,0,0,0,0.0216215,0,0.0292859,0.0491886,0,0,0,0,0.0169349,0,0,0.0495788,0.0493742,0.0644674,0.0384249,0.0130311,0,0,0.0299258,0.0447319,0.0912658,0.0958087,0.0573367,0.0472468,0.053219,0.0497036,0.0490899,0.0487155,0,0.0621104,0,0.0395016,0.0136241,0.00990545,0.0212967,0,0.00899371,0.0773973,0.0181315,0,0,0.026451,0,0,0.0430663,0.025023,0.0284528,0.0247328,0.0232907,0.0362917,0.0284283,0.0758117,0.0901309,0.06173,0.0231618,0.0622431,0.0452086,0.0446202,0.0650646,0.0347917,0.0117936,0.0135229,0.00836139,0.0279014,0.0245177,0,0,0
120,0.0383484,0.0505696,0,0,0,0.0218886,0,0.0295561,0.0488011,0,0,0,0,0.0170099,0,0,0.0494536,0.0493828,0.0651639,0.0384421,0.0134743,0,0,0.0303906,0.0446282,0.09151,0.0954351,0.0566623,0.048191,0.0533628,0.0498581,0.0493516,0.0490475,0,0.0628613,0,0.0396819,0.0136099,0.00971561,0.0213338,0,0.00900856,0.077852,0.0181758,0,0,0.0261856,0,0,0.0430366,0.0251606,0.0283632,0.0250492,0.0235451,0.0362509,0.0281595,0.0755805,0.0901246,0.061965,0.0227093,0.0621334,0.0451957,0.0446217,0.064865,0.0343788,0.0118312,0.0134931,0.00838307,0.0278932,0.0243054,0,0,0
121,0.0384552,0.05084,0,0,0,0.0222397,0,0.0297073,0.0483586,0,0,0,0,0.0169547,0,0,0.0493328,0.0494801,0.0658493,0.0384255,0.01402,0,0,0.030808,0.0444953,0.0918254,0.0950609,0.0559366,0.0491812,0.0535423,0.0500852,0.0497591,0.0495384,0,0.0635992,0,0.0398521,0.0136437,0.00952576,0.021234,0,0.00907949,0.0783344,0.0182816,0,0,0.0260223,0,0,0.0430321,0.0252874,0.0283226,0.0254751,0.0238364,0.036183,0.0278903,0.0753551,0.0901331,0.0622534,0.0222764,0.0619585,0.0453189,0.0445993,0.0648115,0.0342133,0.0118824,0.0135207,0.00840223,0.0279122,0.0240972,0,0,0
122,0.0385136,0.05067,0,0,0,0.0226476,0,0.0298254,0.0479718,0,0,0,0,0.0168627,0,0,0.0492359,0.0496148,0.066645,0.0383853,0.0146001,0,0,0.0311627,0.0443548,0.0921791,0.0946979,0.0551732,0.0502061,0.0536906,0.0503523,0.0502744,0.0501567,0,0.0645901,0,0.04,0.0136747,0.00940112,0.0210129,0,0.00915744,0.0787687,0.0183979,0,0,0.0258991,0,0,0.0429887,0.0254259,0.0282692,0.0258153,0.0240446,0.0359843,0.027593,0.0751469,0.0901804,0.0624258,0.0218955,0.0617647,0.0453468,0.0445593,0.0647328,0.0342512,0.0119959,0.013542,0.00844554,0.0280112,0.0239373,0,0,0
123,0.0385579,0.0498382,0,0,0,0.0231068,0,0.0299931,0.0475472,0,0,0,0,0.0167296,0,0,0.0491741,0.0496771,0.0673809,0.0383985,0.0149751,0,0,0.0315133,0.0441762,0.0924914,0.0943402,0.0544219,0.0511247,0.0538424,0.0507295,0.0508572,0.0508677,0,0.0657728,0,0.0401094,0.0136914,0.00933186,0.0207989,0,0.00921392,0.0792126,0.0185381,0,0,0.0258467,0,0,0.0429242,0.0255701,0.0282907,0.0261755,0.0242818,0.0357383,0.0272521,0.0749507,0.0902185,0.0626243,0.0215529,0.0615636,0.0451261,0.0444945,0.0646188,0.0342477,0.0118952,0.013518,0.00851848,0.0281507,0.023712,0,0,0
124,0.0387054,0.0494219,0,0,0,0.0236348,0,0.0300151,0.0470605,0,0,0,0,0.016626,0,0,0.0491379,0.0496718,0.0680732,0.0382281,0.0149542,0,0,0.0318734,0.0438797,0.0926265,0.0939727,0.053779,0.0519026,0.0540386,0.0512396,0.0514768,0.0515868,0,0.0671837,0,0.0402348,0.0136982,0.00929338,0.0205326,0,0.00929936,0.0797023,0.0186489,0,0,0.0258022,0,0,0.0428597,0.0256877,0.0283913,0.0265694,0.0245023,0.035521,0.0269033,0.0747818,0.0902095,0.0628233,0.0212536,0.0613921,0.0449932,0.044405,0.064468,0.0343059,0.0116554,0.0134585,0.00856784,0.0282017,0.023486,0,0,0
125,0.038959,0.0494147,0,0,0,0.024271,0,0.0301454,0.0466219,0,0,0,0,0.0164265,0,0,0.0490636,0.0496977,0.0687364,0.0379188,0.0143027,0,0,0.032182,0.0435988,0.0926831,0.0936376,0.0533782,0.0526036,0.0546763,0.0518826,0.0521665,0.0523759,0,0.0689945,0,0.040391,0.0137378,0.00923458,0.0201594,0,0.00945326,0.0800857,0.0188039,0,0,0.0256895,0,0,0.0427661,0.0258202,0.0285294,0.026891,0.024681,0.0353428,0.0265145,0.0746686,0.090244,0.062946,0.0209967,0.0612552,0.0449515,0.0443203,0.0643138,0.03448,0.0113994,0.0133693,0.00851368,0.0281907,0.0232145,0,0,0
126,0.0392385,0.0494695,0,0,0,0.0249367,0,0.0303283,0.0462488,0,0,0,0,0.0162193,0,0,0.0489895,0.0497048,0.068749,0.037686,0.0138401,0,0,0.0324267,0.0434243,0.092887,0.0934392,0.0530267,0.0531678,0.0555818,0.05278,0.0529838,0.0532528,0,0.0706005,0,0.0405479,0.0137795,0.00918871,0.0198078,0,0.00955292,0.0803889,0.0189728,0,0,0.025538,0,0,0.042645,0.0259609,0.0287027,0.0271182,0.024829,0.0352342,0.0261101,0.0745587,0.0903132,0.0630222,0.0207694,0.06112,0.0449327,0.0443125,0.0641653,0.0346757,0.0111791,0.0132652,0.00843515,0.0281621,0.0229422,0,0,0
127,0.0394539,0.0495208,0,0,0,0.0255793,0,0.0301967,0.045887,0,0,0,0,0.0158441,0,0,0.0490695,0.0496797,0.0687293,0.0376958,0.0139303,0,0,0.0325673,0.0432891,0.0932345,0.0934458,0.0525567,0.0535997,0.0567093,0.0539494,0.05404,0.0543692,0,0.0720395,0,0.0406869,0.0137744,0.00937296,0.0194616,0,0.00963113,0.0807305,0.0192427,0,0,0.025943,0,0,0.0421903,0.0261497,0.0289245,0.0273763,0.025015,0.0350748,0.0260944,0.0744675,0.0903606,0.0631256,0.0205424,0.0609789,0.0448247,0.0442257,0.064061,0.0351582,0.0106282,0.0130524,0.0075108,0.0281643,0.0226243,0,0,0
128,0.0396977,0.0495267,0,0,0,0.02645,0,0.0292922,0.0456247,0,0,0,0,0.0157456,0,0,0.048936,0.0497639,0.0688167,0.0375419,0.0141167,0,0,0.0327523,0.0432033,0.0937078,0.0936749,0.0520192,0.0540988,0.0579151,0.0551526,0.0551291,0.0556166,0,0.0736092,0,0.0408442,0.0138328,0.00926434,0.0192142,0,0.00961723,0.0809378,0.019365,0,0,0.0255158,0,0,0.0420618,0.0262581,0.0290229,0.0276622,0.0251812,0.0348769,0.0254789,0.0743793,0.090444,0.0634381,0.020225,0.0608548,0.0447862,0.043977,0.0639629,0.0355124,0.0106063,0.0129847,0.00758615,0.0280964,0.0223298,0,0,0
129,0.0399489,0.0495857,0,0,0,0.027109,0,0.0284413,0.0451731,0,0,0,0,0.0156066,0,0,0.0487998,0.0498731,0.068606,0.0372383,0.0145059,0,0,0.032862,0.0431168,0.0941977,0.0939183,0.0514407,0.0546302,0.0595011,0.0565546,0.0564232,0.05707,0,0.0747839,0,0.0410564,0.0138375,0.00917803,0.0189709,0,0.0096034,0.0813641,0.0195244,0,0,0.0250961,0,0,0.0418424,0.0264042,0.0290571,0.0281243,0.0252671,0.0346206,0.0248151,0.0742973,0.0905337,0.0637366,0.0198862,0.0607711,0.044749,0.0436797,0.0638183,0.0357502,0.0106635,0.0128408,0.00755212,0.0280445,0.0219475,0,0,0
130,0.040162,0.0496746,0,0,0,0.027406,0,0.0277867,0.04461,0,0,0,0,0.0154013,0,0,0.0487134,0.0500143,0.0679333,0.0368718,0.0150345,0,0,0.0329,0.0429966,0.0947697,0.0941564,0.050832,0.0550449,0.0611767,0.0581553,0.0579193,0.0585096,0,0.0751756,0,0.0412977,0.013844,0.00916842,0.0187864,0,0.00953184,0.0819171,0.0197119,0,0,0.0248839,0,0,0.0415008,0.0265632,0.0290604,0.0286143,0.0252736,0.0342936,0.0242807,0.0741974,0.0906043,0.0639303,0.0196243,0.0607015,0.0447748,0.043526,0.0636461,0.0359082,0.0105665,0.0126123,0.00724427,0.0280284,0.021648,0,0,0
131,0.0403729,0.0497212,0,0,0,0.0273893,0,0.0269105,0.0442026,0,0,0,0,0.0152171,0,0,0.0486203,0.0501144,0.0670374,0.0365961,0.0154109,0,0,0.032905,0.0428774,0.0954416,0.0944268,0.0502313,0.0555781,0.0627124,0.0596937,0.0593813,0.0598102,0,0.0746603,0,0.0415107,0.0139046,0.009117,0.0187809,0,0.00943165,0.0821843,0.0198921,0,0,0.0246686,0,0,0.0412484,0.0267539,0.0291566,0.0288458,0.0253203,0.0339963,0.0237512,0.0740678,0.0906518,0.0640236,0.0194353,0.0605936,0.0447861,0.0434662,0.0635355,0.0359311,0.0105133,0.0124332,0.00700179,0.0280177,0.0213938,0,0,0
132,0.0405931,0.0497565,0,0,0,0.0269922,0,0.0258649,0.0438347,0,0,0,0,0.0150717,0,0,0.0485135,0.0501983,0.0656675,0.036141,0.0155842,0,0,0.0329035,0.0427779,0.0961686,0.0946964,0.0496129,0.0559206,0.0639606,0.0610847,0.0607072,0.060946,0,0.0731527,0,0.0416853,0.013938,0.00908492,0.0188305,0,0.0094201,0.0823934,0.0200918,0,0,0.0244369,0,0,0.0409989,0.0269791,0.0292163,0.0291821,0.0253491,0.033785,0.0232579,0.0738882,0.0906036,0.0640551,0.0192258,0.0604945,0.0446041,0.0434326,0.063428,0.0358215,0.0104834,0.0122617,0.00678603,0.028004,0.0211218,0,0,0
133,0.0408469,0.0497736,0,0,0,0.0262226,0,0.0250159,0.043512,0,0,0,0,0.0149426,0,0,0.0484111,0.0502839,0.0638167,0.0355062,0.0155983,0,0,0.0328691,0.042623,0.0969276,0.0950104,0.0490899,0.0563691,0.0649437,0.0623876,0.0618492,0.0618337,0,0.0706808,0,0.0418621,0.0139737,0.00903828,0.0189627,0,0.00946186,0.082583,0.0202994,0,0,0.0241813,0,0,0.0407498,0.0272361,0.0292346,0.029489,0.0253518,0.033667,0.0228312,0.0736604,0.0905813,0.0642306,0.0190276,0.060434,0.0446032,0.043387,0.0633535,0.0355278,0.0104681,0.0121027,0.00660117,0.0279848,0.0208678,0,0,0
134,0.0411134,0.049804,0,0,0,0.0252525,0,0.0241512,0.04328,0,0,0,0,0.0148468,0,0,0.0483149,0.0503504,0.0617614,0.0348914,0.0155446,0,0,0.0328045,0.042409,0.0977319,0.0954285,0.0486962,0.056929,0.0658785,0.0636269,0.0627358,0.0624391,0,0.0669838,0,0.0420625,0.0140062,0.00896592,0.019176,0,0.00951628,0.0826537,0.02051,0,0,0.0240203,0,0,0.0405045,0.0275474,0.0292152,0.0296651,0.0252977,0.0335979,0.0224696,0.0733936,0.0905868,0.0646731,0.0190283,0.0603936,0.044668,0.0433767,0.0633489,0.0351107,0.0104574,0.012013,0.00634707,0.0279731,0.0206143,0,0,0
135,0.0413337,0.0498713,0,0,0,0.0244314,0,0.0233557,0.0431226,0,0,0,0,0.0147571,0,0,0.0482115,0.0504074,0.059549,0.0340283,0.0152622,0,0,0.0327541,0.0422099,0.098516,0.0959566,0.0483877,0.0575702,0.0667617,0.0647912,0.0634814,0.0628943,0,0.0619213,0,0.0422801,0.0140248,0.00894277,0.0194974,0,0.00967444,0.0826071,0.020638,0,0,0.0239059,0,0,0.0402651,0.0279015,0.0292469,0.0297121,0.0251801,0.0335496,0.0221278,0.0731078,0.0904738,0.0650535,0.0191094,0.0603325,0.0447499,0.0433923,0.0634559,0.0344737,0.0104576,0.0119318,0.00608876,0.0279482,0.0203577,0,0,0
