Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0.0387522,0.050215,0,0,0,0.0351228,0,0.0228891,0.0569971,0,0,0,0,0.0201789,0,0,0.0496286,0.0392464,0.0471676,0.0161063,0.0219038,0,0,0.0274701,0.044129,0.0939914,0.0974139,0.0554972,0.0467468,0.0646223,0.0616493,0.059436,0.0587018,0,0.0341203,0,0.0373205,0.0119297,0.0101577,0.0380369,0,0.0121923,0.0684084,0.0202377,0,0,0.0166067,0,0,0.0340531,0.0446673,0.0398224,0.0166707,0.0232469,0.0304463,0.0183506,0.115947,0.0886728,0.0573388,0.0278809,0.0589362,0.0405434,0.0397219,0.0614985,0.0359016,0.018074,0.011589,0.00715423,0.0287949,0.0205115,0,0,0
0,0.0389912,0.0505276,0,0,0,0.0204191,0,0.0367991,0.0532305,0,0,0,0,0.0205046,0,0,0.0508848,0.0422111,0.0706528,0.0227839,0.0162661,0,0,0.0307197,0.0450946,0.0923064,0.0985208,0.0585267,0.0417369,0.055173,0.0508943,0.0536447,0.0544062,0,0.0718085,0,0.0360638,0.0111413,0.0109022,0.044165,0,0.00668835,0.0718586,0.01931,0,0,0.017088,0,0,0.0345098,0.0405953,0.0271911,0.0147415,0.0254593,0.0306589,0.0196817,0.1173,0.0880288,0.0559367,0.0241534,0.0616395,0.0439307,0.0436563,0.0648452,0.010005,0.0168785,0.0124361,0.00773963,0.0306521,0.0215101,0,0,0
1,0.0386467,0.0512707,0,0,0,0.0208602,0,0.0365942,0.052598,0,0,0,0,0.0201767,0,0,0.0509155,0.0422007,0.0709923,0.0226082,0.0167322,0,0,0.0311634,0.0451343,0.0932454,0.0984996,0.0573093,0.0439074,0.0552299,0.0510087,0.0537392,0.0544717,0,0.0721656,0,0.036144,0.0110564,0.0109413,0.0443245,0,0.00709217,0.0727735,0.0190957,0,0,0.01748,0,0,0.0344499,0.0405253,0.0276254,0.0155125,0.0262117,0.0300152,0.0192323,0.117406,0.088266,0.0561311,0.0235326,0.0614764,0.0438836,0.0436512,0.0648499,0.00991954,0.0166071,0.0124732,0.00784138,0.0309825,0.0213409,0,0,0
2,0.0386106,0.0513512,0,0,0,0.0211107,0,0.0365318,0.0523283,0,0,0,0,0.0200268,0,0,0.0508319,0.042009,0.0711102,0.0225595,0.0175552,0,0,0.0315253,0.0450046,0.0939123,0.0985207,0.0563181,0.0449949,0.0555053,0.0513165,0.053977,0.0546719,0,0.0720885,0,0.036227,0.011049,0.0108736,0.0444483,0,0.00723917,0.0731844,0.019194,0,0,0.0175414,0,0,0.0344296,0.0409483,0.0279783,0.0157676,0.0265603,0.0297367,0.0191728,0.117665,0.0880829,0.0562132,0.0231826,0.0613174,0.0436887,0.0436879,0.0648483,0.00996051,0.016482,0.0124591,0.00780679,0.0310675,0.0211531,0,0,0
3,0.0387034,0.0514116,0,0,0,0.0213213,0,0.0363501,0.052081,0,0,0,0,0.019874,0,0,0.0507679,0.0418324,0.0712104,0.0224985,0.0185496,0,0,0.0318785,0.0447847,0.0945318,0.0985628,0.0553932,0.0457182,0.0560086,0.051804,0.0543156,0.0549709,0,0.0717728,0,0.0363364,0.011061,0.0108123,0.0446345,0,0.00728841,0.0735416,0.0193553,0,0,0.0176242,0,0,0.0344136,0.0413725,0.0283107,0.0158579,0.0270156,0.0294745,0.0192827,0.117915,0.0880822,0.0562945,0.022858,0.0611563,0.0434439,0.0436141,0.064818,0.0100065,0.0164103,0.0124248,0.00770982,0.031087,0.0209738,0,0,0
4,0.0388334,0.0513931,0,0,0,0.0215802,0,0.0360102,0.0518777,0,0,0,0,0.0197235,0,0,0.0507082,0.0416529,0.0711312,0.0224371,0.019543,0,0,0.0321972,0.0444744,0.0952301,0.0985615,0.0545579,0.0463169,0.0567018,0.0524921,0.0548272,0.0554651,0,0.0711995,0,0.0365037,0.0111288,0.0107616,0.044783,0,0.00732664,0.0738253,0.0195156,0,0,0.017631,0,0,0.0343989,0.0417888,0.0286367,0.0158939,0.0275999,0.0291956,0.0193556,0.118171,0.0882262,0.0561405,0.02253,0.0610365,0.0432403,0.0435515,0.0647886,0.0101385,0.0163503,0.0124007,0.00763946,0.0310815,0.0208264,0,0,0
5,0.0389451,0.0513464,0,0,0,0.0218829,0,0.0353827,0.0517215,0,0,0,0,0.0195369,0,0,0.0506708,0.0414633,0.0707091,0.0223355,0.0204746,0,0,0.0324707,0.0443608,0.0957299,0.0985055,0.05381,0.0468534,0.0575366,0.0533429,0.0555039,0.0561294,0,0.0703876,0,0.0367408,0.0112672,0.0107413,0.044867,0,0.00745532,0.0741367,0.0196057,0,0,0.0176108,0,0,0.0343229,0.0420843,0.0289631,0.0160814,0.028048,0.0288678,0.019352,0.118404,0.0884194,0.0560189,0.0221941,0.0608866,0.0430448,0.0434532,0.0646977,0.0102328,0.016322,0.0124258,0.00762983,0.0311364,0.0206882,0,0,0
6,0.0390807,0.051249,0,0,0,0.0221132,0,0.034596,0.0516623,0,0,0,0,0.0194725,0,0,0.0506427,0.0412714,0.0699649,0.0222724,0.0215016,0,0,0.032694,0.0441578,0.0963247,0.0986704,0.0530754,0.0472882,0.0584929,0.0542758,0.0563351,0.0569619,0,0.0692041,0,0.0368479,0.0114027,0.0107327,0.0448257,0,0.00746875,0.0743577,0.0197445,0,0,0.0176147,0,0,0.0342584,0.042259,0.0292516,0.0163431,0.0285908,0.028614,0.0193294,0.118648,0.0884991,0.0558202,0.0219055,0.0607825,0.0428768,0.0433349,0.0646447,0.0103316,0.0163734,0.0123739,0.0075529,0.0311726,0.0205405,0,0,0
7,0.0392477,0.0512504,0,0,0,0.022239,0,0.0335832,0.0516097,0,0,0,0,0.0194331,0,0,0.0505818,0.0411753,0.0688322,0.0221481,0.0224892,0,0,0.0329074,0.04382,0.096914,0.0989483,0.0524073,0.0476864,0.0595149,0.0552741,0.0571817,0.0578028,0,0.067748,0,0.0368804,0.0114028,0.0106881,0.044833,0,0.00749501,0.0745545,0.0198941,0,0,0.017649,0,0,0.0341885,0.0423205,0.029547,0.0165857,0.0289806,0.0283197,0.0191982,0.118873,0.0885251,0.0557393,0.0215919,0.0606458,0.0427514,0.0432271,0.0645487,0.0104075,0.0163971,0.0123612,0.00752492,0.031153,0.020443,0,0,0
8,0.0394215,0.0513105,0,0,0,0.022287,0,0.0324974,0.0516462,0,0,0,0,0.0193548,0,0,0.0504127,0.0410586,0.0676455,0.0219669,0.0232139,0,0,0.0329611,0.043638,0.0974504,0.099224,0.0518052,0.048065,0.0605155,0.0562473,0.057931,0.0585065,0,0.0657599,0,0.0369453,0.0113447,0.010674,0.045026,0,0.00751918,0.0746684,0.0200894,0,0,0.0175656,0,0,0.034151,0.042507,0.0299103,0.0163405,0.0290288,0.0280795,0.019103,0.119028,0.0885643,0.055687,0.0214083,0.0605094,0.0426563,0.0430818,0.0644437,0.0104698,0.0164434,0.0123368,0.00749187,0.0311674,0.0202929,0,0,0
