Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73
257,0.00795211,0.0118614,0,0,0,0,0,0,0.0262194,0.017713,0.0141606,0.00604942,0,0,0.0180235,0,0.0247323,0.00858059,0.0432417,0.0112344,0.0258036,0.0171627,0.00623464,0.0150943,0.0102528,0.0145754,0.0140377,0.0337913,0.00994396,0.0129166,0.00263521,0.0301851,0.0323691,0.0165361,0.0122377,0.00285741,0.00925938,0.0131323,0.0114685,0.00614964,0.00993442,0,0,0.0482466,0,0.0095802,0.0193422,0.0429044,0.0174901,0.0241137,0.0142131,0.00615932,0.01557,0.0116219,0.0458346,0.0118585,0.0131153,0.0131629,0.0485541,0.0104639,0.0142368,0.00642558,0.0355349,0.00602911,0.00542249,0.0139999,0.00662804,0,0,0,0,0,0,0
258,0.00816671,0.0129956,0,0,0,0,0,0,0.0262007,0.0179028,0.0146325,0.00601226,0,0,0.0183674,0,0.0246538,0.00860285,0.0431642,0.0112638,0.025753,0.0172253,0.00630665,0.0142147,0.010258,0.0144902,0.0140488,0.0337231,0.00978038,0.0129488,0.00263549,0.0301315,0.032467,0.0165244,0.0121305,0.00290349,0.00920546,0.0132581,0.0112702,0.00607478,0.0107789,0,0,0.0488334,0,0.00969723,0.0192737,0.0429076,0.017278,0.0240276,0.0143436,0.00607808,0.015041,0.0115753,0.0458032,0.011843,0.0130809,0.0131984,0.0485594,0.0105341,0.0143445,0.0064897,0.035647,0.00619477,0.0055506,0.0147656,0.00655863,0,0,0,0,0,0,0
259,0.00884076,0.0143009,0,0,0,0,0,0,0.0263205,0.0180521,0.0146753,0.00586133,0,0,0.0188744,0,0.0246346,0.00858664,0.0430981,0.0112532,0.0256897,0.0172635,0.00645741,0.0134168,0.0102489,0.0142788,0.0141029,0.0336532,0.0097445,0.0129939,0.00268196,0.0300908,0.032687,0.016636,0.0120986,0.00302278,0.00915205,0.0133458,0.0112056,0.00581176,0.0118669,0,0,0.0493524,0,0.00981433,0.0193346,0.0429137,0.0171316,0.0238671,0.014228,0.00610285,0.0145226,0.0115746,0.045721,0.0118314,0.013049,0.0130569,0.0485912,0.0104881,0.0142321,0.00646912,0.0358263,0.00650061,0.00556703,0.015635,0.00684686,0,0,0,0,0,0,0
260,0.0095774,0.0154106,0,0,0,0,0,0,0.0266387,0.0182205,0.0146438,0.00581714,0,0,0.0192161,0,0.0245349,0.00853169,0.0430984,0.011262,0.0257416,0.0172693,0.00651905,0.0128872,0.0102298,0.01422,0.0141613,0.0337044,0.00996447,0.013077,0.00276332,0.0300705,0.0329578,0.016635,0.0120531,0.00301485,0.00901325,0.0133919,0.0113126,0.00568667,0.0127803,0,0,0.0496944,0,0.0099332,0.0192296,0.0429609,0.0168511,0.0240069,0.013768,0.00611077,0.0142142,0.0116214,0.0455992,0.0117945,0.0130934,0.0126593,0.0485973,0.0102554,0.0138387,0.00622771,0.0362874,0.00671934,0.00561085,0.016411,0.00710882,0,0,0,0,0,0,0
261,0.0103228,0.0163448,0,0,0,0,0,0,0.0271047,0.0183328,0.0145994,0.00583172,0,0,0.0195959,0,0.0243461,0.00847401,0.0431322,0.011297,0.0258414,0.017228,0.00657408,0.0125965,0.0102082,0.0142668,0.0141364,0.0337045,0.0100216,0.0131378,0.00285854,0.0300749,0.0331505,0.0166949,0.0119215,0.00300988,0.00868008,0.013426,0.0111415,0.00573257,0.013613,0,0,0.0500712,0,0.0100756,0.0192062,0.0430186,0.0164278,0.024272,0.0132553,0.00610322,0.0140989,0.0116766,0.0455573,0.0117411,0.0131537,0.0123595,0.0486155,0.0100049,0.0134271,0.00596179,0.0364915,0.00680388,0.00573892,0.0170534,0.00757382,0,0,0,0,0,0,0
262,0.0112107,0.0172047,0,0,0,0,0,0,0.0274922,0.0184513,0.0144893,0.00569843,0,0,0.0200308,0,0.0241492,0.00838767,0.0431239,0.011368,0.0258383,0.0171343,0.00679105,0.0123562,0.0101658,0.0143621,0.0140255,0.0337029,0.00990909,0.0131289,0.00289954,0.030107,0.0332622,0.0167051,0.0117661,0.00304682,0.00857791,0.0135159,0.0110169,0.00562392,0.014577,0,0,0.0503783,0,0.0102578,0.0191311,0.0430384,0.0163351,0.0242178,0.0130886,0.00613385,0.0139295,0.0117073,0.0456178,0.0117438,0.0131645,0.0122842,0.0486771,0.00993298,0.0133883,0.00582743,0.0366422,0.00698782,0.00583078,0.0176057,0.00817209,0,0,0,0,0,0,0
263,0.0121725,0.0180089,0,0,0,0,0,0,0.0275662,0.0185573,0.0146244,0.0055476,0,0,0.0203852,0,0.0240435,0.00824199,0.0431349,0.0114755,0.0258241,0.017168,0.00693153,0.0122033,0.0101192,0.0143757,0.0139103,0.0337574,0.00981153,0.0130835,0.00286164,0.0302142,0.0335939,0.0166816,0.0116513,0.00310932,0.00880473,0.0135976,0.0109342,0.00553005,0.0154111,0,0,0.0507626,0,0.0104681,0.0190648,0.0430724,0.0162186,0.0242268,0.0130933,0.00621718,0.0138446,0.0117102,0.0456592,0.0118031,0.013184,0.0123153,0.0486932,0.00994701,0.0135884,0.00587866,0.0366672,0.00728557,0.00600197,0.0181273,0.00880243,0,0,0,0,0,0,0
264,0.0130933,0.0187572,0,0,0,0,0,0,0.027821,0.0185924,0.0148909,0.00541851,0,0,0.0206578,0,0.0239158,0.0080421,0.0431199,0.0115805,0.02591,0.017275,0.0070131,0.0122236,0.0100697,0.0142716,0.0137825,0.0338142,0.00978068,0.0130609,0.00290694,0.0303431,0.0340871,0.0167685,0.011541,0.00321552,0.00900232,0.0135766,0.01101,0.00554592,0.0160775,0,0,0.0510347,0,0.0106964,0.0190055,0.043125,0.0162076,0.024372,0.0132965,0.00631216,0.0138472,0.0116882,0.0456406,0.0118794,0.0132328,0.0125539,0.0486583,0.010096,0.0137773,0.00597673,0.0370823,0.00749562,0.0062652,0.0186557,0.00942254,0,0,0,0,0,0,0
265,0.0139452,0.0194184,0,0,0,0,0,0,0.0282718,0.0186047,0.0153697,0.00535466,0,0,0.0208814,0,0.0237339,0.00781124,0.0430955,0.0117081,0.0260108,0.0176485,0.00708834,0.0123243,0.0100563,0.0141464,0.0137228,0.0338365,0.0097824,0.0130938,0.00298393,0.0304246,0.034329,0.0169268,0.0114322,0.00325628,0.00894639,0.0135209,0.0109518,0.00551108,0.0166572,0,0,0.0511998,0,0.0109197,0.0190477,0.0431433,0.0161518,0.0245624,0.0133068,0.00631145,0.0139026,0.0117031,0.0455872,0.0118841,0.0132576,0.0126872,0.0486027,0.0101776,0.0136412,0.00615568,0.0374222,0.00783399,0.0065561,0.0191114,0.00999163,0,0,0,0,0,0,0
266,0.0147137,0.0199715,0,0,0,0,0,0,0.0286456,0.0186029,0.0156361,0.00549576,0,0,0.0210666,0,0.0236741,0.00762953,0.0431318,0.0117839,0.0261686,0.0179463,0.00714013,0.0125154,0.00998956,0.0140806,0.0137196,0.0338606,0.00987954,0.0132249,0.00311786,0.0303645,0.0345144,0.017107,0.0113771,0.00322707,0.00866134,0.0134814,0.010903,0.00575652,0.0170287,0,0,0.0511887,0,0.0111661,0.0191265,0.043147,0.0161431,0.0250137,0.0133417,0.00635538,0.0140913,0.0117069,0.0455587,0.0119124,0.0132971,0.0127006,0.0485311,0.0100739,0.0135357,0.00595318,0.0376035,0.00821172,0.00675548,0.0194947,0.0104776,0,0,0,0,0,0,0
