Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74
1842,0.0308435,0.019354,0,0,0,0,0,0,0.0164992,0.0166827,0.012384,0.00459636,0,0,0.0348,0,0.0202635,0.0130758,0.04369,0.00722578,0.0249161,0.0128198,0.0125899,0.0359011,0.00765436,0.0101262,0.0103863,0.0337422,0.00756827,0.00948861,0.00227465,0.0292144,0.0187355,0.024966,0.0102785,0.0082169,0.0037534,0.00945495,0.00801458,0.00464984,0.0221072,0,0,0.0418069,0,0.0226391,0.012951,0.0430293,0.0108477,0.0251274,0.0104271,0.00983388,0.0233333,0.00978,0.0442776,0.010852,0.0110387,0.0111103,0.0481665,0.00930476,0.0119808,0.00674666,0.0391703,0.0163736,0.0126416,0.0147429,0.0243869,0,0,0,0,0,0,0,0
1843,0.0306631,0.0198239,0,0,0,0,0,0,0.0162751,0.016638,0.00922275,0.00295187,0,0,0.0349406,0,0.0201899,0.0130965,0.0383528,0.0178141,0.0268634,0.0106724,0.0107758,0.0356964,0.0110976,0.0150739,0.00848708,0.0379172,0.00934467,0.0107916,0.00819019,0.0302669,0.0237333,0.0255548,0.0101989,0.00800275,0.00358865,0.00932453,0.00729212,0.00397022,0.0209186,0,0,0.0415543,0,0.0225192,0.0126785,0.0431686,0.0101018,0.024876,0.010373,0.00954433,0.0246205,0.0106077,0.0448278,0.0115198,0.0116733,0.0103311,0.047583,0.00854551,0.0110802,0.00618121,0.039126,0.0159426,0.012343,0.015385,0.0243099,0,0,0,0,0,0,0,0
1844,0.0299786,0.0190646,0,0,0,0,0,0,0.0162844,0.016719,0.0120068,0.00463528,0,0,0.0346954,0,0.0201819,0.0131654,0.0437939,0.00697226,0.0248459,0.0125348,0.0123523,0.0367627,0.00761748,0.00997758,0.0102249,0.0338904,0.00743417,0.00935384,0.00242436,0.0292723,0.0185142,0.0255913,0.010246,0.00792274,0.00414361,0.00960842,0.00769104,0.00455563,0.0210771,0,0,0.0406362,0,0.0221224,0.0125555,0.042888,0.0107301,0.0251189,0.0101629,0.00983031,0.0231006,0.00976826,0.0442728,0.0108611,0.0109775,0.0108633,0.0482326,0.00912354,0.0116219,0.00665986,0.0375729,0.0157595,0.0120679,0.0145901,0.0236455,0,0,0,0,0,0,0,0
1845,0.0292411,0.0184637,0,0,0,0,0,0,0.0161702,0.0166758,0.0117114,0.00478865,0,0,0.0345204,0,0.0203408,0.0130641,0.0437968,0.00677983,0.0247555,0.0123996,0.011995,0.0373793,0.00767542,0.0100914,0.0102398,0.0339672,0.00736266,0.00923445,0.00243547,0.0293147,0.0184664,0.0257893,0.0104078,0.00772562,0.00393747,0.00986939,0.00742279,0.00460809,0.0203028,0,0,0.0394633,0,0.0218322,0.0120852,0.0429356,0.0106116,0.0250168,0.010184,0.00963402,0.0228704,0.00979195,0.0442935,0.010896,0.0109625,0.0107026,0.0482258,0.00898683,0.0115472,0.00661575,0.0360237,0.0160565,0.0119211,0.0140967,0.0230263,0,0,0,0,0,0,0,0
1846,0.0285064,0.0185094,0,0,0,0,0,0,0.016084,0.0166094,0.0116084,0.00501351,0,0,0.034291,0,0.0204149,0.0128245,0.0437623,0.00663735,0.0246044,0.0122979,0.0116265,0.0380456,0.00772963,0.0101779,0.0102624,0.0339838,0.00729529,0.00916686,0.00247531,0.0293288,0.0184474,0.0265099,0.0104439,0.00714002,0.00340618,0.00996362,0.0071902,0.00467301,0.0195018,0,0,0.0392183,0,0.0215825,0.0117436,0.0429945,0.0104422,0.024798,0.0100762,0.00935551,0.0224192,0.00983672,0.0443101,0.0109367,0.0109432,0.0104945,0.0481572,0.00886536,0.0113761,0.00633542,0.0350806,0.0156873,0.0113323,0.0143171,0.0222325,0,0,0,0,0,0,0,0
1847,0.0284676,0.0187331,0,0,0,0,0,0,0.0161943,0.0163074,0.01152,0.0049649,0,0,0.0340384,0,0.0209399,0.0124107,0.0437643,0.00645663,0.024671,0.012268,0.011933,0.0381934,0.00770739,0.0101697,0.010245,0.0340185,0.00722548,0.00920483,0.00253699,0.0292716,0.0185715,0.0262731,0.0109151,0.00733256,0.00356219,0.00969614,0.00742299,0.00449403,0.0197545,0,0,0.0408569,0,0.0212282,0.0124234,0.0429679,0.0101943,0.0247249,0.0100175,0.00968851,0.0217155,0.00979929,0.0443058,0.0109804,0.0109178,0.0104173,0.0480817,0.00884665,0.0113157,0.00644999,0.035937,0.0139852,0.0103253,0.0145032,0.0221381,0,0,0,0,0,0,0,0
1848,0.0282135,0.0188686,0,0,0,0,0,0,0.0162385,0.0162392,0.011521,0.00497045,0,0,0.0337853,0,0.0210611,0.012404,0.0438327,0.00627944,0.0246914,0.0123241,0.0119281,0.0385973,0.00766665,0.010153,0.0102292,0.0340726,0.00718003,0.00927436,0.00259973,0.0291783,0.0186757,0.02626,0.0109696,0.00720512,0.00348995,0.00963247,0.00751028,0.0043891,0.0196868,0,0,0.0416152,0,0.0209984,0.0129986,0.0428766,0.00999288,0.0246795,0.00980147,0.00974021,0.0211671,0.00975388,0.0443148,0.0109285,0.0108797,0.0102625,0.0480295,0.00871871,0.0111547,0.00625218,0.0359474,0.0136461,0.0099068,0.0147118,0.0218761,0,0,0,0,0,0,0,0
1849,0.0281101,0.0190739,0,0,0,0,0,0,0.0161573,0.0162516,0.0113435,0.00494025,0,0,0.0337849,0,0.0210896,0.0124456,0.0438372,0.006083,0.0247178,0.0123085,0.0119356,0.0389433,0.00759087,0.0100828,0.0101752,0.0341258,0.0070973,0.0093071,0.00265235,0.0290636,0.0186389,0.0263525,0.0109577,0.00707932,0.00342563,0.00957186,0.00743129,0.00430759,0.0197293,0,0,0.0424625,0,0.0208372,0.0134933,0.0428216,0.00973045,0.0246841,0.00956723,0.00977389,0.0207173,0.00973702,0.0443649,0.0109414,0.0108585,0.0100754,0.0480025,0.00852617,0.0109341,0.0060133,0.0360083,0.0136844,0.00970343,0.0149277,0.0217183,0,0,0,0,0,0,0,0
1850,0.0280821,0.0193441,0,0,0,0,0,0,0.0158009,0.0162828,0.0110629,0.00489012,0,0,0.0339931,0,0.0210363,0.0123644,0.0437131,0.00592902,0.0247534,0.0120615,0.011878,0.0390915,0.00743923,0.0098617,0.00998612,0.0341946,0.00692528,0.00920158,0.00253944,0.0289642,0.01825,0.0265999,0.0109384,0.00695781,0.00328477,0.0096832,0.00724796,0.00423328,0.0197775,0,0,0.0433153,0,0.0208269,0.0138169,0.0428282,0.009358,0.0247081,0.00941817,0.00973715,0.0203698,0.00975519,0.0444303,0.0110252,0.0108746,0.00977879,0.0479494,0.00828096,0.0106046,0.00566149,0.0359127,0.0135532,0.0094301,0.0151862,0.0216082,0,0,0,0,0,0,0,0
1851,0.0280644,0.0195754,0,0,0,0,0,0,0.0148042,0.0163165,0.0107045,0.00479705,0,0,0.034324,0,0.021003,0.0125083,0.0434366,0.0060212,0.0248122,0.0113249,0.0117049,0.0390555,0.00710387,0.0091817,0.00944571,0.0343536,0.00654444,0.00877238,0.002333,0.0289129,0.0170973,0.0268895,0.0109288,0.00683828,0.00314215,0.00982313,0.00703776,0.00413721,0.0197798,0,0,0.0438702,0,0.0207892,0.0138951,0.0428912,0.00890268,0.0247114,0.00917023,0.00963033,0.020092,0.00979084,0.0445077,0.0111374,0.0109207,0.00935386,0.0478347,0.0079842,0.0102085,0.00520823,0.0356599,0.0136206,0.00935768,0.01544,0.0214669,0,0,0,0,0,0,0,0
1852,0.0279655,0.0198027,0,0,0,0,0,0,0.0126499,0.0163779,0.010122,0.00462304,0,0,0.0346681,0,0.0210147,0.0126905,0.0429178,0.0065616,0.0249292,0.00978746,0.0113531,0.0388569,0.0064679,0.00772565,0.00833566,0.0346723,0.00586375,0.00783892,0.00213232,0.0289247,0.0146236,0.0272665,0.010969,0.00674007,0.00292636,0.00986468,0.00673371,0.00403171,0.0196535,0,0,0.0440943,0,0.0206749,0.0138862,0.0429536,0.00828877,0.0246799,0.00873135,0.00941671,0.0199348,0.00987072,0.0446038,0.0112601,0.010996,0.00876579,0.0477068,0.00760828,0.00963957,0.00455477,0.0352738,0.0138086,0.00935585,0.0157536,0.021225,0,0,0,0,0,0,0,0
1853,0.027804,0.0203171,0,0,0,0,0,0,0.0079562,0.0164218,0.00785584,0.00349255,0,0,0.0350391,0,0.0210854,0.0127228,0.0395964,0.012775,0.0261376,0.00497339,0.00995867,0.0383557,0.00767919,0.00906634,0.00546864,0.0371991,0.00601564,0.00650332,0.00528432,0.0295429,0.013041,0.0277935,0.0110636,0.00659383,0.00268641,0.00978436,0.00611502,0.00372318,0.0188901,0,0,0.044136,0,0.0205468,0.0137038,0.0431693,0.00728626,0.0244643,0.00824422,0.00893339,0.0205104,0.0103946,0.0450219,0.0117153,0.0114035,0.00773343,0.0472437,0.00678748,0.00854766,0.00346923,0.0349969,0.0140857,0.00934011,0.0163849,0.0209771,0,0,0,0,0,0,0,0
